,name,bar_code,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,packaging,labels,traceability_code,allergens,nova_score,eco_score,link,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,generic_name,palm_ingredients
35,Les oeufs vichy - Cémoi,3173286634508,['Cémoi'],"['Aliments de Pâques', 'Œufs de Pâques']",['France'],[],[],32 g,en quantité élevée,20 g,en quantité élevée,57 g,en quantité élevée,0.18 g,en faible quantité,?,,544,-1%,2276 kj(544 kcal),-1%,32,-5%,20,-0%,57,+6%,57,+9%,"6,1",-8%,"0,18",-11%,"0,072",-11%,26,-0%,E,-0%,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,
36,Cervelas,3276230024391,,,['France'],[],[],,,,,,,,,?,,272,,1138 kj(272 kcal),,25,,"9,3",,"0,8",,"0,8",,11,,"2,7",,"1,08",,,,,,,,,"['EMB 44180C', 'Saint-Mars-la-Jaille (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,
37,Acérola 1000,3535400023139,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Cidre artisanal LE BRUN,3564980160279,['Le Brun'],"['Boissons', 'Boissons alcoolisées', 'Cidres']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,,,,,,,D,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,,,,
39,3760004440024,3760004440024,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chocolat au lait aux céréales croustillantes,3173286770305,,,['France'],[],[],,,,,,,,,?,,543,,2272 kj(543 kcal),,32,,20,,55,,52,,"7,7",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
41,The glacé bio thé blanc myrtille,3700749301099,,,['France'],[],[],,,,,,,,,?,,7.4,,31 kj(7 kcal),,0,,0,,"1,8",,"1,8",,0,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
42,Balsamique de pommes - Planet Bio,3301593000635,['Planet Bio'],,['France'],[],[],,,,,,,,,?,,139,,582 kj(139 kcal),,0,,0,,35,,15,,0,,"0,15",,"0,06",,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
43,Crème dessert fermière au lait de brebis chocolat,3760070560015,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,0,,0,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,
44,Léa Nature,3456300012835,"['Léa Nature', 'Jardin Bio']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,
