,name,bar_code,eco_score,categories,ingredients_origins,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,traceability_code,quantity,additives,labels,allergens,brand_owner,packaging,markets,generic_name,manufacturing,link,palm_ingredients
1129,Sucettes aux fruits,3663350024590,,,,['France'],[],[],?,,389,,"0,5",,97,,"0,5",,,,,,,,,1628 kj(389 kcal),"0,1",77,"0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,Quenelle brochet sauce nantua,3760024686853,,"['Plats préparés', 'Plats préparés au poisson', 'Quenelles', 'Quenelles de poisson', 'Quenelles de brochet']",,['France'],[],[],?,,163,-16%,"11,3",-8%,"10,3",-20%,5,-32%,,,,,,,,682 kj(163 kcal),"3,6",1,"0,7","0,28",,-15%,-29%,+30%,-32%,-32%,5,-40%,C,-40%,,11.3 g,en quantité modérée,3.6 g,en quantité modérée,1 g,en faible quantité,0.7 g,en quantité modérée,,,,,,,,,,,,
1131,Lapin entier découpé sans foie + 2 assaisonnements - LOEUL ET PIRIOT - 1.030kg,2873143056740,D,"['Viandes', 'Viande de lapin']",['Viande de lapin : Origine France'],['France'],"['""Assaisonnement méditerranéen : \rHuile de colza ', '40 %', 'eau', ""huile d'olive vierge extra "", '15 %', 'jus concentré de citron jaune', 'miel', 'sel', 'herbes de Provence ', '2 % ', ' romarin', 'thym', 'sarriette', 'basilic', 'marjolaine', 'vinaigre', ""arôme naturel d'herbes"", 'persil ', '0,5 %', 'ail', 'poivre', 'origan', 'épaississant : gomme xanthane""\r ""Assaisonnement mexicain : \rHuile de colza ', '45 %', 'eau', 'sel', ""jus concentré d'orange"", 'pulpe de piment ', 'piment', 'vinaigre', 'sel', 'persil ', '2 %', 'jus concentré de citron jaune', 'paprika', 'ail', 'vinaigre', 'cumin', 'poivron rouge ', '0,5 %', 'oignon', 'coriandre', 'origan', 'piment de Cayenne', 'colorant : extrait de paprika', 'épaississant : gomme xanthane""']",['Non végétalien'],589,-15%,?,,"6,6",-16%,"0,3",-57%,20,+2%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,589 kj(141 kcal),"2,1","0,1","0,15","0,06",['LOEUL ET PIRIOT'],-11%,-12%,-76%,-70%,-70%,-7,-1248%,A,-1248%,4,6.6 g,en quantité modérée,2.1 g,en quantité modérée,0.1 g,en faible quantité,0.15 g,en faible quantité,"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",1.030 kg,"['E415 - Gomme xanthane', 'E160c - Extrait de paprika']","['Viande-francaise', 'Lapin Français']",,,['Barquette polystyrène noire'],,Lapin entier découpé,['Thouars'],https://www.lapin-et-papilles.fr,
1132,Lomo au piment tranché,0255786030585,,,,['France'],[],[],?,,70,,"0,9",,"1,7",,"13,8",,,,,,,,,293 kj(70 kcal),"0,4",1,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,Cacao sucré,5601082001456,,,,['France'],[],[],?,,386,,"6,9",,70,,"6,4",,,,,,,,,1615 kj(386 kcal),"4,4",67,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,Rhubarbe - Fruits Rouges & Co. - 750g,3385630043984,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",['France'],['France'],['Rhubarbe'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,,22,-88%,"0,2",-72%,"1,5",-96%,"0,8",-49%,,,,,,,,92 kj(22 kcal),0,"1,5",0,0,['Fruits Rouges & Co.'],-88%,-100%,-95%,-100%,-100%,-7,-951%,A,-951%,1,0.2 g,en faible quantité,0 g,en faible quantité,1.5 g,en faible quantité,0 g,en faible quantité,,750 g,,,,,"['Sachet', 'Plastique']",,,,http://www.fruitsrougesandco.com/,
1135,NERO DI SEPPIA,8032727111211,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,Lapin entier découpé sans foie + 2 assaisonnements - LOEUL ET PIRIOT - 1.644kg,2201781094921,D,"['Viandes', 'Viande de lapin']",['Viande de lapin : Origine France'],['France'],"['""Assaisonnement méditerranéen : \rHuile de colza ', '40 %', 'eau', ""huile d'olive vierge extra "", '15 %', 'jus concentré de citron jaune', 'miel', 'sel', 'herbes de Provence ', '2 % ', ' romarin', 'thym', 'sarriette', 'basilic', 'marjolaine', 'vinaigre', ""arôme naturel d'herbes"", 'persil ', '0,5 %', 'ail', 'poivre', 'origan', 'épaississant : gomme xanthane""\r ""Assaisonnement mexicain : \rHuile de colza ', '45 %', 'eau', 'sel', ""jus concentré d'orange"", 'pulpe de piment ', 'piment', 'vinaigre', 'sel', 'persil ', '2 %', 'jus concentré de citron jaune', 'paprika', 'ail', 'vinaigre', 'cumin', 'poivron rouge ', '0,5 %', 'oignon', 'coriandre', 'origan', 'piment de Cayenne', 'colorant : extrait de paprika', 'épaississant : gomme xanthane""']",['Non végétalien'],589,-15%,?,,"6,6",-16%,"0,3",-57%,20,+2%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,589 kj(141 kcal),"2,1","0,1","0,15","0,06",['LOEUL ET PIRIOT'],-11%,-12%,-76%,-70%,-70%,-7,-1248%,A,-1248%,4,6.6 g,en quantité modérée,2.1 g,en quantité modérée,0.1 g,en faible quantité,0.15 g,en faible quantité,"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",1.644 kg,"['E415 - Gomme xanthane', 'E160c - Extrait de paprika']","['Viande-francaise', 'Lapin Français']",,,['Barquette polystyrène noire'],,Lapin entier découpé,['Thouars'],https://www.lapin-et-papilles.fr,
1137,Rowse honey,5011273040759,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,['France'],[],[],?,,?,,?,,?,,?,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['Rowse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,Fresh & Good,3760288131076,,,,['France'],[],[],?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
