,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,nova_score,allergens,palm_ingredients,link
893,Farci saumon crabe,26024226,,,['Plastique'],,,['Fabriqué en France'],,,"['FR 85.047.012 CE', 'Challans (Vendée, France)']",,['France'],[],[],,,,,,,,,?,,164,,686 kj(164 kcal),,10,,"1,5",,4,,"0,4",,14,,"0,6",,"0,24",,,,,,,,,,,,,,,,,,
894,"Thon Albacore, surgelé, péché à la ligne, 2 steaks - Golden Seafood - 250g",26024592,Thon Albacore,250 g,['Surgelé'],['Golden Seafood'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Thons', 'Filets de poissons', 'Thons tropicaux', 'Filets de thon', 'Thons albacore', 'Steaks de thon albacore']",['Pêché à la ligne'],"['FAO 57', 'Océan indien']",,,['Aldi'],['France'],['100% Thon Albacore'],"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",1 g,en faible quantité,0.2 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,428,,?,,428 kj(102 kcal),-6%,1,+35%,"0,2",-42%,0,-100%,0,-100%,23,-7%,0,-100%,0,-100%,-4,,A,,D,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,1,,,
895,Twido,26025933,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,1,,"0,4",,,,,,,,,,,,,,,,,,
896,Cheesecake au citron - Milsa - 200g (2 × 100g),26027272,Dessert pâtissier au fromage blanc et au citron,200 g (2 × 100 g),"['Cartonnette', 'Pot', 'Plastique']",['Milsa'],"['Produits laitiers', 'Desserts', 'Biscuits et gâteaux', 'Gâteaux', 'Desserts lactés', 'Cheesecakes', 'Cheesecakes au citron']",,,,"['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)']",['Aldi'],['France'],"['Fromage blanc au lait entier pasteurisé 43,8%', 'sucre', 'farine de blé', 'eau', 'œuf', 'beurre', 'citron 3%', 'amidon transformé de maïs', 'jus de citron', 'sel', 'arôme naturel de citron', 'arôme naturel', 'colorant : caroténoïdes']",['Non végétalien'],7.9 g,en quantité modérée,5.3 g,en quantité élevée,25 g,en quantité élevée,0.31 g,en quantité modérée,?,,220,-29%,920 kj(220 kcal),-26%,"7,9",-51%,"5,3",-42%,34,+7%,25,+12%,"4,7",+15%,"0,31",-0%,"0,124",-0%,13,-21%,D,-21%,C,75.3%,15.7%,3.4%,3.2%,1.9%,0.5%,56,"['E14XX - Amidons modifiés', 'E160 - Caroténoïdes']",4,"['Œufs', 'Gluten', 'Lait']",,
897,Carottes rapées,26027968,,,,,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",,,,,,['France'],[],[],3 g,en quantité modérée,0.3 g,en faible quantité,5 g,en quantité modérée,0.63 g,en quantité modérée,?,,56,-30%,234 kj(56 kcal),-30%,3,-41%,"0,3",-32%,5,-17%,5,-1%,1,+16%,"0,63",-3%,"0,252",-3%,3,+576%,C,+576%,B,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,
898,"Yaourt nature sucré, au lait entier, au sucre de canne - Milsa - 1,5kg - 2 × ( 6 × 125g )",26028378,Yaourt au lait entier au sucre de canne et enrichi en vitamine D,"1,5 kg - 2 × ( 6 × 125 g )","['Cartonnette', 'Pot', 'Plastique', 'Opercule', 'Papier']","['Milsa', 'Senagral']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts sucrés', 'Yaourts entiers']","['Fabriqué en France', 'en:Lait-francais-french-milk']",['France'],,"['FR 89.209.001 CE', 'Jouy (Yonne, France)', 'EMB 89209', 'Jouy (Yonne, France)']",['Aldi'],['France'],"['Lait entier ', '89,5%', 'sucre de canne ', '7,6%', 'lait concentré écrémé et/ou lactose et protéines de lait', 'ferments lactiques', 'vitamine D ', 'lactose']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",3.3 g,en quantité modérée,2.2 g,en quantité modérée,9.3 g,en quantité modérée,0.13 g,en faible quantité,336,-10%,?,,336 kj(80 kcal),-12%,"3,3",-7%,"2,2",-4%,"9,6",-12%,"9,3",-10%,3,-14%,"0,13",+17%,"0,052",+17%,4,+61%,C,+61%,A,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,4,['Lait'],,
899,Mini cake tout choco - 150g,26028453,,150 g,,,,"['Agriculture durable', 'Fabriqué en France', 'en:palm-oil-free', 'en:UTZ Certified']",,,,,['France'],[],['Sans huile de palme'],,,,,,,,,?,,430,,1799 kj(430 kcal),,23,,"3,8",,49,,28,,"5,6",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,
900,Coupe glacée saveur 3 chocolats - Excellence - 180g e (2 * 90g),26028613,,180 g e (2 * 90 g),"['surgelé', 'Carton', 'Plastique']","['Excellence', 'Aldi']","['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat']",,,,,['Aldi'],['France'],"['Lait écrémé réhydraté', 'sucre', 'matière grasse de coco 5,8 %', 'cacao en poudre 4 %', 'sirop de glucose', 'dextrose', 'protéines de lait', 'lactose', 'alcool', 'beurre de cacao', 'pâte de cacao', 'arôme', 'extrait de vanille', ""émulsifiant: mono - et diglycérides d'acide gras "", 'palme', ' lécithine de soja', ' stabilisants: alginate de sodium', 'farine de graines de caroube', 'gomme guar', "" agent d' enrobage: gomme-laque"", ' épaississant : carraghénanes']","['Huile de palme', 'Non végétalien', 'Non végétarien']",10 g,en quantité modérée,8.3 g,en quantité élevée,29 g,en quantité élevée,0.13 g,en faible quantité,?,,234,+2%,979 kj(234 kcal),+1%,10,-16%,"8,3",+8%,30,+13%,29,+28%,"4,2",+15%,"0,13",-6%,"0,052",-6%,16,+23%,D,+23%,C,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E401 - Alginate de sodium', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E904 - Gomme-laque', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",4,"['Lait', 'Soja']",['Huile de palme'],
901,10 Crêpes Bretonnes Pur Beurre - Kergrist - 300g e,26028774,10 Crêpes de froment. 10 Crêpes Bretonnes Pur Beurre,300 g e,"['Sachet', 'Plastique']",['Kergrist'],"['Crêpes et galettes', 'Crêpes']","['Point Vert', 'Fabriqué en France', 'Pur beurre']",['Union européenne'],['France'],,,['France'],"['Lait entier', 'farine de blé', 'sucre', 'œufs frais', 'beurre concentré 10 % sel']",['Non végétalien'],12 g,en quantité modérée,6.2 g,en quantité élevée,29 g,en quantité élevée,1.8 g,en quantité élevée,1605,+21%,?,,1605 kj(384 kcal),+24%,12,+21%,"6,2",+70%,60,+32%,29,+37%,"7,5",+5%,"1,8",+122%,"0,72",+122%,23,+90%,E,+90%,B,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,3,"['Œufs', 'Gluten', 'Lait']",,
902,Preparation de fruits framboise - Tamara,26029085,,,,['Tamara'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges']",,,,,,['France'],"['framboises', 'sucre', 'gelifiant : pectines', ""correcteurs d'acidité : citrates de calcium"", 'épaississant : gomme xanthane', ' Préparé avec 75 g de fruits pout 100g']",[],0.5 g,en faible quantité,0.1 g,en faible quantité,41 g,en quantité élevée,0 g,en faible quantité,?,,183,-17%,766 kj(183 kcal),-17%,"0,5",+95%,"0,1",+114%,41,-23%,41,-20%,1,+96%,0,-100%,0,-100%,10,+11%,C,+11%,D,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,"['E440 - Pectines', 'E333 - Citrates de calcium', 'E415 - Gomme xanthane']",4,,,
903,Raclette en tranches Duo - Le Cavalier,26029108,,,,['Le Cavalier'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Raclettes']",,,,,,['France'],"['Raclette aux poivres : lait pasteurisé ', 'origine : France', 'sel', 'poivres ', '0,9%', 'ferments ', 'contiennent lait ', 'cororant ', 'croûte', ' : E160b', 'conservateur ', 'croûte', ' : E235', 'Raclette fumée : lait pasteurisé ', 'origine : France', 'sel', 'ferments ', 'contiennent lait', 'colorant ', 'croûte', ' : E160b', 'conservateur : E235,']",['Non végétalien'],26 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.77 g,en quantité élevée,?,,330,-5%,1381 kj(330 kcal),-4%,26,-5%,18,-3%,1,+36%,"0,5",+17%,23,-3%,"1,775",+6%,"0,71",+6%,16,+2%,D,+2%,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"['E160b - Rocou', 'E235 - Natamycine']",4,['Lait'],,
904,Tropézienne à la noix de coco - Desserissiles,26029368,,,,['Desserissiles'],"['Tartes', 'Tartes sucrées', 'Tartes tropéziennes']",,,,,,['France'],"['8 parts Tropézienne à la Noix de Coco : Biioche 38% ', 'farine de blé', 'eau', 'œufs', 'sucre', 'beurre', 'crème', 'améliorant ', 'dextrose', 'farine de blé', 'gluten de blé', ""malt d'orge torréfié"", 'farine de chicorée', 'antioxydant : E300', 'levure', 'sel', 'colorant : El 60a', 'crème eau', 'sucre', 'lait de noix de coco en poudre 5% ', 'contient protéines de lait', ' poudre de lait entier', 'beurre de cacao', 'noix de coco râpée ', '1', '50/J', 'amidons modifiés de maïs et de pomme de terre', 'lactosérum ', 'lait', 'stabilisant : E407', 'lait écréme en poudre', 'sirop de glucose', 'colorants : EIOI E160a', 'E160c ', ' extrait de carotte', 'stabilisants : E450', 'E516 ', ' émulsifiant : lécithine de soja', 'arômes', 'épaississant : E401', 'abricot', 'gélifiant : pectines', ""correcteur d'acidité : E330"", 'conservateur : E202', ' Traces éventuelles de fruits à coque', 'lupin et graines de sésame', ' Conditionné sous atmosphèreprotectrice', ' A conserver entre +1 oc et +4 C maximum']",['Non végétalien'],19 g,en quantité modérée,13 g,en quantité élevée,14 g,en quantité élevée,5 g,en quantité élevée,?,,328,+19%,1372 kj(328 kcal),+19%,19,+86%,13,+91%,33,-15%,14,-31%,5,+17%,5,+904%,2,+904%,27,+79%,E,+79%,,,,,,,,,"['E300 - Acide ascorbique', 'E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E516 - Sulfate de calcium', 'E322i - Lécithine', 'E401 - Alginate de sodium', 'E440 - Pectines', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,"['Œufs', 'Gluten', 'Lait']",,
905,Confiture a la cerise noire pays gourmand,26029733,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,258,,1079 kj(258 kcal),,"0,8",,"0,1",,64,,55,,"0,7",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,
906,Pizza Chevre - La Pizza de Manosque - 400g,26029801,,400 g,,['La Pizza de Manosque'],"['Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas']",,,,,,['France'],[],[],10.3 g,en quantité modérée,5 g,en quantité modérée,5.3 g,en quantité modérée,0.7 g,en quantité modérée,?,,243,+6%,1017 kj(243 kcal),+6%,"10,3",+23%,5,+27%,26,-3%,"5,3",+80%,"10,1",-2%,"0,7",-44%,"0,28",-44%,11,+42%,D,+42%,,,,,,,,,,,,,
907,Pâté en croûte aux pistache,26029849,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,324,,1356 kj(324 kcal),,21,,"7,9",,22,,1,,11,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,
908,Sardines à la harissa,26030159,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,222,,929 kj(222 kcal),,13,,"3,3",,"0,5",,"0,5",,26,,"0,85",,"0,34",,,,,,,,,,,,,,,,,,
909,Yaourt Brassé Marrons - Milsa - 150g,26030913,,150 g,,['Milsa'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la châtaigne']",,,,,,['France'],[],[],6.6 g,en quantité modérée,4.2 g,en quantité modérée,16 g,en quantité élevée,0.06 g,en faible quantité,?,,145,+21%,607 kj(145 kcal),+21%,"6,6",+46%,"4,2",+43%,19,+21%,16,+19%,"2,5",-34%,"0,06",-41%,"0,024",-41%,7,+71%,C,+71%,C,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,
910,Trecce 3 couleurs,26031217,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,383,,1602 kj(383 kcal),,"1,9",,"0,3",,78,,"2,6",,12,,"0,32",,"0,128",,,,,,,,,,,,,,,,,,
911,Assortiment de Caramels - Verquin - 300g,26031699,"Assortiment de caramels parfums café, spéculoos, chocolat et à la fleur de sel",300 g,"['Boite', 'Métal']",['Verquin'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Caramels']","['Point Vert', 'Fabriqué en France']",,['France'],,,['France'],"['Sirop de glucose', 'sucre', 'lait entier concentré sucré', 'beurre', 'crème', 'sel', 'fleur de sel 0,3 %', ""émulsifiant : mono - diglycérides d'acides gras"", 'cacao en poudre', 'arômes']",['Non végétalien'],6.8 g,en quantité modérée,4.7 g,en quantité modérée,64 g,en quantité élevée,1.4 g,en quantité modérée,1741,+7%,?,,1741 kj(416 kcal),+9%,"6,8",-30%,"4,7",-24%,"86,1",+18%,64,+25%,"1,5",-18%,"1,4",+116%,"0,56",+116%,25,+19%,E,+19%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,4,['Lait'],,
912,Steak wonder - Portland,26031866,,,,['Portland'],,,,,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,0,,0,,0,,58,,"23,2",,,,,,,,,,,,,,,,,,
913,Mont d'or AOP - Goubault,26032498,"Fromage de France AOP, à pâte molle à croûte lavée, au lait cru de vache",,"['Frais', 'Bois', 'Film plastique soudé']","['Goubault', 'Savencia']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Fromages de France', 'Fromages au lait cru', 'Fromages à pâte molle à croûte lavée', ""Mont d'Or"", 'en:Aoc-cheeses', 'en:Labeled-cheeses', 'Produits AOC', 'Produits labellisés']","['Point Vert', 'AOP', 'Eco-Emballages']","['France', 'Doubs', 'Franche-Comté']","['Fromagerie Badoz - 4 Rue Gustave Eiffel', '25300 Pontarlier', 'Doubs', 'Franche-Comté', 'France']","['FR 25.462.002 CE', 'Pontarlier (Doubs, France)']",['Aldi'],['France'],"['lait entier de vache', 'présure', 'sel', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",23 g,en quantité élevée,17 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,286,-3%,1197 kj(286 kcal),-3%,23,-7%,17,+2%,?,,"0,5",+28%,17,-4%,"1,5",+6%,"0,6",+6%,14,+1%,D,+1%,B,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,3,['Lait'],,
914,Huile d'olive - l'olivaé - 1L,26033273,Huile d'olive vierge extra,1 L,"['Plastique', 'Verre']","[""l'olivaé""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['Espagne'],['Espagne'],['ESP034'],['Aldi'],['France'],"[""Huile d'olive vierge extra""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",91.6 g,en quantité élevée,13.7 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3389,-4%,?,,3389 kj(810 kcal),-5%,"91,6",-4%,"13,7",-2%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,C,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,2,,,
915,Piment de la Jamaïque entier - Portland - 60g,26034904,,60 g,,['Portland'],,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
916,Cake a la pomme - TANTE ODILE - 300g,26035123,,300 g,,['TANTE ODILE'],"['Biscuits et gâteaux', 'Gâteaux', 'Cakes fourrés']",,,,,,['France'],[],[],18.6 g,en quantité modérée,2.43 g,en quantité modérée,35.1 g,en quantité élevée,0.378 g,en quantité modérée,?,,378,-6%,1580 kj(378 kcal),-6%,"18,6",-5%,"2,43",-68%,"48,6",-2%,"35,1",+26%,"4,59",-16%,"0,378",-38%,"0,151",-38%,14,-22%,D,-22%,,,,,,,,,,,,,
917,Les Palets Bretons Pur Beurre - Kergrist - 125g,26035178,,125 g,"['Sachet', 'Plastique', 'Papier']",['Kergrist'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Palets']","['Point Vert', 'Pur beurre']",,"['29170 Fouesnant', 'Finistère', 'Bretagne', 'France', 'Biscuiterie Fouesnantaise', 'Biscuiterie Poult', ""8 Z.A. de Park C'hastel""]",,['Aldi'],['France'],"['Farine de blé,beurre pâtissier ', 'soit 30% en beurre reconstitué', ' ', 'colorant: caroténoïdes', 'sucre', ""oeufs et jaune d'oeufs,poudre à lever: carbonates de sodium - diphosphates - carbonates d'ammonium"", 'sel', 'lait écrémé en poudre']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",26 g,en quantité élevée,17 g,en quantité élevée,23 g,en quantité élevée,0.96 g,en quantité modérée,2134,+3%,?,,2134 kj(510 kcal),+3%,26,+2%,17,+4%,62,+2%,23,-11%,6,+2%,"0,96",+9%,"0,384",+9%,25,+4%,E,+4%,C,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"['E160 - Caroténoïdes', 'E500 - Carbonates de sodium', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', ""E503 - Carbonates d'ammonium""]",4,"['Œufs', 'Gluten', 'Lait']",,
918,Mini marbrés - Petit Choisi - 210g e,26037042,,210 g e,"['Carton', 'boîte', 'Plastique']",['Petit Choisi'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Gâteaux marbrés']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,,['France'],"['Farine de blé', 'œufs', 'sucre', 'huile de colza', 'chocolat 6,1 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel', 'stabilisant : glycérol', 'sirop de glucose-fructose', 'amidon de blé', 'arômes ', 'contient alcool', 'poudres à lever : diphosphates - carbonates de sodium', ""émulsifiant : mono- et diglycérides d'acides gras"", 'sel', 'gélifiant : gomme xanthane', 'farine de blé malté']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",23 g,en quantité élevée,3.1 g,en quantité modérée,26 g,en quantité élevée,0.52 g,en quantité modérée,?,,433,0%,1812 kj(433 kcal),+0%,23,-0%,"3,1",-38%,52,+4%,26,-6%,"6,2",+8%,"0,52",-22%,"0,208",-22%,15,-10%,D,-10%,C,81.2%,10.7%,3.9%,2.1%,2.1%,0.0%,55,"['E322i - Lécithine', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E415 - Gomme xanthane']",4,"['Œufs', 'Gluten', 'Soja']",,
919,Crêpe Dentelle enrobée de Chocolat Noir - Kergrist - 100g,26037097,,100 g,"['Carton', 'Plastique']",['Kergrist'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Crêpes dentelle', 'Crêpes dentelle au chocolat']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,,,['Aldi'],['France'],"['Chocolat noir 43 % ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'beurre pâtissier ', 'lait', 'émulsifiant : arôme naturel de vanille', 'farine de blé', 'sucre', 'huile végétale ', 'colza', 'beurre pâtissier ', 'lait', 'lactose et protéines de lait', 'sel', ""extrait de malt d'orge"", 'émulsifiant : lécithines ', 'tournesol', 'poudre à lever : carbonates de sodium', 'antioxydant : alpha-tocophérol', ' Contient soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",23 g,en quantité élevée,12 g,en quantité élevée,44 g,en quantité élevée,0.6 g,en quantité modérée,2122,+3%,?,,2122 kj(507 kcal),+4%,23,+8%,12,-6%,67,0%,44,-5%,"5,5",-7%,"0,6",-1%,"0,24",-1%,27,+2%,E,+2%,D,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,"['E322i - Lécithine', 'E500 - Carbonates de sodium', 'E307 - Alphatocophérol']",4,"['Gluten', 'Lait', 'Soja']",,
920,Dextrose party - petit furet - 330g,26037226,,330 g,['Sac'],['petit furet'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['Belgique'],,['Aldi'],['France'],[],[],0.5 g,en faible quantité,0.4 g,en faible quantité,23 g,en quantité élevée,0.01 g,en faible quantité,?,,98,-72%,410 kj(98 kcal),-73%,"0,5",-73%,"0,4",-62%,24,-71%,23,-60%,0,-100%,"0,01",-92%,"0,004",-92%,6,-58%,C,-58%,E,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,,,,
921,26037228,26037228,,,,,,,,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
922,Ratatouille - Ecrin Des Champs (aldi),26037561,,,,['Ecrin Des Champs (aldi)'],"['Plats préparés', 'Légumes préparés', 'Ratatouilles']",,,,,,['France'],[],[],3.7 g,en quantité modérée,0.4 g,en faible quantité,3.7 g,en faible quantité,0.81 g,en quantité modérée,?,,62,-9%,259 kj(62 kcal),-7%,"3,7",-1%,"0,4",-26%,"4,9",-4%,"3,7",-5%,"1,4",+19%,"0,81",+14%,"0,324",+14%,3,+207%,C,+207%,B,69.3%,12.8%,5.7%,6.8%,3.2%,2.3%,79,,,,,
923,Ail au Chili - Regalo,26037622,,,,['Regalo'],,,,,,,['France'],[],[],,,,,,,,,?,,68,,285 kj(68 kcal),,"3,6",,"0,3",,"4,9",,"0,5",,3,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,
924,Ourson guimauve - Petit Furet - 1kg,26038223,Ourson guimauve,1 kg,['Boite plastique'],['Petit Furet'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Guimauves']",,,,,['Aldi'],['France'],"['sirop de glucose-fructose', 'sucre', 'eau', 'beurre de cacao', 'poudre de lait entier', 'pâte de cacao', 'gélatine', 'lactosérum en poudre', 'émulsifiant : lécithine', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",10.2 g,en quantité modérée,6 g,en quantité élevée,51 g,en quantité élevée,0.06 g,en faible quantité,1654,+10%,?,,1654 kj(395 kcal),+12%,"10,2",+214%,6,+212%,"69,7",-9%,51,-20%,"4,9",+35%,"0,06",+5%,"0,024",+5%,19,+20%,E,+20%,B,60.5%,21.9%,10.2%,5.2%,2.3%,0.0%,89,"['E428 - Gélatine', 'E322i - Lécithine']",4,['Lait'],,
925,Sirop d'erable du canada - 250ml,26038469,,250 ml,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,['France'],[],[],,,,,,,,,?,,348,,1456 kj(348 kcal),,0,,0,,87,,85,,0,,0,,0,,,,,,,,,,,,,,,,,,
926,Sucettes de chocolat au lait fourrage lait - Isaura,26039527,,,,['Isaura'],,['Fabriqué en Allemagne'],,,,,['France'],[],[],,,,,,,,,?,,536,,2243 kj(536 kcal),,30,,18,,58,,57,,"6,1",,"0,22",,"0,088",,,,,,,,,,,,,,,,,,
927,Pain 800g - 800g,26040073,,800 g,,,,,,,,,['France'],[],[],,,,,,,,,?,,265,,1109 kj(265 kcal),,"3,2",,"1,6",,49,,8,,9,,"0,49",,"0,196",,,,,,,,,,,,,,,,,,
928,Biscuits fourrage noisette - les malins plaisirs - 225g,26040479,,225g,,['les malins plaisirs'],,"['Agriculture durable', 'Fabriqué en France', 'en:UTZ Certified']",,['France'],"['EMB 41059G', 'Contres (Loir-et-Cher, France)']",['Aldi'],['France'],"['sucre', 'farine de blé', 'graisse de palme et oléine de palme', 'pâte de noisettes 5%', 'cacao maigre en poudre', 'émulsifiant : lécithines ', 'soja', 'poudre de lait écréme poudre à lever: diphosphates et carbonates de sodium', 'arôme', 'sel', 'oeufs']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,493,,2063 kj(493 kcal),,23,,8,,63,,38,,7,,"0,4",,"0,16",,,,,,,,,,,,,,"['E322i - Lécithine', 'E450i - Pyrophosphate de sodium acide']",4,"['Œufs', 'Gluten', 'Soja']",['Huile de palme'],
929,Cake abricot - Tante Odile,26041360,,,,['Tante Odile'],,,,,,,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,15,,"1,9",,50,,35,,"4,5",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,
930,6 Nonnettes au miel - Véritable Délice - 150g,26041889,6 Nonnettes au miel fourrées à la framboise,150 g,['Plastique'],['Véritable Délice'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux fourrés', 'Nonnettes', 'Nonnettes à la framboise']",,,"['France', '41300 SALBRIS']",,['ALDI'],['France'],"['farine de blé', 'fourrage à la framboise 25% ', 'sucre de canne roux', 'purée de framboise 5%', ""régulateur d'acidité : jus de citron"", 'épaississant : pectines', 'arôme', 'stabilisant : citrates de calcium', 'miel 21%', 'sucre', 'sirop de sucre inverti', ""jaune d'oeuf salé "", ""jaune d'oeuf"", 'sel', 'poudres à lever ', 'carbonates de sodium', ""carbonates d'ammonium"", 'arôme']",['Non végétalien'],2.9 g,en faible quantité,0.5 g,en faible quantité,50 g,en quantité élevée,0.6 g,en quantité modérée,?,,348,+2%,1456 kj(348 kcal),+2%,"2,9",+66%,"0,5",-5%,77,+0%,50,+9%,"3,6",-0%,"0,6",+25%,"0,24",+25%,16,+7%,D,+7%,,,,,,,,,"['E440 - Pectines', 'E500 - Carbonates de sodium', ""E503 - Carbonates d'ammonium""]",4,"['Œufs', 'Gluten']",,
