,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,manufacturing,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,ingredients_origins,packaging,generic_name,markets,palm_ingredients,link,brand_owner
32,Kruidnagelen gemalen - Euroma - 1kg,8717600004360,1 kg,['Euroma'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Guilin Rice Vermicelli - Bùn Quê' Lâm,8717624000751,,,['France'],[],[],?,354,1481 kj(354 kcal),9,0,87,2,"1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Phoenix Brand Guilin Rice Vermicelli,8717624000775,,,['France'],[],[],?,352,1473 kj(352 kcal),"1,06","0,52","79,8","0,24","5,91","0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Galette de riz -  - 400g,8717624001154,400 g,,['France'],[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Galette de riz -  - 400g,8717624001208,400 g,,['France'],[],[],?,341,1427 kj(341 kcal),"0,39","0,12","83,8",0,"0,51","1,08","0,432",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de riz pour rouleau de printemps']",,,,,,0.39 g,en faible quantité,0.12 g,en faible quantité,0 g,en faible quantité,1.08 g,en quantité modérée,,+4%,+4%,+29%,+65%,+11%,-100%,-72%,+17%,+17%,8,+23%,C,+23%,,,,,,,,,,,,,,,
37,Red Cargo Rice - Herman Kuijper BV,8717624001703,,['Herman Kuijper BV'],['France'],['riz cargo rouge'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,345,1443 kj(345 kcal),"2,7",2,"72,8","6,3","7,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Sauce à base de yaourt tartare - Les Sauces de Charlotte,8717624130090,,['Les Sauces de Charlotte'],['France'],"['Eau', 'huile de colza', 'yaourt frais 10%', 'oignons', 'moutarde', 'sucre', 'amidon modifié ', 'pomme de terre', 'maïs', ""jaune d'œuf"", 'vinaigre', 'sel', 'conservateur : sorbate de potassium', 'épaississants: gomme de guar/gomme de xanthane', 'herbes et épices']",['Non végétalien'],?,188,787 kj(188 kcal),"16,7","1,5","8,4","4,7","1,1","1,3","0,52",B,"['Epicerie', 'Sauces', 'Sauces au yaourt']",,,,"['E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar', 'E415 - Gomme xanthane']",4,16.7 g,en quantité modérée,1.5 g,en quantité modérée,4.7 g,en faible quantité,1.3 g,en quantité modérée,,-11%,-11%,-14%,-29%,+26%,+10%,-23%,-17%,-17%,9,-11%,C,-11%,58.6%,17.6%,9.9%,8.6%,4.2%,1.1%,88,"['Œufs', 'Moutarde']",,,,,,,
39,Tsarina Esra - De Molen - 33cl,8717624421495,33 cl,['De Molen'],['France'],"['Eau', ""malt d'orge "", 'gluten', 'houblon', 'levure']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bières fortes', 'Bières néerlandaises', 'Imperial Porter']",['Déconseillé aux femmes enceintes'],['Pays-Bas'],,,4,,,,,,,,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,['Gluten'],,"['Bouteille', 'Verre']",,,,,
40,Pâte d’amandes - NMK ESBACO,8717624522659,,['NMK ESBACO'],['France'],"['sucre', 'amandes 30%', 'lactose ', 'lait', 'sirop de glucose', 'stabilisant: sorbitol', 'humectant: invertase', 'épaississant: E401', 'colorants: curcumine', 'carmins', 'E142']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,432,1807 kj(432 kcal),"15,6","1,6","67,2","63,5","5,2","0,06","0,024",E,"['Massepain', ""Pâtes d'amande""]",,,,"['E420 - Sorbitol', 'E1103 - Invertase', 'E401 - Alginate de sodium', 'E100 - Curcumine', 'E120 - Acide carminique', 'E142 - Vert acide brillant BS', '', 'Risque modéré de sur-exposition']",4,15.6 g,en quantité modérée,1.6 g,en quantité modérée,63.5 g,en quantité élevée,0.06 g,en faible quantité,,-2%,-2%,-7%,-11%,+3%,+4%,-17%,+56%,+56%,16,+3%,D,+3%,92.2%,3.6%,1.7%,1.8%,0.8%,0.0%,25,"['Lait', 'Fruits à coque']",,,,,,,
41,Icing wrap,8717624530739,,,['France'],[],[],?,399,1669 kj(399 kcal),"5,3","3,7","87,5","85,2",0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Pâte a sucre,8717624534829,,,['France'],[],[],?,399,1669 kj(399 kcal),"5,3","3,7","87,5","85,2",0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Fondant pâte à sucre - Voilà,8717624539763,,['Voilà'],['France'],"['sucre', 'sirup de glucose', 'grasses végétales ', 'palmiste', 'palme', 'humectant: ? glycérol', 'épaississant: gomme L', 'xanthane', 'E466', 'émulsifiant: E471', 'ârome naturel', 'conservateur: acide sorbique', 'acidifiant: acide citrique', 'colorant: carmins', 'caroténoïdes', 'lutéine', 'El 33', ' Ce produit peut an es fruits ntenir des tr coques', ""conserver au sec et à l'abri""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,400,1674 kj(400 kcal),"5,5","3,8","86,7","85,3",0,"0,12","0,048",,,,,,"['E422 - Glycérol', 'E415 - Gomme xanthane', 'E466 - Carboxyméthylcellulose', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E120 - Acide carminique', 'E160 - Caroténoïdes', 'E161b - Lutéine']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,
44,Adventure Food poulet au curry,8717624621413,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Mince beef hotpot,8717624621512,,,['France'],[],[],?,450,1883 kj(450 kcal),"23,6","16,5","47,7","7,4","12,5","2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,chiclen curry,8717624622410,,,['France'],[],[],?,413,1728 kj(413 kcal),"9,7","6,7","66,2","8,7","12,3","2,6","1,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Voor Jou Typical Dutch Delfsblauw,8717624830266,,['Voor Jou'],['France'],"['Sugar/Suiker', 'cocoamass/', 'ïcaomassa', 'cocoabutter/cacaoboter', 'milk powder/volle melkpoeder', 'emulsifier/ emulgator', 'soy lecithil sojalecithine', 'flavor/aroma: natural vanilla flavor/natuurlijk vanill', ' Allergens/Allergenen: miWmelk', 'soy/soja']",['Non végétalien'],?,531,2222 kj(531 kcal),"30,2","18,1","57,4","55,8","5,9","0,14","0,056",,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Voor Jou,8717624831621,,,['France'],[],[],?,531,2222 kj(531 kcal),"30,2","18,1",57,"55,7","5,9","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,8717662021374,8717662021374,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Green Curry Paste (groene Curry Pasta),8717662260841,,,['France'],[],[],?,81,339 kj(81 kcal),0,0,16,10,2,"7,6","3,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Pané poulet,8717662632877,,,['France'],[],[],?,272,1138 kj(272 kcal),"17,4","3,8","16,6","1,1","11,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Multi drink,8717662962073,,,['France'],[],[],?,27,113 kj(27 kcal),0,0,"6,6","6,6",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Orange Juice - Jaffa Champion - 8 * 200ml,8717662967474,8 * 200 ml,"['Jaffa Champion', 'Jaffa']",['France'],"['Eau', 'sucre', 'acidifiant : acide citrique', 'colorant : carotènes', ""correcteur d'acidité : citrates de sodium"", 'antioxydant : vitamine C', ""arôme naturel d'orange""]","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",174,?,174 kj(42 kcal),"< 0,1",0,"10,3","10,3","< 0,1","0,003","0,001",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', ""Boissons à l'orange"", 'Boissons avec sucre ajouté', 'Boissons sans sucre ajouté']",,,,"['E330 - Acide citrique', 'E160 - Caroténoïdes', 'E331 - Citrates de sodium', 'E300 - Acide ascorbique']",4,0.1 g,en faible quantité,0 g,en faible quantité,10.3 g,en quantité élevée,0.00254 g,en faible quantité,+6%,,+7%,-42%,-100%,+13%,+22%,-71%,-80%,-80%,13,+48%,E,+48%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,"['Gourde', 'Plastique', 'Carton', 'Pasteurisé']",Boisson rafraîchissante orange avec supplément de vitamine C,,,,
