,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,manufacturing,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,ingredients_origins,packaging,generic_name,markets,palm_ingredients,link,brand_owner
359,Nuggets - Vivera - 250g,8718300057885,250 g,['Vivera'],['France'],"['59% PROTEINE DE SOJA et DE BLE rehydratée', 'chapelure [FARINE DE BLE', 'sel', 'levure', 'Curcuma', 'colorant [curcumine]]', ""l'huile de tournesol"", ""BLANC D'OEUF [de poules élevées en plein air]"", 'eau', 'fibres de pois', 'arôme naturel', 'herbes et épices', 'AMIDON DE BLE', 'psyllium', 'FARINE DE BLE', 'oignon', 'ail', 'sel', 'maltodextrine', 'amidon de mais', 'fer', 'vitamine B12', ' Produit dans une usine ou sont égolement transformés du lait [lactose] et du lupin']",['Non végétalien'],?,220,920 kj(220 kcal),"8,3",1,"17,8","1,4",17,"1,6","0,64",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']","[""À l'huile de tournesol""]",,,['E100 - Curcumine'],4,8.3 g,en quantité modérée,1 g,en faible quantité,1.4 g,en faible quantité,1.6 g,en quantité élevée,,-11%,-10%,-28%,-19%,-5%,-19%,+22%,+25%,+25%,4,+55%,C,+55%,,,,,,,,"['Œufs', 'Gluten', 'Lupin', 'Lait']",,,,,,,
360,Pumpkin sweat potato burger - Vivera,8718300872150,,['Vivera'],['France'],[],"['Végétalien', 'Végétarien']",?,99,414 kj(99 kcal),3,"0,3","10,3",3,"5,1","1,3","0,52",,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Visburger steak de poisson - Vivera,8718300872570,,['Vivera'],['France'],[],[],?,223,933 kj(223 kcal),"9,1","1,1","20,2","1,1","13,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Pulled veggie - Vivera,8718300876226,,['Vivera'],['France'],[],[],?,119,498 kj(119 kcal),"0,4","0,1","12,6","7,7","13,9","1,49","0,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Falafelburger - vivera - 1,8718300888250,1,['Vivera'],"['Belgique', 'France']",[],[],?,118,494 kj(118 kcal),"2,2","0,3","19,1","3,9","4,1","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Biscuit au chocolat sans gluten,8718309007379,,,['France'],[],[],?,456,1908 kj(456 kcal),"23,2","10,5","58,5","22,9","2,2","0,7","0,28",,,"['en:gluten-free', 'Sans lactose']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,"Wassermaxx, Mojito",8718309252076,,['Wassermaxx'],['France'],[],[],?,7,29 kj(7 kcal),"0,1","0,02","1,7","1,5","0,1","0,02","0,008",,['Boissons'],['Produits faisant référence au Mojito'],,,,,0.1 g,en faible quantité,0.02 g,en faible quantité,1.5 g,en faible quantité,0.02 g,en faible quantité,,-88%,-88%,-71%,-83%,-85%,-84%,-80%,-52%,-52%,2,-74%,C,-74%,,,,,,,,,,,,,,,
366,Concentré saveur Thé Pêche Zéro - Sodastream - 500ml,8718309252700,500 ml,['Sodastream'],['France'],[],[],0,0,0 kj(0 kcal),0,0,0,0,0,"0,68","0,272",B,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Boissons concentrées', 'Préparations pour boissons']",,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.03 g,en quantité modérée,-100%,-100%,-100%,-100%,,-100%,-100%,-100%,+50%,+50%,0,-100%,B,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,"['Bouteille', 'Plastique']",,,,,
367,Sodastream - Concentré Cocktail Margarita - 30025369,8718309253691,,,['France'],[],[],?,12,50 kj(12 kcal),0,0,"2,9","2,9",0,"0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,Concentré Saveur Cranberry Framboise - Sodastream - 500ml,8718309254520,500 ml,['Sodastream'],['France'],"['Sucre', 'eau', 'jus de pomme concentré ', '12%', 'arôme', 'acidifiant ', 'acide citrique', 'jus de sureau à base de concentré ', '1,4%', 'édulcorants ', 'acésulfame K', 'sucralose', 'colorant ', 'E150d', ""correcteur d'acidité "", 'citrate trisodique', 'conservateur ', 'sorbate de potassium', 'stabilisant ', 'E471']","[""Pourrait contenir de l'huile de palme""]",1428,?,1428 kj(341 kcal),0,0,84,"77,5","0,2","0,122","0,049",B,"['Boissons', 'Sirops', 'Boissons édulcorées', 'Sirops aromatisés', 'Boissons concentrées']",,,,"['E330 - Acide citrique', 'E950 - Acésulfame K', 'E955 - Sucralose', ""E150d - Caramel au sulfite d'ammonium"", 'E331iii - Citrate trisodique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",4,,,,,,,,,+76%,,+114%,-100%,-100%,+129%,+118%,+49%,-57%,-57%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,"['Bouteille', 'Plastique']",,,,http://www.sodastream.fr/186-saveur-cranberry-framboise.html,
369,Concentré Ananas pamplemousse 500ml 30025940 - 500mL,8718309259402,500 mL,,['France'],[],[],?,14,59 kj(14 kcal),0,0,"3,4","3,4",0,"0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,Préparation pour soda concentré saveur orange,8718309259433,,,['France'],[],[],?,321,1343 kj(321 kcal),0,0,"79,2",72,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Sirop Green Tea-Lychee - Sodastream - 500ml,8718309259655,500 ml,['Sodastream'],"['Belgique', 'France']",[],[],?,17,71 kj(17 kcal),?,0,?,"4,4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Flacon'],,,,,
372,Justnuts Nut Bar Cashew Cranberry &cacao,8718309920579,,['Justnuts'],['France'],[],[],?,154,644 kj(154 kcal),"8,7",2,"13,8","9,2","4,1","0,01","0,004",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Justnuts Nut Bar Pecan Apple and Cinnamon,8718309920609,,['Justnuts'],['France'],"['Ingrédients: graines de courge', 'miel', 'raisins secs ', ' raisins secs', 'huile de tournesol', 'noix de pécan ', '12%', 'arachides', 'cubes de pommes séchées ', '8%', 'graines de sésame', 'noix de cajou', 'cannelle']",['Non végétalien'],?,158,661 kj(158 kcal),"9,5","1,4","13,1","9,4","4,1","0,01","0,004",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fruits à coque', 'Arachides', 'Graines de sésame']",,,,,,,
374,Justnuts Nut Bar Almond Goji and Chia,8718309920630,,['Justnuts'],['France'],"['Mande/""\' ', '73%', '596', 'Chia-Samen* ', '5%', 'Sesamsamen*', 'Cashewkerne*', ' FRInqrédients: graines d amandes* Fa "" hécq* ', '5%', 'graines de ', '13%', 'raisins secs* ', 'raisins secs*', 'huile de tournesol*', 'arachides*', 'baies de go', 'l sec chia* ', '5%', 'graines de sésame*', 'noix de cajou*', ' NL Ingrediënten: pompoenzaden', ' honlng*', '13%', 'rozijnen* ', 'gedroogde druiven*', ""pinda's*"", 'gedroogde goji bessen* ', '5%', 'z/en* ', '5%', 'sesamzaden,* cashewnotent']",[],?,509,2130 kj(509 kcal),30,"4,2","39,7","28,3","16,4","0,03","0,012",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Fruits à coque', 'Arachides', 'Graines de sésame']",,,,,,,
375,"Mausteinen Pähkinäpatukka, Marrakesh Nomad - Justnuts",8718309920753,,['Justnuts'],['France'],[],[],?,560,2343 kj(560 kcal),?,"6,4",?,"19,4","18,7","0,7","0,28",,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Cajun Hunter - Justnuts,8718309920784,,['Justnuts'],['France'],"['arachides*j graines de courge*', 'miel*', 'noix de cajou* 10%', 'aman', ' 8,75%', 'mélange dépices* 3,75% ', 'paprika*', 'sel', 'ail*', 'poivre noir*', 'oignon*', 'origaf', 'thym*', 'piment cayenne*', 'piment oiseau*', "" NL Inqredlënten: pinda's*"", 'pompoenpitten*', 'hcning?', ' cashewnoten* 1 amandelen* 8,75%', 'kruiden mir 3,75% ', 'paprika*', 'zout', 'knoflook*', 'zwarte ui*', 'oregano*', 'ti cayennepeper*', "" bird's eye""]",['Non végétalien'],?,563,2356 kj(563 kcal),"37,5",6,"33,1","19,5","19,2","0,76","0,304",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,
377,"Mausteinen Pähkinäpatukka, Captain Curry",8718309920845,,,['France'],[],[],?,562,2351 kj(562 kcal),"10,4",10,"34,9","21,8","17,4","0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Monopoly au chocolat,8718347512279,,,['France'],[],[],?,443,1854 kj(443 kcal),15,"5,1",63,17,10,"0,3","0,12",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Bio', 'Agriculture durable', 'en:UTZ Certified']",,,,,15 g,en quantité modérée,5.1 g,en quantité élevée,17 g,en quantité élevée,0.3 g,en quantité modérée,,+6%,+7%,+15%,+54%,+4%,+1%,+2%,+72%,+72%,14,+185%,D,+185%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,,,
379,Chocolat Monopoly - Gamesformotion  - 60,8718347516086,60,['Gamesformotion'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Uno En Chocolat - SASchocosuisse,8718347516444,,['SASchocosuisse'],['France'],"['sucre', 'masse de cacao', 'beurre de cacao', 'LAIT entier en poudre', 'LAIT écrémé en poudre', 'émulsifiant ', 'lécithine de SOYA', 'vanille ', 'arôme naturel', ' ALLERGÈNES : Contient du Lait et soya']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,518,2167 kj(518 kcal),27,16,61,59,"6,5","0,1","0,04",,,,,,['E322i - Lécithine'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lait', 'Soja']",,,,,,,
381,Slagers Achterham 125 Gram - Jumbo,8718375463253,,['Jumbo'],['France'],"['Gerookte achterham', 'varkensvleesproduct Ingredienten: varkensdees Beter Leven 1 ster 98%', 'dextose', 'zout', 'vœdingeuur', ' Ei326', 'E451', 'antmdant E316', 'varken#temoglobine', 'E250']",[],?,123,515 kj(123 kcal),"4,5","1,7",2,2,"18,5","2,3","0,92",,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Dressing honing mosterd - Jumbo,8718375476352,,['Jumbo'],"['France', 'Pays-Bas']",[],[],?,257,1075 kj(257 kcal),21,"1,7","15,8",15,"1,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Gouda jeune ail basilic tranchettes bio 50+,8718403000597,,,['France'],[],[],?,357,1494 kj(357 kcal),"29,6","19,8",0,0,"22,7","1,9","0,76",D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",['Bio'],,,,,29.6 g,en quantité élevée,19.8 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,,-1%,-1%,-1%,-1%,-100%,-100%,-3%,-3%,-3%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
384,Fromage chévre tranchettes - Echte Holland - 150g,8718403000634,150 g,['Echte Holland'],['France'],['Lait pasteurisé chèvre biologique-sel-acide lactique-présure végétarienne'],[],?,357,1494 kj(357 kcal),"29,61","19,84",0,0,"22,7","1,9","0,76",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de chèvre']","['Bio', 'Bio européen', 'NL-BIO-01', 'AB Agriculture Biologique']",['Hollande'],['NL-BIO-01'],,,29.6 g,en quantité élevée,19.8 g,en quantité élevée,0 g,en faible quantité,1.9 g,en quantité élevée,,+26%,+27%,+30%,+24%,-100%,-100%,+31%,+41%,+41%,17,+28%,D,+28%,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,['Pays-Bas'],['150 g'],,['Cbio'],,,
385,Gouda jeune affiné râpé,8718403001600,,,['France'],[],[],?,384,1607 kj(384 kcal),31,20,3,0,25,2,"0,8",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']","['Bio', 'Bio européen', 'NL-BIO-01']",,,,,31 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,+6%,+6%,+4%,+1%,+2262%,-100%,+6%,+2%,+2%,17,+1%,D,+1%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,
386,Mangue - Plaisir des sens,8718403470024,,['Plaisir des sens'],['France'],[],[],?,?,,?,,?,,?,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Mangues']",,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0%,0.0%,0.0%,83.7%,1.0%,0.3%,25,,,,,,,,
387,Baies de goji - Lidl - 150.0g,8718403882803,150.0 g,['Lidl'],['France'],['fig'],[],?,337,1410 kj(337 kcal),"3,3","0,5","57,2","53,1","12,5","1,34","0,536",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Baies de goji séchées']",,,,,,3.3 g,en quantité modérée,0.5 g,en faible quantité,53.1 g,en quantité élevée,1.34 g,en quantité modérée,,+2%,+1%,+12%,+13%,-3%,+19%,0%,+114%,+114%,4,+36%,C,+36%,,,,,,,,,,['Sachet'],,['Lidl'],,,
388,Mûres blanches,8718403882810,,,['France'],[],[],?,349,1460 kj(349 kcal),2,"0,6","74,9","73,1","3,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Baie d s Inca,8718403882827,,,['France'],[],[],?,329,1377 kj(329 kcal),8,"0,101",45,40,"7,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,Noix - Orchard Dreams,8718403883787,,['Orchard Dreams'],['France'],"['CERNEAUX DE NOIX Traces éventuelles dlautres fruits a coque et dtarachides,']",[],?,707,2958 kj(707 kcal),"68,1","6,1","5,4","2,9","15,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,
391,Amandes Orchard - Orchard Dreams - 150g e,8718403883800,150 g e,['Orchard Dreams'],['France'],['Amandes'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,622,2602 kj(622 kcal),"50,2","4,1","17,7","4,9",21,0,0,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']","['Point Vert', 'Fabriqué aux Pays-Bas']",['Pays-Bas'],,,1,50.2 g,en quantité élevée,4.1 g,en quantité modérée,4.9 g,en faible quantité,0 g,en faible quantité,,-0%,+0%,-3%,-1%,+48%,+18%,-5%,-100%,-100%,-3,-446%,A,-446%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,['Fruits à coque'],,"['Sachet', 'Plastique']",Amandes,,,,
392,Raw Walnuts - Nappa's - 100g,8718403886320,100 g,"[""Nappa's""]",['France'],['Cerneaux de noix'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,707,2958 kj(707 kcal),"68,1","6,1","5,4","2,9","15,9",0,0,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,,,1,68.1 g,en quantité élevée,6.1 g,en quantité élevée,2.9 g,en faible quantité,0 g,en faible quantité,,+3%,+3%,+6%,+3%,-45%,-9%,+6%,-100%,-100%,10,+288%,C,+288%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,['Fruits à coque'],,"['Sachet', 'Plastique']",Cerneaux de noix - Raw Walnuts,,,,
393,Raw almonds - Nappa’s,8718403886337,,['Nappa’s'],['France'],"['AMANDES', "" Peut contenir des traces d'autres fruits à coque et d’arachides"", "" À conserver à l'abri de l’humidité et de la lumière"", ' Conditionné sous atmosphere protectrice']",[],?,628,2628 kj(628 kcal),"50,2","4,1","17,7","4,9",21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,
394,Pure Nibs 82% cacao,8718421150045,,,['France'],[],[],?,675,2824 kj(675 kcal),"57,9",34,34,"14,1","5,9","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,LOVE CHOCK cherry chili,8718421151189,,,['France'],[],"['Végétalien', 'Végétarien']",?,588,2460 kj(588 kcal),"43,6","24,3","44,3","24,2","5,1","0,04","0,016",,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,CHOCOLAT CRU ANANAS BAIE DES INCAS - Lovechock,8718421151769,,['Lovechock'],['France'],"['pâte de cacao crue*', 'beurre de cacao', 'ananas séché* ', '20%', 'nectar de fleur de coco séché* baies des Incas ', 'Physalis', ' séchées* ', '5%', 'lucuma en poudre* vanille Bourbon* sel marin', ' La partie chocolat contient 81% cacao minimum', "" *d'origine biologique""]",[],?,598,2502 kj(598 kcal),"45,2",25,44,"25,4","4,6","0,04","0,016",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,CHOCOLAT CRU MURE BLANCHE VANILLE - Lovechock,8718421151776,,['Lovechock'],['France'],"['pâte de cacao crue* ', 'beurre de cacao* ', 'mûres blanches séchées* ', '21%', 'nectar de fleur de coco séché* ', 'quinoa germé séché* ', 'lucuma en poudre* ', 'vanille Bourbon* ', '1%', 'poivre de Cayenne* ', 'sel marin', ' La partie chocolat contient: 81% cacao minimum', "" *d'origine biologique""]",[],?,581,2431 kj(581 kcal),"44,4","24,4","40,9","20,8",6,"0,04","0,016",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Tablette éclats Fèves & Sel Marin - Lovechock - 70g,8718421154746,70g,"['Lovechock', 'Lovechock com']",['France'],"['Pâte de cacao crue', 'beurre de cacao', 'nectar de fleur de coco séchée', 'dattes', ""éclats de feves de cacao' "", '6%', ""lucuma en poudre'"", 'sel marin ', '0,4%', 'vanille Bourbon', ' La partie chocolat contient 86% cacao minimum']",[],?,651,2724 kj(651 kcal),"55,7",31,34,"17,1","5,2","0,56","0,224",D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs aux fèves de cacao']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'NL-BIO-01']",['Amsterdam'],['SKAL 025561 NL-BIO-01'],,3,55.7 g,en quantité élevée,31 g,en quantité élevée,17.1 g,en quantité élevée,0.56 g,en quantité modérée,,+16%,+16%,+35%,+24%,-1%,-38%,-36%,+1672%,+1672%,23,+12%,E,+12%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,"['Brésil', 'Équateur', 'Mexique']",['Carton'],,['Naturalia'],,http://www.lovechock.com,
399,Chocolat 84% Myrtille Chanvre - Lovechock com - 70g,8718421154753,70g,"['Lovechock com', 'Lovechock']",['France'],"['Pâte de cacao crue*', 'beurre de cacao*', 'nectar de fleur de coco séché*', 'graines de chanvre* ', '7%', 'dattes*', 'myrtilles lyophilisées* ', '4%', 'baobab en poudre*', 'vanille Bourbon*', 'sel marin']","['Végétalien', 'Végétarien']",?,646,2703 kj(646 kcal),"56,5",30,31,"15,6","6,7","0,05","0,02",D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats crus']","['Bio', 'Végétarien', 'Ecocert', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE', 'NL-BIO-01', 'PEFC', 'FOIL 4 SOIL']",,,,3,56.5 g,en quantité élevée,30 g,en quantité élevée,15.6 g,en quantité élevée,0.05 g,en faible quantité,,+9%,+9%,+20%,+4%,+2%,-5%,-22%,-19%,-19%,21,+9%,E,+9%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,"['Sachet', 'Plastique', 'Carton']",,['SOBIO'],,,
400,Chocolat cru biologique - Lovechock com - 70g,8718421154760,70 g,"['Lovechock com', 'Lovechock']",['France'],"['pâte de cacao crue', 'beurre de cacao', 'nectar de fleur de coco séché', 'amandes 8%', 'dattes', 'baobab en poudre 2%', 'lucuma en poudre 2%', 'vanille bourbon', 'sel marin']","['Végétalien', 'Végétarien']",?,626,2619 kj(626 kcal),"51,9","21,7",27,"18,8","7,4","0,01","0,004",D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux amandes']","['Bio', 'Végétarien', 'Bio européen', 'Sans gluten', 'Agriculture non UE', 'Végétalien', 'Agriculture UE', 'Agriculture UE/Non UE', 'NL-BIO-01', 'Sans lait', 'PEFC', 'Direct trade', 'Foil4Soil']",,,,3,51.9 g,en quantité élevée,21.7 g,en quantité élevée,18.8 g,en quantité élevée,0.01 g,en faible quantité,,+12%,+13%,+39%,+16%,-38%,-52%,-13%,-93%,-93%,21,-8%,E,-8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Fruits à coque'],,"['Plastique', 'Carton']",,['La Vie Claire'],,http://www.lovechock.com/fr/producten/tablets/amande-baobab.html,
401,Chocolat Cru Mure Chanvre Rocks - Lovechock,8718421155606,,['Lovechock'],['France'],"['pâte de cacao cru*', 'mûres blanches séchées* ', '23%', 'beurre de cacao*', 'nectar de fleur de coco séché*', 'quinoa germé seché*', 'graines de chanvre* ', '4%', 'vanille Bourbon*', 'sel marin', "" La partie chocolat contient'"", ' 81% cacao minimum', "" *d'origine biologique""]",[],?,556,2326 kj(556 kcal),41,"21,6",41,"20,4","7,4","0,07","0,028",,['Matières grasses'],['Bio'],,,,2,41 g,en quantité élevée,21.6 g,en quantité élevée,20.4 g,en quantité élevée,0.07 g,en faible quantité,,-31%,-31%,-54%,-5%,+18204%,+12493%,+4081%,-64%,-64%,18,+59%,D,+59%,,,,,,,,,,,,,,,
402,Chocolat Cru Noisette Vanille Rocks - Lovechock,8718421155620,,['Lovechock'],['France'],"['pâte de cacao cru*', 'noisettes* ', '25%', 'beurre de cacao*', 'nectar de fleur de coco séché*', 'quinoa germé seché*', 'cacao en poudre cru*', 'vanille Bourbon ', '0,7%', '* sel marin', ' La partie chocolat contient: 76% cacao minimum', "" *d'origine biologique""]",[],?,647,2707 kj(647 kcal),"55,1","22,8","32,1","13,2","8,2","0,04","0,016",,,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'NL-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fruits à coque'],,,,,,,
403,Noisette matcha CREAMY - Lovechock - 40g,8718421157594,40 g,['Lovechock'],['France'],"['pâte de cacao*', 'nectar de fleurs de coco séché*', 'beurre de cacao*', 'noisettes ', '17%', '*', 'cerises sechées*', 'matcha ', '0,8%', '*', 'lécithine de tournesol', 'vanille Bourbon*', ' La partie chocolat contient: 70% cacao minimum', "" *d'origine biologique""]",[],?,538,2251 kj(538 kcal),"41,9","19,6","34,4",20,"6,6",0,0,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats fourrés', 'Chocolats noirs fourrés']","['Bio', 'Bio européen', 'NL-BIO-01']",,,['E322i - Lécithine'],3,41.9 g,en quantité élevée,19.6 g,en quantité élevée,20 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+28%,+8%,-30%,-54%,+17%,-100%,-100%,20,-14%,E,-14%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Fruits à coque'],,,,,,,
404,Bio Bandits Irresistible Italian Organic Dressing - BioBandits,8718421270002,,['BioBandits'],['France'],"['Graine de moutarde', 'huile de tournesol', 'vinaigre de pomme', 'sucre', 'miel', 'eau', 'sel', 'aneth', 'romarin', 'thym', 'ail', 'oignon', 'paprika', 'origan', 'basilic', 'poivre', 'noix de muscade']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,226,946 kj(226 kcal),"14,3","2,4","21,8","4,6","2,2","0,9","0,36",,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Moutarde'],,,,,,,
405,Humming Honey Mustard Sauce - Bio Bandits,8718421270026,,['Bio Bandits'],['France'],"[""graines de moutarde'"", ""sucre'"", 'huile de tournesol*', 'vinaigre de pommes', 'eau', ' miel* ', '3%', 'sel', 'arôme naturel']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,256,1071 kj(256 kcal),"14,7","2,3","28,3",8,"2,2","0,5","0,2",,,['Bio'],,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Moutarde'],,,,,,,
406,Organic yoghurt mayonnaise,8718421271634,,,['France'],[],[],?,539,2255 kj(539 kcal),56,"3,9","5,7","4,4","3,5","0,8","0,32",D,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,,,56 g,en quantité élevée,3.9 g,en quantité modérée,4.4 g,en faible quantité,0.8 g,en quantité modérée,,-12%,-12%,-15%,-37%,+112%,+201%,+185%,-40%,-40%,12,-33%,D,-33%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,
