,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
212,Lardons de canard du sud ouest - Labeyrie,3033610060581,,,['France'],"['VIANDE DE CANARD FUME AU BOIS DE HÊTRE', 'DÉCONGELÉE\r Magret et aiguillettes de canard du Sud-Ouest', 'sel', 'poivre', 'épices', 'antioxydant : ascorbate de sodium', 'conservateur : nitrite de sodium', 'ferments']",[],,,,,,,,,?,,157,,657 kj(157 kcal),,7,,"1,83",,"1,6",,"0,7",,22,,"2,7",,"1,08",,,,,,,,,,,,,['Labeyrie'],,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,,,,,,,,,
213,Magret de Canard Séché au Poivre - LABEYRIE - 90,3033610060642,,"['Viandes', 'Charcuteries', 'Charcuteries diverses']",['France'],"['magret de canard ', '97%', 'sel', 'poivre épices', 'antioxydant : E301', 'conservateur : E250 ferments', 'couverture poivre gris']","['Non végétalien', 'Non végétarien']",31 g,en quantité élevée,13 g,en quantité élevée,1.4 g,en faible quantité,3.1 g,en quantité élevée,?,,337,+15%,1410 kj(337 kcal),+17%,31,+27%,13,+41%,"1,6",-9%,"1,4",+79%,23,+53%,"3,1",+59%,"1,24",+59%,24,+28%,E,+28%,,,,,,,,['LABEYRIE'],,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,3,90,,,,['Magasins U'],,,,
214,Saumon fume norvege 4 tranches 140 g - Labeyrie - 160g (140g + 20g gratuit),3033610071150,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],"['saumon atlantique ', 'Salmo salar', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,?,,198,+7%,828 kj(198 kcal),+7%,12,+14%,"2,5",+21%,"0,6",+21%,"0,6",+80%,22,-0%,"2,9",+3%,"1,16",+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,['Poisson'],3,160 g (140g + 20g gratuit),,,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,
215,Saumon Fumé- Le Norvège - Labeyrie - 250g,3033610072355,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],"['saumon atlantique ', 'Salmo salar', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,?,,198,+7%,828 kj(198 kcal),+7%,12,+14%,"2,5",+21%,"0,6",+21%,"0,6",+80%,22,-0%,"2,9",+3%,"1,16",+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,['Poisson'],3,250 g,,"['Barquette', 'Plastique']","['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,
216,Saumon fumé Ecosse - Labeyrie - 80g,3033610072959,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']",['France'],"['Saumon atlantique ', 'Salmo salar', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",11 g,en quantité modérée,2.8 g,en quantité modérée,0.16 g,en faible quantité,2.89 g,en quantité élevée,?,,189,+42%,791 kj(189 kcal),+43%,11,+196%,"2,8",+248%,"0,6",+22%,"0,16",-56%,22,-8%,"2,89",-2%,"1,156",-2%,14,+26%,D,+26%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,,3,80 g,Saumon fumé,"['Plastique', 'Frais']","['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['Carrefour Market'],"['Ecosse', 'Loch Fyne']",,,
217,Saumon fumé Le Norvège - Labeyrie - 185g,3033610074908,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",['France'],"['saumon atlantique ', 'Salmo salar', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,?,,198,+4%,828 kj(198 kcal),+4%,12,+8%,"2,5",+16%,"0,6",+21%,"0,6",+69%,22,-0%,"2,9",+0%,"1,16",+0%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,['Poisson'],3,185 g,,['Barquette'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,['Norvège'],['France'],,
218,Saumon fume sensation gourmande - Labeyrie,3033610076551,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,?,,198,+7%,828 kj(198 kcal),+7%,12,+14%,"2,5",+21%,"0,6",+21%,"0,6",+80%,22,-0%,"2,9",+3%,"1,16",+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,,,,,,,,,,,
219,Saumon fumé - Labeyrie,3033610076568,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",['France'],[],[],12 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,2.9 g,en quantité élevée,?,,198,+7%,828 kj(198 kcal),+7%,12,+14%,"2,5",+21%,"0,6",+21%,"0,6",+80%,22,-0%,"2,9",+3%,"1,16",+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],,,,,,,,,"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",,,,,
220,Saumon degustation le norvege - Labeyrie,3033610076759,,,['France'],"['SAUMON ATLANTIQUE ', 'SALMO SALAR', 'SEL']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,198,,828 kj(198 kcal),,12,,"2,5",,"0,6",,"0,6",,22,,"2,9",,"1,16",,,,,,,,,,,,,['Labeyrie'],,,,,,,,,,,,,,
221,Saumon fumé d'Alaska - Labeyrie - 220g,3033610078005,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons sauvages', 'Saumons fumés sauvages']","['France', 'Suisse']","['Saumon', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",2.6 g,en faible quantité,0.6 g,en faible quantité,0.8 g,en faible quantité,2.9 g,en quantité élevée,?,,123,-8%,515 kj(123 kcal),-7%,"2,6",-30%,"0,6",-25%,"0,8",+62%,"0,8",+120%,24,+1%,"2,9",-2%,"1,16",-2%,11,-1%,D,-1%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],"['Pêche durable', 'Pêche durable MSC']",,,['Poisson'],3,220 g,,['Sous vide'],"['FR 40.261.001 CE', 'Saint-Geours-de-Maremne (Landes, France)']",['Coop'],['Alaska'],['France'],,
222,"Saumon fumé de dégustation - Ecosse, boisé et généreux - Labeyrie - 210g",3033610083177,D,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', 'Saumons fumés de dégustation', ""Saumons fumés d'élevage""]",['France'],"['Saumon atlantique ', 'Salmo salar', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",11 g,en quantité modérée,2.8 g,en quantité modérée,0.6 g,en faible quantité,3 g,en quantité élevée,791,+0%,?,,791 kj(189 kcal),-0%,11,-1%,"2,8",+30%,"0,6",+21%,"0,6",+69%,22,-0%,3,+4%,"1,2",+4%,14,+4%,D,+4%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,['Labeyrie'],['Engagement qualité LABEYRIE'],,,['Poisson'],3,210g,,"['Plastique', 'Barquette']",['UK BD009 EC'],,"['Royaume-Uni', 'Ecosse', 'Iles Shetland']",,,
223,Confit d'oignons - Labeyrie - 110g,3033610091998,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Plantes condimentaires', 'Produits à tartiner salés', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Oignons et dérivés', ""Confits d'oignons""]",['France'],"['Oignons ', '52%', 'sucre de canne', 'vin', 'vinaigre', 'sel', 'poivre']","['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,2.1 g,en quantité élevée,950,+35%,224,+33%,950 kj(224 kcal),+35%,0,-100%,0,-100%,53,+51%,51,+57%,"1,1",+10%,"2,1",+235%,"0,84",+235%,18,+173%,D,+173%,,,,,,,,['Labeyrie'],,,,,3,110 g,,,"['EMB 47027', 'Bias (Lot-et-Garonne, France)']",,,,,
224,Grand Chocolat noir Intense 70% - Nestlé - 100g,3033710001347,D,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Pâte de Cacao ', ""Afrique de l'ouest"", 'Equateur', 'sucre', 'beurre de cacao', 'beurre pâtissier ', 'lait', 'arôme naturel de vanille de Madagascar']",['Non végétalien'],44.9 g,en quantité élevée,26.6 g,en quantité élevée,26.4 g,en quantité élevée,0.0254 g,en faible quantité,2442,+7%,?,,2442 kj(584 kcal),+5%,"44,9",+14%,"26,6",+15%,"30,7",-20%,"26,4",-17%,8,+4%,"0,025",-46%,"0,01",-46%,17,-20%,D,-20%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Nestlé'],,,,['Lait'],4,100g,Chocolat noir,"['Papier aluminium', 'Carton']",,['Carrefour'],['France'],,,
225,Jus De Veau Lié - Chef,3033710031047,,,['France'],"['Fécule de maïs', 'fécule de pomme de terre', 'sel', 'maltodextrine', 'sucre', 'extrait de levure', 'arômes', 'farine de blé', 'légumes ', 'oignons', 'tomates', 'viande de veau 3,8%', 'huile de tournesol', 'extrait de chicorée', 'colorant ', 'caramel ordinaire', 'extrait de viande de bœuf', 'épaississant ', 'gomme guar', 'ail', 'extrait de vin blanc', 'antioxydant ', 'extraits de romarin', ' Peut contenir : œuf', 'lait', 'céleri']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,326,,1364 kj(326 kcal),,"4,1",,1,,57,,13,,13,,"14,01",,"5,604",,,,,,,,,,,,,['Chef'],,"['E150a - Caramel E150a', 'E412 - Gomme de guar', 'E392 - Extrait de romarin']",,['Gluten'],4,,,,,,,,,
226,Chocolat Noir - Nestlé - 100g,3033710032693,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant: lécithine de tournesol', 'arôme naturel de vanille']","['Sans huile de palme', 'Végétalien', 'Végétarien']",34.7 g,en quantité élevée,20.9 g,en quantité élevée,46.7 g,en quantité élevée,1 g,en quantité modérée,2290,+0%,545,-2%,2290 kj(545 kcal),-1%,"34,7",-12%,"20,9",-10%,"50,6",+31%,"46,7",+47%,"4,9",-36%,< 1,+2041%,"0,4",+2041%,25,+18%,E,+18%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,['Nestlé'],,['E322i - Lécithine'],,,4,100 g,,,,,,,,
227,"1,425KG Kub Or 95L Maggi - Angry birds",3033710046980,,,['France'],"['du bouillon déshydraté sel', 'exhausteur de goût : glutamate monosodique ', ' arômes ', 'blé', 'sucre', 'acidifiant : acide citrique ', ' oignon', 'huile de tournesol', 'ail', 'graines de coriandre', 'extraits de poivre', 'laurier et girofle', ' Peut contenir : lait', 'œuf', 'céleri', 'moutarde', 'soja']",[],,,,,,,,,?,,125,,523 kj(125 kcal),,"1,3",,"0,2",,14,,"5,6",,15,,"68,4",,"27,36",,,,,,,,,,,,,['Angry birds'],,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique']",,['Gluten'],4,,,,,,,,,
228,Pack 6X500ML Guigoz 2 Liquide - 6x 500ml,3033710053711,B,"['Aliments pour bébé', 'Laits pour bébé']",['France'],"['Eau', 'lait écrémé', 'lactose', 'huiles végétales ', 'oléine de palme', 'colza', 'coprah', 'tournesol', 'maltodextrine', 'protéines solubles de lait', 'citrates de calcium', 'de potassium', ' phosphate de calcium', 'émulsifiant : lécithine de soja', 'chlorures de sodium et de magnésiums ', ' vitamines : C', 'niacine', 'E', 'pantothénate de calcium', 'A', 'B1', 'B6', 'D', 'K', 'acide folique', 'biotine', ' sulfates ferreux', 'de zinc', 'de cuivre et de manganèse', ' antioxydant : palmitate de L-ascorbyle', ' iodure de potassium', 'sélénate de sodium']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,67,-71%,280 kj(67 kcal),-70%,"3,2",-68%,"1,2",-63%,"8,2",-69%,"5,6",-67%,"1,3",-73%,"0,026",-86%,"0,01",-86%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,['Guigoz'],,"['E322i - Lécithine', ""E304i - Palmitate d'ascorbyle""]",['Oléïne de palme'],['Lait'],4,6 x 500 ml,,,,['Magasins U'],,,,
229,"Soupe Infantile Légumes Variés Et Riz P'tit Souper Nestle, Dès",3033710062768,,,['France'],"['Eau de cuisson', 'Haricots verts 12K Semoule de riz cuite 10%', 'Carottes 9%', 'Épinards 3%', 'Maltodextrine', 'Huile de colza', 'Amidon transformé', 'Semoule de blé', 'Oignons', 'Sel', 'Persil']",[],,,,,,,,,?,,62,,259 kj(62 kcal),,"2,5",,"0,2",,"8,9",,"2,8",,"0,8",,"0,31",,"0,124",,,,,,,,,,,,,"['Nestlé', 'Ptit souper']",['Sans conservateurs'],['E14XX - Amidons modifiés'],,,4,,,,,['Magasins U'],,,,
230,Lait liquide pour nourrissons jusqu'a 6 mois - Guigoz,3033710069361,B,"['Aliments pour bébé', 'Laits pour bébé', 'Laits 1er âge', 'Laits infantiles prêts à consommer']",['France'],"['I GRÉDIENTS : Eau', 'lait écrémé', 'lactose', 'huiles végétales ', 'oléine de palme', 'colza', 'coprah', 'tournesol', 'protéines solubles de lait', 'maltodextrine', 'citrates de calcium et de potassium', 'émulsifiant : lécithine de soia', ' chlorures de sodium', ""de potassium et de magnésium correcteur d'acidité citrique"", ' aci e l', 'phénylalanine', 'phosphate de potassium', 'vitamines : Ç El niacine', 'antothénate de calcium', 'A', 'BI', 'B6', 'Ë2', 'acide folique', 'K', 'biotine D', ' l•histiéine', 'inositol', 'taurine', 'nucléotides', 'sulfates ferreux', 'de zinc', 'de cuivre et de manganèse', ' l', 'carnitinet iodure de potassium', 'sélénate de sodium']","['Huile de palme', 'Non végétalien']",,,,,,,,,?,,67,,280 kj(67 kcal),-72%,"3,6",,"1,5",-59%,"7,5",-76%,"6,2",-73%,"1,2",-69%,"0,3",+36%,"0,12",+36%,,,,,71.8%,1.0%,10.1%,9.4%,6.0%,1.7%,94,['Guigoz'],,['E322i - Lécithine'],['Oléïne de palme'],['Lait'],4,,,,,,,,,
231,Velouté de légumes verts - Sveltesse - 4,3033710072774,C,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes']",['France'],"['Féculent et légumes verts 64% : pomme de terre 48%', 'légumes verts 16% ', 'poireau 8,2%', 'petit pois 5,3%', 'haricot vert 1,4%', 'épinard', 'feuille de céleri', ' ', ' amidons', 'sel', 'strop de glucose', 'inuline ', 'fibres de chicorée', 'huile de tournesol', 'épice', 'ail', ""extraits naturels d'acérola et de poivre"", 'arômes', 'antioxydant : BHA', ' Peut contenir des traces de : lait', ' blé', 'moutarde et œuf']",['Non végétalien'],0.2 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.7 g,en quantité modérée,?,,28,-28%,117 kj(28 kcal),-28%,"0,2",-87%,"0,1",-83%,"5,6",+18%,"0,5",-73%,"0,7",-18%,"0,7",+9%,"0,28",+9%,3,+124%,C,+124%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,66,['Sveltesse'],,['E320 - Butylhydroxyanisol'],,,4,4,,,,['Magasins U'],,,,
232,Nescafé sélection décaféiné - 50g,3033710076888,E,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés décaféinés', 'Cafés solubles', 'Cafés en poudre décaféinés']",['France'],[],[],,,,,,,,,?,,0,-100%,0 kj(0 kcal),-100%,"3,1",+1329%,1,+652%,"3,1",-29%,"0,85",-41%,"7,8",+184%,,,,,,,,,84.8%,12.4%,0.3%,1.0%,0.1%,1.5%,26,"['Nescafé', 'Nestlé']",,,,,,50 g,Café soluble décaféiné,"['Flacon', 'Verre']",,,,,,
233,Bouillon de Poule-au-Pot - Maggi - 150g (15x 10g),3033710082209,,"['Epicerie', 'Aides culinaires', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés', 'Bouillons cubes', 'Bouillons de volaille', 'Bouillons de Poule-au-Pot']",['France'],"['Sel', 'maltodextrine', 'exhausteurs de goût: glutamate de sodium', 'guanylate de sodium et inosinate de sodium', ' volaille 5,5%: graisse de poulet 3,5%', 'extrait de poulet 2%', ' sucre', 'légumes ', 'poireau', 'carotte', 'navet', ' et extraits de légumes ', 'poireau', 'carotte', 'céleri', 'oignon', ' 2,9%', 'arômes', 'persil', 'curcuma', 'caramel ', 'sucre', 'eau', 'fibres de légume', 'antioxygène: extrait riche en tocophérols']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,24,-97%,?,,24 kj(6 kcal),-96%,"0,1",-98%,,,"0,9",-95%,,,"0,3",-95%,,,,,,,,,,,,,,,,"['Maggi', 'Nestlé']","['Sans colorants', 'Sans conservateurs']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E306 - Extrait riche en tocophérols']",,['Céleri'],4,150 g (15 x 10 g),Bouillon déshydraté en tablettes,"['Boîte', 'Carton']",,['Leclerc'],,['France'],http://www.maggi.fr/nos-produits-vos-reductions/fiche-produit/Bouillon%20de%20Poule-au-pot%20MAGGI+ae0876bb-533b-4e2f-a64c-17e98f51db4f.aspx,
234,"Mousline Tendresse de Lait - Maggi - 4x 31,25g = 125g",3033710085675,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']",['France'],"['Pomme de terre 86  %', 'lait entier en poudre 12,5 %', 'beurre de cuisine ', 'lait', ""émulsifiants : mono- et diglycérides d'acides gras "", 'issu du colza', 'lécithine de soja ', ' antioxydant : extraits de romarin ', ' stabilisant : diphosphates ', ' arômes', 'épices']","['Sans huile de palme', 'Non végétalien']",1.82 g,en faible quantité,1.11 g,en faible quantité,4.98 g,en faible quantité,0.116 g,en faible quantité,?,,365,+16%,1527 kj(365 kcal),+16%,"3,8",+138%,"2,2",+137%,"70,5",+12%,"7,3",+175%,"9,2",+31%,"0,15",-78%,"0,06",-78%,1,,B,,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,"['Maggi', 'Mousline', 'Tendresse de Lait', 'Nestlé']","['Sans colorants', 'Sans conservateurs', 'en:palm-oil-free', 'Info-Tri Point Vert', 'Nutritional Compass®', 'Pommes de terre françaises sélectionnées', 'Purée produite en France']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E392 - Extrait de romarin', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",,"['Lait', 'Soja']",4,"4 x 31,25 g = 125 g",Purée de pomme de terre en flocons au lait,"['Sachets plastique à jeter', 'Etui carton à recycler', 'Sous atmosphère protectrice']",,['Cora'],"['France', 'Picardie']","['Société Industrielle de Transformation de Produits Agricoles - SITPA (Filiale Groupe Nestlé) - Rue du 14 Juillet - 80170 Rosières-en-Santerre', 'Somme', 'Picardie', 'France']",https://www.maggi.fr/puree-mousline-tendresse-de-lait,
235,Chocolat en poudre - Benco,3034479446097,D,"['Boissons', 'Petit-déjeuners', 'Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Boissons instantanées', 'Chocolats en poudre']",['France'],"['reference pour un adulte-lgpe ', '8400 kJ 12000 kccl', ' EN GRANULÉS POUR BOISSON AU CACAO ENRICHIE EH IITA', 'it li Y', ': Sucr% cacao fortement dégrais± sel de GLUTEN', ' preférence fin : voir date figuronl sur le dans un endroit sec', ' Benco est une marque 3 034470 003107']",[],,,,,,,,,?,,375,+13%,1569 kj(375 kcal),+10%,"2,2",-49%,"1,4",-45%,81,+28%,78,+38%,"4,8",-24%,"0,225",+8%,"0,09",+8%,,,,,75.0%,1.1%,15.1%,5.7%,3.2%,0.0%,52,['Benco'],['en:gluten-free'],,,['Gluten'],,,,,,,,,,
236,Peguet jambon sec de savoie tranche x4 - Peguet savoie,3034910062114,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons crus', 'Jambons secs']",['France'],"['jambon de porc VPF', 'sel', 'sucre', 'conservateur : nitrate de potassium', ' Présence possible de LACTOSk', ' Conditionné sous pntectricg', ' A conserver entre OOC et +80C', "" À consommer jusqu'au I NO do lot : SAVOIE - dil - 74440 TANINGES""]",[],13 g,en quantité modérée,5.5 g,en quantité élevée,0.1 g,en faible quantité,5.8 g,en quantité élevée,?,,229,-2%,958 kj(229 kcal),-3%,13,+2%,"5,5",+13%,"0,1",-83%,"0,1",-73%,28,-3%,"5,8",+16%,"2,32",+16%,17,+2%,D,+2%,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,['Peguet savoie'],,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,['Aucun'],,,,,,,,,,
237,Moutarde à l'ancienne - Maille - 380g,3036710217800,C,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', ""Moutardes à l'ancienne""]",['France'],"['vinaigre', 'graine de moutarde ', '27%', 'eau', 'sel', 'sucre', 'arôme', 'acidifiant : acide lactique', 'conservateur : E224 ', 'sulfite']",['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,55.3%,14.9%,23.7%,4.6%,1.5%,0.0%,73,"['Maille', 'Unilever']",['Point Vert'],"['E270 - Acide lactique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,"['Moutarde', 'Anhydride sulfureux et sulfites']",4,380 g,Moutarde à l'ancienne,"['Bocal', 'Verre', 'Couvercle', 'Métal']",,,,,,
238,Maille à l'estragon - 215g,3036810208074,B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",['France'],[],[],9.5 g,en quantité modérée,0.5 g,en faible quantité,4.9 g,en faible quantité,4.9 g,en quantité élevée,?,,598,+252%,2502 kj(598 kcal),+252%,"9,5",-12%,"0,5",-39%,"6,3",-9%,"4,9",+27%,"6,3",-4%,"4,9",+4%,"1,96",+4%,18,+55%,D,+55%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,['Maille'],,,,,,215g,Moutarde à l'estragon,['Verre'],,,,,,
239,Grande Cuvée VINAIGRE DE VIN ROUGE - MAILLE - 500g,3036810230693,B,"['Vinaigres', 'Vinaigres de vin', 'Vinaigres de vins rouges']","['France', 'Suisse']","['Vinaigre de vin rouge ', 'dont sulfites', 'stabilisant: gomme arabique ', 'E414', 'conservateur: metabisulfite de potassium']",['Sans huile de palme'],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,['MAILLE'],,"[""E414 - Gomme d'acacia"", 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",,,4,500 g,,,,,,,,
240,Velouté de Légumes Verts - Liebig - 2 * 30cl (60cl),3036810350094,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de légumes verts']",['France'],"['Eau', 'légumes verts 21,4 % ', 'courgette', 'poireau', 'petit pois', 'épinard', 'lait écrémé reconstitué', 'pomme de terre', 'oignon 2,2 %', 'amidon transformé de maïs', 'sel', 'beurre de cuisine', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",0.7 g,en faible quantité,0.4 g,en faible quantité,0.9 g,en faible quantité,0.65 g,en quantité modérée,126,,?,,126 kj(30 kcal),-11%,"0,7",-46%,"0,4",-21%,"4,6",+31%,"0,9",-17%,1,-8%,"0,65",+7%,"0,26",+7%,2,+87%,B,+87%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,['Liebig'],,['E14XX - Amidons modifiés'],,['Lait'],4,2 * 30 cl (60 cl),Velouté de légumes verts,"['Carton', 'Brique']",,['Carrefour'],,,,
241,Sauce Salade Nature California - Lesieur Professionnel - 980ml,3036810588091,D,"['Epicerie', 'Sauces', 'Sauces salades']",['France'],"['Eau', 'huile de colza ', '30%', 'vinaigre', 'moutarde de Dijon 5', '5% ', 'eau', 'graine de moutarde', 'vinaigre', 'sel', 'antioxydant disulfite de potassium', 'acidifiant : acide citrique', 'sirop de glucose', 'sel', 'épaississants : gommes xanthane et guar', 'acidifiant : acide citrique', 'colorant: lutéine', 'antioxydant : E385']","['Sans huile de palme', 'Végétalien', 'Végétarien']",31 g,en quantité élevée,2.2 g,en quantité modérée,1.1 g,en faible quantité,2.3 g,en quantité élevée,?,,291,-13%,1218 kj(291 kcal),-12%,31,-7%,"2,2",-35%,"3,5",-37%,"1,1",-71%,"0,4",-39%,"2,3",+21%,"0,92",+21%,15,+4%,D,+4%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,['Lesieur Professionnel'],,"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E415 - Gomme xanthane', 'E412 - Gomme de guar', 'E161b - Lutéine', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,['Moutarde'],4,980 ml,,,,,,,,
