,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,additives,palm_ingredients,allergens,nova_score,quantity,generic_name,packaging,traceability_code,markets,ingredients_origins,manufacturing,link,producer_info
964,"Taboulé à l'orientale (+20% gratuit) - Sans marque - 1,2kg",3181580279134,B,"['Plats préparés', 'Plats à base de semoule', 'Taboulés', 'Taboulés orientaux']",['France'],[],[],9.3 g,en quantité modérée,0.81 g,en faible quantité,2.9 g,en faible quantité,0.93 g,en quantité modérée,?,,206,+16%,862 kj(206 kcal),+16%,"9,3",+37%,"0,81",+15%,"25,1",+7%,"2,9",-28%,"4,5",+5%,"0,93",-2%,"0,372",-2%,4,+50%,C,+50%,63.1%,7.6%,11.4%,10.7%,5.7%,1.6%,94,"['Sans marque', 'jean Stalaven']",['Sans conservateurs'],,,,,"1,2 kg",,"['Barquette', 'Plastique']","['EMB 22389B', ""Yffiniac (Côtes-d'Armor, France)""]",['Cora'],,['France'],,
965,Merguez d'agneau - Auchan,3181688101351,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez']",['France'],[],[],19 g,en quantité modérée,5.8 g,en quantité élevée,1.8 g,en faible quantité,1.6 g,en quantité élevée,?,,239,-9%,1000 kj(239 kcal),-9%,19,-12%,"5,8",-37%,"1,9",-10%,"1,8",+57%,15,+5%,"1,6",-16%,"0,64",-16%,14,-26%,D,-26%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,['Auchan'],,,,,,,,,,['Auchan'],,,,
966,Boulettes d'agneau -,3181688104352,,"['Viandes', 'Préparations de viande', 'Préparations de viande hachée']",['France'],[],[],9 g,en quantité modérée,4.9 g,en quantité modérée,0.5 g,en faible quantité,2.8 g,en quantité élevée,?,,186,-15%,778 kj(186 kcal),-15%,9,-44%,"4,9",-22%,"1,1",-54%,"0,5",-33%,24,+58%,"2,8",+133%,"1,12",+133%,16,+38%,D,+38%,,,,,,,,,,,,,,,,,,,,,,
967,Grillettines Équilibre - Brioche Pasquier,3182180000623,,,['France'],[],[],,,,,,,,,?,,418,,1749 kj(418 kcal),,"9,5",,"4,5",,70,,9,,11,,"1,14",,"0,456",,,,,,,,,,,,,"['Brioche Pasquier', 'Pasquier']",,,,,,,,,,,,,,
968,Les Grillettines (Blé Complet) - Brioche Pasquier - 230g,3182180033270,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Tartines']",['France'],"['Farine de blé', 'blé complet concassé ', '13%', 'matière grasse végétales ', 'palme', 'sucre', 'levure', ""gluten de blé sirop de malt d'orge"", 'lait écrémé en poudre', 'sel', 'émulsifiant : E471', 'E481', 'E472e', 'agent de traitement de la farine : acide ascorbique']","['Huile de palme', 'Non végétalien']",11.5 g,en quantité modérée,6.5 g,en quantité élevée,8 g,en quantité modérée,0.89 g,en quantité modérée,1748,,?,,1748 kj(418 kcal),+14%,"11,5",+127%,"6,5",+265%,62,-6%,8,+69%,"12,5",+39%,"0,89",+8%,"0,356",+8%,10,+383%,C,+383%,,,,,,,,"['Brioche Pasquier', 'Pasquier']",,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E472e - Ester Monoacéthyltartrique de mono- et diglycérides d'acides gras"", 'E300 - Acide ascorbique']",,"['Gluten', 'Lait']",4,230 g,,['Carton'],,,,,http://www.pasquier.fr/produit/gamme-11-Grillettines.html,
969,Cidre et peche 3%Vol. - Ecusson - 75cl,3182280067199,C,"['Boissons', 'Boissons alcoolisées', 'Cidres']",['France'],"['Cidre', 'jus de pêche à base de concentré ', '10%', 'arômes', ' Contient des sulfites']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,['Ecusson'],"['Point Vert', 'Déconseillé aux femmes enceintes']",,,['Anhydride sulfureux et sulfites'],4,75 cl,Cidre aromatisé à la pêche,"['Bouteille', 'Verre']",,,,,,
970,Multivitaminé - Danao,3182280072117,,,['France'],[],[],,,,,,,,,?,,44,,184 kj(44 kcal),,0,,0,,"9,7",,"9,7",,"0,5",,,,,,,,,,,,,,,,,['Danao'],,,,,,,,,,,,,,
971,Panier de saison - Danao,3182280081843,,,['France'],[],[],,,,,,,,,?,,41,,172 kj(41 kcal),,0,,0,,9,,"8,5",,"0,6",,,,,,,,,,,,,,,,,['Danao'],,,,,,,,,,,,,,
972,Betteraves Rouges Cuites et Épluchées -  - 500g,3182342125126,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Betteraves', 'Betteraves en conserve']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,6.7 g,en quantité modérée,0.1 g,en faible quantité,?,,43,-4%,180 kj(43 kcal),-2%,0,-100%,0,-100%,"7,2",+6%,"6,7",+8%,"2,3",+69%,"0,1",-75%,"0,04",-75%,-5,,A,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,,"['Bio', 'Bio européen', 'Agriculture UE', 'FR-BIO-01', 'AB Agriculture Biologique']",,,,,500 g,,,,,['Union européenne'],,,
973,Betterave rouge cuite - Betty Loire,3182342504792,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Betteraves']",['France'],['Betterave rouge'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,6.7 g,en quantité modérée,0.14 g,en faible quantité,?,,43,-4%,180 kj(43 kcal),-4%,"0,5",+53%,"0,1",+80%,"7,2",-5%,"6,7",-1%,"2,3",+39%,"0,14",-48%,"0,056",-48%,-5,,A,,65.8%,0.0%,0.0%,19.7%,13.6%,0.9%,99,['Betty Loire'],['Fabriqué en France'],,,,1,,,,,,,,,
