,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,nova_score,markets,packaging,traceability_code,allergens,additives,palm_ingredients,ingredients_origins,brand_owner,generic_name,manufacturing,link,producer_info
1753,Poulet tabdoori,3760094449600,,,['France'],[],[],,,,,,,,,?,,162,,678 kj(162 kcal),,"4,5",,"2,6",,18,,"5,2",,13,,"1,2",,"0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,"Hirsebällchen, Classic",20756215,,,['France'],[],[],,,,,,,,,?,,370,,1548 kj(370 kcal),,"4,2",,"0,1",,64,,"0,7",,12,,"0,65",,"0,26",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,Farine de blé T55 Bio,3760050700141,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,['Bio'],,,,,,,,,,,,,,,
1756,Baby avocat,3700353615094,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,Provolone Piquant,2441848018044,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Provolone']",['France'],[],[],29 g,en quantité élevée,18 g,en quantité élevée,0 g,en faible quantité,3.5 g,en quantité élevée,?,,371,+2%,1552 kj(371 kcal),+2%,29,+1%,18,-5%,"1,5",+63%,0,-100%,26,+3%,"3,5",+55%,"1,4",+55%,19,+7%,E,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1758,Morbier lait cru grand age,0207019024014,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",['France'],[],[],29 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,?,,357,+1%,1494 kj(357 kcal),+1%,29,+1%,20,+3%,1,+29%,1,+141%,23,+2%,"1,3",-9%,"0,52",-9%,14,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,
1759,Saucisse seche,2853341032272,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,Bugnes Nature,3602826450266,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,Delice de dinde fumé,7101122490380,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"2,8",,"0,8",,"6,4",,"0,5",,"16,2",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,Filet de porc séché,2869033033458,,,['France'],[],[],,,,,,,,,?,,116,,485 kj(116 kcal),,"2,3",,"0,9",,"0,7",,0,,23,,"3,2",,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,
