,name,bar_code,eco_score,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,brand,quantity,nova_score,markets,packaging,traceability_code,allergens,additives,palm_ingredients,ingredients_origins,brand_owner,generic_name,manufacturing,link,producer_info
554,Mélange vitalité,2600292035957,,,['France'],[],[],,,,,,,,,?,,328,,1372 kj(328 kcal),,"2,4",,"0,3",,"67,8",,"59,4",,"4,2",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Brioche au beurre,0204026054973,,,['France'],[],[],,,,,,,,,?,,376,,1573 kj(376 kcal),,16,,11,,52,,13,,"6,5",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Pain moule,0220153005848,,,['France'],[],[],,,,,,,,,?,,253,,1059 kj(253 kcal),,"0,9",,"0,2",,51,,"1,4",,"8,5",,"1,9",,"0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Pain au chorizo,0250162011486,,,['France'],[],[],,,,,,,,,?,,258,,1079 kj(258 kcal),,"3,6",,"1,3",,46,,"1,1",,"9,2",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Petit haricots blancs,0071187201047,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Thé noir longue vie,3770002521731,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
560,Pave céréales et graines,0203055006564,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Copos integrales - Alipende,8421691768703,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['France', 'Espagne']",[],[],1.1 g,en faible quantité,0.3 g,en faible quantité,17 g,en quantité élevée,1 g,en quantité modérée,?,,383,-4%,1602 kj(383 kcal),-4%,"1,1",-87%,"0,3",-86%,83,+24%,17,+2%,8,-14%,1,+180%,"0,4",+180%,11,+104%,D,+104%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,['Alipende'],,,,,,,,,,,,,,
562,Saucisse de viande,0286024034706,,,['France'],[],[],,,,,,,,,?,,279,,1167 kj(279 kcal),,"25,6",,"10,3",,"0,5",,"0,4",,12,,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Vinaigre Framboise Safran,3770002521328,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Milk tea 3-in-1,4800888609359,,,['France'],[],[],,,,,,,,,?,,80,,335 kj(80 kcal),,1,,1,,16,,11,,0,,"0,027",,"0,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Burro,8005004001024,,,['France'],[],[],,,,,,,,,?,,751,,3142 kj(751 kcal),,83,,53,,"0,5",,"0,5",,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Pâté du Béarn pur porc - Biraben,3292320041215,,,['France'],"['Gorge et foie de porc origine France', 'sel', 'ail', 'sucre', 'poivre', 'épices']",[],,,,,,,,,?,,378,,1582 kj(378 kcal),,35,,15,,1,,1,,16,,2,,"0,8",,,,,,,,,,,,,,['Biraben'],,,,"['Bocal', 'Verre']",,,,,,,,,,
567,Reblochon Fermier,2489481027818,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",['France'],[],[],27 g,en quantité élevée,18 g,en quantité élevée,0.5 g,en faible quantité,1.7 g,en quantité élevée,?,,329,+2%,1377 kj(329 kcal),+2%,27,+1%,18,-4%,"0,5",+36%,"0,5",+121%,21,+5%,"1,7",+27%,"0,68",+27%,16,+12%,D,+12%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,,,,,
568,Lait de quinoa enrichi en calcium,87627176,,,['France'],[],[],,,,,,,,,?,,17,,71 kj(17 kcal),,"0,2",,"0,1",,"3,3",,"1,8",,"0,4",,"0,7",,"0,28",,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,
569,Capsules compatibles dolce gusto lungo - Leader Price,3263850104619,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes', 'Cafés en dosettes compatible Dolce Gusto', 'Dosettes Dolce Gusto']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Leader Price'],,,['Leader Price'],,,,,,,,,,,
570,Natural tanning spray - Marc Inbane - 200ml,8717953084200,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Marc Inbane'],200ml,,,,,,,,,,,,,
571,Maccaw Nectar Orange Carrot,5281034012367,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,13 g,en quantité élevée,0 g,en faible quantité,?,,52,+6%,218 kj(52 kcal),+8%,0,-100%,0,-100%,13,+14%,13,+21%,0,-100%,0,-100%,0,-100%,17,+25%,E,+25%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,
572,Agar-agar,3609060002961,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits de la mer', 'Algues et dérivés', ""Produits à base d'algues"", 'Agar-agar']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.3%,42.5%,1.8%,1.6%,0.8%,0.0%,25,['Bio'],,,,,,,,,,,,,,,
573,English breakfast tea,3700286549435,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés noirs']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,,,,
574,Pollen d'abeille,3760222091961,,,['France'],[],[],,,,,,,,,?,,285,,1192 kj(285 kcal),,5,,0,,45,,0,,15,,"0,2",,"0,08",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,
575,Cardon en conserve,2714078000005,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
576,Carottes rapées,0209964013716,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,4.9 g,en faible quantité,0 g,en faible quantité,?,,34,-58%,142 kj(34 kcal),-57%,0,-100%,0,-100%,"6,6",+9%,"4,9",-3%,"0,8",-8%,0,-100%,0,-100%,1,+125%,B,+125%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,,,,,,,,,,,,,,
577,Brownies,26030661,,,['France'],[],[],,,,,,,,,?,,432,,1807 kj(432 kcal),,23,,"5,3",,51,,32,,"5,5",,"0,46",,"0,184",,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,
578,Tartelettes pommes,0219520019359,B,"['Tartes', 'Tartes sucrées', 'Tartelettes', 'Tartes aux pommes']",['France'],[],[],4.4 g,en quantité modérée,3 g,en quantité modérée,19 g,en quantité élevée,0.29 g,en faible quantité,?,,164,-34%,686 kj(164 kcal),-33%,"4,4",-53%,3,-44%,29,-20%,19,-8%,"1,5",-38%,"0,29",+14%,"0,116",+14%,9,-18%,C,-18%,67.5%,16.8%,7.5%,4.2%,4.0%,0.0%,84,,,,,,,,,,,,,,,,
579,Granola no oats,0797776120468,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,,,,
580,FEED LIGHT,3665069000711,,,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,?,,335,,1402 kj(335 kcal),,"5,9",,"1,1",,37,,"3,8",,24,,"0,9",,"0,36",,,,,,,,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans lactose']",['Feed'],,,,,,,,,,,,,,
581,SURIMI,52868320,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Frooti,8902579103415,,,['France'],[],[],,,,,,,,,?,,65,,272 kj(65 kcal),,0,,0,,"13,5",,"2,5",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Confiture artisanale,3347640000364,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,
584,3 Brochettes de filets de lapin à la provençale - LOEUL ET PIRIOT - 0.236kg,2297823040346,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'tomates cerises', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",6.7 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en faible quantité,0.87 g,en quantité modérée,543,-21%,?,,543 kj(130 kcal),-18%,"6,7",-15%,"1,2",-50%,"1,2",+72%,"1,2",+184%,16,-19%,"0,87",+73%,"0,348",+73%,0,-100%,B,-100%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,"['Viande-francaise', 'Lapin Français']",['LOEUL ET PIRIOT'],0.236 kg,4,,['barquette polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin recette à la provençale,['Thouars'],https://www.lapin-et-papilles.fr,
585,Bille de Bretzel Chocolat Cacao,3266054058023,,,['France'],[],[],,,,,,,,,?,,504,,2109 kj(504 kcal),,29,,17,,50,,35,,"7,1",,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Balla stixx - Haribo,86287128,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",['France'],[],[],4.4 g,en quantité modérée,2.8 g,en quantité modérée,63 g,en quantité élevée,0.01 g,en faible quantité,?,,348,-2%,1456 kj(348 kcal),-3%,"4,4",+137%,"2,8",+164%,84,+1%,63,+9%,0,-100%,"0,01",-92%,"0,004",-92%,16,+11%,D,+11%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,,['Haribo'],,,,,,,,,,,,,,
587,Pain aux 4 farines sans blé nature bio,3760026145327,,,['France'],[],[],,,,,,,,,?,,299,,1251 kj(299 kcal),,"8,8",,"1,1",,"46,2",,"0,2",,"7,6",,"1,3",,"0,52",,,,,,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,
588,Orange,8412276319342,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Vin rouge Cuvée Jolimet,3249381005113,,"['Boissons', 'Boissons alcoolisées', 'Vins']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Fuldkornsris -og rugblandinges,85907072,,,['France'],[],[],,,,,,,,,?,,340,,1423 kj(340 kcal),,28,,6,,66,,16,,8,,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Duo virtuoso,5410471702450,,,['France'],[],[],,,,,,,,,?,,506,,2117 kj(506 kcal),,25,,16,,62,,51,,"6,5",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Miel d'acacia,0328220125632,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,
593,Kiwi - Picard,3270190211259,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10', 'AB Agriculture Biologique']",['Picard'],,,['Picard'],,,,,,,,,,,
594,Levure boulangère - La pateliere,3278584330210,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['en:gluten-free'],['La pateliere'],,,,,,,,,,,,,,
595,Paté au canard aux oranges confites,3529358603185,,,['France'],[],[],,,,,,,,,?,,298,,1247 kj(298 kcal),,26,,9,,"1,5",,"0,7",,"1,5",,"1,4",,"0,56",,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,
596,3 Brochettes de filets de lapin à la provencale - LOEUL ET PIRIOT - 0.236kg,2297826030832,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'tomates cerises', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",6.7 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en faible quantité,0.87 g,en quantité modérée,543,-21%,?,,543 kj(130 kcal),-18%,"6,7",-15%,"1,2",-50%,"1,2",+72%,"1,2",+184%,16,-19%,"0,87",+73%,"0,348",+73%,0,-100%,B,-100%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['LOEUL ET PIRIOT'],0.236 kg,4,,['barquette polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin recette à la provençale,['Thouars'],https://www.lapin-et-papilles.fr,
597,5 Brochettes de filets de lapin à la provençale - LOEUL ET PIRIOT - 0.672kg,2297824087708,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'tomates cerises', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",6.7 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en faible quantité,0.87 g,en quantité modérée,543,-21%,?,,543 kj(130 kcal),-18%,"6,7",-15%,"1,2",-50%,"1,2",+72%,"1,2",+184%,16,-19%,"0,87",+73%,"0,348",+73%,0,-100%,B,-100%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['LOEUL ET PIRIOT'],0.672 kg,4,,['Barquettes polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin recette à la provençale,['Thouars'],https://www.lapin-et-papilles.fr,
598,Boisson au cranberry - Pago,80529743,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons à la canneberge']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,?,,60,+71%,251 kj(60 kcal),+72%,"0,5",+324%,"0,1",+333%,14,+71%,14,+83%,"0,5",+252%,0,-100%,0,-100%,19,+74%,E,+74%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,['en:gluten-free'],['Pago'],,,,,,,,,,,,,,
599,Boulettes de porc nature,2280335013120,,,['France'],[],[],,,,,,,,,?,,197,,824 kj(197 kcal),,15,,"5,5",,"3,3",,0,,12,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,"['FR 74.225.052 CE', 'Rumilly (Haute-Savoie, France)']",,,,,,,,,
600,Chocolat noir - Les Chocolats d'Augustin - 100g (2x50g),3760077185143,E,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Chocolat noir Haiti* ', 'pâte de cacao* et beurre de cacao* 70%', 'sucre de canne 30%', "" 100% des ingrédients d'origine agricole sont issus de l'agriculture biologique"", ' Peut contenir des traces de lait', ""d'amandes"", 'de noisettes', ""de sésame et d'arachides""]",['Sans huile de palme'],42.1 g,en quantité élevée,25.2 g,en quantité élevée,27.4 g,en quantité élevée,0 g,en faible quantité,?,,578,+4%,2418 kj(578 kcal),+4%,"42,1",+7%,"25,2",+9%,"35,4",-8%,"27,4",-14%,"9,5",+24%,0,-100%,0,-100%,23,+8%,E,+8%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,"['Bio', 'Fabriqué en France', 'en:palm-oil-free']","[""Les Chocolats d'Augustin""]",100 g (2x50g),3,,,,,,,,,,,,
601,Algifor forte 400 - 4g,7680557660419,,,"['France', 'Suisse']",[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,4 g,,,,,,,,,,,,,
602,Haricots rouges kidney,3760025042399,,,['France'],[],[],,,,,,,,,?,,53,,222 kj(53 kcal),,"0,3",,0,,"5,3",,0,,"4,4",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Miel Besacier,3110775500029,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,5 / 6 GIGOLETTES DE LAPIN À LA PROVENÇALE - LOEUL ET PIRIOT - 0.650kg,3277820076806,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",17 g,en quantité modérée,3.1 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,225,+46%,941 kj(225 kcal),+42%,17,+116%,"3,1",+30%,"0,9",+29%,"0,9",+113%,17,-14%,"1,8",+258%,"0,72",+258%,12,+1867%,D,+1867%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['LOEUL ET PIRIOT'],0.650 kg,4,,['Barquettes polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin recette à la provençale,['Thouars'],https://www.lapin-et-papilles.fr,
605,Raw snack,0200030083169,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free', 'Agriculture UE/Non UE']",,,,,,,,,,,,,,,
606,Duo orange kiwi,0208922018176,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Miel de châtaigner,3760283370005,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,5 ou 6 gigolettes de lapin à la provençale - LOEUL ET PIRIOT - 0.672kg,2404916078456,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",17 g,en quantité modérée,3.1 g,en quantité modérée,0.9 g,en faible quantité,1.8 g,en quantité élevée,933,+35%,?,,933 kj(223 kcal),+41%,17,+116%,"3,1",+30%,"0,9",+29%,"0,9",+113%,17,-14%,"1,8",+258%,"0,72",+258%,12,+1867%,D,+1867%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['LOEUL ET PIRIOT'],0.672 kg,4,,['Barquettes polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin recette à la provençale,['Thours'],https://www.lapin-et-papilles.fr,
609,Sucette guimauve,3664382117953,,,['France'],[],[],,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,26",,"0,05",,"78,52",,69,,"3,59",,"0,06",,"0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,LAPIN A LA PROVENÇALE: CUISSES +RÂBLES - LOEUL ET PIRIOT - 0.650kg,3277820076790,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['LOEUL ET PIRIOT'],0.650 kg,4,,['Barquette polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin,['Thouars'],https://www.lapin-et-papilles.fr,
611,"Baratte d'or , Beurre",3199241011887,,,['France'],[],[],,,,,,,,,?,,722,,3021 kj(722 kcal),,80,,58,,"0,5",,"0,5",,"0,6",,"2,4",,"0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Campanelle,8433308020807,,,['France'],[],[],,,,,,,,,?,,148,,619 kj(148 kcal),,5,,"1,9",,"14,2",,"1,4",,11,,"0,4",,"0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Chipolatas aux herbes,2654208023613,E,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Chipolatas', 'Chipolatas aux herbes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,86.2%,9.9%,1.8%,1.2%,0.7%,0.2%,24,,,,,,,"['FR 56.094.013 CE', 'Kervignac (Morbihan, France)']",,,,,,,,,
614,CUISSES DE LAPIN COUPEES EN 2 A LA PROVENCALE - LOEUL ET PIRIOT - 0.650kg,3277820076745,E,"['Viandes', 'Viande de lapin']",['France'],"['Viande de lapin', 'graisse végétale partiellement hydrogénée ', 'colza', 'palme', 'huile végétale ', 'colza', 'sel', 'sucre', 'plantes aromatiques ', 'origan', 'basilic', 'romarin', 'thym', 'hydrolysat de protéine végétale', 'épices', ""extraits d'épices "", 'ail', 'oignon', 'poivre', 'piment', 'paprika']","['Huile de palme', 'Non végétalien', 'Non végétarien']",5.8 g,en quantité modérée,0.9 g,en faible quantité,0.5 g,en faible quantité,0.94 g,en quantité modérée,?,,138,-10%,577 kj(138 kcal),-13%,"5,8",-26%,"0,9",-62%,"0,5",-28%,"0,5",+18%,21,+7%,"0,94",+87%,"0,376",+87%,0,-100%,B,-100%,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,['LOEUL ET PIRIOT'],0.650 kg,4,,['Barquette polystyrène noire'],"['FR 79.329.004 CE', 'Thouars (Deux-Sèvres, France)']",,,['Huile de palme'],,,Morceaux choisis de lapin recette à la provençale,['Thouars'],https://www.lapin-et-papilles.fr,
615,Terrine de campagne aux myrtilles,3760019310398,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",['France'],[],[],17 g,en quantité modérée,7 g,en quantité élevée,1.2 g,en faible quantité,1.5 g,en quantité modérée,?,,157,-51%,657 kj(157 kcal),-51%,17,-40%,7,-35%,"2,1",-8%,"1,2",+38%,12,-14%,"1,5",-6%,"0,6",-6%,13,-33%,D,-33%,,,,,,,,,,,,,,,,,,,,,,,
616,Cafe Ristretto - Nespresso,13771966,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Dosettes', 'Cafés en dosettes']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['Nespresso'],,,,,,,,,,,,,,
617,Carmel mou de Vendée - DV SAS,3663350049050,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,['DV SAS'],,,,,,,,,,,,,,
618,Velouté de citrouilles et carottes,8433308027868,,,['France'],[],[],,,,,,,,,?,,31,,130 kj(31 kcal),,"1,5",,"0,2",,"2,9",,"2,9",,"0,6",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Crunchy - Celnat,3273120027760,,,['France'],[],[],,,,,,,,,?,,454,,1900 kj(454 kcal),,17,,"2,6",,64,,22,,"8,5",,"0,2",,"0,08",,,,,,,,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",['Celnat'],,,,,,,,,,,,,,
