,name,bar_code,brand,categories,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,generic_name,quantity,packaging,manufacturing,traceability_code,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,ingredients_origins,link,palm_ingredients,brand_owner
70,Tomaquet Pelat,5420069712761,,,['France'],[],,,[],,,,,,,,,,?,,20,,84 kj(20 kcal),,0,,0,,0,,0,,"1,1",,0,,0,,,,,,,,,,,,,,,,,,,,['Sans additifs'],,,,
71,"Brassee votre bière - Brewferm - 1,5kg e",5420069821296,['Brewferm'],['Préparations pour bière'],['France'],"['levures Saccharomyces cerevisiae', 'émulsifiant ', 'E491']","['E491 - Monostéarate de sorbitane', '', 'Risque élevé de sur-exposition']",['Gluten'],[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,"1,5 kg e","['métal', 'Carton', 'boîte']",['Royaume-Uni'],,,,,,,,,,['Fabriqué au Royaume-Uni'],,,,
72,Epices tandoori,5420073900888,,,['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Crevettes vannamei,5420076400187,,,['France'],[],,,[],,,,,,,,,,?,,73,,305 kj(73 kcal),,"0,8",,"0,1",,0,,0,,"16,5",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,
74,Prosnax,5420127210055,,,['France'],[],,,[],,,,,,,,,,?,,389,,1628 kj(389 kcal),,"11,3",,"5,7",,"40,7",,"35,4",,"32,2",,"0,33",,"0,132",,,,,,,,,,,,,,,,,,,,,,,,
75,Prosnax Banane,5420127210062,,,['France'],[],,,[],,,,,,,,,,?,,390,,1632 kj(390 kcal),,"11,5",,"5,6",,"42,4",,"35,9",,"30,8",,"0,13",,"0,052",,,,,,,,,,,,,,,,,,,,,,,,
76,OATBAR,5420127416068,,,['France'],[],,,[],,,,,,,,,,?,,381,,1594 kj(381 kcal),,14,,"4,7",,52,,19,,"6,4",,"0,15",,"0,06",,,,,,,,,,,,,,,,,,,,,,,,
77,Oatbar,5420127416426,,,['France'],[],,,[],,,,,,,,,,?,,440,,1841 kj(440 kcal),,21,,"9,3",,55,,28,,"5,9",,"0,19",,"0,076",,,,,,,,,,,,,,,,,,,,,,,,
78,Protein crunch - 2.29oz,5420127515013,,,['France'],[],,,[],,,,,,,,,,?,,416,,1741 kj(416 kcal),,16,,"9,3",,39,,24,,31,,"0,51",,"0,204",,,,,,,,2.29 oz,,,,,,,,,,,,,,,,
79,Protein crunch - Performance,5420127515365,['Performance'],,['France'],"['Bar croustillant', 'riche en protéines', 'couvert de caramel avec une couche de chocolat', ' ', 'sucre', 'lait entier en poudre', 'beurre de cacao', 'pâte de cacao', 'émulsifiant lécithine de soja', 'extrait de vanille', 'protéine de lait']",,['Lait'],['Non végétalien'],4,,,,,,,,,?,,414,,1732 kj(414 kcal),,16,,"9,2",,37,,23,,33,,"0,37",,"0,148",,,,,,,,,,,,,,,,,,,,['Riche en protéines'],,,,
