,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,quantity,eco_score,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,additives,nova_score,generic_name,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,link,origin_detail,producer_info
23,Cookies chocolat coco - Carrés Ronds,3760051390068,"['Bio', 'Bio européen', 'en:gluten-free', 'Agriculture UE/Non UE', 'FR-BIO-10']",['France'],"['Farine* ', 'riz intégrale*', 'maïs*', 'graines de guar*', 'sucre blond*', ""noix de coco* 17%' fécule de mdis*"", 'œufs*', 'huile* ', 'tournesol*', 'coprah*', 'pépites de chocolat* Poudre à lever*', 'sel', ""*ingrédients issus de l'agriculture biologiqUe• Ros Trois Marches SARL Carrés -""]",['Non végétalien'],?,475,1987 kj(475 kcal),27,18,52,23,5,"0,58","0,232",['Carrés Ronds'],['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Cookies Tout Chocolat - Carrés Ronds,3760051390075,"['Bio', 'en:gluten-free']",['France'],"['COOKIES TOUT CHOCOLAT Chocolat noir• 22%', 'Farine* ', 'riz intégrale*', 'maïs*', 'graines de guar*', 'sucre blond', 'fécule de maïs•', 'œufs*', 'huile de tournesol*', 'poudre à lever*', 'sel', ' *ingrédients issus de l’agriculture biologique']",['Non végétalien'],?,421,1761 kj(421 kcal),"25,5","8,4","41,9","28,9","4,4","0,3","0,12",['Carrés Ronds'],['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Palets aux pepites de chocolat,3760051390280,"['Bio', 'en:gluten-free']",['France'],[],[],?,472,1975 kj(472 kcal),24,15,59,27,"3,5","0,81","0,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Petits citrons sans gluten,3760051390372,"['Bio', 'Bio européen', 'en:gluten-free', 'FR-BIO-10']",['France'],[],[],?,464,1941 kj(464 kcal),24,16,56,22,5,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,850G Emince Kebab Mediteraneen - France Kebab,3760051581718,['Halal'],['France'],"['de viandes épicées Ingrédients', ""' Viandes de vola Ile 64% "", 'viahde de poulet', 'viande ce dinde', ' LAIT écrémé', 'viande de veau 5%', 'fécule de pomme de sel', 'oignon', 'épjces ', '0,8%', 'dextrose', 'stablisant: E451', 'ail en poudre', 'maltodextrine', 'g exhausteur de goût: E621', 'amidon modifié de pomme de terre', 'extrait de levure', 'arôme', 'extrait de poivre', 'persiiTontient: lait Viandes origines: UE']","['Non végétalien', 'Non végétarien']",?,173,724 kj(173 kcal),11,"3,8","4,8","1,8","13,5","1,7","0,68",['France Kebab'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",4,,,,,,,,,
28,850G Lamelles Kebab Medit?rran,3760051582067,['Halal'],['France'],[],[],?,163,682 kj(163 kcal),"9,5","3,8",5,"2,1",14,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Lamelles de Kebab,3760051582104,['Halal'],['France'],[],[],?,126,527 kj(126 kcal),7,"2,4","3,5","1,1",12,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Le Kébab Wrap - France Kebab - 320g,3760051584320,"['en:saveurs-de-l-annee-france', ""Saveurs de l'Année 2014"", ""Saveurs de l'Année 2015""]",['France'],"['Galette de froment et de riz ', '39%', ' : Farine de froment ', 'gluten', 'eau', 'sel', 'huile de colza', 'stabilisants : E422-E412-E466', 'poudres à lever : E450-E500', 'dextrose', 'émulsifiant : E471', 'farine de riz', ""correcteur d'acidité : E296"", 'conservateurs : E281-E202', '\rGarniture ', '61%', ' : Lamelles de kebab 31% ', 'viandes de volailles 69% ', 'viande de poulet et viande de dinde', 'eau', 'poudre de lait', 'oignons', 'sel', 'épices', 'ail en poudre', 'stabilisant : E451', 'dextrose', 'protéines de soja', 'exhausteurs de goût : E621-E631-E627', 'amidon modifié de pomme de terre', 'herbes', 'huile de colza', 'extrait de levure', 'arômes ', 'gluten', 'hydrolysat de protéines végétales', 'colorants : E150a-E150c', 'persil déshydraté', 'Sauce blanche 14% ', 'eau', 'huile de colza', 'sucre', 'ail', 'vinaigre', 'amidon modifié de maïs', 'sel', 'épaississants : E401-E412-E1414', 'moutarde ', 'eau', 'graines de moutarde', 'vinaigre', 'sel', 'épices', 'arôme', ""jaune d'oeuf"", 'acidifiant : E270', 'arômes naturels', 'conservateurs : E202-E211', 'stabilisant : E514', 'herbes et épices', 'chou pointu 6%', 'oignons frits 4% ', 'oignons', 'huile de palme', 'farine de blé ', 'gluten', 'sel', 'carotte 4%', 'eau', 'amidon modifié de pomme de terre']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1027,?,1027 kj(245 kcal),12,4,25,"5,1","7,6","1,3","0,52",['France Kebab'],"['Œufs', 'Gluten', 'Lait', 'Moutarde']",320g,,"['Surgelés', 'Sandwichs', 'Wraps', 'Entrées et snacks surgelés']",4 g,en quantité modérée,5.1 g,en quantité modérée,1.3 g,en quantité modérée,+9%,,+7%,+33%,+78%,-3%,+110%,-13%,+13%,+13%,,,,,,,,12 g,en quantité modérée,12,+199%,D,+199%,"['Carton', 'Surgelé']","['E422 - Glycérol', 'E412 - Gomme de guar', 'E466 - Carboxyméthylcellulose', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E296 - Acide malique', 'E281 - Propionate de sodium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E14XX - Amidons modifiés', 'E150a - Caramel E150a', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E401 - Alginate de sodium', 'E1414 - Phosphate de diamidon acétylé', 'E270 - Acide lactique', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition', 'E514 - Sulfates de sodium']",4,"Préparation surgelée à base de galettes de froment et de riz garnies d'une préparation cuite de viandes de volailles, de sauce blanche et de légumes",['Pays-Bas'],['Cora'],['Huile de palme'],,,,,
31,Lamelles de kebab,3760051584863,['Halal'],['France'],[],[],?,163,682 kj(163 kcal),"9,5","3,8",5,"2,1",14,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Kebab,3760051586645,['Sans additifs'],['France'],"['Viandes de volaille 76% ', 'viande de poulet', 'viande de dinde viande de veau 9%', 'eau', 'huile de tournesol', 'farine de riz', 'oignon', 'sel', 'sucre', 'epices et plantes aromatiques', 'dextrose', 'poudre de yaourt ', 'LACTOSE', 'poudre de LAIT ecreme', 'ail en poudre', 'aromes maltedextrine', 'amidon de mais', 'extrait de poivre']","['Non végétalien', 'Non végétarien']",?,212,887 kj(212 kcal),15,"3,5",3,"1,1",16,"1,2","0,48",['Kebab'],['Lait'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
