,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,allergens,quantity,eco_score,categories,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,packaging,additives,nova_score,generic_name,manufacturing,markets,palm_ingredients,ingredients_origins,traceability_code,link,origin_detail,producer_info
1208,Boulette d'Avesnes fermière au lait cru - La Ferme du Moulin - 180g,3760075200244,['Saveurs en Or'],['France'],"['Maroilles fermier au lait cru', 'sel', 'poivre', 'estragon']",[],?,319,1335 kj(319 kcal),29,"17,84","0,58","0,4",21,"1,97","0,788",['La Ferme du Moulin'],['Lait'],180 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte molle à croûte fleurie', 'Fromages au lait cru', 'Fromages à pâte molle à croûte naturelle', 'Fromages à pâte molle à croûte lavée', ""Boulettes d'Avesnes""]",17.8 g,en quantité élevée,0.4 g,en faible quantité,1.97 g,en quantité élevée,,+6%,+7%,+19%,+2%,-52%,-35%,+13%,+45%,+45%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,29 g,en quantité élevée,16,+17%,D,+17%,"['Plastique', 'Carton']",,3,,['France'],,,,"['FR 59.529.030 CE', 'Saint-Aubin (Nord, France)']",,,
1209,Coeur de Lille - Ferme du Moulin - 180g,3760075200350,['Saveurs en Or'],['France'],"['Lait cru', 'ferments lactiques', 'sel', 'présure', 'roucou']",['Non végétalien'],?,319,1335 kj(319 kcal),"27,25","17,84","0,58","0,4",21,"1,97","0,788",['Ferme du Moulin'],['Lait'],180 g,C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages au lait cru']",17.8 g,en quantité élevée,0.4 g,en faible quantité,1.97 g,en quantité élevée,,-6%,-5%,-1%,-4%,+4%,+23%,-4%,+32%,+32%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27.2 g,en quantité élevée,16,+9%,D,+9%,"['Film', 'Plastique']",['E160b - Rocou'],4,,['France'],['Cora'],,,"['FR 59.529.030 CE', 'Saint-Aubin (Nord, France)']",,,
1210,Maroilles fermier - La ferme de Marguerite,3760075200688,,['France'],[],[],?,319,1335 kj(319 kcal),"27,25","17,84","0,58","0,5",21,"1,97","0,788",['La ferme de Marguerite'],,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Maroilles', 'Maroilles fermier']",17.8 g,en quantité élevée,0.5 g,en faible quantité,1.97 g,en quantité élevée,,-2%,-3%,+2%,+1%,0%,+6%,-1%,-8%,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27.2 g,en quantité élevée,16,-9%,D,-9%,,,,,,,,,,,,
1211,Muelsi chou rave pomme curry,3760075200763,,['France'],[],[],?,421,1761 kj(421 kcal),28,3,24,"0,8","13,8",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Pic saint loup - Vin,3760075211752,,['France'],"[""LANGUEDOC Appellation d'Origine Protégée 2015 L'Hiver"", 'les nuits de pleine lune si vous empruntez la de pourre: entendre le hurlement du Imp du Pic', ' loup géant écumait la région faisantfuir les paysans de leurs tigr,ts Une bonnefée lŒsée de ne plus avoir de vin sur sa table changea le loup e pierre le transformant en gardien du vignoble emironnant Les vignerons regagnèrent leurs vignes sous la protection du Pic St Loup Cette cuvée en souvenir de ma grand-mère Angèle qui me contaitde légendes le soir au coin dufeu de bois', ' MIS EN BOUTEILLE PAR LA SCEA CHÂTEAU PUECH HAUT À F34160 PRODUIT DE FRANCE - PRODUCT OF FRANCE VIN ', 'In tient dd RED WINE 500 Ml', ' 3 760075 211752']",[],?,1,4 kj(1 kcal),1,1,13,1,1,1,"0,4",['Vin'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Reblochon de Savoie (22% MG) Bio - Les fruitieres des bornes - 240g minimum,3760075290108,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['Lait cru', 'présure', 'sel', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,332,1389 kj(332 kcal),22,17,~ 0,~ 0,20,"1,19","0,476",['Les fruitieres des bornes'],['Lait'],240 g minimum,B,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Produits artisanaux', 'Fromages de France', 'Produits de montagne', 'Fromages à pâte pressée non cuite', 'Fromages au lait cru', 'Fromages de montagne', 'Fromages artisanaux', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",17 g,en quantité élevée,0 g,en faible quantité,1.19 g,en quantité modérée,,+23%,+25%,+3%,+14%,-100%,-100%,+33%,-3%,-3%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,22 g,en quantité élevée,14,+8%,D,+8%,"['Frais', 'Papier']",,3,"Fromage artisanal de France, de montagne, à pâte pressée non cuite, au lait cru de vache, issu de l'agriculture biologique","['Capt Et Fils Fromagers Depuis 1850 (Les Fruitières des Bornes) - 274 Route de La Muraz - 74930 Arbusigny', 'Haute-Savoie', 'Rhône-Alpes']",,,"['France', 'Agriculture France', 'Haute-Savoie', 'Rhône-Alpes']","['FR 74.015.050 CE', 'Arbusigny (Haute-Savoie, France)']",http://www.lesfruitieresdesbornes.com/fromages-bio-74.php,,
1214,Reblochon de Savoie - Le Fruit De L'alpe,3760075290115,,['France'],[],[],?,326,1364 kj(326 kcal),27,19,1,1,20,1,"0,4","[""Le Fruit De L'alpe""]",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",19 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,,+1%,+1%,+1%,+1%,+172%,+342%,0%,-25%,-25%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27 g,en quantité élevée,13,-9%,D,-9%,,,,,,,,,,,,
1215,Reblochon de Savoie AOP cremier - Louis Capt - 450g,3760075290139,,['France'],[],[],?,326,1364 kj(326 kcal),27,19,0,0,20,13,"5,2",['Louis Capt'],,450 g,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",19 g,en quantité élevée,0 g,en faible quantité,13 g,en quantité élevée,,+1%,+1%,+1%,+1%,-100%,-100%,0%,+870%,+870%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,27 g,en quantité élevée,19,+33%,E,+33%,,,,,,,,,"['FR 74.015.050 CE', 'Arbusigny (Haute-Savoie, France)']",,,
1216,Frais & Primeur / Crèmerie / Fromages Bio - Les mousquetaires,3760075290849,['Bio'],['France'],[],[],?,332,1389 kj(332 kcal),28,17,0,0,20,"1,19","0,476",['Les mousquetaires'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,Germes Soja 500gr - 500g,3760075390501,,['France'],[],[],?,25,105 kj(25 kcal),"0,1","0,1","2,9","2,2",3,"0,02","0,008",,,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Pâte d'olive noire,3760075444549,,['France'],[],[],?,155,649 kj(155 kcal),14,"1,4",0,0,"0,9","0,89","0,356",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Macarons chocolat,3760075720087,,['France'],[],[],?,409,1711 kj(409 kcal),19,"2,1",44,43,11,"0,08","0,032",,,,D,"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons']",2.1 g,en quantité modérée,43 g,en quantité élevée,0.08 g,en faible quantité,,-4%,-4%,+7%,-54%,-21%,-15%,+28%,-44%,-44%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,19 g,en quantité modérée,16,-9%,D,-9%,,,,,,,,,,,,
1220,Mac glace pomme verte - Macarons De Reau,3760075721244,,['France'],"['Ingredicnts : purée de pomme ', 'purée de pomme sucre', 'antioxydant: acide ascorbique [E3001', 'acidifiant: acide citrique tE330J', 'sucre', 'eau', ""poudre d'amandes"", ""blanc d'ocuf"", 'sirop de glucose', 'sucre imerti', ' Stabilisant : farine de graines de caroube t E 410', 'fleur de sel', 'arôme naturel de caramel avec autres arômes naturels', 'arôme naturel ', 's']",[],?,772,3230 kj(772 kcal),"4,5","0,4",31,29,"2,8","0,16","0,064",['Macarons De Reau'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E300 - Acide ascorbique', 'E330 - Acide citrique', 'E410 - Gomme de caroube']",4,,,,,,,,,
1221,Noisette,3760075727123,,['France'],[],[],?,226,946 kj(226 kcal),12,"4,3",26,22,"4,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Crème glacée artisanale PISTACHE,3760075727413,,['France'],[],[],?,209,874 kj(209 kcal),"9,2","4,2",26,22,"4,6","0,1","0,04",,,,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la pistache']",4.2 g,en quantité modérée,22 g,en quantité élevée,0.1 g,en faible quantité,,-0%,-1%,-15%,-22%,+7%,+7%,+28%,-23%,-23%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,9.2 g,en quantité modérée,8,-22%,C,-22%,,,,,,,,,,,,
1223,Hépadose,3760075740016,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Baies De Goji De L'himalaya 500G Séchées,3760075740542,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,Goji choco,3760075740948,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Graines de chia - Physio-concept,3760075740955,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-10']",['France'],"['graines de Chias ', 'Salvia Hispanica L', ' •ingrédient issu de l’agriculture biologique']",[],?,444,1858 kj(444 kcal),"31,4","3,8","4,9","0,8","21,2","0,01","0,004",['Physio-concept'],,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",3.8 g,en quantité modérée,0.8 g,en faible quantité,0.01 g,en faible quantité,,-1%,-1%,+2%,+22%,-59%,+45%,+5%,-58%,-58%,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,31.4 g,en quantité élevée,-2,-322%,A,-322%,,,1,,,,,,,,,
1227,Melange noix et graine grillees au tamari -,3760075741129,['Bio'],['France'],[],[],?,608,2544 kj(608 kcal),"49,7","6,7","11,7","2,4","25,2","0,67","0,268",,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés']",6.7 g,en quantité élevée,2.4 g,en faible quantité,0.67 g,en quantité modérée,,+9%,+9%,+15%,+20%,-38%,-74%,+58%,+102%,+102%,,,,,,,,49.7 g,en quantité élevée,15,+134%,D,+134%,,,,,,,,,,,,
1228,Graines de chanvre décortiquées - Physio-Concept Ecocorp - 200g,3760075741174,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'AB Agriculture Biologique']",['France'],[],"['Végétalien', 'Végétarien']",?,598,2502 kj(598 kcal),"45,5","35,35","3,5","3,5","32,3","0,04","0,016",['Physio-Concept Ecocorp'],,200g,,['Graines de chanvre'],35.4 g,en quantité élevée,3.5 g,en faible quantité,0.04 g,en faible quantité,,+19%,+19%,+24%,+730%,-49%,+85%,+13%,+44%,+44%,,,,,,,,45.5 g,en quantité élevée,17,+157%,D,+157%,['Sachet carton'],,,,,,,['Hors Union européenne'],,,,
1229,Orange et orange fumée au whisky hibiki,3760075770624,,['France'],[],[],?,191,799 kj(191 kcal),"0,6","0,6",46,45,"0,6","0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,Gelée de rhum grand cru de jamaica,3760075770631,,['France'],[],[],?,191,799 kj(191 kcal),"0,6","0,6",46,45,"0,6","0,125","0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,limonade artisanale,3760075990985,,['France'],[],[],?,40,167 kj(40 kcal),0,0,"9,9","9,9",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,Happynut - Noiseraie Productions,3760076003004,"['Bio', 'en:palm-oil-free']",['France'],"['sucre roux de canne*', 'huile de tournesol* désodorisée 10%', 'noisettes entières 10%', 'cacao* 6%', ""beurre De cacao * *ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,591,2473 kj(591 kcal),"40,8","6,7","51,1","50,5",3,"0,03","0,012",['Noiseraie Productions'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,"HAPPYNUT, 10% noisettes, sans huile de palme, vegan - NoiseraieProductions (fabrication arrisanale)",3760076003028,"['Bio', 'en:palm-oil-free']",['France'],"['sucre roux de canne*', 'huile de tournesol* désodorisée', 'noisettes-entières-t 10%', 'cacao* 6%', ""beurre de *Ingrédients issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",?,591,2473 kj(591 kcal),"40,8","6,7","51,1","50,5",3,"0,03","0,012",['NoiseraieProductions (fabrication arrisanale)'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Ocellus 2014 - Abbaye de Fontfroide - 750ml,3760076081118,['Vigneron indépendant'],['France'],"['Vin ', 'sulfites', ' : 50% Marsanne', '35% Vermentino', '15% Grenache Blanc']",[],?,?,,?,,?,,?,,,['Abbaye de Fontfroide'],['Anhydride sulfureux et sulfites'],750 ml,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', 'Corbières']",,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,"['Bouteille', 'Verre']",,,,,,,['France'],,,,
1235,Muscat - Abbaye Fontfroide - 75cl,3760076083150,,['France'],[],[],?,?,,?,,?,,?,,,['Abbaye Fontfroide'],,75 cl,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins doux', 'Vins mutés de type vin doux naturel', 'Vins français', 'Muscats']",,,,,,,,,,,,,,,,,50.3%,7.1%,29.9%,8.8%,2.6%,1.4%,45,,,,,,,"['Bouteille', 'Verre']",,,,,,,['France'],,,,
1236,Muscat 2014 Petits grains - Abbaye de Fontfroide - 750ml,3760076083167,"['Déconseillé à certaines catégories de personnes', 'IGP', 'Déconseillé aux femmes enceintes', 'Vigneron indépendant']",['France'],['Contient des sulfites'],[],?,?,,?,,?,,?,,,['Abbaye de Fontfroide'],['Anhydride sulfureux et sulfites'],750 ml,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins mutés', 'Vins doux', 'Vins mutés de type vin doux naturel', 'Vins français', 'Muscats', ""Pays d'Oc""]",,,,,,,,,,,,,,,,,50.3%,7.1%,29.9%,8.8%,2.6%,1.4%,45,,,,,,,"['Bouteille', 'Verre']",,3,,"['France', 'Narbonne', 'Abbaye de Fontfroide']",,,['France'],,,,
1237,Fricassée de dinde au basilic,3760076160257,['en:gluten-free'],['France'],[],[],?,112,469 kj(112 kcal),5,"1,1","8,8",2,"7,3","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Poulet grand-mère - Natâma,3760076160349,['en:gluten-free'],['France'],"[""Energie / Energy 'vlatières grasses dont / Fat ofwich acides gras saturés / saturated Glucides dont / Carbohidrates ofwich sucres / sugars Sel / Salt""]",[],?,170,711 kj(170 kcal),"5,7","1,4",21,"0,5","8,6","0,78","0,312",['Natâma'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Pommes caramélisées,3760076160424,,['France'],[],[],?,101,423 kj(101 kcal),0,0,24,24,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Compote - Natama,3760076161520,,['France'],"['Pomme 84% ', 'origine France', 'framboise 16%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,51,213 kj(51 kcal),"0,5",0,11,10,"0,5",0,0,['Natama'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Préparation pour 2 cakes à l'estragon - Chant De Ble,3760076220098,,['France'],"['FARINE SEMI-COMPLÈTE DE BLÉ ', '95%', 'ESTRAGON SÉCHÉ 0,58%', 'LEVURE', 'SEL DE GUÉRANDE', 'POIVRE DE PENJA']",[],?,331,1385 kj(331 kcal),"1,14","0,24","66,61","1,67","11,14","0,61","0,244",['Chant De Ble'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,2 cakes curry coriandre,3760076220111,,['France'],[],[],?,337,1410 kj(337 kcal),"1,32","0,24","67,65","1,71","11,34","0,64","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Pain d epice,3760076220142,,['France'],[],[],?,339,1418 kj(339 kcal),"1,05","0,21","71,54","21,91","8,85","0,64","0,256",,,,B,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', ""Pains d'épices""]",0.21 g,en faible quantité,21.9 g,en quantité élevée,0.64 g,en quantité modérée,,+1%,-0%,-70%,-83%,+1%,-46%,+104%,+47%,+47%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,1.05 g,en faible quantité,5,-65%,C,-65%,,,,,,,,,,,,
1244,"Gateau ""La recette de maman""",3760076220234,,['France'],[],[],?,251,1050 kj(251 kcal),"0,56","0,11",57,"0,91","5,86","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Cake au safran,3760076220319,,['France'],[],[],?,331,1385 kj(331 kcal),"1,13","0,23","66,84","1,77","10,65","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Madelines au citron,3760076220371,,['France'],[],[],?,194,812 kj(194 kcal),"0,79","0,16","38,14","1,3","6,56","0,61","0,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Baies De Goji Bio - 500 G - Les Merveilles De La Terre,3760076230271,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Thé Darjeeling Grand Jardin BIO,3760076280009,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,1,4 kj(1 kcal),0,0,0,0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Thé chine vert jasmin extra,3760076280023,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Thé Fruits Tous Rouges,3760076280054,,['France'],[],[],?,4,17 kj(4 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Thé grand parfum vanille,3760076280078,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Café spécial arabica,3760076440014,,['France'],[],[],?,150,628 kj(150 kcal),0,0,1,1,1,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés']",,,,,,,,+206%,+155%,-100%,-100%,-88%,-79%,-48%,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Terrine Porc Noir de Bigorre - Pierre Sajous,3760076450983,,['France'],"['Gorge', 'foie et couennes de Porc Noir de Bigorre', 'oeufs', 'ail', 'oignons', 'échalotes', 'sel', 'farine de riz', 'farine de chicorée', 'poivre', 'épices', 'Viande de porc ', ' Origine France']","['Non végétalien', 'Non végétarien']",?,372,1556 kj(372 kcal),"34,4","13,7","2,8","0,7","12,7","1,51","0,604",['Pierre Sajous'],['Œufs'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Terrine de porc Noir de Bigorre - Pierre Sajous,3760076450990,,['France'],"['Gorge', 'foie et couennes de Porc Noir de Bigorre', 'œufs', 'ail', 'oignons', 'échalotes', 'sel', ' farine de riz', 'farine de chicorée', 'poivre', 'épices', ' Viande de porc : Origine France']","['Non végétalien', 'Non végétarien']",?,371,1552 kj(371 kcal),"34,4","13,7","2,8","0,7","12,7","1,51","0,604",['Pierre Sajous'],['Œufs'],,,['Terrines'],13.7 g,en quantité élevée,0.7 g,en faible quantité,1.51 g,en quantité élevée,,+23%,+24%,+34%,+44%,+29%,-10%,-9%,-1%,-1%,,,,,,,,34.4 g,en quantité élevée,20,+13%,E,+13%,,,3,,['France'],,,['France'],,,,
1255,Garbure,3760076451294,,['France'],[],[],?,107,448 kj(107 kcal),"6,3","2,8","5,6","0,9","5,6","0,76","0,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Noix confite de Porc Noir - Pierre Sajous,3760076451508,,['France'],"['Noix et saindoux de Porc Noir de Bigorre', 'sel', 'sucre', ' Origine des viandes : France']",[],?,250,1046 kj(250 kcal),18,"6,3","0,5","0,5","22,3","1,86","0,744",['Pierre Sajous'],['Fruits à coque'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Pate de campagne aux myrtilles,3760076451904,,['France'],[],[],?,?,,?,,?,,?,,,,,,D,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc', 'Pâtés de campagne']",,,,,,,,,,,,,,,,,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,,,,,,
1258,Prune d ente mi-cuite,3760076470011,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Sans conservateurs']",['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,9 Bonbon Miel Vanille - Confiserie Hoareau - 300g,3760076520242,['Artisan Qualité'],['France'],"['Farine ', 'gluten', 'huile de tournesol', 'miel', 'sucre', 'levure', 'sirop', 'vanille']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,285,1192 kj(285 kcal),2,0,65,34,4,0,0,['Confiserie Hoareau'],['Gluten'],300 g,E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",0 g,en faible quantité,34 g,en quantité élevée,0 g,en faible quantité,,-26%,-26%,+617%,-100%,-31%,-51%,+855%,-100%,-100%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,2 g,en faible quantité,8,-42%,C,-42%,['Plastique'],,4,,,,,,,,,
1260,Bonbon miel bonbon cravate,3760076520259,,['France'],[],[],?,283,1184 kj(283 kcal),0,0,"58,5","24,5","24,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,Miel harmonie - Bendorf - 75cl,3760076640124,['Déconseillé aux femmes enceintes'],['France'],"['Eau', 'malts ', 'Pale Ale', 'Munich 25', 'Caramel ambré', 'Chocolat', 'blé', 'houblons ', 'Brewers Gold', 'NZ Cascade', 'miel de fleurs du Bonhomme', 'sucre', 'levures']",[],?,?,,?,,?,,?,,,['Bendorf'],['Gluten'],75 cl,C,"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Bières', 'Alcools artisanaux', 'Bières artisanales', 'Bières brunes', 'Bières au miel']",,,,,,,,,,,,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,"['Bouteille', 'Verre']",,3,,['France'],"[""Beer's""]",,,,,,
1262,Herbes de Provence spécial pizzas - Le Châtelain - 100g,3760076652295,,['France'],[],[],?,?,,?,,?,,?,,,['Le Châtelain'],,100 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Plantes condimentaires', 'Plantes aromatiques', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Plantes aromatiques sèches moulues', 'Mélanges de plantes aromatiques', 'Herbes de Provence']",,,,,,,,,,,,,,,,,43.6%,0.0%,30.6%,8.2%,17.6%,0.0%,93,,,,,,,,,,,"['26170', ""Saint-Auban-sur-l'Ouvèze""]",,,,,,,
1263,Herbes de provence,3760076657573,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,"Lardon fume -  - 0,150kg",3760077100030,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Poitrine de porc*', 'saumure ', 'eau', 'sel', 'dextrose', 'de mais', 'antioxydant: ascorbate de sodium', 'plantes aromatiques*', 'épices*', 'conservateur: nitrite de sodium', ' Porc origine France']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,264,1105 kj(264 kcal),"21,8","8,3","0,6","0,5","16,4","3,2","1,28",,,"0,150 kg",C,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Allumettes de porc', 'Lardons de porc', 'Lardons de porc fumés']",8.3 g,en quantité élevée,0.5 g,en faible quantité,3.2 g,en quantité élevée,,-1%,+0%,+0%,+0%,-27%,-22%,0%,+21%,+21%,85.6%,9.1%,2.1%,1.8%,1.1%,0.3%,36,21.8 g,en quantité élevée,21,+5%,E,+5%,,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,,,,,"['FR 56.033.008 CE', 'Carentoir (Morbihan, France)']",,,
