,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
306,Coeur de laitue - Casino,3222475423512,,,,,['Casino'],,['Sans conservateurs'],,,,['Casino'],['France'],[],,[],,,,,,,,,,?,,14,,59 kj(14 kcal),,0,,0,,2,,"1,3",,1,,"0,03",,"0,012",,,,,,,,,,,,,,,,,
307,Lait des Eleveurs des Monts du Forez - 1l,3222475424380,,Lait demi-écrémé stérilisé UHT,1 l,,,,,,,,,['France'],"['lait demi-écrémé ', 'origine : france']",['Lait'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,,,,195,,46,,195 kj(46 kcal),,"1,6",,1,,"4,8",,"4,8",,"3,2",,"0,09",,"0,036",,,,,,,,,,,,,,,,,
308,Mini goûters coeur fondant fraise - Les Doodingues - 210g,3222475424397,,7 mini gâteaux fourrage à la purée de fraise,210 g,,['Les Doodingues'],,,,,,,['France'],"['Gâteau 70% : farine de blé - sucre - oeufs - huile de colza - sirop de glucose - amidon de blé - eau - stabilisant : glycérol - dextrose - poudres à lever : diphosphates', 'carbonates de sodium - sel - arôme', "" Fourrage 30% : sirop de glucose-fructose - purée de fraise 20% * - sucre - gélifiant : pectines - correcteurs d'acidité : acide citrique"", 'citrates de sodium', 'citrates de calcium - jus concentré de carottes pourpres - arôme - conservateur : sorbate de potassium', ' Traces de lait', 'de soja et de fruits à coque', ' * Pourcentage exprimé sur le fourrage']","['Œufs', 'Gluten']","['Sans huile de palme', 'Non végétalien']",4,,,,,,,,,1714,,408,,1714 kj(408 kcal),,17,,"1,4",,60,,38,,"3,8",,"0,76",,"0,304",,,,,,,,,,,,,"['E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E333 - Citrates de calcium', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,
309,Jambon cuit supérieur avec couenne - Casino - 2tranches (80g),3222475425363,E,Jambon cuit supérieur avec couenne,2 tranches (80 g),"['Barquette', 'Plastique']",['Casino'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Sans exhausteur de goût', 'Sans arômes artificiels', 'Qualité supérieure']",['France'],"['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)"", 'EMB 95280', ""Goussainville (Val-d'Oise, France)""]",,['Casino'],"['France', 'Hong Kong']","['Jambon de porc frais ', 'origine : UE', ' - sel - arômes naturels - dextrose - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6.7 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,598,+18%,143,+8%,598 kj(143 kcal),+9%,"6,7",+40%,"2,5",+36%,"0,6",-10%,"0,6",+1%,20,-5%,"1,8",-4%,"0,72",-4%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Union européenne'],,,
310,Jambon cuit supérieur avec couenne - Casino - 8tranches (320g),3222475425462,E,Jambon cuit supérieur avec couenne,8 tranches (320 g),"['Barquette', 'Plastique']",['Casino'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']","['Sans exhausteur de goût', 'Sans arômes artificiels', 'Qualité supérieure']",['France'],"['FR 95.280.001 CE', ""Goussainville (Val-d'Oise, France)"", 'EMB 95280', ""Goussainville (Val-d'Oise, France)""]",,['Casino'],['France'],"['Jambon de porc frais ', 'origine : UE', ' - sel - arômes naturels - dextrose - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6.7 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,1.8 g,en quantité élevée,598,+18%,143,+8%,598 kj(143 kcal),+9%,"6,7",+40%,"2,5",+36%,"0,6",-10%,"0,6",+1%,20,-5%,"1,8",-4%,"0,72",-4%,5,-29%,C,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['Union européenne'],,,
311,Goûters Carrés parfum Choco - Les Doodingues De Casino,3222475426308,,,,,['Les Doodingues De Casino'],,,,,,,['France'],"['Céréales 53% ', 'farines de blé et de seigle', ' • sucre • matières grasses ', 'palme', 'palmiste', "" • sirop de glucose • cacao maigre en poudre 4,8% • poudres à lever : carbonates d'ammonium"", 'carbonates de sodium', 'phosphates calcium • amidon de blé • sel • arômes • lait écrémé en poudre • protéines de lait en poudre', ""                                               Traces d'œufs et de fruits à coques""]",['Gluten'],"['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,?,,478,,2000 kj(478 kcal),,17,,8,,73,,32,,"6,6",,"0,575",,"0,23",,,,,,,,,,,,,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",,['Huile de palme'],,
312,"Cœur de laitue, Prêt à consommer (4 à 5 portions) + 20 % Gratuit - Casino - 240g (200g + 40g gratuits)",3222475426353,B,Salade prête à l'emploi,240 g (200 g + 40 g gratuits),"['Frais', 'Sachet plastique', 'Sous atmosphère protectrice']","['Casino', 'Groupe Casino']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes-feuilles', 'Légumes frais', 'Laitues', 'Coeurs de laitues']",['Sans conservateurs'],"[""Florette France GMS - FFG (Filiale Agrial) - Espace d'activités Fernand Finel - 50430 Lessay"", 'Manche', 'Basse-Normandie', ""Florette France GMS - FFG (Filiale Agrial) - 1595 Avenue des Deux Vallées - Zone d'activité A2 Actipôle - 59554 Raillencourt-Sainte-Olle"", 'Nord', 'Nord-Pas-de-Calais', ""Florette France GMS - FFG (Filiale Agrial) - Route du Thor - ZI Petite Marine - 84800 L'Isle-sur-la-Sorgue"", 'Vaucluse', ""Provence-Alpes-Côte d'Azur"", 'France']","['EMB 50267', 'Lessay (Manche, France)', 'EMB 59488AD', 'Raillencourt-Sainte-Olle (Nord, France)', 'EMB 84054H', 'Isle-sur-la-Sorgue (Vaucluse, France)']",,['Casino'],['France'],['Laitue'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,1.3 g,en faible quantité,0.03 g,en faible quantité,60,-10%,?,,60 kj(14 kcal),-21%,0,-100%,0,-100%,2,+9%,"1,3",+29%,1,+0%,"0,03",-73%,"0,012",-73%,-6,,A,,59.4%,0.0%,0.0%,13.2%,18.9%,8.4%,95,,,,,
313,Les Doodingues de Casino - Oeufs surprise - 60g,3222475431920,,3 moulages en chocolat au lait contenant une surprise dans une capsule plastique.,60 g,,['Casino'],['Oeuf en chocolat au lait'],,,,,['Casino'],['France'],"['Sucre - beurre de cacao - poudre de lait entier - pâte de cacao - émulsifiant : lécithines de soja - arôme naturel vanille', 'cacao : 32% minimum dans le chocolat au lait', ' traces de fruits à coque']","['Lait', 'Soja']",['Non végétalien'],4,32 g,en quantité élevée,19 g,en quantité élevée,56 g,en quantité élevée,0.13 g,en faible quantité,2241,,537,,2241 kj(537 kcal),,32,,19,,56,,56,,"6,2",,"0,13",,"0,052",,26,,E,,,,,,,,,['E322i - Lécithine'],,,,
314,"Galettes au Blé Noir, Pommes de Terre, Lardons Fumés, Oignons - Casino - 300g (2 * 150g)",3222475433979,,"2 Galettes de blé noir garnies d'une préparation à base de pommes de terre cuites, de lardons cuits fumés d'emmental français râpés et d'oignons. - Galettes au Blé Noir, Pommes de Terre, Lardons Fumés, Oignons",300 g (2 * 150 g),"['Plastique', 'Carton', 'Frais']",['Casino'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Crêpes et galettes', 'Plats au porc', 'Réfrigérés', 'Plats préparés réfrigérés', 'Galettes', 'Galettes garnies']","['Point Vert', 'en:produced-in-bretagne']","['France', 'Bretagne']","['FR 22.093.041 CE', ""Lamballe (Côtes-d'Armor, France)"", 'EMB 22093K', ""Lamballe (Côtes-d'Armor, France)""]",,['Casino'],['France'],"['Galette de blé noir 50 % ', 'eau', 'farine de blé noir 33%', 'sel de Guérande', 'huile de tournesol', 'garniture 50 % ', 'pommes de terre cuites 25 % ', 'pommes de terre 23 %', 'eau', 'lardons cuits fumés au bois de hêtre 24 % ', 'poitrine de porc', 'eau', 'sel', 'dextrose', 'conservateurs ', 'érythorbate de sodium', 'nitrite de sodium', 'eau', 'emmental Français râpé 11%', 'crème ', 'crème', 'stabilisant ', 'carraghénanes', 'oignon 6,1 %', 'échalote', 'amidon transformé de pomme de terre', 'poivre']",['Lait'],"['Non végétalien', 'Non végétarien']",4,7.33 g,en quantité modérée,4.4 g,en quantité modérée,2.8 g,en faible quantité,1.2 g,en quantité modérée,756,-1%,?,,756 kj(181 kcal),+1%,"7,33",-7%,"4,4",-2%,20,+16%,"2,8",+177%,"7,33",-15%,"1,2",+1%,"0,48",+1%,9,+23%,C,+23%,,,,,,,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",,,,
315,Goûters Fourrés Cacao Maigre - Casino - 185g,3222475442674,C,Goûters Fourrés au Cacao Maigre issus de l'Agriculture Biologique,185 g,"['Sachet', 'Plastique', 'Etui', 'Carton']","['Casino', 'Casino Bio']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Biscuits secs', 'Biscuits fourrés', 'Biscuits au chocolat noir']","['Bio', 'Ecocert', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'Point Vert', 'Sans huile de palme', 'AB Agriculture Biologique']",,,,['Casino'],['France'],"[""Farine de blé 50,5% -  sucre de canne roux - huile de tournesol oléique - poudre de cacao maigre 6% -  lait écrémé en poudre -  beurre de cacao -  œufs entiers -  beurre -  sel de mer -  poudres à lever : carbonates d'ammonium -  carbonates de sodium -  épaississant : gomme d'acacia -  émulsifiant : lécithine de tournesol -  amidon de blé"", ' Traces de fruits à coque']","['Œufs', 'Gluten', 'Lait']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",4,19 g,en quantité modérée,5.4 g,en quantité élevée,33 g,en quantité élevée,0.57 g,en quantité modérée,?,,480,-3%,2008 kj(480 kcal),-3%,19,-21%,"5,4",-59%,67,+9%,33,+5%,"8,6",+27%,"0,57",+14%,"0,228",+14%,16,-23%,D,-23%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"[""E503 - Carbonates d'ammonium"", 'E500 - Carbonates de sodium', ""E414 - Gomme d'acacia"", 'E322i - Lécithine']",,,,
316,Palmiers aux olives noires - Casino - 100g,3222475444999,B,Biscuits feuilletés pur beurre fourrés aux olives noires,100 g,['Carton'],['Casino'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs', 'Palmiers salés', 'Palmiers aux olives']",,,,,['Casino'],['France'],"[""Farine de blé - beurre 29 % - emmental râpé - préparation à base d'olives noires 5,5 % "", 'olives noires 90,2 % - sel - huile de colza et/ou de tournesol - acidifiant : acide citrique', ' - sel - huile de colza - levure - arôme - mélange de plantes aromatiques et de légumes déshydratés - poivre - colorant : extrait de paprika', '\rTraces de graines de sésame', 'soja', 'œuf et fruits à coque']","['Gluten', 'Lait']",['Non végétalien'],4,27 g,en quantité élevée,18 g,en quantité élevée,1.8 g,en faible quantité,2.9 g,en quantité élevée,2087,,499,-3%,2087 kj(499 kcal),-4%,27,-8%,18,-5%,54,+3%,"1,8",+22%,10,+6%,"2,9",+1%,"1,16",+1%,26,+3%,E,+3%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,"['E330 - Acide citrique', 'E160c - Extrait de paprika']",,,,
317,12 mignardises - Casino Délices - 165g,3222475445842,,"Assortiment de petits fours sucrés, surgelés, 3 entremets chocolat noix de coco, 3 tartelettes framboises, 3 tartelettes caramel filet de chocolat, 3 moelleux pommes amandes",165 g,,"['Casino Délices', 'Casino']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries']",['Aucun'],,,,['Casino'],['France'],"['Entremets chocolat noix de coco 30% :chocolat de couverture 33', '8% ', 'pâte de cacao - sucre - beurre de cacao - émulsifiant : lécithine de soja - arôme naturel de vanille', ' - chocolat de couverture au lait 12', '3% ', 'sucre - beurre de cacao - lait en poudre - pâte de cacao - émulsifiant : lécithine de soja - sel - arôme naturel de vanille', ' - biscuit à la noix de coco 11', '1% ', 'œufs - farine de blé - sucre - noix de coco en poudre 1', '3% - eau - huile de colza - lait en poudre - poudres à lever : diphosphates', 'carbonates de sodium', ' - crème ', 'crème de lait - stabilisant : carraghénanes', ' - huile de tournesol - lait demi écrémé - sucre - brisure de crêpe dentelle ', ""farine de blé - sucre - beurre concentré - lait écrémé en poudre - farine d'orge maltée - sel"", ' - eau - beurre - poudre de cacao maigre 2,6% - arôme naturel de noix de coco avec autres arômes naturels ', 'dont lait', ' - beurre de cacao', ' ', ""pourcentages exprimés sur l'entremets chocolat noix de coco"", 'tartelette framboises 25,4% :framboises 44', '4% ', 'framboises et brisures de framboises', ' - fond de tartelette 31% ', 'farine de blé - beurre - sucre glace - œufs - eau - fibre de blé - fécule de manioc', ' - sucre - chocolat blanc ', 'sucre - beurre de cacao - lait en poudre - lactose - lait écrémé en poudre - émulsifiant : lécithine de soja', ' - beurre de cacao - chocolat de couverture ', 'pâte de cacao - sucre - beurre de cacao - émulsifiant : lécithine de soja - arôme naturel de vanille', ' - gélifiant : pectines', ' ', 'pourcentages exprimés sur la tartelette framboises', 'tartelette caramel filet de chocolat 22,6% :fond de tartelette 34,8% ', 'farine de blé - beurre - sucre glace - œufs - eau - fibre de blé - fécule de manioc', ' - caramel au beurre et au sel de guérande 34% [sirop de glucose-fructose - confiture de lait ', 'lait frais - sucre - lait écrémé en poudre', ' - beurre 6,3% - sucre - eau - lait en poudre - sel de guérande 0', '1% - jus de citron] - lait demi écrémé - chocolat de couverture 8', '2% ', 'pâte de cacao - sucre - beurre de cacao - émulsifiant : lécithine de soja - arôme naturel de vanille', ' - chocolat blanc 7', '6% ', 'sucre - beurre de cacao - lait en poudre - lactose - lait écrémé en poudre - émulsifiant : lécithine de soja', ' - beurre de cacao - fécule de manioc - huile de tournesol - farine de blé', ' ', 'pourcentages exprimés sur la tartelette caramel filet de chocolat', 'moelleux pommes amandes 22% : compote de pommes pâtissière 26% ', 'pommes 19% - sucre', ' - œufs - amande en poudre 18% - sucre - amande effilée 12% - beurre', ' ', 'pourcentages exprimés sur le moelleux pommes amandes', ' traces de céleri', 'moutarde', 'sésame et autres fruits à coque']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",['Non végétalien'],4,26 g,en quantité élevée,15 g,en quantité élevée,25 g,en quantité élevée,0.12 g,en faible quantité,1750,+11%,420,+11%,1750 kj(420 kcal),+11%,26,+55%,15,+84%,41,-15%,25,-15%,"3,5",-35%,"0,12",-71%,"0,048",-71%,9,-47%,C,-47%,,,,,,,,"['E322i - Lécithine', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines']",,,,
318,Crème semi-épaisse entière - Casino - 50cl (2x 25cl),3222475463181,,Crème entière semi-épaisse stérilisée UHT à 30% de matières grasses,50 cl (2 x 25 cl),['Aluminium'],['Casino'],,,,"['EMB 45273', ""Saint-Denis-de-l'Hôtel (Loiret, France)""]",,['Casino'],['France'],"['crème de lait ', 'origine : France', ' - amidon transformé de maïs - stabilisants : E460', 'E466', 'E407', 'E415 - émulsifiant : E472b']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",4,,,,,,,,,1227,,298,,1227 kj(298 kcal),,30,,19,,"4,5",,"3,2",,"2,4",,"0,12",,"0,048",,,,,,,,,,,,,"['E14XX - Amidons modifiés', 'E460 - Cellulose', 'E466 - Carboxyméthylcellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras""]",,,,
319,Galette jambon emmental mozzarella - Casino - 195g,3222475466076,,"Galette de blé noir garnie d'une préparation au jambon cuit superieur, à l'emmental français rapé et à la mozzarella rapée",195 g,"['Barquette', 'Plastique', 'Frais']",['Casino'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au porc', 'Réfrigérés', 'Plats préparés à réchauffer au micro-ondes', 'Plats préparés réfrigérés', 'Galettes garnies']","['Experimentation Etiquetage Nutritionnel 2016', 'Expérimentation Nutriscore', 'en:produced-in-bretagne', 'Expérimentation Nutriscore 0']","['Bretagne', 'France']",['EMB 56231B1'],,['Casino'],['France'],"['Galette de blé noir 46', '2% ', 'eau - farine de blé noir 15% - sel - huile de tournesol', ' - jambon cuit supérieur 22% [jambon de porc ', 'origine : ue', ' - eau - sel - dextrose - arômes naturels - antioxydant : érythorbate de sodium - conservateur : nitrite de sodium] - emmental français râpé 9,7% - mozzarella rapée 9,7% ', 'lait de vache pasteurisé - ferments - antiagglomérant : cellulose - sel', ' - crème ', 'crème - stabilisant : carraghénanes', ' - eau - amidon transformé de maïs - jus de citron - sel - poivre blanc', ""\r traces d'œuf et de gluten""]",['Lait'],"['Non végétalien', 'Non végétarien']",4,9.4 g,en quantité modérée,6 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,737,-3%,176,-1%,737 kj(176 kcal),-1%,"9,4",+19%,6,+34%,10,-42%,0,-100%,12,+39%,"1,2",+1%,"0,48",+1%,11,+50%,D,+50%,,,,,,,,"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E460 - Cellulose', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés']",['Union européenne'],,,
320,"Biére aromatisée tequila 5,9° merida - Casino - 65cl",3222475468674,,Bière arômatisée Téquila,65 cl,,['Casino'],,,,"['EMB 59178', 'Douai (Nord, France)']",,['Casino'],['France'],"['Bière ', 'eau', ""malt d'orge"", 'extrait de houblon', ' - sirop de sucre inverti - acidifiant : acide citrique - arômes ', 'arôme téquila', 'arôme naturel de citron vert - arôme naturel de citron vert-citron', ' - antioxydant : acide ascorbique']",['Gluten'],[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,
321,Casino,3222475471193,,,,,['Casino'],,,,,,['Casino'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
322,Pavé à base de farine label rouge - Casino,3222475471247,,,,,"['Casino', 'Terre & Saveur']","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,,,,['Casino'],['France'],"['Farine de blé Label Rouge 47% ', 'gluten de blé', 'farine de blé malté', 'eau', 'levain 19%', 'sel', 'levain de blé déshydraté', 'levure', 'agent de traitement de la farine: acide ascorbique', ' Cuit dans un atelier pouvant utiliser: céréales', 'oeufs', 'lait', 'arachides', 'fruits à coque', 'sésame', 'soja et produits à base de ces ingrédients', 'sulfites']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Graines de sésame', 'Soja', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,1.1 g,en faible quantité,0.3 g,en faible quantité,1.7 g,en faible quantité,1.1 g,en quantité modérée,?,,259,-21%,1084 kj(259 kcal),-21%,"1,1",-82%,"0,3",-74%,53,-3%,"1,7",-57%,"8,2",-14%,"1,1",-14%,"0,44",-14%,0,-100%,B,-100%,,,,,,,,['E300 - Acide ascorbique'],,,,
323,12 mini viennoiseries : mini croissants et mini pains au chocolat pur beurre - prêts à cuire - Casino - 300g,3222475474453,C,"Assortiment de 6 mini croissants pur beurre et de 6 mini pains au chocolat pur beurre, crus, prêts à cuire, surgelés",300 g,,['Casino'],"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Croissants', 'Croissants au beurre']",['Aucun'],,,,['Casino'],['France'],"['mini croissants: farine de blé - beurre 24%* - eau - sucre - levure - gluten de blé - œufs - sel - agent de traitement de la farine : acide ascorbique - enzyme', ' *pourcentage exprimé sur le mini croissant', ' traces de soja ', 'fruits à coque et graines de sésame mini pains au chocolat  : farine de blé - beurre 21%* - eau - chocolat 11% * ', 'sucre - pâte de cacao - beurre de cacao - émulsifiant : lécithine de soja', ' - sucre - levure - gluten de blé - œufs - sel - agent de traitement de la farine : acide ascorbique - enzyme', ' *pourcentages exprimés sur le mini pain au chocolat', ' traces de fruits à coque et de graines de sésame ']","['Œufs', 'Gluten', 'Lait']",['Non végétalien'],4,21 g,en quantité élevée,13 g,en quantité élevée,7.8 g,en quantité modérée,0.68 g,en quantité modérée,1520,-6%,364,-5%,1520 kj(364 kcal),-6%,21,-3%,13,-8%,35,-14%,"7,8",+10%,"7,6",+1%,"0,68",-31%,"0,272",-31%,16,-14%,D,-14%,78.5%,13.2%,5.3%,2.6%,0.4%,0.0%,69,"['E300 - Acide ascorbique', 'E322i - Lécithine']",,,,
324,Pâte épaisse - Casino,3222475476419,,,,,['Casino'],,,,,,['Casino'],['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,
325,"Nectar Orange Pêche Abricot - Casino - 1,5L",3222475476600,B,Nectar multifruits à base de jus concentrés et de purées issu de l'agriculture biologique. Teneur en fruits : 50 % minimum,"1,5 L",['Brique carton et son bouchon à recycler'],['Casino'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique', 'Au sucre de canne', 'Info-Tri Point Vert', 'Teneur en fruits 50\xa0% minimum']","['Fruité (Groupe Britvic) - 389 Rue Ingénieur Sansoube - ZI Les Afforêts - 74800 La Roche-sur-Foron', 'Haute-Savoie', 'Auvergne-Rhône-Alpes', 'France']","['EMB 74224F', 'Roche-sur-Foron (Haute-Savoie, France)']",http://www.casinodrive.fr/ecommerce/affichageDetailProduit/WE80205/F-47104-jus-de-fruits/P-85166--,['Casino'],['France'],"['Jus de fruits à base de concentrés et purées de fruits 50% minimum ', 'orange 30,1% - pomme 8,1% - pêche 6,5% - abricot 5,3%', ' - eau - sucre de canne']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,0.1 g,en faible quantité,0.1 g,en faible quantité,12 g,en quantité élevée,0 g,en faible quantité,214,+20%,50,+19%,214 kj(50 kcal),+22%,"0,1",-48%,"0,1",+252%,12,+20%,12,+26%,"0,6",+92%,0,-100%,0,-100%,14,+31%,E,+31%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Agriculture UE/non UE'],,,
326,Coulommiers Bio - Casino Bio - 350g,3222475476815,B,Fromage au lait pasteurisé issu de l'agriculture biologique,350 g,,"['Casino Bio', 'Casino']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Fromages pasteurisés', 'Coulommiers']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'en:Lait-francais-french-milk', 'Agriculture France']",,,,['Casino'],['France'],"[""lait pasteurisé de vache* - sel - ferments lactiques et d'affinage "", 'contient lait', ' - enzyme coagulante', '*']","['Lait', 'Gras']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",3,22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.3 g,en quantité modérée,1163,-1%,280,+1%,1163 kj(280 kcal),+0%,22,-1%,15,-3%,"0,5",-2%,"0,5",+92%,20,+6%,"1,3",-13%,"0,52",-13%,13,-8%,D,-8%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['France'],,,
327,Muesli Croustillant Chocolat Noir - Casino - 500g,3222475477041,B,Muesli Croustillant Chocolat Noir,500 g,"['Sachet', 'Plastique']",['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales', 'Céréales extrudées', 'Flocons extrudés', 'Céréales au chocolat', 'Mueslis au chocolat', 'Pétales multicéréales']","['Labels de distributeurs', 'Point Vert']",['France'],"['EMB 80302A', 'Faverolles (Somme, France)']",,['Casino'],['France'],"[""Céréales 66% [flocons d'avoine - flocons de blé - farine de blé - céréales extrudées "", 'farine de riz - farine de blé - sucre - farine de malt de blé - sel - sucre caramélisé en poudre', ' - pétales de maïs ', ""maïs - sucre - extrait de malt d'orge - sel - émulsifiant : mono - et diglycérides d'acides gras"", '] - carrés de chocolat noir 15% ', 'pâte de cacao - sucre - émulsifiant : lécithine de tournesol - arôme', ' - sucre - huile de tournesol ', 'huile de tournesol - antioxydant : extrait riche en tocophérols', ' - sirop de glucose - noix de coco en poudre - sel - arôme - caramel ', 'sucre - eau']","['Gluten', 'Avoine']","[""Pourrait contenir de l'huile de palme""]",4,17 g,en quantité modérée,5 g,en quantité modérée,21 g,en quantité élevée,0.45 g,en quantité modérée,?,,460,+4%,1925 kj(460 kcal),+4%,17,+7%,5,-3%,65,+6%,21,+11%,"8,4",-10%,"0,45",+84%,"0,18",+84%,9,-1%,C,-1%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E322i - Lécithine', 'E306 - Extrait riche en tocophérols']",,,,
