,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,manufacturing,traceability_code,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,palm_ingredients,producer_info,origin_detail
871,Sorbet citron,3229248122559,,,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,130,,544 kj(130 kcal),,"0,5",,"0,5",,"30,6",,"26,4",,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,,,
872,6 cônes 3 chocolats - Toupargel,3229248123556,,,,,['Toupargel'],,,,,,,['France'],[],,[],,,,,,,,,,?,,286,,1197 kj(286 kcal),,"11,8",,"8,7",,"40,2",,"30,8",,"3,9",,"0,13",,"0,052",,,,,,,,,,,,,,,,,
873,Cônes caramel au beurre salé,3229248123952,,,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,289,,1209 kj(289 kcal),,12,,9,,41,,30,,"3,9",,"0,44",,"0,176",,,,,,,,,,,,,,,,,
874,Creme glacee caramal au beurre salé - Toupargel,3229248158657,,,,,['Toupargel'],,,,,,,['France'],"['Sirop de glucose de blé', 'eau', 'lait écrémé condensé', 'sucre', 'dextrose de maïs', 'salé ', '5,6%', 'sel', 'stabilisant : pectines', ""émulsifiant: mono et diglycérides d'acides gras dlorigine végétale"", 'arôme naturel de vanille', 'arôme naturel', ' ', 'Pourcentage exprimé sur la sauce au caramel au beurre salé', ' Contient : lait', ' Traces éventuelles de fruits à coque', ' NO lot et à consommer de préférence avant fin : voir sur le côté de l’emballage']",['Lait'],['Non végétalien'],4,,,,,,,,,?,,218,,912 kj(218 kcal),,8,,"5,7",,"31,7",,"25,3",,"3,9",,"0,51",,"0,204",,,,,,,,,,,,,"['E440 - Pectines', ""E471 - Mono- et diglycérides d'acides gras alimentaires""]",,,,
875,Nougat glacé - Toupargel,3229248191555,,,,,['Toupargel'],,,,,,,['France'],[],,[],,,,,,,,,,?,,246,,1029 kj(246 kcal),,"14,6",,"4,9",,"22,3",,"14,4",,"5,4",,"0,05",,"0,02",,,,,,,,,,,,,,,,,
876,Cones chocolat pistache - Toupargel,3229248196659,B,,,['Surgele'],['Toupargel'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés', 'Cônes chocolat pistache']",,,,,['Toupargel'],['France'],[],,[],,15.2 g,en quantité modérée,11.2 g,en quantité élevée,26.5 g,en quantité élevée,0.1 g,en faible quantité,?,,310,+10%,1297 kj(310 kcal),+11%,"15,2",+15%,"11,2",+11%,"38,4",+5%,"26,5",+1%,"4,1",+24%,"0,1",-23%,"0,04",-23%,18,+7%,D,+7%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,
877,Cône vanille café - Toupargel,3229248196956,B,,,,['Toupargel'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Cônes glacés', 'Cônes vanille café']",,,,,,['France'],[],,[],,14.8 g,en quantité modérée,11.2 g,en quantité élevée,26.3 g,en quantité élevée,0.1 g,en faible quantité,?,,302,+13%,1264 kj(302 kcal),+13%,"14,8",+25%,"11,2",+26%,"37,9",+3%,"26,3",-1%,"3,8",+29%,"0,1",-35%,"0,04",-35%,18,+15%,D,+15%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,
878,6 cônes menthe chocolat - Toupargel,3229248197359,,,,,['Toupargel'],,,,,,,['France'],[],,[],,,,,,,,,,?,,304,,1272 kj(304 kcal),,"15,3",,"12,2",,"37,3",,"26,2",,"3,7",,"0,1",,"0,04",,,,,,,,,,,,,,,,,
879,Creme glace cafe - Toupargel,3229248197458,,,,,['Toupargel'],,,,,,,['France'],[],,[],,,,,,,,,,?,,219,,916 kj(219 kcal),,"8,3",,"5,8",,"31,6",,"24,6",,"3,5",,"0,16",,"0,064",,,,,,,,,,,,,,,,,
880,Crème glacée à la vanille - Toupargel - 468g,3229248197854,B,,468 g,['Surgele'],['Toupargel'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']",,['France'],,,['Toupargel'],['France'],[],,[],,10.4 g,en quantité modérée,6.3 g,en quantité élevée,21.9 g,en quantité élevée,0.15 g,en faible quantité,?,,205,-1%,858 kj(205 kcal),-2%,"10,4",+2%,"6,3",-6%,"24,7",-3%,"21,9",+2%,"2,9",-8%,"0,15",+11%,"0,06",+11%,12,+1%,D,+1%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,
