,name,bar_code,eco_score,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,labels,additives,nova_score,allergens,packaging,manufacturing,traceability_code,markets,ingredients_origins,palm_ingredients,generic_name,link,origin_detail,producer_info,brand_owner
364,Cassonade - Dia - 1kg,8480017012067,B,['Dia'],"['Édulcorants', 'Sucres', 'Sucres roux', 'Cassonades']",['France'],['Sucre roux de canne'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,,,,1kg,,,2,,"['Carton', 'Boîte']",['France'],,['Dia'],,,Sucre roux de canne,,,,
365,Chocolat noir pâtissier 64% - Dia - 200g,8480017013453,E,['Dia'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",['France'],"['Pâte de cacao ', '43%', 'sucre', 'beurre de cacao', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja et arômes']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",40 g,en quantité élevée,27 g,en quantité élevée,36 g,en quantité élevée,0.13 g,en faible quantité,2364,+4%,569,+2%,2364 kj(569 kcal),+2%,40,+2%,27,+17%,41,+6%,36,+14%,7,-9%,"0,13",+178%,"0,052",+178%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,19,-10%,E,-10%,200g,,['E322i - Lécithine'],4,['Soja'],['Papier'],,,['Dia'],,,,,,,
366,Champignons de Paris 1er choix éminces - Dia,8480017018939,B,['Dia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Frais', 'Champignons et produits dérivés', 'Aliments à base de plantes frais', 'Champignons', 'Champignons en conserve', 'Champignons de Paris', 'Champignons de Paris en conserve', 'Champignons de Paris émincés']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.8 g,en quantité modérée,?,,15,-29%,63 kj(15 kcal),-25%,0,-100%,0,-100%,"0,6",-47%,0,-100%,"2,3",+8%,"0,8",+99%,"0,32",+99%,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,-3,,A,,,,,,,,,,['Dia'],,,,,,,
367,Ice t mango - Dia,8480017019103,,['Dia'],,['France'],[],[],,,,,,,,,?,,20,,84 kj(20 kcal),,0,,0,,5,,"4,8",,0,,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,['Dia'],,,,,,,
368,Sirop de fraise sans sucre - Dia - 75cl,8480017021069,B,['Dia'],"['Boissons', 'Sirops', 'Boissons édulcorées', 'Sirops aromatisés', 'Sirops de fraise', 'Sirops aromatisés sans sucre']",['France'],"['eau', 'jus de fruits à base de concentrés 15% ', 'fraise 10%', 'sureau', 'fibre alimentaire : dextrine de blé', 'acidifiant : acide citrique', 'arômes', 'édulcorants : sucralose - aspartame - acésulfame-K', 'épaississant : E415', 'conservateurs : E202', 'E211']",['Sans huile de palme'],,,,,,,,,55,+4%,13,-7%,55 kj(13 kcal),-2%,"0,1",+29%,0,-100%,"1,5",+33%,"1,5",+114%,"0,1",+12%,0,-100%,0,-100%,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,75 cl,"['Peu ou pas de sucre', 'Point Vert', 'Sans sucre']","['E1400 - Dextrines', 'E330 - Acide citrique', 'E955 - Sucralose', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E415 - Gomme xanthane', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E211 - Benzoate de sodium', '', 'Risque élevé de sur-exposition']",4,,['Bidon'],,"['EMB 38140', 'Crolles (Isère, France)']",['Dia'],,,Sirop de fraise sans sucre,,,,
369,Biscuits feuilletés aux olives noires - Dia - 60g,8480017024701,B,['Dia'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",['France'],"['Farine de blé', 'huiles et graisses végétales [huiles végétales', 'émulsifiant ', 'E471', 'sel', 'acidifiant ', 'E330', 'colorant ', 'bêta-carotène', ']', 'emmental', ""mélange d'olives noires 5,6% [olives noires "", '90,2%', 'sel', 'huiles végétales', 'acidifiant ', 'E330', ']', 'sel', 'levure', 'colorant ', 'rocou']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",32 g,en quantité élevée,17 g,en quantité élevée,1.3 g,en faible quantité,2.77 g,en quantité élevée,2219,+11%,532,+15%,2219 kj(532 kcal),+13%,32,+61%,17,+214%,"49,1",-17%,"1,3",-67%,"9,9",0%,"2,769",+38%,"1,107",+38%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,22,+43%,E,+43%,60 g,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160ai - Bêta-carotène', 'E160b - Rocou']",4,"['Gluten', 'Lait']","['Carton', 'Sachet']",['Union Européenne'],,['Dia'],,,Biscuits feuilletés aux olives noires,,,,
370,"Source Roche des Ecrins - Dia - 0,5L",8480017025401,,['Dia'],"['Boissons', 'Eaux', 'Eaux de sources', 'Produits de montagne', 'Eaux de montagne']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,0,,A,,"0,5 L",,,,,,,,['Dia'],,,,,,,
371,Super - Dia,8480017026750,,['Dia'],"['Viandes', 'Charcuteries']","['France', 'Espagne']",[],[],17 g,en quantité modérée,5.6 g,en quantité élevée,0.5 g,en faible quantité,2 g,en quantité élevée,?,,213,-18%,891 kj(213 kcal),-18%,17,-12%,"5,6",-23%,4,+172%,"0,5",-37%,11,-41%,2,-16%,"0,8",-16%,,,,,,,,15,-6%,D,-6%,,['Sans gluten'],,,,,,,['Dia'],,,,,,,
372,Kriek Bière - Dia - 6x25cl,8480017028709,B,['Dia'],"['Boissons', 'Boissons alcoolisées', 'Bières', 'Bieres aromatisées aux fruits', 'Bières à la cerise']",['France'],"['Eau', ""malte d'orge"", 'blé', 'dextrose', 'arôme cerise', 'acidifiants: ', 'acide lactique', 'acide citrique', 'jus de sureau', 'édulcorants: ', 'acésulfame K', 'aspartame', 'saccharine', 'houblon', 'antioxydants: E224', 'E300']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,6x25 cl,,"['E270 - Acide lactique', 'E330 - Acide citrique', 'E950 - Acésulfame K', 'E951 - Aspartame', 'E954 - Saccharine et ses sels', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",4,['Gluten'],"['Bouteille', 'Verre', 'Carton']",,"['EMB 59178', 'Douai (Nord, France)']",['Dia'],"['France', 'Douai']",,Bière aromatisée à la cerise,,,,
373,Earl Grey 25 tea bags HTPC Lian Li PC C60A Silver - Dia,8480017047830,,['Dia'],['Boissons'],['France'],"['thé noir 97%', 'arôme bergamote 3%', ' Préparation: Mettre un sachet dans une tasse', ""verser de l'eau bouillante et laisser infuser 5 minutes environ"", ' Conservation:']",[],0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,?,,1,-98%,4 kj(1 kcal),-98%,0,-100%,0,-100%,"0,2",-98%,"0,1",-99%,0,-100%,0,-100%,0,-100%,,,,,,,,2,-74%,C,-74%,,,,4,,,,,['Dia'],,,,,,,
374,Une entrecôte - Dia,8480017057242,E,['Dia'],"['Viandes', 'Bœuf', 'Entrecôte de boeuf']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,97.6%,0.4%,0.8%,0.7%,0.4%,0.3%,3,,,,,,,,,,"['Barquette', 'Plastique']",,,['Dia'],,,Entrecôte,,,,
375,Sorbete Sabor Frutas - Dia - 450ml (5x 90ml),8480017075758,B,"['Dia', 'Dia - Distribuidora Internacional de Alimentación S.A.']","['Desserts', 'Surgelés', 'Desserts glacés', ""Glaces à l'eau""]","['France', 'Espagne']","['Agua', 'puré concentrado de naranja', 'piña', 'limón y manzana y puré de fresa ', '20%', 'azúcar', 'jarabe de glucosa y fructosa', 'regulador de la acidez: acudo cítrico ', 'E-330', 'dextrosa', 'aroma natural de naranja', 'piña', 'limón', 'fresa y otros aromas naturales', 'estabilizadores: goma de guar ', 'E-412', ' y goma tara ', 'E-417', 'colorantes: carotenoides ', 'E-160a ii', 'riboflavina ', 'vitamina B2', ' ', 'E-101i', 'complejos cúpricos de clorofilas ', 'E-141', 'zumo rojo concentrado de remolacha y vitamina C']","[""Pourrait contenir de l'huile de palme"", 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,19 g,en quantité élevée,0 g,en faible quantité,?,,76,-17%,318 kj(76 kcal),-13%,0,-100%,0,-100%,19,-2%,19,+9%,0,-100%,0,-100%,0,-100%,45.8%,21.9%,8.3%,10.5%,8.6%,4.9%,91,4,+2%,C,+2%,450 ml (5 x 90 ml),"['Végétarien', 'Végétalien', 'es:Alto en vitamina C']","['E330 - Acide citrique', 'E412 - Gomme de guar', 'E417 - Gomme tara', 'E160 - Caroténoïdes', 'E160aii - Carotènes végétaux', 'E101i - Riboflavine', 'E141i - Complexes cuivriques de chlorophylles', 'E141 - Complexe cuivrique des chlorophylles et des chlorophyllines']",4,,"['Caja de cartón', 'Envoltorio de plástico', 'Congelado']",,,['Dia'],,,"Sorbet parfum orange, ananas, fraise, citron et pomme.",,,,
376,Gelato d'Italia Pesca Melba - Dia - 375g,8480017076052,B,['Dia'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",['France'],"['lait écrémé réhydraté', 'sirop de glucose-fructose', 'sucre', 'jus de pêche 8%', 'huile de coco raffinée', 'jus de framboise 4%', 'dextrose', 'pêches semi-confites 3% ', 'pêches', 'sucre', 'acidifiant ', 'E330', 'protéines de lait', 'beurre', 'émulsifiant ', 'E471', 'stabilisants ', 'E410', 'E407', 'E440', 'E405', 'E412', 'acidifiant ', 'E330', 'arôme', 'colorants ', 'E160b', 'E160a', 'E163', 'E162', 'E100']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",8.7 g,en quantité modérée,7.3 g,en quantité élevée,28 g,en quantité élevée,0.102 g,en faible quantité,858,-12%,?,,858 kj(205 kcal),-12%,"8,7",-26%,"7,3",-4%,"29,5",+6%,28,+20%,"1,9",-40%,"0,102",-32%,"0,041",-32%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,15,+12%,D,+12%,375g,,"['E330 - Acide citrique', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E440 - Pectines', 'E405 - Alginate de propane-1', 'E412 - Gomme de guar', 'E160b - Rocou', 'E160a - Carotènes mélangés', 'E163 - Anthocyanes', 'E162 - Rouge de betterave', 'E100 - Curcumine']",4,['Lait'],['Surgelé'],,,"['Ed', 'Dia']",['Italie'],,Glace italienne parfum pêche crème fouettée,,,,
377,Yaourt Nature (0 % MG) 8 pots - Dia - 1kg [2x (4x 125g)],8480017078865,B,['Dia'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Frais', 'Yaourts', 'Yaourts nature', 'Yaourts allégés en matière grasse']",['France'],"['Lait écrémé', 'lait écrémé en poudre', 'ferments lactiques']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,5.4 g,en quantité modérée,0.15 g,en faible quantité,164,-23%,?,,164 kj(39 kcal),-32%,"0,1",-82%,0,-100%,"5,4",-31%,"5,4",-25%,4,-13%,"0,15",+2%,"0,06",+2%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,-1,,A,,1 kg [2 x (4 x 125 g)],"['Peu ou pas de matière grasse', 'Point Vert', 'Sans matière grasse', 'Eco-Emballages', 'Fabriqué en UE']",,3,['Lait'],"['Frais', 'Pot', 'Plastique', 'Opercule', 'Etui', 'Carton']","['Novandie (Filiale Groupe Andros) - Route de Roinville - 28700 Auneau', 'Eure-et-Loir', 'Centre-Val de Loire', 'France', 'Union Européenne']","['FR 28.015.011 CE', 'Auneau (Eure-et-Loir, France)']",['Dia'],,,Yaourt nature maigre,,,,
378,"Penne poulet, sauce champignons, Surgelées  - Dia - 300g",8480017101594,D,['Dia'],"['Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille', 'Plats préparés surgelés', 'Plats au poulet', 'Plats préparés à réchauffer au micro-ondes', 'Penne au poulet', 'Penne au poulet sauce champignons']",['France'],"['Pâte cuites 48 % ', 'eau', 'semoule de blé dur', 'crème fraîche 14 % ', 'contient lait', 'eau', 'viande de poulet traité en salaison 10 % ', 'viande de poulet 96 % ', 'sel', 'maltodextrine', 'dextrose', 'arôme naturel', 'champignons 10 %', 'amidon transformé de maïs', 'champignons forestiers 1 % ', 'cèpes', 'pleurotes', 'pholiotes', 'lactaires', 'sel', 'arômes naturels', 'ail', 'persil 0,3 %', 'poivre blanc']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4.3 g,en quantité modérée,2.9 g,en quantité modérée,1.7 g,en faible quantité,0.584 g,en quantité modérée,570,-2%,135,-9%,570 kj(135 kcal),-7%,"4,3",-27%,"2,9",+73%,"16,7",+22%,"1,7",-13%,"6,7",-17%,"0,584",-31%,"0,234",-31%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,0,-100%,B,-100%,300 g,"['Point Vert', 'Fabriqué en France', 'Eco-Emballages']",['E14XX - Amidons modifiés'],4,"['Gluten', 'Lait']","['Surgelé', 'Boîte', 'Carton', 'Barquette', 'Opercule']","['Marie Surgelés - MS (Filiale Groupe Lambert Dodard Chancereul - LDC) - Zone Economique de Coquine - Le Pont de Barroux - 79600 Airvault', 'Deux-Sèvres', 'Poitou-Charentes', 'France']","['FR 79.005.001 CE', 'Airvault (Deux-Sèvres, France)']",['Dia'],,,"Plat cuisiné à base de pâtes cuites, de viande de poulet traité en salaison et d'une sauce aux champignons, surgelé",,,,
379,Tomato Ketchup - Dia - 560g,8480017102355,B,['Dia'],"['Epicerie', 'Condiments', 'Sauces', 'Sauces tomate', 'Ketchup', 'Assaisonnements']",['France'],"['Tomate ', '120 g pour de produit 100 g', 'sucre', 'sirop de glucose-fructose', ""vinaigre d'alcool"", 'amidon modifié de maïs', 'sel et arômes']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,19.9 g,en quantité élevée,2.66 g,en quantité élevée,445,-56%,105,-49%,445 kj(105 kcal),-51%,"0,1",-99%,~ 0,-100%,"24,6",+16%,"19,9",+112%,"0,9",-79%,"2,66",-72%,"1,064",-72%,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,15,+35%,D,+35%,560 g,"['en:gluten-free', 'Sans conservateurs']",['E14XX - Amidons modifiés'],4,,"['Bouteille', 'Plastique']",['Turquie'],,['Dia'],,,Tomato Ketchup,,,,
380,Tomme blanche (32% MG) - Dia - 220g,8480017110688,C,['Dia'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Frais', 'Fromages de vache', 'Produits de montagne', 'Fromages de montagne', 'Fromages pasteurisés', 'Fromages à la crème', 'Tommes', 'Tommes blanches']",['France'],"['Lait pasteurisé de vache', 'sel', 'ferments lactiques', 'coagulant']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",32 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,1.2 g,en quantité modérée,1490,0%,?,,1490 kj(356 kcal),-1%,32,+8%,21,+4%,0,-100%,0,-100%,18,-20%,"1,199",-26%,"0,48",-26%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,14,-10%,D,-10%,220 g,"['Point Vert', 'Eco-Emballages']",,3,['Lait'],"['Film plastique', 'Frais']","[""Fromapac (Filiale Bongrain) - Parc d'Activités des Rouyardières - 35220 Châteaubourg"", 'Ille-et-Vilaine', 'Bretagne', 'France']","['FR 35.068.004 CE', 'Châteaubourg (Ille-et-Vilaine, France)']",['Dia'],,,"Fromage de montagne, à pâte fraîche, au lait pasteurisé de vache",,,,
381,"Jambon cuit supérieur AC, fumé bois de hêtre - Dia - 200g en 4tranche",8480017119476,E,"['Dia', 'Paul Predault']","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons blancs fumés']",['France'],"['jambon de porc', 'eau', 'sel', 'dextrose', 'arôme', 'antioxydant ', 'érythorbate de sodium', 'conservateur ', 'nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",6.5 g,en quantité modérée,2.3 g,en quantité modérée,0.6 g,en faible quantité,2.05 g,en quantité élevée,?,,142,+4%,594 kj(142 kcal),+5%,"6,5",+22%,"2,3",+12%,"0,9",+6%,"0,6",-8%,20,-2%,"2,05",+4%,"0,82",+4%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,12,+50%,D,+50%,200g en 4 tranche,['Qualité supérieure'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,,"['Frais', 'Barquette', 'Plastique']",,"['FR 41.018.003 CE', 'Blois (Loir-et-Cher, France)']",['Dia'],['Union européenne'],,"Charcuterie, jambon AC, fumé",,,,
382,Chili con carne et son riz - Dia - 300g,8480017119926,,['Dia'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes', 'Chili con carne au riz']",['France'],"['Chili : eau', 'viande bovine ', '16 %', 'haricots rouges précuits ', '13 %', 'poivrons', 'concentré de tomates', 'oignons', 'amidon modifié de maïs', 'sucre', 'sel', 'épices ', 'dont céleri', 'arôme naturel de poivre', 'ail en poudre', '\rRiz blanc ', '36 %', ' : eau', 'riz blanc', 'sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3.2 g,en quantité modérée,1.4 g,en faible quantité,2.2 g,en faible quantité,0.83 g,en quantité modérée,516,-3%,123,-10%,516 kj(123 kcal),-9%,"3,2",-46%,"1,4",-36%,"16,2",+73%,"2,2",+22%,"5,8",-34%,"0,83",-2%,"0,332",-2%,,,,,,,,2,-13%,B,-13%,300 g,"['Point Vert', 'Eco-Emballages', 'Fabriqué en UE']",['E14XX - Amidons modifiés'],4,['Céleri'],"['Barquette', 'Plastique', 'Opercule', 'Film plastique', 'Etui', 'Carton', 'Sous atmosphère protectrice']","['Raynal et Roquelaure (R&R) - 9 Rue des Silos - 47110 Sainte-Livrade-sur-Lot', 'Lot-et-Garonne', 'Aquitaine', 'France', 'Union Européenne']","['FR 47.252.001 CE', 'Sainte-Livrade-sur-Lot (Lot-et-Garonne, France)', 'EMB 47252D', 'Sainte-Livrade-sur-Lot (Lot-et-Garonne, France)']",['Dia'],,,"Plat cuisiné à base de riz, viande bovine et haricots rouges",,,,
383,Tomato Frito Vital - Dia - 300g,8480017166975,B,['Dia'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Sauces tomates frites']","['France', 'Espagne']","['tomate concentrado ', '175 g para elaborar 100 g de produto', 'éleo de girassol', 'amido modificado de milho e aroma natural de verduras']",[],3.3 g,en quantité modérée,0.5 g,en faible quantité,5.8 g,en quantité modérée,0.09 g,en faible quantité,?,,67,-23%,280 kj(67 kcal),-21%,"3,3",-18%,"0,5",+3%,"6,5",-29%,"5,8",-16%,"1,8",+42%,"0,09",-92%,"0,036",-92%,48.3%,19.8%,11.8%,11.5%,5.0%,3.5%,91,0,-100%,B,-100%,300 g,"['en:gluten-free', 'Sans sucre ajouté']",,,,"['plástico', 'cartón']",,,['Dia'],,,,,,,
384,Cookies aux pépites de chocolat et à la nougatine - Dia - 200g,8480017332844,D,['Dia'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat', 'Cookies au chocolat et à la nougatine']",['France'],"['Farine de blé', 'pépites de chocolat ', '22 %', ' [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant ', 'lécithines ', 'dont soja', 'arôme]', 'graisse végétale de palme', 'sucre', 'praliné de nougatine ', '13 %', ' [noisettes', 'sucre]', 'œufs entiers,liquides pasteurisés', 'blanc d’œuf liquide pasteurisé', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'lactosérum en poudre', 'sel', 'arôme']","['Huile de palme', 'Non végétalien']",27 g,en quantité élevée,12 g,en quantité élevée,33 g,en quantité élevée,1.3 g,en quantité modérée,2141,,512,+2%,2141 kj(512 kcal),+2%,27,+6%,12,+7%,59,-3%,33,+2%,"6,5",+7%,"1,3",+9%,"0,52",+9%,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,28,+11%,E,+11%,200 g,"['Point Vert', 'Eco-Emballages']","['E322 - Lécithines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","['Boîte', 'Carton', 'Barquette', 'Plastique', 'Film plastique']","['Biscuits Panier (Filiale Groupe Poult) - ZI des Pays-Bas - 29510 Briec', ""Biscuiterie Fouesnantaise (Filiale Groupe Poult) - ZA de Park C'Hastel - 29170 Fouesnant"", 'Finistère', 'Bretagne', 'Biscuiterie Rougier (Filiale Groupe Poult) - ZA de la Pillardière - 45600 Sully-sur-Loire', 'Loiret', 'Centre-Val de Loire', 'France']","['EMB 29020H', 'Briec (Finistère, France)', 'EMB 29058A', 'Fouesnant (Finistère, France)', 'EMB 45315', 'Sully-sur-Loire (Loiret, France)']",['Dia'],,['Huile de palme'],Biscuits aux pépites de chocolat et à la nougatine,,,,
385,Dia Ground Black Pepper - 50gr,8480017333865,,['Dia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices']","['France', 'Espagne']",['poivre noir moulu'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,50 gr,,,1,,['Tarro'],,,['Dia'],,,,,,,
386,"15 Bâtonnets Panés de Poisson, Surgelés - Dia - 450g",8480017347930,E,['Dia'],"['Produits de la mer', 'Poissons', 'Surgelés', 'Plats préparés', 'Préparations de poisson', 'Produits panés', 'Poissons panés', 'Plats préparés surgelés', 'Batonnets de poisson']",['France'],"['Chair hachée de poisson blanc* ', '65 %', 'farine de blé', 'eau', 'amidon de pomme de terre', 'sel', 'levure', 'épices ', 'paprika', 'curcuma', 'poivre', "" Préfrits à l'huile végétale"", '\r* ', 'A', "" colin d'Alaska "", 'Theragra chalcogramma', 'B', ' Merlu ', 'Merluccius spp', 'C', ' Hoki ', 'macruronus spp', 'D', ' Merlan bleu ', 'Micromesistius spp']","['Non végétalien', 'Non végétarien']",7.5 g,en quantité modérée,,,,,,,720,+3%,?,,720 kj(172 kcal),-1%,"7,5",-3%,,,14,-5%,,,12,+13%,,,,,88.5%,2.2%,1.2%,5.1%,0.6%,2.3%,21,,,,,450 g,"['Point Vert', 'Cuisson légère sans ajout de matière grasse', 'Eco-Emballages', 'Préfrits', 'Sans arête']",,3,"['Poisson', 'Gluten']","['Surgelé', 'Boîte', 'Carton']","['Royal Greenland Seafood GmbH - Flutstraße 84 - 26386 Wilhelmshaven', 'Basse-Saxe', 'Allemagne']",['DE NI-EFB 102 EG'],['Dia'],"[""Colin d'Alaska (Theragra chalcogramma)"", 'Hoki (macruronus spp)', 'Lettre (A)', 'Lettre (B)', 'Lettre (C)', 'Lettre (D)', 'Merlan bleu (Micromesistius spp)', 'Merlu (Merluccius spp)']",,"Bâtonnets de poisson panés, surgelés, préfrits, sans arête",,,,
387,Jambon sec italien - Dia - 100g,8480017348753,,['Dia'],"['Viandes', 'Charcuteries', 'Jambons', 'en:raw-cured-ham']",['France'],"['Jambon de porc', 'sel', 'conservateur ', 'nitrate de potassium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",9.1 g,en quantité modérée,4.4 g,en quantité modérée,0.5 g,en faible quantité,6 g,en quantité élevée,855,-15%,204,-15%,855 kj(204 kcal),-14%,"9,1",-33%,"4,4",-15%,"0,5",-23%,"0,5",+15%,30,+4%,6,+22%,"2,4",+22%,,,,,,,,16,-6%,D,-6%,100 g,,"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",3,,"['Frais', 'Plastique']",,"['FR 57.032.001 CE', 'Ars-sur-Moselle (Moselle, France)']",['Dia'],['Union européenne'],,Jambon cru,,,,
388,Barquillo con relleno de cacao - Dia,8480017419972,,['Dia'],,['France'],[],[],,,,,,,,,?,,530,,2218 kj(530 kcal),,30,,"14,7",,"59,4",,"29,8",,"4,3",,"0,23",,"0,092",,,,,,,,,,,,,,,,,,,,,['Dia'],,,,,,,
389,Assortiments confiseries gélifiées et goût réglisse - Dia - 750g,8480017498274,E,['Dia'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons', 'Bonbons au réglisse']",['France'],"['sirop de glucose', 'sirop de sucre mélassé ', 'contient des sulfites', 'farine de blé ', 'gluten', 'sucre', 'gélatine de porc', 'graisse végétale ', 'palme', 'acidifiant : acide citrique', 'sel', 'lait entier en poudre', 'arômes', 'suc de réglisse', 'huile végétale ', 'coco', ""agent d'enrobage : cire de carnauba"", 'colorants : E100', 'E120', 'E131', 'E160c', 'E162', 'amidon de blé', ' Contient du lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",1.1 g,en faible quantité,1.1 g,en faible quantité,50 g,en quantité élevée,1.42 g,en quantité modérée,1453,+6%,342,+7%,1453 kj(342 kcal),+8%,"1,1",+37%,"1,1",+177%,79,+9%,50,+23%,"4,3",+49%,"1,422",+256%,"0,569",+256%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,21,+63%,E,+63%,750 g,,"['E428 - Gélatine', 'E330 - Acide citrique', 'E903 - Cire de carnauba', 'E100 - Curcumine', 'E120 - Acide carminique', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition', 'E160c - Extrait de paprika', 'E162 - Rouge de betterave']",4,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",['Plastique'],,,['Dia'],,['Huile de palme'],Bonbons,,,,
