,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
219,Bonbon anglais,9501046016808,,,,,,,,['France'],[],[],,,,,,,?,,31,,130 kj(31 kcal),,0,,0,,"7,7",,0,,0,,0,,,,,,,,,"7,7",,,,,,,,,,,,,,,,,
220,Miettes extras morue salée sans peau sans arête - 1kg,3760084447173,,,1 kg,,,,,['France'],[],[],,,,,,,?,,96,,402 kj(96 kcal),,1,,"0,2",,0,,"23,3",,"20,2",,"8,08",,,,,,,,,0,,,,,,,,,,,,,,,,,
221,Cake figue & noix - 350g,7061282203568,,,350 g,,,['Sans colorants'],,['France'],[],[],,,,,,,?,,390,,1632 kj(390 kcal),,"15,2",,"3,6",,58,,"5,4",,"0,46",,"0,184",,,,,,,,,"33,4",,,,,,,,,,,,,,,,,
222,Café sensation brazil,3245678168950,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,"Terrine de cochon et magret de canard fumé, préparée au couteau - Ducs de Gascogne - 180g",3382562347234,E,,180 g,['Ducs de Gascogne'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de volailles', 'Terrines de canard']","['Point Vert', 'Sans colorants', 'Sans conservateurs']",,['France'],[],[],42 g,en quantité élevée,15 g,en quantité élevée,1.4 g,en quantité modérée,?,,435,+42%,1820 kj(435 kcal),+42%,42,+60%,15,+58%,"0,4",-77%,15,+6%,"1,4",-8%,"0,56",-8%,77.8%,15.8%,3.0%,2.2%,1.0%,0.3%,33,"0,1",,,,,,0.1 g,en faible quantité,-84%,21,+17%,E,+17%,,,,,
224,Rosé pomme d'amour & poire,3662076228602,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Complexe respiration,3563210014146,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,Pates - 400g,8033986410046,,,400 g,,,,,['France'],[],[],,,,,,,?,,347,,1452 kj(347 kcal),,1,,"0,2",,71,,13,,0,,0,,,,,,,,,"2,9",,,,,,,,,,,,,,,,,
227,Happy tea - Natural Mojo,4251347601221,,,,['Natural Mojo'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,Asperges blanches,3450120002304,C,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Asperges', 'Asperges blanches']",,,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,0.3 g,en quantité modérée,?,,15,-21%,63 kj(15 kcal),-18%,"0,2",-20%,0,-100%,"2,5",+28%,"1,8",+22%,"0,3",-62%,"0,12",-62%,63.9%,17.1%,7.8%,4.4%,4.6%,2.3%,58,0,,,,,,0 g,en faible quantité,-100%,-5,,A,,,,,,
229,Maca - Herbesan,3428883604004,,,,['Herbesan'],['Compléments alimentaires'],"['Bio', 'Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Pruneaux dénoyautés - Éric Bur,3144550016634,,,,['Éric Bur'],,['Bio'],,['France'],[],[],,,,,,,?,,234,,979 kj(234 kcal),,"0,3",,"0,1",,54,,2,,0,,0,,,,,,,,,35,,,,,,,,,,,,,,,,,
231,Poulet,2220501078713,C,,,,"['Viandes', 'Volailles', 'Poulets']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,
232,Poulé fermier,0217247051102,,,,,,"['IGP', 'Label Rouge']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,Confiture de Cerise noire - Francis Miot,3396745001691,D,,,['Francis Miot'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,0.01 g,en faible quantité,?,,148,-33%,619 kj(148 kcal),-33%,"0,5",+105%,"0,1",+122%,34,-37%,1,+56%,"0,01",-62%,"0,004",-62%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,33,,,,,,33 g,en quantité élevée,-36%,7,-29%,C,-29%,,,,,
234,Gorgoneola,0200214019021,,,,,,['AOP'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,Crème de pamplemousse 15° - Marque Repère - 50cl,3564700534380,,,50 cl,"['Marque Repère', 'Auguste Mugniot']",,,,['France'],"['Eau ', ' sucre ', ' alcool ', ' arômes naturels de pamplemousse rose avec autres arômes naturels ', ' extrait de pamplemousse rose 0,2% ', ' acidifiant : acide citrique ', ' stabilisants : gomme arabique', 'E445 ', ' colorants : E102', 'E129']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",,,,,,,?,,?,,,,?,,,,?,,?,,0,,0,,,,,,,,,,['Leclerc'],,,,,,,,,,,,"['E330 - Acide citrique', ""E414 - Gomme d'acacia"", 'E445 - Esters glycériques de résine de bois', 'E102 - Tartrazine', 'E129 - Rouge allura AC']",4,,,
236,"Grand Malt 6x25 cl, Le Pack 150CL",3156140010618,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
237,the famous Taddy Porter - Samuel Smith - 355mL,5010149200808,C,,355 mL,['Samuel Smith'],"['Boissons', 'Boissons alcoolisées', 'Bières']",,,['France'],"['Water', 'Malted Barley', 'Yeast', 'Hops', 'Cane Sugar', 'Carbon Dioxide']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,?,,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,['Gluten'],,,,,,,,['E290 - Dioxyde de carbone'],4,,,
238,Crumble de saison pois cassés - L'Atelier V,3760253460200,,,,"[""L'Atelier V""]",,"['Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,160,,669 kj(160 kcal),,"6,9",,"0,8",,16,,"6,8",,"0,54",,"0,216",,,,,,,,,"0,5",,,,,,,,,,,,,,,,,
239,Perles de propolis - BAJOLET Jean Luc - 100g,3770010560487,,,100 g,['BAJOLET Jean Luc'],,"['Sans colorants', 'Sans conservateurs']",,['France'],"['Sucre', 'Sirop de Glucose', 'Miel  2%', 'Extrait naturel de Propolis 1,2%']",['Non végétalien'],,,,,,,?,,402,,1682 kj(402 kcal),,"0,05",,0,,"98,9",,"0,06",,"0,015",,"0,006",,,,,,,,,81,,['Sachet plastique'],,,,,,,,,,,,4,,,
240,Halloumi - Waitrose,5000169206751,D,,,['Waitrose'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Halloumi']",,,['France'],[],[],26.4 g,en quantité élevée,18.2 g,en quantité élevée,2.8 g,en quantité élevée,?,,328,+4%,1372 kj(328 kcal),+5%,"26,4",+10%,"18,2",+21%,"0,9",-58%,"21,6",-0%,"2,8",+7%,"1,12",+7%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,"0,9",,['mixed plastic-packet'],,,,0.9 g,en faible quantité,-45%,19,+9%,E,+9%,,,,,
241,Wrap the french - Maggi,3101160012821,,,,['Maggi'],,,,['France'],[],[],,,,,,,?,,456,,1908 kj(456 kcal),,21,,7,,45,,"19,91",,"0,5",,"0,2",,,,,,,,,"3,8",,,,,,,,,,,,,,,,,
242,Miel de Luzerne - BAJOLET Jean Luc - 500g,3770010560289,,,500 g,['BAJOLET Jean Luc'],,,,['France'],['Miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,['Pot en Verre'],,,,,,,,,,,,,,,
243,Farfalle 154 - 1000g,8025202001435,,,1000 g,,,['Fabriqué en Italie'],,['France'],[],[],,,,,,,?,,365,,1527 kj(365 kcal),,"1,5",,"0,2",,75,,"11,5",,"0,01",,"0,004",,,,,,,,,3,,,,,,,,,,,,,,,,,
244,Nougat Tendre Traditionnel sans Gluten - BAJOLET Jean Luc - 75g,3770010560364,,,75 g,['BAJOLET Jean Luc'],,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,['France'],"['Sucre', 'sirop de glucose', '25% AMANDES', 'Miel de Lorraine', ""ALBUMINE D'OEUF"", 'pain azyme ', 'fécule de pomme de terra', 'arôme vanille']",['Non végétalien'],,,,,,,?,,405,,1695 kj(405 kcal),,"9,6",,"0,83",,"75,3",,"5,7",,"0,07",,"0,028",,,,,,,,,"52,4",,['Sachet plastique'],,,['Fruits à coque'],,,,,,,,,4,,,
245,Terrine au camembert - Saveur d'Auge,3454740002140,,,,"[""Saveur d'Auge""]",['Terrines'],,,['France'],[],[],31 g,en quantité élevée,11 g,en quantité élevée,1.5 g,en quantité modérée,1607,+37%,384,+28%,1607 kj(384 kcal),+29%,31,+21%,11,+16%,"4,3",+98%,"22,6",+61%,"1,5",-2%,"0,6",-2%,,,,,,,,"0,7",,,,,,0.7 g,en faible quantité,-10%,20,+13%,E,+13%,,,,,
246,Champagne Dorgeval demi-sec,3350031914249,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,6 merguez - Leader Price,3328470210765,,,,['Leader Price'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,['Leader Price'],,,,,,,,,,,,,,,,
248,18000184,18000184,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Pure fine sélection kakao,4006067819643,,,,,,,,['France'],[],[],,,,,,,?,,387,,1619 kj(387 kcal),,"4,4",,"3,6",,72,,11,,"1,3",,"0,52",,,,,,,,,65,,,,,,,,,,,,,,,,,
250,Mousse sabor Chocolate,20419622,,,,,,"['Agriculture durable', 'en:UTZ Certified']",,['France'],[],[],,,,,,,?,,451,,1887 kj(451 kcal),,16,,13,,69,,"6,2",,"0,63",,"0,252",,,,,,,,,53,,,,,,,,,,,,,,,,,
251,Spiced stem ginger cookies. - Tesco,5054402920898,,,,['Tesco'],,,,['France'],[],[],,,,,,,?,,457,,1912 kj(457 kcal),,"19,3",,"8,9",,64,,"5,5",,"0,6",,"0,24",,,,,,,,,"29,1",,,,,,,,,,,,,,,,,
252,Terrine de campagne au piment d'espelet - Jean Brunet,3269617103703,,,,['Jean Brunet'],"['Viandes', 'Charcuteries', 'Terrines', 'Terrines de campagne']","['Sans colorants', 'Sans conservateurs']",,['France'],[],[],29 g,en quantité élevée,12 g,en quantité élevée,1.4 g,en quantité modérée,?,,323,0%,1351 kj(323 kcal),+0%,29,+2%,12,+11%,"0,6",-74%,14,0%,"1,4",-12%,"0,56",-12%,,,,,,,,"0,4",,,,,,0.4 g,en faible quantité,-54%,20,+3%,E,+3%,,,,,
253,Chocolat noir 70% - 70g,3760242651824,,,70 g,,,"['Bio', 'Bio européen', 'FR-BIO-01', 'en:gluten-free']",,['France'],[],[],,,,,,,?,,392,,1640 kj(392 kcal),,"17,2",,"10,37",,"53,8",,"5,6",,"0,98",,"0,392",,,,,,,,,"23,6",,,,,,,,,,,,,,,,,
254,Poulet fermier bio,2211513012796,,,,,,['Bio'],,['France'],[],[],,,,,,,?,,167,,699 kj(167 kcal),,"9,3",,2,,"0,49",,21,,"0,14",,"0,056",,,,,,,,,"0,49",,,,,,,,,,,,,,,,,
255,Mixery,4002631017026,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Datte - El RIAD - 500g,0377000219030,C,Datte conditionné ravies,500g,['El RIAD'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Dattes']",['FSC22000'],['Algérie'],['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,['500gx12'],,,,,,,,,,,,,,,
257,Chili con carne - Korrekt - 800g,4304218726704,E,,800g,['Korrekt'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",,,"['France', 'Allemagne']",[],[],3.9 g,en quantité modérée,1.1 g,en faible quantité,0.75 g,en quantité modérée,?,,88,-25%,368 kj(88 kcal),-26%,"3,9",+15%,"1,1",-2%,"6,9",-43%,"4,8",-29%,"0,75",-6%,"0,3",-6%,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,"1,8",,,,,,1.8 g,en faible quantité,-15%,3,,C,,,,,,
258,Napolitan Cubes Milk 250G - 250g,5310115008682,,,250 g,,,,,['France'],[],[],,,,,,,?,,491,,2054 kj(491 kcal),,"25,27",,"14,35",,"60,16",,"5,37",,"0,082",,"0,033",,,,,,,,,"33,42",,,,,,,,,,,,,,,,,
259,Miel d'acacia - 350g,3335444133203,B,,350 g,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,
260,Biobreak - Noberasco,8005120218573,,,,['Noberasco'],,,,['France'],[],[],,,,,,,?,,492,,2059 kj(492 kcal),,30,,"5,4",,41,,9,,"0,03",,"0,012",,,,,,,,,33,,,,,,,,,,,,,,,,,
261,Pâte à tartiner chocolat noisette - Jardin bio - Jardin Bio - Léa Nature - 750g,13051884,,,750 g,['Jardin Bio - Léa Nature'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner']","['Bio', '1% pour la planète', 'en:palm-oil-free']",,['France'],"['Sucre de canne*', 'huile de tournesol*', 'chocolat* 16,5% ', 'sucre de canne', 'poudre de cacao maigre', 'beurre de cacao', ' purée de noisettes* 10%', 'poudre de lait écrémé*', 'farine de soja', 'émulsifiant: lécithines ', 'soja', ' extrait de vanille bourbon', ""\rProduits issus de l'agriculture biologique""]","['Sans huile de palme', 'Non végétalien']",34.4 g,en quantité élevée,5.6 g,en quantité élevée,0.06 g,en faible quantité,?,,554,+6%,2318 kj(554 kcal),+6%,"34,4",+7%,"5,6",-31%,"53,3",+6%,"6,2",-0%,"0,06",-67%,"0,024",-67%,,,,,,,,"51,6",['Leclerc'],['bocal verre'],['EDNN 421-8'],['EDNN 421-8'],['Soja'],51.6 g,en quantité élevée,+18%,18,-12%,D,-12%,['E322i - Lécithine'],4,http://www.jardinbio.fr,,
262,3250392362898,3250392362898,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Donut chocolat,0265003020336,B,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts', 'Beignets fourrés au chocolat']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,,,,,,
264,Jus de pomme Pressée,3524420000015,,,,,,,,['France'],[],[],,,,,,,?,,48,,201 kj(48 kcal),,"0,2",,0,,"11,5",,"0,1",,"0,02",,"0,008",,,,,,,,,"9,8",,,,,,,,,,,,,,,,,
265,Pain au chocolat pur beurre ×5,0260144017719,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,Tresse au beurre,7613269741268,,,,,,,,['France'],[],[],,,,,,,?,,308,,1289 kj(308 kcal),,"8,6",,"4,8",,47,,"9,6",,"1,3",,"0,52",,,,,,,,,"3,4",,,,,,,,,,,,,,,,,
267,Bananes bio,2250140001513,,,,,,['Bio'],,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,1556400021064,1556400021064,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Vin de graves,3303292405797,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Choux rouge aux pommes,3435649854115,B,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux cabus', 'Chou rouge', 'Choux rouge aux pommes']",,,['France'],[],[],0.1 g,en faible quantité,0.1 g,en faible quantité,0.66 g,en quantité modérée,?,,62,+5%,259 kj(62 kcal),+6%,"0,1",-93%,"0,1",-40%,13,+57%,"1,2",+7%,"0,66",-3%,"0,264",-3%,59.0%,0.0%,0.0%,14.5%,17.3%,9.2%,96,12,,,,,,12 g,en quantité modérée,+69%,-1,,A,,,,,,
271,Sauce soja,3760041270011,B,,,,"['Epicerie', 'Condiments', 'Sauces', 'Sauces au soja']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,21.5%,31.6%,20.1%,15.9%,8.6%,2.3%,97,,,,,,,,,,,,,,,,,,
272,Lyd eric blonde,3664602122019,,,,['Lyd eric blonde'],"['Boissons', 'Boissons alcoolisées']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,0,-100%,0,-100%,,,,,,,,,,,,,,,,,,,,,,,,,
273,Amandes en poudre - Fresh Garden,3760025041477,,,,['Fresh Garden'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Farines', 'Fruits à coques et dérivés', 'Farines de fruits à coques', 'Amandes en poudre']",,,['France'],[],[],54 g,en quantité élevée,4.7 g,en quantité modérée,0.03 g,en faible quantité,?,,605,-3%,2531 kj(605 kcal),-3%,54,+1%,"4,7",+11%,"4,9",-44%,20,-14%,"0,03",+16%,"0,012",+16%,,,,,,,,"3,9",,,,,,3.9 g,en faible quantité,-8%,11,+97%,D,+97%,,,,,
274,Filet mignon - Aldi - 90g,16005525,,,90g,['Aldi'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,green tea,8901052022113,B,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts']",,,['France'],[],[],,,,,,,?,,92,+667%,385 kj(92 kcal),+702%,19,+19268%,11,+30712%,4,+79%,19,+8948%,1,+6749%,"0,4",+6749%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,4,,,,,,,,+231%,27,+543%,E,+543%,,,,,
276,Merguez de boeuf,0203199062914,E,,,,"['Viandes', 'Charcuteries', 'Saucisses', 'Merguez', 'Merguez de bœuf']",,,['France'],[],[],2 g,en faible quantité,0.9 g,en faible quantité,1.8 g,en quantité élevée,?,,107,-59%,448 kj(107 kcal),-59%,2,-91%,"0,9",-90%,"0,1",-95%,22,+56%,"1,8",-4%,"0,72",-4%,92.9%,4.8%,1.4%,0.6%,0.3%,0.1%,4,"0,1",,,,,,0.1 g,en faible quantité,-90%,3,-84%,C,-84%,,,,,
277,Mars,5000159484916,,,,['Mars'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,saucisses de Montbéliard - Thiriet - 250g,0290590870538,D,,250 g,['Thiriet'],"['Viandes', 'Surgelés', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Viandes surgelées', 'Saucisses de Montbéliard']",['IGP'],['France'],['France'],[],[],25 g,en quantité élevée,10 g,en quantité élevée,1.93 g,en quantité élevée,?,,301,-8%,1259 kj(301 kcal),-8%,25,-11%,10,-11%,1,+15%,18,+11%,"1,93",-12%,"0,772",-12%,72.4%,18.3%,4.1%,1.4%,0.8%,3.0%,28,1,['Thiriet'],['sous vide'],['France'],"['FR 70.093.001 CE', 'Breuches (Haute-Saône, France)', 'EMB 70093', 'Breuches (Haute-Saône, France)', 'EMB 20033', 'Bastia (Corse, France)']",,1 g,en faible quantité,+43%,20,-10%,E,-10%,,,,,
279,"Carottes, potiron,riz et touche de ciboulette - Nestlé",7613036737289,,,,['Nestlé'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Mélange sambahia,2600223020014,,,,,,,,['France'],[],[],,,,,,,?,,465,,1946 kj(465 kcal),,18,,"6,6",,"65,9",,8,,"1,3",,"0,52",,,,,,,,,"12,7",,,,,,,,,,,,,,,,,
281,Champignons de Paris à la grecque -,2248792014432,B,,,,"['Plats préparés', 'Légumes préparés', 'Champignons à la grecque']",['Point Vert'],['Mix Buffet - BP 101 - 56382 Guer Cedex'],['France'],"['Champignons de Paris 58%', 'sauce à la grecque 25,7% ', 'eau', 'doucle concentré de tomate 5,6%', 'huile de colza', ""vinaigre d'alcool"", 'sel', 'amidon modifié de pomme de terre', 'épaississant : gomme xanthane', 'infusion ', 'dont céleri', 'oignons 12,4%', 'sucre', 'vin blanc', 'plantes aromatiques', 'poivre blanc', 'acidifiant : acide citrique', 'conservateur : sorbate de potassium', 'épices', 'jus de citron concentré']",[],3.6 g,en quantité modérée,0.3 g,en faible quantité,1.3 g,en quantité modérée,271,,65,-4%,271 kj(65 kcal),-4%,"3,6",-14%,"0,3",-11%,"5,4",+14%,"1,7",-1%,"1,3",+11%,"0,52",+11%,64.9%,4.7%,11.1%,12.1%,5.6%,1.5%,93,"3,9",['U'],,,,['Céleri'],3.9 g,en faible quantité,+29%,0,-100%,B,-100%,"['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,,,
282,Tagliatelles de cervelas,3420629108753,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],,,,,,,?,,303,,1268 kj(303 kcal),,"28,4",,"10,2",,1,,"10,9",,"1,8",,"0,72",,,,,,,,,"0,8",,,,,,,,,,,,,,,,,
283,Maple Syrup - TURKEY HILL SUGARBUSH LTD - 200ml,0065928520016,,,200 ml,['TURKEY HILL SUGARBUSH LTD'],"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",,,['France'],[],[],0 g,en faible quantité,,,0.417 g,en quantité modérée,?,,367,+34%,1530 kj(367 kcal),+34%,0,-100%,,,90,+32%,0,-100%,"0,417",+171%,"0,167",+171%,,,,,,,,80,,,,,,80 g,en quantité élevée,+31%,,,,,,,,,
284,Donuts au sucre,0200863016334,B,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,['France'],[],[],23 g,en quantité élevée,10 g,en quantité élevée,0.74 g,en quantité modérée,?,,419,+2%,1753 kj(419 kcal),+3%,23,+1%,10,-6%,47,+5%,"5,1",-14%,"0,74",-22%,"0,296",-22%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,16,,,,,,16 g,en quantité élevée,-5%,20,+3%,E,+3%,,,,,
285,Lacasitos White chocolate blanco,8410740906098,,,,,,,,['France'],[],[],,,,,,,?,,499,,2088 kj(499 kcal),,22,,13,,70,,"5,8",,"0,3",,"0,12",,,,,,,,,70,,,,,,,,,,,,,,,,,
286,William Saurin,02410197,,,,['William Saurin'],,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Pêches,8424314300113,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Galette de blé noir au sel de guérande - 240g,3305010007443,B,,240 g,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']","['Bio', 'Bio européen']",,['France'],[],[],5.3 g,en quantité modérée,0.67 g,en faible quantité,1.03 g,en quantité modérée,?,,194,+10%,812 kj(194 kcal),+10%,"5,3",+36%,"0,67",-58%,31,+14%,"5,6",-18%,"1,03",-22%,"0,412",-22%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,"0,5",,,,,,0.5 g,en faible quantité,-30%,3,-42%,C,-42%,,,,,
289,Giant Fizzers,5010478789654,,,,,,,,['France'],[],[],,,,,,,?,,392,,1640 kj(392 kcal),,"3,1",,"3,1",,"87,6",,"0,1",,"2,1",,"0,84",,,,,,,,,"85,5",,,,,,,,,,,,,,,,,
290,Herz Mandelchübeli,7616700142099,,,,,,,,['France'],[],[],,,,,,,?,,425,,1778 kj(425 kcal),,18,,"5,7",,59,,"5,8",,"0,15",,"0,06",,,,,,,,,43,,,,,,,,,,,,,,,,,
291,Escalope de veau milanaise,0204962022326,D,,,,"['Viandes', 'Volailles', 'Volailles cuites', 'Dindes', 'Escalopes de dinde', 'Escalopes de dinde à la milanaise', 'Escalopes', 'Escalopes pânées']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,78.1%,11.6%,2.2%,2.7%,1.1%,4.2%,37,,,,,,,,,,,,,,,,,,
292,Tomates Cerises Solarenn,3700007900507,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,Madeleines chocolat,3276556269889,D,,,,"['Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Madeleines', 'Madeleines au chocolat']",,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,82.9%,10.9%,2.4%,2.5%,1.3%,0.0%,39,,,,,,,,,,,,,,,,,,
