,name,bar_code,eco_score,generic_name,quantity,brand,categories,labels,manufacturing,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_sugars_tr,markets,packaging,ingredients_origins,traceability_code,allergens,sugar_quantity,sugar_comment,nutriment_sugars_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,link,palm_ingredients,brand_owner
1073,Points de Chaga,3770000298239,,,,,,"['Végétarien', 'en:gluten-free', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,Pommes ARIANE les Naturianes,3430060410407,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,3031520216036,3031520216036,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Amandes décortiquées sans sel - 250g,3700359220544,E,,250 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Amandes', 'Amandes décortiquées']",,,['France'],[],[],55.8 g,en quantité élevée,3.7 g,en quantité modérée,0.01 g,en faible quantité,?,,659,+5%,2757 kj(659 kcal),+5%,"55,8",+8%,"3,7",-8%,14,+7%,"21,7",-3%,"0,01",-57%,"0,004",-57%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,"3,8",,,,,,3.8 g,en faible quantité,-3%,1,,B,,,,,,
1077,Choritos,3039050633019,,,,,,"['Viande-francaise', 'Viande-porcine-francaise']",,['France'],[],[],,,,,,,?,,230,,962 kj(230 kcal),,18,,"6,6",,2,,15,,"1,7",,"0,68",,,,,,,,,"0,4",,,,,,,,,,,,,,,,,
1078,19266220,19266220,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Petit poids extra-fins et jeunes carottes,3760080430377,,,,,,,,['France'],[],[],,,,,,,?,,63,,264 kj(63 kcal),,"0,6",,"0,2",,"8,8",,"3,4",,"0,57",,"0,228",,,,,,,,,"3,7",,,,,,,,,,,,,,,,,
1080,Ketchupade douce,3584381702281,,,,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,['France'],[],[],,,,,,,?,,40,,167 kj(40 kcal),,"0,5",,0,,"5,9",,"1,2",,"0,84",,"0,336",,,,,,,,,"5,9",,,,,,,,,,,,,,,,,
1081,Good pasta - Unox,8714100668269,,,,['Unox'],,,,['France'],[],[],,,,,,,?,,90,,377 kj(90 kcal),,1,,"0,3",,17,,3,,"0,83",,"0,332",,,,,,,,,"4,4",,,,,,,,,,,,,,,,,
1082,Torsadé chocolat Super U,,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Saumon atlantique - Leroy,3760119210987,,,,['Leroy'],,,,['France'],[],[],,,,,,,?,,192,,803 kj(192 kcal),,12,,"2,1",,"1,3",,19,,"0,68",,"0,272",,,,,,,,,0,,,,,,,,,,,,,,,,,
1084,Billes de chèvre cœur de saumon & aneth,3760228211325,,,,,,,,['France'],[],[],,,,,,,?,,340,,1423 kj(340 kcal),,"28,7",,"13,3",,"3,5",,17,,1,,"0,4",,,,,,,,,"1,7",,,,,,,,,,,,,,,,,
1085,Paprika Chips,7616800842417,,,,,,,,['France'],[],[],,,,,,,?,,429,,1795 kj(429 kcal),,22,,"1,2",,51,,"4,9",,"1,7",,"0,68",,,,,,,,,"4,4",,,,,,,,,,,,,,,,,
1086,Lait d'avoine avec du calcium - Natursoy,8428159105919,,,,['Natursoy'],,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'ES-ECO-019-CT']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,48,,201 kj(48 kcal),,"0,8",,"0,3",,"8,5",,"1,2",,"0,06",,"0,024",,,,,,,,,"5,1",,,,,,,,,,,,,,,,,
1087,5 fruits & légumes sweety fraise ! - Léa Nature,3289196900067,,,,['Léa Nature'],,,,['France'],[],[],,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,"9,4",,0,,0,,0,,,,,,,,,"9,2",,,,,,,,,,,,,,,,,
1088,Saumon pané,2270104798709,,,,,,,,['France'],[],[],,,,,,,?,,268,,1121 kj(268 kcal),,16,,"2,2",,14,,16,,"0,48",,"0,192",,,,,,,,,"1,2",,,,,,,,,,,,,,,,,
1089,Pour jus d'orange - Solevita,66956396,,,,['Solevita'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],[],,,,,,,?,,40,,167 kj(40 kcal),,"0,5",,"0,1",,"9,4",,"0,7",,"0,01",,"0,004",,,,,,,,,"8,7",,,,,,,,,,,,,,,,,
1090,Bte 4 / 4 Haricot Blanc Tomate Grand Jury,3245390132192,,,,['Grand Jury'],,,,['France'],[],[],,,,,,,?,,81,,339 kj(81 kcal),,"0,5",,0,,12,,"4,8",,1,,"0,4",,,,,,,,,1,['Carrefour'],,,,,,,,,,,,,,,,
1091,"Panforte, Tradizionale",8001667001302,,,,,,,,['France'],[],[],,,,,,,?,,392,,1640 kj(392 kcal),,"12,4",,"1,1",,"64,4",,"5,7",,"0,01",,"0,004",,,,,,,,,"49,8",,,,,,,,,,,,,,,,,
1092,Mövenpick Espresso Intenso - Kaffeekapseln,7640126171159,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Ketch'up Bio,3361779996619,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,['France'],[],"['Végétalien', 'Végétarien']",,,,,,,?,,112,,469 kj(112 kcal),,"0,01",,"0,01",,26,,"1,2",,"1,7",,"0,68",,,,,,,,,24,,,,,,,,,,,,,,,,,
1094,La Tavelle,3760173390021,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,"['FR 03.043.001 CE', 'Broût-Vernet (Allier, France)']",,,,,,,,,,,,,
1095,Cookies  - vente déclassé - La Mère Poulard,3472860013013,,,,['La Mère Poulard'],,,,['France'],[],[],,,,,,,?,,490,,2050 kj(490 kcal),,"23,1",,"15,7",,"65,1",,"7,5",,"0,56",,"0,224",,,,,,,,,"40,8",,,,,,,,,,,,,,,,,
1096,jambon traditionnel fumé au bois de hêtre - saint albi - 211g,7261871012421,E,,211 g,['saint albi'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', 'Jambons blancs fumés']",,,['France'],['DECLARATION NUTRITONNELLE annelles meyennes pour 100g 618 /'],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,,,,,,,,,,,,,,3,,,
1097,Galette de maïs sans gluten saveur caramel - Gerblé,06438536,B,,,['Gerblé'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de maïs soufflé']",['en:gluten-free'],,['France'],[],[],22 g,en quantité élevée,14 g,en quantité élevée,0.16 g,en faible quantité,?,,495,+25%,2071 kj(495 kcal),+25%,22,+443%,14,+1646%,67,-16%,"6,3",-18%,"0,16",-63%,"0,064",-63%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,34,,,,,,34 g,en quantité élevée,+1865%,23,+1444%,E,+1444%,,,,,
1098,Concombre long lisse,3760074472338,,,,,,,,['France'],[],[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,falafels pois chiche et coriandre - 90g,11022731,B,,90 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', ""Plats préparés d'origine végétale"", 'Falafels']",,,['France'],"['pos chche 31,6% ', 'pos chiche', 'eau', 'sel', 'ogren ehydrate creme 7,9% areme stabilisant:caraghénanes', ' fanne de blie eau huile de toumesol protéine de ble ceuf entier en poudre', ""purée d'ail"", 'sel', 'amidon de ble persil', 'conandre 0,7% poudeà leven dsphophates', 'carbonates de sodium', 'cumin 0,6% urtuma poiute blanc Taceposble de moutarde']",[],,,,,,,?,,?,,,,?,,,,?,,?,,,,,,44.2%,22.1%,10.5%,13.1%,5.9%,4.2%,94,,,,,,,,,,,,,,,,,,
