,name,bar_code,quantity,packaging,brand,categories,labels,ingredients_origins,manufacturing,traceability_code,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,additives,nova_score,allergens,generic_name,palm_ingredients,link,producer_info,origin_detail
350,Mini Moelleux au Caramel - Picard,3270160820337,,,['Picard'],,,,,,['Picard'],['France'],[],[],?,,464,,"31,7",,"38,1",,"5,7",,,,,,,,,,,,,,,,,,1941 kj(464 kcal),,"18,9",,"26,6",,"0,2",,"0,08",,,,,,,,,,,,,
351,Mini macarons - Picard - 120g e,3270160820566,120 g e,"['Carton', 'Plastique', 'surgelé']",['Picard'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Macarons', 'Gâteaux et pâtisseries surgelés']",['Fabriqué en France'],,['France'],,['Picard'],['France'],"['Sucre glace', 'amande en poudre 15,5 %', ""blanc d'œuf liquide pasteurisé 15,2 %"", ""préparation d'orange semi-confite [sucre"", ""pulpe d'orange 2,4 %"", ""jus d'orange concentré 1,1 %"", ""zeste d'orange 0,8 %"", 'gélifiant : pectines', ""correcteur d'acidité : acide citrique"", 'antioxydant : acide ascorbique]', 'caramel au beurre et sel de Guérande 6 % [sirop de glucose-fructose de blé', 'confiture de lait ', 'lait entier', 'sucre', 'lait écrémé en poudre', 'beurre ', 'lait', ' 1 %', 'sucre', 'eau', 'lait entier en poudre', 'sel de Guérande 0,02 %', 'jus de citron]', 'lait demi-écrémé', 'chocolat au lait 3,3 % ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'extrait de vanille', 'sucre', 'lait de noix de coco 2,4 % ', 'extrait de noix de coco', 'eau', 'pâte de noisette 2,3 %', 'crème ', 'lait', ' liquide ', 'crème ', 'lait', 'stabilisant : carraghénanes', 'noisette en poudre 1,2%', 'sirop de glucose de blé', 'chocolat noir 0,5% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiant : lécithine de soja ', 'extrait de vanille', 'cacao maigre en poudre', ""blanc d'œuf en poudre 0,3 %"", 'gélifiant : pectines', ""eau de fleur d'oranger 0,3% "", 'fécule de manioc', 'amidon transformé de manioc', 'sirop de glucose de blé en poudre', 'colorant : extrait de paprika', 'arôme naturel de noix de coco avec autres arômes naturels 0,01 %']",['Non végétalien'],?,,421,+26%,18,+5%,55,+42%,"8,7",+72%,D,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,18 g,en quantité modérée,4.3 g,en quantité modérée,45 g,en quantité élevée,0.1 g,en faible quantité,1761 kj(421 kcal),+25%,"4,3",-53%,45,+77%,"0,1",-63%,"0,04",-63%,14,-11%,D,-11%,"['E440 - Pectines', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E322i - Lécithine', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E14XX - Amidons modifiés', 'E160c - Extrait de paprika']",4,"['Œufs', 'Lait', 'Fruits à coque', 'Soja']",,,https://www.picard.fr/produits/20-mini-macarons-000000000000082056.html,,
352,2 Élans glacés Chocolat-Vanille - Picard - 125g,3270160820689,125 g,"['surgelé', 'Carton', 'boîte']",['Picard'],"['Desserts', 'Surgelés', 'Aliments et boissons de Noël', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au chocolat', 'Glaces à la vanille']",,,,,['Picard'],"['France', 'Suisse']","['Lait entier', 'sucre liquide', 'crème fraîche liquide ', 'lait', 'eau', 'chocolat au lait 7,2 % ', 'sucre', 'beurre de cacao', '_lait_entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'lait écrémé en poudre réhydraté', 'chocolat noir 4,7 % ', 'pâte de cacao', 'sucre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'jaune d’œuf sucré liquide pasteurisé', 'sirop de sucre inverti', 'lactose ', 'lait', ' et protéines de lait', 'cacao maigre en poudre', 'lait écrémé en poudre', 'beurre de cacao', 'huile de tournesol', ""émulsifiant : mono- et diglycérides d'acides gras d'origine végétale"", 'épaississants ', 'gomme guar', 'farine de graines de caroube', 'extrait de vanille 0,05 %']",['Non végétalien'],?,,219,-5%,12,+1%,23,-14%,"4,4",+20%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,12 g,en quantité modérée,7.4 g,en quantité élevée,19 g,en quantité élevée,0.13 g,en faible quantité,916 kj(219 kcal),-6%,"7,4",-4%,19,-16%,"0,13",-6%,"0,052",-6%,10,-23%,C,-23%,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E412 - Gomme de guar', 'E410 - Gomme de caroube']",4,"['Œufs', 'Lait', 'Soja']",,,http://www.picard-surgeles.ch/product-page?ProductId=d29545c5-d069-4bda-a14b-41fc607cbd27&WebFamilyId=f84c6369-c8bb-4333-9127-44fd20117bb8,,
353,2 Entremets au Caramel - Picard - 170g,3270160820764,170 g,"['Carton', 'surgelé', 'Plastique']",['Picard'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux et pâtisseries surgelés']",['Fabriqué en France'],,['France'],,['Picard'],['France'],"['Crème liquide [crème ', 'lait', 'stabilisant : carraghénanes]', 'caramel au beurre salé 14,1 % [sirop de glucose de blé', 'sucre', 'beurre ', 'lait', 'eau', 'crème ', 'lait', 'sel de Guérande]', 'chocolat au lait 10,9 % ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'sucre', ""blanc d'œuf liquide pasteurisé"", 'huile de colza', 'nougatine en poudre 3,8 % ', 'sucre', 'amande en poudre 1,1%', 'beurre ', 'lait', 'beurre de cacao', 'caramel aromatique au beurre salé 2,8 % ', 'sucre', 'sirop de glucose de blé ou maïs', 'eau', 'lait concentré sucré', 'beurre ', 'lait', 'beurre salé ', 'lait', 'sel de Guérande', 'émulsifiant : lécithine de tournesol]', 'amande en poudre 2 %', 'brisures de crêpe dentelle [farine de blé ', 'gluten', 'sucre', 'huile de tournesol', 'lait écrémé en poudre', ""farine de malt d'orge "", 'gluten', 'sel]', 'noisette hachée caramélisée 1,5 % ', 'noisette', 'sucre', 'sirop de glucose de blé', 'miel]', 'copeaux de chocolat au lait ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'lactosérum en poudre ', 'lait', 'lactose ', 'lait', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'farine de blé ', 'gluten', 'eau', 'arôme naturel de vanille 0,4 %', 'gélifiant : pectines', 'graines de vanille Bourbon 0,04 %']",['Non végétalien'],?,,443,+32%,30,+74%,41,+6%,"3,6",-29%,,,,,,,,,30 g,en quantité élevée,15 g,en quantité élevée,31 g,en quantité élevée,0.27 g,en faible quantité,1854 kj(443 kcal),+31%,15,+64%,31,+22%,"0,27",-1%,"0,108",-1%,21,+34%,E,+34%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E440 - Pectines']",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","Pâtisseries surgelées composées d'une mousse à base de chantilly à la vanille (33,3%), de crémeux au caramel (33,3%), d'un croustillant chocolat- nougatine (20,3%), d'un biscuit aux amandes (10,6%), décorées de noisettes caramélisées (1,5%) et copeaux de chocolat au lait (1%).",,https://www.picard.fr/produits/2-entremets-au-caramel-000000000000082076.html,,
354,Pâte à Cookies aux Éclats de Noix de Pécan et Caramel - Picard - 300g (6 * 50g),3270160820993,300 g (6 * 50 g),"['Sachet', 'Plastique', 'surgelé']",['Picard'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Aides culinaires', 'Biscuits', 'Aides à la pâtisserie', 'Pâtisseries', 'Préparations pour pâtisseries']",['Edition limitée'],,,,['Picard'],['France'],[],[],?,,430,+30%,19,+438%,58,-8%,"6,2",+43%,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,19 g,en quantité modérée,6.1 g,en quantité élevée,31 g,en quantité élevée,0.9 g,en quantité modérée,1799 kj(430 kcal),+31%,"6,1",+324%,31,-4%,"0,9",+148%,"0,36",+148%,19,+116%,E,+116%,,,,Pâte à Cookies aux Éclats de Noix de Pécan et Caramel,,,,
355,"Bûche glacée fruits rouges, pêche de vigne - Picard - 800ml, 535g",3270160821242,"800 ml, 535 g","['Carton', 'surgelé']",['Picard'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,,,,['Picard'],['France'],"['Purée de pêche de vigne sucrée 22,1 % ', 'pêche de vigne', 'sucre', 'anti oxydant : acide ascorbique', 'purée de framboise 15,6%', 'eau', 'sucre', 'puree de fraise sucrée 9% ', 'fraise', 'sucre', 'purée de griotte 9%', 'purée de groseille sucrée 7,8% ', 'groseille', 'sucre', 'sirop de glucose de blé en poudre', 'sirop de sucre inverti', 'chocolat blanc ', 'sucre', 'lait entier en poudre', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', ""blanc d'œuf liquide pasteurisé [blanc d'œuf"", 'stabilisants ', 'gomme guar', 'gomme xanthane', ']', 'beurre de cacao', 'huile de tournesol', 'jus et pulpe de citron', 'concentrés de fruits et légume ', 'radis', 'cassis', 'pomme', 'gélifiant : pectines', 'épaississants ', 'farine de graines de caroube', 'gomme quar']",['Non végétalien'],649,-18%,?,,"3,2",-61%,30,+5%,1,-57%,D,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,3.2 g,en quantité modérée,1.7 g,en quantité modérée,28 g,en quantité élevée,0.01 g,en faible quantité,649 kj(155 kcal),-22%,"1,7",-69%,28,+13%,"< 0,01",-92%,"0,004",-92%,7,-38%,C,-38%,"['E300 - Acide ascorbique', 'E322i - Lécithine', 'E412 - Gomme de guar', 'E415 - Gomme xanthane', 'E440 - Pectines', 'E410 - Gomme de caroube']",4,['Œufs'],,,,,
356,Chocolat noir nougat Crème glacée au chocolat noir Crème glacée au nougat noisettes caramélisées - Picard - 150g (270ml) (2bûchettes glacées),3270160821280,150 g (270 ml) (2 bûchettes glacées),"['Surgelé', 'Etui', 'Carton', 'Socle', 'Cloche', 'Plastique']",['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés']",['Point Vert'],,['France'],"['EMB 29181', 'Plouédern (Finistère, France)']",['Picard'],['France'],"['Eau', 'lait écrémé réhydraté', 'crème liquide ', 'lait', 'sucre', 'sirop de glucose de blé', 'lait écrémé concentré', 'crème de nougat 3,6 % ', 'amande grillée', 'sucre', 'miel', ""blanc d'œuf en poudre"", 'cacao maigre en poudre', 'chocolat noir 3,1 % ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'lactosérum ', 'lait', ' en poudre', 'morceau de noisette caramélisée ', 'noisette hachée grillée 0,9 %', 'sucre', 'émulsifiants ', ""mono - et diglycérides d'acide gras d'origine végétale"", ""esters lactiques des mono - et diglycérides d'acides gras d'origine végétale"", 'gélifiant : gomme tara', 'arôme naturel']",['Non végétalien'],786,-12%,?,,"9,6",+13%,20,-29%,"3,7",+52%,,,,,,,,,9.6 g,en quantité modérée,5.6 g,en quantité élevée,16 g,en quantité élevée,0.13 g,en faible quantité,786 kj(188 kcal),-7%,"5,6",+2%,16,-32%,"0,13",+8%,"0,052",+8%,5,-56%,C,-56%,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472b - Ester diacétyl-lactique de mono- et diglycérides d'acides gras"", 'E417 - Gomme tara']",4,"['Œufs', 'Lait', 'Fruits à coque', 'Soja']","Dessert glacé composé de crème glacée au chocolat noir 62%, de crème glacée au nougat 36,7% et d'un décor de noisettes caramélisées 1,3%, surgelé",,,,
357,Buchettes Glacées Citron - Fruits Rouges - Picard - 270ml / 150g,3270160821297,270 ml / 150 g,"['surgelé', 'Carton', 'boîte']",['Picard'],"['Desserts', 'Surgelés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Desserts glacés', 'Gâteaux', 'Bûches de Noël', 'Bûches glacées']",,,['France'],"['EMB 29181', 'Plouédern (Finistère, France)']",['Picard'],['France'],"['Eau', 'sucre', 'jus de citron à base de concentré 14,8 %', 'sirop de glucose de blé', 'jus de mûre à base de concentré 9,6 %', 'purée de framboise 5,1 %', 'purée de fraise 4 %', 'pépite de sucre saveur fraise ', 'sucre', 'beurre de cacao', 'sirop de glucose de blé', 'arôme naturel de fraise et autres arômes naturels', 'jus concentré de sureau', ""correcteur d'acidité : acide citrique"", 'purée de cassis 1,2 %', 'gélifiants ', 'pectines', 'gomme Tara', 'gomme xanthane', 'arôme naturel de citron 0,1 %', 'protéine de pois hydrolysée', 'arôme naturel de framboise 0,06 %']",[],?,,118,-41%,"0,5",-94%,30,+5%,"0,5",-78%,D,79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,0.5 g,en faible quantité,0.5 g,en faible quantité,21 g,en quantité élevée,0.05 g,en faible quantité,494 kj(118 kcal),-40%,"0,5",-91%,21,-15%,"0,05",-60%,"0,02",-60%,5,-56%,C,-56%,"['E330 - Acide citrique', 'E440 - Pectines', 'E417 - Gomme tara', 'E415 - Gomme xanthane']",4,,,,http://www.picard.fr/produits/2-buchettes-citron---fruits-rouges-000000000000082129.html,,
358,Picard invite Michalak - La Magik Car - 600g,3270160821419,600 g,"['Carton', 'Plastique', 'surgelé']",['Picard'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux et pâtisseries surgelés']",,,,,['Picard'],['France'],[],[],?,,429,+28%,33,+92%,28,-28%,"5,5",+9%,,,,,,,,,33 g,en quantité élevée,19 g,en quantité élevée,26 g,en quantité élevée,0.26 g,en faible quantité,1795 kj(429 kcal),+27%,19,+107%,26,+2%,"0,26",-5%,"0,104",-5%,20,+27%,E,+27%,,,,"Dessert pâtissier surgelé composé d'une mousse au chocolat blanc caramélisé (58,2%), un crémeux au chocolat blanc au caramel, au caramel et au fruit de la passion (20,6%), d'un biscuit aux amandes (11%), d'un croustillant praliné-noix de coco-fruit de la passion — chocolat noir (6,4%) et d'un décor (3,8%). Picard invite Michalak - La Magik Car",,,,
359,9 mini-coupes pâtissières - Picard - 310g,3270160822508,310 g,"['Carton', 'boîte', 'Plastique', 'surgelé']",['Picard'],"['Snacks', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Gâteaux et pâtisseries surgelés']","['Point Vert', 'Fabriqué en France']",,['France'],,['Picard'],['France'],"['Crème liquide [crème ', 'lait', 'stabilisant : carraghénanes]', 'sucre', 'farine de blé ', 'gluten', ""jaune d'œuf liquide pasteurisé"", 'brisures de framboise 4,9 %', 'chocolat au lait 4,1 % ', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'pâte de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'mangue semiconfite ', 'cubes de mangue 3,5 %', 'sirop de glucose-fructose de blé', 'sucre', ""correcteur d'acidité : acide citrique"", 'amande en poudre 3,9%', 'crème de caramel au beurre salé 3,6 % [sucre', 'crème fraîche ', 'lait', 'beurre ', 'lait', 'sirop de glucose de blé et/ ou maïs', 'sel de Guérande]', 'chocolat noir 3,3 % ', 'pâte de cacao', 'sucre', 'cacao maigre en poudre', 'dextrose de maïs', 'beurre de cacao', 'émulsifiant : lécithine de soja', 'arôme naturel de vanille', 'purée de framboise sucrée ', 'framboise 2,2%', 'sucre', 'eau', 'mascarpone 2,1% ', 'crème de lait', ""correcteur d'acidité : acide citrique"", 'purée de fruit de la passion 2,1%', 'sucre roux', 'framboise 1,9 %', 'lait demi-écrémé', 'beurre ', 'lait', 'purée de mangue ', 'mangue 1,2%', 'sucre', ""blanc d'œuf liquide pasteurisé "", ""blanc d'œuf"", 'épaississant : gomme xanthane', 'œuf entier liquide pasteurisé', 'cacao en poudre', 'pâte de caramel 0,7 % ', 'sucre', 'sirop de glucose de blé', 'noix de coco râpée 0,3 %', 'lait entier en poudre', 'amande hachée', 'noix de pécan caramélisée 0,2 % ', 'noix de pécan', 'sucre', 'sucre glace', 'sirop de sucre caramélisé', ""agent d'enrobage : gomme arabique"", 'fécule de pomme de terre', 'bille de céréale enrobée de chocolat 0,2 % [chocolat de couverture ', 'sucre', 'pâte de cacao', 'matière grasse laitière anhydre ', 'lait', 'beurre de cacao', 'arôme naturel de vanille', 'céréales ', 'farine de blé ', 'gluten', 'sucre', 'farine de malt de blé ', 'gluten', 'amidon de blé ', 'gluten', 'poudre à lever : carbonates de sodium', 'sel', 'beurre de cacao', 'arôme naturel', 'sucre', 'sirop de glucose de maïs', 'amidon transformé de pomme de terre]', 'gélifiant : pectines', 'nappage ', 'gélifiant : pectines', 'émulsifiant : diphosphates', 'stabilisant : phosphates de calcium', 'beurre de cacao', 'sel', 'poudres à lever ', 'diphosphates', 'carbonates de sodium', 'gousse de vanille épuisée en poudre 0,003 %', 'épaississant : gomme xanthane', 'amidon de blé ', 'gluten']",['Non végétalien'],?,,359,+7%,26,+51%,26,-33%,"4,8",-5%,,,,,,,,,26 g,en quantité élevée,15 g,en quantité élevée,20 g,en quantité élevée,0.2 g,en faible quantité,1502 kj(359 kcal),+7%,15,+64%,20,-21%,"0,2",-27%,"0,08",-27%,17,+8%,D,+8%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E330 - Acide citrique', 'E415 - Gomme xanthane', ""E414 - Gomme d'acacia"", 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés', 'E440 - Pectines', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",4,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,https://www.picard.fr/produits/9-mini-coupes-patissieres-000000000000082250.html,,
360,2 Cœurs Chocolat - Picard - 150g,3270160828548,150 g,"['Surgelé', 'Boîte', 'Carton', 'Socle', 'Cloche', 'Plastique']",['Picard'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Surgelés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat', 'Gâteaux et pâtisseries surgelés']","['Point Vert', 'Fabriqué en France', 'Eco-Emballages']",,"[""La Charlotte (SNLC) - Boulevard de l'Europe - Parc d'Activités de Landacres - 62360 Hesdin-l'Abbé"", 'Pas-de-Calais', 'Nord-Pas-de-Calais', 'France']","['FR 62.448.034 CE', ""Hesdin-l'Abbé (Pas-de-Calais, France)""]","['Banque alimentaire', 'Picard']",['France'],"['Crème liquide [crème ', 'lait', 'stabilisant : carraghénanes]', 'chocolat noir 19,1% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'émulsifiants : lécithine de soja et de tournesol', 'cacao maigre en poudre', 'arôme naturel de vanille', 'sucre liquide', 'sucre', 'sucre glace', 'sucre', 'anti-mottant : fécule de pomme de terre', 'éclats de nougatine enrobés 6,5%[nougatine 6,1% ', 'sucre', 'amande', 'sirop de glucose de blé', 'beurre de cacao]', 'amande en poudre 5,6 %', 'blanc d’œuf liquide pasteurisé', 'jaune d’œuf liquide pasteurisé', 'lait entier', 'cacao en poudre et cacao en poudre dégraissé', 'crème fraîche ', 'lait', 'sirop de glucose de blé en poudre', 'sirop de sucre inverti', 'chocolat en poudre 0,5 % ', 'sucre', 'cacao en poudre', ""blanc d'oeuf en poudre"", 'eau', 'huile de tournesol', 'gélifiant : pectine amidée']",['Non végétalien'],1773,+23%,426,+27%,"26,5",+54%,"36,9",-5%,"7,1",+41%,D,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,26.5 g,en quantité élevée,15 g,en quantité élevée,33.6 g,en quantité élevée,0.0899 g,en faible quantité,1773 kj(426 kcal),+26%,15,+64%,"33,6",+32%,"0,09",-67%,"0,036",-67%,17,+8%,D,+8%,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E322i - Lécithine', 'E440ii - Pectine amidée']",4,"['Œufs', 'Lait', 'Fruits à coque', 'Soja']","Gâteau composé de mousse au chocolat noir (45,2 %), d'un macaron (27,7 %), de sauce au chocolat (12,9 %), d'un décor de chocolat noir (7,7 %) et d'éclats de nougatine enrobés (6,5 %) surgelé. 2 Cœurs Chocolat",,http://www.picard.fr/,,
361,Pyramide de sorbet - Picard,3270160828883,,,['Picard'],,,,,,['Picard'],['France'],[],[],?,,108,,"0,1",,"25,7",,"0,4",,,,,,,,,,,,,,,,,,452 kj(108 kcal),,0,,"22,6",,"0,02",,"0,008",,,,,,,,,,,,,
362,"Panini 3 fromages, tomate, basilic - Picard - 200g",3270160837885,200 g,"['Carton', 'surgelé']",['Picard'],"['Surgelés', 'Sandwichs', 'Paninis']",['Végétarien'],,,,['Picard'],['France'],[],['Végétarien'],?,,262,+3%,"8,5",-5%,33,+17%,12,+4%,,,,,,,,,8.5 g,en quantité modérée,5.2 g,en quantité élevée,2.5 g,en faible quantité,1.19 g,en quantité modérée,1096 kj(262 kcal),+3%,"5,2",+19%,"2,5",+2%,"1,19",-6%,"0,476",-6%,9,+4%,C,+4%,,,,,,,,
363,"Pizza Capricciosa (Jambon, Mozzarella), Surgelée - Picard - 600g",3270160838455,600 g,"['Surgelé', 'Film plastique à jeter', 'Etui carton à recycler']",['Picard'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées']","['Fabriqué en Italie', 'Info-Tri Point Vert', 'Produit élaboré en Italie', 'Pâte fine']","['France', 'Allemagne', 'Royaume-Uni', 'Mozzarella']","['Paren Srl - Via Giacomo Matteotti 65 - 43015 Noceto', '(PR : Parme)', 'Émilie-Romagne', 'Italie']",['IT 892 L CE'],['Picard'],['France'],"['Farine de blé ', 'gluten', 'mozzarella 20 % ', 'Allemagne', 'France', 'Royaume-Uni ', ' contient lait', 'purée de tomate', 'pulpe de tomate', 'jambon cuit supérieur 8 % ', 'viande de porc', 'sel', 'sirop de glucose de blé', 'dextrose de blé', 'arômes naturels', 'conservateurs : nitrite de sodium', 'ascorbate de sodium', 'eau', 'oignon', ""huile d'olive vierge extra"", 'levure', 'basilic', 'sel', 'origan']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",891,-6%,212,-5%,"7,2",-13%,"24,2",-9%,"11,3",+17%,,,,,,,,,7.2 g,en quantité modérée,2.9 g,en quantité modérée,2.9 g,en faible quantité,0.75 g,en quantité modérée,891 kj(212 kcal),-5%,"2,9",-19%,"2,9",-15%,"0,75",-35%,"0,3",-35%,0,-100%,B,-100%,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",4,"['Gluten', 'Lait']",Pizza surgelée,,"http://www.picard.fr/produits/pizza-capricciosa-jambon-mozzarella/000000000000083845,default,pd.html",,
364,Glace Spéculos - Picard - 350g,3270160840434,350 g,"['Bac', 'Plastique', 'surgelé']",['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces au spéculoos']",['Fabriqué en France'],,['France'],,['Picard'],['France'],"['Lait entier 47,4 %', 'brisure de spéculos 26,9 % [farine de blé ', 'gluten', 'sucre', 'huile de colza', 'beurre concentré ', 'lait', 'sirop de sucre', 'sirop de glucose-fructose de betterave', 'poudre à lever : carbonates de sodium', 'sel', 'cannelle]', 'sucre', ""jaune d'œuf liquide pasteurisé"", 'beurre demi-sel ', 'lait', 'sirop de glucose de blé en poudre', 'gélifiant : pectines', 'sel']",['Non végétalien'],?,,240,+9%,"10,8",-1%,"26,3",+0%,"4,4",+32%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,10.8 g,en quantité modérée,4.5 g,en quantité modérée,22.7 g,en quantité élevée,0.4 g,en quantité modérée,1004 kj(240 kcal),+9%,"4,5",-34%,"22,7",+1%,"0,4",+165%,"0,16",+165%,12,-5%,D,-5%,"['E500 - Carbonates de sodium', 'E440 - Pectines']",4,"['Œufs', 'Gluten', 'Lait']",Glace Spéculos,,http://www.picard.fr/produits/speculos-000000000000084043.html?cgid=glaces-sorbets,,
365,Glace au Yaourt - Picard - 500ml / 350g,3270160840441,500 ml / 350 g,"['Carton', 'surgelé', 'Plastique']",['Picard'],"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Yaourts glacés']",['Fabriqué en France'],['France'],['France'],,['Picard'],['France'],"['Yaourt 56,6 % [France ', ' ', 'lait entier', 'poudre de lait', 'ferments lactiques ', 'lait', ']', 'lait entier', 'sucre', 'crème fraiche ', 'lait', ' 9,1 %', 'sirop de glucose de blé en poudre', 'lait écrémé en poudre', 'protéine de pois hydrolysée', 'gélifiant : pectines', 'épaississants : farine de graines de caroube et gomme guar']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,,148,-13%,"5,3",-13%,21,-15%,"4,1",+20%,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,5.3 g,en quantité modérée,3.7 g,en quantité modérée,15 g,en quantité élevée,0.16 g,en faible quantité,619 kj(148 kcal),-12%,"3,7",-7%,15,-27%,"0,16",+27%,"0,064",+27%,4,-49%,C,-49%,"['E440 - Pectines', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",4,['Lait'],,,https://www.picard.fr/produits/yaourt-000000000000084044.html,,
