,name,bar_code,brand,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,eco_score,generic_name,categories,manufacturing,markets,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,link,palm_ingredients,ingredients_origins,traceability_code,brand_owner,origin_detail
423,Graines de tournesol grillees,7290016883657,,,['France'],[],[],?,567,2372 kj(567 kcal),45,5,"14,5","3,9",26,"1,1","0,44",,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Graines', 'Graines de tournesol et dérivés', 'Graines de tournesol']",,,,,,45 g,en quantité élevée,5 g,en quantité modérée,3.9 g,en faible quantité,1.1 g,en quantité modérée,,-1%,-1%,-2%,+1%,+9%,+62%,+18%,-39%,-39%,15,+13%,D,+13%,78.2%,0.0%,8.3%,4.3%,5.7%,3.5%,55,,,,,,
424,Smoked Turkey Pastrami,7291000367733,,,['France'],[],[],?,108,452 kj(108 kcal),4,"1,2",3,0,15,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Crunchy Naturell - Eldorado - 750g,7340083429743,['Eldorado'],,"['France', 'Suède']","['Havregryn 66%', 'socker', 'palmolja', 'riven kokos', 'glukosfruktossirap', 'honung', 'salt', 'melass', 'naturlig arom']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",1879,448,1879 kj(448 kcal),15,"7,1",64,22,10,"0,4","0,16",750 g,"['Plast', 'Plastic']",B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Mueslis', 'Flocons de céréales']",,['Hemköp'],,['Gluten'],4,15 g,en quantité modérée,7.1 g,en quantité élevée,22 g,en quantité élevée,0.4 g,en quantité modérée,+6%,+8%,+8%,+15%,+114%,+6%,+30%,+2%,+130%,+130%,12,+144%,D,+144%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,,
426,Choco Drink - Caprimo,7350022394995,['Caprimo'],,['France'],"['FR Boisson saveur chocolat', ' boisson instantanée à base de poudre de cacao', ' Ingrédients: sucre', 'lactosérum en poudre ', 'lait', 'cacao maigre en poudre ', '16%', 'lait écrémé en poudre', 'antiagglomérant ', 'E341', 'sel', 'arôme']",['Non végétalien'],?,370,1548 kj(370 kcal),2,"1,3",75,73,"8,5","1,175","0,47",,,,,,,,"['E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Van Houten Chocolate Drink,7350022395206,['Van Houten'],,['France'],"['sucre', 'sirop de glucose', 'cacao maigre en poudre ', '15%', 'graisse végétale entièrement hydrogénée ', 'noix de coco', 'lactosérum en poudre ', 'lait', 'lait écrémé en poudre', 'stabilisant ', 'E340', 'E452', 'sel antiagglomérant ', 'E551', 'protéine de lait', 'arôme', 'émulsifiant ', 'E481']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,420,1757 kj(420 kcal),11,10,70,58,6,"0,8","0,32",,,,Boisson saveur chocolat,"['Boissons', 'Petit-déjeuners', 'Boissons avec sucre ajouté']",,,"['E340 - Orthophosphates de potassium', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E551 - Dioxyde de silicium', 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition']",['Lait'],4,11 g,en quantité élevée,10 g,en quantité élevée,58 g,en quantité élevée,0.8 g,en quantité élevée,,+394%,+375%,+2833%,+5924%,+254%,+217%,+1013%,+2039%,+2039%,32,+169%,E,+169%,,,,,,,,,,,,,
428,Awake bebida refrescante vitaminada sabor frambuesa - Vitamin Well,7350042715206,['Vitamin Well'],,"['France', 'Espagne']",[],[],?,17,71 kj(17 kcal),0,0,"4,2","4,2",0,"0,025","0,01",,,,,['Boissons'],,,,,,0 g,en faible quantité,0 g,en faible quantité,4.2 g,en quantité modérée,0.025 g,en faible quantité,,-70%,-71%,-100%,-100%,-63%,-56%,-100%,-40%,-40%,6,-22%,D,-22%,,,,,,,,,,,,,
429,"Kvarg, Vanillesmaak - nestle - 500gram",7392672003124,['Nestle'],,['France'],"['Magere kwark ', 'melk', 'water', 'gemodificeerd maiszetmeel', 'natuurlijk vanille-aroma', 'kleurstof ', 'bèta-caroteen', 'zoetstoffen ', 'aspartaam', 'acesulfaam K', 'zuurteregelaar ', 'E330']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,60,251 kj(60 kcal),"0,2",0,"3,5","3,1",11,"0,1","0,04",500 gram,,D,,"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Desserts lactés', 'Quark', 'Fromages à la crème', 'Quark au lait caillé']",,,"['E160ai - Bêta-carotène', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E330 - Acide citrique']",['Lait'],4,0.2 g,en faible quantité,0 g,en faible quantité,3.1 g,en faible quantité,0.1 g,en faible quantité,,-42%,-42%,-94%,-100%,-69%,-70%,+69%,-14%,-14%,-5,-563%,A,-563%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
430,The Original Oat Drink Chocolate - Oatly - 1Litre,7394376614552,['Oatly'],"['Végétarien', 'Végétalien']","['France', 'Royaume-Uni']","['oat base ', 'water', ' oats  10%', 'sugar 3,5%', 'cocoa powder 1%', 'rapeseed oil', 'calcium carbonate', 'calcium phosphates', 'salt', 'flavourings', 'vitamins ', 'd2', 'riboflavin', 'b12', 'potassium iodide,']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,61,255 kj(61 kcal),61,"0,2",10,"7,5","1,2","0,16","0,064",1 Litre,"['Tetrapak', 'Mix', 'Cardboard', 'Plastic', 'Foil', 'composite-carton', 'pet-cap']",B,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de céréales', ""Boissons à l'avoine""]",['Sweden'],['Suma'],"['E170i - Carbonate de calcium', 'E341 - Phosphates de calcium', '', 'Risque élevé de sur-exposition']",['Avoine'],4,61 g,en quantité élevée,0.2 g,en faible quantité,7.5 g,en quantité élevée,0.16 g,en quantité modérée,,+27%,+27%,+4629%,-3%,+27%,+46%,+56%,+69%,+69%,0,-100%,B,-100%,9.3%,2.1%,32.4%,31.8%,19.1%,5.3%,88,,,,,,
431,Cream cookies - 32g,7441163401007,['cream cookies'],,['France'],"['7 44 1163 401007 FR ', 'Farine de Blé Enrichie', ' [Avec Niacine 75 mg/kg', 'Fer ', 'Fumarate Ferreux] 55 ene Niacina 75 mg/kg', 'Hierro Viamina B1] 64 mg/kg', 'mg/kg', 'Mononitrate de Thiamine [Vitamine B1] 6', '4 mg/kg', 'Riboflavine [Vitamine B2] 7', '0 Azicar', 'Grasa Vegetal mgkg', 'Acide Folique 1', '54 mg/kg', 'Sucre', 'Graisse Végétale [Palme]', 'Eau', ' Cacao', ' Sirop de alo de Sodio', 'Bicarbonato Fructose', ' Poudres á Lever ', 'Bicarbonate de Sodium', ""Bicarbonate d'Ammonium"", ' PXna', 'Sal', 'Saborizantes Pyrophosohate Acide de Sodium', ' Amidon de Mal s', 'Maltodextrine', 'Sel', 'Aromes Artificiels', 'Lécithine de Soja', ' Information Allergénes: rado en una Planta Contient du Gluten et Lécithine de Soja', ' Fabriqué dans un atelier qui uti lise: Arachide', ""Oeufs et produits à base d'oeufs"", 'Lait et produits à base de lait', 'Fruits à coque et Sésame']",['Huile de palme'],?,470,1966 kj(470 kcal),9,0,13,6,4,"0,006","0,002",32g,['Plastique'],,,['Biscuits et gâteaux'],['puerto rico'],['leader price'],"['E500ii - Carbonate acide de sodium', ""E503ii - Carbonate acide d'ammonium"", 'E322i - Lécithine']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Graines de sésame', 'Soja']",4,9 g,en quantité modérée,0 g,en faible quantité,6 g,en quantité modérée,0.006 g,en faible quantité,,+9%,+9%,-53%,-100%,-77%,-79%,-32%,-99%,-99%,4,-78%,C,-78%,,,,,,,,http://www.noelcom.co,['Huile de palme'],['Costa Rica'],['M.S.A-942-12'],,
432,Chipotle Peber Røget - La Costeña - 220g - masa drenada 121g,7501017005031,['La Costeña'],,"['France', 'Espagne']","['Préparation de piments fumés chipotie fiidients Eau', 'piment chipotle 25 %', 'oignon', 'vinaç Inate', 'sel iodé', 'piments secs', 'sucre', 'huile de SOJA é possibles de gluten', 'erachide', 'sésame', 'céleri', 'llaiours nutritionnelles pour 100 g : Valeur énergétiqu 121/170 kJ', 'Graisses 0,55 g,']",['Non végétalien'],?,48,201 kj(48 kcal),1,0,"11,7",6,2,"1,175","0,47",220 g - masa drenada 121 g,['Enlatado'],,,['Additifs alimentaires'],"['Ecatepec', 'Estado de México', 'México']",,,"['Céleri', 'Graines de sésame', 'Soja']",,1 g,en faible quantité,0 g,en faible quantité,6 g,en quantité modérée,1.17 g,en quantité modérée,,-70%,-70%,+26%,-100%,-66%,-49%,-58%,-26%,-26%,,,,,,,,,,,,http://lacostena.com.mx,,['Mexique'],,,
433,"El Yucateco Salsa Chipotle, 150ML",7501017660285,['El Yucateco'],,['France'],"['informaci6n Porci6n•', ' > o A Proteinas Grasas ', 'Lipidos', ' - v o - > rasasa ra p Carbohidratos Hidratos de Carbono o È Azücares Fibra Dietética']",[],?,340,1423 kj(340 kcal),0,0,20,20,0,"0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Ragusa Camille Bloch 5X5X25 GR - 125g,7610008711902,['Ragusa'],,"['France', 'Suisse']","['sucre', 'noisettes ', 'dont 11 % entières', 'pâte de cacao', 'beurre de cacao', 'graisse de coco', 'poudre de lait entier', 'farine de soja', 'beurre fondu', 'poudre de lait écrémé', 'émulsifiant: lécithine de soja', 'extrait pur de vanille']",['Non végétalien'],2412,576,2412 kj(576 kcal),36,15,54,49,7,"0,01","0,004",125g,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,['E322i - Lécithine'],"['Fruits à coque', 'Soja']",4,36 g,en quantité élevée,15 g,en quantité élevée,49 g,en quantité élevée,0.01 g,en faible quantité,+6%,+4%,+5%,-1%,-29%,+17%,+19%,-3%,-93%,-93%,27,+15%,E,+15%,,,,,,,,,,,,,
435,Noir 60% - Ragusa - 125g,7610008760702,['Ragusa'],,"['France', 'Suisse']","['sucre', 'noisettes ', 'dont 11% entières', 'pâte de cacao', 'graisse de cocoa', 'poudre de lait entier', 'poudre de cacao', 'farine de soja', 'beurre de cacao', 'beurre fondu', 'émulsifiant: lécithine de soja', 'extrait pur de vanille', "" Peut contenir des traces d'amandes"", ' Chocolat 20%', 'fourré praliné 60%', ' Chocolat: 60% cacao minimum']",['Non végétalien'],2500,597,2500 kj(597 kcal),39,16,49,40,9,0,0,125 g,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']",,,,"['Lait', 'Fruits à coque', 'Soja']",4,39 g,en quantité élevée,16 g,en quantité élevée,40 g,en quantité élevée,0 g,en faible quantité,+10%,+8%,+9%,+7%,-24%,+6%,-3%,+24%,-100%,-100%,25,+6%,E,+6%,,,,,,,,,,,,,
436,"Denner, Gratin & Pizza Käsemischung",7610029140941,['Denner'],['Fabriqué en Suisse'],"['France', 'Suisse']",[],[],?,368.10000610352,1540 kj(368 kcal),29,18,"0,5","0,5",27,"1,5","0,6",,,,,,,['Denner'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,Baumnusskerne - Denner - 100g,7610029151008,['Denner'],,"['France', 'Suisse']",[],[],?,729,3050 kj(729 kcal),71,7,"4,5","2,5",16,0,0,100 g,['Sachet'],D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués', 'Noix', 'Noix décortiquées']",,['Denner'],,,,71 g,en quantité élevée,7 g,en quantité élevée,2.5 g,en faible quantité,0 g,en faible quantité,,+5%,+6%,+8%,+16%,-40%,-22%,+5%,-100%,-100%,1,+54%,B,+54%,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,
438,Energy drink denner - 250ml,7610029180220,['Denner'],,"['France', 'Suisse']",[],[],?,44,184 kj(44 kcal),0,0,11,11,0,"0,15","0,06",250ml,['Aluminium'],,,"['Boissons', 'Boissons énergisantes']",,['Denner'],,,,0 g,en faible quantité,0 g,en faible quantité,11 g,en quantité élevée,0.15 g,en quantité modérée,,+22%,+23%,-100%,-100%,+37%,+52%,-100%,+30%,+30%,15,+39%,E,+39%,,,,,,,,,,,,,
439,Lebkuchen-mischung - Hug,7610032044038,['Hug'],['Fabriqué en Suisse'],['France'],"[""Mélange de biscuits traditionnels au pain d'épice Ingrédtents: Farine de froment"", 'sucre', 'sucre inverti', 'miel 4', '5%', 'fructose', ""agent d'humidification: sorbitol et glycérine"", 'confiture ', 'gélifiant: pectine', 'acidifiant: acide citrique', 'graisse/huile végétale non hydrogénée ', 'palme', 'coco', 'noisettes', ""poudres à lever: carbonates d'ammonium et carbonates de sodium et acide citrique"", 'épices', 'maltodextrine', 'fruits confits', 'sucre brut', 'sirop de glucose', 'pâte de cacao', 'lait écrémé en poudre', 'sucre caramélisé', 'cacao maigre en poudre', 'huile essentielle de citron', 'arôme naturel', 'farine de riz', "" Peut contenir des traces d'amandes"", ' Hergestellt ln der Schwetz von']","['Huile de palme', 'Non végétalien']",?,400,1674 kj(400 kcal),"9,3","3,4",71,41,6,"0,23","0,092",,,,,,,,"['E420 - Sorbitol', 'E422 - Glycérol', 'E440 - Pectines', 'E330 - Acide citrique', ""E503 - Carbonates d'ammonium""]",['Fruits à coque'],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,,,
440,Les pralines suisses - Villars,7610036018363,['Villars'],['Fabriqué en Suisse'],['France'],[],[],?,560,2343 kj(560 kcal),38,20,48,44,7,"0,23","0,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Chocolat suisse - Villars,7610036018370,['Villars'],['Fabriqué en Suisse'],['France'],[],[],?,560,2343 kj(560 kcal),38,20,48,44,7,"0,23","0,092",,,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats suisses']",,,,,,38 g,en quantité élevée,20 g,en quantité élevée,44 g,en quantité élevée,0.23 g,en faible quantité,,+1%,+2%,+7%,0%,-2%,-4%,+6%,+93%,+93%,26,+10%,E,+10%,,,,,,,,,,,,,
442,"Chocoly Original, Snack Pack - Wernli - 62g",7610037002347,['Wernli'],"['Agriculture durable', 'en:UTZ Certified']","['France', 'Suisse']","['ay chocolat ', '34%', ' it dili ce de fil', 'seruoj de lait', 'patc de cacoo', 'de de ', 'soja', ""/ Œuf enuudre'"", ' lait écrémé en ', 'f sol', ' Peut contenir des traces']",['Non végétalien'],?,504,2109 kj(504 kcal),23,19,67,32,5,"0,3","0,12",62 g,,,,,,,,['Soja'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Munz Swiss Premium Milch 100g,7610041080003,['Munz'],,['France'],[],[],?,553,2314 kj(553 kcal),34,20,52,51,"8,4","0,25","0,1",,,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,,,,,34 g,en quantité élevée,20 g,en quantité élevée,51 g,en quantité élevée,0.25 g,en faible quantité,,0%,+0%,-1%,+2%,+0%,+4%,+17%,+7%,+7%,27,+6%,E,+6%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,
444,Chocolat noir avec noisette grillées 20% - Munz,7610041080904,['Munz'],,['France'],"['Chocolat noir avec noisettes grillées 20 % v —édicntc-i', 'pâte de cacao', 'sucre', 'noisettes', 'cacao en poudre', 'beurre we beurre concenttmq émulsifiant ', 'lécithine cle soja', 'extrait de 6096 du nnc', 'lns dans le chocolat', ""Peut contermr des A i' or 'cr au au sec et à l'abm des odeurs"", 'Pt xoclcllt coulisse']",[],?,559,2339 kj(559 kcal),41,17,36,31,8,0,0,,,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats aux noisettes', 'Chocolats noirs aux noisettes']",,,['E322i - Lécithine'],['Fruits à coque'],,41 g,en quantité élevée,17 g,en quantité élevée,31 g,en quantité élevée,0 g,en faible quantité,,-2%,-2%,0%,-8%,-7%,-7%,-0%,-100%,-100%,22,+4%,E,+4%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,
445,Fruit de la passion - Ramseier - 500ml,7610057026101,['Ramseier'],,"['France', 'Allemagne', 'Suisse']","['eau', 'sucre', 'jus de fruit de la passion ', '3%', ""jus d'orange"", 'de citron et de mandarine à base de concentré', 'acide carbonique', 'arômes naturels', 'acidifiant acide citrique', 'stabilisants pectine et farine de grains de caroube', 'antioxydant acide ascorbique', 'colorant caroténoïdes ', 'contient lécithine de soja', ' Pasteurisé']",[],175,?,175 kj(42 kcal),"0,5",0,10,10,"0,5",0,0,500ml,,,,['Boissons'],,,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique', 'E440 - Pectines', 'E410 - Gomme de caroube', 'E300 - Acide ascorbique', 'E160 - Caroténoïdes', 'E322i - Lécithine']",['Soja'],4,0.5 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,-37%,,-27%,+44%,-100%,-12%,+6%,+1%,-100%,-100%,13,+70%,E,+70%,,,,,,,,,,,,,
446,Crunchy Craker FROMAGE - Roland,7610058214507,['Roland'],['Fabriqué en Suisse'],"['France', 'Suisse']",[],[],?,444,1858 kj(444 kcal),15,"4,6",60,"6,7",15,"2,4","0,96",,"['Sachet', 'Plastique']",B,,"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,,,,,15 g,en quantité modérée,4.6 g,en quantité modérée,6.7 g,en quantité modérée,2.4 g,en quantité élevée,,-4%,-5%,-25%,-15%,+1%,+71%,+52%,+20%,+20%,20,+30%,E,+30%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,,
447,Pains d'épice Laeckerli Huus de Bâle - Läckerli Huus - 100g,7610073053280,['Läckerli Huus'],,"['France', 'Suisse']","['farine de blé', 'miel', 'sucre', 'amandes', 'noisettes', 'citronnat', 'orangea', 'glace ', 'sucre', 'kirsh de Bâle-Campagne', 'sirop de glucose', 'épices', 'kirsh de Bâle-Campagne', 'zeste de citron', 'poudre à lever ', 'E 503', 'acidifiant : acide citrique']",['Non végétalien'],?,370,1548 kj(370 kcal),6,"0,5",73,45,6,0,0,100 g,['Sachet'],B,,"['Biscuits et gâteaux', ""Pains d'épices""]",,,"[""E503 - Carbonates d'ammonium"", 'E330 - Acide citrique']","['Gluten', 'Fruits à coque']",4,6 g,en quantité modérée,0.5 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,,+10%,+9%,+72%,-60%,+3%,+11%,+38%,-100%,-100%,13,-8%,D,-8%,61.5%,18.9%,9.5%,5.0%,5.0%,0.0%,90,,,,,,
448,Michel Cranberry,7610097176262,['Michel'],,['France'],[],[],?,29,121 kj(29 kcal),0,0,7,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Bonbon Halter Sans Sucre Pomme - 40g,7610114030379,['Halter'],,"['France', 'Suisse']","['J BONBONS SANS SUCRES POMME - trurédìens isomaitoi', 'acide de pomme concentré ', 'O-3%', 'arôme ', 'O-1%', 'acésulfame K et DC', 'colorants: &dorophytline cuivriqt* et curwmine', "" Valets étErgéüqtEs 999 kJ'240 "", '21', '30 kJ/5']","['Non végétalien', 'Non végétarien']",?,240,1004 kj(240 kcal),0,0,97,"0,5",0,0,0,40 g,,,,,,,['E950 - Acésulfame K'],,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Bonbon Halter Sans Sucre Eucalyptus,7610114030423,['Halter'],,['France'],"['BONBONS SANS SUCRES avec édulcorants EUCALYPTUS - Isomaltol', 'arômes naturels ', '0', '32%', 'édulcorants: acésuttame K et néohespéndine DC', "" extrait d'herbes"", 'chlorophytlines et curcumine']",[],?,237,992 kj(237 kcal),0,0,99,"0,5",0,0,0,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Potage riwele petites pâtes - Haco,7610121311812,['Haco'],,['France'],"['Pâtes à la semoule de blé dur 70', '0%', 'sel comestible iodé', 'protéines végétales hydrolysées ', 'soja', 'maltodextrine', 'huile de colza', 'sucre', 'légumes déshydratés 2', '3% ', 'carottes', 'poireau', 'tomates', 'extrait de levure', 'fécule de pommes de terre', 'arômes', 'épices', 'grains de céleri']",[],?,27,113 kj(27 kcal),"0,4","0,4",5,"0,4","0,9","0,9","0,36",,,,,,,,,"['Céleri', 'Gluten', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Cacao Extra Dark 100%,7610148246586,,,['France'],[],[],?,638,2669 kj(638 kcal),58,36,9,1,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,"Classique Aux herbes, sans sucres - Bonherba - 150g",7610167616537,['Bonherba'],,"['France', 'Suisse']","['Bonherba classique aux herbes', 'sans sylcres -- Conbons aux herbes Composition par bonbon ', '4,5 g', ': vitamino C 9,3 mg', ""extrait aqueux d'herbe% rouicinalcs 5,6 mg "", 'feuilles ', 'le de guimauve', ""d'eucalyptus"", 'de de thym et ', 'le plan', 'ilin', 'fleurs de sureau', 'de tilleul', 'le bouillon blanc', 'de souci et de primevèle', ""lichen d'Islande"", 'anis étoilé', 'réglisse', 'pulmonaire', 'isomaltol', 'sirop ', 'le mallitol', 'arôme', 'extrait de plantes colorantes', 'édulcorant: acéslllfame K', 'conservateur: sorbate de potassium [202 et autres excipientes', ' Informations pour personnes allergiques: contient glutcus']",[],960,229,960 kj(229 kcal),0,0,96,"0,5",0,0,0,150 g,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Amandes moulues - M-Classic - 200g,7610200010452,['M-Classic'],,"['France', 'Allemagne', 'Suisse']",[],[],2420,585,2420 kj(585 kcal),50,"3,5","9,1","4,4",21,"0,1","0,04",200g,['Sachet'],E,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Amandes']",,['Migros'],,,,50 g,en quantité élevée,3.5 g,en quantité modérée,4.4 g,en faible quantité,0.1 g,en faible quantité,-6%,-6%,-7%,-4%,-16%,-24%,+6%,-5%,-60%,-60%,-5,-676%,A,-676%,96.4%,0.5%,1.0%,1.5%,0.7%,0.0%,11,,,,,,
455,Migros Bio 4 Schweizer Bio eier,7610200312075,['Migros bio'],"['Bio', 'Bio européen', 'CH-BIO-006']","['France', 'Suisse']","['4 œufs bio suisses', 'cuits et teints']",['Non végétalien'],650,155,650 kj(155 kcal),11,3,1,"0,5",13,"0,33","0,132",,,,,,,['Migros'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Lasagne - Roberto SA - 450g,7610200423955,"['Roberto SA', 'Meyrin']","['Végétarien', 'Point Vert', 'ISO 22000', 'en:palm-oil-free', 'Épinards Suisse']","['France', 'Suisse']","['lait', 'pâtes aux oeufs cuites 20%', 'semoule de blé dur', ""œuf entier pasteurisé et salé 18% [d'élevage au sol CH/ FR]"", 'épinards 12% ', 'CH', 'Grana Padano AOP ', 'fromage', ' 7%', 'farine de blé', 'huile de tournesol', 'ricotta ', 'fromage', ' 3%', 'sel de cuisine iodé', 'épices']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",677,162,677 kj(162 kcal),8,4,13,2,8,"1,3","0,52",450 g,"['PS-PE', 'barquette en Alu']",,Lasagne frais aux épinards & ricotta,"['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes végétariennes', 'Lasagne frais', 'Lasagne frais aux épinards', 'Lasagnes aux épinards']",['Meyrin Genève'],['Migros'],,"['Œufs', 'Gluten', 'Lait']",3,8 g,en quantité modérée,4 g,en quantité modérée,2 g,en faible quantité,1.3 g,en quantité modérée,+28%,+28%,+28%,+43%,+74%,+2%,-28%,+58%,+71%,+71%,3,+30%,C,+30%,,,,,,,,https://www.roberto.ch/fr/pates-fraiches/Lasagne-aux-epinards-et-a-la-ricotta-3,,"['France', 'Canada', 'Italie', 'Suisse', 'Genève']",['CH 326'],,
457,Dark 80% Cocoa - Chocolat Stella - 100g,7610202259453,['Chocolat Stella'],,['France'],[],[],?,615,2573 kj(615 kcal),51,31,24,19,9,0,0,100 g,,E,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,,,,,51 g,en quantité élevée,31 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,,+11%,+11%,+29%,+34%,-38%,-40%,+17%,-100%,-100%,16,-25%,D,-25%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,
458,Agave nectar milk chocolate - Chocolat Stella,7610202323536,['Chocolat Stella'],"['Bio', 'Bio européen', 'Commerce équitable', 'CH-BIO-006', 'Agriculture UE/Non UE', 'Fairtrade International', 'Fabriqué en Suisse']",['France'],[],[],?,556,2326 kj(556 kcal),40,23,35,34,9,0,0,Milk Chocolate,,D,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,,,,,40 g,en quantité élevée,23 g,en quantité élevée,34 g,en quantité élevée,0 g,en faible quantité,,+1%,+1%,+16%,+17%,-33%,-31%,+26%,-100%,-100%,18,-29%,D,-29%,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,['FSC-C104754'],,
