,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
20,Les gourmandes,3528161506621,['France'],[],[],?,201,841 kj(201 kcal),"7,2","6,3","32,5","26,3","1,05","0,17","0,068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Sorbet Fraise,3528161506676,['France'],[],[],?,120,502 kj(120 kcal),"0,5","0,1",28,22,"0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Les petites folies, crème glacée",3528161506690,['France'],[],[],?,316,1322 kj(316 kcal),20,12,30,28,"3,5","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Rosette de Lyon - Môssieur Polette,3528291001126,['France'],[],[],?,417,1745 kj(417 kcal),?,"13,5",?,1,27,"4,3","1,72",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Rosettes']",,,13.5 g,en quantité élevée,1 g,en faible quantité,4.3 g,en quantité élevée,,+14%,+14%,,+18%,,-31%,+6%,-5%,-5%,,,,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,['Môssieur Polette'],,,,,,,,,,,,,,,
24,Bonbons de chocolat Fruits Rouges - Réauté Chocolat,3528300000003,['France'],[],[],?,544,2276 kj(544 kcal),33,"16,6","51,9",46,"7,3","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Réauté Chocolat'],,['Gluten'],,,,,,,,,,,,,
25,Haricots blanc,3528302012295,['France'],[],[],?,265,1109 kj(265 kcal),"1,2","0,3","41,4","2,4","21,1","0,1","0,04",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Haricots', 'Haricots blancs']",1.2 g,en faible quantité,0.3 g,en faible quantité,2.4 g,en faible quantité,0.1 g,en faible quantité,,+83%,+87%,+17%,+24%,+139%,+102%,+133%,-83%,-83%,-2,,A,,,,,,,,,,,,,,,,,,,,,,,,,
26,Haricots blancs - Coco - Ferme De La Megrière,3528302012431,['France'],[],[],?,398,1665 kj(398 kcal),"1,5","0,2",65,"2,4","22,4","0,004","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ferme De La Megrière'],,,,,,,,,,,,,,,
27,L extraordinaire muesli - Casino,3528320001400,['France'],"[""Flocons d'avaine complet 50% - flocons de blé complet 14% - sucre de canne - pastilles de chocolat 9% "", 'sucre - pâte de cacao - beurre de cacao - émulsifiant : lécithine de tournesol', ' - huile de tournesol - amandes en lamelles avec peau - noix de Macadamia en morceaux - graines de tournesol 3% - cacao en poudre - arômes naturels - antioxydant : extrait riche en tocophérols', ' Traces de soja', 'lait et autres fruits icaque', ' Les informations en gras sont destinées aux personnes intolérantes ou allergiques']",[],?,499,2088 kj(499 kcal),26,"4,1",50,17,12,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],"['E322i - Lécithine', 'E306 - Extrait riche en tocophérols']",,4,,,['Casino'],,,,,,,,,
28,Accras de morue,3528330005917,['France'],[],[],?,144,602 kj(144 kcal),"4,6","0,7","12,4",1,"12,6","1,9","0,76",E,"['Snacks', 'Snacks salés', 'Produits de la mer', 'Apéritif', 'Poissons', 'Plats préparés', 'Préparations de poisson', 'Plats préparés au poisson', 'Acras de morue', 'en:preparations-made-from-fish-meat']",4.6 g,en quantité modérée,0.7 g,en faible quantité,1 g,en faible quantité,1.9 g,en quantité élevée,,-34%,-34%,-50%,-47%,-40%,-60%,+20%,+6%,+6%,4,-42%,C,-42%,87.7%,2.6%,1.3%,5.3%,0.6%,2.4%,22,,,,,,,,,,,,,,,,,
29,Miel de fleurs de montagne,3528500510005,['France'],[],[],?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Produits de montagne', 'Miels de montagne']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,
30,Jus de citron de Sicile - Di Marco - 500ml,3528782100000,['France'],"['Jus de citron à base de jus concentré', 'conservateur E224 ', 'Métabisulfite de potassium']","['Sans huile de palme', 'Végétalien', 'Végétarien']",120,?,120 kj(29 kcal),0,0,"6,5","1,75","0,4",0,0,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de citron']",0 g,en faible quantité,0 g,en faible quantité,1.75 g,en faible quantité,0 g,en faible quantité,+6%,,+7%,-100%,-100%,+82%,+5%,+19%,-100%,-100%,-4,,B,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,500 ml,['Di Marco'],"['E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']",['Métabisulfite de potassium'],3,,['Plastique'],,,"['Italie', 'Sicile']",,,,,,,
31,12 Fleurons Crête de Coq - Pidy - 66g e,3528960002713,['France'],"['Farine de blé ', 'gluten', 'beurre concentré 27 %', 'eau', 'sel', 'lait écrémé', 'huile de colza', 'protéines de lait et protéines de petits pois', 'lait entier']",['Non végétalien'],2154,?,2154 kj(515 kcal),"29,2",20,"52,2","1,5",10,"1,26","0,504",,"['Snacks', 'Snacks salés', 'Fleurons']",29.2 g,en quantité élevée,20 g,en quantité élevée,1.5 g,en faible quantité,1.26 g,en quantité modérée,+10%,,+12%,+21%,+373%,+9%,-54%,+18%,-18%,-18%,21,+72%,E,+72%,,,,,,,,66 g e,['Pidy'],,"['Gluten', 'Lait']",4,,['Plastique'],['Auchan'],,,"['Point Vert', 'Pur beurre', 'Tidy man']",,,,,,
32,Bouchées Hôtelières,3528960002751,['France'],[],[],?,524,2192 kj(524 kcal),"34,6","18,8",44,"1,2","8,4","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Speculoos crumble - Gourmet Pidy,3528960002942,['France'],"['Farine de blé ', 'gluten', 'sucre de candi brun', 'graisses végétales ', 'huiles & graisses de palmet colza et noix de coco', 'sucre de canne', 'faine de soja', 'sucre inverti', 'agent levant: E500', 'cannelle', 'noix de muscade', ' Peut contenir des traces de fruits à coque', 'lait et œuf', 'Ingredients: Wheat flour ', 'gluten', 'brown candy sugar', 'vegetable oils and fats ', 'palm', 'rapeseed', 'coconut', 'cane sugar', 'soy flour', 'invert sugar', 'raising agent: E500', 'cinnamon', 'nutmeg', ' Can contain traces of nuts', 'milk and egg,']",['Huile de palme'],?,482,2017 kj(482 kcal),"18,4","6,8","72,3","36,4","6,7","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gourmet Pidy'],['E500 - Carbonates de sodium'],['Gluten'],4,,,,,,,['Huile de palme'],,,,,
34,6 bouchées - Chef Grourmet,3528960003932,['France'],"['Farine de blé margarine ', 'matière grasse végétale ', 'palme', 'eau', 'sel', 'émulsifiant', ""' E471"", 'acidifiant: E330', 'colorant', ""' E160a"", 'arôme', ' eau - sel - lait écrémé - huile de colza - protéines de lait et protéines végétales lait']","['Huile de palme', 'Non végétalien']",?,524,2192 kj(524 kcal),"34,6","18,8",44,"1,2","8,4","1,35","0,54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chef Grourmet'],['E330 - Acide citrique'],['Lait'],4,,,,,,,,,,,,
35,6 Bouchées Feuilletées - Chef Gourmet - 210g e,3528960013160,['France'],"['Farine de blé ', 'gluten', ' - margarine ', 'matière grasse végétale ', 'palme', 'eau', 'sel', 'émulsifiant: E471', 'acidifiant: E330', 'colorant : E160a', 'arôme', ' - eau - sel - lait écrémé - huile de colza - protéines de lait et protéines de petits pois - lait entier']","['Huile de palme', 'Non végétalien']",?,524,2192 kj(524 kcal),"34,6","18,8",44,"1,2","8,4","1,35","0,54",,['Produits à garnir'],34.6 g,en quantité élevée,18.8 g,en quantité élevée,1.2 g,en faible quantité,1.35 g,en quantité modérée,,,,,,,,,,,21,,E,,,,,,,,,210 g e,['Chef Gourmet'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E160a - Carotènes mélangés']","['Gluten', 'Lait']",4,6 Bouchées Feuilletées,['Plastique'],,,,['Fabriqué en Belgique'],,['Belgique'],,,,
36,"Pidy Vol-au-vent Repas With Lid, 9.5 CM - Pack Of - Pidy Gourmet",3528960100167,['France'],"['farine de BLE ', 'gluten', 'huiles et graisses végétales ', 'palme', 'eau', 'émulsifiant E471', 'sel', 'jus de citron', 'arôme naturel', 'eau', 'sel', 'LAIT écrémé', 'huile de čolza', 'protéines de LAIT et protéines de petits pois', 'LAIT']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,520,2176 kj(520 kcal),"34,3",19,"43,7","1,2","8,3","0,97","0,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Pidy Gourmet'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires""]","['Gluten', 'Lait']",4,,,,,,"['Contient du lait', 'Entrepreneurs + Engagés']",['Huile de palme'],,,,,
37,Saucisson Sec Au Piment D'espelette,3529351112509,['France'],[],[],?,572,2393 kj(572 kcal),53,19,"0,5","0,5",19,"3,7","1,48",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs', 'Saucissons secs au piment', ""Saucissons secs au piment d'espelette""]",53 g,en quantité élevée,19 g,en quantité élevée,0.5 g,en faible quantité,3.7 g,en quantité élevée,,+42%,+42%,+68%,+54%,-78%,-64%,-31%,-21%,-21%,27,+12%,E,+12%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,,,,
38,Saucisson Sec - Maison Ader,3529351252502,['France'],"['Maigre et gras de porc fermier origine France', 'sel', 'sucre : lactose', 'dextrose', 'poivre', 'épices', 'conservateur : salpêtre', ' Produit sujet à dessiccation']",['Non végétalien'],?,385,1611 kj(385 kcal),31,11,"0,5","0,5",22,"3,6","1,44",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",31 g,en quantité élevée,11 g,en quantité élevée,0.5 g,en faible quantité,3.6 g,en quantité élevée,,-4%,-5%,-2%,-11%,-78%,-64%,-20%,-23%,-23%,24,0%,E,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,['Maison Ader'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition']",,4,,,,,,,,,,,,
39,Chorizo du Pyrénéen - Maison ADER - 250g,3529351442507,['France'],"['Maigre et gras de porc origine France', 'épices', 'sirop de glucose', 'dextrose', 'sel', 'colorant : E1600', 'antioxygène E316', 'plantes aromatiques', 'conservateur E232']","['Non végétalien', 'Non végétarien']",?,465,1946 kj(465 kcal),37,13,"0,5","0,5",24,4,"1,6",,"['Viandes', 'Charcuteries', 'Saucisses', 'Porc', 'Saucisses espagnoles']",37 g,en quantité élevée,13 g,en quantité élevée,0.5 g,en faible quantité,4 g,en quantité élevée,,+5%,+5%,+4%,-2%,-85%,-78%,-10%,-2%,-2%,24,-4%,E,-4%,,,,,,,,250 g,['Maison ADER'],"['E316 - Érythorbate de sodium', 'E232 - Orthophénylphénate de sodium']",,4,Chorizo,['Entourage papier'],['Super U'],"['FR 65.452.001 CE', 'Trie-sur-Baïse (Hautes-Pyrénées, France)']",,['Maitre Artisan'],,"['TRie-sur-Baïse', '65220']",http://www.charcuterieleader.fr,,,
40,Chorizette du Pyrénéen,3529351462505,['France'],[],[],?,465,1946 kj(465 kcal),37,13,"0,5","0,5",24,4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Paté au piment d’espelette - Maison Ader,3529356151800,['France'],"['Viande et foie de porc origine France', 'lait', 'œufs', 'sel', 'paprika', 'oignons', 'armagnac ', '1%', 'amidon de maïs', 'protéines de blé', 'épices', ""piment d'Espelette "", '0', '02%', ' A consommer de préférence avant']",['Non végétalien'],?,354,1481 kj(354 kcal),32,11,"1,9","0,7",15,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Maison Ader'],,"['Œufs', 'Lait']",,,,,,,,,,,,,
42,Pâté au jurançon BIO - Ader & Fils,3529358601181,['France'],"['Majore', 'ct porc* tait*', 'œufs* ', 'sel', 'épices""', 'Jurançon& ', '170']",['Non végétalien'],?,355,1485 kj(355 kcal),32,11,2,"0,6",14,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Ader & Fils'],,['Œufs'],,,,,,,['Bio'],,,,,,
