,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,additives,allergens,nova_score,generic_name,packaging,markets,traceability_code,ingredients_origins,labels,palm_ingredients,manufacturing,link,brand_owner,origin_detail,producer_info
880,Lucques du languedoc - L'Oulibo,3548670007747,['France'],[],[],?,146,611 kj(146 kcal),14,"2,4","3,3","0,5","1,5","3,4","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""L'Oulibo""]",,,,,,,,,,,,,,,
881,La Buchette Blanche Bio,3548780000621,['France'],[],[],?,288,1205 kj(288 kcal),"23,2","16,6","0,9","0,9","17,7","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 81.206.009 CE', 'Penne (Tarn, France)']",,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,
882,Fromage de chevre le XV du Pic 110g,3548781000057,['France'],[],[],?,288,1205 kj(288 kcal),"23,2","16,6","0,9",0,16,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 81.206.009 CE', 'Penne (Tarn, France)']",,,,,,,,
883,Buchette,3548783100014,['France'],[],[],?,288,1205 kj(288 kcal),"23,2","15,6","0,9","0,9",16,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
884,Boulettes de poisson,3548870002047,['France'],[],[],?,78,326 kj(78 kcal),"0,5","0,01","8,1","2,9",11,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,3548870110049,3548870110049,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Supermarché Asie'],,,,,,,,,
886,NEMS AUX LEGUMES -  - 480g,3548870150045,['France'],[],"['Végétalien', 'Végétarien']",?,180,753 kj(180 kcal),"5,6","0,64","27,8","3,9","3,5","1,22","0,488",C,"['Plats préparés', 'Nems']",5.6 g,en quantité modérée,0.64 g,en faible quantité,3.9 g,en faible quantité,1.22 g,en quantité modérée,,-11%,-11%,-37%,-61%,+23%,+39%,-49%,-7%,-7%,5,-5%,C,-5%,62.8%,18.1%,4.7%,5.0%,2.0%,7.4%,57,480 g,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,,
887,Bouchees Au Porc 20PCS 400G - Surgeles - Sfpa - 400g,3548870320141,['France'],[],[],?,222,929 kj(222 kcal),"12,9","4,97","11,9","0,2",14,"1,56","0,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,['Sfpa'],,,,,,,,,,,,,,,
888,Croissants Farcis - SFPA - 520g,3548870320158,['France'],"['Farce ', '60 %', ' ', 'porc 70 %', 'crevette', 'pousse de bambou', 'carotte', 'céleri', 'fécule de pomme de terre', 'huile de sésame', 'sucre', 'exhausteur de goût: glutamate monosodique E621', 'sel et poivre', ' - Pâte a ravioli ', '40 %', ' ', 'farine de blé', 'fécule de pomme de terre', 'eau', 'saindoux et stabilisant : sirop de sorbitol E420ii']","['Non végétalien', 'Non végétarien']",?,235,983 kj(235 kcal),11,"4,44","29,2","0,7","4,3","0,752","0,301",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Surgelés', 'Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Pâtes alimentaires', 'Pâtes farcies', 'Plats au porc', 'Ravioli', 'Plats préparés surgelés', 'Ravioli surgelés']",11 g,en quantité modérée,4.44 g,en quantité modérée,0.7 g,en faible quantité,0.752 g,en quantité modérée,,+32%,+31%,+93%,+196%,+25%,-68%,-48%,-22%,-22%,7,+210%,C,+210%,,,,,,,,520 g,['SFPA'],"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E420ii - Sirop de sorbitol']","['Céleri', 'Crustacés', 'Gluten', 'Graines de sésame']",4,,"['Sachet', 'Plastique', 'surgelé']",,"['FR 94.041.003 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",,"['Point Vert', 'Fabriqué en France']",,['France'],,,,
889,Brioches de shangai - SFPA - 600g,3548870320172,['France'],[],[],?,196,820 kj(196 kcal),"4,9","1,1","28,8","1,2","8,4","0,659","0,264",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,['SFPA'],,,,,,,"['FR 94.041.003 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",,['Fabriqué en France'],,,,,,
890,Raviolis japonais au porc (gyoza) -  - 800g,3548870350902,['France'],[],[],?,193,808 kj(193 kcal),"7,6","2,21","19,5","0,7",11,"0,891","0,356",,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli', 'Ravioli japonais', 'Pâtes farcies surgelées']",7.6 g,en quantité modérée,2.21 g,en quantité modérée,0.7 g,en faible quantité,0.891 g,en quantité modérée,,+16%,+15%,+56%,+99%,-14%,-74%,+57%,-14%,-14%,1,-50%,B,-50%,,,,,,,,800 g,,,,,,,,,,,,,,,,
891,Pattes de poulet aux 5 parfums,3548870505302,['France'],[],[],?,243,1017 kj(243 kcal),"17,1","2,47","4,8","2,8","16,2","1,91","0,764",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
892,Perle Coco Cacahuete 550G - Surgeles - Sfpe,3548870512348,['France'],['Poids net : 550 g'],[],?,320,1339 kj(320 kcal),"15,2","10,4",41,15,"3,5","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Sfpe'],,,,,,,"['FR 94.041.003 CE', 'Ivry-sur-Seine (Val-de-Marne, France)']",,['Fabriqué en France'],,,,,,
893,Raviolis aux legumes - SFPA - 260g,3548875216203,['France'],"['quit a coeur', 'noir', 'de terre', 'fécule de pomme de terre', ""sauce d'huîtret huile de et stabilisant : sirop de sorbitol E420ii"", 'gluta te monosodique E6211 sel et poivre', ' Pâte ', '40%', ' ', 'farin€deblé', 'técute de']",[],?,181,757 kj(181 kcal),4,"1,06","34,2","1,2","0,9","0,657","0,263",B,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Pates farcies aux légumes', 'Ravioli', 'Raviolis aux légumes']",4 g,en quantité modérée,1.06 g,en faible quantité,1.2 g,en faible quantité,0.657 g,en quantité modérée,,+16%,+20%,-5%,+8%,+58%,-57%,-81%,-31%,-31%,3,+52%,C,+52%,69.0%,12.8%,6.9%,6.1%,3.0%,2.2%,77,260 g,['SFPA'],['E420ii - Sirop de sorbitol'],,4,,,,,,,,,,,,
894,Samossa au poulet,3548875606349,['France'],[],[],?,200,837 kj(200 kcal),"4,4","1,32","30,7","5,1","7,7","1,88","0,752",E,"['Plats préparés', 'Samoussas', 'Samoussas au poulet']",4.4 g,en quantité modérée,1.32 g,en faible quantité,5.1 g,en quantité modérée,1.88 g,en quantité élevée,,-6%,-6%,-55%,-32%,+32%,+39%,+5%,+74%,+74%,12,+135%,D,+135%,94.1%,2.8%,0.7%,0.7%,0.4%,1.4%,7,,,,,,,,,,,,,,,,,
895,Nanoux Aux Noix Du Périgord - 150g,3549170000030,['France'],[],[],?,491,2054 kj(491 kcal),"21,6",8,66,48,"7,2","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,,,,,
896,Tuiles aux noisettes,3549170000115,['France'],[],[],?,489,2046 kj(489 kcal),"18,5","4,9","69,4","51,6",10,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Doudou aux noisettes,3549170000146,['France'],[],[],?,116,485 kj(116 kcal),"28,7","12,2","49,8","29,8","10,9","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,
898,Croquants  aux noix du Périgord AOP,3549170001211,['France'],[],[],?,434,1816 kj(434 kcal),"8,7","0,7","80,8",67,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans colorants', 'Sans conservateurs']",,,,,,
899,Nanoux,3549170001242,['France'],[],[],?,486,2033 kj(486 kcal),"25,5","14,4","55,2",26,"7,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Nanoux,3549170001242,['France'],[],[],?,486,2033 kj(486 kcal),"25,5","14,4","55,2",26,"7,5","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,Praline aux noix du Périgord,3549170001891,['France'],[],[],?,497,2079 kj(497 kcal),"28,9","2,6","50,1","46,3","7,8",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,Cake thé & miel du périgard - 80g,3549170002188,['France'],[],[],?,498,2084 kj(498 kcal),"28,3","13,5","50,6","32,2","8,9","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80 g,,,,,,,,,,,,,,,,
903,Gâteau aux noix du Perigord & Chocolat -,3549170002911,['France'],[],[],?,550,2301 kj(550 kcal),"34,9","17,4","46,7","26,6","10,3","0,2","0,08",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux aux noix']",34.9 g,en quantité élevée,17.4 g,en quantité élevée,26.6 g,en quantité élevée,0.2 g,en faible quantité,,+18%,+17%,+31%,+87%,-1%,-9%,+37%,-40%,-40%,21,+9%,E,+9%,,,,,,,,,,,,,,,,,,,,,,,,
904,Mini-financiers framboise et noix du Périgord - 150g,3549170003338,['France'],[],[],?,473,1979 kj(473 kcal),"27,4","12,7",46,40,"8,7","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,,,,,,,,,,,,,
905,Fondants Moi J'en Croque,3549170003505,['France'],[],[],?,483,2021 kj(483 kcal),"27,3","11,2","48,4","28,1","9,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,Glace,3549190020001,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Laudun 2016 - Domaine Pélaquié - 750ml,3549310110117,['France'],"['Vin blanc Laudun Appellation Côtes du Rhône Villages Laudun Protégée', ' Contient des sulfites']",[],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', 'Côtes du Rhône', 'Côtes du Rhône Villages', 'Côtes du Rhône Villages Laudun']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,750 ml,['Domaine Pélaquié'],,['Anhydride sulfureux et sulfites'],,,"['Bouteille', 'Verre']",['Auchan'],,['France'],"['Déconseillé à certaines catégories de personnes', 'AOP', 'Fabriqué en France', 'Contient des sulfites', 'Déconseillé aux femmes enceintes']",,"['France', 'Rhône']",,,,
908,Lirac Rouge -,3549316118230,['France'],[],[],?,?,,?,,?,,?,,,B,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rouges', 'Vins français', 'Lirac']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,"['Verre', 'Bouteille']",,,['France'],,,,,,,
909,Terrine au fois de volaille,3549420000087,['France'],[],[],?,240,1004 kj(240 kcal),"18,5",7,"1,4",1,17,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,Cidre Réserve - Dupont - 750ml,3549750675016,['France'],[],[],?,?,,?,,?,,?,,,D,"['Boissons', 'Boissons alcoolisées', 'Cidres']",,,,,,,,,,,,,,,,,,,,,,,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,750 ml,['Dupont'],,,,,,,,,,,,http://www.calvados-dupont.fr/fr/cidre-reserve.htm,,,
911,Les Délices de Tartine - Au chocolat noir,3549860001026,['France'],[],[],?,372,1556 kj(372 kcal),"7,2","4,4","74,48","72,28","1,46","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,Ventreche de thon albacore,3549881116006,['France'],[],[],?,292,1222 kj(292 kcal),"21,8",4,0,0,"23,9","1,2","0,48",D,"['Produits de la mer', 'Poissons', 'Thons', 'Thons tropicaux', 'Thons albacore']",21.8 g,en quantité élevée,4 g,en quantité modérée,0 g,en faible quantité,1.2 g,en quantité modérée,,+135%,+137%,+943%,+635%,-100%,-100%,-4%,+24%,+24%,11,+2685%,D,+2685%,86.9%,0.0%,2.5%,9.0%,1.2%,0.3%,41,,,,,,,,,,,,,,,,,
913,Ventrêche de thon Germon -,3549881126302,['France'],[],[],?,226,946 kj(226 kcal),14,"2,3",0,0,25,1,"0,4",E,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive"", 'Thons blancs']",14 g,en quantité modérée,2.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,+6%,+5%,+5%,-12%,-100%,-100%,+6%,+9%,+9%,3,-31%,C,-31%,93.6%,0.0%,1.2%,4.4%,0.6%,0.2%,21,,,,,,,,,,,,,,,,,
914,Sardines (à la tomate) -,3549881216102,['France'],[],[],?,180,753 kj(180 kcal),11,"2,9",0,0,24,"0,82","0,328",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile d'olive"", 'Sardines à la tomate']",11 g,en quantité modérée,2.9 g,en quantité modérée,0 g,en faible quantité,0.82 g,en quantité modérée,,-2%,-3%,-8%,-5%,-100%,-100%,+39%,-13%,-13%,2,-42%,B,-42%,26.4%,30.5%,28.5%,13.5%,0.9%,0.3%,52,,,,,,,,,,,,,,,,,
915,Petites Sardines - La Guildive,3549881222400,['France'],"['Sardines ', 'Sardina pilchardus', '70%', ""huile d'olive "", '29%', ' et sel']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,210,879 kj(210 kcal),"14,1","1,5","0,1","0,1","20,6",1,"0,4",D,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve']",14.1 g,en quantité modérée,1.5 g,en quantité modérée,0.1 g,en faible quantité,1 g,en quantité modérée,,-9%,-9%,-12%,-58%,-82%,-67%,0%,+8%,+8%,2,-61%,B,-61%,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,['La Guildive'],,['Poisson'],3,,,,,,,,,,,,
916,Moules en escabèche,3549881413303,['France'],[],[],?,157,657 kj(157 kcal),"7,3","2,4","2,9",0,21,"1,8","0,72",D,"['Conserves', 'Produits de la mer', 'Mollusques', 'Moules', 'Moules en conserve', ""Moules à l'escabèche""]",7.3 g,en quantité modérée,2.4 g,en quantité modérée,0 g,en faible quantité,1.8 g,en quantité élevée,,-21%,-21%,-46%,+15%,-7%,-100%,+34%,+33%,+33%,5,-10%,C,-10%,45.9%,19.9%,28.9%,3.5%,0.9%,0.9%,45,,,,,,,,,,,,,,,,,
917,Chipirons à l'encre - La Guildive,3549881423029,['France'],"['61%', 'huile de tournesol', 'tomate', 'encre ', '2%', 'oignons', 'épices et sel']",[],?,384,1607 kj(384 kcal),36,"4,1","1,4",0,13,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Guildive'],,,,,,,,,,,,,,,
918,Poulpe a la galicienne,3549881511023,['France'],[],[],?,790,3305 kj(790 kcal),9,"2,3",7,0,20,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,Couteaux - La Guildive,3549882810033,['France'],"['Couteaux ', '65%', ' eau ', '34%', ' et Razor clams ', '65%', ' water ', '34%', ' and ZUTATEN Schwertmuscheln ', '65%', ' Wasser ', '34%', ' und Sall* Scheermes ', '65%', 'water ', '34%', ' en zout*']",[],?,96,402 kj(96 kcal),"1,6","0,5","2,3",0,"18,1","1,68","0,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['La Guildive'],,,,,,,,,,,,,,,
920,La fine,35429579,['France'],[],[],?,294,1230 kj(294 kcal),"13,2","4,7","3,4","2,1","40,3","4,7","1,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,yakisoba nouilles sautées  - green home  - 110g,35443193,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110 g,['green home'],,,,,,,,,,,,,,,
922,Calin - Yoplait,35459606,['France'],['üiiiiÜiiii•i Een gevarieerde en evenwichtige voeding en een gezonde levenswijze zijn belangrijk voor een goede gezondheid'],[],?,78,326 kj(78 kcal),"3,2","2,2",5,5,"6,9","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yoplait'],,,,,,,,,,,,,,,
923,Les émiettés saumon basilic - Gastromer,35467601,['France'],[],[],?,222,929 kj(222 kcal),16,"1,8","3,7","1,4",14,"0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gastromer'],,,,,,,,,,,,,,,
924,Le Lozère fromage au lait thermisé de vache,3550090071857,['France'],[],[],?,336,1406 kj(336 kcal),28,16,"1,9","0,4",19,"0,85","0,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,Saucisse de jambon superieur,3550380948944,['France'],[],[],?,194,812 kj(194 kcal),15,"5,4","0,6","0,6",14,"2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,Saucisse de foie,3550384683223,['France'],[],[],?,388,1623 kj(388 kcal),36,15,"3,8","1,6",11,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,Côtes de Provence - Château Gairoird - 75cl,3550510004304,['France'],[],[],?,?,,?,,?,,?,,,C,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Provence']",,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,75cl,['Château Gairoird'],,,,,,,,['France'],,,,,,,
928,Cannelle moulue Chamsyl,3550703000151,['France'],[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,,,,,,,,,,,,,,,,,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,,,,,,,,,,,,,,,,,
929,Piment fort moulu - Chamsyl - 60g,3550703000199,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 g,['Chamsyl'],,,,,,,,,,,,,,,
930,Paprika Chamsyl,3550703000212,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,3550703000281,3550703000281,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,Epices pour poulet roti Chamsyl,3550703000441,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,3550703000458,3550703000458,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,Oignon frit,3550703000700,['France'],[],[],?,?,,?,,?,,?,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Oignons et dérivés', 'Oignons frits']",,,,,,,,,,,,,,,,,,,,,,,35.2%,59.0%,2.2%,1.7%,1.6%,0.3%,26,,,,,,,,,,,,,,,,,
935,Ras el hanout,3550703006542,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,"['Epicerie', 'Condiments', ""Mélanges d'herbes et d'épices"", 'Ras el hanout']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,-100%,-100%,-100%,-100%,-100%,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,Cannelle Moulue - Chamsyl - 150g,3550703015155,['France'],['Cannelle'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Cannelle', 'Cannelle en poudre']",,,,,,,,,,,,,,,,,,,,,,,63.0%,0.0%,17.9%,13.1%,5.9%,0.0%,78,150 g,['Chamsyl'],,,1,Cannelle Moulue,"['Pot', 'Plastique']",,,,"['Sans colorants', 'Sans conservateurs']",,,,,,
937,Sésame doré,3550703015506,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,Mélange curry,3550703030547,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,Colombo,3550703444658,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Cèpes de France - Chamsyl - 80g,3550704023043,['France'],['Boletus edulis'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Produits déshydratés', 'Champignons et produits dérivés', 'Aliments à base de plantes séchées', 'Champignons', 'Champignons séchés', 'Champignons cèpes']",,,,,,,,,,,,,,,,,,,,,,,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,80 g,['Chamsyl'],,,1,,"['Pot', 'Couvercle', 'Plastique']",,,['France'],['Point Vert'],,,,,,
941,Cèpes de pays CHAMPSYL - chamsyl,3550704052029,['France'],[],[],?,310,1297 kj(310 kcal),"4,7","0,7","24,5","9,7","32,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Chamsyl'],,,,,,,,,,,,,,,
942,Girolles Séchées 40g,3550704052036,['France'],[],[],?,250,1046 kj(250 kcal),"3,8","0,5","20,7","0,5","17,4","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Girolles'],,,,,,,,,,
943,Mélange forestier,3550704052067,['France'],[],[],?,234,979 kj(234 kcal),"2,9","0,5","24,4","7,4",17,"1,75","0,7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,Shitakes,3550704130352,['France'],[],[],?,1148,4803 kj(1148 kcal),"0,7","0,1","62,7","7,5",20,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,Bloc de foie gras de canard - De Montagnaque - 200g,3550863505190,['France'],"['Foie gras de canard', 'eau', 'sel', 'Porto', 'Armagnac', 'sucre', 'poivre', 'conservateur : nitrite de sodium', 'antioxydant : ascorbate de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,482,2017 kj(482 kcal),50,"20,5","2,1","0,9","5,9","1,12","0,448",A,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard']",50 g,en quantité élevée,20.5 g,en quantité élevée,0.9 g,en faible quantité,1.12 g,en quantité modérée,,-6%,-6%,-5%,-9%,-10%,-33%,-15%,-7%,-7%,20,-3%,E,-3%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,200 g,"['De Montagnaque', 'De Montagnac']","['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E301 - Ascorbate de sodium']",,3,,['Conserve'],['Carrefour'],"['FR 40.281.001 CE', 'Saint-Pierre-du-Mont (Landes, France)']",['France'],,,['France'],,,,
946,Confiture artisanale de figues,3550991234993,['France'],[],[],?,1,4 kj(1 kcal),1,1,1,1,1,1,"0,4",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",1 g,en faible quantité,1 g,en faible quantité,1 g,en faible quantité,1 g,en quantité modérée,,-100%,-100%,+119%,+1402%,-98%,-98%,+36%,+5276%,+5276%,-1,-111%,A,-111%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,
947,Picot Maman Tisane Allaitement Tilleul Citron - Boite De,3551100163043,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2","0,1",0,0,0,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', ""Tisane d'allaitement"", ""Tisanes d'allaitement""]",0.0001 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,0 g,en faible quantité,,,-33%,-99%,-100%,+6%,0%,-100%,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,['Picot'],,,,,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,,,,
948,Ma première boisson aux plantes - Picot,3551100163050,['France'],"['Dextrose', 'extrait naturel de camomille ', '3,5%', 'arôme naturel de camomille']",[],?,17,71 kj(17 kcal),0,0,"4,3","4,3",0,0,0,,['Boissons'],0 g,en faible quantité,0 g,en faible quantité,4.3 g,en quantité modérée,0 g,en faible quantité,,-70%,-71%,-100%,-100%,-62%,-54%,-100%,-100%,-100%,6,-22%,D,-22%,,,,,,,,,['Picot'],,,4,,,,,,,,,,,,
949,Crème Dessert Edulcorée HP Fraise 4 X -,3551100163340,['France'],[],[],?,150,628 kj(150 kcal),7,"0,6","9,6","0,5",10,"0,1","0,04",,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Crèmes dessert']",7 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,+15%,+16%,+56%,-78%,-47%,-97%,+198%,-35%,-35%,-4,-184%,A,-184%,,,,,,,,,,,,,,,,,,['Riche en protéines'],,,,,,
