,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,markets,palm_ingredients,allergens,ingredients_origins,link,brand_owner
650,Déliss',8546690000576,['Halal'],['France'],[],[],?,218,912 kj(218 kcal),"16,1","4,8","8,8",1,"9,5",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,"""70CL WHISKY 18 ANS the GLENLIVET 43 °"" - 70cL",0080432403105,,['France'],[],[],?,?,,?,,?,,?,,,,,70 cL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,0255607011687,0255607011687,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,Elodie,18224986,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Elodie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,Terrine de campagne - Carrefour Bio,2227848018631,"['Bio', 'Bio européen', 'FR-BIO-13', 'Fabriqué en France']",['France'],[],[],?,331,1385 kj(331 kcal),25,11,2,"0,9",15,"1,5","0,6",,,,"['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",,+2%,-12%,-13%,+7%,,,,,,,,"['Carrefour Bio', 'Carrefour']","['EMB 23004D', 'Anzême (Creuse, France)']",,,25 g,en quantité élevée,11 g,en quantité élevée,0.9 g,en faible quantité,1.5 g,en quantité modérée,+3%,+2%,+4%,-6%,-6%,20,+3%,E,+3%,,,['Carrefour'],,,,,
655,Assortiment de Lokoums,2600108017788,,['France'],[],[],?,352,1473 kj(352 kcal),"0,5","0,3",85,76,"0,4",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,4 Hauts de cuisse de poulet blanc,2406717022119,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,Magret de canard cuit aux 4 épices et fumé au bois de hêtre - Labeyrie,3033610060765,,['France'],[],[],?,?,,?,,?,,?,,,,E,,"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Volailles', 'Plats à la volaille', 'Plats au canard', 'Canards', 'Magrets de canard', 'Magrets de canard fumés']",,,,,,78.4%,9.2%,2.0%,2.1%,1.0%,7.2%,27,['Labeyrie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,bulots cuits frais,0202041015283,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,Le Haché Extra Tendre - Oriental Viandes,3436598135935,"['Halal', ""Contrôle de la mosquée d'Évry-Courcouronnes""]",['France'],[],[],?,239,1000 kj(239 kcal),20,"8,8","0,2","0,1","0,6","0,6","0,24",,,,,,,,,,,,,,,,,['Oriental Viandes'],"['FR 14.167.021 CE', 'Colombelles (Calvados, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
660,Crème fraiche entière - Délisse,45549014,,['France'],[],[],?,291,1218 kj(291 kcal),30,20,"2,9","2,9","2,3","0,1","0,04",,,,,,,,,,,,,,,,,['Délisse'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,Jambonneau pané - Le Porc de nos villages,2264745035422,['Label Rouge'],['France'],[],[],?,167,699 kj(167 kcal),8,"2,4","0,9","0,8",22,"2,3","0,92",,E,,"['Viandes', 'Charcuteries', 'Jambons', 'Charcuteries cuites', 'Jambons braisés', 'Jambonneau cuit']",,-2%,-5%,+81%,-2%,80.2%,11.7%,4.9%,1.6%,0.9%,0.6%,26,['Le Porc de nos villages'],,,,8 g,en quantité modérée,2.4 g,en quantité modérée,0.8 g,en faible quantité,2.3 g,en quantité élevée,-1%,-21%,+107%,+17%,+17%,14,+22%,D,+22%,,,,,,,,
662,Entera dulces banderillas,8420596070881,,['France'],[],[],?,28,117 kj(28 kcal),"1,2","0,58","2,6","1,8",2,7,"2,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Baguette  bleu blanc coeur,0267000007228,,['France'],[],[],?,1172,4904 kj(1172 kcal),3,"0,3","54,6","3,3","10,3","1,16","0,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664,Escalopes de veau - Tendriade,2474830036474,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Tendriade'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
665,Filet de poulet,2487383044933,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Pommes de terre dorés,0209004009976,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
667,Aptamil 3 Growing Up Milk Powder 1+ Years 900G,5051594000001,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Aptamil'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
668,Favabönor -,7312080008191,,['France'],[],[],?,460,1925 kj(460 kcal),25,"4,3",28,"4,4",22,"2,3","0,92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669,4 galettes de blé noir,2326169003095,"['Bio', 'Bio européen']",['France'],[],[],?,176,736 kj(176 kcal),"1,9","0,4",32,"0,5",6,"1,4","0,56",,B,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,-1%,-51%,+17%,-12%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,,,,1.9 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,-1%,-75%,-30%,+6%,+6%,5,-3%,C,-3%,,,,,,,,
670,Boule céréales maison leclerc,,,['France'],[],[],?,371,1552 kj(371 kcal),"5,3","0,4",64,"1,5",13,"0,35","0,14",,,,,,,,,,,,,,,,,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,['Leclerc'],,,,,
671,Tartelettes chocolat pistache,3250392148898,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Tartes', 'Tartelettes', 'Tartelette au chocolat']",,,,,,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
672,Coco,2600177004405,,['France'],[],[],?,151,632 kj(151 kcal),15,14,3,"1,7",1,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,Chocolate bar,5712870951119,,['France'],[],[],?,545,2280 kj(545 kcal),35,21,45,40,"7,6","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Steak de boeuf - Carrefour Bio,2666116044284,"['Bio', 'Bio européen', 'Viande Française', 'FR-BIO-10', 'Viande-bovine-francaise']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Carrefour Bio'],"['EMB 72080B', 'Cherré (Sarthe, France)']",,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,
675,Reblochon AOP fruitier Thone,2480180022500,,['France'],[],[],?,330,1381 kj(330 kcal),23,"16,9","0,5","0,5","20,3","1,19","0,476",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Reblochons', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+2%,-14%,+36%,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,23 g,en quantité élevée,16.9 g,en quantité élevée,0.5 g,en faible quantité,1.19 g,en quantité modérée,+2%,-10%,+121%,-11%,-11%,14,-2%,D,-2%,,,,,,,,
676,Terrines aux 3 legumes,3700212554656,,['France'],[],[],?,133,556 kj(133 kcal),"10,3","0,8","8,1","1,7","1,4","1,21","0,484",,,,,,,,,,,,,,,,,,"['FR 29.254.021 CE', 'Saint-Martin-des-Champs (Finistère, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
677,Myrtilles BIO,3505630901439,"['Bio', 'Fabriqué en France']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
678,Le pate au rocamadour - Les saveurs du hameau - 180g,3760082242688,"['Point Vert', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",['France'],"['Viande de porc Label Rouge origine France ', 'poitrine', 'épaule', ' 65%', 'foie de volaille', 'œufs', 'Rocamadour AOP 8%', 'sel de Guérande', 'farine de caroube', 'poivre']","['Non végétalien', 'Non végétarien']",?,223,933 kj(223 kcal),16,"6,2","1,2",1,18,"1,8","0,72","['Bocal', 'Verre', 'Couvercle', 'Métal']",,180 g,"['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de porc']",,-28%,-40%,-49%,+27%,,,,,,,,['Les saveurs du hameau'],,['E410 - Gomme de caroube'],4,16 g,en quantité modérée,6.2 g,en quantité élevée,1 g,en faible quantité,1.8 g,en quantité élevée,-28%,-39%,+11%,+8%,+8%,15,-21%,D,-21%,,,,,"['Œufs', 'Lait']",,,
679,Fromage gouda jeune - Delhaize,2200389002505,,['France'],[],[],?,371,1552 kj(371 kcal),31,21,0,0,23,2,"0,8",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages des Pays-Bas', 'Goudas', 'Goudas jeunes']",,+2%,+4%,-100%,-2%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Delhaize'],,,,31 g,en quantité élevée,21 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,+3%,+6%,-100%,+2%,+2%,17,+1%,D,+1%,,,,,,,,
680,Parmigiano reggiano - Lovilio,2233313005921,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Parmigiano Reggiano']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Lovilio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
681,Lomo tranche,2620409031887,['en:gluten-free'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
682,SCITEC NUTRITION - 139.1g,,"['EUROCERT ISO 22000:2005 Label de gestion de sécurité alimentaire', 'HACCP pour la sécurité des aliments', 'ISO 9001 des normes de qualité']",['France'],"['Chlorure de potassium', 'agents texturants ', 'cellulose microcristalline', 'carboxyméthylcellulose de sodium à liaisons croisées', 'carbonate de calcium', 'acide L-ascorbique', 'oxyde magnésium', 'Acétate DL-alpha tocophérol', 'heptahydrate de sulfate de zinc', 'fumarate ferreux ', 'II', 'sélénite de sodium', 'd-biotine', 'agents anticoagulants ', 'stéarate de magnésium', 'talc', 'nicotinamide', 'stabilisant ', 'alcool polivynil', 'choleclaciférol', 'acétate rétinyl', 'colorant ', 'dioxyde de titane', 'thiamine mononitrate', 'pyridoxine HCI', 'humectant ', 'glycol polyéthylène', 'calcium D Pantothénate', 'riboflavine', 'inositol', 'choline bitartrate', 'pentahydrate de sulfate de cuivre ', 'II', 'sulfate de manganèse monohydrate', 'acide ptéroylmonoglutamique', 'iodure de potassium', 'picolinate de chrome ', 'III', 'rutine', 'extrait de rosa canina ', 'fruit', ' ', '10 1', 'molybdate de sodium', 'cyanocobalamine']",[],1290,291,,"6,29",,"19,1",,"34,2",,,,,139.1 g,['Compléments alimentaires'],,,,,,,,,,,,,['SCITEC NUTRITION'],,"['E460i - Cellulose microcristalline', 'E466 - Carboxyméthylcellulose', 'E572 - Stéarate de magnésium', 'E553b - Talc', 'E171 - Oxyde de titane']",4,,,,,,,,,,,,,,,,,,,,,,,,https://www.scitecnutrition.com/fr/produits/scitec_essentials/vitamines_et_sels_mineraux/daily_vita-min,
683,Fruchtjoghurt mild - Zitrone siciliano,4250421973162,,['France'],[],[],?,103,431 kj(103 kcal),"2,86","2,12","15,91","15,91","3,23","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,Eaubde fruit exotique,3700616453487,['Bio'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Yaourt Bi-couche Pruneau - Laitière de Bourgogne,3700817700380,,['France'],"['LAIT ENTIER ', 'origine: France', 'sucre', 'pruneaux 9%', 'POUDRE DE LAIT ÉCRÉMÉ', 'FERMENTS LACTIQUES', 'épaississant: pectine et carraghénanes', 'conservateur: sorbate de potassium', 'arômes']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",?,97,406 kj(97 kcal),"2,8",2,15,13,"3,4","0,05","0,02",,B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts au pruneau']",,+11%,+19%,+26%,+3%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['Laitière de Bourgogne'],"['FR 21.558.001 CE', ""Sainte-Marie-la-Blanche (Côte-d'Or, France)""]","['E440 - Pectines', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",4,2.8 g,en faible quantité,2 g,en quantité modérée,13 g,en quantité élevée,0.05 g,en faible quantité,+14%,+27%,+16%,-50%,-50%,2,+30%,B,+30%,,,,,['Lait'],,,
686,Flûte multi-graines,3263859934217,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,Purée de fruits sans sucres ajoutés - Danival,3431590014592,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Fabriqué en France', 'Sans sucre ajouté']",['France'],[],[],?,63,264 kj(63 kcal),"0,2",0,14,10,"0,3",0,0,,,,,,,,,,,,,,,,,['Danival'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Twinuts gout salé,2168950449145,,['France'],[],[],?,545,2280 kj(545 kcal),34,"5,2",45,"7,2",13,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
689,Comté - Le Berger Comtois,2165744005563,,['France'],[],[],?,430,1799 kj(430 kcal),35,23,1,1,27,"0,8","0,32",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+8%,+7%,+116%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,['Le Berger Comtois'],,,,35 g,en quantité élevée,23 g,en quantité élevée,1 g,en faible quantité,0.8 g,en quantité modérée,+9%,+6%,+260%,-18%,-18%,13,-3%,D,-3%,,,,,,,,
690,Pickle Power - Snowdonia - 1,5060011700707,,['France'],[],[],?,?,,?,,?,,?,,,,,1,,,,,,,,,,,,,,['Snowdonia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,Poitrine de porc fumée,0211499009126,,['France'],[],[],?,296,1238 kj(296 kcal),"25,1","9,4","0,5","0,5",17,"1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Tchaé - Lipton,3228881017338,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Lipton'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,Fonds d'artichauts,3309015310447,,['France'],[],[],?,35,146 kj(35 kcal),0,0,1,"0,1",2,"1,07","0,428",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",,-30%,-100%,-78%,+15%,,,,,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,1.07 g,en quantité modérée,-29%,-100%,-92%,+25%,+25%,-2,,A,,,,,,,,,
694,Sirop Violette -,3336770846690,,['France'],"['sirop de sucre et de glucose-fructose', 'eau', 'arôme', 'infusion de fleurs de violette', 'acidifiant : acide citrique', 'colorants : E122 ', ""peut avoir des effets indésirables sur l'activité et l'attention chez les enfants"", 'E131']",[],?,?,,?,,?,,?,,,,B,,"['Boissons', 'Sirops', 'Sirops aromatisés', 'Sirops de violette']",,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,"['E330 - Acide citrique', 'E122 - Azorubine carmoisine', 'E131 - Bleu patenté V', '', 'Risque modéré de sur-exposition']",4,,,,,,,,,,,,,,,,,,,,,,,,,
695,Mesost - Tine,7038010028830,,['France'],[],[],?,448,1874 kj(448 kcal),29,19,"30,7","30,7",11,7,"2,8",,,,,,,,,,,,,,,,,['Tine'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
696,Comté,2600468021586,,['France'],[],[],?,419,1753 kj(419 kcal),"34,5","22,4",0,0,"27,2","1,1","0,44",,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+6%,+6%,-100%,+8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,34.5 g,en quantité élevée,22.4 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,+6%,+3%,-100%,+13%,+13%,14,+4%,D,+4%,,,,,,,,
697,Gourmet beanfeast pâté,5021821011445,"['Végétarien', 'Végétalien', 'Sans colorants']",['France'],[],"['Végétalien', 'Végétarien']",?,251,1050 kj(251 kcal),"15,9","1,3","19,4",3,"8,2","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698,Mimolette,0201057022377,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Mimolettes', 'Fromages-du-nord-pas-de-calais']",,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,Pain aux amandes - Jules Destrooper,5410471914341,,['France'],[],[],?,454,1900 kj(454 kcal),15,7,72,36,7,1,"0,4",,,,,,,,,,,,,,,,,['Jules Destrooper'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,Decaffeinato - Nespresso,7630039677947,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,['Nespresso'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
701,Comportée pommes vanille,0208833010504,,['France'],[],[],?,65,272 kj(65 kcal),"0,2",0,15,15,"0,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Aries Argentine Mendoza Rouge,3760118600765,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,Rôti de Bœuf doré au four - Monique Ranou,3250392725624,"['Viande Française', 'Viande-bovine-francaise']",['France'],[],[],?,115,481 kj(115 kcal),"2,8","1,1","0,7","0,7","21,9","1,95","0,78",,,,,,,,,,,,,,,,,['Monique Ranou'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Sélection automne,3502490218240,,['France'],[],[],?,502,2100 kj(502 kcal),30,"7,4",48,39,8,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,2469435058778,2469435058778,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Carignena,3770000155273,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Blue Elephant Pate De Curry Paneang 70G,8854404005039,,['France'],"['huile de soja', 'piment rouge séché', 'citronnelle ail 14,7%', 'échalote 11 % ', 'sel', 'racine de coriandre 4,3%', 'galanga 4,2%', 'cumin poudre 3,4%', 'graines de coriandre en poudre 1,7%', 'feuilles de kaffir lime', 'poudre Massaman ', 'poudre de coriandre', 'cumin', 'poudre de cardamome', 'anis étoilé', 'noix de muscade', 'poudre de cannelle', 'feuilles de laurier', 'clous de girofle', ' 0,6%', 'acide citrique g15,2%', 'al gen gl ade a ', 'E330', ' 0,4%', 'poivre blanc 0', '4% Stockage']",[],?,316,1322 kj(316 kcal),"25,9","5,3","9,8","8,3","5,4","4,8","1,92",['Sachet'],,70g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Sauces', 'Pâtes de curry']",,+64%,+111%,-23%,+64%,,,,,,,,['Blue elephant'],,['E330 - Acide citrique'],3,25.9 g,en quantité élevée,5.3 g,en quantité élevée,8.3 g,en quantité modérée,4.8 g,en quantité élevée,+65%,+161%,+57%,-31%,-31%,,,,,,['Thaïlande'],,,,,,
708,Elite chocolate Kimberley,5011021402235,,['France'],[],[],?,432,1807 kj(432 kcal),"15,8","8,1","66,8","37,9","4,7","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Briochettes Aux Raisins x5 - 250g - 250g,2030500497688,,['France'],[],[],?,?,,?,,?,,?,,,,,250 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Galette chocolat,0201106049201,,['France'],[],[],?,526,2201 kj(526 kcal),"31,9","16,5","51,8","23,4","7,3","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Mélange Tokyo,2600803016994,,['France'],[],[],?,467,1954 kj(467 kcal),"20,9","5,7","54,8","11,3","13,2","0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,tarte de amêndoa,5604384001032,,['France'],[],[],?,348,1456 kj(348 kcal),8,5,61,50,7,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,poulet petit légumes - la mère Moreau - 400g,3017800236765,,['France'],"['viande de poulet traitée en salaison et précuite 45 % [équivalent viande de poulet crue 46 % ', 'origine: UE', 'eau', 'sel', 'stabilisant triphosphates]', 'poivrons rouges 14%', 'eau', 'oignons', 'concentré de tomates', 'poivrons verts 2,4%', 'olives noires 1', '2% ', 'oli - ves noires', 'eau', 'sel', 'antioxydant: gluconate de ter', 'huile de colza', 'ail en poudre', 'SUcre', 'amidoh modifié de maïs', 'plantes aromatiques', '3el', 'galtants: gomme guar et gomme xa ES thane', 'arômes naturels', 'poivre', ' A LA CASSEROLE verser le contenu de la boîte dans une 12 min', ' casserole et réchauffer 12 minutes à feu dxenremuant de temos en tes suggestion de présentation']","['Non végétalien', 'Non végétarien']",?,68,285 kj(68 kcal),"1,5","0,5","2,9","2,2",10,"0,81","0,324",,,400g,,,,,,,,,,,,,,['la mère Moreau'],,"['E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E412 - Gomme de guar']",4,,,,,,,,,,,,,,,,,,,['locminé'],,,,['Union européenne'],,
714,Chewing-gum erable,0852466006023,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Seashells,3173287125395,,['France'],[],[],?,546,2284 kj(546 kcal),32,18,60,60,4,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Fresubin Asperges - Fresenius Kabi - 200ml,4051895010526,"['en:gluten-free', 'Sans lactose']",['France'],[],[],?,?,,?,,?,,?,,,,,200ml,,,,,,,,,,,,,,['Fresenius Kabi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Pâté de jambon - Dia,8480017749017,,['France'],[],[],?,308,1289 kj(308 kcal),27,12,1,"0,4",15,"1,7","0,68",,,,,,,,,,,,,,,,,['Dia'],,,,,,,,,,,,,,,,,,,,,,,['Dia'],,,,,
718,Petits beurre,7290001813881,,['France'],[],[],?,451,1887 kj(451 kcal),"12,2","6,1",78,21,"7,2","0,241","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Champignons entiers - yofi - 800g,3477320000312,"['Kascher', 'Kascher pareve', 'Sans conservateurs']",['France'],"['No preservatives Ingrediénts: Champignons', 'eau sel', 'acide citrique', 'acide ascorbique']",[],?,85,356 kj(85 kcal),"0,3","0,1",1,"0,2","2,3","0,46","0,184",['Conserve'],A,800 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Champignons et produits dérivés', 'Champignons', 'Champignons en conserve']",,+240%,-32%,0%,+1%,56.0%,0.0%,0.0%,16.0%,22.9%,5.1%,98,['Yofi'],['122017'],['E330 - Acide citrique'],1,0.3 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.46 g,en quantité modérée,+256%,+1%,-44%,-31%,-31%,-3,,A,,,['Cee'],,,,,,
720,Emmental - €co+,2860001019610,,['France'],[],[],1369,?,1369 kj(327 kcal),29,21,"0,5","0,5",27,"0,6","0,24",,,,,,,,,,,,,,,,,['€co+'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
