,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,packaging,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,traceability_code,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,markets,palm_ingredients,allergens,ingredients_origins,link,brand_owner
23,Maïs sans sucre ajouté,3083682625881,['Sans sucre ajouté'],['France'],[],[],?,80,335 kj(80 kcal),"1,9","0,5","10,8","5,2","2,9","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spaghetti alla chitarra - Maestri pastai selection - 500g,8033437010825,,['France'],[],[],?,?,,?,,?,,?,,,,,500g,,,,,,,,,,,,,,['Maestri pastai selection'],,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Saucisse Strasbourg,3291510000544,,['France'],[],[],?,362,1515 kj(362 kcal),34,12,"1,4","1,4",12,"2,1","0,84",,E,,"['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Strasbourg']",,+32%,+40%,-2%,-5%,87.6%,6.5%,1.9%,1.1%,0.6%,2.4%,22,,,,,34 g,en quantité élevée,12 g,en quantité élevée,1.4 g,en faible quantité,2.1 g,en quantité élevée,+32%,+30%,+24%,+8%,+8%,23,+20%,E,+20%,,,,,,,,
26,Aiguillettes de canard,0283064034314,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,"['FR 85.165.001 CE', 'Oie (Vendée, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Crackers sans grain de sel,20969448,['en:palm-oil-free'],['France'],[],['Sans huile de palme'],?,429,1795 kj(429 kcal),11,"1,1",72,"2,3","9,8","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Dattes ajwa de medine,3770006445064,,['France'],[],[],?,287,1201 kj(287 kcal),0,0,"74,3","74,3",3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"Beyaz Peynir, Käse In Salzlake 45%",4260065879676,,['France'],[],[],?,210,879 kj(210 kcal),"16,4","11,6","1,8","1,8","13,8",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2 Cassolettes d'Antan aux Noix de Saint-Jacques cuisinées à la Bretonne - Maréval,3325710520790,"['Point Vert', 'en:produced-in-bretagne']",['France'],"['rigoureusement selectionnés', ' Noix de Saint Jacques ', '40%', ' ', 'Zygochlamys patagonica', 'origine Argentine ', 'A', ' Ou Chlamys opercularis', 'origine Royaume-Uni ', 'B', 'origine Iles Féroé ', 'C', 'oU Chlamys albidus', 'origine Russie ', 'D', 'Ou Chlamys islandica', 'origine Islande ', 'E', 'origine Norvège ', 'F', 'origine Russie ', 'G', ': voir la lettre près du numéro de lot', 'eau', 'champignons émincés ', '7%', ' ', 'champignons', 'eau', 'sel', 'acidifiant acide citrique', 'antioxydant: acide ascorbique', 'beurre ', '6%', 'oignons', 'crème fraîche ', '3%', 'farine de blé', 'poudre de lait', 'Pommeau de Bretagne AOC ', '1%', 'chapelure ', 'contient: gluten', 'amidon modifié de mais', 'fumet de poisson ', 'eau', 'poissons', 'purée de tomates', 'têtes et pattes de langoustines', 'oignons', 'poireaux', 'carottes', 'fécule de pomme de terre', 'sel', 'beurre', 'ail', 'poivre', 'thym', 'fenouil', 'laurier', 'estragon', 'sel', 'ail', 'vinaigre blanc', 'persil', 'poivre', ' Les informations en gras et en italique sont destinées aux personnes intolérantes ou allergiques', ' Malgré tout le soin apporté à la préparation des noix de St-Jacques', ""la présence exceptionnelle de coques n'est pas exclue""]","['Non végétalien', 'Non végétarien']",?,111,464 kj(111 kcal),"6,1",4,"5,2","1,4","8,6",1,"0,4",['cassolette en céramique'],,2,,,,,,,,,,,,,,['Maréval'],"['EMB 29233D', 'Quimperlé (Finistère, France)', 'FR 29.233.500 CE', 'Quimperlé (Finistère, France)']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés']",4,,,,,,,,,,,,,,,,,,,['France'],,,"['Poisson', 'Gluten', 'Lait', 'Mollusques']",,,
31,Pax original recipe - Fazer,6411401037153,,"['Finlande', 'France']","['sakeuttamisaine ', 'E414', 'sokeri', 'glukoosisiirappi', 'lakritsiuute', 'aromit', 'pintakäsittelyaine ', 'E903', ' Saattaa sisältää pieniä määriä vehnää']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,284,1188 kj(284 kcal),0,0,52,40,"0,4","0,13","0,052",,,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,-46%,-100%,-1%,-93%,,,,,,,,['Fazer'],,"[""E414 - Gomme d'acacia"", 'E903 - Cire de carnauba']",4,0 g,en faible quantité,0 g,en faible quantité,40 g,en quantité élevée,0.13 g,en faible quantité,-46%,-100%,-16%,-15%,-15%,11,-55%,D,-55%,,,,,,,,
32,Filet maquereau fumé poivre,2298117024400,,['France'],[],[],?,305,1276 kj(305 kcal),24,"5,5",2,0,21,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Pain de cammagne,8354804050139,,['France'],[],[],?,251,1050 kj(251 kcal),1,"0,2",52,"0,9","7,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
