,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins,producer_info,manufacturing,traceability_code,allergens,link,origin_detail,palm_ingredients,brand_owner
1120,Leerdammer L'Original 12 tranches - 300g,3073781115635,C,Fromage au lait pasteurisé,300 g,['Carton'],['Leerdammer®'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages pasteurisés']",['Riche en calcium'],,['France'],"['Lait pasteurisé', 'sel', 'ferments lactiques', 'enzyme coagulante microbienne']",,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",3,27.5 g,en quantité élevée,18.5 g,en quantité élevée,0 g,en faible quantité,1.5 g,en quantité modérée,?,,352,+12%,1473 kj(352 kcal),+12%,"27,5",+6%,"18,5",+4%,"0,1",-91%,0,-100%,26,+40%,"1,5",+4%,"0,6",+4%,15,+5%,D,+5%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,Fromageries Bel,,,"['Lait', 'Lait et produits laitiers (y compris lactose)']",,,,
1121,Les belles tranches bacon - Justin Bridou - 0.16kg,3449865302664,,Bacon fumé au bois de hêtre,0.16 kg,"['Barquette', 'Plastique']","['Justin Bridou', 'Belles Tranches']","['Viandes', 'Porc', 'Bacon', 'Bacon fumé', 'Bacon en tranche']","['en:gluten-free', 'Sans colorants']",['Bi1'],['France'],"['Viande de porc ', 'origine : UE', 'sel', 'dextrose', 'sucre', ""extraits d'épices"", 'arôme de fumée et/ou arômes', 'conservateurs : lactate de sodium', 'acétates de sodium', 'ascorbate de sodium', 'nitrate de potassium', 'nitrite de sodium', 'ferments', 'Présence possible de fruits à coques et de lait']","['E325 - Lactate de sodium', 'E262 - Acétates de sodium', 'E301 - Ascorbate de sodium', 'E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3.5 g,en quantité modérée,1.3 g,en faible quantité,1 g,en faible quantité,2.7 g,en quantité élevée,543,+4%,129,-3%,543 kj(129 kcal),0%,"3,5",-19%,"1,3",-24%,"1,3",+81%,1,+61%,23,+4%,"2,7",-7%,"1,08",-7%,12,+2%,D,+2%,,,,,,,,['Union européenne'],,,"['FR 38.012.001 CE', 'Aoste (Isère, France)']",['Lait'],,,,
1122,"Pizza N°14 - Tomate, Poulet mariné, Artichaut - Picard - 400g e",3270160891139,,,400 g e,"['Carton', 'Sachet plastique']",['Picard'],"['Surgelés', 'Plats préparés', 'Pizzas tartes salées et quiches', 'Pizzas', 'Pizzas et tartes surgelées', 'Pizzas surgelées']",['IGP'],['Picard'],['France'],"['Farine de blé ', 'gluten', 'pulpe de tomate 15,1%', 'poulet cuit rôti traité en salaison [filet de poulet 10,3% ', 'origine : France*', 'huile de tournesol', 'amidon de pomme de terre', 'sel', 'arôme naturel', 'poivre blanc', 'paprika]', 'artichaut cuisiné ', 'artichaut 6,4%', 'huile de tournesol', 'sel', 'basilic', 'marjolaine', 'persil', 'ail', 'poivre noir', ""correcteur d'acidité : acide citrique"", 'antioxydant acide ascorbique', 'mozzarella ', 'lait', 'sel', 'ferments lactiques', 'coagulant microbien', ""correcteur d'acidité: acide citrique"", ' 7,5%', 'eau', 'demi tomate cerise mi-séchée 3,7%', 'semoule de blé dur ', 'gluten', 'épinard 2%', 'purée de tomate 1,5%', 'fromage râpé ', 'lait', ' 1,2% ', 'huile de tournesol', 'Vinaigre Balsamique de Modène 1,1% [Aceto Balsamico di Modena IGP** ', 'vinaigre de vin', 'moût de raisin cuit', ']', ""huile d'olive vierge extra"", 'sel', 'sucre', ""huile d'olive"", 'oignon', 'farine de blé dur maltée ', 'gluten', 'jus de citron concentré 0,1%', 'amidon transformé de maïs', 'basilic', 'amidon transformé de riz', 'jus de citron vert concentré 0,06%', 'ail', 'persil', 'origan 0,04%', 'levure', 'levure inactive ', 'contient gluten', 'poivre noir', 'enzymes ', 'contient gluten', ""* Issue d'animaux nés"", 'élevés', 'abattus et transformés en France', '* IGP : Indication Géographique Protégée']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E14XX - Amidons modifiés']","['Non végétalien', 'Non végétarien']",4,5.5 g,en quantité modérée,1.4 g,en faible quantité,3.2 g,en faible quantité,1.33 g,en quantité modérée,?,,196,-12%,820 kj(196 kcal),-13%,"5,5",-33%,"1,4",-61%,26,-3%,"3,2",-6%,"9,3",-4%,"1,33",+15%,"0,532",+15%,1,-84%,B,-84%,,,,,,,,,,['Italie'],['IT 892-L CE'],"['Gluten', 'Lait']",,,,
1123,"Innocent pomme, raisin, poire et grenade - 900ml",5038862135443,,,900 ml,"['Bouteille', 'Bouteille en plastique']",['Innocent'],,,,['France'],"['5 pommes pressées ', '65 %', '34 raisins pressés ', '15%', ' 19 framboises mixées ', '5 %', '1/3 de poire mixée ', '5 %', '1/4 de grenade pressée ', '4,8 %', '20 cassis mixés ', '1,8 %', '3/2 mûres mixées ', '1,7 %', 'un peu de jus de citron et un soupçon de jus de betterave']",,[],,,,,,,,,,187,,44,,187 kj(44 kcal),,0,,0,,11,,"9,9",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,
1124,Fromage nature bio à tartiner - Le fromage de margot - 125g,3073781114508,C,Fromage,125 g,['Sous atmosphère protectrice'],"['Le fromage de margot', 'Bel', 'Le fromage margot']","['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à tartiner']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Sans additifs', 'Sans colorants', 'Sans conservateurs', 'AB Agriculture Biologique', 'Agriculture France', 'FROMAGE NATURE', 'Logo bio national AB']",,"['Belgique', 'France']","[""Lait et crème d'origine biologique et française"", 'ferments lactiques', 'sel']",,[],3,30 g,en quantité élevée,20 g,en quantité élevée,3 g,en faible quantité,0.88 g,en quantité modérée,1289,+22%,312,+34%,1289 kj(312 kcal),+31%,30,+44%,20,+42%,3,-11%,3,+1%,"7,5",-10%,"0,88",-25%,"0,352",-25%,12,0%,D,0%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['Sablé sur Sarthe'],Fromageries Bel,['France'],"['FR 72.264.001 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",['Lait'],http://lefromagedemargot.com/,,,
1125,Compotee nectarines blanches - Bonne Maman - 260g,3608580011026,A,,260 g,['Verre'],['Bonne Maman'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', 'Compotes de pêche']",,,['France'],"['Nectarines blanches 75%', 'pêches blanches 11%', 'sucre', 'extrait de jasmin', 'jus de fruit de la passion', 'jus de citrons concentré', ""jus concentré d'acérola"", 'gélifiant : pectines de fruits']",['E440 - Pectines'],[],4,0.3 g,en faible quantité,0 g,en faible quantité,16 g,en quantité élevée,0 g,en faible quantité,?,,74,-22%,310 kj(74 kcal),-22%,"0,3",+62%,0,-100%,16,-26%,16,-23%,1,+46%,0,-100%,0,-100%,-3,,A,,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,,,
1126,Gourmand & Végétal Brassé Vanille - Andros - 400g,3608580016632,,"Spécialité végétale fermentée au lait de coco, à la vanille",400 g,"['Pot', 'Plastique', 'Frais']",['Andros'],"['Desserts', 'Produits fermentés', 'Desserts végétaliens', 'Produits végétaux fermentés', 'Yaourts végétaux']","['Végétarien', 'Végétalien', 'Sans conservateurs']",,['France'],"['Lait de coco allégé 64% ', 'eau', 'extrait de noix de coco', 'eau', 'sucre', 'amidon modifié', 'amidon', 'jus de citron concentré', 'arôme naturel de vanille', 'gousses de vanille épuisées', 'protéines de pois', 'phosphates de calcium', 'concentré de carthame', 'sel', 'ferments,']",['E14XX - Amidons modifiés'],"['Végétalien', 'Végétarien']",4,3.5 g,en quantité modérée,3.2 g,en quantité modérée,9.1 g,en quantité modérée,0.05 g,en faible quantité,409,+29%,97,+21%,409 kj(97 kcal),+23%,"3,5",+27%,"3,2",+264%,16,+65%,"9,1",+19%,"0,4",-87%,"0,05",-50%,"0,02",-50%,6,+934%,C,+934%,,,,,,,,,,,,,https://www.androsvegetal.fr/brasses/brasse-vanille-400g/,,,
1127,Pâte feuilletée - Herta,7613039081488,C,,,"['Film en plastique', 'Etui en carton']",['Herta'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes à tarte', 'Pâtes feuilletées']",,,['France'],[],,[],,20 g,en quantité modérée,12 g,en quantité élevée,1.7 g,en faible quantité,0.89 g,en quantité modérée,?,,396,+4%,1657 kj(396 kcal),+4%,20,-8%,12,+6%,43,+12%,"1,7",+13%,"5,9",+1%,"0,89",-12%,"0,356",-12%,17,+3%,D,+3%,75.8%,9.6%,3.8%,2.8%,1.7%,6.3%,51,,,,,,,,,
1128,Sirop de fraise - Plein sud - 75cL,20020415,A,,75 cL,['Bidon métal'],['Plein sud'],"['Boissons', 'Sirops', 'Boissons sans alcool', 'Sirops aromatisés', 'Sirops de fraise', 'Boissons avec sucre ajouté']","['Sans colorants', 'Sans conservateurs']",,['France'],"['SIROP DE Fraise Sans colorant Sans Conservateu SIROP DE FRAISE', ' gedients: sucre', 'sirop de glucose-fructose', '34% jus defruitsaba concentré ', '29% fraise', '5% baie de sureau', 'eau', 'arome', 'acci acide citrique', ' Sans conservateur', ' Sans c e préparation: verser une dose de sirop pour ou froide', ' Non ouvert à consommer de voir le haut du bidon']",,[],4,,,,,,,,,?,,33,-88%,138 kj(33 kcal),-88%,"0,01",-90%,"0,01",-58%,"8,2",-88%,"7,8",-89%,"0,01",-90%,"0,03",+82%,"0,012",+82%,,,,,58.3%,8.5%,16.3%,7.9%,7.3%,1.6%,100,,,,,,,,,
1129,Tonic Water - Toque du chef - 1kg,20163723,D,Lasagnes à la bolognaise,1 kg,"['Conditionné sous atmosphère protectrice', 'Plastique', 'Frais', 'other plastic-tray']","['Toque du chef', 'Fentimans']","['Plats préparés', 'Plats à base de pâtes', 'Lasagnes préparées', 'Lasagnes à la bolognaise']","['Viande Française', 'Viande Bovine Française', 'Nutriscore', 'Nutriscore C']",['LIDL'],['France'],"['Eau', '24% viande de bœuf crue origine France', '20,4% sauce tomate ', 'eau', 'concentré de tomate', 'semoule de blé dur', '6,4% Emmental ', 'lait', '3,1% oignons', 'lait écrémé en poudre', 'huile de colza', 'farine de blé', 'amidon modifié de maïs', 'sel', 'dérivés de lait', '0,16% ail', '0,11% plantes aromatiques', 'épaississants : farine de graines de caroube', 'gomme xanthane ', ' sucre', 'arômes naturels']","['E14XX - Amidons modifiés', 'E410 - Gomme de caroube', 'E415 - Gomme xanthane']","['Non végétalien', 'Non végétarien']",4,9.2 g,en quantité modérée,4.1 g,en quantité modérée,3.5 g,en faible quantité,0.84 g,en quantité modérée,?,,181,+35%,757 kj(181 kcal),+36%,"9,2",+52%,"4,1",+63%,15,+20%,"3,5",+29%,"8,9",+41%,"0,84",+7%,"0,336",+7%,4,+73%,C,+73%,79.9%,12.1%,2.7%,2.8%,1.5%,1.1%,47,,,"['France', 'Mesidon-Canon', '14270']","['FR 14.431.022 CE', 'Mézidon-Canon (Calvados, France)']","['Gluten', 'Lait']",,,,
1130,Frutos Secos - Muesli Integral - Crownfield - 1000g,20353889,B,,1000g,['Plastic'],['Crownfield'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis']","['Riche en fibres', 'Fabriqué en Allemagne']",['LIDL'],"['France', 'Allemagne', 'Portugal', 'Espagne']","['24% copos de avena integral', '23% copos de trigo integral', '22% copos de centeno integral', '15% uvas pasas sultanas', 'linaza', 'coco rallado', '3% avellanas', 'copos de maíz ', 'maíz', 'azúcar', 'sal extracto de malta de cebada', 'semillas de girasol', ' 1% cacahuetes', '1% almendras']",,[],3,10.8 g,en quantité modérée,2.7 g,en quantité modérée,11 g,en quantité modérée,0.06 g,en faible quantité,?,,381,-8%,1594 kj(381 kcal),-8%,"10,8",-18%,"2,7",-19%,55,-9%,11,-35%,"10,1",+3%,"0,06",-66%,"0,024",-66%,-2,-141%,A,-141%,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,,,,,['Gluten'],,,,
1131,Muesli coustillant - Crownfield - 500g,20775018,,,500 g,['Plastic'],['Crownfield'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']","['Agriculture durable', 'en:UTZ Certified']",['Lidl'],"['France', 'Suisse']","['Steinchen', 'u', 'ä', ' nicht ganz vermeiden', ' Vor Wärme sohüt Tan und trocken lagern', ' technisch bedingt', ' Bei cieser Ware handelt es sich um ein Naturprodukt', ' Trotz mehrfacher Kann Spuren von anderen Schalenfrüchten Erdn issen', 'Soja uni Sesamsamen Kontrollen lassen sich auch bei sorgfatiger Verpackung Fremdkörper ', 'Schalenreste', 'Die Analysenwerte unteriegen den bei enthalten', ' aturprodukten üblichen Schwankungen', ' Füllstand Invertzuckersirup', ' Karamelisirup', 'Speisesal:', 'atu rliches Arni na', ' Zucker', 'Speisesalz', ' Gerstenmalzextrakt', 'Ka ka oulver', 'I lant', 'e', 'drage e ', 'Zucker', 'Mandeln', 'Kakaomasse', 'Kakaobutter', 'Emulgator: Lecitl ine se', ' nus: ke ne', ' ornflakes ', 'Mais', 'pulver', 'Emulgator: Lecithine', 'Palmöl', '4% Za tbittereahalkeledenröllci en ', 'Zucker', 'd Welßer Schokolade ', 'Zucker Vollmichpulver', ' Kakaobutter', 'Kakaomasse', 'Süßmolken - mem', 'Welzenmalzmehl', 'Speisenakl', '7% Scl ol ola lenröllchen aus V illmilchschokolade en: 38 % Hafervollkornflocken', ' Zucker We zenflakes ', 'Weren', 'ipeisesalz', 'Schokolade und Zartbitterschokoladenröll hur', ' Gersvenmalzextrakt', 'Getreideextrudat ', 'Reis mehl', 'Zucker', 'Weizei kl iber', 'Gerstenmalz - Knuspermüsli mit Schokoladenröllchen au: Vollmilchechokolade i nd Weißer Trio Choc Premium Cröwnfield']",['E322i - Lécithine'],[],,16.3 g,en quantité modérée,6.5 g,en quantité élevée,21.9 g,en quantité élevée,0.65 g,en quantité modérée,?,,451,+30%,1887 kj(451 kcal),+29%,"16,3",+185%,"6,5",+311%,"62,4",+6%,"21,9",+285%,"9,9",+5%,"0,65",+116%,"0,26",+116%,12,+636%,D,+636%,,,,,,,,,,,,,,,,
1132,Bio quinoa et légumes - Golden Sun - 250g,20975012,,,250 g,"['Sachet', 'portion']",['Golden Sun'],"['Plats préparés', 'Plats préparés à réchauffer au micro-ondes']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['Lidl'],"['France', 'Allemagne']","['eau', '31% quinoa blond!', '5,3% carotte', '5,3% mais', '53% poivron rouge!,3,4% quinoa rouge', 'ignoni', ""huile d'olive vierge extrat"", 'sel marin', ""purée d'aill"", 'épices', ""issus de l'agriculture biologique"", ' Traces éventuelles de lactose', 'de soja', ""d'æuf"", 'de poissons et de graines de sésame']",,"['Non végétalien', 'Non végétarien']",3,3.2 g,en quantité modérée,0.4 g,en faible quantité,1.5 g,en faible quantité,0.93 g,en quantité modérée,?,,146,+10%,611 kj(146 kcal),+10%,"3,2",-41%,"0,4",-81%,"22,3",+73%,"1,5",-14%,"4,8",-28%,"0,93",+20%,"0,372",+20%,3,+113%,C,+113%,,,,,,,,,,,,,,,,
1133,Thon au naturel - Les Doris - 200g,26015057,E,Thon au naturel,200g,"['Boîte', 'Conserve', 'Métal', 'Couvercle ouverture facile']","['Les Doris', 'doris']","['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', 'Thons au naturel']","['Point Vert', 'Triman', 'Eco-Emballages', ""Numéro d'agrément 1248""]",['ALDI'],"['Canada', 'France', 'Allemagne']","['thon', 'eau', 'sel']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,10 g,en quantité modérée,0.8 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,?,,118,+3%,494 kj(118 kcal),+3%,10,+562%,"0,8",+71%,0,-100%,0,-100%,26,+4%,"1,2",+15%,"0,48",+15%,1,+269%,B,+269%,68.8%,7.5%,16.1%,6.6%,0.5%,0.5%,28,,,['Phillipines'],"['EMB 29046G', 'Douarnenez (Finistère, France)']",['Poisson'],Acqua Terra - 233 Rue de la Croix Nivert - 75015 Paris - France,,,
1134,Cachou - Lajaunie - 6g,30005068,D,Confiserie à la réglisse,6 g,"['Boite', 'Métal']",['Lajaunie'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Bonbons']",,,['France'],"['Extrait de réglisse ', '33 %', 'Sucre', 'Amidon de mais', 'Lactose ', 'de lait', 'Poudre de cachou', ""Poudre d'iris"", 'Arome naturel de menthe', 'Colorant ', 'E153', 'Huile de palme,Résine de lentisque', 'Gélatine', 'Agent denrobage ', 'Cire de carnauba', "" Contient de la réglisse - les personnes souffrant d'hypertension doivent éviter toute consommation excessive""]","['E153 - Charbon végétal médicinal', 'E428 - Gélatine', 'E903 - Cire de carnauba']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,['France'],,,,['Lait'],,,['Huile de palme'],
1135,Légumes pour couscous - d'aucy - 800g,3017800006481,,,800 g,"['Conserve', 'Boîte en métal']","[""d'aucy""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve']",,['Magasins U'],['France'],"['Légumes ', '50%', ' ', 'navets', 'carottes,courgettes', 'pois chiches', 'poivrons rouges et verts', 'garniture de céleri', ' eau', 'sel', 'purée de tomates double concentrée', 'amidon modifié de manioc', 'arôme naturel ', 'céleri', 'extrait de paprika']","['E14XX - Amidons modifiés', 'E160c - Extrait de paprika']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0.3 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.93 g,en quantité modérée,?,,22,-52%,92 kj(22 kcal),-51%,"0,3",-43%,0,-100%,"3,3",-43%,"1,9",-22%,"0,8",-62%,"0,93",+19%,"0,372",+19%,2,,B,,,,,,,,,,,,,['Céleri'],,,,
1136,Sticks d'Alsace 200g - DR. OETKER - 200g,3018930047757,B,Biscuits salés,200 g,"['Sachet', 'Sous atmosphère protectrice']",['DR. OETKER'],"['Snacks', 'Snacks salés', 'Apéritif', 'Biscuits apéritifs']",,['Magasins U'],['France'],"['Farine de blé', ""extrait de malt d'orge"", 'sel', '1,3% huile de tournesol', 'levure', ""correcteur d'acidité : hydroxyde de sodium""]",['E524 - Hydroxyde de sodium'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,3.7 g,en quantité modérée,0.4 g,en faible quantité,3.7 g,en faible quantité,2.5 g,en quantité élevée,?,,387,-17%,1619 kj(387 kcal),-17%,"3,7",-81%,"0,4",-93%,76,+28%,"3,7",-6%,11,+11%,"2,5",+25%,1,+25%,14,-9%,D,-9%,60.4%,21.2%,8.3%,6.3%,3.8%,0.0%,82,,,,,['Gluten'],,,,
1137,La Laitière yaourt liégeois à la framboise - 4x100g,3023290013342,B,,4x100g,"['Pot', 'Carton']",['La Laitière'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts aux fruits', 'Yaourts à la framboise']","['Sans arômes artificiels', 'Point Vert', 'Fabriqué en France', 'Sans colorants', 'Sans conservateurs']",['Leclerc'],['France'],"['Yaourt sucré ', '51,9%', ' lait écrémé', 'crème ', 'lait', 'sucre', 'poudre de lait écrémé', 'protéines du lait', 'ferments lactiques]', 'myrtilles ', '15,1%', 'crème ', 'lait', 'lait écrémé', 'sucre ', '7,5%', 'eau', 'poudre de lait écrémé', 'gélatine bovine', 'épaississant ', 'pectine', 'arôme naturel', 'jus de citron', 'concentré de carottes', ' Lait origine France']","['E428 - Gélatine', 'E440 - Pectines']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,5.8 g,en quantité modérée,3.9 g,en quantité modérée,13.5 g,en quantité élevée,0.12 g,en faible quantité,570,+39%,136,+39%,570 kj(136 kcal),+39%,"5,8",+96%,"3,9",+115%,"13,6",+3%,"13,5",+12%,"3,4",-4%,"0,12",+10%,"0,048",+10%,3,+20%,C,+20%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,['France'],,,['59-165-030'],['Lait'],,,,
1138,"Bouillon à la chinoise - Royco - 47,7g (pour 3sachets), 60cl reconstitué (3x 20cl)",3036810070176,,"Bouillon à la chinoise (légumes, nouilles chinoises et curcuma) déshydraté","47,7 g (pour 3 sachets), 60 cl reconstitué (3 x 20 cl)","['Sachets à jeter', 'Boîte carton à recycler', 'étui:carton']","['Royco', 'Continental Foods', 'CVC Capital Partners']","['Epicerie', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Soupes', 'Bouillons', 'Plats préparés déshydratés', 'Soupes déshydratées']","['Triman', 'Info-tri-point-vert']","['Monoprix', 'Leclerc', 'Magasins U']","['Belgique', 'France']","['Nouilles 39,5 % ', 'farine de blé', 'sel', 'fécule de pomme de terre', 'légumes 11 % ', 'carotte', 'pomme de terre', 'poivron rouge', 'poireau', 'oignon', 'cerfeuil', 'dextrose', 'sel', 'sirop de glucose', 'arômes ', 'contient : blé', 'orge', 'lait', 'exhausteurs de goût ', 'glutamate de sodium', 'E627', 'E631', 'champignons ', 'bolets', ' 3,4 %', 'graisse de poule ', 'antioxydant : E310', ""extrait de malt d'orge"", 'épices et aromates ', 'anis', 'ail', 'curcuma', 'céleri']","['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique', 'E310 - Gallate de propyle']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,29,-79%,121 kj(29 kcal),-79%,"0,3",-88%,"0,05",-95%,"5,7",-74%,"1,3",-65%,"0,9",-76%,"0,92",-70%,"0,368",-70%,,,,,,,,,,,,,,,,"['Céleri', 'Gluten', 'Lait']",http://www.royco.fr/la-gamme-royco/exotique,,,
1139,Penne Rigate - Panzani - 500g,3038350013804,C,Pâtes alimentaires de qualité supérieure,500 g,"['Sachet plastique', 'Film en plastique', 'Enveloppe']",['Panzani'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes sèches', 'Penne', 'Penne rigate']","['Point Vert', 'Nutriscore', 'Nutriscore A', 'Eco-Emballages', 'Garantie Qualité OR']","['Super U', 'Franprix', 'Magasins U']","['France', 'États-Unis']",['100% Semoule de BLE dur'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,2 g,en faible quantité,0.4 g,en faible quantité,3.7 g,en faible quantité,0 g,en faible quantité,1531,+2%,361,+3%,1531 kj(361 kcal),+3%,2,+18%,"0,4",+7%,72,+3%,"3,7",+27%,12,0%,0,-100%,0,-100%,-4,,A,,65.0%,21.6%,6.8%,3.5%,3.1%,0.0%,74,,,,,['Gluten'],"http://www.panzani.fr/produits/toute-gamme-panzani/pates/fantaisies,produits,26,17,50.html",,,
1140,Haché de Jambon - à Pôeler - Fleury Michon - 200g,3095756218011,,"Spécialité hachée à base de jambon, saumurée, cuite",200 g,"['Barquette', 'Film', 'Plastique', 'Barquette', 'Film en plastique', 'Barquette']",['Fleury Michon'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Viandes fraîches', 'Plats préparés à la viande', 'Préparations de viande', 'Préparations de viande fraîches', 'Préparations de viande hachée', 'Plats au porc', 'Réfrigérés', 'Préparations de viande hachées fraîches']","['en:gluten-free', 'Point Vert', 'Arômes naturels', 'Nutriscore', 'Nutriscore C']",['Magasins U'],['France'],"['Jambon de porc 78%', 'eau', 'fécule de manioc', 'sel', 'extraits de levure', 'bouillons ', 'eau', 'os de porc', 'viande de porc', 'plantes aromatiques', 'épices', 'céleri\u200b', 'jus concentré de céleri', 'dextrose de maïs', 'antioxydant : ascorbate de sodium', 'conservateur: nitrite de sodium']","['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,6.3 g,en quantité modérée,2.3 g,en quantité modérée,1.3 g,en faible quantité,1.5 g,en quantité modérée,538,-31%,?,,538 kj(129 kcal),-37%,"6,3",-57%,"2,3",-60%,"2,7",+19%,"1,3",+90%,17,+10%,"1,5",+34%,"0,6",+34%,4,-59%,C,-59%,,,,,,,,,,,,['Céleri'],,,,
1141,LE PUR JUS Ananas - Joker - 1l,3123340003085,D,Jus d'ananas source de vitamine C,1 l,"['Bouteille', 'Plastique']",['Joker'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'ananas"", 'Jus de fruits pur jus', ""Jus d'ananas pur jus""]","['Fabriqué en France', 'Sans sucre ajouté', 'Sans conservateurs', 'Nutriscore', 'Nutriscore C']",['Leclerc'],['France'],"[""Jus d'ananas"", 'vitamine C']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",1,0 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0 g,en faible quantité,206,-2%,48,-4%,206 kj(48 kcal),-0%,0,-100%,0,-100%,"11,6",-1%,"11,6",+2%,0,-100%,0,-100%,0,-100%,5,-4%,C,-4%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,
