,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,quantity,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,traceability_code,markets,additives,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,allergens,brand_owner,ingredients_origins,manufacturing,generic_name,link,palm_ingredients,producer_info
762,Zonnatura cerise,8711812416010,['Zonnatura'],['France'],[],[],?,114,477 kj(114 kcal),"0,5","0,1",25,25,"0,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Jambon supérieur,2273695026442,,['France'],[],[],?,111,464 kj(111 kcal),3,"1,2",1,"0,5",20,"2,1","0,84",,,,,,,,,,,,,,,,,,"['EMB 14752B', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Pre-workout - Eiyolab - 600gr,0634065451219,['Eiyolab'],['France'],"['Beta-alanine', '1-arginine', 'I-citrulline', 'malate de citrulline', 'anti agglomérant ', 'dioxyde de silicone', 'taurine', 'Htyrosine', 'beta vulgaris', 'acide ciique', 'thodiola rosea', 'arôme', 'acétyl I-carnitine', 'caféine', 'colorant ', 'extrait de beerave rouge', 'édulcorant ', 'sucralose', 'niacine ', 'nicotinamide']",[],?,?,,?,,?,,?,,,,,600 gr,"['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Protéines en poudre']",,,,,,,,,,,,,,,,"['E296 - Acide malique', 'E955 - Sucralose']",4,,,,,,,,,,,,,,,,,,,,,,,,,
765,Chopped pork - Campofrio,8410320003803,['Campofrio'],"['France', 'Espagne']",[],[],?,194,812 kj(194 kcal),14,"5,4",1,1,11,"2,3","0,92",,,,['es:Procesado'],,+18%,+134%,-94%,+129%,,,,,,,,,,,,,14 g,en quantité modérée,5.4 g,en quantité élevée,1 g,en faible quantité,2.3 g,en quantité élevée,+17%,+133%,-79%,+435%,+435%,17,+264%,D,+264%,,,,,,,,
766,Soft cloudy tea cakes,8710998419211,,['France'],[],[],?,481,2013 kj(481 kcal),"20,2","9,4","70,2","24,2","4,4","0,2","0,08","['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Miel mil flores - Granja san francisco,8434164525598,['Granja san francisco'],"['Danemark', 'France']",[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'ES-ECO-020-CV']",B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Jack daniel's lemonade - 330ml,5099873009802,"[""Jack Daniel's""]",['France'],[],[],?,?,,?,,?,,?,,,,,330 ml,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Sprink's Ananas - Marque repère,5606456017477,"['Marque repère', ""Sprink's""]",['France'],[],[],?,13,54 kj(13 kcal),"0,1",0,"3,1",3,"0,1","0,1","0,04",,,,"[""Sodas a l'ananas""]",,,,,,,,,,,,,,,['Leclerc'],,,0.1 g,en faible quantité,0 g,en faible quantité,3 g,en faible quantité,0.1 g,en faible quantité,,,,,,0,,B,,,,,,,,,
770,Organic lager - Celia,8594007310412,['Celia'],"['France', 'Espagne']",[],[],?,?,,?,,?,,?,,,['en:gluten-free'],C,,"['Boissons', 'Boissons alcoolisées', 'Bières']",,,,,,6.8%,25.7%,41.7%,16.7%,7.1%,2.0%,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,Elisabeth -,3572710851113,,['France'],[],[],?,?,,?,,?,,?,,,,D,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']",,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
