,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,link,traceability_code,brand_owner,palm_ingredients,producer_info,origin_detail
1873,Benfatti Cherry Tomato Sauce,8032618862956,,,,,,,['France'],[],,[],,,,,,,,,,?,,73,,305 kj(73 kcal),,"3,5",,"0,5",,9,,9,,1,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,
1874,Dinkelmehl Vollkorn -  - 500g,4000406072171,,500 g,['Packung(en)'],,,,"['France', 'Allemagne']",['Dinkelmehl'],['Gluten'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,,?,,357,,1494 kj(357 kcal),,"3,6",,"0,5",,64,,"3,9",,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,Golden Toast American Hamburger - 6pcs,4009249001546,,6pcs,,['Golden Toast'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains']",,"['France', 'Allemagne', 'Luxembourg']",[],,[],,4 g,en quantité modérée,1 g,en faible quantité,7.5 g,en quantité modérée,1.25 g,en quantité modérée,?,,276,-16%,1155 kj(276 kcal),-16%,4,-35%,1,-15%,50,-9%,"7,5",+91%,"8,5",-11%,"1,25",-2%,"0,5",-2%,4,-22%,C,-22%,,,,,,,,,,,,,,,,,,
1876,Praliné à tartiner - Le Comptoir de Mathilde,3700961302997,,,,['Le Comptoir de Mathilde'],,['en:palm-oil-free'],['France'],[],,['Sans huile de palme'],,,,,,,,,,?,,584,,2443 kj(584 kcal),,38,,"2,5",,49,,48,,"8,3",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
1877,Calissons -  - 220g,3465170902160,,220 g,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Calissons']",['Fabriqué en France'],['France'],"['Amandes ', '30%', 'sucre', 'fruits confits ', 'melons ', '22%', ""écorces d'oranges "", '19%', 'sirop de glucose-fructose', ""correcteur d'acidité: acide citrique"", 'conservateur: E220 ', 'sulfites', 'miel', 'sucre inverti', 'sirop de glucose', ""arôme naturel de fleurs d'orangers"", ""blancs d'œufs"", 'pain azyme ', 'fécule de pomme de terre', 'eau', 'huile de tournesol', "" Peut contenir des traces d'autres fruits a coques "", 'noix', 'noisettes', 'pistaches', 'gluten', 'soja et lait']","['Œufs', 'Fruits à coque', 'Anhydride sulfureux et sulfites']","['Sans huile de palme', 'Non végétalien']",4,16 g,en quantité modérée,0 g,en faible quantité,58 g,en quantité élevée,0 g,en faible quantité,?,,400,-10%,1674 kj(400 kcal),-10%,16,-11%,0,-100%,62,+2%,58,+17%,"6,6",-14%,0,-100%,0,-100%,12,-18%,D,-18%,B,,43.9%,29.6%,15.5%,7.5%,3.5%,0.0%,95,"['E330 - Acide citrique', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition']",,,,,,,,
1878,Bloc de foie gras de canard du Perigord - Cellier Sarlat - 180g,3663811046222,,180 g,,['Cellier Sarlat'],"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Bloc de foie gras']",,['France'],"['Foie gras de canard du Périgord', 'eau', 'sel', 'poivre Fabriqué dans un atelier utilisant : oeufs', 'vin ', 'sulfites', 'lait', 'graines de sésame et moutarde']","['Lait', 'Moutarde', 'Graines de sésame', 'Anhydride sulfureux et sulfites']",['Non végétalien'],3,48.7 g,en quantité élevée,20.3 g,en quantité élevée,1.5 g,en faible quantité,1.3 g,en quantité modérée,?,,474,-3%,1983 kj(474 kcal),-3%,"48,7",-4%,"20,3",-6%,2,-6%,"1,5",+13%,"6,7",+9%,"1,3",+7%,"0,52",+7%,20,-2%,E,-2%,B,,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,,,,,,,,,
1879,Cottage cheese -,9310161005051,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,"['Australie', 'France']",[],,[],,2.2 g,en faible quantité,1.5 g,en quantité modérée,4.7 g,en faible quantité,0.3 g,en quantité modérée,?,,355,+52%,1485 kj(355 kcal),+51%,"2,2",-89%,"1,5",-89%,"6,1",+81%,"4,7",+59%,10,+19%,"0,3",-74%,"0,12",-74%,2,-83%,B,-83%,D,['Woolworths'],84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,
1880,Pulsnitzer Lebkuchen - Frenzel - 200g,4012919003221,,200g,['papier plastifié'],['Frenzel'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Gâteaux au chocolat']",,['France'],"['Karamellzuckersirup', 'Schokolde 25% ', 'kaomasse', 'Kakaobutter', 'Butterreinfett', 'Emulgator: Sojalecithin', ' naturliches Vanillearoma', 'Sauerkirschfruchtfüllung 22 % ', 'Sauerkirschkonzentrat 35%', 'Zucker', 'Glucose-Sirup', 'Säuerungsmittel: Citronensäure', 'Verdickungsmittel: Pektin', 'modifizierte Stärke', 'Sauerkirscharoma', 'Konservierungsmittel: Kaliumsorbat', 'Weizenmehl', 'Roggenmehl', 'Weizenmalzmehl', 'Backtriebmittel: Ammoniumhydrogencarbonat', 'Gewürze', 'Leinmehl', 'Zucker']","['Gluten', 'Lait']",['Non végétalien'],4,9.8 g,en quantité modérée,5.8 g,en quantité élevée,47 g,en quantité élevée,0.09 g,en faible quantité,?,,392,-10%,1640 kj(392 kcal),-10%,"9,8",-58%,"5,8",-27%,70,+42%,47,+53%,"4,2",-27%,"0,09",-83%,"0,036",-83%,16,-14%,D,-14%,D,,82.4%,11.4%,2.3%,2.6%,1.2%,0.0%,38,"['E330 - Acide citrique', 'E440 - Pectines', 'E14XX - Amidons modifiés', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', ""E503ii - Carbonate acide d'ammonium""]",,['Pulsnitz'],http://www.pulsnitzer-lebkuchen.de,,,,,
1881,Grill Gemüse - Tiefgefroren,4311501452134,,,,,,,"['France', 'Allemagne']",[],,[],,,,,,,,,,?,,73,,305 kj(73 kcal),,"3,9",,"1,1",,"4,7",,"4,7",,"1,4",,"0,85",,"0,34",,,,,,,,,,,,,,,,,,,,,,,
1882,Buche pâtissière à la crème au beurre - Carrefour - 400g,3245413579256,"Bûche pâtissière – Génoise roulée avec un sirop d'imbibage et une crème au beurre (24%) au praliné, décorée.",400 g,,['Carrefour'],"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Aliments et boissons de Noël', 'Gâteaux', 'Pâtisseries', 'Bûches de Noël', 'Bûches pâtissières']",['Fabriqué en France'],['France'],"['Sirop de glucose', 'sucre', 'farine de blé', 'œufs frais', 'beurre concentré 11,2%', 'praliné 5% [noisettes', 'sucre', 'émulsifiant : lécithines', 'soja', ']', 'sucre liquide', 'amidon de blé', 'stabilisant : glycérol', 'copeaux de chocolat noir 0,7% [sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille]', 'copeaux de chocolat blanc 0,7% [sucre', 'poudre de lait entier', 'beurre de cacao', 'émulsifiant : lécithines ', 'soja', 'arôme naturel de vanille]', 'rhum aromatisé ', 'alcool', 'eau', 'rhum', ""arôme naturel d'orange"", 'colorant : caramel ordinaire', 'poudre à lever : diphosphates et carbonates de sodium ', 'contient blé', 'lait écrémé condensé sucré', 'sel', ""extrait de malt d'orge"", ""émulsifiant : mono et diglycérides d'acides gras"", ""jaune d'œuf en poudre"", 'arôme', ' Décors : Plaque chocolat blanc ', 'chocolat blanc 98 % [sucre', 'beurre de cacao', 'poudre de lait entier', ' émulsifiant : lécithines ', 'soja', ' arôme naturel de vanille]', 'masse de cacao', ' Champignon sucre ', 'sucre 92 %', 'amidon de maïs', 'protéines de lait', 'stabilisant : gomme arabique', 'conservateur : acide sorbique', 'acidifiant : acide citrique', 'colorant : anthocyanes']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Soja']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,15 g,en quantité modérée,8.4 g,en quantité élevée,38 g,en quantité élevée,0.3 g,en quantité modérée,1581,+2%,376,+4%,1581 kj(376 kcal),+4%,15,-21%,"8,4",-24%,58,+35%,38,+24%,"3,2",-17%,"0,3",+39%,"0,12",+39%,21,+8%,E,+8%,D,['Carrefour'],79.8%,13.5%,2.6%,2.8%,1.4%,0.0%,41,"['E322 - Lécithines', 'E422 - Glycérol', 'E150a - Caramel E150a', 'E450i - Pyrophosphate de sodium acide', 'E500 - Carbonates de sodium', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E414 - Gomme d'acacia"", 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E163 - Anthocyanes']",,,,"['EMB 17283A', 'Pons (Charente-Maritime, France)']",,,Fabriqué en France par EMB 17283A pour Interdis,
