,name,bar_code,generic_name,quantity,packaging,brand,categories,labels,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,markets,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,ingredients_origins,manufacturing,link,traceability_code,brand_owner,palm_ingredients,producer_info,origin_detail
179,Huile extra vierge d'olive - Conad,8003170059900,,,,['Conad'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,"['France', 'Italie']",[],,[],,91.6 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3389,-4%,824,-4%,3389 kj(824 kcal),-5%,"91,6",-4%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,D,['Conad'],88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
180,Fette biscottate iposodiche - Conad,8003170060029,,,,['Conad'],,['en:palm-oil-free'],"['France', 'Italie']",[],,['Sans huile de palme'],,,,,,,,,,?,,413,,1728 kj(413 kcal),,"6,2",,"0,6",,75,,"8,4",,12,,"0,04",,"0,016",,,,,,,['Conad'],,,,,,,,,,,,,,,,
181,Semi di chia biologici - Conad,8003170063754,,,,['Conad'],,"['Bio', 'Bio européen', 'IT-BIO-009']","['France', 'Italie']",[],,[],,,,,,,,,,?,,445,,1862 kj(445 kcal),,31,,"3,8",,"4,9",,"0,8",,21,,0,,0,,,,,,,['Conad'],,,,,,,,,,,,,,,,
182,Monari Crema Aceto Balsamico Fragola ML250 - Monari Federzoni,8003185005404,,,,['Monari Federzoni'],"['Epicerie', 'Condiments', 'Crèmes de vinaigre']",,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0.3 g,en quantité modérée,?,,237,+12%,992 kj(237 kcal),+12%,0,-100%,0,-100%,55,+10%,55,+31%,"1,5",+125%,"0,3",+136%,"0,12",+136%,13,+19%,D,+19%,,,,,,,,,,,,,,,,,,
183,Lindt crème de noisettes pâte à tartiner,8003340038803,,,,"['Lindt', 'Lindt & Sprüngli']",,,['France'],[],,[],,,,,,,,,,?,,550,,2301 kj(550 kcal),,32,,"4,5",,56,,45,,10,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,
184,Extra fondente - Lindt,8003340041728,,,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']",,['France'],[],,[],,39 g,en quantité élevée,23 g,en quantité élevée,25 g,en quantité élevée,0 g,en faible quantité,?,,550,-1%,2301 kj(550 kcal),-1%,39,-1%,23,-0%,32,-17%,25,-21%,10,+31%,0,-100%,0,-100%,21,-1%,E,-1%,E,,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,,,,,,,
185,Latte - Lindt,8003340061344,,,,['Lindt'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats au lait']",,"['France', 'Espagne']","['pasta di cacao', 'zucchero', 'cacao magro', 'burro di cacao', 'emulsionante ', 'lecitina di soia', 'bacche di vaniglia', ' Può contenere nocciole', 'mandorle', 'latte']","['Fruits à coque', 'Soja']",[],4,31 g,en quantité élevée,19 g,en quantité élevée,55 g,en quantité élevée,0.36 g,en quantité modérée,?,,539,-3%,2255 kj(539 kcal),-2%,31,-10%,19,-3%,57,+10%,55,+12%,"7,1",-1%,"0,36",+55%,"0,144",+55%,27,+6%,E,+6%,E,,84.1%,11.8%,1.2%,2.5%,0.4%,0.0%,24,,,,,,,,,
186,Œuf en chocolat - Lindor,8003340093222,,,,['Lindor'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",,['France'],"['Sucre', 'matière grasse vegetale ', 'coprah', 'palmite beurre de cacao', 'päte de cacao', 'lar entier en poude bit e en poudre', 'lactose', 'beure laitier concentré', 'émbsien kti de soja', ""extrait de malt d'orge"", 'arômes', 'Peut contenir des noisettes', 'des amandes O Cioccolato al latte con niorbido ripieno Ingredienti: zucchero', 'grasso vegetale ', 'noce di cocco', 'almisti burro di cacao', 'pasta di cacao', 'latte intero in pohere', 'atte scremato in polvere', 'lattosio', 'burro anidro', 'emulsionante lecitina di soia', ""estratto di malto d'orzo"", 'aromi', 'Può contenere nocciole', 'mandorle', 'OMilk chocolate with a smooth melting filling Ingredients: sugar', 'vegetable fat ', 'coconut', 'palm ke', 'coca butter', 'cocoa mass', 'whole milk powder', 'skim milk powder lactose', 'anhydrous milk fat', 'emulsifier ', 'soya lecithin', 'barle malt extract', 'flavings', 'May contain hazelnuis', 'almonds NCETRITION INFORAMATION PER 100g: 2587']",['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,47 g,en quantité élevée,35 g,en quantité élevée,43 g,en quantité élevée,0.23 g,en faible quantité,?,,623,+14%,2607 kj(623 kcal),+14%,47,+39%,35,+89%,44,-18%,43,-17%,"4,9",-22%,"0,23",+28%,"0,092",+28%,27,+5%,E,+5%,,,,,,,,,,,,,,,,,,
187,Œufs en chocolat - Lindor,8003340093949,,,,['Lindor'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Aliments de Pâques', 'Œufs de Pâques', 'Œufs en chocolat fourrés']",,['France'],"['erte Schokolade mit zartschmelzender Fullung Zuckey planziches Fet Nolosnuss', 'Palmkern', 'Makaomasse', 'Volimilchpulver Milchzucker', 'ichpulver', 'Butterreinfet', 'Emulgator ', 'Sojalecithin', 'Gerstenmalzextrakt', 'Aromen', 'Kann Haselnüsse und andere Schalenfrüchte enthalten', 'Assortiment de bonbons de chocolats', ""fourrés d'un supreme fondant Ingrédients sucre"", 'matière grasse végétale ', 'coprin', 'palmiste', 'beurre de cacao', 'pâte de cacao', 'lait entier en poudre', 'lactose', 'lait écrémé en poudre', 'beurre laitier concentre', 'émulsifiant ', 'lécithine de soja', ""extrait de malt d'orge"", 'arômes', ""Peut contenir des noisettes et d'autres fruits à coque"", 'OCioccolatini assortiti con mo bido ripieno Ingredienti: zucchero', 'grasso veg tare cocco', 'palmisti', 'burro di cacao', 'pasta di cacao', 'latte in o in polere', 'lattosio', 'latte scremato in polvere', 'burro anidro', 'emulsionante ', 'lecitina di sola', ""estratto di malto d'orzo"", 'aromi', 'Può contenere nocciole ed altra frutta a guscio', 'Assorted chocolates with a smooth melting filling dents sugar', 'vegetable fat ', 'coconut', 'palm kermel', 'cocoa mas', 'whole milk powder', 'lactose', 'skimmed milk powder', 'antydrous milk fat', 'emulsifer ', 'soya lecithin rley mall exiiact favrine']","['Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,48 g,en quantité élevée,36 g,en quantité élevée,42 g,en quantité élevée,0.18 g,en faible quantité,?,,628,+15%,2628 kj(628 kcal),+15%,48,+42%,36,+95%,43,-20%,42,-18%,"4,3",-31%,"0,18",0%,"0,072",0%,26,+2%,E,+2%,,,,,,,,,,['E322i - Lécithine'],,,,,,['Huile de palme'],,
188,San Bernardo-acqua minerale naturale,8003430501118,,,,,"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales']",,['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,A,-100%,,,,,,,,,,,,,,,,,,
189,Datteri fruit snack,8003435004522,,,,,,,['France'],[],,[],,,,,,,,,,?,,329,,1377 kj(329 kcal),,"0,4",,0,,0,,0,,0,,"0,001",,0,,,,,,,,,,,,,,,,,,,,,,,
190,Gum Sugar Free Spearmint Bottle - Mentos,8003440980712,,,,"['Mentos', 'Sodastream']",,['Contient une source de phénylalanine'],['France'],"['sweeteners ', 'sorbitol', 'maltitol', 'maltitol syrup', 'aspartame', 'acesulfame K', 'gum base', 'stabiliser ', 'glycérol', 'thickener ', 'gum arabic', 'flavourings', 'gelatine', 'emulsifiers ', 'soya lecithin', 'sucrose esters of fatty acids', 'glazing agent ', 'carnauba wax', 'antioxidant ', 'E321', ' Excessive consumptid', ' may produce laxative effects', ' Contains a source of phenylalanine']",['Soja'],"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,165,,690 kj(165 kcal),,0,,0,,67,,67,,1,,0,,0,,,,,,,,,,,,,,,"['E420 - Sorbitol', 'E965 - Maltitol', 'E965ii - Sirop de maltitol', 'E951 - Aspartame', 'E950 - Acésulfame K', 'E422 - Glycérol', ""E414 - Gomme d'acacia"", 'E428 - Gélatine', 'E473 - Sucroester', '', 'Risque élevé de sur-exposition', 'E903 - Cire de carnauba', 'E321 - Butylhydroxytoluène']",,,,,,,,
191,Tramezzino,8003490032683,,,['Sachet'],,,,"['Autriche', 'France']",[],,[],,,,,,,,,,?,,249,,1042 kj(249 kcal),,"3,8",,"0,4",,"44,2",,"4,4",,"7,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,
192,Grissini crocchini al rosmarino in bustine monoporzione,8003490043900,,,,,,,['France'],[],,[],,,,,,,,,,?,,419,,1753 kj(419 kcal),,"8,2",,"3,5",,"70,8",,"1,7",,"12,5",,"2,7",,"1,08",,,,,,,,,,,,,,,,,,,,,,,
193,Roberto Tortillas GR 240,8003490045591,,,,['Roberto'],,,['France'],[],,[],,,,,,,,,,?,,307,,1284 kj(307 kcal),,"5,7",,"1,3",,"55,7",,"1,4",,"7,2",,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,
194,Huile d'olive - Zucchi - 250ml,8003540019169,,250 ml,"['Bouteille', 'Verre']",['Zucchi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],"[""Huile d'olive extra vierge 97,5 %"", 'piment entier déshydraté 1,5 %', 'arôme naturel au piment 1 %']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,91.6 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0.5 g,en quantité modérée,3389,-4%,824,-4%,3389 kj(824 kcal),-5%,"91,6",-4%,13,-7%,0,,0,,0,,"0,5",+991963%,"0,2",+991963%,8,+30%,C,+30%,C,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,['Italie'],,,,,,
195,Huile d'olive - Zucchi - 2l,8003540072416,,2 l,['Bidon'],['Zucchi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],"[""huile d'olive vierge extra""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",2,24 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0.8 g,en quantité modérée,?,,823,-4%,3443 kj(823 kcal),-4%,24,-75%,14,0%,0,,0,,0,,"0,8",+1587202%,"0,32",+1587202%,17,+176%,D,+176%,D,['Cosco'],88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['Union européenne'],,,,,,,
196,Olio extra vergine di oliva - Zucchi,8003540207313,,,,['Zucchi'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]","['Bio', 'Bio européen', 'IT-BIO-009']",['France'],"['CONTROLLATO E CERTIFICATO DA CCPB wvavxcpbjt - info accpbit ORGANISMO 01 COUTROLLO AUTORIZZATO - BIO 009 6795 OPERATORt COUTROttATO n', ' DICHIARAZIONE NUTRIZIONALE NUTRITION DECLARATION/ DECIARATION NUTRITIONNELLE/ NÂHRWERTDEKIARATION Enercia/ EnerfVi 8281cal', ' Grassi / ', ' rett 92 di cui aadi gràssi d3von Carboidtati / di ai']",,[],,92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,828,-3%,3464 kj(828 kcal),-3%,92,-4%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,C,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
197,Gocce pasticcere di cioccolato fondente,8003600008522,,,,,,['en:gluten-free'],['France'],[],,[],,,,,,,,,,?,,483,,2021 kj(483 kcal),,26,,16,,57,,53,,"5,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,
198,Olio extra vergine di oliva l'originale -  - 500ml,8003710096051,,500 ml,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,"['France', 'Italie']",[],,[],,91.6 g,en quantité élevée,13 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,824,-4%,3448 kj(824 kcal),-4%,"91,6",-4%,13,-7%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,D,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,
199,Soffio di risp - Sarchio,8003712007505,,,,['Sarchio'],,['en:gluten-free'],['France'],[],,[],,,,,,,,,,?,,553,,2314 kj(553 kcal),,"33,7",,20,,"54,2",,"45,8",,"7,3",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,
200,Quinoa Soffiata - Sarchio,8003712009882,,,,['Sarchio'],,"['Bio', 'Bio européen', 'en:gluten-free', 'IT-BIO-009']",['France'],[],,[],,,,,,,,,,?,,352,,1473 kj(352 kcal),,"1,4",,"0,2",,78,,"0,4",,"4,8",,"0,07",,"0,028",,,,,,,,,,,,,,,,,,,,,,,
201,Arrighi Fusilli,8003740036072,,,,['Arrighi'],,,['France'],"['durum Wheat semolina', 'water', ' of egg', ' ', 'F', ' PATES ALIMENTAIRES DE QUALITÉ svpÉR/fURE - Produit en Italie', ' Ingrédients: semoule de blé dur de qualité svpé', 'ieure', ""Peut untenir des traces d'eufs"", ' ', 'D', ' TEIGWAREN']",['Œufs'],[],,,,,,,,,,?,,348,,1456 kj(348 kcal),,"1,1",,"0,1",,71,,"3,5",,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
202,Bitter - Derby Blue - 600ml (6 * 100ml e),8003830002017,Boisson sans alcool,600 ml (6 * 100 ml e),"['Bouteille', 'Verre', 'Carton']",['Derby Blue'],"['Boissons', 'Boissons sans alcool', 'Boissons avec sucre ajouté']","['Fabriqué en Italie', 'Sans alcool']",['France'],"['Eau', 'sucre', 'sirop de glucose-fructose', 'anhydride carbonique', 'arômes', 'acidifiant : acide citrique', 'colorants : E122', 'E102']",,"['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,0 g,en faible quantité,0 g,en faible quantité,14 g,en quantité élevée,0 g,en faible quantité,?,,56,+47%,234 kj(56 kcal),+40%,0,-100%,0,-100%,14,+62%,14,+90%,0,-100%,0,-100%,0,-100%,18,+156%,E,+156%,,,,,,,,,,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique', 'E122 - Azorubine carmoisine', 'E102 - Tartrazine']",,['Italie'],,,,,,
203,Granforno Grissini Pizza - 125g,8003899181081,,125 g,['Karton'],['Granforno'],"['Biscuits et gâteaux', 'Pâtisseries']","['Point Vert', 'Fabriqué en Italie']","['France', 'Allemagne', 'Italie']",[],,[],,6.7 g,en quantité modérée,1.1 g,en faible quantité,2.3 g,en faible quantité,2.3 g,en quantité élevée,?,,396,+5%,1657 kj(396 kcal),+6%,"6,7",-60%,"1,1",-86%,"70,7",+47%,"2,3",-92%,"11,8",+120%,"2,3",+456%,"0,92",+456%,15,-12%,D,-12%,,,,,,,,,,,,['Italien'],,,,,,
204,Bonta Divina tiramisu,8003938001325,,,,['Tiramisu'],,['Sans conservateurs'],['France'],"[""Savourez un moment de plaisir à l'état pur grâce notre gamme de desserts traditionnels exquis"", "" Nous confectionnons chaque cuifterée avec le plus grand soin pour vous assurer des instants de détente rien qu'à vous GenieBen Sie mit uns e ren traditioneuen Desserts wahre Gaumenfreuden"", ' Jeder verführt zu el nem entspannenden Moment - nur f ur Sie', ' ', 'cae axe-c ex sauce au calé']",,[],,,,,,,,,,?,,184,,770 kj(184 kcal),,"2,6",,"1,5",,31,,20,,"4,5",,"0,16",,"0,064",,,,,,,,,,,,,,,,,,,,,,,
205,Pesto Calabrese - Monti,8003979002657,,,,['Monti'],,['Sans gluten'],['France'],"['Pulpe de tomates', 'fromage ricotta ', '6%', ' ', 'lactosérum de brebis', 'sel', 'huile de tournesol', 'sirop de glucose', 'concentré de tomates', 'sel', 'poivrons ', '1%', 'oignon', 'basilic Italien ', '1%', 'sucre,', ""ail,' piment "", '0,3%', 'poivre', 'Conservateur: sorbate de potassium', ' Sans gluten']",,['Non végétalien'],4,,,,,,,,,?,,106,,444 kj(106 kcal),,"5,9",,"1,5",,10,,"8,4",,"2,2",,"1,9",,"0,76",,,,,,,,,,,,,,,"['E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,,,,,,,
206,Thon à l'huile d'olive - Rio mare - 80g,8004030005075,,80g,,['Rio mare'],"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Thons', 'Thons en conserve', ""Thons à l'huile"", ""Thons à l'huile d'olive""]",,"['Belgique', 'France']",[],,[],,37 g,en quantité élevée,6 g,en quantité élevée,0 g,en faible quantité,1.1 g,en quantité modérée,?,,403,+59%,1686 kj(403 kcal),+61%,37,+113%,6,+98%,0,-100%,0,-100%,17,-28%,"1,1",+13%,"0,44",+13%,14,+160%,D,+160%,E,,66.2%,13.9%,12.9%,6.2%,0.4%,0.4%,22,,,,,,,,,
207,Filetti di sgombro grigliati piccanti con olio di oliva - Rio mare - 120g,8004030622135,,120 g,['Lattina'],['Rio mare'],"['Produits de la mer', 'Poissons']","['Pêche durable', 'Pêche durable MSC']","['France', 'Italie']","[""Ingredenti sgombro' 84%"", 'olio d olia 10%,peperoncino 5%,sale', 'aroma Scomber scombrus']",,[],,27 g,en quantité élevée,5.3 g,en quantité élevée,0.2 g,en faible quantité,1.2 g,en quantité modérée,?,,309,+62%,1293 kj(309 kcal),+63%,27,+139%,"5,3",+125%,"0,5",-76%,"0,2",-65%,16,-13%,"1,2",-22%,"0,48",-22%,13,+89%,D,+89%,,,,,,,,,,,,,,,,,,
208,Profiteroles - Mamma Maria - 180g (2 * 90g),8004083000515,Profiteroles,180 g (2 * 90 g),"['Fraiis', 'Carton', 'Plastique']",['Mamma Maria'],"['Biscuits et gâteaux', 'Pâtisseries', 'Réfrigérés', 'Profiteroles']",['Sans conservateurs'],"['France', 'Italie']",[],,[],,12 g,en quantité modérée,9 g,en quantité élevée,19.9 g,en quantité élevée,0.3 g,en quantité modérée,?,,265,-8%,1109 kj(265 kcal),-7%,12,-17%,9,+0%,"29,6",-3%,"19,9",+3%,"6,3",+24%,"0,3",+8%,"0,12",+8%,16,+10%,D,+10%,C,,74.4%,15.8%,4.8%,2.5%,2.6%,0.0%,65,,,,,,,,,
209,Mozzarella di bufala campana - lupara - 200g,8004127000068,,200 g,,['Lupara'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Fromages au lait de bufflonne', 'Mozzarella', 'Mozzarella de bufflonne']",,"['France', 'Italie']","['Latte di bufala pastorizzato', 'siero Innesto naturale', 'caglio', 'sale']",,['Non végétalien'],3,23.3 g,en quantité élevée,16.5 g,en quantité élevée,0.6 g,en faible quantité,0.4 g,en quantité modérée,?,,280,+4%,1172 kj(280 kcal),+5%,"23,3",+1%,"16,5",+4%,"0,6",-19%,"0,6",-2%,"17,2",+19%,"0,4",-35%,"0,16",-35%,9,-12%,C,-12%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,['IT F2W0S CE'],,,,
210,Torroncini - Sperlari - 130g,8004190351944,,130 g,,['Sperlari'],,,"['France', 'Suisse']","['Amandes ', '45%', 'sucre', 'sirop de glucose-fructose', 'amidons', 'sirop de glucose', 'miel ', '2%', 'oublies ', 'amidon de pommes de terre', 'eau', 'huile végétale ', 'palme', ""blanc d'oeuf"", 'arômes']","['Œufs', 'Fruits à coque']","['Huile de palme', 'Non végétalien']",4,,,,,,,,,2108,,504,,2108 kj(504 kcal),,"25,8",,"3,5",,53,,"45,7",,"10,7",,0,,0,,,,,,,,,,,,,,,,,,,,,['Huile de palme'],,
211,Jambon blanc - Casa Modena - 110g,8004225044360,,110 g,,['Casa Modena'],"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",['en:gluten-free'],"['France', 'Italie']","['coscia di suino', 'sale', 'destrosio', 'aromi', 'antiossidante: ascorbato di sodio', 'conservante: nitrito di sodio']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,2 g,en faible quantité,0.8 g,en faible quantité,1.1 g,en faible quantité,1.9 g,en quantité élevée,?,,102,-23%,427 kj(102 kcal),-22%,2,-58%,"0,8",-57%,"1,1",+64%,"1,1",+85%,20,-5%,"1,9",+2%,"0,76",+2%,4,-43%,C,-43%,E,,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,"['E301 - Ascorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,['IT 172-L CE'],,,,
212,Aceto Balsamico,8004250091650,,,['Bottle'],,,,['France'],[],,[],,,,,,,,,,?,,156,,653 kj(156 kcal),,59,,32,,35,,12,,"0,9",,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,
213,Pesto Alla Genovese,8004263664872,,,,,"['Epicerie', 'Sauces', 'Sauces Pesto', 'Pestos au basilic']",['en:gluten-free'],['France'],[],,[],,45.5 g,en quantité élevée,6.3 g,en quantité élevée,4.5 g,en faible quantité,3 g,en quantité élevée,?,,491,+9%,2054 kj(491 kcal),+10%,"45,5",+3%,"6,3",-4%,"14,2",+141%,"4,5",+97%,"5,1",+8%,3,+21%,"1,2",+21%,22,+13%,E,+13%,C,,77.0%,10.9%,4.6%,4.2%,2.0%,1.4%,56,,,,,,,,,
214,Confiture extra - Pam & Panorama,8004263671795,,,,['Pam & Panorama'],,,['France'],[],,[],,,,,,,,,,?,,130,,544 kj(130 kcal),,0,,0,,51,,45,,0,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,
215,Fagioli Cannellini bio - Pam & Panorama,8004263672792,,,,['Pam & Panorama'],,"['Bio', 'Bio européen', 'IT-BIO-008']",['France'],[],,[],,,,,,,,,,?,,93,,389 kj(93 kcal),,"0,5",,0,,13,,"1,2",,"6,4",,"0,71",,"0,284",,,,,,,,,,,,,,,,,,,,,,,
216,Amareti morbidi di mombaruzzo -,8004263673027,,,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Amaretti']",,['France'],[],,[],,3.6 g,en quantité modérée,0.6 g,en faible quantité,52.1 g,en quantité élevée,0.08 g,en faible quantité,?,,406,-10%,1699 kj(406 kcal),-10%,"3,6",-80%,"0,6",-66%,"90,3",+49%,"52,1",-6%,"2,9",-66%,"0,08",-9%,"0,032",-9%,15,+4%,D,+4%,C,,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,,,
217,Pane al farro,8004263689592,,,,,,,['France'],[],,[],,,,,,,,,,?,,270,,1130 kj(270 kcal),,"5,4",,"0,6",,43,,"3,5",,"9,3",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,
218,Gelato d'Italia coupes glacees cioccolato - Gelato Italia,8004362001417,,,,['Gelato Italia'],['Desserts'],,['France'],"['Lait écremé rehydraté', ' eau', ' sucre', ' sirop de glucose - fructose? huile de coco? beurre concentrè? lactose et protéines du lait', ' coquilles de chocolat blanc et au lait 3% ', 'sucre? beurre de cacao', ' lait entier en poudre', "" pâte de cacao'"", 'lactose? émulsifiants ', 'lécithines: contient arôme naturel de vanille', ' de rose', ' cacap maigre en oudre', ' pâte de cacao', ' emulslfiants mono - et dyglicérides des acides gras', ' épaississants ', 'farine de graine de caroube', ' gomme uar', ' pectine', ' chocolat au lait 2% ', 'sucre', "" beurre de cacao'"", 'lait ehtier en poudre', ' pâte de cacao?', 'émulsifiants ', 'lécith', 'ines', ' contient', 'oja', ' colorants ', 'chro énoides', 'rocou ', ' arômes', ' Peut contenir des traces de gluten', 'œuf', 'cacahouete et fruit a coque']",['Lait'],['Non végétalien'],4,12 g,en quantité modérée,9.2 g,en quantité élevée,27 g,en quantité élevée,0.2 g,en faible quantité,?,,231,+31%,967 kj(231 kcal),+31%,12,+77%,"9,2",+155%,28,+18%,27,+47%,"2,4",-24%,"0,2",+50%,"0,08",+50%,16,+136%,D,+136%,,,,,,,,,,"['E322 - Lécithines', 'E410 - Gomme de caroube', 'E440 - Pectines', 'E160b - Rocou']",,,,,,,,
219,Elah Crème caramel - 100g,8004610101043,Elah preparato per Crème caramel con caramello,100 g,,"['Elah', 'Elah-Dufour']","['Snacks', 'Snacks sucrés', 'Confiseries', 'Caramels', 'it:Creme-caramel']","['Sans gluten', 'Fabriqué en Italie']","['France', 'Allemagne', 'Italie', 'Suisse']","['Preparato ', 'zucchero', 'amido di mais', 'gelificante: carragenina', 'aromi naturali', 'sale', 'colorante: annatto', 'Caramellato ', 'sciroppo di glucosio', 'zuccheri caramellizzati', 'sciroppo di glucosio-fruttosio']",,[],4,1.4 g,en faible quantité,0.8 g,en faible quantité,18.9 g,en quantité élevée,0.19 g,en faible quantité,465,-71%,110,-71%,465 kj(110 kcal),-71%,"1,4",-86%,"0,8",-87%,"20,9",-71%,"18,9",-63%,"3,3",+79%,"0,19",-71%,"0,076",-71%,3,-86%,C,-86%,,,,,,,,,,"['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E160b - Rocou']",['Italie'],,,,,,,
