,name,bar_code,eco_score,quantity,packaging,brand,categories,ingredients_origins,manufacturing,markets,sales_countries,ingredients_list,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,generic_name,allergens,additives,link,palm_ingredients,brand_owner
1641,Schweineschmalz - Emergency Food - 350g,5060428432574,B,350 g,['Dose'],['Emergency Food'],"['Matières grasses', 'Matières grasses animales', 'Saindoux']",,,,"['France', 'Allemagne']",['Schweineschmalz'],[],,?,,?,,?,,?,,?,,71.8%,7.7%,7.7%,6.9%,4.7%,1.2%,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1642,Muesli croustillant banane vanille,3760222092142,,,,,,,,,['France'],[],"['Végétalien', 'Végétarien']",,?,,395,,"9,4",,"60,8",,"12,5",,,,,,,,,1653 kj(395 kcal),1,21,0,0,"['Bio', 'Végétarien', 'Bio européen', 'en:gluten-free', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,
1643,Mangue biologique,3700353614479,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,
1644,Rotkraut - Dosen Bistro - 400g,5060428432185,A,400 g,['Dose'],['Dosen Bistro'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes-feuilles', 'Choux cabus', 'Chou rouge']",,,,"['France', 'Allemagne']",[],[],,?,,?,,?,,?,,?,,59.0%,0.0%,0.0%,14.5%,17.3%,9.2%,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,"Chouquettes Intermarché ""moche""",0000168013126,,,,,"['Snacks', 'Snacks sucrés', 'Viennoiseries']",,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,Bio Vollmilch (Instant) - Emergency Food - 350g,5060428433328,C,350 g,['Dose'],['Emergency Food'],"['Produits laitiers', 'Laits', 'Laits entiers']",,,,"['France', 'Allemagne']",[],[],,?,,?,,?,,?,,?,,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,"['Bio', 'Bio européen', 'DE-ÖKO-007']",,,,,,,,,,,,,,,,,,,,,,,,
1647,Truite fumée,3444940003214,D,,,,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,,,['France'],[],[],,?,,?,,?,,?,,?,,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,"['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,
1648,0252211106457,0252211106457,,,,,,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Mentos Pure White Sugar Free - 60gr,80745204,,60gr,,['Mentos'],,,,,"['Belgique', 'France']",[],[],,?,,181,,"0,2",,73,,0,,,,,,,,,757 kj(181 kcal),"0,2",0,"0,78","0,312",,,,,,,,,,,,,,,,,,,,,,,,,
1650,Biraben,3292320041277,,,"['Bocal', 'Verre']",['Biraben'],,,,,['France'],[],[],,?,,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
