,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
20,Paupiette de dinde,2142436003021,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,203,,849 kj(203 kcal),,14,,"4,7",,0,,0,,20,,"0,96",,"0,384",,,,,,,,,,"['FR 56.257.001 CE', 'Trinité-Porhoët (Morbihan, France)']",,,,,,,,
21,Paupiettes de dinde - Boucherie,2142438007744,,,['Boucherie'],,,,,['France'],"['Ingredients ', ' Farce ', '60 % ', ' : Viande rouge de dinde ', '58', '4 0%', 'peau de volaille ', '38', '9 %', 'sel', 'dextrose', 'épices et plantes aromatiques', 'acidifiant : —262', 'antioxydant E300', 'arômes naturels et arômes de fumée', 'colorant El 62', ' Tranche de filet de dinde 40 % Allergènes ""traces éventuelle de "" : blé', 'soja', 'lait']",['E300 - Acide ascorbique'],,"['Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,203,,849 kj(203 kcal),,14,,"4,7",,0,,0,,20,,"0,96",,"0,384",,,,,,,,,,"['FR 56.257.001 CE', 'Trinité-Porhoët (Morbihan, France)']",,,,,,,,
22,Petit salé aux lentilles vertes - Monique ranou - 330g,2143619693077,330g,,['Monique ranou'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Petits salés aux lentilles']","['Nutriscore', 'Nutriscore A']",,['Intermarché'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,C,,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,
23,Poulet Fermier Bio,2144860012358,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",,,['France'],[],,,[],,,,,,,,,,?,,155,,649 kj(155 kcal),,"7,3",,"1,9",,"0,2",,"0,04",,22,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,
24,Cuisses de poulet fermier,2145940003853,,,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']","['Bio', 'Bio européen']",,,['France'],[],,,[],,6.1 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,0.2 g,en faible quantité,?,,134,-30%,561 kj(134 kcal),-30%,"6,1",-51%,"1,4",-58%,"0,1",-69%,0,-100%,20,+9%,"0,2",-74%,"0,08",-74%,-3,-185%,A,-185%,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
25,Tilsiter à la crème - Naturaplan Coop,2147863005051,,,['Naturaplan Coop'],,['Bio'],,,['France'],[],,,[],,,,,,,,,,?,,388,,1623 kj(388 kcal),,34,,21,,0,,0,,21,,2,,"0,8",,,,,,,,,,,,,,,,,,
26,Grandino Pépites de Chocolat & Noix de Coco - Sondey - 200g,21417167,200 g,"['Carton', 'Plastique', 'boîte']","['Sondey', 'Lidl']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Cookies', 'Cookies au chocolat', 'Cookies au chocolat et à la noix de coco']",,,['Lidl'],['France'],[],,,[],,32 g,en quantité élevée,20 g,en quantité élevée,28 g,en quantité élevée,1.17 g,en quantité modérée,2189,,?,,2189 kj(523 kcal),+6%,32,+7%,20,+14%,51,-4%,28,-1%,6,+3%,"1,17",+55%,"0,468",+55%,27,+22%,E,+22%,Grandino Pépites de Chocolat & Noix de Coco,,,C,,77.9%,13.1%,3.5%,3.4%,2.1%,0.0%,56,
27,Saumon sauce oseille & torsades - Toque du Chef - 300g,21418767,300 g,,['Toque du Chef'],"['Plats préparés', 'Plats à base de pâtes', 'Plats préparés au poisson', 'Plats au saumon']",,,['Lidl'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
28,Barres céréales Canneberge - Cerise  - Crownfield,21422677,,,['Crownfield'],"['Snacks', 'Snacks sucrés', 'Barres', 'Barres de céréales']",['Sans sucre ajouté'],,['Lidl'],['France'],[],,,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,
29,Salade d’algues Goma-Wakame,2150138007056,,,,,,,,['France'],[],,,[],,,,,,,,,,?,,80,,335 kj(80 kcal),,4,,1,,10,,6,,1,,"1,9",,"0,76",,,,,,,,,,,,,,,,,,
