,name,bar_code,quantity,packaging,brand,categories,labels,link,markets,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,palm_ingredients,eco_score,traceability_code,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,ingredients_origins
1006,Filets de poulet Rôti - Le gaulois,2431628025652,,,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé,protéines de pois', 'fibres de carotte', 'épaississant : carraghénanes?']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1007,Filets de Poulet Rôti - Le Gaulois,2431628026178,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,6.15 g,en quantité modérée,1.62 g,en quantité modérée,0.54 g,en faible quantité,1.3 g,en quantité modérée,?,,152,+16%,636 kj(152 kcal),+17%,"6,15",+114%,"1,62",+117%,"0,54",+13%,"0,54",+122%,"23,08",+1%,"1,3",+73%,"0,52",+73%,2,,B,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1008,Filets de Poulet Rôti - Le Gaulois,2431628026505,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1009,Filets de poulet rôti - Le Gaulois - 230gr,2431628026574,230 gr,['Sous plastique'],['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets']",,http://www.le gaulois.fr,['Carrefour'],['France'],"['Filets de poulet avec peaux', 'eau', 'sel', 'huile de tournesol', ' sucre roux', 'sirop de glucose', 'protéines de pois', 'fibres de carottes', ' carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en quantité modérée,?,,151,0%,632 kj(151 kcal),+0%,"5,8",-0%,"1,4",-7%,"0,5",-75%,"0,2",-55%,24,+18%,"1,4",+63%,"0,56",+63%,3,+113%,C,+113%,Filets de poulet rôti,['Sarthe'],,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,['France']
1010,Filet de poulet roti - Le Gaulois,2431628026963,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,2",-58%,"0,2",-18%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1011,Filet de poulet roti - Le Gaulois,2431628027038,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.2 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,2",-58%,"0,2",-18%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1012,Blanc de Poulet Grillé Rôti ou Cuit au Four (Peau Pas Mangée) - Le Gaulois,2431628027168,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau Origine France', 'eau', 'sc', ""'"", 'hUlle de tournesol', 'sucre roux', 'sirop de glucose de blé,protéintf de pois', 'fibres de carotte', 'épaississant : carcaghénanes', ' 109 g de filets de poulet mis en ?uvre pour et 100 g de produit Finl À conserver entre OOC']",,,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1013,Filets de Poulet Rôti - Le Gaulois,2431628027427,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : carraghénanes', '109 g de filets de poulet mis en ?uvre pour 100 g de produit fini']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1014,Filets de poulet rôti - Le Gaulois,2431628027816,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : carraghénanos', ' 109 g de filets de poulet mis en ?iJVre pour 100 g de produit finie']",,,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1015,"filet de poulet roti - Le Gaulois - 0,224kg",2431628028141,"0,224 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1016,"Filets de poulet roti - Le Gaulois - 0,244kg",2431628028219,"0,244 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,5",+4%,"0,5",+106%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1017,Filets de Poulet Rôtis - Le Gaulois,2431628028271,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1018,Filets de poulet rôti - Le Gaulois,2431628028479,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'seu huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : carraghénanes', ' 109 g de filets de poulet mis en ?uvre pour 100 g de produit fini', ' À conserver entre']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1019,Filets de Poulet rôti - Le Gaulois,2431628028738,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.001 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,001",-100%,"0,001",-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1020,Filets de poulet rôtis - Le gaulois - 0275kg,2431628028806,0275 kg,,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,1,+109%,1,+312%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1021,Filet de poulet roti - Le Gaulois,2431628028868,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.001 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,001",-100%,"0,001",-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1022,Cookies peanut - Marks & Spencer,2431628029193,,,['Marks & Spencer'],,,,['Marks & Spencer'],['France'],"['Wheatflour Gluten ', 'With Wheatflour', 'Calcium Carbonate', 'Iron', 'Niacin', 'Thiamin', ' • Butter ', 'Milk', ' ', '21%', ' • Sugar Demerara Sugar • Ground Roasted Peanuts ', '10%', ' • Roasted Salted Peanut Pieces ', '8%', ' • Golden Syrup ', 'Invert Sugar Syrup', ' • Pasteurised Semi-Skimmed Milk • Salt • Raising Agent: Sodium Bicarbonate', 'E503', 'E450', ' For allergéns see ingredients in bold', 'Suitable for', 'vegetarians NUTRITION serves/Portions/Porties: 10 per per cookie,""\'']","['E500ii - Carbonate acide de sodium', ""E503 - Carbonates d'ammonium"", 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition']",['Lait'],[],4,,,,,,,,,?,,525,,2197 kj(525 kcal),,"29,3",,"13,5",,"55,4",,28,,"8,8",,"0,53",,"0,212",,,,,,,,,,,,,,,,,,
1023,Filets de poulet roti - Le Gaulois,2431628029582,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],"['filets de poulet avec peau origine France', 'eau', 'se huile de tournesol', 'sucre toux', 'sirop de glucose de blé,protéine de pois', 'fibres de carotte', 'épaississant : carraghénanes', "" 109 g deftlets de poulet mis en ?uvre pour et 100 g de produit fini À conserver entre O'C""]","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1024,"Filet de poulet rôti - Le Gaulois - 0,294kg",2431628029780,"0,294 kg",,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1025,Filets de poulet rôti - Le Gaulois,2431628029858,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.44 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,44",+92%,"0,576",+92%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1026,Filets de poulet roti - Le Gaulois,2431628030441,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de de blé', 'protéines de pois', 'fibres de carottes', 'épaississant : carraghénanes • 109 g de filets de poulets mis en œuvre pour 100g de produit fini']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.0001 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,"0,001",-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1027,Filet de poulet roti - Le gaulois,2431628030571,,,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1028,Filets de poulet rôti - Le gaulois - 0260kg,2431628030700,0260 kg,,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : caraghénanes', ' 109 9 de filets de poulet mis en ?uvre pout 100 g de produit finq conserver entre OOC et +40C', 'dont dont Acides Glucides fibres sel Protéines sucres alimentaires gras saturés']",,,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,"0,1",-83%,"0,1",-77%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1029,Filet de poulet rôti - Le Gaulois,2431628030960,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,"0,1",-83%,"0,1",-77%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,D,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1030,Filets de poulet roti - Le gaulois,2431628031165,,,['Le gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : carraghénanes']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1031,Filets de poulet rôti - Le Gaulois,2431628031424,,['Barquette'],['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet', 'Filets de poulet rotis']",,,,['France'],"['Filets de poulet avec peau origine France', 'eau', 'sel huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'protéines de pois', 'fibres de carotte', 'épaississant : carraghénanes', '109 g de filets de poulet mis en ?uvre pour 100 g de produit fini']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+4%,632 kj(151 kcal),+4%,"5,8",+8%,"1,4",+3%,0,-100%,0,-100%,24,+2%,"1,4",+4%,"0,56",+4%,3,+17%,C,+17%,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1032,Filet de poulet rôti - Le Gaulois,2431628031813,,['Barquette'],['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['Filets de poulet avec peau origine France', 'huile de tournesol', 'sucre roux', 'sirop de glucose de blé', 'pt de pois', 'fibres de carotte', 'épaississant : carraghénanes', ' 109 g de filets de poulet mis en ?uvre pour de 100 g']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,"['FR 72.264.002 CE', 'Sablé-sur-Sarthe (Sarthe, France)']",83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1033,Filets de Poulet Rôti - Le Gaulois,2431628031882,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1034,Filet de poulet roti - Le Gaulois,2431628032148,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1035,Filet de poulet rôti - Le Gaulois,2431628032476,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1036,Filet de poulet rôti - Le Gaulois,2431628032544,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],"['filets de poulet avec peau origine France', 'eau', ' s huile de tournesol', 'sucre rot', 'X', 'sirop de glucose de blé', ""proté'r de pois"", 'fibres de carotte', 'épaississant : carraghénanes', ' 109 g de filets de poulet mis en ?uvre pour 100 g de produit À conseovecentreoecet+4sc']","['E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",,[],4,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1037,Filets de poulet rôti - Le Gaulois,2431628032605,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1038,Filet de poulet roti - Le Gaulois,2431628032674,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,1 g,en faible quantité,1.4 g,en quantité modérée,?,,15,-89%,63 kj(15 kcal),-88%,"5,8",+101%,"1,4",+88%,1,+109%,1,+312%,24,+5%,"1,4",+87%,"0,56",+87%,2,,B,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1039,Filets de Poulet Rôti - Le Gaulois,2431628032735,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,6.1 g,en quantité modérée,1.6 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"6,1",+112%,"1,6",+114%,"0,6",+25%,"0,5",+106%,23,+1%,"0,5",-33%,"0,2",-33%,-1,,A,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1040,Filets de poulet rôti - Le Gaulois,2431628032995,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1041,Filets de poulet rôti - Le Gaulois,2431628033060,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,1",-79%,"0,1",-59%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1042,Filets de poulet rôti - Le Gaulois,2431628033138,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,"0,5",+4%,"0,5",+106%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1043,Filets de poulet rôti - Le Gaulois - 0.278,2431628033190,0.278,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
1044,Filets de poulet ROTI - Le Gaulois,2431628033268,,,['Le Gaulois'],"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",['Sans conservateurs'],,,['France'],[],,,[],,5.8 g,en quantité modérée,1.4 g,en faible quantité,0 g,en faible quantité,1.4 g,en quantité modérée,?,,151,+15%,632 kj(151 kcal),+16%,"5,8",+101%,"1,4",+88%,0,-100%,0,-100%,24,+5%,"1,4",+87%,"0,56",+87%,3,,C,,,,,D,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,
