,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,packaging,generic_name,ingredients_origins,manufacturing,allergens,nova_score,link,brand_owner,additives
28,Coconut milk powder mix - Maggi - 1kg,7613035852440,['France'],[],[],?,650,2720 kj(650 kcal),52,"44,2","37,8","8,3","7,8","0,3","0,12",,['Maggi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 kg,,,,,,,,,,,
29,Le Moissac des cevennes,3303320001489,['France'],[],[],?,340,1423 kj(340 kcal),27,19,"1,1","1,1",21,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 48.097.011 CE', 'Moissac-Vallée-Française (Lozère, France)']",,,,,,,,,
30,Pain tournesol maïs,0260041011155,['France'],[],[],?,282,1180 kj(282 kcal),"4,6","0,5","47,6","6,6","10,3","1,23","0,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Eclairs au chocolat - 280g,3316631000003,['France'],[],[],?,242,1013 kj(242 kcal),11,"5,8",31,19,"4,7","0,46","0,184",,,,"['Biscuits et gâteaux', 'Pâtisseries', 'Éclairs', 'Éclairs au chocolat']",11 g,en quantité modérée,5.8 g,en quantité élevée,19 g,en quantité élevée,0.46 g,en quantité modérée,,-5%,-5%,-11%,0%,-2%,-6%,+8%,+20%,+20%,14,+9%,D,+9%,,,,,,,,280 g,,,,,,,,,,,
32,Filet de poulet,2424532043034,['France'],[],[],?,458,1916 kj(458 kcal),"1,8","0,5",0,0,23,"0,13","0,052","['Nutriscore', 'Nutriscore A']",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.8 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,0.13 g,en faible quantité,,+250%,+253%,-38%,-33%,-100%,-100%,+1%,-83%,-83%,0,,B,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,
33,Salade de fruit sun,8717215057829,['France'],[],[],?,52,218 kj(52 kcal),"0,1",0,"11,7","11,1","0,2","0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Bouchées panées - Carrefour,3540071623106,['France'],[],[],?,281,1176 kj(281 kcal),16,"2,6",24,"3,6","9,3","0,62","0,248",,['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Carrefour'],,,,,,,,,,
35,5kg,3218930110004,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5 kg,,,,,,,,,,,
36,Velouté d'asperges et pommes de terre,3760168117060,['France'],[],[],?,57,238 kj(57 kcal),2,1,2,1,1,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 08.180.009 CE', 'Francheville (Ardennes, France)']",,,,,,,,,
37,Piémontaise au jambon supérieur,2253048010502,['France'],[],[],?,177,741 kj(177 kcal),14,"1,3","7,9","0,8","4,7","1,1","0,44","['Viande Française', 'Viande Porcine Française']",,C,"['Plats préparés', 'Produits à la viande', 'Salades', 'Plats préparés à la viande', 'Salades composées', 'Plats au porc', 'Plats à base de pommes de terre', 'Salades de pommes de terre', 'Salades piémontaises', 'Salades piémontaises au jambon']",14 g,en quantité modérée,1.3 g,en faible quantité,0.8 g,en faible quantité,1.1 g,en quantité modérée,,+18%,+19%,+31%,+26%,-5%,+11%,+15%,+10%,+10%,5,+49%,C,+49%,72.8%,14.2%,6.7%,3.8%,2.0%,0.5%,58,,,,,,,,,,,,
