,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,markets,traceability_code,packaging,generic_name,ingredients_origins,manufacturing,allergens,nova_score,link,brand_owner,additives
1180,Chou de Bruxelles petits,5411361341704,['France'],[],[],?,45,188 kj(45 kcal),"1,3","0,3","2,7","2,4","3,5","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,8 mini beignets fourrés pomme,0202780022634,['France'],[],[],?,328,1372 kj(328 kcal),17,"7,8",38,11,"5,3","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Pastilles miel et citron,3110770300198,['France'],[],[],?,382,1598 kj(382 kcal),"0,5","0,01","95,4","86,4","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,Pilons de poulet - La Nouvelle Agriculture,0213328022047,['France'],[],[],?,134,561 kj(134 kcal),"6,9","1,8",0,0,18,"0,25","0,1",,['La Nouvelle Agriculture'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Fit chocolate,4251397240128,['France'],[],[],?,0,0 kj(0 kcal),0,0,"15,13","2,55","50,75","1,86","0,744",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Haricots blancs tomate et graisse d oie,3574311020387,['France'],[],[],?,118,494 kj(118 kcal),"3,4","0,9",12,"0,6",7,"0,96","0,384",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Oro nobile,8033378343334,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Canette,0217138068158,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Penne rigate - Barilla - 800g,93233798,['France'],[],[],?,359,1502 kj(359 kcal),2,"0,5","70,9","3,5","12,8","0,013","0,005",,['Barilla'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Penne', 'Penne rigate']",2 g,en faible quantité,0.5 g,en faible quantité,3.5 g,en faible quantité,0.013 g,en faible quantité,,+2%,+1%,+18%,+34%,+1%,+20%,+7%,+11%,+11%,-1,,A,,,,,,,,,800 g,,,,,,,,,,,
1189,Antipasta,4061458009195,"['France', 'Pays-Bas']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,100% pur jus de pomme,3036855095615,['France'],[],[],?,44,184 kj(44 kcal),0,0,11,10,0,0,0,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,-4%,-4%,-100%,-100%,0%,-4%,-100%,-100%,-100%,4,-4%,C,-4%,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,
1191,Morbier,2266193023617,['France'],[],[],?,357,1494 kj(357 kcal),29,20,1,1,23,"1,3","0,52",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",29 g,en quantité élevée,20 g,en quantité élevée,1 g,en faible quantité,1.3 g,en quantité modérée,,+1%,+1%,+1%,+3%,+29%,+141%,+2%,-9%,-9%,14,-6%,D,-6%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1192,Vegan protein - Eafit,3518681010043,['France'],[],"['Végétalien', 'Végétarien']",?,355,1485 kj(355 kcal),"4,1","0,8",6,"0,5",71,3,"1,2","['Végétarien', 'Végétalien']",['Eafit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Sardines à la Tomate,3250390577058,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Gyoza Schwein - Steinhaus,4009337904148,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,['Steinhaus'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Tenders de poulet - Oriental Viandes - 400g,3700141400758,['France'],[],[],?,222,929 kj(222 kcal),"10,1","1,4","18,6","1,4","15,1","0,92","0,368",['Halal'],['Oriental Viandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,
1196,Stremel Lachs mit Pfeffer,4057295220138,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,Haddock,0240609034185,['France'],[],[],?,101,423 kj(101 kcal),"0,7","0,1",0,0,24,"4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Fourme d'Albert,0208846017514,['France'],[],[],?,296,1238 kj(296 kcal),24,16,5,0,18,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,Boudin a tartiner - 90g,3760239753012,['France'],[],[],?,158,661 kj(158 kcal),"10,4","4,3","0,8","0,2",13,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 g,,,,,,,,,,,
1200,Crêpes rhum *6 (360gr),0203400019355,['France'],[],[],?,258,1079 kj(258 kcal),"9,7","1,3",37,20,"5,2","0,35","0,14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Pommes Cueillies à Maturité,3000097035302,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,parmigiano raggiano,2135081002044,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Saucisson de l'Ardèche,0241864059104,['France'],[],[],?,375,1569 kj(375 kcal),29,13,"3,7",1,25,"5,4","2,16",['IGP'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Blanc de poulet,0217230053205,['France'],[],[],?,?,,?,,?,,?,,,['Point Vert'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 72.168.001 CE', 'Loué (Sarthe, France)']",,,,,,,,,
1205,Miel de sapin,3770005159153,['France'],[],[],?,?,,?,,?,,?,,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de sapin']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,
1206,ข้าวกะเพราไก่+ไข่ดาว - ezygo - 265g,8851351381780,"['France', 'Thaïlande']","['ข้าวสวยหอมบะลิ 54% กะเพราไก่ ', 'นื้อไก่ ใบกะเพรา', 'กระทียม', 'น้ำมันถั่วเหลือง', 'น้ำมันปาล์ม', 'พริก และครื่องปรุงรส', ' 31% ไข่ดาว 15% ', 'วัตถุปรุงแต่งรสอาหาร ', 'ไม่โนโซเดี่ยมกลูตามต', 'ไดโซเดียม 5-ไรโบนิวคลีโอไตด์', 'สีสังเคราะห์ ', 'NS 150d', 'วัตถุคือปนอาหาร ', 'NS 428', 'NS 1442', ' - ข้อมูลสำหรับผู้เพ้อาหาร: มีเป็นสาลี', 'หอยนางรu', 'ปลา และถั่วเหลือง - ผลิตภัณฑ์นี้ใช้กลือบริโภคเสริมไอโอดีน']",['Huile de palme'],?,181,758 kj(181 kcal),"6,04","1,51","23,8","0,755","7,92","0,642","0,257",,"['Ezygo', 'อีซี่โก', '7-11', 'CP', 'ซีพี']",E,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à la volaille']",6.04 g,en quantité modérée,1.51 g,en quantité modérée,0.755 g,en faible quantité,0.642 g,en quantité modérée,,+4%,+6%,-30%,-46%,+133%,-50%,-23%,-31%,-31%,1,-73%,B,-73%,78.2%,13.6%,2.4%,3.4%,1.4%,1.0%,44,265 g,,,['Tray'],,,,['Aucun'],,,,
1207,Haricots verts extra fins - Iglo - 50g,5414807002764,['France'],[],[],?,37,155 kj(37 kcal),"0,5","0,5","5,1","0,4","2,4","0,01","0,004",,['Iglo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,,,,
1208,Pulpe de salicorne,3770008348196,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Pâté de la fermière,3330720661357,['France'],[],[],?,289,1209 kj(289 kcal),26,9,2,"0,5",12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Limonade - Lorina,3551720004498,['France'],[],[],?,?,,?,,?,,?,,,,['Lorina'],,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Limonades']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,8032584250573,8032584250573,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Morro Frito,2075207002759,['France'],[],[],?,564,2360 kj(564 kcal),"36,5","11,45","2,1","0,4","56,8","1,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Ultraleanig35 - 2kg,8492552395093,['France'],[],[],?,420,1757 kj(420 kcal),"4,1","2,3","40,9","10,8",55,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 kg,,,,,,,,,,,
1214,Apple & leader flower,5020934002586,['France'],[],[],?,38,159 kj(38 kcal),"0,1","0,1","10,1","9,7","0,5","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,P.guintrand,3443541232009,['France'],[],[],?,16,67 kj(16 kcal),"0,1",0,"3,4","2,12","0,81","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Fleurs d épices tendre curry - Aromandise,3560468797593,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],['Aromandise'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,BCAA 2:1:1,3662072027544,['France'],[],"['Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"['Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,Ravioli à la viande braisée,8020083170010,['France'],[],[],?,216,904 kj(216 kcal),"5,1","1,8","30,2",12,"11,2","0,36","0,144",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,Comté,0211944027163,['France'],[],[],?,418,1749 kj(418 kcal),34,24,1,"0,5",27,"0,85","0,34",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",34 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.85 g,en quantité modérée,,-0%,-0%,-2%,+6%,+116%,+87%,+0%,+1%,+1%,13,0%,D,0%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,
1220,Tomme du Sud Ouest,2487993019093,['France'],[],[],?,370,1548 kj(370 kcal),31,21,"1,2","0,5",21,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,0200116014568,0200116014568,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Moelleux pepite chocolat,3523680435247,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,Moelleux chocolat,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Pépites de poulet panées - 400g,3701004806014,['France'],[],[],?,218,912 kj(218 kcal),15,"1,1",15,"1,1",18,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 g,,,,,,,,,,,
1225,"Brie de Meaux, collet cru",0205734009774,['France'],[],[],?,289,1209 kj(289 kcal),23,16,0,0,21,"1,7","0,68",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",23 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.7 g,en quantité élevée,,+4%,+3%,+6%,+5%,-100%,-100%,+1%,-5%,-5%,15,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,,
1226,Tarte aux pommes - Leclerc,,['France'],[],[],?,242,1013 kj(242 kcal),"8,9",6,37,24,"2,5","0,41","0,164",,['Leclerc'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Jus de raisin,3770003489115,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Filets de poulet blanc fermier d'Auvergnr,0287457038705,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['EMB 03236', 'Saint-Germain-des-Fossés (Allier, France)', 'FR 03.236.001 CE', 'Saint-Germain-des-Fossés (Allier, France)']",,,,,,,,,
1229,Biscuits fruités figues - 225g,3760191330177,['France'],[],[],?,?,,?,,?,,?,,,"['Sans colorants', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225 g,,,,,,,,,,,
1230,Paniers feuilletes - Française de Gastronomie - 340g,3576280233577,['France'],[],[],?,337,1410 kj(337 kcal),24,13,22,"2,2","7,6",1,"0,4","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",['Française de Gastronomie'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340 g,,,,,,,,,,,
1231,Huile d'olive - I Baroni,8032529647253,['France'],[],[],3389,824,3389 kj(824 kcal),92,14,0,0,0,0,0,['Fabriqué en Italie'],['I Baroni'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",92 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,-4%,-4%,-5%,-4%,0%,,,,-100%,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,
1232,Saucisse sèche,2274841030962,['France'],[],[],?,424,1774 kj(424 kcal),36,"13,71",1,1,23,"5,3","2,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Tajine aux citrons,3760260370301,['France'],[],[],?,141,590 kj(141 kcal),"5,5","1,8","3,9","1,6","16,9","0,93","0,372",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Brie de Meaux AOP,2488033022837,['France'],[],[],?,289,1209 kj(289 kcal),22,15,"0,5","0,5",22,"1,8","0,72",,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages à pâte molle à croûte fleurie', 'Fromages de France', 'Bries', 'Brie de Meaux']",22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+4%,+3%,+1%,-2%,+5%,+98%,+6%,+1%,+1%,15,-1%,D,-1%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,"['FR 69.273.010 CE', 'Corbas (Rhône, France)']",,,,,,,,,
1235,Bière blanche tête haute bio,3770012285043,['France'],[],[],?,?,,?,,?,,?,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,Tropical leche & frutas -,8410877255373,['France'],[],[],176,41,176 kj(41 kcal),0,0,10,9,"0,2","0,25","0,1",,,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Produits laitiers', 'Boissons à base de végétaux', 'Boissons lactées', 'Boissons aux fruits', 'Boissons au lait et au jus de fruits']",0 g,en faible quantité,0 g,en faible quantité,9 g,en quantité élevée,0.25 g,en quantité modérée,-16%,-5%,-5%,-100%,-100%,+1%,-3%,-69%,+3431%,+3431%,13,+5%,E,+5%,56.0%,3.7%,13.8%,19.1%,5.7%,1.6%,49,,,,,,,,,,,,
1237,Fto KRD Zeezoutmix Groene Kruiden,8711741006313,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Escalopes de Dinde Auchan,2600491020792,['France'],[],[],?,105,439 kj(105 kcal),"0,5",0,"0,5",0,25,"0,1","0,04",,['Auchan'],D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.1 g,en faible quantité,,-13%,-13%,-62%,-100%,-83%,-100%,+9%,-82%,-82%,-4,,A,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,['Auchan'],,,,,,,,,,
1239,Café & leche macchiato - Tirma,8413200000619,['France'],[],[],?,208,870 kj(208 kcal),"10,3","6,5","21,3","21,3","7,3","0,44","0,176",,"['Tirma', 'Kalise']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Tripes basquaises - Hiruak,15058973,['France'],[],[],?,83,347 kj(83 kcal),"1,2","0,6","1,9","1,7",15,"0,9","0,36",,['Hiruak'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Baro vin blanc,3770001286884,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Vinagre Balsámico,8437003173868,['France'],[],[],?,160,669 kj(160 kcal),0,0,35,33,"0,5","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Liqueur avec oeufs,5412137701227,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Coupe profiteroles caramel,0205261032146,['France'],[],[],?,284,1188 kj(284 kcal),17,"8,6",30,24,"2,2","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Filet d'anchois,8005469940807,['France'],[],[],?,915,3828 kj(915 kcal),13,"2,2",0,0,27,"14,6","5,84",,,B,"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois""]",13 g,en quantité modérée,2.2 g,en quantité modérée,0 g,en faible quantité,14.6 g,en quantité élevée,,+349%,+342%,+5%,-8%,-100%,-100%,+29%,+119%,+119%,22,+77%,E,+77%,64.2%,0.0%,6.1%,25.8%,3.1%,0.8%,78,,,,,,,,,,,,
1246,Chico mix,2600123058902,['France'],[],[],?,563,2356 kj(563 kcal),"40,8","17,5","39,9","37,6","9,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,0208744013120,0208744013120,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,100% pur jus d'orange - Leader Price,3263857484516,['France'],[],[],?,47,197 kj(47 kcal),0,0,11,10,0,0,0,,['Leader Price'],D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', ""Jus d'orange"", 'Jus de fruits pur jus', ""Jus d'orange pur jus""]",0 g,en faible quantité,0 g,en faible quantité,10 g,en quantité élevée,0 g,en faible quantité,,+9%,+8%,-100%,-100%,+13%,+9%,-100%,-100%,-100%,4,+34%,C,+34%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,['Leader Price'],,,,,,,,,,
1249,Saucisses aux lentilles - Le Vieux Chêne,3563480000283,['France'],[],[],?,148,619 kj(148 kcal),"7,5","3,1",8,"0,6","10,5","0,73","0,292",,['Le Vieux Chêne'],C,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de lentilles', 'Saucisses aux lentilles']",7.5 g,en quantité modérée,3.1 g,en quantité modérée,0.6 g,en faible quantité,0.73 g,en quantité modérée,,+7%,+8%,+13%,+26%,-0%,-26%,+31%,-22%,-22%,2,+12%,B,+12%,64.9%,20.7%,7.0%,3.9%,2.1%,1.5%,59,,,,,,,,,,,,
1250,Cerneaux de noix,3583281238814,['France'],[],[],?,?,,?,,?,,?,,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix', 'Cerneaux de noix']",,,,,,,,,,,,,,,,,,,,,,,87.8%,0.0%,4.7%,2.4%,3.2%,2.0%,36,,,,,,,,,,,,
1251,Bigoli - 250g,8021228310001,['France'],[],[],?,286,1197 kj(286 kcal),"3,2",1,"52,8","1,6","9,8","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 g,,,,,,,,,,,
1252,Jus de poire petillant La Ribaude,3302791237236,['France'],[],[],?,50,209 kj(50 kcal),0,0,12,"9,8",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Compote poires williamd,3770014286079,['France'],[],[],?,353,1477 kj(353 kcal),"0,29","0,07","18,14","16,08","0,53","0,005","0,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,Terra Bio,3760093633543,['France'],[],[],?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Bleu - 170g,0746395219084,['France'],[],[],?,20,84 kj(20 kcal),16,8,40,0,4,40,16,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170 g,,"['FR 42.168.001 CE', 'Pélussin (Loire, France)']",,,,,,,,,
1256,Budinca Capsuni 40G Dr. oetker Pudding Di Frgola 40G Dr. oetker,5941132300031,['France'],[],[],?,446,1866 kj(446 kcal),3,"1,8","16,6","10,9","2,9","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Paris Brest,0209429019024,['France'],[],[],?,?,,?,,?,,?,,,,,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Paris-Brest']",,,,,,,,,,,,,,,,,,,,,,,74.4%,15.8%,4.4%,3.1%,2.3%,0.0%,60,,,,,,,,,,,,
1258,Patatas fritas elaboración artesana bolsa 300 g - Roman Duran,8436044310058,['France'],[],[],?,577,2414 kj(577 kcal),39,3,47,"0,5","6,8","0,3","0,12",,['Roman Duran'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Corsica Tapas - 770g,3425475121048,['France'],[],[],?,392,1640 kj(392 kcal),41,"5,9","1,5",0,"2,6","3,2","1,28",['en:gluten-free'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770 g,,,,,,,,,,,
1260,Chinoise Strauss - 200g,7613312271094,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
1261,Chinoise Kalb - 450g,7613312266564,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450 g,,,['Pack'],,,,,,,,
1262,"Couronne cuit sur sole, fait maison",0200264006231,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Chinoise Rind&Kalb -  - 600g,7613312259283,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 g,,,['Pack'],,,,,,,,
1264,Sedanini broccoli bio - 200g,8021228901513,['France'],[],"['Végétalien', 'Végétarien']",?,256,1071 kj(256 kcal),"1,4","0,3","48,9","1,8","8,6","0,04","0,016","['Bio', 'Végétarien', 'Végétalien']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,,,,
1265,2 Madeleines - Nutella,2836772020995,['France'],[],[],?,485,2029 kj(485 kcal),27,15,54,38,"6,5","0,51","0,204",,['Nutella'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Dijon Senf - Épicerie Fine - 200g,4334011200903,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,,['Épicerie Fine'],B,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes', 'Moutardes de Dijon']",,,,,,,,,,,,,,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,200 g,,,['Glas'],,,,,,,,
1267,L'explosion,3760232050798,['France'],[],[],?,50,209 kj(50 kcal),"8,1","1,7",26,"4,4","5,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,8436038413611,8436038413611,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Tomates sechees,2600102031353,['France'],[],[],?,114,477 kj(114 kcal),0,0,25,21,0,"4,06","1,624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
