,name,bar_code,packaging,brand,sales_countries,ingredients_list,additives,allergens,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,ingredients_origins,manufacturing,traceability_code,labels,markets,generic_name,brand_owner,palm_ingredients,link
10,Poulet jaune pret a cuire - La Nouvelle Agriculture,0213319045659,,['La Nouvelle Agriculture'],['France'],[],,,[],,?,179,749 kj(179 kcal),11,"2,8",0,0,20,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,La creme forestiere - Maison Prunier,2470746013387,,['Maison Prunier'],['France'],[],,,[],,?,311,1301 kj(311 kcal),29,12,"2,4","0,5",10,"1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Concours général agricole', ""Médaille d'or du Concours général agricole"", ""Médaille d'or du concours général agricole 2018""]",,,,,
12,Thé Vert Menthe,3760034620472,,,['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés à la menthe', 'Thés verts à la menthe']",,,,,,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,
13,Fruits frais découpés,3561422254244,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans additifs', 'Sans conservateurs']",,,,,
14,Bonbons Fourrés Au Miel - 200g,3111111160198,,,['France'],[],,,[],,?,402,1682 kj(402 kcal),"0,05",0,"98,9",81,"0,06","0,015","0,006",E,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Produits de la ruche', 'Bonbons', 'Bonbons au miel']",0.05 g,en faible quantité,0 g,en faible quantité,81 g,en quantité élevée,0.015 g,en faible quantité,,+5%,+4%,-82%,-100%,+5%,+17%,-86%,-25%,-25%,15,+8%,D,+8%,90.3%,5.0%,2.2%,2.0%,0.5%,0.0%,34,200 g,,,,,,,,,
15,Saucisson sec,2240697035758,,,['France'],[],,,[],,?,385,1611 kj(385 kcal),31,12,"3,3",0,24,2,"0,8",D,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",31 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,2 g,en quantité élevée,,-4%,-5%,-2%,-2%,+48%,-100%,-13%,-57%,-57%,22,-8%,E,-8%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,
16,Galantine au foie gras - 180g,2100305999998,,,['France'],[],,,[],,?,125,523 kj(125 kcal),"5,4",2,"1,3","0,1","17,8","1,88","0,752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180 g,,,,,,,,,
17,Saucisson,2225780095185,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,"['Viandes', 'Charcuteries', 'Saucissons']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,
18,Jambonneau,3380241012312,,,['France'],[],,,[],,?,259,1084 kj(259 kcal),21,"7,2","0,5","0,5",17,"1,8","0,72",,"['Viandes', 'Charcuteries', 'Charcuteries cuites']",21 g,en quantité élevée,7.2 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,,+55%,+61%,+148%,+123%,-64%,-31%,-9%,-5%,-5%,17,+77%,D,+77%,,,,,,,,,,,,,,,,,
19,Epicerie / Epicerie Sucrée / Aides à La Pâtisserie - La Pateliere,3278584340097,,['La Pateliere'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Filet de poulet - Auchan,2600495025588,,['Auchan'],['France'],[],,,[],,?,110,460 kj(110 kcal),"1,5","0,5","0,5","0,5",24,"0,1","0,04",D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",1.5 g,en faible quantité,0.5 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,,-16%,-15%,-48%,-33%,+4%,+106%,+5%,-87%,-87%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,['Auchan'],,,,
21,Protein33,9400580147910,,,['France'],[],,,[],,?,329,1377 kj(329 kcal),"6,4","3,1","33,1","28,7","33,9","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rosé moelleux - 75cl,3021891400752,['bouteille en verre'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75 cl,,,,,,,,,
23,8005415001576,8005415001576,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,château reynaud lacoste - 385ml,3423290197071,['bouteille en verre'],,['France'],[],,,[],,?,?,,?,,?,,?,,,,"['Boissons', 'Boissons alcoolisées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385 ml,,,,,,,,,
25,Queues de crevettes cuites,2298130036084,,,['France'],[],,,[],,?,126,527 kj(126 kcal),"4,8","0,6","0,5","0,5",21,"1,9","0,76",D,"['Produits de la mer', 'Crustacés', 'Crevettes', 'Queues de crevettes']",4.8 g,en quantité modérée,0.6 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+29%,+29%,+176%,+43%,-3%,+136%,+11%,+28%,+28%,4,+78%,C,+78%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,
26,Pollen Mille Fleurs,3760023950481,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['en:gluten-free', 'Sans colorants', 'Sans conservateurs']",,,,,
27,Crema Tartuffô,8005978008005,,,['France'],[],,,[],,?,461,1929 kj(461 kcal),51,"7,6",10,"1,4",0,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['en:gluten-free'],,,,,
28,Master,5283003305111,,['Master'],['France'],[],,,[],,?,551,2305 kj(551 kcal),"33,3","15,3","50,7","2,7","9,7","7,9","3,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Miel de lavande - Bona Mel,8437014473261,,['Bona Mel'],['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']",,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,"['Bio', 'Bio européen', 'ES-ECO-020-CV', 'Agriculture UE']",,,,,
30,Prime grain free,8429037016303,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Salade de fruit en jus à l'orange et citron de Sicile - I.D Fruits,3760074793310,,['I.D Fruits'],['France'],"['Fruits en proportion variable 80% ', 'pomme ', 'dont affermissant : chlorure de calcium', ' 19%', 'ananas 17%', 'papaye 12%', 'mangue 12%', 'eau', 'sirop de sucre inverti', ""jus d'orange concentré 0"", '4%', 'jus de citron de Sicile 0,4% ', 'à base de concentré', 'acidifiant : acide citrique', 'antioxydant : acide ascorbique', 'conservateur : sorbate de potassium']","['E330 - Acide citrique', 'E300 - Acide ascorbique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,?,60,251 kj(60 kcal),"0,5","0,1",14,13,"0,5","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Salades de fruits']",0.5 g,en faible quantité,0.1 g,en faible quantité,13 g,en quantité élevée,0.01 g,en faible quantité,,+2%,+3%,+47%,-3%,+13%,+19%,-6%,-64%,-64%,-3,,A,,74.4%,7.2%,7.9%,6.7%,2.2%,1.6%,81,,,,,,,,,,
32,Muffins aux fruits rouges - 240g,0260211019684,,,['France'],[],,,[],,?,331,1385 kj(331 kcal),"10,5","2,1","53,8",31,"4,7","0,915","0,366",,"['Biscuits et gâteaux', 'Gâteaux', 'Muffins', 'Muffins aux fruits']",10.5 g,en quantité modérée,2.1 g,en quantité modérée,31 g,en quantité élevée,0.915 g,en quantité modérée,,-10%,-11%,-40%,-22%,+12%,+19%,-4%,+37%,+37%,16,+19%,D,+19%,,,,,,,,240 g,,,,,,,,,
33,Merlu blanc panure croustillante,8420567015217,,,['France'],[],,,['Sans huile de palme'],,?,201,841 kj(201 kcal),"7,8",1,21,"0,3",11,"0,73","0,292",,"['Produits de la mer', 'Poissons']",7.8 g,en quantité modérée,1 g,en faible quantité,0.3 g,en faible quantité,0.73 g,en quantité modérée,,+5%,+6%,-31%,-58%,+910%,-48%,-40%,-52%,-52%,0,-100%,B,-100%,,,,,,,,,,,,['en:palm-oil-free'],,,,,
34,Choco Muffin,2849865019684,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Modilac expert - 800g,3572731201638,['lait infantile'],['Modilac'],['France'],"['Lait écrémé', 'huile végétale', 'protéine solubles', 'lactose', 'amidon 5,5%', ' epaississant', ' citrate de calcium', 'carbonate de calcium', ' vitamine C,']",,['Lait'],"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,2007,508,2007 kj(508 kcal),26,11,55,50,11,"0,381","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800g,['Espagne'],['Espagne'],,,,,,,
36,Compote abricot -,3448550010228,,,['France'],[],,,[],,?,478,2000 kj(478 kcal),"0,13","0,02","25,02","23,99","0,35","0,01","0,004",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Desserts', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Compotes', ""Compotes d'abricot""]",0.13 g,en faible quantité,0.02 g,en faible quantité,24 g,en quantité élevée,0.01 g,en faible quantité,,+364%,+371%,-41%,-18%,+10%,+11%,-49%,-51%,-51%,5,+2258%,C,+2258%,35.2%,26.4%,14.9%,14.0%,7.5%,2.0%,96,,,,,,,,,,
37,Yaourt Bio Plein d'Abricots - Pur Natur,5412971016471,"['Frais', 'Plastique']",['Pur Natur'],['France'],"['Yaourt entier aux ferments vivants', 'abricot* 11,6 %', 'Sucre de canne*', 'épaississants: pectine', 'farine de graines de caroube', ' arôme naturel', "" *Issus de l'agriculture biologique""]","['E440 - Pectines', 'E410 - Gomme de caroube']",['Lait'],[],4,?,95,397 kj(95 kcal),"3,1","1,9","13,3","13,3","3,6","0,1","0,04",C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Réfrigérés', 'Yaourts', 'Yaourts aux fruits', ""Yaourts à l'abricot""]",3.1 g,en quantité modérée,1.9 g,en quantité modérée,13.3 g,en quantité élevée,0.1 g,en faible quantité,,-5%,-5%,-1%,-3%,-5%,+2%,+3%,-12%,-12%,2,-36%,B,-36%,79.1%,8.8%,4.4%,4.5%,2.5%,0.7%,69,,,,,['Bio'],,Bio Yoghurt - Yaourt Bio Plein d'Abricots,,,
38,Tilleul Aubier - 100g,3373020002796,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 g,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,
39,Ceylan déthéiné - Kusmi Tea,3585804000496,,['Kusmi Tea'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Pickles de piments francais,8696801002170,,,['France'],[],,,[],,?,210,879 kj(210 kcal),"0,29","0,26","2,82","0,12","0,68","3,22","1,288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Cacao en polvo -,8436015591158,,,['France'],[],,,[],,?,?,,?,,?,,?,,,E,"['Cacao et dérivés', 'Cacaos et chocolats en poudre', 'Cacaos en poudre']",,,,,,,,,,,,,,,,,,,,,,,94.3%,2.4%,0.9%,2.1%,0.3%,0.0%,17,,,,,"['Bio', 'Bio européen', 'ES-ECO-019-CT']",,,,,
42,Crispy Fruit - NA,3609200002011,,"['NA', 'Nature Addicts']",['France'],[],,,[],,?,331,1385 kj(331 kcal),"0,4","0,2","76,2","50,7","2,9","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Sans sucre ajouté', 'Sans conservateurs']",,,,,
43,Sucre,3016740014624,,,['France'],[],,,[],,?,400,1674 kj(400 kcal),0,0,100,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Halloween,26077994,,,['France'],[],,,[],,?,399,1669 kj(399 kcal),"0,8","0,7",98,77,0,"0,1","0,04",,"[""Aliments et boissons d'Halloween""]",0.8 g,en faible quantité,0.7 g,en faible quantité,77 g,en quantité élevée,0.1 g,en faible quantité,,-1%,-1%,-92%,-86%,+36%,+40%,-100%,-59%,-59%,14,-20%,D,-20%,,,,,,,,,,,,,,,,,
45,Bonbon au caramel - Storck,40144900,,['Storck'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3477602586657,3477602586657,,,['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Petites galettes,2405003609751,,,['France'],[],,,[],,?,472,1975 kj(472 kcal),16,11,74,25,7,"0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Graines de lin brun,3111952023300,,,['France'],[],,,[],,?,563,2356 kj(563 kcal),40,4,29,1,19,"0,07","0,028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'en:gluten-free']",,,,,
49,x5 Éclairs assortis,3567741001286,,,['France'],[],,,[],,?,289,1209 kj(289 kcal),13,"7,6",38,28,"4,3","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pâte Marmite à l'ancienne artisanal,0212458021197,,,['France'],[],,,[],,?,241,1008 kj(241 kcal),"19,7","7,1",3,"0,4","15,8","1,29","0,516",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,FATTORIE UMBRE SAUCE a LA NAPOLITAINE FATTORIE UMBRE 280G,8013945930242,,,['France'],[],,,[],,?,54,226 kj(54 kcal),"2,1","0,3","6,5","5,7","1,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Preserved Snake Head Fish Cut in Portion - Minh Ha Foods,8936007660010,,['Minh Ha Foods'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,QUARRÉ de CHOCOLAT grillottines,3760246620727,,['Quarré de Chocolat'],['France'],[],,,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Carambar Mystery,3664346310482,,['Carambar'],['France'],[],,,[],,?,394,1648 kj(394 kcal),"5,3","2,7",84,60,"0,5","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,
55,Douceurs banane chocolat,3770007116079,,,['France'],[],,,"['Végétalien', 'Végétarien']",,?,437,1828 kj(437 kcal),"33,2","12,9","28,1",21,"6,6","0,7","0,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien']",,,,,
56,Pipas tostadas,8429874260013,,,['France'],[],,,[],,?,572,2393 kj(572 kcal),44,6,16,"2,6",23,8,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Chicken Madeira - Tesco Finest,5053947817687,,['Tesco Finest'],['France'],[],,,[],,?,139,582 kj(139 kcal),6,"2,4",11,"1,4","9,2","0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Quinoa gepufft - Rossmann,4305615461076,,"['Rossmann', 'Ener Bio']",['France'],[],,,"['Végétalien', 'Végétarien']",,?,370,1548 kj(370 kcal),"3,2","0,5","76,2","0,7",7,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Bio', 'Végétarien', 'Végétalien']",,,,,
59,Bananes,2402334011024,,,['France'],[],,,[],,?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Bananes']",,,,,,,,,,,,,,,,,,,,,,,63.7%,0.0%,0.0%,23.1%,9.9%,3.2%,95,,,,"['EMB 94065', 'Rungis (Val-de-Marne, France)']","['Bio', 'Bio européen', 'FR-BIO-01']",,,,,
60,Dinkelherzen - enerBiO,4305615478760,,"['enerBiO', 'ener BiO']",['France'],[],,,[],,?,492,2059 kj(492 kcal),"23,7","14,1","58,2","32,5","9,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,
61,Asiu mix,5694230213054,,,['France'],[],,,[],,?,341,1427 kj(341 kcal),"0,9","0,2",73,"5,2",9,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Soda - Coca-Cola,5000112634761,,['Coca-Cola'],['France'],[],,,[],,?,105,439 kj(105 kcal),0,0,29,27,0,0,0,,"['Boissons', 'Boissons gazeuses', 'Sodas']",0 g,en faible quantité,0 g,en faible quantité,27 g,en quantité élevée,0 g,en faible quantité,,+289%,+278%,-100%,-100%,+328%,+308%,-100%,-100%,-100%,20,+117%,E,+117%,,,,,,,,,,,,,,,,,
63,Himneskt,5690350050593,,,['France'],[],,,[],,?,382,1598 kj(382 kcal),39,"2,4","5,2","0,5","1,9","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Aceituna gordal -,8413236370083,,,"['France', 'Espagne']",[],,,[],,?,154,644 kj(154 kcal),"16,3","3,2",0,0,"1,1","3,5","1,4",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives']",16.3 g,en quantité modérée,3.2 g,en quantité modérée,0 g,en faible quantité,3.5 g,en quantité élevée,,-20%,-19%,-11%,+15%,-100%,-100%,-17%,-0%,-0%,14,+14%,D,+14%,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,
65,Duc linh,8938501415028,,,['France'],[],,,[],,?,312,1305 kj(312 kcal),"3,7","1,4",28,28,"26,3","4,6","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Sorbet plein fruit - Erhard,3428420017076,,['Erhard'],['France'],[],,,[],,?,127,531 kj(127 kcal),"0,2",0,"32,1","25,9","0,4","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Schakalode aufstrich,4260119119260,,,['France'],[],,,"['Végétalien', 'Végétarien']",,?,487,2038 kj(487 kcal),24,"3,2",66,47,0,"0,38","0,152",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Végétarien', 'Végétalien']",,,,,
68,"Impact Whey Isolate, Chocolate Banana, 2.5KG - MyProtein",5055534336960,,['MyProtein'],['France'],[],,,[],,?,364,1523 kj(364 kcal),"1,4","0,9","4,5",4,82,"0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
