,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,labels,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,brand,markets,ingredients_origins,traceability_code,packaging,additives,allergens,nova_score,generic_name,manufacturing,brand_owner,link,palm_ingredients,producer_info
63,Filets de poulet - Carrefour,0219967037398,['France'],[],[],?,?,,?,,?,,?,,,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,['Carrefour'],['Carrefour'],,,,,,,,,,,,
64,Pain au chocolat pur beurre -  - 300g,2644773015090,['France'],"['farine de blé', 'eau', 'beurre 19', '8% ', 'LAIT', 'chocolat 10% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'émulsifiant : lécithine de tournesol', 'arôme vanille', 'sucre ', 'levure', 'sel', '_œufs', 'gluten de blé', 'émulsifiants : E471-E472', 'agent de traitement de la farine acide ascorbique', 'colorant Ei160a', 'ii', 'poudre de crème ', 'LAIT', ""levain désactivé d'épeautre "", 'farine de BLE malté ', ""malt d'ORGE"", "" Doré a l'œuf""]","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,?,,?,,?,,?,,,D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Pains au chocolat']",,,,,,,,,,,,,,,,,,,,,,,,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,300 g,,,,,,"['E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", ""E472 - Esters d'acides gras alimentaires"", 'E300 - Acide ascorbique']","['Œufs', 'Gluten', 'Lait']",4,,,,,,
65,Financier aux amandes - Marque Repère - 2x 65g,3564700778456,['France'],"['Sucre ', ' beurre ', "" blanc d'œuf "", "" poudre d'amande 11% "", ' farine de blé ', ' huile de tournesol ', ' arôme naturel ', ' poudres à lever : E450', 'E500']","['Sans huile de palme', 'Non végétalien', 'Peut-être végétarien']",2038,?,2038 kj(487 kcal),"33,5","17,3","39,3","33,9","6,8","0,4","0,16",D,"['Biscuits et gâteaux', 'Gâteaux', 'Financiers']",,33.5 g,en quantité élevée,17.3 g,en quantité élevée,33.9 g,en quantité élevée,0.4 g,en quantité modérée,+8%,,+8%,+25%,+36%,-9%,+5%,-17%,+20%,+20%,23,+6%,E,+6%,88.7%,6.4%,2.2%,1.6%,1.1%,0.0%,35,2 x 65 g,"['Marque Repère', 'Délisse']",['Leclerc'],,,,"['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium']","['Œufs', 'Gluten', 'Lait']",4,,,,,,
66,Raisins secs noirs jumbo,3700056703920,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Porridge figue framboise,51953041,['France'],[],[],?,364,1523 kj(364 kcal),"6,2","0,9",60,"6,1",12,"0,01","0,004",,,"['Bio', 'Bio européen', 'Fabriqué en Allemagne', 'Sans sucre ajouté', 'AB Agriculture Biologique']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Twinings Classic Teas Collection 20 Teebeutel,0070177174729,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Twinings'],,,,,,,,,,,,,
69,Pain noix,0201516007877,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Millefeuille vanille,0206062065272,['France'],[],[],?,217,908 kj(217 kcal),"8,3","5,6",33,20,"2,2","0,41","0,164",B,"['Biscuits et gâteaux', 'Pâtisseries', 'Millefeuilles']",,8.3 g,en quantité modérée,5.6 g,en quantité élevée,20 g,en quantité élevée,0.41 g,en quantité modérée,,-31%,-31%,-45%,-45%,-17%,+1%,-43%,-13%,-13%,12,-29%,D,-29%,73.1%,14.7%,6.0%,3.0%,3.2%,0.0%,75,,,,,,,,,,,,,,,
71,GRAND MOULE Tranché,0207007007616,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Bananes Auchan,3000028010002,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,,,,,,,,
