,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,eco_score,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,ingredients_origins,link
957,Eau Minérale Naturelle Légère - Celtic - 1L,3361730200014,['Celtic'],"['Boissons', 'Eaux', 'Eaux de sources', 'Eaux minérales', 'Eaux minérales naturelles']","['Kascher', 'Point Vert', 'Faible teneur en sodium', 'Fabriqué en France', 'Origine France', 'Triman']",['France'],['Eau Minérale Naturelle Légère'],[],0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.001 g,en faible quantité,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,"0,001",-98%,0,-98%,0,-100%,A,-100%,1 L,,,,,,,,,,,,"['Bouteille', 'Plastique', 'PET']",['Coop 5 pour 100'],,,['France'],,"['France', 'Vosges']",
958,Celtic Pétillante Légère 6 X,3361730201455,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,Celtic,3361730656569,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
960,Confiture extra de framboise sans pépins - Daniel Boudet - 370g,3361770005365,['Daniel Boudet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,['France'],"['Framboise sans pépins 50 %', 'sucre', 'gélifiant : pectine']",[],0.2 g,en faible quantité,0 g,en faible quantité,51.8 g,en quantité élevée,0 g,en faible quantité,?,,225,+0%,941 kj(225 kcal),+0%,"0,2",-26%,0,-100%,"52,1",-2%,"51,8",+1%,1,+48%,0,-100%,0,-100%,11,+24%,D,+24%,370 g,,C,4,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,['E440 - Pectines'],,,,,
961,Coulis d'abricot - Daniel Boudet - 215g,3361770006010,['Daniel Boudet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', ""Coulis d'abricot""]",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,215 g,,,,,,,,,,,,,,,,,,,
962,Figues violette de Sollies - Juliette Serraille - 100g,3361770120396,['Juliette Serraille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures']",,['France'],"['Figues ', '45 %', 'oignon', 'sucre', 'vinaigre de vin', 'sel', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.22 g,en faible quantité,0.03 g,en faible quantité,29.4 g,en quantité élevée,0.888 g,en quantité modérée,?,,133,-40%,556 kj(133 kcal),-40%,"0,22",-16%,"0,03",-40%,"30,4",-43%,"29,4",-43%,1,+93%,"0,888",+3728%,"0,355",+3728%,9,-3%,C,-3%,100 g,,C,3,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,Confiture,"['Verre', 'Bocal']",,,,,,,
963,Coulis de Fraise serraille,3361770215023,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Sauces', 'Sauces dessert', 'Coulis de fruits', 'Coulis de fraise']",,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,25 g,en quantité élevée,0 g,en faible quantité,?,,109,-3%,456 kj(109 kcal),-4%,"0,2",-13%,0,-100%,25,-6%,25,-4%,"0,6",+49%,0,-100%,0,-100%,1,-66%,B,-66%,,,,,,,,,,,,,,,,,,,,
964,Confiture extra Fraise - Juliette Serraille - 220g,3361770220133,['Juliette Serraille'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']","['Point Vert', 'Fabriqué en France']",['France'],"['Fraises', 'sucre', 'gélifiant', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.17 g,en faible quantité,0.03 g,en faible quantité,46.5 g,en quantité élevée,0.01 g,en faible quantité,?,,194,-11%,812 kj(194 kcal),-11%,"0,17",-29%,"0,03",-33%,"46,5",-12%,"46,5",-8%,"0,5",+13%,"0,01",-56%,"0,004",-56%,7,-20%,C,-20%,220 g,,D,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['Bocal', 'Verre', 'métal']",,['E440 - Pectines'],,"['Sud de la France', 'France']",,,
965,Ketch'up au piment d'espelette - Compagnie des Pyrénées - 860g,3361779996886,['Compagnie des Pyrénées'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup']",,['France'],"['tomates ', '46%', 'sucre', 'oignons', 'poiurons rouges', 'uinaigre blanc', 'sel', 'épices ', ""dont piment d'Espelette 0,1%""]",[],0 g,en faible quantité,0 g,en faible quantité,24 g,en quantité élevée,1.7 g,en quantité élevée,?,,112,+6%,469 kj(112 kcal),+7%,0,-100%,0,-100%,26,+15%,24,+22%,"1,2",-8%,"1,7",-15%,"0,68",-15%,12,-1%,D,-1%,860 g,,B,3,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,,,,,,,,
966,Ketchup'up - Compagnie Des Pyrennes,3361779996916,['Compagnie Des Pyrennes'],,"['Végétarien', 'en:gluten-free', 'Végétalien', 'Sans colorants', 'Sans conservateurs']",['France'],"['INGRÈDtENTS oignons', 'poiurons rouges', 'vinaigre blanc', 'sel', 'épices', ' ORIIÇIINIE mijoté avec passion dans te Sud de La France', ' vaueuas NUTRITIONNELLES 100 Calories']","['Végétalien', 'Végétarien']",,,,,,,,,?,,112,,469 kj(112 kcal),,1,,1,,26,,24,,"1,2",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
967,Cerises noires - Matin des Pyrénées - 680g,3361779997982,['Matin des Pyrénées'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,57 g,en quantité élevée,0 g,en faible quantité,?,,239,+8%,1000 kj(239 kcal),+8%,"0,2",-18%,~ 0,-100%,58,+7%,57,+10%,"0,7",+9%,~ 0,-100%,0,-100%,11,+12%,D,+12%,680 g,,D,,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,,,,
968,Carottes des landes -,3361779998248,,"['Epicerie', 'Sauces']",,['France'],[],[],0.4 g,en faible quantité,0.13 g,en faible quantité,20.8 g,en quantité élevée,1.1 g,en quantité modérée,?,,101,-58%,423 kj(101 kcal),-57%,"0,4",-98%,"0,13",-94%,"22,4",+126%,"20,8",+222%,"1,9",-29%,"1,1",-55%,"0,44",-55%,8,-31%,C,-31%,,,,,,,,,,,,,,,,,,,,
969,Tomate au piment d'espelette - Pur Ketchup - 275g e,3361779998293,['Pur Ketchup'],"['Epicerie', 'Sauces', 'Sauces tomate', 'Ketchup', 'Ketchups épicés']","['100% naturel', 'Point Vert', 'Fabriqué en France', 'Sans conservateurs']",['France'],"['Tomates ', '46%', 'sucre', 'oignons', 'poivrons rouges', 'vinaigre blanc', 'sel', 'épices ', ""dont piment d'Espelette 0,1%""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0.09 g,en faible quantité,28.7 g,en quantité élevée,1.8 g,en quantité élevée,?,,131,+24%,548 kj(131 kcal),+25%,"0,4",+64%,"0,09",+42%,"30,6",+35%,"28,7",+46%,"1,2",-8%,"1,8",-10%,"0,72",-10%,13,+7%,D,+7%,275 g e,,A,3,37.2%,25.2%,17.2%,12.9%,5.9%,1.6%,94,,"['Flacon', 'Verre']",,,,['France'],,,
970,Ketch up,3361779998361,"[""Ketch'up"", 'Natural& Delicious']",,,['France'],"['Jéeéclt:up - TOMnnw ', '46%', 'suret oignons', 'poivrons rouge', 'Vinaigre àùp,kruiden', ' ZUTATENI Tomaten XNkaEsig,SalbGeuiirta GLUTENFREE : VEGGIES :']",[],,,,,,,,,?,,92,,385 kj(92 kcal),,"0,3",,"0,05",,20,,"19,4",,"0,9",,"1,75",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,
971,Ketch’up carotte -  - 230ml,3361779998385,,"['Epicerie', 'Sauces', 'Ketchup de carotte']",,['France'],"['carottes ', '29%', ""jus d'orange"", 'vinaigre blanc', 'sel', 'épices']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.48 g,en faible quantité,0.16 g,en faible quantité,25 g,en quantité élevée,1.3 g,en quantité modérée,?,,121,-49%,506 kj(121 kcal),-49%,"0,48",-97%,"0,16",-93%,"26,9",+171%,25,+287%,"2,3",-14%,"1,3",-46%,"0,52",-46%,6,-48%,C,-48%,230 ml,,,3,,,,,,,,,['Verre'],,,,,,,
972,Ketch’up betterave - Natural Et Delicious,3361779998392,['Natural Et Delicious'],"['Boissons', 'Boissons avec sucre ajouté']",['Bio'],['France'],"['-l BETTERAVE BEETROOT', ' INGRÉDIENTS beteraue ', '42%', 'sucre', 'oignons', 'vinaijftà?j épices', ' ING REDIENTS ttgartl', 'hite Uinegar', 'u', 'ater', 'sa tt', 'spices', ' INGREDlÊNi?ilt ùer,ajuint witte a', 'ij', 'untert hruidell', ' Zuiebeln', 'Himbeer•Essi9', 'Weisser Essig', 'ADDITIVES : GLUTENFRE\\I COUORANTS : VEGGIES NATU RAL &']",[],0.36 g,en faible quantité,0.16 g,en faible quantité,28.8 g,en quantité élevée,1.6 g,en quantité élevée,?,,132,+55%,552 kj(132 kcal),+49%,"0,36",-4%,"0,16",-4%,"31,1",+57%,"28,8",+57%,"1,1",+104%,"1,6",+4178%,"0,64",+4178%,27,+127%,E,+127%,,,,,,,,,,,,,,,,,,,,
973,Confiture Ananas - Matin des Pyrénées - 370g,3361779998651,['Matin des Pyrénées'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits tropicaux', ""Confitures d'ananas""]",,['France'],"['Ananas', 'sucre', 'gélifiant : pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.1 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,,,?,,229,-1%,958 kj(229 kcal),-1%,"0,1",-78%,0,-100%,56,0%,55,+2%,"0,2",-54%,,,,,,,,,370 g,,C,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,"['Bocal', 'Verre']",,['E440 - Pectines'],,,,,
974,Confiture de 4 fruits rouges - Matin d'Ariège,3361779999658,"[""Matin d'Ariège""]",,,['France'],"['confiture quatre fruits rouges Preparee avec 65 g de fruits teneur totale en sucred 60 g/100g', ' Ingrédients Fraises 25%', 'framboises  25%', 'carottes  25%', 'groseilles 25%', ' sucre', ' gélifiant pectine']",[],,,,,,,,,?,,228,,954 kj(228 kcal),,"0,2",,0,,54,,"53,6",,"0,6",,0,,0,,,,,,,,,4,,,,,,,,,,,['E440 - Pectines'],,,,,
975,Fromagio,3361781121917,,,,['France'],[],[],,,,,,,,,?,,387,,1619 kj(387 kcal),,"26,5",,"17,3",,"3,5",,"0,5",,"33,5",,"1,75",,"0,7",,,,,,,,,,,,,,,,,,,,,,,,,
976,Persil Frisé Vert Foncé,3361980001003,,,,['France'],[],[],,,,,,,,,?,,23,,96 kj(23 kcal),,23,,3,,2,,1,,3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
977,Bolée de Paimpol - Cidrerie Guillou - 75cl,3361990005909,['Cidrerie Guillou'],"['Boissons', 'Boissons alcoolisées', 'Produits artisanaux', 'Cidres', 'Alcools artisanaux', 'Cidres artisanaux', 'Cidres bouchés', 'Cidres bio', 'Produits labellisés']","['Bio', 'Bio européen', 'Point Vert', 'Pur jus', 'AB Agriculture Biologique', 'Déconseillé aux femmes enceintes']",['France'],"['Pur jus de pommes à cidre BIO', 'gaz carbonique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,75 cl,,B,4,31.6%,5.6%,37.9%,16.7%,6.5%,1.8%,53,,"['Bouteille', 'Verre']",['Leader Price'],['E290 - Dioxyde de carbone'],['Anhydride sulfureux et sulfites'],,,,
978,Madeleines,3362035002037,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,['France'],[],[],25.8 g,en quantité élevée,4 g,en quantité modérée,25.6 g,en quantité élevée,0.4 g,en quantité modérée,?,,437,-1%,1828 kj(437 kcal),-1%,"25,8",+13%,4,-42%,"44,7",-15%,"25,6",-7%,"5,8",+2%,"0,4",-51%,"0,16",-51%,14,-24%,D,-24%,,,B,,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,,,,,,,,,
979,Fromage au poivre,3362420000136,,,,['France'],[],[],,,,,,,,,?,,213,,891 kj(213 kcal),,16,,12,,2,,"1,8",,11,,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
980,Le neuville au poivre,3362420000167,,,,['France'],[],[],,,,,,,,,?,,257,,1075 kj(257 kcal),,"20,5",,"14,1",,"2,2",,"2,2",,16,,"1,36",,"0,544",,,,,,,,,,,,,,,,,,,,,,,,,
981,Confiture extra allégée en sucres cuisson au chaudron - Val de Sournia - 320g,3362530001054,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Peu ou pas de sucre', 'Peu de sucre', 'Allégé en sucre']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,197,-10%,824 kj(197 kcal),-10%,0,-100%,0,-100%,45,-15%,45,-11%,"0,7",+39%,0,-100%,0,-100%,8,-11%,C,-11%,320 g,,B,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,
982,Confiture extra biologique au sucre de canne - Val de Sournia - 650g,3362530003010,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",['Bio'],['France'],"['Fruit 60%', 'sucre de canne', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.4 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,245,+13%,1025 kj(245 kcal),+12%,"0,4",+66%,0,-100%,55,+4%,55,+8%,"0,5",+13%,0,-100%,0,-100%,12,+37%,D,+37%,650 g,,D,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],,,,,
983,Confiture de frambois bio et allege - Val de Sournia - 310g,3362530004024,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Fruits* 70%', 'sucre de canne*', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,202,-10%,845 kj(202 kcal),-10%,0,-100%,0,-100%,45,-16%,45,-12%,"1,1",+63%,0,-100%,0,-100%,9,+2%,C,+2%,310 g,,B,4,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,['E440 - Pectines'],,,,,
984,Groseille 70% Confiture Biologique Allegée en Sucres - Val de Sournia - 310g,3362530004079,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confiture de fruits allégée en sucres', 'Confitures de groseilles']","['Peu ou pas de sucre', 'Peu de sucre', 'Bio', 'Bio européen', 'Allégé en sucre', 'AB Agriculture Biologique']",['France'],"['*fruits 70%', '*sucre de canne', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0 g,en faible quantité,28.7 g,en quantité élevée,0.01 g,en faible quantité,?,,198,-12%,828 kj(198 kcal),-12%,"0,3",+35%,0,-100%,45,-17%,"28,69",-45%,1,+87%,"0,01",+10%,"0,004",+10%,6,-38%,C,-38%,310 g,,C,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],,,,,
985,Confiture au chaudron rhubarbe - Esat Val De Sournia,3362530004307,['Esat Val De Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Légumes et dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de rhubarbe', 'en:vegetable-jams']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"[""'fruits 70%"", ""'sucre de canne"", 'pectine', "" 'issus de l agriculture bio""]",[],0.4 g,en faible quantité,0 g,en faible quantité,30 g,en quantité élevée,0 g,en faible quantité,?,,172,-22%,720 kj(172 kcal),-22%,"0,4",+92%,0,-100%,45,-17%,30,-43%,0,-100%,0,-100%,0,-100%,2,-76%,B,-76%,,,C,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],,,,,
986,Confiture de cerises - Val De Sournia,3362530005052,['Val De Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",['Bio'],['France'],"[""'fruit 60%"", '*sucre de canne', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.3 g,en faible quantité,0.1 g,en faible quantité,10 g,en quantité modérée,0 g,en faible quantité,?,,251,+13%,1050 kj(251 kcal),+13%,"0,3",+23%,"0,1",+122%,55,+2%,10,-81%,"0,5",-22%,0,-100%,0,-100%,4,-59%,C,-59%,,,D,4,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,['E440 - Pectines'],,,,,
987,Confiture d'abricot de roussillon cuisson au chaudron - Val De Sournia - 360g,3362530005069,['Val De Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['Confiture préparée avec 60g de fruit par 100g', ' Ingrédients fruit 60%', ""'sucre de canne"", ""pectine Issus de l'agriculture biologique""]",[],0.1 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,245,+12%,1025 kj(245 kcal),+12%,"0,1",-56%,0,-100%,55,+3%,55,+9%,"0,6",+20%,0,-100%,0,-100%,12,+33%,D,+33%,360 g,,B,4,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,['E440 - Pectines'],,,,,
988,Confiture Orange d'Espagne - Val de Sournia - 360g,3362530005113,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"['fruit 60%', 'sucre de canne', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0 g,en faible quantité,55 g,en quantité élevée,0 g,en faible quantité,?,,204,-5%,854 kj(204 kcal),-5%,"0,2",-15%,0,-100%,55,+5%,55,+9%,"0,7",+42%,0,-100%,0,-100%,11,+17%,D,+17%,360 g,,C,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],,,,,
989,Raw Slim and Tone Protein,3362530006011,,,,['France'],[],[],,,,,,,,,?,,377,,1577 kj(377 kcal),,"7,8",,"2,2",,"8,9",,"0,6",,"72,3",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
990,Delice de fruits Framboise - Val De Sournia,3362530006028,['Val De Sournia'],,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],"[' *fruits de fruiÉ', 'pectine de ragriculture biologique valeurs pour 100 g Energie:692kj ', '166kcaJ', ' 0', '3g gras Og', ""gh&CidE45g 9g ,sel Og Tenir au frais apres cuve'ture""]",[],,,,,,,,,?,,166,,695 kj(166 kcal),,"0,3",,0,,45,,45,,"0,9",,0,,0,,,,,,,,,4,,,,,,,,,,,['E440 - Pectines'],,,,,
991,Delice de fruits Cassis - Val De Sournia - 310g,3362530006035,['Val De Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']","['Bio', 'Agriculture UE/Non UE']",['France'],[],[],0.2 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,175,-24%,732 kj(175 kcal),-24%,"0,2",-29%,0,-100%,45,-17%,45,-13%,"0,9",+50%,0,-100%,0,-100%,10,+8%,C,+8%,310 g,,D,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,
992,Delice de fruits - Val de Sournia,3362530006127,['Val de Sournia'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de figues']",['Bio'],['France'],"['Fruit 60%', 'sucre extrait de fruits', 'pectine']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.2 g,en faible quantité,0 g,en faible quantité,45 g,en quantité élevée,0 g,en faible quantité,?,,180,-22%,753 kj(180 kcal),-23%,"0,2",-56%,0,-100%,45,-19%,45,-15%,"0,7",-5%,0,-100%,0,-100%,10,+6%,C,+6%,,,D,4,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,['E440 - Pectines'],,,,,
993,Cigares Fourrés,3362600003117,,,,['France'],[],[],,,,,,,,,?,,458,,1916 kj(458 kcal),,"17,1",,1,,"72,3",,"72,3",,"3,4",,1,,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,
994,Saumon fumé Ecosse - Fauchon,3362763020013,['Fauchon'],"[""en:Saumons fumés d'Ecosse""]",,['France'],"['Saumon Atlantique ', 'Salmo salar', 'sel sec', ' Ingredients : Atlantic Salmon ', 'Salmo Salar', 'dry salt']","['Non végétalien', 'Non végétarien']",9.6 g,en quantité modérée,2.2 g,en quantité modérée,0.1 g,en faible quantité,2.75 g,en quantité élevée,?,,185,-3%,774 kj(185 kcal),-3%,"9,6",-14%,"2,2",-12%,"0,5",+9%,"0,1",-65%,"21,8",-0%,"2,75",+14%,"1,1",+14%,14,+15%,D,+15%,,,,3,,,,,,,,,,,,,,,,
995,Saumon fumé 2 grandes tranches Norvège Fauchon - 80g,3362763120010,['Fauchon'],"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés', ""Saumons fumés d'élevage""]",,['France'],"['Saumon Atlantique ', 'Salmo salar', 'sel sec']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",13.4 g,en quantité modérée,0 g,en faible quantité,0.1 g,en faible quantité,2.75 g,en quantité élevée,?,,212,+11%,887 kj(212 kcal),+12%,"13,4",+21%,0,-100%,"0,5",+1%,"0,1",-72%,"22,4",+1%,"2,75",-5%,"1,1",-5%,12,-11%,D,-11%,80 g,"['FR 69.264.004 CE', 'Villefranche-sur-Saône (Rhône, France)']",D,3,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,Saumon fumé 2 grandes tranches Norvège,"['Carton', 'Plastique', 'Sous-vide', 'Frais']",['Monoprix'],,,['France'],,['Norvège'],
