,name,bar_code,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,quantity,traceability_code,eco_score,nova_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,markets,additives,allergens,manufacturing,palm_ingredients,ingredients_origins,link
166,Les épisales de l'île de ré saveur piment - Les Sauniers de l'Île de Ré,3346904020179,"[""Les Sauniers de l'Île de Ré""]",,['Sans colorants'],['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
167,Meringues torsadees - Biscuiterie de Saint-Julien - 170g,3346989000080,['Biscuiterie de Saint-Julien'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",['Point Vert'],['France'],"['Sucre', ""blanc d'œufs frais""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",0.1 g,en faible quantité,0.1 g,en faible quantité,88.7 g,en quantité élevée,0.22 g,en faible quantité,?,,389,+3%,1628 kj(389 kcal),+3%,"0,1",-90%,"0,1",-73%,92,+6%,"88,7",+6%,5,+24%,"0,22",+37%,"0,088",+37%,14,-3%,D,-3%,170 g,,C,3,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,['Plastique'],,,['Œufs'],,,,
168,Meringuettes Blanches - Biscuiterie de saint Julien - 170g,3346989201173,['Biscuiterie de saint Julien'],"['Snacks', 'Snacks sucrés', 'Confiseries', 'Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",['Point Vert'],['France'],"['Sucre', ""blanc d'œufs frais""]","['Sans huile de palme', 'Non végétalien', 'Végétarien']",0.1 g,en faible quantité,0.1 g,en faible quantité,88.7 g,en quantité élevée,0.22 g,en faible quantité,?,,389,+3%,1628 kj(389 kcal),+3%,"0,1",-90%,"0,1",-73%,92,+6%,"88,7",+6%,5,+24%,"0,22",+37%,"0,088",+37%,14,-3%,D,-3%,170 g,,C,3,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,['Plastique'],,,['Œufs'],,,,
169,Farine de Fonio - Moulin des Moines - 500g,3347430000147,['Moulin des Moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Digitaires', 'Fonio blanc']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],1.8 g,en faible quantité,,,,,,,1310,-8%,?,,1310 kj(313 kcal),-8%,"1,8",-64%,,,"63,4",+10%,,,10,+6%,,,,,,,,,500 g,,,,,,,,,,,Farine de Fonio,,['La menthe poivrée'],,,,,['Non Union Européenne'],
170,Chocolat Noir Noix De Coco - Moulin des Moines - 100g,3347430000451,['Moulin des Moines'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs', 'Chocolats noirs à la noix de coco']","['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'Agriculture non UE', 'AB Agriculture Biologique']",['France'],"['Pâte de cacao', 'sucre de canne', 'beurre de cacao*', 'noix de coco* ', '6 %', "" *Produit issu de l'Agriculture Biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",47.6 g,en quantité élevée,29.8 g,en quantité élevée,21.6 g,en quantité élevée,0.02 g,en faible quantité,?,,597,+5%,2498 kj(597 kcal),+5%,"47,6",+17%,"29,8",+12%,"29,5",-25%,"21,6",-36%,"8,5",+36%,"0,02",-58%,"0,008",-58%,16,-21%,D,-21%,100 g,"['EMB 67249A', 'Krautwiller (Bas-Rhin, France)', 'EMB 67249', 'Krautwiller (Bas-Rhin, France)']",D,3,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,"['Carton', 'Tablette']",,,,['France'],,,
171,MIEL DE THYM BIO - moulin des moines,3347430001441,['moulin des moines'],,['Bio'],['France'],['AGRICULTURE Biologique /100% miel d’abeille'],[],,,,,,,,,?,,330,,1381 kj(330 kcal),,0,,0,,"82,3",,82,,"0,3",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
172,Cranberries bio NATURALINE - Naruraline,3347430002196,['Naruraline'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",['France'],"['cranberries* 60%', 'jus de pomme* 39%', 'huile de tournesol* 1%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",1.6 g,en faible quantité,0.1 g,en faible quantité,56 g,en quantité élevée,0.12 g,en faible quantité,?,,277,-18%,1159 kj(277 kcal),-18%,"1,6",+127%,"0,1",-60%,62,-22%,56,-15%,"0,2",-29%,"0,12",+424%,"0,048",+424%,3,-58%,C,-58%,,,,3,,,,,,,,,,,,,,,,
173,Melange des incas - Moulin des moines,3347430002967,['Moulin des moines'],,"['Bio', 'Bio européen', 'FR-BIO-01', 'Point Vert', 'AB Agriculture Biologique']",['France'],"['lentilles IPOUges* riz précuit* ', 'mil décortiqué*', ""quinoa blanc'"", 'qunoa noir*', 'quinoa rougeh graines de courge', 'tournesol*']",[],,,,,,,,,?,,360,,1506 kj(360 kcal),,"5,53",,"0,54",,"56,16",,"0,52",,16,,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
174,"Farine Grand Epeautre T70 - Moulin des moines - 2,5kg",3347430003209,['Moulin des moines'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé', ""Farines d'épeautre"", ""Farines d'épeautre T70""]","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],['Ingrédient épeautre* Valeurs nutrltlonnelles'],[],1.9 g,en faible quantité,0.25 g,en faible quantité,2.2 g,en faible quantité,0.01 g,en faible quantité,?,,354,+3%,1481 kj(354 kcal),+2%,"1,9",-7%,"0,25",-15%,"69,4",+5%,"2,2",+29%,"12,8",+3%,"0,01",-25%,"0,004",-25%,-5,,A,,"2,5kg",,B,,68.5%,2.0%,12.1%,12.6%,4.8%,0.0%,94,,,,,,,,,
175,Farine de blé - T45 - MOULIN DES MOINES,3347430004343,['MOULIN DES MOINES'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Farines', 'Farines de céréales', 'Farines de blé']","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01', 'Point Vert']",['France'],"['Blanche Pâtissière Type 45 MOUTURE TRADITIONNELLE Ingrédients blé* de est Idéale pour _ia crêpes,']",[],3.8 g,en quantité modérée,0.7 g,en faible quantité,1.6 g,en faible quantité,0.01 g,en faible quantité,?,,374,+9%,1565 kj(374 kcal),+9%,"3,8",+184%,"0,7",+199%,"71,5",+3%,"1,6",+5%,"13,4",+23%,"0,01",-58%,"0,004",-58%,-4,,A,,,,B,,77.8%,3.5%,0.0%,10.3%,8.3%,0.0%,97,,,,,,,,,
