,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
341,High protein bar Abricot Goji Chia Cricket,3770004159604,['France'],[],[],?,409,"20,2","32,4","20,5",1711 kj(409 kcal),"2,4","26,7","0,2","0,08","['Compléments alimentaires', 'Compléments pour le Bodybuilding', 'Barres protéinées']",20.2 g,en quantité élevée,2.4 g,en quantité modérée,26.7 g,en quantité élevée,0.2 g,en faible quantité,12,D,,,+10%,+10%,+55%,-59%,-1%,+101%,-30%,-59%,-59%,+17%,+17%,,,,,,,,,,,,,,,,,,,,,
342,Creamy blender greek yoghourt vanilla chocolate and cream -,0818290011428,"['France', 'États-Unis']","['Yogurt ', 'cultured pasteurized nonfat milk', 'cream', 'evaporated cane sugar', 'water', 'cocoa', 'cocoa butter', 'fruit pectin', 'natural flavors', 'vanilla extract', 'lemon juice concentrate', 'locust bean gum', 'sugar', 'guar gum', ' contains live and active cultures: s', ' thermophilus', 'l', ' bulgaricus', 'l', ' acidophilus', 'bifidus and l', ' casei']",['Non végétalien'],?,113,4,"11,33","7,33",473 kj(113 kcal),"2,33",10,"0,092","0,037","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts']",4 g,en quantité modérée,2.33 g,en quantité modérée,10 g,en quantité modérée,0.0925 g,en faible quantité,1,B,,,+23%,+23%,+22%,+14%,+3%,-1%,+94%,-20%,-20%,-67%,-67%,,,,,,,,4,,"['Arômes naturels', 'Pur beurre de cacao']",,,"['E440 - Pectines', 'E410 - Gomme de caroube', 'E412 - Gomme de guar']",['Lait'],,,,,,"Chobani, Inc.",
343,Cassoulet toulousain,3464050092052,['France'],[],[],?,135,"5,9","7,9","10,8",565 kj(135 kcal),"2,1","0,4","0,9","0,36","['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de haricots', 'Cassoulets', 'Cassoulets toulousains']",5.9 g,en quantité modérée,2.1 g,en quantité modérée,0.4 g,en faible quantité,0.9 g,en quantité modérée,1,B,B,,-1%,-2%,-13%,-11%,-4%,-53%,+19%,+9%,+9%,,,14.6%,32.7%,20.0%,15.1%,8.8%,8.8%,95,,,,,,,,,,,,,,
344,Confitures d'orange - Francis Miot,3396745010013,['France'],[],[],791,170,"0,5",40,"0,7",791 kj(170 kcal),"0,1",39,"0,01","0,004","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'agrumes"", ""Confitures d'orange""]",0.5 g,en faible quantité,0.1 g,en faible quantité,39 g,en quantité élevée,0.01 g,en faible quantité,9,C,C,-7%,-21%,-12%,+113%,+163%,-24%,-23%,+42%,-62%,-62%,-4%,-4%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,['Francis Miot'],"['Bio', 'Bio européen']",,,,,,,,,,,
345,Graines à germer moutarde jaune,3760036486410,['France'],[],[],?,?,?,?,?,,,,,,"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",,,,,,,,,,,B,,,,,,,,,,,,,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,,,,,,,,,,,,,,
346,Menta,8050534970357,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,beurre d'Isigny - nos régions ont du talent - 250g,11699632,['France'],"['crème pasteurisé', ' ferments lactique ', ' dont lait', '82% de matière grasse']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Peut-être végétarien']",?,?,?,?,?,,,,,,"['Produits laitiers', 'Matières grasses', 'Produits à tartiner', 'Matières grasses à tartiner', 'Matières grasses animales', 'Matière grasse laitière', 'Produits laitiers à tartiner', 'Beurres', 'Beurres français', ""Beurre d'Isigny""]",,,,,,,,,,,D,,,,,,,,,,,,,91.6%,4.9%,1.3%,1.2%,0.8%,0.2%,27,2,['nos régions ont du talent'],,250g,,,['Lait'],['France'],"['FR 14.342.001 CE', 'Isigny-sur-Mer (Calvados, France)']",['Leclerc'],,['isigny sainte mère'],,
348,Miel de romarin - Baramel - 500g,3594480005817,['France'],['miel'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']",,,,,,,,,,,A,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,2,['Baramel'],"['Bio', 'Bio européen', 'AB Agriculture Biologique']",500 g,['Bocal en verre'],,,['Union européenne'],,,,,,
349,Miel de citronier,3368040309253,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Vinaigre de cidre - Carrefour - 75cl,06534479,['France'],[],[],?,6,0,"1,3",0,25 kj(6 kcal),0,"0,7","0,03","0,012","['Vinaigres', 'Vinaigres de cidre']",0 g,en faible quantité,0 g,en faible quantité,0.7 g,en faible quantité,0.03 g,en faible quantité,,,B,,-60%,-58%,-100%,-100%,-13%,-7%,-100%,+72%,+72%,,,35.5%,6.3%,42.6%,12.0%,3.6%,0.0%,96,,['Carrefour'],,75cl,,,,,,['Carrefour'],,,,
351,PURÉE de POMMES de TERRE -,26000039,['France'],[],[],?,354,"0,6",76,"8,3",1481 kj(354 kcal),"0,4","0,15","0,15","0,06","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Plats préparés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Préparations à base de pommes de terre', 'Purées', 'Purées de pommes de terre', 'Purées de pommes de terre en flocons']",,,,,,,,,,,B,,+13%,+12%,-62%,-57%,+21%,-94%,+18%,-78%,-78%,,,59.9%,18.8%,8.6%,5.6%,5.0%,2.0%,90,,,,,,,,,,,,,,
352,Muesli croustillant fruits secs,15454577,['France'],[],[],?,447,19,57,"8,3",1870 kj(447 kcal),"8,4",24,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Pain a la patate douce,7613404093016,['France'],[],[],?,282,"3,5",51,10,1180 kj(282 kcal),"0,5","3,7","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Pop corn,0874122000107,['France'],[],[],?,200,7,34,6,837 kj(200 kcal),"2,5",19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Dogadan Mint Linden Tea,8699580000191,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Yaourt café robusta,3339526061071,['France'],[],[],?,98,"3,5",13,"3,8",410 kj(98 kcal),"2,8",13,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,The Mallows Caramel,5713638000360,['France'],[],[],?,423,"15,3","66,7",4,1770 kj(423 kcal),"9,2","64,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Graine de couscous moyen,9833330508752,['France'],[],[],?,361,"1,8",72,13,1510 kj(361 kcal),"0,3","3,9",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Sorbet coco ananas - Picard,3270160763993,['France'],[],[],?,110,"4,2","17,3","0,5",460 kj(110 kcal),4,"13,9","0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Picard'],,,,,,,,['Picard'],,,,
360,Puree d'amande complete -,10339091,['France'],[],[],?,665,"58,3","5,1","21,8",2782 kj(665 kcal),"4,9","4,7","0,02","0,008","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande"", ""Purées d'amande complète""]",58.3 g,en quantité élevée,4.9 g,en quantité modérée,4.7 g,en faible quantité,0.02 g,en faible quantité,13,D,,,+5%,+5%,+7%,+7%,-30%,+9%,-3%,+60%,+60%,+603%,+603%,,,,,,,,,,,,,,,,,,,,,
361,Baguette de tradition français,0230153016737,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Wasabi peanut mix,0020916120166,['France'],[],[],?,609,"49,6","15,8","24,9",2548 kj(609 kcal),"11,6","10,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Ibu-ratiopharm 400 Pulver,11722423,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Gobite,3760032260809,['France'],[],[],?,1,3,3,20,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Baci di dama - Balocco,8001100069043,['France'],[],[],?,561,37,48,7,2347 kj(561 kcal),14,26,"0,04","0,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Balocco'],,,,,,,,,,,,
366,Panettone,8009920064002,['France'],[],[],?,348,14,51,"6,5",1456 kj(348 kcal),"8,4",24,"0,4","0,16","['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",14 g,en quantité modérée,8.4 g,en quantité élevée,24 g,en quantité élevée,0.4 g,en quantité modérée,18,D,C,,-7%,-7%,-7%,-7%,-1%,-7%,-5%,-9%,-9%,-3%,-3%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,,,,
367,Filets de maquereaux sauce moutard à l'ancienne - Pêcheurs d'Islande,3760025370591,['France'],[],[],?,?,?,?,?,,,,,,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux']",,,,,,,,,,,D,,,,,,,,,,,,,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,"[""Pêcheurs d'Islande""]",,,,,,,,,,,,
368,Orangensaft,7610198040516,['France'],[],[],?,43,0,9,"0,7",180 kj(43 kcal),0,9,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,Barre croquante au miel,3263629997114,['France'],[],[],?,542,"33,7","39,6",17,2268 kj(542 kcal),"4,7","29,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,"Satemwa ""Dark Tea"" - Palais des Thés",2700540001069,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
371,Bouchées de hareng à la sauce tartare,5411746010591,['France'],[],[],?,391,"38,2","2,9","8,6",1636 kj(391 kcal),"4,4","2,4","1,75","0,7","['Epicerie', 'Sauces', 'Sauces tartare']",38.2 g,en quantité élevée,4.4 g,en quantité modérée,2.4 g,en faible quantité,1.75 g,en quantité élevée,15,D,B,,-25%,-25%,-30%,-3%,-38%,-11%,+635%,-2%,-2%,-14%,-14%,52.2%,31.5%,7.2%,5.2%,3.1%,0.8%,77,,,,,,,,,,,,,,
372,Toilettentücher,7322540907704,"['France', 'Suisse']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,,
373,Bifteki,2404060011190547012119,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Zakouskis,0020176020503,['France'],[],[],?,536,"35,3","44,9","8,6",2243 kj(536 kcal),"19,5","1,3","1,38","0,552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,Navettes provencales,3502793006582,['France'],[],[],?,474,"19,2","68,2",7,1983 kj(474 kcal),"8,4","24,6","0,79","0,316",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,Salat - Chinakohl - 776g,2914162007761,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,776 g,"['Produkt', 'Kopf']",,,,,,,,,
377,Smoothie poire miel & cannelle,3770009761161,['France'],[],[],?,47,"0,5","8,2","0,5",197 kj(47 kcal),"0,1","6,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,Paprikalyoner - 13.32999992370605g,4313920015020,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.32999992370605 g,,,,,,,,,,
379,Poulet fermier,0284134046909,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Käse - Gouda - 18.625g,2886698001493,"['France', 'Allemagne']",[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.625 g,['ds.'],,,,,,,,,
381,Buckwheat noodles,0619286609298,['France'],[],[],?,353,"4,3","70,1","11,5",1477 kj(353 kcal),"0,4","1,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Olio extra vergine di oliva,8002210127425,['France'],[],[],?,822,91,0,0,3439 kj(822 kcal),12,0,0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",91 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,6,C,D,,-4%,-4%,-5%,-14%,,,,-100%,-100%,-2%,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,
383,Crozets à l'ail des ours - La cabote de Joseph,3760275430809,['France'],[],[],?,322,"1,2",66,"11,6",1347 kj(322 kcal),"0,1","1,8","0,01","0,004","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Crozets']",1.2 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.01 g,en faible quantité,-1,A,,,-8%,-8%,-48%,-80%,-4%,-14%,-6%,-94%,-94%,,,,,,,,,,,['La cabote de Joseph'],,,['Sachet palstique'],,,,,,,,,
384,Pain complet La Campaniere,2600610009189,['France'],[],[],?,257,"1,3","46,4","10,5",1075 kj(257 kcal),"0,4","1,4","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Huile d'olive - J. Leblanc,3760109433006,['France'],[],[],?,900,100,0,0,3766 kj(900 kcal),17,0,0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,17 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,7,C,D,,+5%,+5%,+5%,+21%,,,,-100%,-100%,+14%,+14%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,['J. Leblanc'],,,,,,,,,,,,
386,Miel d'acacia,3770003188100,['France'],[],[],?,?,?,?,?,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,B,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,
387,Merguez pur boeuf,9400468409680,['France'],[],[],?,230,15,"0,5",23,962 kj(230 kcal),"6,9","0,5",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,Galettes 4 cereales,3229820786148,['France'],[],[],?,380,0,76,"9,5",1590 kj(380 kcal),0,"1,5","0,08","0,032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Soupe de poissons,3660088100206,['France'],[],[],?,?,?,?,?,,,,,,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,,,,,,,E,,,,,,,,,,,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,,
390,5 boudins noirs piment - Porcidou - 454g,0208016022041,['France'],"['5 BOUDINS NOIRS PIMENT MAIGRE', 'GRAS ET SANG DE PORC', 'EAU', 'SEL', 'POIREAUX ET OIGNONS DESHYDRATES POIVRE PIMENT MOULU 1 %0', 'CHAPELURE ', 'GLUTEN,BLE', ' LACTOSE DEXTROSE,PROTEINES DE LAIT', 'EPICES', 'AROMES PORCS NES', 'ELEVES ET TRANSFORMES A LA REUNION']",['Non végétalien'],?,298,23,10,13,1247 kj(298 kcal),"9,3","4,2","1,6","0,64","['Viandes', 'Charcuteries']",23 g,en quantité élevée,9.3 g,en quantité élevée,4.2 g,en faible quantité,1.6 g,en quantité élevée,19,E,,,+14%,+15%,+19%,+28%,+580%,+428%,-30%,-33%,-33%,+19%,+19%,,,,,,,,4,['Porcidou'],"['Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone', 'Empreinte carbone']",454g,"['Barquette', 'Frais']",,"['Gluten', 'Lait']",['La Réunion'],,,5 boudins noirs piment,['Réunion'],,
391,Muesli chocolat,3374543306026,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Queues de crevettes décortiquées cuites réfrigérées,2869864038509,['France'],[],[],?,95,"0,5","0,5",22,397 kj(95 kcal),"0,5",0,"2,1","0,84","['Produits de la mer', 'Crustacés', 'Crevettes', 'Crevettes cuites', 'Crevettes décortiquées']",0.5 g,en faible quantité,0.5 g,en faible quantité,0 g,en faible quantité,2.1 g,en quantité élevée,5,C,D,,-11%,-11%,-67%,+10%,+6%,-100%,+15%,+16%,+16%,+28%,+28%,78.1%,0.0%,4.9%,11.3%,2.5%,3.2%,38,,,,,,,,,,,,,,
393,Fine English Oatcake Rounds,5060162820323,['France'],[],[],?,523,"22,6","63,6","12,1",2188 kj(523 kcal),"10,8","0,9","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Saucisson Sec Supérieur,0281354047884,['France'],[],[],?,382,"30,1","0,4","27,9",1598 kj(382 kcal),"11,8","0,3","4,61","1,844","['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",30.1 g,en quantité élevée,11.8 g,en quantité élevée,0.3 g,en faible quantité,4.61 g,en quantité élevée,24,E,D,,-5%,-5%,-5%,-4%,-82%,-78%,+1%,-1%,-1%,0%,0%,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,,,
395,Petites saucisses pur boeuf,9400468415940,['France'],[],[],?,239,15,"1,5",23,1000 kj(239 kcal),"6,9","1,2","1,9","0,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"jambon cuit supérieur sud ouest au piment espelette - porc du Sud Ouest - 0,240",3493600010239,['France'],"[""JAMBON CUIT SUPERIEUR AVEC COUENNE ISSU DE PORC DU SUD OUEST AU PIMENT D'ESPELETTE-4 TRANCHES Ingrédients Jambon et couenne de porc de porc du Sud Oest IGP"", 'sel', 'dextro bouillon ', 'couenne et os de porc', 'extraits de Légumes', 'épices et plantes aromatiques', 'arômes', 'Antioxydant : érythorbate de sodium E316', 'Conservateur : nitrite de sodium E250', ""piment d'Espelette AOC "", '0,3%', ' origine: porc du Sud auest IGP A conserver entre +0°C et +4°C']","['Non végétalien', 'Non végétarien']",?,134,"5,3","0,5",22,561 kj(134 kcal),"2,1","0,5","1,7","0,68","['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",5.3 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,1.7 g,en quantité élevée,5,C,C,,+2%,+3%,+10%,+14%,-25%,-16%,+4%,-9%,-9%,-29%,-29%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,4,['porc du Sud Ouest'],"['Qualité supérieure', 'Origine France']","0,240",['Plastique'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,['France'],,,,"[""33140 Villenave d'ornon""]",,
397,Canard aux cepes,3267615005821,['France'],[],[],?,94,"3,6",6,"9,1",393 kj(94 kcal),"1,3","2,2","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Terrine De Campagne Roger Vidal - Roger Vidal,3265490000139,['France'],[],[],?,454,44,"1,1",12,1900 kj(454 kcal),16,0,"1,6","0,64","['Viandes', 'Charcuteries', 'Produits à la viande', 'Terrines', 'Terrines de campagne']",44 g,en quantité élevée,16 g,en quantité élevée,0 g,en faible quantité,1.6 g,en quantité élevée,22,E,,,+41%,+41%,+55%,+48%,-52%,-100%,-14%,0%,0%,+13%,+13%,,,,,,,,,['Roger Vidal'],,,,,,,,,,,,
399,Salchichon de bellota,0004435006255,['France'],[],[],?,459,"38,3","2,1",26,1920 kj(459 kcal),"15,3","1,3",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Cafe decafeine voisin,3327370102224,['France'],[],[],?,?,?,?,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Cafés', 'Cafés décaféinés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Infusion en gelée au gingembre,1856831543181,['France'],[],[],?,281,0,64,"0,33",1176 kj(281 kcal),0,55,"0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Mermelada naranjas amarga - Hero,8410175066442,"['France', 'Espagne']","['Naranjas amargas', 'azúcar extraído de la fruta ', 'concentrado de caqui', 'concentrados de manzana y limón y gelificante ', 'pectina de citricos']",[],?,209,"0,3",51,"0,4",874 kj(209 kcal),0,50,0,0,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Marmelades', ""Marmelades d'oranges amères""]",0.3 g,en faible quantité,0 g,en faible quantité,50 g,en quantité élevée,0 g,en faible quantité,11,D,D,,-14%,-15%,+66%,-100%,-15%,-15%,+13%,-100%,-100%,-10%,-10%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,1,['Hero'],,,,,,,,,,,,
403,Noir Menthe - Charles Chocolartisan - 280g,3700774300173,['France'],"['Du chocolat en poudre ', 'sucre', 'cacao', ""un mélange d'huile de tournesol et beurre de cacao"", ' Un émulsifiant : de la lécithine de tounesol', "" De l'huile essentielle de menthe poivrée 0,1% et de la vanile de Madagascar""]",[],?,568,40,43,5,2377 kj(568 kcal),"7,7",40,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,['Charles Chocolartisan'],,280 g,['Pot'],['E322i - Lécithine'],,,,,,,,
404,Femme - 17 Sachets - Yogi Tea,4012824401099,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Yogi Tea'],,,,,,,,,,,,
405,Pur brebis chistera,0209689027425,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Touraine,3525653412415,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,6 merguez volaille,3345100007618,['France'],[],[],?,180,"10,9","4,4",16,753 kj(180 kcal),"2,9","1,4",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,Orangeade Pulpée - U,3256223022412,['France'],[],[],?,30,"0,01",7,"0,08",126 kj(30 kcal),0,7,"0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['U'],,,,,,,,,,,,
409,Poulet fermier élevé en plein air l'orléanais,2209334006612,['France'],[],[],?,183,11,"0,5",21,766 kj(183 kcal),"3,7","0,5","0,17","0,068","['Viandes', 'Volailles', 'Poulets', 'Poulets fermiers']",11 g,en quantité modérée,3.7 g,en quantité modérée,0.5 g,en faible quantité,0.17 g,en faible quantité,0,B,D,,+32%,+33%,+78%,+128%,+34%,+64%,+2%,+6%,+6%,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,['Label Rouge'],,,,,,,,,,,
