,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,eco_score,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,nova_score,brand,labels,quantity,packaging,additives,allergens,ingredients_origins,traceability_code,markets,generic_name,manufacturing,brand_owner,link
1072,3760201580028,3760201580028,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Jambon de porc fondant - Bigard,2222648041858,['France'],[],[],?,148,"7,1","1,1",20,619 kj(148 kcal),"2,8","0,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bigard'],,,,,,,,,,,,
1074,Préparation pour Poulet en Papillote Herbes de Provence,3257983795387,['France'],[],[],?,275,"2,6",55,5,1151 kj(275 kcal),"0,4","10,5","21,15","8,46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,Saint albray,2890540020990,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,Pain aux pistaches noisettes,0205170012994,['France'],[],[],?,300,"9,3",44,"9,5",1255 kj(300 kcal),"0,8","4,2","4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Merguez,3471130001422,['France'],[],[],?,305,27,1,14,1276 kj(305 kcal),13,"0,7",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Chocolat,5412351450390,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Fritons pur porc,3338600006243,['France'],[],[],?,417,34,"0,1","14,3",1745 kj(417 kcal),"15,3","0,1",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Saucisses de Toulouse,2600257020219,['France'],[],[],?,249,21,1,14,1042 kj(249 kcal),"8,6","0,7","1,5","0,6","['Viandes', 'Charcuteries', 'Saucisses', 'Saucisses françaises', 'Saucisses de Toulouse']",21 g,en quantité élevée,8.6 g,en quantité élevée,0.7 g,en faible quantité,1.5 g,en quantité modérée,17,D,E,,+14%,+13%,+28%,+34%,-40%,+14%,-7%,-13%,-13%,+13%,+13%,82.4%,13.2%,3.1%,0.8%,0.4%,0.1%,11,,,,,,,,,,,,,,
1081,Pate de lapin,3760257600015,['France'],[],[],?,282,"24,2","0,7","15,4",1180 kj(282 kcal),"9,3","0,4","2,1","0,84","['Viandes', 'Charcuteries', 'Charcuteries diverses', 'Pâté', 'Pâtés de lapin']",24.2 g,en quantité élevée,9.3 g,en quantité élevée,0.4 g,en faible quantité,2.1 g,en quantité élevée,21,E,D,,0%,+1%,+8%,+9%,-68%,-50%,-1%,+35%,+35%,+24%,+24%,76.8%,15.8%,3.6%,2.5%,1.1%,0.3%,38,,,,,,,,,,,,,,
1082,Speck fume,3700118306687,['France'],[],[],?,236,14,"0,5",27,987 kj(236 kcal),"5,6","0,5",4,"1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Haricots blancs - Delhaize,5400113538486,"['Belgique', 'France']",[],[],?,88,"0,6",11,"6,5",368 kj(88 kcal),"0,3","0,5","0,3","0,12",['en:Delhaize'],0.6 g,en faible quantité,0.3 g,en faible quantité,0.5 g,en faible quantité,0.3 g,en quantité modérée,-2,A,,,-63%,-63%,-95%,-87%,-40%,-76%,+21%,-63%,-63%,-138%,-138%,,,,,,,,,['Delhaize'],,,,,,,,['Delhaize'],,,,
1084,Saint nectaire,0200476024016,['France'],[],[],?,?,?,?,?,,,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Saint-nectaire']",,,,,,,,,,,D,,,,,,,,,,,,,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
1085,Polenta vitabella bio,8000113009848,['France'],[],[],?,349,"0,8","77,3",7,1460 kj(349 kcal),"0,2","0,4","0,003","0,001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,
1086,Nougat de Montelimar tendre,3105560076100,['France'],[],[],?,?,?,?,?,,,,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Confiseries de France', 'Nougats', 'Nougats de Montélimar']",,,,,,,,,,,E,,,,,,,,,,,,,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,,,,
1087,Graines de chia bio,3700216247332,['France'],[],[],?,?,?,?,?,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Chia']",,,,,,,,,,,D,,,,,,,,,,,,,88.0%,0.0%,4.6%,2.4%,3.1%,1.9%,35,,,['Bio'],,,,,,,,,,,
1088,Foie gras de canard - Terres Paysannes,3067163633299,['France'],[],[],?,544,56,"2,2","7,5",2276 kj(544 kcal),23,"0,9","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Terres Paysannes'],,,,,,,,,,,,
1089,Aligot,0294477026247,['France'],[],[],?,191,13,"9,5","8,6",799 kj(191 kcal),"9,1",0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,Les hauts de pez,3453521227369,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,Sirop au cacao,3760188080283,['France'],[],[],?,180,"0,06","67,1","0,04",753 kj(180 kcal),"0,007","62,6","0,015","0,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,Chocolat au lait,3421371521159,['France'],[],[],?,544,"33,9","52,2","7,4",2276 kj(544 kcal),"15,3","47,4","0,26","0,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,Saucisson corse fumé,2742821002129,['France'],[],[],?,378,"27,5",2,"30,7",1582 kj(378 kcal),"10,7","0,7",5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,"jus de raisin rosé - EARL JEHL Clément et fils - 0,95cl",,['France'],['100% raisins'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,,,,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de raisin']",,,,,,,,,,,C,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,1,['EARL JEHL Clément et fils'],,"0,95 cl",['Verre'],,,,,,,,,
1095,Cassis,3760115260320,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Lion mini,7613035715523,['France'],[],[],?,475,"20,8","65,6","5,6",1987 kj(475 kcal),"11,1","42,3","0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Lion'],,,,,,,,,,,,
