,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,traceability_code,additives,nova_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,labels,ingredients_origins,allergens,generic_name,packaging,manufacturing,markets,brand_owner,link,palm_ingredients
256,American classic pancake syrup,0415503165482,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Fromage de chèvre à tartiner - Makabi,0418440002698,['France'],"['Lait de chèvre pasteurisé', 'poivre 5 baies 5%', 'sel', 'ferments lactiques', 'coagulant']",['Non végétalien'],746,?,746 kj(178 kcal),14,10,"1,5",1,12,1,"0,4","['Makabi', 'Makabidoux']",,,3,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Fromages de chèvre', 'Fromages pasteurisés']",14 g,en quantité modérée,10 g,en quantité élevée,1 g,en faible quantité,1 g,en quantité modérée,-33%,,-37%,-39%,-38%,-10%,+3%,-31%,-26%,-26%,10,-25%,C,-25%,E,91.6%,3.0%,2.1%,2.1%,0.9%,0.3%,33,,,,['Lait'],,['Frais'],['France'],,,,
258,Champignons boîte n 1,04102015,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,100% pure apple juice from US grown fresh apples - Martinelli's - 10fl oz,04124498,"['France', 'États-Unis']",[],[],?,?,,?,,?,,?,,,"[""Martinelli's""]",,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de fruits pur jus', 'Jus de pomme', 'Jus de pommes pur jus']",,,,,,,,,,,,,,,,,,,,,,,C,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,10 fl oz,['en:KSR'],['en:US grown'],,,,,,,,
260,"Sanpellegrino Sparkling Orange Beverage, Aranciata",04150862,['France'],"['SANPELLEORINO CONTAINS water', 'orange juice from concentrate', 'sugar', 'carbon dioxide', 'citric acid', 'natural flavour']",[],?,70,293 kj(70 kcal),0,0,17,17,0,0,0,['Sanpellegrino'],,"['E290 - Dioxyde de carbone', 'E330 - Acide citrique']",4,"['Boissons', 'Boissons gazeuses', 'Sodas', 'Boissons avec sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,17 g,en quantité élevée,0 g,en faible quantité,,+159%,+153%,-100%,-100%,+151%,+157%,-100%,-100%,-100%,20,+117%,E,+117%,,,,,,,,,,,,,,,,,,,
261,Huile de coco - Bio planete - 1litre,04190248,['France'],[],[],?,?,,?,,?,,?,,,['Bio planete'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits et graines de fruits', 'Huiles de coco']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 litre,['Bio'],,,,,,,,,
262,Concentré de tomates - Victoria - 150g,041985,['France'],[],[],?,?,,?,,?,,?,,,['Victoria'],,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Tomates et dérivés', 'Concentrés de tomates']",,,,,,,,,,,,,,,,,,,,,,,B,23.6%,38.4%,18.3%,11.0%,8.7%,0.0%,96,150 g,['Fabriqué en Italie'],,,,,,,,,
263,0420120617207,0420120617207,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Chocolats - Real,0420136296458,['France'],"['sucre', 'pâte de cacao', 'lait entier en poudre', 'beurre de cacao', 'graisse végétale ', 'palme', 'noix de coco', 'caramel 2,8% ', 'lait entier concentré', 'sirop de glucose', 'graisse végétale ', 'palme', 'humectant: glycérol', 'sucre', 'émulsifiant: lécithine de soja', 'arômes', 'dextrose', 'lait concentré', 'matière grasse de lait anhydre', 'noisettes 0,6%', 'alcool', 'cacao maigre en poudre', 'sirop de sucre inverti', 'fructose', 'émulsifiant: lécithine de soja', 'poudre de lait écrémé', 'arômes', 'fraise 0,04%', ""l'extrait de café 0,02%"", 'sirop de glucose et fructose', 'jus de betterave concentré', 'fécule modifié', ' Chocolat noir: cacao 53% minimum', ' Chocolat au lait: cacao 34% minimum', ' Chocolat blanc: cacao', ""' 24% minimum"", ' Peut contenir des œufs', 'du gluten et des autres fruits à coque']","['Huile de palme', 'Non végétalien']",?,515,2155 kj(515 kcal),"30,9","19,6","51,7","50,2","5,6","0,11","0,044",['Real'],,"['E422 - Glycérol', 'E322i - Lécithine']",4,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",30.9 g,en quantité élevée,19.6 g,en quantité élevée,50.2 g,en quantité élevée,0.11 g,en faible quantité,,-3%,-2%,-3%,+13%,-1%,+6%,-5%,-28%,-28%,26,+7%,E,+7%,,,,,,,,,,,,['Fruits à coque'],,,,,,,['Huile de palme']
265,Belgian seashells,0420136296885,['France'],[],[],?,567,2372 kj(567 kcal),"36,1","23,4","55,1",54,"4,4","0,09","0,036",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
