,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
1157,Pain complet tranché,0287431011151,['France'],[],[],?,250,"1,2",47,"9,8",,1046 kj(250 kcal),"0,3","1,3","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1158,Brioche Nanterre,3388484051495,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,Sandwich complet,5332476054,['France'],[],[],?,246,"3,6",41,"8,8",,1029 kj(246 kcal),"0,5","3,5","1,1","0,44",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains de mie']",3.6 g,en quantité modérée,0.5 g,en faible quantité,3.5 g,en faible quantité,1.1 g,en quantité modérée,,-8%,-8%,-19%,-23%,-10%,-33%,+5%,-4%,-4%,2,+38%,B,+38%,,B,64.5%,20.4%,9.9%,4.5%,0.7%,0.0%,88,,,,,,,,,,
1160,Pain au chocolat,,['France'],[],[],?,405,23,40,"8,4",,1695 kj(405 kcal),11,11,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1161,Haricots rouges préparés - Bonduelle,3083680806374,['France'],[],[],?,?,?,?,?,,,,,,,,['Bonduelle'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,Poulet fermier bio,2255721036861,['France'],[],[],?,?,?,?,?,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Trio fruits secs,3700524780569,['France'],[],[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1164,No-pump Xtreme,0634065622145,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,Poulet fermier d'auvergne,0215489044678,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,Preparation de farine au seigle,3760189150046,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,Morihan Ujimatcha Ice mix,4901321519133,['France'],[],[],?,447,"12,5","76,5","7,2",,1870 kj(447 kcal),"11,2","60,5","0,68","0,272",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,Préparation salée pour tartes flambées - 2kg,3700360100224,['France'],[],[],?,189,"15,8","6,6","5,1",2 kg,791 kj(189 kcal),"5,9","3,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,Confiture biologique extra allégée de framboise et miel - Rayon d'Or,3301510191019,['France'],[],[],?,?,?,?,?,,,,,,,['Bio'],"[""Rayon d'Or""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170,Superfood Muesli Baies de Goji & Mûres Blanches,3770011826285,['France'],[],[],?,393,11,53,15,,1644 kj(393 kcal),"1,8",22,"0,13","0,052","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Superfood Muesli Baies des Incas & Noix de Cajou,3770011826292,['France'],[],[],?,428,20,41,15,,1791 kj(428 kcal),"3,2",9,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1172,Faux filet,0249835034372,['France'],[],[],?,148,"6,7",0,22,,619 kj(148 kcal),"1,7",0,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1173,Superfood Muesli Antioxydant,3770011826308,['France'],[],[],?,418,18,45,14,,1749 kj(418 kcal),3,18,"0,11","0,044","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,Preparation citron pressés,2045376104530,['France'],[],[],?,43,"0,1",10,"0,2",,180 kj(43 kcal),0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,Filet mignon de porc,2209250005232,['France'],[],[],?,128,"2,7",0,23,,536 kj(128 kcal),"1,3",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1176,Superfood Muesli Prébiotique,3770011826315,['France'],[],[],?,441,23,36,15,,1845 kj(441 kcal),5,"8,9",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Galette-Repas Tomates & Origan,3770011826322,['France'],[],[],?,382,12,48,15,,1598 kj(382 kcal),"1,6",10,"0,17","0,068","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1178,Galette-Repas Carottes & Persil,3770011826339,['France'],[],[],?,394,12,51,14,,1648 kj(394 kcal),"1,5",11,"0,21","0,084","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Caviar de l'isle,3760115034105,['France'],[],[],?,212,"12,9","1,6",32,,887 kj(212 kcal),"3,1","1,6","3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Poulet fermier,2160770007673,['France'],[],[],?,161,"8,5",0,21,,674 kj(161 kcal),"2,7",0,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,Galette-Repas Anti-glycation,3770011826346,['France'],[],[],?,406,16,42,16,,1699 kj(406 kcal),"1,8","0,4",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,Miel d'acacia,3770006151002,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1183,Huile d'olive - Terra Delyssa,94494556,['France'],[],[],?,?,?,?,?,,,,,,,,['Terra Delyssa'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,,,,,,,,,,,,,,,,,,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
1184,Galette-Repas Immunité,3770011826353,['France'],[],[],?,404,14,48,15,,1690 kj(404 kcal),"1,9","0,8",,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,Sirop saveur rose - Savor & Sens,3760194200446,['France'],[],[],?,?,?,?,?,,,,,,,,['Savor & Sens'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Energy Balls Baies de Goji & Cannelle,3770011826360,['France'],[],[],?,355,10,52,"9,5",,1485 kj(355 kcal),"1,1",45,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,Nimm2 soft sauer - 414g,4014400927955,"['France', 'Allemagne']",[],[],?,?,?,?,?,414 g,,,,,,,['Nimm2'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Produkt'],,,,,,,,
1188,Energy Balls Amandes & Algue Nori,3770011826377,['France'],[],[],?,380,15,47,10,,1590 kj(380 kcal),"1,3",44,"0,1","0,04","['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1189,Energy Balls Antioxydant,3770011826384,['France'],[],[],?,369,13,50,"8,4",,1544 kj(369 kcal),2,45,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,4008391040397,4008391040397,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1191,Huile d'olive,8435421404885,['France'],[],[],?,900,100,0,0,,3766 kj(900 kcal),12,0,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",100 g,en quantité élevée,12 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,,+5%,+5%,+5%,-14%,,,,-100%,-100%,6,-2%,C,-2%,,D,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,
1192,Poulet blanc ferlier label rouge,2860480039888,['France'],[],[],?,?,?,?,?,,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Energy Balls Alcalinisant,3770011826391,['France'],[],[],?,351,11,50,"8,4",,1469 kj(351 kcal),2,45,,,"['Nutriscore', 'Nutriscore A']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,Comte 12 mois,2210178034778,['France'],[],[],?,427,35,1,27,,1787 kj(427 kcal),23,0,"0,76","0,304",,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",35 g,en quantité élevée,23 g,en quantité élevée,0 g,en faible quantité,0.76 g,en quantité modérée,,+2%,+2%,+1%,+1%,+116%,-100%,+0%,-9%,-9%,13,0%,D,0%,,D,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,
1195,Billes de chèvre cœur de tomate,3760228211967,['France'],[],[],?,255,18,"6,7",16,,1067 kj(255 kcal),12,"3,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,vinaigre balsamique de Modène,8022004300841,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']",,,,,,,,,,,,,,,,,,,,,,,,B,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,['Italie']
1197,Batons de chocolat - 3lbs,3395328183977,['France'],[],[],?,562,38,46,6,3 lbs,2351 kj(562 kcal),23,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,Noix de cajou,46442710,['France'],[],[],?,?,?,?,?,,,,,0,0,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,E,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,
1199,Poulet d 'ici,2228351021125,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Saucisse sèche,2278596043888,['France'],[],[],?,335,"22,16","0,5","33,84",,1402 kj(335 kcal),"9,06","0,07","4,3","1,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Pomme cerise - 75cl,3342210000041,['France'],[],[],?,39,"0,8","9,5","0,5",75 cl,163 kj(39 kcal),"0,1","8,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Home freshener  flowers,8717496473851,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1203,Jambon roti aux herbes,2874251023686,['France'],[],[],?,119,"3,4",0,22,,498 kj(119 kcal),1,0,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1204,Rosé,3760023940550,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']",,,,,,,,,,,,,,,,,,,,,,,,C,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,['France']
1205,Chaumes,0202110015602,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Mini gratin pommes de terre et épinards - 720g,405197916304,['France'],[],[],?,510,"6,6","9,5","5,4",720 g,2134 kj(510 kcal),0,"3,1","0,68","0,272",,,"['Plats préparés', 'Gratins']",6.6 g,en quantité modérée,0 g,en faible quantité,3.1 g,en faible quantité,0.68 g,en quantité modérée,,+295%,+302%,-5%,-100%,-4%,+61%,+13%,-4%,-4%,6,+42%,C,+42%,,,,,,,,,,,,,,,,,,,
1207,Volvic rodusta litchi,3057640528378,['France'],[],[],?,?,?,?,?,,,,,,,,['Volvic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Curcuma poudre Niclaus,3543020141485,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,Tomate mozarelle - Coop Betty Bossi,7624841799317,['France'],[],[],?,80,"5,1","2,2","5,8",,335 kj(80 kcal),"5,1",0,"0,18","0,072",,['Coop Betty Bossi'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Le cacouyard,2285474032407,['France'],[],[],?,309,"25,5","1,17","18,8",,1293 kj(309 kcal),"15,93","0,1","1,07","0,428",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,Sauce apero - Florette,54549685,['France'],[],[],?,350,36,"5,2","1,4",,1464 kj(350 kcal),"2,8",3,"1,1","0,44","['Sans colorants', 'Sans conservateurs']",['Florette'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,Cafe litchi - Volvic,50082452,['France'],[],[],?,?,?,?,?,,,,,,,,['Volvic'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,Cristaline,9254680005003,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Saumur champigny,26098012,['France'],[],[],?,?,?,?,?,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Sauce Nems,3700799300493,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,Waitrose,5000169649299,['France'],[],[],?,?,?,?,?,,,,,,,,['Waitrose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,
1217,Museau de boeuf mayonnaise,2677421019744,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 38199R', 'Jardin (Isère, France)']",,,,,,,,,,,,,,,,,,
1218,Rhum arrangé Ananas,3255610041593,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie', 'Rhums']",,,,,,,,,,,,,-100%,,,,,,,,,,,C,0.0%,41.3%,42.0%,11.2%,3.5%,2.0%,57,,,,,,,,,,
1219,Papaye et ananas séchés - 100g,5706779065787,['France'],[],[],?,353,0,87,0,100 g,1477 kj(353 kcal),0,70,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,sel pyramide blanc - 45g,3418321253017,['France'],[],[],?,?,?,?,?,45 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Montfor. bloc FG CND MCX BT200G,3358720004790,['France'],[],[],?,488,50,"3,1",6,,2042 kj(488 kcal),21,"0,9","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Waitrose,5000169529102,['France'],[],[],?,?,?,?,?,,,,,,,,['Waitrose'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Waitrose'],,,,,
1223,Les pains d'epices au citeon de Bertand,3760290180161,['France'],[],[],?,308,"4,53","63,04","4,78",,1289 kj(308 kcal),"2,6","30,99","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,Muffin chocolat,0209288019616,['France'],[],[],?,380,19,46,5,,1590 kj(380 kcal),"3,7",26,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,"2017 Bourgogne Hautes côtes de Beaune ""Dames Guillots""",3267680064327,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Etoile pain d'epices - 25g,4000379075117,['France'],[],[],?,347,"0,7",78,"6,8",25 g,1452 kj(347 kcal),"0,2",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,Noël en rêve,3665206106450,['France'],[],[],?,1,0,"0,2","0,1",,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Canard guillaume,20162140,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,Café - 250g,3487772020233,['France'],[],[],?,1,0,"0,3","0,2",250 g,4 kj(1 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,les éleveurs UNIBIO,0205807013844,['France'],"[""Ruchan le Boucher 59155 FACHES THUMESNIL Origine : FRANCE N° traçabilité : 01769657 Catágorie : GENISSE Abattoir : FR61001001 FRANCE Type racial : VIANDE Découpé : FR61001001 FRANCE VIANDE BOVINE BIO 1 STEAK** A GRILLER Produit issu de l'agriculture biologique"", 'Certifie FR-BIO-01', ' Agriculture France']",[],?,?,?,?,?,,,,,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['les éleveurs UNIBIO'],['Viande bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Barquette'],,,['Auchan'],,,,,
1231,Lomos à la mexicaine,2692407036935,['France'],[],[],?,168,"9,1","3,6",18,,703 kj(168 kcal),"2,7","1,9","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,"Légumes verts, pâtes et dinde - Auchan - 2x 200g",3596710476299,['France'],[],[],?,61,"1,8","6,6","3,6",2 x 200 g,255 kj(61 kcal),"0,5","1,4",,,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,
1233,Le poulet fermier de ma campagne label rouge,0215939070387,['France'],[],[],?,?,?,?,?,,,,,,,['Label Rouge'],,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.215.001 CE', 'Saint-Fulgent (Vendée, France)']",,,,,,,,,,,,,,,,,,
1234,Chili con Jacquier - haché façon tex-mex - Ethnoscience - 200g,3760087362503,['France'],[],[],?,74,"2,7",7,"2,7",200 g,310 kj(74 kcal),"0,3",3,"0,35","0,14","['Bio', 'Bio européen', 'en:IN-BIO-134', 'AB Agriculture Biologique']","['Ethnoscience', 'Ecoidées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Légumes poulet fermier - Auchan - 2x 200g,3596710476268,['France'],[],[],?,63,"2,2","7,5","2,5",2 x 200 g,264 kj(63 kcal),"0,4","2,2",,,['Bio'],['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Auchan'],,,,,
1236,Original Philadelphia,07514807,['France'],[],[],?,225,21,"4,3","5,4",,941 kj(225 kcal),14,"4,3","0,75","0,3",,['Philadelphia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Bernard Remy Brut Champagne 750 ML,3553200100027,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Roti porc cuit - 160g,2095717136010,['France'],[],[],?,122,"2,5","0,9",24,160 g,510 kj(122 kcal),"0,9","0,9","1,4","0,56","['Nutriscore', 'Nutriscore B']",,,,,,,,,,,,,,,,,,,,,,,,,"['FR 85.182.003 CE', 'Pouzauges (Vendée, France)']",,,,,,,,,,"['Film en plastique', 'Barquette']",,,,,,,,
1239,Aceite de Jamón Ibérico de Bellota,8425402175996,['France'],[],[],?,898,"99,83","0,1","0,1",,3757 kj(898 kcal),21,"0,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Crème glacée,,['France'],[],[],?,193,"6,3",28,"4,2",,808 kj(193 kcal),"4,4",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,Miel et or fin,3770011960071,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,
1242,Vin rosé,3760188390658,['France'],[],[],?,?,?,?,?,,,0,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins rosés']",,,,,,,,,,,,,-100%,,,,,,,,,,,D,46.7%,3.7%,29.6%,13.4%,5.1%,1.4%,45,,,,,,,,,,
1243,Dos de lieu noir msc,0201089014173,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,Chocolat blanc - Hema,8718537557622,['France'],[],[],?,558,34,"56,7","6,4",,2335 kj(558 kcal),21,"56,7","0,23","0,092",,['Hema'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,Pollen congelé a l'etat frais - 250g,3760023951587,['France'],[],[],?,?,?,?,?,250 g,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Edamame grillée à sec,0711575010218,['France'],[],[],?,131.31313131313,"4,545","9,091","14,141",,549 kj(131 kcal),"0,505","1,01","0,328","0,131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,Jus de pomme Royal Gala,3760195902493,['France'],[],[],?,45,"0,5",11,"0,5",,188 kj(45 kcal),"0,1",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,Cetones de framboise,3700446417048,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Tartinade de morue,3323205300957,['France'],[],[],?,96,"4,1","3,9","10,9",,402 kj(96 kcal),"2,4","1,2","4,91","1,964",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,"2006 Domaine La Roche, Costières De Nîmes",3428820000111,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Banana chip with sugar,8852646021503,['France'],[],[],?,462,19,67,"1,6",,1933 kj(462 kcal),"7,9",19,"0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,Balsamic Vinegar Modena 8.500 Oz - Bertolli,0041790000023,['France'],[],[],?,10,0,2,0,,42 kj(10 kcal),0,2,0,0,,['Bertolli'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Houmous de thon et haricots blancs bio,3375160234013,['France'],[],[],?,226,16,"5,4",14,,946 kj(226 kcal),"1,9","1,3","0,17","0,068","['Bio', 'Bio européen', 'FR-BIO-01']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",16 g,en quantité modérée,1.9 g,en quantité modérée,1.3 g,en faible quantité,0.17 g,en faible quantité,,-14%,-14%,-21%,-23%,-49%,-3%,+116%,-84%,-84%,-2,-140%,A,-140%,,B,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,,,,
1254,3 / 1 Creme Dessert Vanille Yabon,3700278400447,['France'],[],[],?,100,"2,8","14,9","3,6",,418 kj(100 kcal),"1,9","12,4","0,21","0,084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Tartelette gout amande - 400g,63740561,['France'],[],[],?,444,20,61,"4,2",400 g,1858 kj(444 kcal),"6,3",33,"0,53","0,212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Cheese puffs,0040032137510,['France'],[],[],?,170,11,15,2,,711 kj(170 kcal),4,1,"2,7","1,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Chips anneaux,3660207815530,['France'],[],[],?,500,"23,4","69,1","3,2",,2092 kj(500 kcal),"9,96","0,67","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,Préparation pour pancakes -  - 350g,3560070952243,['France'],[],[],?,366,"1,9",75,11,350 g,1531 kj(366 kcal),"0,5",22,"1,5","0,6",['Fabriqué en France'],,"['Aides culinaires', 'Préparations pour desserts', 'Préparations pour crêpes']",,,,,,,,,,+16%,+18%,-48%,-53%,+53%,+208%,-21%,+20%,+20%,,,,,,,,,,,,,,,,,,,,,,,
