,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,brand,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,link,markets,allergens,nova_score,additives,palm_ingredients,ingredients_origins
34,Champignons émincée - 373g,2868020015873,['France'],[],[],?,25,"0,9","1,2","2,4",373 g,105 kj(25 kcal),"0,32","0,2",,,"['Sans additifs', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Andouille champêtre & Saucisson sec,3300410001459,['France'],[],[],?,318,24,"0,9",24,,1331 kj(318 kcal),11,0,"3,9","1,56",,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 44.204.003 CE', 'Thouaré-sur-Loire (Loire-Atlantique, France)']",,,,,,,,,,,,,,,,,,
36,Original orange,7503013101212,['France'],[],[],?,132,"8,25","13,3","1,25",,552 kj(132 kcal),2,"12,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Mach'os,3166780143010,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Buche chevre,0200081010046,['France'],[],[],?,?,?,?,?,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Robinsons DC Orange No Added Sugar,5391521840127,['France'],[],[],?,15,0,"1,2",0,,63 kj(15 kcal),0,"1,2","0,16","0,064",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,8470009549251,8470009549251,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Beef kebab,5902082423232,['France'],[],[],?,231,17,"3,2",18,,967 kj(231 kcal),"8,4","0,7",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Cubes sour cola bottles,8697436520176,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Doganay Uzum Sirkesi / Grape Vinegar - 500 ML,8693354003418,['France'],[],[],?,36,0,9,0,,151 kj(36 kcal),0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Farine,4008639210056,['France'],[],[],?,335,1,"71,8","10,6",,1402 kj(335 kcal),"0,15","0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Gratin de pates au comté,3254560357112,['France'],[],[],?,195,"9,4",16,11,,816 kj(195 kcal),"6,4",2,"0,99","0,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Melange grain ergy fruits secs,3760149995663,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Gorgonzola aop,0206197009516,['France'],[],[],?,330,27,0,19,,1381 kj(330 kcal),19,0,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Parmentier au canard,280400501320101520300000,['France'],[],[],?,153,"8,5","9,7","9,1",,640 kj(153 kcal),"4,5","1,7","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Filet de lieu noir,2869803024808,['France'],[],[],?,?,?,?,?,,,,,0,0,,,"['Produits de la mer', 'Poissons', 'Lieu noir', 'Filets de lieu noir']",,,,,,,0 g,en faible quantité,,,,,,,,,-100%,-100%,,,,,,,,,,,,,,,,,,,,,,,
50,Salade bretonne,0209024013052,['France'],[],[],?,131,"8,6","3,1","9,7",,548 kj(131 kcal),"4,1","0,8","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,RIBS de porc Barbecue,2245063060099,['France'],[],[],?,249,17,"5,9",18,,1042 kj(249 kcal),"6,6","4,7","1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,12 burgers original - Isla Délice,13369453,['France'],[],[],?,204,15,"3,3",13,,854 kj(204 kcal),"7,2","2,5","1,1","0,44",['Halal'],['Isla Délice'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Coca-Cola pêche - 5x 250ml,6442604239587,['France'],[],[],?,0.4,0,0,0,5 x 250 ml,2 kj(0 kcal),0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Salers,2441839038648,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Vinaigrette ciboulette,5420058004853,['France'],[],[],?,560,"58,8","4,2","0,8",,2343 kj(560 kcal),"3,4","3,9","2,23","0,892",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,La demoiselle D'Haut-Peyrat - 200g,3392576021143,['France'],[],[],?,?,?,?,?,200 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Sel de loup,3165720448024,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Lavandiere,3760051308605,['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['EMB 83148F', 'Vidauban (Var, France)']",,,,,,,,,,,,,,,,,,
59,Campagnola Bardolino,8002645221064,['France'],[],[],?,0,?,?,?,,0 kj(0 kcal),0,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins italiens']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Crêma glacée cacao,3760288410096,['France'],[],[],?,?,?,?,?,,,,,,,,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,,,,,,,,,,,,,,,,,,,,,,,B,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,,
