,name,bar_code,eco_score,categories,traceability_code,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,labels,quantity,packaging,additives,nova_score,ingredients_origins,markets,generic_name,manufacturing,allergens,link,palm_ingredients,origin_detail
1644,Saumon fumé artisanal,3770018001036,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],[],[],4.3 g,en quantité modérée,0.9 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,?,,170,-8%,711 kj(170 kcal),-8%,"4,3",-59%,"0,9",-56%,0,-100%,0,-100%,22,-0%,0,-100%,0,-100%,-3,-123%,A,-123%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,,,,,,,,
1645,The blanc a l’aloe vera - Yogi Tea,4012824405271,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Yogi Tea'],,,,,,,,,,,,,
1646,Fulfil chocolate brownie flavour,5391532122298,,,,['France'],[],[],,,,,,,,,?,,359,,1502 kj(359 kcal),,"13,4",,8,,"29,5",,"2,7",,"36,4",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,Algota navet,6210924037257,,,,['France'],[],[],,,,,,,,,?,,65,,272 kj(65 kcal),,0,,0,,60,,0,,1,,"2,46",,"0,984",,,,,,,,,,,,,,,,,,,,,,,,,,
1648,Jambin de bellota iberique,0206237047065,,,,['France'],[],[],,,,,,,,,?,,317,,1326 kj(317 kcal),,21,,"7,2",,"0,5",,"0,5",,33,,"4,3",,"1,72",,,,,,,,,,,,,,,,,,,,,,,,,,
1649,Galak chasse aux oeufs,7613287102089,,,,['France'],[],[],,,,,,,,,?,,553,,2314 kj(553 kcal),,"33,5",,"20,2",,"51,9",,"51,4",,"10,4",,"0,32",,"0,128",,,,,,,,,,,,,,,,,,,,,,,,,,
1650,Tagliatelle paglia e fiend,3760273250850,,,,['France'],[],[],,,,,,,,,?,,283,,1184 kj(283 kcal),,"2,4",,"0,6",,"54,5",,"0,8",,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,Terrine forestière aux Bolets,3067163622262,,,,['France'],[],[],,,,,,,,,?,,256,,1071 kj(256 kcal),,21,,"7,6",,"2,6",,1,,15,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,,
1652,Pain blanc,3770017770001,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,Nos Toasts Chauds,3660088144231,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,Aroma mix,9002859110139,,,,['France'],[],[],,,,,,,,,?,,147,,615 kj(147 kcal),,"0,5",,"0,1",,27,,20,,"7,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,Yerba Maté,7790387800043,,,,['France'],[],[],,,,,,,,,?,,61,,255 kj(61 kcal),,0,,0,,12,,0,,3,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,Sucre muscovado,3664786392444,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,Jardin Tropical,2700962001128,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,Pan leggero croccante,8032758700965,,,,['France'],[],[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"1,8",,"0,3",,74,,"0,7",,"8,2",,"0,52",,"0,208",,,,,,,,,,,,,,,,,,,,,,,,,,
1659,Mixed Dried Fruit Rulers 180g,6005000653656,,,,['France'],[],[],,,,,,,,,?,,255.5556,,1069 kj(255 kcal),,"0,556",,"0,556",,"55,556",,"42,222",,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,Pain au raisin,0209132020997,,,,['France'],[],[],,,,,,,,,?,,322,,1347 kj(322 kcal),,12,,"7,7",,48,,20,,"6,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,,
1661,Chapelure semoule craquant,2770045667305,,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,"1,25",,"0,21",,"71,6",,1,,"10,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,3222475047442,3222475047442,,,"['EMB 19007', 'Altillac (Corrèze, France)']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,['Sachet en plastique'],,,,,,,,,,
1663,Tartines quinoa,3291960016171,,,,['France'],[],[],,,,,,,,,?,,373,,1561 kj(373 kcal),,3,,"0,5",,"76,8",,"3,9",,"8,8",,"0,75",,"0,3",,,,,,,,,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,
1664,sauce basquaise,3760239184403,,,,['France'],[],[],,,,,,,,,?,,98,,410 kj(98 kcal),,"7,6",,"0,5",,"5,3",,"4,1",,"1,4",,"2,1",,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
1665,Muesli con semi e frutti di bosco - Despar - 350,8001300803331,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Mueslis', 'Céréales aux fruits', 'Mueslis aux fruits']",,['France'],"['Fiocchi di avena integrale""', 'fiocchi d\'orzo integrale""', 'fiocchi di Frumento integrale""', 'fiocchi di segale integrale""', 'fiocchi di riso e frumento integrale tostati"" ', 'riso""', 'Frumento integrale""', 'zucchero di canna""', ""glutine di Frumento'"", 'farina di Frumento', ""estratto di malto d'orzoʻ"", 'sale marino', 'emulsionante: lecitine di girasole', 'semi di lino"" ', '5%', 'semi di girasole ', '3%', ' amaranto soffiato', 'semi di zucca ', '2%', 'lamponi liofilizzati a pezzi ', '2%', 'more liofitizzate ', '2%', 'mirtilli neri liofilizzati ', '2%']",[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,53.5%,25.9%,8.6%,6.8%,5.2%,0.0%,90,"['Despar', 'Spar']","['Bio', 'Commerce équitable', 'Commerce équitable Bio']",350,['Plastique'],,4,,['épicerie solidaire'],,['Casalecchio di reno'],['Gluten'],,,
1666,Brookie,3456580128738,,,,['France'],[],[],,,,,,,,,?,,438,,1833 kj(438 kcal),,25,,"8,2",,46,,29,,"6,2",,"0,3",,"0,12",,,,,,,,,,,,,,,,,,,,,,,,,,
