,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
1892,Flammekueche Myrtilles -  - ...,3267060523017,...,,['France'],[],[],?,178,745 kj(178 kcal),"6,2","3,8",27,"7,18",3,"0,31","0,124",C,,"['Plats préparés', 'Tartes', 'Pizzas tartes salées et quiches', 'Tartes salées', 'Flammekueches']",,,,,,,6.2 g,en quantité modérée,3.8 g,en quantité modérée,7.18 g,en quantité modérée,0.31 g,en quantité modérée,,-24%,-24%,-47%,-28%,+12%,+115%,-57%,-75%,-75%,6,-47%,C,-47%,64.0%,16.9%,4.0%,4.3%,2.3%,8.5%,64,,,,,,
1893,Pain au chocolat x1,0201421005258,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Prince,17797544,,,['France'],[],[],?,465,1946 kj(465 kcal),17,"5,6",69,32,"6,4","0,58","0,232",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Mini beignets fourrés assortis,2042600022967,,,['France'],[],[],?,312,1305 kj(312 kcal),14,"6,5",40,11,"5,2","0,69","0,276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Chaussons aux pommes,0205933019024,,,['France'],[],[],?,323,1351 kj(323 kcal),18,11,35,11,"4,3","0,63","0,252",B,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Chaussons aux pommes']",,,,,,,18 g,en quantité modérée,11 g,en quantité élevée,11 g,en quantité modérée,0.63 g,en quantité modérée,,+3%,+2%,0%,-4%,+6%,+4%,+10%,+5%,+5%,18,+6%,D,+6%,75.3%,14.7%,6.1%,3.4%,0.5%,0.0%,75,,,,,,
1897,Ice tea peche zero sucre,13565053,,,['France'],[],[],?,1,4 kj(1 kcal),"0,5","0,04","0,01",0,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Gigli Fabriqué en Italie - Auchan,3596710479696,,['Auchan'],['France'],[],[],?,351,1469 kj(351 kcal),"1,3","0,3",70,"3,2",13,,,,,,"['Nutriscore', 'Nutriscore E']",,,['Auchan'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1899,Croque au sel de l'île de Ré,3558180030555,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,Confiture de cerise,3436923647300,,,['France'],[],[],?,224,937 kj(224 kcal),"0,2","0,05",55,55,"0,7","0,1","0,04",D,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Petit-déjeuners', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de cerises']",,,,,,,0.2 g,en faible quantité,0.05 g,en faible quantité,55 g,en quantité élevée,0.1 g,en faible quantité,,+1%,+1%,-18%,+11%,+2%,+6%,+9%,+279%,+279%,11,+12%,D,+12%,73.9%,8.9%,10.5%,4.6%,1.7%,0.4%,50,,,,,,
1901,Miel de garrigue,3760004220015,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,Miel de Bretagne - Le Verger des Abeilles,3335440134921,,['Le Verger des Abeilles'],['France'],[],[],?,?,,?,,?,,?,,,B,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
1903,Gingembre confit,8422193001190,,,['France'],[],[],?,83.65,350 kj(83 kcal),0,0,62,62,0,"3,5","1,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,Donut parfum caramel,0207619019021,,,['France'],[],[],?,422,1766 kj(422 kcal),26,12,30,19,45,0,0,B,,"['Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,,,,,,26 g,en quantité élevée,12 g,en quantité élevée,19 g,en quantité élevée,0 g,en faible quantité,,+3%,+3%,+14%,+13%,-33%,+13%,+660%,-100%,-100%,19,-3%,E,-3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,
1905,Biscuits orange sésame chocolat noir,29029808,,,['France'],[],[],?,470,1966 kj(470 kcal),23,"8,8",50,22,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,Extrato de ervas,7894345942247,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,Café,3442647570015,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,PEAR Sun dried fruits,4850009990200,,,['France'],[],[],?,131,548 kj(131 kcal),"0,315",0,"34,85","31,1","0,935",3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,Jus de fruits exotiques,3257986024835,,,['France'],[],[],?,48,201 kj(48 kcal),"0,5",0,11,11,"0,5",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910,Huile de tournesol,3770012097080,,,['France'],[],[],?,?,,?,,?,,?,,,C,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']","['Bio', 'Bio européen', 'FR-BIO-10']",,,,,,,,,,,,,,,,,,,,,,,,,,,,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,
1911,Bière ambrée,3770005040017,,,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912,Vinaigre d’Alcool cristal,3302950002293,,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Vinaigres', ""Vinaigres d'alcools"", ""Vinaigre d'alcool cristal""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,
1913,0202456009518,0202456009518,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1914,Agneau Fermier,2247523067174,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,Confiture fraise,0077890440179,,,['France'],[],[],?,50,209 kj(50 kcal),0,0,13,13,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
