,name,bar_code,quantity,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,packaging,categories,labels,ingredients_origins,manufacturing,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,generic_name,link,origin_detail,palm_ingredients
390,The glace,3257983541342,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Paëlla aux légumes et poulet,4062300379183,,,['France'],[],[],?,320,1339 kj(320 kcal),"2,05","0,5","9,7","1,2","2,9","0,28","0,112",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Tomme Noir des Pyrénées,0214042015940,,,['France'],[],[],?,344,1439 kj(344 kcal),28,20,1,"0,5",22,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Italian Organic Tomato Purée,5060178070101,,,['France'],[],[],?,103,431 kj(103 kcal),"0,5","0,1","18,9","12,2","4,3",10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Épices couscous,3543020140266,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Pop-ups,5600961107562,,,['France'],[],[],?,490,2050 kj(490 kcal),25,15,62,43,"4,2","1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,Confiture fruits rouges,3770002754566,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Drakkar Cola,3760133823804,,,['France'],[],[],?,48,201 kj(48 kcal),0,0,12,"11,6",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,3760042275022,3760042275022,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,Candy Planet Bananes Shneider's,0838948000086,,,['France'],[],[],?,98,410 kj(98 kcal),0,0,23,20,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,Butterzopf - Tresse au beurre,20024277,,,['France'],"['enriched wheat flour ', 'wheat flour', 'niacin', 'reduced iron', 'thiamine mononitrate', 'riboflavin', 'folic acid', 'vegetable oil ', 'contains one or more of the following: canola', 'cottonseed', 'palm', ' preserved by tbhq', 'salt', 'dehydrated vegetables ', 'carrot', 'green peaš', 'garlic', 'onion', 'maltodextrin', 'contains less than 2% of: monosodium glutamate', 'freeze dried shrimp', 'sugar', 'hydrolyzed corn protein', 'hydrolyzed wheat protein', 'hydrolyzed soy protein', 'dehydrated soy sauce ', 'wheat ', 'soybeans', 'salt', 'caramelcolor', 'spice', 'yeast extract', 'potassium carbonate', 'sodium hexametaphosphate', 'sodium tripolyphosphate', 'monosodium phosphate', 'sodium carbonate', 'natural flavors', 'sesame oil', 'disodium guanylate', 'disodium inosinate', 'lactose', 'chicken broth', '47% 69g14% 7% sugars 1% 0% 0% contains wheat', 'soy', 'milk', 'and shrimp ingredients', '15% 4% v', ' tells you how ving of food et', '2,000 calories a i nutrition advice', 'omaruchan', 'inc', 'irvine', 'ca 92618 www ,maruchan,com made in u,s,a', '© maruchan', 'inc', '2019']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,290,1213 kj(290 kcal),"7,5","4,7",45,4,"9,7","1,3","0,52",,,,,,,,"['Gluten', 'Lait', 'Soja']",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['E319 - Butylhydroquinone tertiaire', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E452i - Polyphosphate de sodium', 'E452vi - Tripolyphosphate de sodium et de potassium', 'E339i - Phosphate monosodique', 'E627 - Guanylate disodique', 'E631 - Inosinate disodique']",,,,
401,wok de saison,2868070018565,,,['France'],[],[],?,19,79 kj(19 kcal),"0,5","0,1","2,1","0,6","1,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,Tortilla Rolls Crispy cheese flavour,20211318,,,['France'],[],[],?,502,2100 kj(502 kcal),26,"2,6",59,"1,5",6,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,Miel,3760197947744,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,Sangria -  - 1l,8413425050031,1 l,,['France'],[],[],?,?,,?,0,?,,?,,,D,['Verre'],"['Boissons', 'Boissons alcoolisées', 'Sangria']",,,,,,,,,,,,,,,,,,,-100%,,,,,,,,,,36.7%,10.1%,36.4%,11.6%,4.1%,1.1%,38,,,,,,
405,Creme fouetter,8003180904993,,,['France'],[],[],?,328,1372 kj(328 kcal),29,28,18,15,"0,2",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,6 Galettes de blé noir,3326120010789,,,['France'],[],[],?,170,711 kj(170 kcal),"1,8","0,4",31,"0,5","5,8","1,4","0,56",B,,"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",,,,,,,1.8 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en quantité modérée,,-4%,-4%,-54%,-75%,+14%,-30%,-15%,+6%,+6%,5,-3%,C,-3%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,,,,,,
407,Jambon rôti aux herbes,2228508052286,,,['France'],[],[],?,133,556 kj(133 kcal),5,"1,8","0,1","0,1",22,"2,2","0,88",,['Film en plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 12.063.025 CE', 'Cavalerie (Aveyron, France)']",,,,,
408,Merguez,3377440001827,,,['France'],[],[],?,220,920 kj(220 kcal),17,"8,5","3,1","1,2","13,7","1,78","0,712",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Rosé,3330620016592,,,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Tisane Camomille BIO,3554740100720,,,['France'],[],[],?,0,0 kj(0 kcal),"0,1",0,"0,2","0,05","0,05",,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,1220000070615,1220000070615,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,7804320276311,7804320276311,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Peanut & raisins,5060135539160,,,['France'],[],[],?,464,1941 kj(464 kcal),27,"4,4",39,38,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,Panier Yoplait aux fruits 0%,3291330006740,,,['France'],[],[],?,74,310 kj(74 kcal),"0,1",0,12,12,44,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Burgonyaszirom - Chio - 40g,5997312706025,40g,['Chio'],['France'],[],[],?,556,2326 kj(556 kcal),35,3,57,"0,6","2,4",1,"0,4",,,"['Snacks', 'Snacks salés', 'Apéritif', 'Chips et frites', 'Chips']",,,,,,,35 g,en quantité élevée,3 g,en quantité modérée,0.6 g,en faible quantité,1 g,en quantité modérée,,+8%,+8%,+19%,-3%,+5%,-74%,-58%,-25%,-25%,12,+3%,D,+3%,,,,,,,,,,,,,
416,Rigatoni veggie,54431775,,,['France'],[],[],?,340,1423 kj(340 kcal),"1,7","0,2","55,3","2,4","21,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,Nectarine,26006123,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Basilic,3760169230058,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"Nougat gourmet peanut, almond, cranberries",5203937022984,,,['France'],[],[],?,395,1653 kj(395 kcal),"7,8","1,7",76,65,"4,2","0,1","0,04",E,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']",,,,,,,7.8 g,en quantité modérée,1.7 g,en quantité modérée,65 g,en quantité élevée,0.1 g,en faible quantité,,-12%,-12%,-53%,-14%,+16%,+19%,-41%,+33%,+33%,15,-6%,D,-6%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,
420,Baguette de tradition francaise,3700462030948,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Macédoine de légumes,3193840012849,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'en:canned-drained-diced-mixed-vegetables']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,Pain multicéréales,,,,['France'],[],[],?,278,1163 kj(278 kcal),"3,2","0,4",52,"1,1","8,6","1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,0058496329884,0058496329884,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Confiture Cerise noire,3396745002247,,,['France'],[],[],?,188,787 kj(188 kcal),"0,5","0,1",45,43,"0,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,Gris - Domaine Casanova - 75cl,3381784711168,75 cl,['Domaine Casanova'],['France'],['sulfites'],['Sans huile de palme'],?,?,,?,,?,,?,,,B,"['Bouteille verre', 'Point vert']","['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français']","['IGP', 'Déconseillé aux femmes enceintes']",['France'],"[""Les Vignerons d'Aghione"", '20270', 'Aghione', 'France']",['Carrefour Market'],['Anhydride sulfureux et sulfites'],3,,,,,,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,
426,cerneaux de noix -,03743591,,,['France'],[],[],?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,Crousti Noix,3760270410011,,,['France'],[],[],?,598,2502 kj(598 kcal),"43,3",4,39,"35,1","9,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Hachis Parmentier - Belle France,3258561240794,,['Belle France'],['France'],[],[],?,112,469 kj(112 kcal),5,"2,5","9,3","0,6",5,"0,8","0,32",E,,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats au bœuf', 'Hachis parmentier']",,,,,,,5 g,en quantité modérée,2.5 g,en quantité modérée,0.6 g,en faible quantité,0.8 g,en quantité modérée,,-11%,-9%,-18%,-14%,-7%,-63%,-19%,+10%,+10%,3,+4%,C,+4%,91.5%,4.4%,1.4%,1.5%,0.8%,0.5%,27,,,,,,
429,Coconut chips,7791400066392,,,['France'],[],[],?,450,1883 kj(450 kcal),"32,5",20,45,25,5,"0,6","0,24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,3760268070043,3760268070043,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,Les cerises,3700007900583,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Poulet fermier,0217247032019,,,['France'],[],[],?,138,577 kj(138 kcal),"5,9","1,7",0,0,20,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
433,Cheeseburguer,5601009951215,,,['France'],[],[],?,300,1255 kj(300 kcal),"17,2",6,"22,3","2,7",13,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Panettone sans gluten BIO,3760061497566,,,['France'],[],[],?,293.1,1226 kj(293 kcal),"8,9","5,6","49,1","25,6","4,1",0,0,C,,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone', 'Panettone sans gluten']",['Bio'],,,,,,8.9 g,en quantité modérée,5.6 g,en quantité élevée,25.6 g,en quantité élevée,0 g,en faible quantité,,-22%,-21%,-41%,-38%,-5%,-1%,-40%,-100%,-100%,13,-30%,D,-30%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
435,Wacky sticks,8690146125372,,,['France'],[],[],?,381,1594 kj(381 kcal),"1,4","1,1",62,62,"2,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Anneke - Kalev - 204g e (x24),4740012026884,204 g e (x24),"['Kalev', 'Orkla']",['France'],"['Chocolat fourré au lait Ingrédients garniture au lait 47%', ' chocolat blanc', 'lait entier en poudre', 'beurrè de cacao', 'lactosérum en poudre', 'lait', 'lait écrémé en poudre', 'glucose', 'emulsifiant', 'lecithine', 'arôme naturel de vanille', 'graisses végétales', 'palme', 'palmiste', 'tournesol', 'huile de colza', 'sucre', 'glucose', 'sucre', 'beurre de cacao', 'lait entier en poudre', 'crème en poudre lait', 'pâte de cacao', 'émulsifiant lécithine', 'vanilline']",[],?,570,2385 kj(570 kcal),37,25,51,51,"6,9","0,3","0,12",,"['Carton', 'Plastique']",['Chocolats-foures'],"['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",,['Estonie'],['Noz'],,,37 g,en quantité élevée,25 g,en quantité élevée,51 g,en quantité élevée,0.3 g,en quantité modérée,,,,,,,,,,,28,,E,,,,,,,,,,,,https://www.orkla.ee,,['Huile de palme']
437,cuisses de poulet avec partie de dos,3531940167005,,,['France'],[],[],?,114,477 kj(114 kcal),"4,05","1,03",0,0,"19,3","0,23","0,092",D,,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,,,,,,4.05 g,en quantité modérée,1.03 g,en faible quantité,0 g,en faible quantité,0.23 g,en faible quantité,,-40%,-40%,-67%,-69%,-100%,-100%,+5%,-70%,-70%,-3,-185%,A,-185%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,
438,Calcium bones,8712113366455,,,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,test - Autres,9782290215661,,['Autres'],['France'],"['Sauce ketchup', 'Viande de bœuf', 'Sauve mayonnaise', 'salade', 'tomates', 'vin', 'oignons', 'cornichons']","['Non végétalien', 'Non végétarien']",?,897,3753 kj(897 kcal),"11,7","4,7","17,3",4,"9,5","0,8","0,32",,,"['Non alimentaire', 'Sandwichs', 'Hamburgers', 'en:Tests']","['Sans additifs', 'Sans colorants', 'Sans conservateurs', 'Sans colorants ou conservateurs']",,,,,,11.7 g,en quantité modérée,4.7 g,en quantité modérée,4 g,en faible quantité,0.8 g,en quantité modérée,,+333%,+332%,+26%,+55%,-16%,-50%,+45%,+21%,+21%,,,,,,,,,,,,,,,,,
440,La brioche tranchée,3587220000029,,,['France'],[],[],?,337,1410 kj(337 kcal),12,6,49,14,"7,4","1,17","0,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Melon,3461602234809,,,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Yaourte saveur vanille,352819081395375388,,,['France'],[],[],?,92,385 kj(92 kcal),"2,9","2,9","12,7",1,"15,9","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Dates Salim Cobra,6135940000057,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,Concombre,26063058,,,['France'],[],[],?,?,,?,,?,,?,,,B,['Plastique'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Frais', 'Aliments à base de plantes frais', 'Légumes frais', 'Concombres']","['Bio', 'Bio européen', 'ES-ECO-001-AN', 'AB Agriculture Biologique']",['Espagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,92.6%,0.0%,0.0%,3.4%,3.0%,1.0%,60,,,,,,
445,3700276047415,3700276047415,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,Sage Mask -,8938532522009,,,['France'],[],[],?,?,,?,,?,,?,,,B,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail', 'Ail Blanc']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,
447,Litchis Madagascar - Ethiquable,3760278862423,,['Ethiquable'],['France'],[],[],?,62,259 kj(62 kcal),"0,5","0,1",14,14,"0,5","< 0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,5056025421035,5056025421035,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,Prince - 450.0g,4053091082314,450.0 g,,"['France', 'Allemagne']",[],[],?,462,1933 kj(462 kcal),18,"5,7",66,33,"7,1","0,54","0,216",,['Produkt'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,Knusper Beeren Müesli,8009361004780,,,['France'],[],[],?,399,1669 kj(399 kcal),"8,9","0,7",70,24,"6,8","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Rendelenmis Dil Peynir,4260193519017,,,['France'],[],[],?,309,1293 kj(309 kcal),23,"15,3",0,0,"25,5","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Tripes à la Provençale - Sans marque - 600g,3270270006171,600 g,['Sans marque'],['France'],"['Estomacs de bœuf ', 'Origine : France', 'eau', 'oignons', 'pieds de bœuf ', 'Origine : France', 'triple concentré de tomate ', '2', '6%', 'vin blanc', 'sel', 'plantes aromatiques', 'herbes de Provence ', '0,02%', 'dextrose', 'épices', 'légumes ', 'tomate', 'poivron', 'arômes naturels', ""huile d'olive""]",[],416,99,416 kj(99 kcal),"3,1","1,5","0,7","0,7",17,1,"0,4",,"['Bocal', 'Verre']","['Conserves', 'Plats préparés', 'Poissons et viandes et oeufs', 'Abats', 'Plats préparés en conserve', 'Produits tripiers', 'Tripes']",,['France'],['France'],,,4,3.1 g,en quantité modérée,1.5 g,en quantité modérée,0.7 g,en faible quantité,1 g,en quantité modérée,0%,-1%,-1%,-6%,+6%,-6%,+78%,+4%,-13%,-13%,1,-24%,B,-24%,,,,,,,,"['FR 22.007.001 CE', ""Binic (Côtes-d'Armor, France)""]",,,,,
453,Onctose hydrocortisone - Crème démangeaisons 100l1000,3400934457548,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Primitivo di Salento Sassi d‘oro - 0.75l,7624841522687,0.75 l,,"['France', 'Suisse']",[],[],?,?,,?,,?,,?,,,,['Flasche'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,Ravioli with cheese,5283000329158,,,['France'],[],[],?,94,393 kj(94 kcal),"3,2","1,3",12,"2,3","3,5","0,77","0,308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,Gazpacho Andaluz,8437012425262,,,['France'],[],[],?,42,176 kj(42 kcal),"3,3","0,77","2,5","1,9","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,Rougail saucisse,3349141650901,,,['France'],[],[],?,151,632 kj(151 kcal),"7,7","2,8",14,"0,6","6,6","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,7350029669416,7350029669416,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,Yaourt fermier  bio - Ferme de la Tremblay,3565430001234,,['Ferme de la Tremblay'],['France'],[],[],260,62,260 kj(62 kcal),4,"2,9","3,2",3,"3,3","0,1","0,04",B,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts nature', 'Yaourts au lait de vache']",['Bio'],,,,,,4 g,en quantité modérée,2.9 g,en quantité modérée,3 g,en faible quantité,0.1 g,en faible quantité,-33%,-35%,-34%,+16%,+33%,-71%,-71%,-9%,-13%,-13%,0,-100%,B,-100%,70.1%,13.1%,6.5%,5.7%,3.7%,1.0%,85,,,,,,
460,Fresh & Fine in sauce,4770608249731,,,['France'],[],[],?,0,0 kj(0 kcal),?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,Tarte fambroise,3760135233465,,,['France'],[],[],?,473,1979 kj(473 kcal),22,14,62,27,"7,2","0,14","0,056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,Glace,3760299290571,,,['France'],[],[],?,145,607 kj(145 kcal),"4,4","3,7",24,23,"2,3","0,13","0,052",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,Terrine au guépi,3760153800335,,,['France'],[],[],?,317,1326 kj(317 kcal),"10,4","3,37","3,37",0,"15,61",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,eau-de-vie de poire williams - Eyguebelle - 70cl,3242613000030,70cl,['Eyguebelle'],['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,12,0,0,C,,"['Boissons', 'Boissons alcoolisées', 'Alcools forts', 'Eaux-de-vie']",,,,,,,,,,,,,,,,-100%,-100%,-100%,-100%,-100%,-100%,+253%,-100%,-100%,,,,,0.0%,42.1%,42.8%,11.4%,3.6%,0.0%,58,,,,,,
465,magnum white chocolate almond - 6x73g,6170088909411,6x73g,['Magnum'],['France'],"['LAIT écrémé réhydraté', 'sucre', ""beure de y alme cacao'"", 'eau', 'AMANDES', 'huile de coco', 'LAIT en poudre entier', 'sirop de glucose', 'sirop de agua', 'glucose-fructose', 'BEURRE concentré', 'LACTOSE et protéines de LAIT', 'LAIT en poudre glucos écrémé', 'émulsifiants ', 'E442', 'E476', 'E471', 'gousses de vanille épuisées broyées', 'stabilisants desna ', 'E407', 'E410', 'E412', ""arôme naturel de vanille' "", 'dont LAIT', 'arôme', 'colorant ', 'E160a', ' E410', 'Peut contenir: soja', 'autres fruits à coque', ' Sans gluten', ' ""Vérifié Rainforest Alliance', ' Magnum conter cracking chocolate = Chocolat Magnum craquant', ' Californian Almonds = Amandes de Mante Californie']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",?,338,1420 kj(338 kcal),"20,5","12,7","32,9","28,8",?,,,B,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces', 'Crèmes glacées en pot', 'Glaces à la vanille']","['Sans gluten', 'Rainforest Alliance']",,,,"['Lait', 'Fruits à coque']",4,20.5 g,en quantité élevée,12.7 g,en quantité élevée,28.8 g,en quantité élevée,,,,+62%,+63%,+101%,+89%,+29%,+35%,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,"[""E442 - Phosphatides d'ammonium"", ""E476 - Esters polyglycériques d'acides gras d'huile de ricin"", ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube', 'E412 - Gomme de guar', 'E160a - Carotènes mélangés']",,,,
466,Liqueur de châtaigne - Jean Gauthier - 35cl,3339451002750,35cl,['Jean Gauthier'],['France'],[],[],?,12,50 kj(12 kcal),1,12,12,8,14,0,0,E,,"['Boissons', 'Boissons alcoolisées', 'Liqueurs']",,,,,,,,,,,,,,,,-91%,-91%,-88%,+757%,-39%,-30%,+1161%,-100%,-100%,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,
467,Liqueur de plantes et de fleurs - Eyguebelle - 70cl,3242612000017,70cl,['Eyguebelle'],['France'],[],[],?,123,515 kj(123 kcal),12,13,0,0,0,0,0,D,['Verre'],"['Boissons', 'Boissons alcoolisées', 'Liqueurs', 'Liqueur herbale']",,,,,,,,,,,,,,,,-9%,-6%,+38%,+829%,-100%,-100%,-100%,-100%,-100%,,,,,57.4%,11.3%,20.5%,8.1%,1.7%,1.0%,33,,,,,,
468,La tablette au Maillet,3474340025660,,,['France'],[],[],?,540,2259 kj(540 kcal),37,22,39,33,"7,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Les Cœur De Macarons Amandes & Lavandes,3571374007034,,,['France'],[],[],?,466,1950 kj(466 kcal),24,2,49,48,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Herbes à Pizza,3700819703631,,,['France'],[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,Mountain dew,5900497033756,,,['France'],[],[],?,52,218 kj(52 kcal),0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,Contrex,3179730115807,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Sweet like syrup maple,5694230257362,,,['France'],[],[],?,160,669 kj(160 kcal),0,0,5,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
