,name,bar_code,quantity,packaging,brand,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,allergens,ingredients_origins,brand_owner,palm_ingredients,link,producer_info
1227,Court bouillon -,,,,,,,['France'],[],,[],,?,286,1197 kj(286 kcal),23,16,"6,7","4,1",5,"47,6","19,04",['Point Vert'],,"['Epicerie', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Bouillons', 'Bouillons déshydratés']",,+78%,+308%,-67%,-5%,,,,,,,,,,,,,,,,+71%,+518%,-27%,+92%,+92%,,,,,court bouillon déshydraté pour poisson,,,,,,,
1228,Speculaas Stroopwafel - AH,8718906914056,,,['AH'],,,['France'],[],,[],,?,460,1925 kj(460 kcal),21,12,63,35,"3,5","0,6","0,24",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au caramel']",,+0%,+4%,-2%,-6%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,21 g,en quantité élevée,12 g,en quantité élevée,35 g,en quantité élevée,0.6 g,en quantité modérée,+0%,+6%,-3%,+1%,+1%,24,-0%,E,-0%,,,,,,,,
1229,Marmiton de volaille sauce crémeuse aux cèpes,3700428471792,,,,,,['France'],[],,[],,?,88,368 kj(88 kcal),"4,4","2,9","2,8","1,3","9,1","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,By Nature Canneberges séchées au jus de pomme - céréal - 125g,5410063028548,125 g,,['céréal'],['BE-BIO-04'],['Carrefour'],"['Belgique', 'France']","['Canneberges* 60%', 'concentré de jus de pomme* 39%', ""huile de tournesol* *Ingrédients issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,?,330,1381 kj(330 kcal),1,"0,1",83,74,"0,1","0,03","0,012",['Bio'],,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Canneberges séchées']",,-2%,+42%,+4%,-64%,,,,,,,,1 g,en faible quantité,0.1 g,en faible quantité,74 g,en quantité élevée,0.03 g,en faible quantité,-2%,-60%,+12%,+31%,+31%,4,-45%,C,-45%,,,,['Non Union Européenne'],,,,
1231,Milkana mit Gouda Leicht - 200g,4045357069481,200 g,['Kunststoff'],"['Milkana', 'Savencia']",,,"['France', 'Allemagne']","['Käse ', '58%', 'davon 27 % Gouda', 'Wasser Molkenpulver', 'Schmelzsalze ', 'E331', 'E339', 'E450', 'E451', 'Speisesalz', ' Farbstoff Carotin']","['E331 - Citrates de sodium', 'E339 - Phosphates de sodium', '', 'Risque élevé de sur-exposition', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition']",[],4,?,165,690 kj(165 kcal),"9,4","6,1",5,5,15,"2,3","0,92",,D,"['Produits laitiers', 'Produits fermentés', 'Produits à tartiner', 'Produits laitiers fermentés', 'Produits à tartiner salés', 'Fromages', 'Fromages à tartiner']",,-29%,-55%,+48%,+79%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,9.4 g,en quantité modérée,6.1 g,en quantité élevée,5 g,en quantité modérée,2.3 g,en quantité élevée,-30%,-57%,+69%,+97%,+97%,14,+17%,D,+17%,,,,,,,,
1232,Café soluble décafeiné - Belle France,3258561030784,,,['Belle France'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,E,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Boissons chaudes', 'Cafés', 'Boissons instantanées', 'Dosettes', 'Cafés solubles', 'Cafés en dosettes']",,,,,,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Petit Pain Pack - milka,7622210943286,,['paper-carton'],"['Milka', 'Tesco']",,,['France'],[],,[],,?,427,1787 kj(427 kcal),21,9,57,30,"5,2","0,73","0,292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,Dates Organic,5706779063677,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Gratin dauphinois façon traiteur - Toupargel,3512030028352,,,['Toupargel'],,,['France'],[],,[],,?,133,556 kj(133 kcal),"7,1","4,7",12,"2,1","4,4","0,61","0,244",,B,"['Plats préparés', 'Gratins', 'Gratins de pomme de terre', 'Gratins dauphinois']",,+12%,+23%,+7%,+29%,54.5%,21.7%,7.8%,8.5%,4.4%,3.1%,89,7.1 g,en quantité modérée,4.7 g,en quantité modérée,2.1 g,en faible quantité,0.61 g,en quantité modérée,+13%,+31%,+30%,-14%,-14%,5,+7%,C,+7%,,,,,,,,
1236,Gemüse: Rosenkohl - Qualité & Prix - 115g,7613331336521,115g,,"['Qualité & Prix', 'Coop']",,,"['France', 'Allemagne', 'Suisse']",[],,[],,?,35,146 kj(35 kcal),0,0,"2,9","1,9","3,8","0,02","0,008",,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Choux de Bruxelles']",,-12%,-100%,-30%,+40%,64.5%,0.0%,0.0%,15.9%,18.9%,0.8%,98,0 g,en faible quantité,0 g,en faible quantité,1.9 g,en faible quantité,0.02 g,en faible quantité,-11%,-100%,-12%,-94%,-94%,-7,,A,,,,,,,,,
1237,Nai,9506000113104,,,,,,['France'],[],,[],,?,68,285 kj(68 kcal),"0,1","0,1","16,5","16,5","0,1","8,5","3,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,Mini bille fruit - 40g,5413128346922,40g,,['mini bille fruit'],,,['France'],[],,[],,?,360,1506 kj(360 kcal),"0,5",0,90,59,"0,5",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Sauce aigre douce biologique,79640480,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,['Bio'],B,"['Epicerie', 'Sauces', 'Sauces aigre-douces']",,,,,,42.4%,22.5%,16.3%,10.1%,5.1%,3.6%,92,,,,,,,,,,,,,,,,,,,,,,,,,
1240,Le Sapin de Noël aux pépites de chocolat - La Fournée Dorée - 700g,3587220002726,700 g,"['Sachet', 'Plastique']",['La Fournée Dorée'],,,['France'],"['Crème pâtissière 35 % ', 'eau', 'sucre', 'amidon transformé', ""blancs d'œufs"", 'frais', 'poudre de _lai_t entier', 'lactosérum en poudre', 'arômes naturels', 'arôme', 'maltodextrine', 'épaississant ', 'gomme de xanthane', 'colorant ', 'béta carotène', 'farine de blé', 'pépites de chocolat 6,5 % ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'arôme naturel de vanille', 'émulsifiant ', 'lécithine de tournesol', 'huiles et graisses végétales ', 'palme', 'colza', 'œufs entiers frais', 'sucre', 'sirop de sucre inverti', 'levure', ""blancs d'œufs frais"", 'sel', 'gluten de blé', 'arôme naturel ', 'contient alcool', 'émulsifiants ', ""mono et diglycérides d'acides gras"", ""esters mono et diacétyltartriques des mono et diglycérides d'acides gras"", 'arôme', 'poudre de lait écrémé', 'protéines de lait', 'conservateur ', 'propionate de calcium', 'levure désactivée', 'colorant ', 'béta carotène']","['E14XX - Amidons modifiés', 'E415 - Gomme xanthane', 'E160ai - Bêta-carotène', 'E322i - Lécithine', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E282 - Propionate de calcium']","['Huile de palme', 'Non végétalien']",4,?,283,1184 kj(283 kcal),"7,7","3,5",46,16,"6,8","0,83","0,332",['Fabriqué en France'],D,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Brioches au chocolat']",,-21%,-42%,-9%,-12%,77.5%,13.5%,5.4%,3.2%,0.4%,0.0%,63,7.7 g,en quantité modérée,3.5 g,en quantité modérée,16 g,en quantité élevée,0.83 g,en quantité modérée,-21%,-40%,-10%,-3%,-3%,12,-20%,D,-20%,,,"['Œufs', 'Gluten', 'Lait']",,,,,
1241,Bebe expert - Gallia - 400g,3041091254719,400 g,,['Gallia'],,,['France'],[],,[],,?,492,2059 kj(492 kcal),26,"10,1","49,3","40,8","13,5","0,018","0,007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,Le traineau noel - Picard,3270160841127,,,['Picard'],,['Picard'],['France'],[],,[],,?,287,1201 kj(287 kcal),17,"9,2",27,25,"4,8","0,11","0,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Cantucci -  - 150g,8000105005971,150g,,,,,['France'],[],,[],,?,426,1782 kj(426 kcal),"9,9","6,1",75,41,"7,5","0,28","0,112",,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits secs', 'Cantucci']",,-3%,-31%,+14%,-23%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,9.9 g,en quantité modérée,6.1 g,en quantité élevée,41 g,en quantité élevée,0.28 g,en faible quantité,-3%,+54%,+28%,-12%,-12%,21,+35%,E,+35%,,,,,,,,
1244,Reserva Familiar aceite de oliva virgen extra Picual lata 500 ml - Oro Bailen,8437009466063,,,['Oro Bailen'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,,,,,,,,,,,,,
1245,PAVES MARINES DE CHEVEUIL - Saveurs Forestières,3266980886936,,,['Saveurs Forestières'],,,['France'],[],,[],,?,103,431 kj(103 kcal),"1,7","0,8","1,8",0,20,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,Dessert lacté au chocolat -,7612464725028,,,,,,['France'],[],,[],,?,110,460 kj(110 kcal),2,"1,2",20,19,3,"0,1","0,04",,,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts au chocolat', 'Desserts lactés au chocolat', 'Flans gélifiés']",,-28%,-68%,+6%,-21%,,,,,,,,2 g,en faible quantité,1.2 g,en faible quantité,19 g,en quantité élevée,0.1 g,en faible quantité,-28%,-70%,+14%,-35%,-35%,5,-26%,C,-26%,,,,,,,,
1247,Miel de Chêne d'Aquitaine - Hédène - 250g,3770003937524,250 g,,['Hédène'],,,['France'],['Miel de chêne récolté en Aquitaine'],,[],,?,?,,?,,?,,?,,,,B,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de chêne']",,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,,,,,,,,,"['France', 'Aquitaine']",,,,
1248,Choco as - 365 - 250g,5400601000396,250 g,['Plastique'],['365'],,['Delhaize'],"['Belgique', 'France']","['farine de blé', 'chocolat 30% [sucre', 'pâte de cacao', 'beurre de cacao', 'graisses végétales non hydrogénées ', 'palme', 'karité', 'mangue', 'matières grasses laitières', 'émulsifiant ', 'lécithine de soja', 'arôme]', 'sucre', 'huiles végétales non hydrogénées ', 'huile de palme certifiée durable', 'huile de colza', 'œufs de poules élevées au sol', 'sirop de glucose', 'poudres à lever ', ""carbonate d'ammonium"", 'diphosphate disodique', 'carbonate de sodium', 'lait entier en poudre', 'stabilisant ', 'carbonate de calcium', 'sel', 'émulsifiant ', 'esters diacétyltartriques des mono-et diglycérides', 'vitamine B6', 'fer']","['E322i - Lécithine', ""E503i - Carbonate d'ammonium"", 'E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']","['Huile de palme', 'Non végétalien']",4,?,449,1879 kj(449 kcal),"16,7","9,6","67,3","32,2","5,8","0,7","0,28","['Agriculture durable', 'Huile de palme durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat']",,-9%,-29%,+8%,-12%,84.4%,9.1%,2.7%,2.2%,1.6%,0.0%,46,16.7 g,en quantité modérée,9.6 g,en quantité élevée,32.2 g,en quantité élevée,0.7 g,en quantité modérée,-9%,-19%,-1%,+27%,+27%,24,+12%,E,+12%,,,"['Œufs', 'Gluten', 'Lait', 'Soja']",,,['Huile de palme'],,
1249,Ice coffee,9004380071408,,,,,,"['France', 'Suisse']",[],,[],,?,68,285 kj(68 kcal),"3,2",2,"8,3","8,1","1,5","0,26","0,104",['Sans conservateurs'],,"['Boissons', 'Boissons au café', 'Cafés glacés']",,-29%,+121%,-30%,-26%,,,,,,,,3.2 g,en quantité modérée,2 g,en quantité modérée,8.1 g,en quantité élevée,0.26 g,en quantité modérée,-28%,+142%,-21%,+74%,+74%,18,+40%,E,+40%,,,,,,,,
1250,Huile de noix - Alpinoix - 50cl.,3350060000135,50cl.,,['Alpinoix'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Fruits à coques et dérivés', 'Matières grasses végétales', 'Huiles', 'Huiles de fruits à coques', 'Huiles de noix']",,,,,,92.8%,2.3%,2.5%,1.3%,1.2%,0.0%,36,,,,,,,,,,,,,,,,,,,,,,,,,
1251,Margarine - Bonneterre,3396410005689,,,['Bonneterre'],,,['France'],[],,[],,?,720,3012 kj(720 kcal),80,24,"0,5","0,5","0,1","0,05","0,02","['Peu ou pas de sel', 'Peu de sel', 'Bio', 'Bio européen', 'Allégé en sel']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Produits à tartiner', 'Produits à tartiner salés', 'Matières grasses à tartiner', 'Matières grasses végétales', 'Pâtes à tartiner végétales', 'Margarines']",,+41%,+42%,+24%,-56%,83.1%,3.4%,4.6%,5.4%,2.7%,0.7%,71,80 g,en quantité élevée,24 g,en quantité élevée,0.5 g,en faible quantité,0.05 g,en faible quantité,+42%,+48%,+107%,-91%,-91%,12,+3%,D,+3%,,,,,,,,
1252,Nouilles Légumes Fine Safoco 500G Vietnam,8934678020102,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,La Nouvelle Agriculture,0213329033325,,,['La Nouvelle Agriculture'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1254,"Pailles aux framboises, 2 pieces",,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,Ballotine de volaille,3451950630859,,,,,,['France'],[],,[],,?,232,971 kj(232 kcal),18,"6,9","2,4",0,16,"2,4","0,96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Baguette aux céréales,2011000019198,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,Montbazillac - Château Bel Air - 75cl,11689485,75 cl,"['Bouteille', 'Verre']",['Château Bel Air'],,['Auchan'],['France'],[],,[],,?,?,,?,,?,,?,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins liquoreux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,soupe de poisson - casino - 1L,11161110,1L,,['Casino'],,['Casino'],['France'],[],,[],,?,?,,?,,?,,?,,,,E,"['Plats préparés', 'Soupes', 'Soupes à réchauffer', 'Soupes de poissons']",,,,,,89.9%,2.6%,1.2%,5.2%,0.8%,0.3%,25,,,,,,,,,,,,,,,,,,,,,,,,,
1259,Cassolettes cuisinées aux noix de st-jacques &girolles - Française de Gastronomie,3576280631199,,,['Française de Gastronomie'],,,['France'],[],,[],,?,122,510 kj(122 kcal),"7,6","4,9","6,8","2,9","5,7","0,62","0,248",['en:produced-in-bretagne'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,mandarine clemenvilla - FERIA - 2000g,8432317121321,2000g,['Filet'],['FERIA'],['K - 28'],['E. Leclerc'],['France'],"['EXP GUILLEM EXPORT SL C/MESTREDD AIXA', 'N 2 46790 XERESA ', 'VALENCIA', ' Norme de commercialisation de l\'Union européenne applicable aux fruits et légumes frais N"" 46B', ' 98165095 1 España REG', ' N%21', '18851 V ORIGINE ESPAGNE MANDARINE CLEMENVILLA CAT', ' I CAL', '2/3 ', '54/69', ' mm', ' Traite avec Imazalil et cire ', 'E904', 'E9 14', ' K - 28 POIDS NET', ' I 2000g a122317 121321"" 670048 1 %:50 1429']",['E904 - Gomme-laque'],"['Non végétalien', 'Non végétarien']",4,?,?,,?,,?,,?,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Valencia'],,['Espagne'],,,,
1261,Miel de thym,3760001820805,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,Saumon atlantique élevé en Norvège et fumer au feu de chene - Delpeyrat,3067163637143,,,['Delpeyrat'],,,['France'],[],,[],,?,200,837 kj(200 kcal),12,"2,71","0,51","0,44","22,4","2,54","1,016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,Nestlé p'tite céréale chocolat biscuité,7163035035249,,,['Nestlé'],,,['France'],[],,[],,?,407,1703 kj(407 kcal),6,3,"75,5",29,11,"0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,Ail,26061443,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,"['Bio', 'Bio européen', 'FR-BIO-10']",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Aliments à base de fruits et de légumes', 'Plantes condimentaires', 'Légumes et dérivés', 'Ail et dérivés', 'Ail']",,,,,,58.5%,0.0%,0.0%,19.1%,16.5%,5.8%,98,,,,,,,,,,,,,,,,,,,,,,,,,
1265,Crème de châtaigne au rhum bio - La Ferme du Châtaignier,3760034000311,,"['Pot verre', 'Couvercle métal']",['La Ferme du Châtaignier'],,,['France'],"[""Châtaignes d'Ardèche AOP*"", 'rhum* 5%', 'sucre de canne*', "" *produits issus de l'agriculture biologique""]",,"['Sans huile de palme', 'Peut-être végétalien', 'Végétarien']",3,?,?,,?,,?,55,?,,,['Bio'],C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,,,,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,55 g,en quantité élevée,,,,,+10%,,,,,,,,['07270 Lamastre'],,,,,https://www.ferme-du-chataignier.com/,
1266,Galette des rois frangipane pur beurre,2030500243285,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Pâtisseries', 'Galettes des rois']",,,,,,88.4%,6.6%,2.2%,1.6%,1.2%,0.0%,36,,,,,,,,,,,,,,,,,,,,,,,,,
1267,mate - ChariTea,42345817,,,['ChariTea'],,,"['France', 'Espagne']",[],,[],,?,17,71 kj(17 kcal),0,0,4,0,0,0,0,,B,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Infusions', 'Boissons sans alcool']",,-55%,-100%,-54%,-100%,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,-57%,-100%,-100%,-100%,-100%,,,,,,,,,,,,
1268,Yaourt Desiris,3770011182022,,,,,,['France'],[],,[],,?,84,351 kj(84 kcal),"3,6","0,01","9,1","0,06","3,9","0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1269,Jus de curcuma,5425007236408,,,,,,['France'],[],,[],,?,31,130 kj(31 kcal),"0,2","0,1","6,3","1,1","1,2",0,0,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1270,Vinaigre à la pulpe d'oignon rouge - Elise & Félicie - 25cl,3760224580807,25 cl,"['Bouteille', 'Verre']",['Elise & Félicie'],,"['Intermarché', 'Carrefour', 'Casino', 'Leclerc', 'Systeme U', 'Monoprix', 'Auchan']",['France'],"[""Vinaigre d'alcool"", ""pulpe d'oignon rouge "", '30%', 'sucre', 'arômes naturels ', 'extraits végétaux', 'sel de Guérande', 'épaississant : gomme de xanthane', 'conservateur bisulfite de potassium']","['E415 - Gomme xanthane', 'E228 - Sulfite acide de potassium', '', 'Risque élevé de sur-exposition']",['Sans huile de palme'],4,?,?,,?,,?,,?,,,"['Point Vert', 'Fabrication artisanale']",A,"['Vinaigres', ""Vinaigres d'alcools"", 'Vinaigres à la pulpe']",,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,,,,,,,,,,,,Vinaigre d'alcool à la pulpe d'Oignon Rouge,"['France', 'Rhône-Alpes', 'Rhône', 'Saint Georges de Reneins']",['Anhydride sulfureux et sulfites'],,,,http://elise-felicie.fr/fr/,
1271,Omelette riz cantonnais - 290g,3302749631024,290 g,,,,,['France'],[],,[],,?,117,490 kj(117 kcal),3,"0,7",16,2,"5,7","0,2","0,08","['en:gluten-free', 'Sans conservateurs']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272,8 pains au chocolat - La fournée dorée,15872722,8,,['La fournée dorée'],,,"['France', 'États-Unis']","['Farine de blé', 'chocolat 12% ', 'sucre', 'pâte de cacao', 'beurre de cacao', 'lécithine de tournesol', 'huiles et matières grasses végétales ', 'palme', 'colza', 'eau', 'sucre beurre levure sel', 'émulsifiants ', ""Esters mono et diacétyltartriques des mono et diglycérides d'acides gras"", 'Stéaroyl-2-lactylate de sodium', ""Mono et diglycérides d'acides gras"", 'gluten de blé', 'arômes naturels ', 'contient alcool', 'épaississants ', 'gomme de cellulose', 'farine de graines de caroube', 'poudre de lait écrémé', 'protéines de lait', 'levure désactivée', 'colorant ', 'béta carotène', 'arôme', ' \rTraces éventuelles d’œuf']","['E322i - Lécithine', 'E481 - Stéaroyl-2-lactylate de sodium', '', 'Risque élevé de sur-exposition', ""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E466 - Carboxyméthylcellulose', 'E410 - Gomme de caroube', 'E160ai - Bêta-carotène']","['Huile de palme', 'Non végétalien']",4,?,400,1674 kj(400 kcal),"19,2","4,55","49,3","14,3","3,64","1,18","0,472",,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Viennoiseries', 'Pâtisseries', 'Pains au chocolat']",,+1%,-12%,+17%,-49%,81.1%,12.4%,3.5%,2.7%,0.3%,0.0%,50,19.2 g,en quantité modérée,4.55 g,en quantité modérée,14.3 g,en quantité élevée,1.18 g,en quantité modérée,+1%,-66%,+19%,+31%,+31%,15,-24%,D,-24%,,,"['Gluten', 'Lait']",,PILLSBURY,,,
1273,Jus de pomme,3770001826028,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus de pomme']",,,,,,52.8%,9.4%,18.4%,14.0%,5.4%,0.0%,70,,,,,,,,,,,,,,,,,,,,,,,,,
1274,Sirop d érable,0048001055155,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'érable""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1275,Sufortan S,3401597679216,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276,Conté - Paturages,0209225041007,,,['Paturages'],,['Intermarché'],['France'],[],,[],,?,418,1749 kj(418 kcal),35,23,"0,4","0,4",27,"0,9","0,36",,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté', 'en:aoc-cheeses', 'en:labeled-cheeses']",,+5%,+7%,-13%,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,35 g,en quantité élevée,23 g,en quantité élevée,0.4 g,en faible quantité,0.9 g,en quantité modérée,+6%,+6%,+44%,-8%,-8%,13,-3%,D,-3%,,,,,,,,
1277,8410091066670,8410091066670,,,,,,"['France', 'Espagne']","['Edulcorante ', 'Ciclamato', 'Agente de carga ', 'Carbonato de sodio', 'Corrector de acidez ', 'Citrato de Sodio', 'Edulcorantes ', 'Sacarina y Taumatina']","['E952 - Acide cyclamique et ses sels', 'E500i - Carbonate de sodium', 'E331 - Citrates de sodium', 'E954 - Saccharine et ses sels', 'E957 - Thaumatine']",['Sans huile de palme'],4,?,26,109 kj(26 kcal),0,0,0,0,0,"37,8","15,12",,,"['Édulcorants', 'Additifs alimentaires', 'Succédanés du sucre', 'Édulcorants de table']",,-87%,-100%,-100%,-100%,,,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,37.8 g,en quantité élevée,-88%,-100%,-100%,+1418%,+1418%,,,,,,,,,,,,
1278,Deanut butter,9556121027286,,,,,,['France'],[],,[],,?,270,1130 kj(270 kcal),14,5,10,10,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,Confiture abricot light,6111021010115,,,,,,['France'],[],,[],,?,170,711 kj(170 kcal),0,0,42,"28,5",0,0,0,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",,-22%,-100%,-21%,-100%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,0 g,en faible quantité,0 g,en faible quantité,28.5 g,en quantité élevée,0 g,en faible quantité,-22%,-100%,-44%,-100%,-100%,3,-67%,C,-67%,,,,,,,,
