,name,bar_code,quantity,packaging,brand,traceability_code,markets,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,eco_score,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,generic_name,manufacturing,allergens,ingredients_origins,brand_owner,palm_ingredients,link,producer_info
23,Infusion bio Detox +,5412360003716,,,,,,['France'],[],,"['Végétalien', 'Végétarien']",,?,?,,?,,?,,?,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'ES-ECO-020-CV', 'en:The Vegan Society']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Nougat mou vietnamien - 250g,3592288899805,250 g,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Go nutri muesli bar banana & dark chocolate,5310099009156,,,,,,['France'],[],,[],,?,425,1778 kj(425 kcal),15,"7,4","67,1","38,4","5,4","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bouchées chocolat noir - Lindt,3046920077989,,,['Lindt'],,,['France'],[],,[],,?,666,2787 kj(666 kcal),57,33,32,31,"4,1","0,1","0,04",['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Hipp Pasta Met Ham Groenten Bio 2X190G 6M - 190gr,4062300089563,190gr,['en verre'],['Hipp'],['D-85273'],"['Okay', 'Delhaize']","['Belgique', 'France', 'Allemagne']","['Legumes 60% ', 'carottes', 'tomates*', 'påtes cuites ', 'semoule de l Th jambon non salé 8,6%', 'oignons""', 'huile de colza* 0,9% romatin']",,[],1,?,278,1163 kj(278 kcal),"2,6","0,8","7,2","2,4","2,8","0,05","0,02",['Bio'],,"['Aliments pour bébé', 'de:Babykost ( Ab dem 6. Monat )', 'de:Nourriture pour bébés']",,+103%,-8%,-60%,-5%,,,,,,,,,,,,,,,,+125%,-9%,-68%,-56%,-56%,,,,,,['Pfaffenhofen'],,['Produits issu de l agriculture biologique'],,,,
28,"Aceto Balsamico Modena Del Duca 50 Cl, 1 Bouteille",8000224001021,50 cl,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,La boule à 5 Originale,7610700711477,,,,,,['France'],[],,[],,?,395,1653 kj(395 kcal),4,2,87,58,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Andouille de Vire,2629702078988,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,E,"['Viandes', 'Charcuteries', 'Andouilles', 'Andouilles de Vire']",,,,,,81.2%,13.0%,3.0%,0.8%,0.4%,1.6%,11,,,,,,,,,,,,,,,,,,,,,,,,,
31,câpres - leader price - 100g,3263850365010,100 g,['U.E'],['leader price'],,['Leader Price'],['France'],['capres-eau-sel - vinaigre 1%'],,[],1,?,131,548 kj(131 kcal),1,0,"2,5",0,2,"7,3","2,92",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Pickles', ""Pickles d'origine végétale"", 'Câpres au vinaigre']",,+323%,+84%,-23%,-8%,,,,,,,,1 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,7.3 g,en quantité élevée,+322%,-100%,-100%,+28%,+28%,11,+37%,D,+37%,,,,,,,,
32,Creamy Soft Cheese - Waitrose,5000169247266,,['pp-tub'],['Waitrose'],,['Waitrose'],"['France', 'Royaume-Uni']",[],,[],,?,259,1084 kj(259 kcal),"25,1",16,"2,8","2,8","5,1","0,55","0,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Kenco Millicano Americano intense,8711000519233,,"['aluminium-tin', 'ldpe-lid']",,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Panettone pâtissier,3467661004100,,,,,,['France'],[],,[],,?,362,1515 kj(362 kcal),13,11,53,21,7,"1,5","0,6",,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",,-3%,-13%,+3%,+2%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,13 g,en quantité modérée,11 g,en quantité élevée,21 g,en quantité élevée,1.5 g,en quantité modérée,-3%,+22%,-19%,+240%,+240%,24,+29%,E,+29%,,,,,,,,
35,Clementine -,00906135,,,,,,['France'],[],,[],,?,41,172 kj(41 kcal),"0,2","0,1","9,6","9,6","0,7","0,01","0,004",,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Agrumes', 'Fruits frais', 'Mandarines', 'Clémentines', 'Clémentines fraîches']",,+11%,+16%,+6%,0%,,,,,,,,0.2 g,en faible quantité,0.1 g,en faible quantité,9.6 g,en quantité modérée,0.01 g,en faible quantité,+12%,+989%,+30%,+357%,+357%,-3,,A,,,,,,,,,
36,Caramel mou,3276990000697,,,,"['EMB 17369', 'Saint-Martin-de-Ré (Charente-Maritime, France)']",,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Confiture de Myrtilles -,,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,['Bio'],D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,,,,,,,,,,,,,,,
38,Tisane de noel - Dammann Frères,3259920056995,,,['Dammann Frères'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Saucisse de menage,2200002028608,,,,,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Iso zéro protéines,5999886331702,,,,,,['France'],[],,[],,?,367,1536 kj(367 kcal),1,"0,8","1,6",0,88,"0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Lidl Deluxe Beef Carpaccio - 125g,20825812,125 g,,,,['Lidl'],"['France', 'Italie']",[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Anis Vert Entier - Espig,3102870000184,,,['Espig'],,,['France'],[],,[],,?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Filet poulet - Le Gaulois,2424503038700,,,['Le Gaulois'],,,['France'],[],,[],,?,95,397 kj(95 kcal),"0,6","0,2","1,2","0,1",21,1,"0,4",,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,-27%,-79%,+151%,-8%,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,0.6 g,en faible quantité,0.2 g,en faible quantité,0.1 g,en faible quantité,1 g,en quantité modérée,-27%,-73%,-59%,+33%,+33%,0,,B,,,,,,,,,
