,name,bar_code,packaging,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,categories,labels,ingredients_origins,traceability_code,additives,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,palm_ingredients,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,manufacturing,link,producer_info,brand_owner,origin_detail
359,Terrine Végétale Nature - Tartex - 125g,4005514085655,['Conserve'],['Tartex'],['Biocoop'],['France'],"['Eau', 'levure', 'huile de coco', 'amidon de pomme de terre', 'protéines végétales de graines de tournesol 3%', 'sel de mer', 'huile de tournesol 0,8%', 'purée de tomate']","['Végétalien', 'Végétarien']",?,222,929 kj(222 kcal),18,14,9,"0,5","4,6","1,5","0,6",125 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', 'Pâtés végétaux']","['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'Sans huile de palme', 'AB Agriculture Biologique']",,,,,3,18 g,en quantité modérée,14 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,,-11%,-9%,+212%,+1273%,-79%,-99%,+262%,+900%,+900%,16,+71%,D,+71%,,,,,,,,,,,,,,,
360,Napolitain noir,6111017040881,,,,"['France', 'Maroc']",[],[],?,507,2121 kj(507 kcal),"37,6",23,33,28,"8,9","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Noodles de Konjac à la bolognaise - Dukan - 280g,3760151014536,"['Sachet', 'Plastique']",['Dukan'],,['France'],"['Noodles de konjac 50 % ', 'Juroat®', ' ', 'eau purifiée', 'farine de konjac', ""fibres d'avoine"", 'purée de tomates 24 %', 'viande de bœuf 10 %', 'cubes de tomates', 'oignons', 'carottes', 'huile de tournesol', 'sel', 'amidon de maïs modifié', 'céleri', 'épices et plantes aromatiques']","['Non végétalien', 'Non végétarien']",?,46,192 kj(46 kcal),"2,1","0,6",3,"2,6","2,6","0,61","0,244",280 g,"['Plats préparés', 'Produits à la viande', 'Plats à base de pâtes', 'Plats préparés à la viande', 'Plats au bœuf', 'Plats préparés à réchauffer au micro-ondes']","['Nutriscore', 'Fabriqué en France', 'Nutriscore A']",,"['FR 84.031.003 CE', 'Carpentras (Vaucluse, France)']",,"['Céleri', 'Gluten', 'Avoine']",3,2.1 g,en faible quantité,0.6 g,en faible quantité,2.6 g,en faible quantité,0.61 g,en quantité modérée,,-66%,-66%,-65%,-72%,-68%,+44%,-71%,-28%,-28%,-1,-144%,A,-144%,,,,,,,,,,,['France'],,,,
362,Seriously good mayonaise - Heinz,8715700111148,,['Heinz'],,"['Belgique', 'France']","['Huile de colza 68 %', 'eau', ""jaune d'œuf pasteurisé* 5 %"", 'vinaigre', 'sucre', 'amidon', 'sel', 'graines de moutarde', 'épices', 'antioxydant ', 'calcium disodium EDTA', "" *D'œufs de poules élevées en plein air""]",['Non végétalien'],?,644,2694 kj(644 kcal),70,"5,3",3,"1,5","0,8",1,"0,4",,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,['E385 - Éthylène diamine tétra-acétate de calcium disodium'],['Moutarde'],3,70 g,en quantité élevée,5.3 g,en quantité élevée,1.5 g,en faible quantité,1 g,en quantité modérée,,+5%,+5%,+6%,-14%,+12%,+3%,-35%,-25%,-25%,15,-16%,D,-16%,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,
363,Spécialité au soja saveur pistache - Nat&Vie - 4x 100g,3564706531369,,"['Nat&Vie', 'Marque Repère']",['Leclerc'],['France'],"['Jus de soja 84 % ', 'eau ', ' graines de soja 6,5 %', ' ', ' sucre ', ' amidons modifiés de tapioca ', ' phosphates de calcium ', ' concentré de spiruline ', ' épaississant : carraghénanes ', ' concentré de pomme', 'de carthame et de citron ', ' arôme naturel ', ' sel', ' Traces de fruits à coque', ' Les pourcentages sont exprimés sur le produit total']",['Sans huile de palme'],373,?,373 kj(89 kcal),"1,6","0,3",15,11,"2,8","0,2","0,08",4 x 100 g,"['Desserts', 'Desserts végétaliens', 'Desserts au soja']",,,,"['E14XX - Amidons modifiés', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']",['Soja'],4,1.6 g,en faible quantité,0.3 g,en faible quantité,11 g,en quantité modérée,0.2 g,en faible quantité,-1%,,-0%,-23%,-33%,+10%,0%,-18%,+68%,+68%,1,+39%,B,+39%,,B,24.3%,36.0%,14.5%,14.8%,8.1%,2.2%,96,,,,,,
364,Mix apéritif cacahuètes graines de potiron cranberries noix de cajou - Picard - 100g,3270160851126,['Film en plastique'],['Picard'],['Picard'],['France'],[],[],?,569,2381 kj(569 kcal),44,"4,9",15,14,24,"0,5","0,2",100 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,Boisson végétale à base de noisette - Casino - 1L,3222477066816,,['Casino'],['Casino'],['France'],[],[],?,29,121 kj(29 kcal),"1,7","0,1","3,1","3,1","0,4","0,13","0,052",1 L,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de fruits à coque', 'Boissons végétales de noisette']",,,,,,,1.7 g,en quantité modérée,0.1 g,en faible quantité,3.1 g,en quantité modérée,0.13 g,en faible quantité,,-43%,-42%,-36%,-65%,-47%,-13%,-43%,+30%,+30%,0,-100%,B,-100%,,E,82.5%,2.9%,5.0%,5.8%,2.9%,0.8%,27,,,,,,
366,Truite fumee fe Norvege,5400742902283,,,,['France'],[],[],?,193,808 kj(193 kcal),"12,5",2,"0,1","0,1","19,9",3,"1,2",,"['Produits de la mer', 'Poissons', 'Poissons fumés', 'Truites', 'Truites fumées']",,,,,,,12.5 g,en quantité modérée,2 g,en quantité modérée,0.1 g,en faible quantité,3 g,en quantité élevée,,+18%,+18%,+60%,+23%,-76%,-66%,-12%,+9%,+9%,13,+10%,D,+10%,,E,92.4%,0.0%,1.3%,5.5%,0.7%,0.2%,23,,,,,,
367,Cafe - Auchan - 100g,3245678172346,['bocal en verre'],['Auchan'],['Auchan'],['France'],"['Café soluble lyophilisé biologique ', '100% arabica']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,,?,,?,,?,,,100g,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']","['Bio', 'Bio européen', 'Agriculture durable', 'AB Agriculture Biologique', 'en:UTZ Certified']",['Non Union Européenne'],,,,1,,,,,,,,,,,,,,,,,,,,,,,,D,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,
368,Jamón cocido - Realvalle - 250g,20125332,['Bandeja plástico'],['Realvalle'],['Lidl'],"['France', 'Espagne']","['84% jamón de cerdo', 'agua', 'antioxidantes: lactato potásico', 'eritorbato sódico', ' sal', 'estabilizantes: trifosfatos', 'carragenanos', 'polifosfatos', ' jarabe de glucosa', 'azúcar', 'aroma', 'conservador: nitrito sódico']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",?,107,448 kj(107 kcal),3,"1,1",1,"0,8",19,"1,8","0,72",250 g,"['Viandes', 'Charcuteries']","['Sans gluten', 'Sans colorants', 'Sans lactose']",['es:Espanya'],['ES 10.13604/GE CE'],"['E326 - Lactate de potassium', 'E316 - Érythorbate de sodium', 'E451 - Triphosphates', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition', 'E452 - Polyphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,4,3 g,en quantité modérée,1.1 g,en faible quantité,0.8 g,en faible quantité,1.8 g,en quantité élevée,,-59%,-59%,-84%,-85%,-32%,+1%,+2%,-24%,-24%,4,-75%,C,-75%,,,,,,,,,,Jamón cocido,"['Catalunya', 'Garrotxa']",,,,
369,Ricotta - الراعي - 170g,6111246720806,,"['الراعي', 'Le Berger']",,"['France', 'Maroc']","['Lait pasteurisé écrémé', 'Lactosérum', 'acide citrique']",['Non végétalien'],?,?,,?,,?,,?,,,170 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Ricotta']",,,,['E330 - Acide citrique'],['Lait'],4,,,,,,,,,,,,,,,,,,,,,,,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,
370,kokos crunchy - Alnatura - 375g,4104420215474,['Packung(en)'],['Alnatura'],['Alnatura'],"['France', 'Allemagne']",[],[],?,464,1941 kj(464 kcal),19,"7,7",60,16,9,"0,22","0,088",375 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner', 'Flocons', 'Flocons de céréales']","['Bio', 'de:Bio 7 Initiative']",,,,,,19 g,en quantité modérée,7.7 g,en quantité élevée,16 g,en quantité élevée,0.22 g,en faible quantité,,+19%,+18%,+138%,+301%,-9%,+39%,-9%,-36%,-36%,15,+341%,D,+341%,,C,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,,,,,,
371,Nido Lait de croissance - Nestlé,6009188002084,,['Nestlé'],,['France'],[],[],?,467,1954 kj(467 kcal),20,0,55,0,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Papillotes noir suprême,3173287506200,,,,['France'],[],[],?,571,2389 kj(571 kcal),40,20,43,39,"6,6","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Yaourt Grec Nature - Mavrommatis - 450g,3700286917296,['Pot'],['Mavrommatis'],,['France'],['Lait de brebis'],"['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,96,402 kj(96 kcal),6,"3,9","4,8","4,8","5,6","0,1","0,04",450 g,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,,,,['Lait'],1,6 g,en quantité modérée,3.9 g,en quantité modérée,4.8 g,en faible quantité,0.1 g,en faible quantité,,-18%,-18%,-13%,-12%,-45%,-40%,+26%,-14%,-14%,2,-51%,B,-51%,,,,,,,,,,,,,,,
374,bicarbonate de soude,3383482297074,,,,['France'],[],[],?,?,,?,,?,,?,,,,"['Additifs alimentaires', 'Anti-agglomérants', 'Bicarbonates de sodium']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,0.0%,86.4%,6.5%,3.7%,3.4%,0.0%,86,,,,,,
375,Filet de maquereaux grillés au naturel - LEADER PRICE - 145g,3263851288417,['Conserve'],['LEADER PRICE'],['leader price'],['France'],"['filets de maquereaux cuits au court-bouillon', 'grillés 65% ', 'filets de maquereaux 64% - sel - épices et plantes aromatiques', ' - eau - sel']","['Non végétalien', 'Non végétarien']",?,215,900 kj(215 kcal),15,"3,7",0,0,20,"0,8","0,32",145g,"['Produits de la mer', 'Poissons', 'Filets de poissons', 'Maquereaux', 'Filets de maquereaux', 'Filets de maquereaux grillés']","['Pêche durable', 'Pêche durable MSC']",,"['FR 85.222.003 CE', 'Saint-Gilles-Croix-de-Vie (Vendée, France)', 'EMB 85222B', 'Saint-Gilles-Croix-de-Vie (Vendée, France)']",,['Poisson'],3,15 g,en quantité modérée,3.7 g,en quantité modérée,0 g,en faible quantité,0.8 g,en quantité modérée,,-5%,-6%,-10%,-5%,-100%,-100%,+13%,-19%,-19%,3,-47%,C,-47%,,C,39.4%,14.2%,30.5%,14.0%,0.9%,0.9%,45,,,,,,
376,16 cuisses de grenouilles - Française de gastronomie - 263gr,3576280117839,,['Française de gastronomie'],,['France'],[],[],?,260,1088 kj(260 kcal),22,15,"3,4","0,5",12,"1,41","0,564",263 gr,"['Viandes', 'Grenouille', 'Cuisses de Grenouilles']",,,"['EMB 15014', 'Aurillac (Cantal, France)', 'FR 15.014.033 CE', 'Aurillac (Cantal, France)']",,,,22 g,en quantité élevée,15 g,en quantité élevée,0.5 g,en faible quantité,1.41 g,en quantité modérée,,+91%,+87%,+192%,+277%,+174%,+260%,-22%,+194%,+194%,19,+672%,E,+672%,,,,,,,,,,,,,,,
377,Miel Dosificador 1 / 2 500 Gr. luna De Miel - 500g,8428919005305,,['Luna de Miel'],['Carrefour'],"['France', 'Espagne']",['Miel de Flores 100% pura y natural'],[],?,?,,?,,?,,?,,,500 g,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels']",['Familia Michaud'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,
378,Espresso intense aroma - Nescafé,7613036600996,['Kunststoff'],['Nescafé'],['Delhaize'],"['Belgique', 'France', 'Allemagne', 'Espagne']",[],[],?,?,,?,,?,,?,,,,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Cafés', 'Boissons instantanées', 'Cafés solubles']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,86.9%,10.2%,0.3%,1.0%,0.1%,1.5%,27,,,,,,
379,Purée d'amande blanche - Direct Producteurs Fruits Secs - 300g,3760159013104,['pot en verre'],['Direct Producteurs Fruits Secs'],['Magasins bio'],['France'],[],[],?,589,2464 kj(589 kcal),"45,22","4,32","6,2","4,35","19,13",0,0,300 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de fruits à coques', ""Purées d'amande"", ""Purées d'amande blanche""]","['Bio', 'Bio européen', 'AB Agriculture Biologique', 'FR-BIO-01']",,,,,,45.2 g,en quantité élevée,4.32 g,en quantité modérée,4.35 g,en faible quantité,0 g,en faible quantité,,-10%,-10%,-21%,-9%,+9%,-3%,-19%,-100%,-100%,6,+32%,C,+32%,,,,,,,,,,Purée d'amande blanche,['Espagne'],http://www.directproducteursfruitssecs.com/fruitsec/?produit=amandes&id=87,,,
380,3663849005680,3663849005680,,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Lesieur,3265470016440,,['Lesieur'],,"['Algérie', 'France']","['Huiles végétales', 'eau', 'vinaigre', ""jaune d'euf "", '5%', 'sel iode', 'sucre', 'additifs alimentares: SIN1422', 'stabilisant: gomme xanthane', ""régulateur d'acidité: acide cirique"", 'agent de conservation sorbate de potassium', 'colorants:lutéine et oléorésine de paprika antioxydant:SIN385 arome moutarde']",[],?,654,2736 kj(654 kcal),71,"10,1",2,"1,5","0,7","1,56","0,624",,"['Epicerie', 'Sauces', 'Mayonnaises']",,,,"['E1422 - Adipate de diamidon acétylé', 'E385 - Éthylène diamine tétra-acétate de calcium disodium']",,4,71 g,en quantité élevée,10.1 g,en quantité élevée,1.5 g,en faible quantité,1.56 g,en quantité élevée,,+7%,+7%,+7%,+63%,-26%,+3%,-43%,+17%,+17%,24,+34%,E,+34%,,D,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,
382,Vollmilch - Cremo - 1000ml,7610434012512,,['Cremo'],,"['France', 'Suisse']",[],[],270,65,270 kj(65 kcal),"3,6","2,2","4,9","4,9","3,2","0,1","0,04",1000 ml,"['Produits laitiers', 'Laits']",,,,,,,3.6 g,en quantité modérée,2.2 g,en quantité modérée,4.9 g,en faible quantité,0.1 g,en faible quantité,+3%,-2%,-1%,+75%,+85%,-19%,-10%,-10%,-19%,-19%,2,+248%,B,+248%,,D,78.7%,1.1%,11.0%,6.0%,3.2%,0.0%,54,,,,,,
383,Enjoy - San Benedetto,8429359422004,,['San Benedetto'],,"['France', 'Espagne']",[],[],?,18.89999961853,79 kj(18 kcal),79,"4,6","4,6",0,0,"0,03","0,012",,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Jus de fruits', 'Jus multifruits']",,,,,,,79 g,en quantité élevée,4.6 g,en quantité élevée,0 g,en faible quantité,0.03 g,en faible quantité,,-61%,-60%,+45043%,+17457%,-58%,-100%,-100%,+228%,+228%,-3,-167%,B,-167%,,D,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,
384,Water Mineral Natural Borsec Still 500ML 1 / 12 - 500mL,5942219111137,,['Borsec'],,"['France', 'Roumanie']",[],[],?,0,0 kj(0 kcal),0,0,0,0,0,0,0,500 mL,"['Boissons', 'Eaux', 'Eaux de sources']",,,,,,,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,,,,,,-100%,-100%,-100%,-100%,-100%,0,-100%,A,-100%,,,,,,,,,,,,,,,
385,Panettone con pepitas de chocolate - Panettone di Giuseppe - 500g,8410331200147,,['Panettone di Giuseppe'],,"['France', 'Espagne']","['Harina de trigo', 'gotas de chocolate ', '16%', ' ', 'azúcar', 'pasta de cacao', 'manteca de cacao', 'emulgente: lecitina de girasol', 'aroma de vainilla', 'azúcar', 'yema de huevo pasteurizada', 'mantequilla ', 'leche', 'levadura natural', 'margarina ', 'aceites y grasas vegetales ', 'girasol', 'coco y palma', 'agua', 'emulgente: mono y diglicéridos de ácidos grasos', 'acidulante: ácido cítrico', 'conservante: sorbato potásico', 'aromas', 'colorante: carotenos', 'jarabe de glucosa y fructosa', 'emulgente: mono y diglicéridos de ácidos grasos', 'jarabe de sorbitol ', 'sorbitol', 'manitol', 'leche condensada ', 'leche entera y azúcar', 'leche desnatada en polvo', 'lecitina de soja', 'sal', 'aromas ', 'cacahuete', 'regulador de acidez: ácido citrico', 'conservantes: propionato cálcico', 'sorbato potásico', 'ácido sórbico', ' Puede contener trazas de frutos de cáscara']","['Huile de palme', 'Non végétalien']",?,417,1745 kj(417 kcal),"22,1","13,1","48,2","22,4","6,4","0,38","0,152",500 g,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Viennoiseries', 'Brioches', 'Panettone']",,,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E330 - Acide citrique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E160 - Caroténoïdes', 'E420ii - Sirop de sorbitol', 'E420 - Sorbitol', 'E421 - Mannitol', 'E282 - Propionate de calcium', 'E200 - Acide sorbique', '', 'Risque élevé de sur-exposition']","['Gluten', 'Lait', 'Fruits à coque', 'Arachides', 'Soja']",4,22.1 g,en quantité élevée,13.1 g,en quantité élevée,22.4 g,en quantité élevée,0.38 g,en quantité modérée,,+11%,+12%,+47%,+46%,-6%,-14%,-6%,-14%,-14%,20,+8%,E,+8%,,D,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,
386,Salade quinoa - Chef Select - 230g,4056489008682,"['Tarrina', 'Plástico', 'Refrigerado', 'Envasado en atmósfera protectora']",['Chef Select'],['Lidl'],"['Belgique', 'France', 'Espagne']","['47% quinoa cocida ', 'agua', 'quinoa 19% remolacha roja', '10% alubias negras', 'aceite de colza', '5% pipas de calabaza', 'azúcar', 'vinagre de manzana', 'jarabe de glucosa', 'sal', 'jengibre', 'preparado de rábano picante ', 'rábano picante', 'vinagre de alcohol', 'aceite de colza', 'sal', 'espesante: goma guar', ' aciduiante: ácido cítrico', ' antioxidante: ácido ascórbico', 'comino', 'cáscara de limón', 'vinagre de alcohol', 'almidón', 'menta', 'chile', 'especias', 'espesante: goma guar', ' antioxidante: ácido ascórbico', ' corrector de acidez: acetatos de sodio']","['Végétalien', 'Végétarien']",?,186,778 kj(186 kcal),"8,5",1,"21,1","6,3",5,"1,3","0,52",230 g,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Plats préparés', 'Salades', 'Salades composées', ""Plats préparés d'origine végétale"", 'Réfrigérés', 'Plats préparés réfrigérés', 'es:Ensaladas de quinoa']","['Végétarien', 'en:gluten-free', 'Végétalien', 'Union Végétarienne Européenne', 'Union Végétarienne Européenne - Vegan', 'Point Vert']",,,"['E412 - Gomme de guar', 'E330 - Acide citrique', 'E300 - Acide ascorbique', 'E262 - Acétates de sodium']",,4,8.5 g,en quantité modérée,1 g,en faible quantité,6.3 g,en quantité modérée,1.3 g,en quantité modérée,,+14%,+17%,+33%,+0%,+35%,+159%,-19%,+43%,+43%,5,+2028%,C,+2028%,,,,,,,,,,"Ensalada de quinoa con remolacha roja, alubias negras y pipas de calabaza",['Alemania'],,,,
387,Artiach Galletas De Cereales Dinosaurus,8436048421972,,['Artiach'],,"['France', 'Espagne']",[],[],?,475,1987 kj(475 kcal),18,"1,9",72,21,"5,4","1,1","0,44",,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,,,18 g,en quantité modérée,1.9 g,en quantité modérée,21 g,en quantité élevée,1.1 g,en quantité modérée,,+0%,-0%,-13%,-81%,+12%,-29%,-17%,+87%,+87%,14,-29%,D,-29%,,C,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,
388,Tomates de Marmande 100% Pur Jus - MONOPRIX BIO ! - 75cl,3350033594166,"['bouteille verre', 'capsule métal', 'à recycler']",['MONOPRIX BIO !'],['Monoprix'],['France'],"[""Jus de tomate issu de l'agriculture biologique"", "" Ingrédient: jus de tomate issu de l'agriculture biologique"", ' ', 'onservation: avant ouverture']",[],?,17,71 kj(17 kcal),0,0,"3,4","3,4","0,9","0,06","0,024",75 cl,"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Boissons à base de végétaux', 'Aliments et boissons à base de légumes', 'Légumes et dérivés', 'Jus et nectars', 'Tomates et dérivés', 'Boissons aux légumes', 'Jus de légumes', 'Jus de tomates']",['Bio'],,"['EMB 47157', 'Marmande (Lot-et-Garonne, France)']",,,,0 g,en faible quantité,0 g,en faible quantité,3.4 g,en quantité modérée,0.06 g,en faible quantité,,-15%,-13%,-100%,-100%,-8%,+6%,+20%,-86%,-86%,-4,,B,,,,,,,,,,,,,,,,
389,Sardines - Monoprix,3350033518346,['Conserve'],['Monoprix'],['Monoprix'],"['France', 'Qatar']",[],[],?,223,933 kj(223 kcal),15,"3,3",0,0,22,1,"0,4",,"['Conserves', 'Produits de la mer', 'Poissons', 'Poissons en conserve', 'Sardines', 'Sardines en conserve', ""Sardines à l'huile"", ""Sardines à l'huile et au citron""]",['Sardines pavillon France'],,"['EMB 29046G', 'Douarnenez (Finistère, France)']",,,,15 g,en quantité modérée,3.3 g,en quantité modérée,0 g,en faible quantité,1 g,en quantité modérée,,-9%,-9%,-13%,-12%,-100%,-100%,+8%,+16%,+16%,4,-22%,C,-22%,,D,26.2%,30.3%,28.3%,13.4%,0.9%,0.9%,42,,,,,,
390,Baguette bio graine,3523680416802,,,,['France'],[],[],?,0,0 kj(0 kcal),?,,?,,?,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Produit Vaisellle - Paic,8718951064768,,['Paic'],,['France'],[],[],?,?,,?,,?,,?,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,Chili con carne -,7311310381271,,,,['France'],[],[],359,85,359 kj(85 kcal),1,"0,2",11,"0,9","6,5","1,6","0,64",,"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Chili con carne']",,,,,['Gluten'],,1 g,en faible quantité,0.2 g,en faible quantité,0.9 g,en faible quantité,1.6 g,en quantité élevée,-22%,-28%,-28%,-70%,-82%,-10%,-57%,-4%,+100%,+100%,4,,C,,,E,94.4%,3.1%,0.8%,0.9%,0.5%,0.3%,14,,,,,,
393,Sable Bio Tournesol Lin Sesame - Paysans d'ici - 120g,3760091726452,['Papier'],"[""Paysans d'ici""]",,['France'],"['Farine de blé ancien semi-complète 37%', 'beurre frais', 'sucre blond de canne', 'graine de tournesol décortiquée 9,3%', 'sésame grillé 6,5%', 'lin 4,7%', 'sirop de sucre de canne roux non raffiné', 'jaune d’œuf ', 'Gers', 'poudre à lever ', 'amidon de maïs', 'monotartre de potassium', 'bicarbonate de sodium', 'eau', 'sel de Guérande']",['Non végétalien'],?,574,2402 kj(574 kcal),33,15,57,23,11,"0,35","0,14",120 g,"['Snacks', 'Snacks sucrés', 'Petit-déjeuners', 'Biscuits et gâteaux', 'Biscuits', 'Produits artisanaux', 'Biscuits secs', 'Biscuits sablés']","['Bio', 'Bio européen', 'Commerce équitable', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'Commerce équitable Bio', 'FR-BIO-12', 'Fabrication artisanale']","['Burkina Faso', 'Gers', 'Meurthe et Moselle', 'Gascogne']",,['E500ii - Carbonate acide de sodium'],"['Œufs', 'Gluten', 'Lait', 'Graines de sésame']",3,33 g,en quantité élevée,15 g,en quantité élevée,23 g,en quantité élevée,0.35 g,en quantité modérée,,+28%,+28%,+102%,+144%,-15%,-27%,+49%,-26%,-26%,23,+36%,E,+36%,,B,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,"sablés pur beurre aux graines de tournesol, lin et sésame de l'agriculture biologique",['Haute-Garonne'],https://www.ethiquable.coop/fiche-produit-equitable-et-bio/sables-tournesol-lin-sesame-paysans-dici,,,
394,mylan,3400927835841,['Tube'],['Mylan'],,['France'],['Glycérol 15% vaseline 8%paraffine 2%'],[],?,?,,?,,?,,?,,,,"['Non alimentaire', 'Open Beauty Facts']",,,,['E422 - Glycérol'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Soupe miso - Picard - 250g,3270160861217,['Surgelé'],['Picard'],['Picard'],['France'],"['Eau', 'tofu 8% ', 'graine de soja', 'eau', 'agent de coagulation : sulfate de calcium', 'champignon enoki 6', '5%', 'pâte miso 6', '1% ', 'graine de soja', 'riz', 'sel', 'alcool', 'ciboule 1', '5% sucre de canne', 'algue wakame 0', '2%', 'bonite séchée ', 'poissons', 'protéine de soja']","['Non végétalien', 'Non végétarien']",?,19,79 kj(19 kcal),"0,8","0,2","1,1","0,2","1,4","0,89","0,356",250 g,"['Surgelés', 'Plats préparés', 'Soupes', 'Plats préparés surgelés', 'Soupes surgelées', 'Soupe miso']",,,,,"['Poisson', 'Soja']",3,0.8 g,en faible quantité,0.2 g,en faible quantité,0.2 g,en faible quantité,0.89 g,en quantité modérée,,-87%,-87%,-78%,-58%,-93%,-97%,-83%,-88%,-88%,2,-79%,B,-79%,,,,,,,,,,,,,,,
