,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,brand,markets,allergens,nova_score,brand_owner,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,traceability_code,eco_score,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,manufacturing,additives,link,ingredients_origins,palm_ingredients,origin_detail,producer_info
1566,Chunchy Mandel Creme Weiß - Bio Primo - 1Glas,2200204874614,"['Bio', 'Sans gluten', 'en:EG-Öko-Verordnung']",['France'],"[""Biologische weiße Crunchy Mandelcreme mit 15% Mandeln : Rohrzucker Sonnenblumenöl'"", ""Mandeln' 109%"", 'Magermilchpulver 10%', ""Palmö'"", ""Mandelstůckchen'5%"", 'Süssmolkenpulver""', 'Kakaobut - ter', ""Milchfet'"", ""Emulgator: So - plecithine'"", 'natürliches Aroma', 'Bourbon Vanilleextrakt', ' as kortrolert-kolog gscher Landitschat']",['Non végétalien'],?,585,2448 kj(585 kcal),39,"8,3",52,50,"5,8","0,15","0,06",1 Glas,['Bio Primo'],,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1567,Happy eggster - Haribo,4001686817629,,['France'],[],[],?,1500,6276 kj(1500 kcal),"1,3","0,9",81,56,"3,7","0,2","0,08",,['Haribo'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1568,"Weizenbrot mit Fleischkäse, Fein und Krautsalat",28292197,,"['France', 'Allemagne']",[],[],?,247,1033 kj(247 kcal),13,"3,8",23,"1,5","8,5","1,47","0,588",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,Rahmkäse Scheiben Grüner Pfeffer - Lindenhof - 100g,22081742,"['Sans OGM', 'en:Ohne Gentechnik']","['France', 'Allemagne']",[],[],1510,364,1510 kj(364 kcal),30,21,"0,5","0,5",23,"1,8","0,72",100 g,['Lindenhof'],,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages en tranches']",30 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.8 g,en quantité élevée,+9%,+7%,+6%,+12%,+15%,-51%,-27%,-0%,+5%,+5%,16,+2%,D,+2%,,D,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,['Produkt'],,,,,,,
1570,Sauve tomate aux quatre légumes - Interdis,3560071282684,,['France'],[],[],?,72,301 kj(72 kcal),"3,5","0,4",7,"6,6","1,6",1,"0,4",,"['Interdis', 'Carrefour']",['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1571,"Fiasconaro Colomba Classica, 35.27 Oz (1 KG)",8030525000324,,['France'],[],[],?,372,1556 kj(372 kcal),15,"8,5",55,33,"5,2","0,5","0,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572,Cheese Balls,9556023774516,,['France'],[],[],?,550,2301 kj(550 kcal),33,15,54,4,10,"0,67","0,268",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1573,Domaine de l'Aigle - Gérard Bertrand - 75cl,3514123113020,"['Bio', 'Bio-dynamie', 'Demeter']",['France'],['Gewürztraminer'],[],?,?,,?,,?,,?,,,75 cl,['Gérard Bertrand'],,['Anhydride sulfureux et sulfites'],,Gérard Bertrand,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Vins blancs', ""IGP PAYS D'OC""]",,,,,,,,,,,,,,,,,,,,,,,,B,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,"['Bouteille', 'verre']",['France'],,https://www.gerard-bertrand.com/,['France'],,France,Gérard Bertrand
1574,Crème dessert protéinée - Eafit,3518681009771,,['France'],[],[],?,350,1464 kj(350 kcal),1,"0,4","6,4",3,81,"0,79","0,316",,['Eafit'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1575,Ashwaganda,3770015399068,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'AB Agriculture Biologique', 'DE-ÖKO-006']",['France'],[],"['Végétalien', 'Végétarien']",?,277,1159 kj(277 kcal),"0,3",0,"46,9","10,7","3,7","0,2","0,08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1576,chocolate easter squad - Favorina,4056489154891,,['France'],[],[],?,545,2280 kj(545 kcal),"31,5","18,9","58,9","58,2","5,7","0,26","0,104",,"['Favorina', 'Lidl']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1577,Liegeois au cafe - Carrefour - x6,3560071214036,,['France'],[],[],?,212,887 kj(212 kcal),"9,2",8,30,25,"1,9","0,1","0,04",x6,['Carrefour'],['Carrefour'],"['Œufs', 'Gluten', 'Fruits à coque', 'Arachides']",,,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets']",9.2 g,en quantité modérée,8 g,en quantité élevée,25 g,en quantité élevée,0.1 g,en faible quantité,,+5%,+4%,+7%,+43%,+7%,+6%,-22%,-17%,-17%,14,+23%,D,+23%,"['EMB 86092A', 'Dangé-Saint-Romain (Vienne, France)']",,,,,,,,,,['Surgelé'],['France'],,,['Union européenne'],,,
1578,Conservas Cabezn Frasco De Bruschetta De Tomate Seco,8414710004289,,['France'],[],[],?,232,971 kj(232 kcal),"47,7","5,4","28,8","19,4","7,3","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1579,Filet de poulet fermier jaune du gers - Monoprix Gourmet,0206845051102,['Label Rouge'],['France'],[],[],?,?,,?,,?,,?,,,,['Monoprix Gourmet'],,,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,,,,,,,,,,,,,,,,,,,,,,"['FR 40.282.001 CE', 'Saint-Sever (Landes, France)']",D,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,
1580,Intenso - Carrefour,3560071234034,,['France'],[],[],?,?,,?,,?,,?,,,,['Carrefour'],['Carrefour'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1581,Ravioli Piccante - Ja! - 800g,4388844174801,,"['France', 'Allemagne']",[],[],?,?,,?,,?,,?,,,800g,['Ja!'],,,,,"['Plats préparés', 'Plats à base de pâtes', 'Pâtes farcies', 'Ravioli']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1582,Le gruyère Suisse AOP,2110103004657,,['France'],[],[],?,407,1703 kj(407 kcal),33,21,"0,5","0,1",27,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583,GRIZ Psenicni zdrob,3838700540093,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1584,Porridge Epautre Macadamia figue - 400.0g,4251680800367,,"['France', 'Allemagne']",[],[],?,375,1569 kj(375 kcal),"9,6","1,3","57,5","10,8","0,01","0,01","0,004",400.0 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Dose'],,,,,,,
1585,Cinnamon Raisin Bagels - Country Harvest,0063400110793,,['France'],[],[],?,280,1172 kj(280 kcal),"2,667","0,667",56,"10,667","9,333","0,933","0,373",,['Country Harvest'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
