,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,allergens,nova_score,ingredients_origins,manufacturing,markets,additives,traceability_code,palm_ingredients,link
17,Les sables aux amandes - Jours Heureux,3602803436900,['Jours Heureux'],['France'],"['Farine de blé', 'beurre frais 19,3%', 'sucre', 'amandes 11,3%', 'œufs', 'sel', 'lait écrémé en poudre', 'poudre à lever : bicarbonate de sodium']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,517,2163 kj(517 kcal),"25,7","13,2","61,3","25,5","9,2","0,75","0,3",,,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits sablés', 'Sablés aux amandes']",25.7 g,en quantité élevée,13.2 g,en quantité élevée,25.5 g,en quantité élevée,0.75 g,en quantité modérée,,+6%,+5%,+10%,-5%,-3%,+0%,+48%,+10%,+10%,24,+10%,E,+10%,80.5%,11.6%,3.5%,2.3%,2.1%,0.0%,56,,,"['Œufs', 'Gluten', 'Lait', 'Fruits à coque']",3,,,,['E500ii - Carbonate acide de sodium'],,,
18,Crêpes dentelles enrobées de chocolat noir - Jours Heureux,3602804466968,['Jours Heureux'],['France'],[],[],?,497,2079 kj(497 kcal),21,14,69,45,"5,6","0,63","0,252",,,D,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Crêpes dentelle', 'Crêpes dentelle au chocolat']",21 g,en quantité élevée,14 g,en quantité élevée,45 g,en quantité élevée,0.63 g,en quantité modérée,,+1%,+1%,-1%,+10%,+3%,-2%,-5%,+4%,+4%,27,+2%,E,+2%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,,,,,,,,,,
19,Les chocolats Lorrains au cœur de mirabelle,3602805053075,,['France'],[],[],?,464,1941 kj(464 kcal),"25,5","15,45","50,2","45,7","5,3","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Le Panettone,3602805639002,,['France'],[],[],?,362,1515 kj(362 kcal),13,11,53,21,7,"1,5","0,6",,,C,"['Snacks', 'Snacks sucrés', 'Viennoiseries', 'Brioches', 'Panettone']",13 g,en quantité modérée,11 g,en quantité élevée,21 g,en quantité élevée,1.5 g,en quantité modérée,,-3%,-3%,-13%,+22%,+3%,-19%,+2%,+240%,+240%,24,+29%,E,+29%,81.5%,11.5%,4.5%,2.1%,0.3%,0.0%,56,,,,,,,,,,,
21,Gateau Basque à la CERISE -,3602805651226,,['France'],[],[],?,385,1611 kj(385 kcal),"11,3","7,6","67,3","40,8","3,6","0,87","0,348",,,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",11.3 g,en quantité modérée,7.6 g,en quantité élevée,40.8 g,en quantité élevée,0.87 g,en quantité modérée,,+65%,+66%,-3%,0%,+141%,+74%,+14%,+480%,+480%,23,+72%,E,+72%,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,,,,,,,,,"['EMB 40272B', 'Saint-Martin-de-Hinx (Landes, France)']",,
22,Les financiers au citron,3602806139358,,['France'],[],[],?,425,1778 kj(425 kcal),21,11,50,34,"8,3","0,15","0,06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Miel,3602807050133,,['France'],[],[],?,400,1674 kj(400 kcal),0,0,100,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Savarin chantilly - Casino,3602826452260,['Casino'],['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],,,,
25,Kouign Amann aux Pommes -,3602826455278,,['France'],"['Pommes ', '27,4 %', 'Farine de BLÉ', 'BEURRE', 'sucre', 'eau', 'sel', 'levure', 'agent de démoulage ', 'huile végétale: colza', 'coprah', 'émulsifiant : lécithine de SOJA']",['Non végétalien'],?,334,1397 kj(334 kcal),14,10,48,22,"3,3","0,85","0,34",,,B,"['Snacks', 'Desserts', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Pâtisseries', 'Kouign-amann']",14 g,en quantité modérée,10 g,en quantité élevée,22 g,en quantité élevée,0.85 g,en quantité modérée,,-26%,-26%,-45%,-39%,-8%,-19%,-17%,+5%,+5%,20,-13%,E,-13%,54.8%,27.3%,8.8%,4.6%,4.6%,0.0%,88,,['Plastique'],"['Gluten', 'Lait', 'Soja']",4,,,,['E322i - Lécithine'],,,
26,Meringuettes cacaotées,3602826460555,,['France'],[],[],?,395,1653 kj(395 kcal),"0,4","0,009",93,90,"4,3","0,17","0,068",,,C,"['Biscuits et gâteaux', 'Pâtisseries', 'Meringues']",0.4 g,en faible quantité,0.009 g,en faible quantité,90 g,en quantité élevée,0.17 g,en faible quantité,,+4%,+5%,-61%,-98%,+7%,+8%,+7%,+6%,+6%,14,-3%,D,-3%,75.1%,13.4%,5.0%,3.4%,3.0%,0.0%,72,,,,,,,,,"['EMB 12300H', 'Villefranche-de-Rouergue (Aveyron, France)']",,
