,name,bar_code,brand,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,labels,quantity,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,packaging,allergens,nova_score,ingredients_origins,manufacturing,markets,additives,traceability_code,palm_ingredients,link
1065,Nectar d'orange - Bien Vu ! - 1L,3660992009367,['Bien Vu !'],['France'],[],[],99,?,99 kj(24 kcal),0,0,"4,9","4,9","0,3","< 0,03","0,012","['Point Vert', 'Trian']",1 L,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', ""Nectars d'orange""]",0 g,en faible quantité,0 g,en faible quantité,4.9 g,en quantité modérée,0.03 g,en faible quantité,-38%,,-39%,-100%,-100%,-46%,-42%,-18%,+165%,+165%,6,-41%,D,-41%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1066,nectar multifruits - bien vu - 6x20cl,3660992009404,['bien vu'],['France'],[],[],?,?,,?,,?,,?,,,,6x20cl,D,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",,,,,,,,,,,,,,,,,,,,,,,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,,,,,,,,,,,
1067,Dessert lacté saveur vanille  - bien vu - 750g (6 * 125g),3660992009657,['bien vu'],['France'],[],[],?,?,,?,,?,,?,,,,750 g (6 * 125 g),,"['Produits laitiers', 'Desserts', 'Desserts lactés', 'Desserts lactés à la vanille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 62.853.030 CE', 'Vieil-Moutier (Pas-de-Calais, France)']",,
1068,Gaufrettes fourrées enrobées de chocolat noir - Bien vu - 150g,3660992009695,['Bien vu'],['France'],"['chocolat noir 38% ', 'pâte de cacao', 'sucre', 'beurre de cacao', 'matières grasses laitières', 'émulsifiant ', 'lécithine de soja', 'arôme naturel de vanille', 'sucre', 'farine de blé', 'huile de palme', 'cacao maigre en poudre 3', '1%', 'lait entier en poudre', 'huile de coco', 'émulsifiant ', 'lécithine de soja', 'sel', 'poudre à lever ', 'carbonates de sodium']","['Huile de palme', 'Non végétalien', 'Végétarien']",2225,?,2225 kj(532 kcal),33,19,52,37,5,"0,1","0,04",,150 g,C,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes']",33 g,en quantité élevée,19 g,en quantité élevée,37 g,en quantité élevée,0.1 g,en faible quantité,+7%,,+6%,+33%,+29%,-16%,+8%,-9%,-71%,-71%,20,-9%,E,-9%,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,Gaufrettes fourrage au cacao enrobées de chocolat noir,"['Green dot', 'Pensez au tri!', 'Film et barquette plastique à jeter']","['Gluten', 'Lait', 'Soja']",4,,,['SuperU'],"['E322i - Lécithine', 'E500 - Carbonates de sodium']",,['Huile de palme'],
1069,Gaufrettes fourrées au chocolat - Bien Vu,3660992009923,['Bien Vu'],['France'],"['Farine de blé', 'sucre', 'huile de palme', 'dextrose', 'cacao maigre en poudre 5,3%', 'poudre de lait écrémé', 'émulsifiant : lécithines de colza', ""jaune d'œuf"", 'huile de coco', 'sel', "" Traces éventuelles d'arachides"", 'fruits à coques et soja']","['Huile de palme', 'Non végétalien', 'Végétarien']",?,502,2100 kj(502 kcal),27,15,58,35,"5,6","0,3","0,12",,,E,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits au chocolat', 'Gaufrettes', 'Gaufrettes fourrées', 'Gaufrettes fourrées au chocolat']",27 g,en quantité élevée,15 g,en quantité élevée,35 g,en quantité élevée,0.3 g,en quantité modérée,,-3%,-3%,-2%,-14%,-3%,-1%,-8%,+13%,+13%,22,-2%,E,-2%,82.4%,11.3%,2.3%,2.5%,1.4%,0.0%,41,,,"['Œufs', 'Gluten']",4,,,,['E322i - Lécithine'],,['Huile de palme'],
1070,Gaufrette Parfum Vanille - Bien Vu - 150g,3660992009930,['Bien Vu'],['France'],[],[],?,510,2134 kj(510 kcal),"27,62","21,43","59,52","40,48","5,71","0,5","0,2",,150g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,Feuilleté fromage 10x65g soit - Bien Vu - 650,3660992010127,"['Bien Vu', 'BienVu!']",['France'],[],[],?,288,1205 kj(288 kcal),"12,8","6,9",37,"5,3","5,7","0,88","0,352",,650,,"['Plats préparés', 'Feuilleté salé', 'Friands']",12.8 g,en quantité modérée,6.9 g,en quantité élevée,5.3 g,en quantité modérée,0.88 g,en quantité modérée,,-6%,-6%,-31%,-34%,+41%,+118%,-28%,-28%,-28%,12,-29%,D,-29%,,,,,,,,,,['Lait'],,,,,,"['FR 69.282.001 CE', 'Meyzieu (Rhône, France)']",,
1072,Feuilletés jambon fromage - Bien vu ! - 10,3660992010134,['Bien vu !'],['France'],"['10 Feuilletés au jambon cuit standard et au fromage', 'crus', 'surgelés Pate feuilletée dorée 70%', ' : Farine de blé ', 'farine de blé', 'gluten de blé', 'margarine ', 'huiles et aisses de palme et de colza', 'eau', 'sel', ""émulsifiant: mono-et diglycérides d'acides gras"", 'acidi - ant acide citrique', 'eau', 'sel', 'protéines de lait', 'oeufs en poudre', 'colorant: rocou Garniture 30%', ' : Eau', 'amidons modifiés de pomme de terre', 'jambon cuit standard 2,8%', ' iande saccharose', 'sirop de glucose', 'émulsifiants: diphosphates-triphosphates', 'sel', 'antioxydant: erytanate de sodium', 'dextrose', 'arômes', ""extrait d'épices"", 'lactose', 'fromage fondu 0,96%', ' fromage 0,6%', ' eau sel protéines de lait oeufs en poudre', 'arôme naturel contient lait de porc', 'eau', 'sel nitrité ', 'sel', 'conservateur: nitrite de sodium', 'stabilisant: carraghénane', 'ome', 'arôme de fumée', ' Pourcentages exprimés sur le produit fini', ' races éventueliles de céleri']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien', 'Non végétarien']",?,288,1205 kj(288 kcal),"15,7","8,9","30,9","3,3","5,3","0,67","0,268",,10,E,"['Surgelés', 'Plats préparés', 'Feuilleté salé', 'Feuilletés jambon fromage']",15.7 g,en quantité modérée,8.9 g,en quantité élevée,3.3 g,en faible quantité,0.67 g,en quantité modérée,,+0%,+0%,-10%,-15%,+26%,+36%,-29%,-35%,-35%,13,-18%,D,-18%,75.0%,16.7%,3.7%,1.3%,0.7%,2.7%,25,,['10'],"['Gluten', 'Lait']",4,,,['super u'],"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160b - Rocou', 'E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E407 - Carraghénanes', '', 'Risque élevé de sur-exposition']","['FR 69.282.001 CE', 'Meyzieu (Rhône, France)']",,
1073,Jambon cuit supérieur avec couenne - Bien Vu! - 450g,3660992010554,['Bien Vu!'],['France'],"['Jambon de porc ', 'origine UE', 'gras et couenne de porc ', 'origine UE', 'eau', 'sel', 'dextrose', 'sirop de glucose', 'bouillon de porc déshydraté ', 'eau', 'os', 'viande de porc', 'arôme', 'antioxydant : érythorbate de sodium', 'conservateur : nitrite de sodium']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",653,?,653 kj(156 kcal),8,"3,1",1,"0,9",20,2,"0,8",['Qualité supérieure'],450 g,E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs']",8 g,en quantité modérée,3.1 g,en quantité modérée,0.9 g,en faible quantité,2 g,en quantité élevée,+29%,,+19%,+67%,+68%,+49%,+51%,-5%,+7%,+7%,12,+70%,D,+70%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['Barquette', 'Film', 'Plastique', 'Sous atmosphère protectrice']",,4,['Union européenne'],,['U Express'],"['E316 - Érythorbate de sodium', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",['DE TH-EV 3045 EG'],,
1074,Pruneaux d’agen - Bien Vu,3660992010561,['Bien Vu'],['France'],"[""Pruneaux d'Agen""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,247,1033 kj(247 kcal),"0,4",0,"54,2","35,8","1,5",0,0,,,E,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",0.4 g,en faible quantité,0 g,en faible quantité,35.8 g,en quantité élevée,0 g,en faible quantité,,+2%,+2%,+11%,-100%,+1%,-1%,-20%,-100%,-100%,0,-100%,B,-100%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,1,,,,,,,
1075,Cola zéro - Bien Vu,3660992010608,['Bien Vu'],['France'],"['Boison gazéifiée à Itarôme naÜel avec Eau gaztiiiée colorant: E150d arôme naturel', ""acidifiant acide' orti0DtŒphonque"", 'édulcorants: uraIŒe et acésulfame-k', 'caféine']",[],?,4,17 kj(4 kcal),0,0,"0,1",0,0,"0,01","0,004",,,,"['Boissons', 'Boissons sans sucre ajouté']",0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,,-91%,-91%,-100%,-100%,-99%,-100%,-100%,-79%,-79%,1,-82%,B,-82%,,,,,,,,,,,4,,,,"[""E150d - Caramel au sulfite d'ammonium""]",,,
1076,Carottes rapees assaisonnees - Bien Vu,3660992010813,['Bien Vu'],['France'],"['RÂPÉES ASSAISONNi râpées assaisonnées Ingrédients Carotte râpée 79%', 'eau', 'huile de colza', 'vinaigre de citron à base de concentré ', 'eau', 'jus de citron conservateur : disulfite de sodium', 'moutarde ', 'eau', 'moutarde', ""vinaigre d'alcool"", 'sel', 'acidifiant : acide citrique', 'conservateur : disulfite de potassium', 'sucre', 'sel', 'transformé de pomme de terre', 'conservateur : sorbate potassium', 'ail en poudre', 'épaississant : gomme xanthane', 'poivre']",[],?,80,335 kj(80 kcal),"5,1","0,4",6,"5,4",1,"0,53","0,212",,,B,"['Plats préparés', 'Légumes préparés', 'Carottes râpées', 'Carottes râpées assaisonnées']",5.1 g,en quantité modérée,0.4 g,en faible quantité,5.4 g,en quantité modérée,0.53 g,en quantité modérée,,0%,+1%,+1%,-10%,-1%,+7%,+16%,-18%,-18%,0,-100%,B,-100%,62.4%,0.0%,0.0%,18.7%,12.9%,6.0%,98,,,['Moutarde'],4,,,,"['E223 - Disulfite de sodium', '', 'Risque élevé de sur-exposition', 'E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,
1077,"Nectar multifruits - Bien vu - 1,5L",3660992010905,['Bien vu'],['France'],"['Jus et purées de fruits partiellement à base de concentré 50% ', 'pomme', 'orange', 'banane', 'raisin', 'fruits de la passion', 'mangue', 'abricot', 'kiwi', 'citron', 'goyave', 'eau', 'acidifiant : acide citrique', 'édulcorant : glycosides de stéviol ', 'extrait de Stévia rebaudiana', 'antioxydant : acide ascorbique', 'provitamine A']","[""Pourrait contenir de l'huile de palme""]",106,?,106 kj(25 kcal),"0,1",0,"5,6",5,"0,3","< 0,03","0,012",['en:FSC'],"1,5 L",C,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Jus et nectars', 'Nectars de fruits', 'Nectars multifruits']",0.1 g,en faible quantité,0 g,en faible quantité,5 g,en quantité modérée,0.03 g,en faible quantité,-41%,,-40%,-48%,-100%,-44%,-47%,-4%,+211%,+211%,6,-44%,D,-44%,58.5%,3.8%,10.1%,20.0%,6.0%,1.7%,51,Nectar de fruits à base de jus de fruits concentrés et de purées de fruits partiellement concentré avec édulcorant,"['Brique', 'Carton', 'Bouchon', 'Plastique']",,4,,,,"['E330 - Acide citrique', 'E960 - Glucosides de stéviol', '', 'Risque modéré de sur-exposition', 'E300 - Acide ascorbique']",['FSC-C120428'],,
1078,Jus d'orange - Bien Vu,3660992010912,['Bien Vu'],['France'],"['Conseils de conservation A Ens un sec et frais', ' diwmr', 'wvir frais', ' AZE à au réfdgérateur et de préférence avant te : voir sur de la brique', ' volume<l net: Il,']",[],?,40,167 kj(40 kcal),"0,03","0,01",9,9,"0,7","0,03","0,012",,,,['Boissons'],0.03 g,en faible quantité,0.01 g,en faible quantité,9 g,en quantité élevée,0.03 g,en faible quantité,,-29%,-31%,-91%,-92%,-20%,-5%,+41%,-28%,-28%,12,+57%,E,+57%,,,,,,,,,,,,,,,,,,
1079,Chocolat de ménage au lait - Bien vu - 500g,3660992015016,['Bien vu'],['France'],[],[],?,495,2071 kj(495 kcal),?,"14,6",?,"54,6","7,7","0,437","0,175",,500 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Bonbons gelifies cola,3660992020058,,['France'],[],[],?,335,1402 kj(335 kcal),"0,5","0,17",80,67,"3,8","0,02","0,008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Tartelette Fraise Bien Vu - 12pièces,3660992025169,['Bien Vu'],['France'],[],[],?,448,1874 kj(448 kcal),?,"8,5",?,33,"4,9","0,5","0,2",,12 pièces,D,"['Tartes', 'Tartelettes', 'Tartelettes aux fruits', 'Biscuit sec nappé aux fruits', 'Tartelettes à la fraise']",,,8.5 g,en quantité élevée,33 g,en quantité élevée,0.5 g,en quantité modérée,,+35%,+30%,,+36%,,+23%,+27%,+48%,+48%,,,,,83.8%,8.2%,3.7%,2.3%,2.0%,0.0%,53,,,,,,,,,,,
1082,Biscottes - Bien Vu ! - 750g (100biscottes),3660992030002,['Bien Vu !'],['France'],"['Farine de blé 97%', 'sucre', 'huile de tournesol', 'levure', 'sel', 'agent de traitement de la farine : acide 1 ascorbique', ' Traces éventuelles de fruits à coque', 'laits', 'œufs', 'sésame']",[],?,385,1611 kj(385 kcal),"4,9","0,7","72,2","6,9","10,8","1,4","0,56",['Point Vert'],750 g (100 biscottes),B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'en:zwieback']",4.9 g,en quantité modérée,0.7 g,en faible quantité,6.9 g,en quantité modérée,1.4 g,en quantité modérée,,-2%,-2%,-27%,-62%,+6%,+18%,-8%,+21%,+21%,7,+12%,C,+12%,48.2%,30.5%,12.1%,8.1%,1.1%,0.0%,95,,"['Sachet', 'Plastique']",['Gluten'],3,,,['Super U'],,,,
1083,Souffles gout cacahuete BIEN VU,3660992035007,['Bien vu'],['France'],"['Produits soufflés goût cacahuète Ingrédients Semoule de maïs', 'cacahuètes grillées moulues 30%', 'son de blé', 'graisse de palme', 'sel', 'e', 'dlausteur de goût : glutamate monosodique', 'colorant : extrait de paprika', ' Traces éventuelles de lait']",['Huile de palme'],?,472,1975 kj(472 kcal),21,"5,7",55,2,13,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,,,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E160c - Extrait de paprika']",,['Huile de palme'],
1084,Souffles gout fromage BIEN VU,3660992035014,['Bien vu'],['France'],[],[],?,527,2205 kj(527 kcal),?,12,?,1,"6,3","2,2","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085,Souffles aperitif frites salee - Bien vu,3660992035038,['Bien vu'],['France'],"['e', ' ProduiÉ soufflés goût salé Semoule de maïs', 'farine de blé', 'pomme de terre déshydrdée ', 'dont sulfites', 'graisse de palme', ""selTraces éverüelles d'arachide et lait""]",['Huile de palme'],?,447,1870 kj(447 kcal),15,"6,8",69,1,"7,3","1,7","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Gluten', 'Lait']",,,,,,,['Huile de palme'],
1086,Soufflés goût bacon - Bien Vu !,3660992035045,['Bien Vu !'],['France'],"['Farine de blé', 'graisse de palme', 'arômes et arômes de fumée ', 'blé', 'sel', 'poudre à lever : carbonates de sodium', 'eûausteur dB goût : glutamate monosodlque', 'colorants : curcumlne - cochenille - rocou - riboflavine - aÙait de paprika', ' Traces évenülelles et lait']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,484,2025 kj(484 kcal),"22,5","9,5","59,8","1,1",9,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Gluten'],4,,,,"['E500 - Carbonates de sodium', 'E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E120 - Acide carminique', 'E160b - Rocou', 'E101i - Riboflavine']",,['Huile de palme'],
1087,Cacahuètes grillées et salées - Bien Vu ! - 250g,3660992035069,['Bien Vu !'],['France'],"['Cacahuètes 96%', 'huile de tournesol', 'sel 1%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2735,?,2735 kj(654 kcal),"52,1","8,7","13,7","4,5","29,6","0,7","0,28",,250 g,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Snacks', 'Légumineuses', 'Snacks salés', 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coque grillés', 'Cacahuètes', 'Fruits à coque salés', 'Cacahuètes grillées', 'Cacahuètes salées']",52.1 g,en quantité élevée,8.7 g,en quantité élevée,4.5 g,en faible quantité,0.7 g,en quantité modérée,+11%,,+8%,+8%,+21%,+10%,-15%,+17%,-40%,-40%,4,-34%,C,-34%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,Cacahuètes grillées à l'huile et salées,"['Sachet', 'Plastique', 'Sous atmosphère protectrice', 'Point vert', 'Emballage avec les déchets ménagers']",['Arachides'],3,,,['Super U'],,,,
1088,Confiture d'Abricot - Bien Vu ! - 1Kg,3660992055005,['Bien Vu !'],['France'],"['Sirop de glucose-fructose', 'abricots', 'sucre', 'acidifiant : acide citrique', 'gélifiant : pectine de fruits']","['Sans huile de palme', 'Végétalien', 'Végétarien']",?,240,1004 kj(240 kcal),"0,1",0,59,47,"0,3",0,0,,1 Kg,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",0.1 g,en faible quantité,0 g,en faible quantité,47 g,en quantité élevée,0 g,en faible quantité,,+10%,+9%,-56%,-100%,+11%,-7%,-40%,-100%,-100%,12,+33%,D,+33%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,"['Bocal', 'Verre', 'métal']",,4,,,['Super U'],"['E330 - Acide citrique', 'E440 - Pectines']",,,
1089,"Confiture De Fraises Bien Vu,",3660992055012,['Bien vu'],['France'],[],[],?,242,1013 kj(242 kcal),?,"0,06",?,48,"0,46",0,0,,,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,0.06 g,en faible quantité,48 g,en quantité élevée,0 g,en faible quantité,,+12%,+11%,,+33%,,-5%,+4%,-100%,-100%,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
1090,B.vu Poires Au Sirop Leger 820G - Systeme U,3660992055067,['Systeme U'],['France'],['Poires Williams demi•truits au sirop léqct moyennes q'],[],?,62,259 kj(62 kcal),"0,1",0,"13,9","11,8","0,3",0,0,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Poires au sirop']",0.1 g,en faible quantité,0 g,en faible quantité,11.8 g,en quantité modérée,0 g,en faible quantité,,-13%,-5%,-48%,-100%,-6%,-7%,+9%,-100%,-100%,-4,,A,,31.2%,35.3%,16.8%,8.7%,8.0%,0.0%,95,,,,,,,,,,,
1091,Cocktail de fruits au sirop léger - Bien vu ! - Poids net : 820g,3660992055074,['Bien vu !'],['France'],"['Fruits [pêches en cubes', 'poires en cubes', ""segments d'ananas"", 'raisins', 'demi-bigarreaux ', 'dont colorant : E127', ']', 'eau', 'sucre', 'acidifiant : acide citrique']",[],265,?,265 kj(63 kcal),"0,1","0,1","14,1","13,5","0,4","0,03","0,012",,Poids net : 820 g,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Desserts', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Fruits et produits dérivés', 'Fruits en conserve', 'Fruits au sirop', 'Cocktail de fruits au sirop', 'Cocktail de fruits']",0.1 g,en faible quantité,0.1 g,en faible quantité,13.5 g,en quantité élevée,0.03 g,en faible quantité,-5%,,-5%,-50%,+185%,-7%,0%,+25%,+40%,+40%,-4,,A,,,,,,,,,Cocktail de fruits au sirop léger,['Conserve'],,4,,,,"['E127 - Érythrosine', 'E330 - Acide citrique']","['EMB 77146I', 'Croissy-Beaubourg (Seine-et-Marne, France)']",,
1092,"Pois Tres Fin Bien Vu 4 / 4 - 800g (850ml, poids net égoutté : 560g)",3660992060009,"['Bien vu', 'Bien Vu !']",['France'],"['Petits pois', 'eau', 'sucre', 'sel', 'arôme naturel']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,82,343 kj(82 kcal),"0,4","0,1","12,7","1,8","5,4","0,65","0,26",['Point Vert'],"800 g (850 ml, poids net égoutté : 560 g)",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois', 'Petits pois en conserve']",0.4 g,en faible quantité,0.1 g,en faible quantité,1.8 g,en faible quantité,0.65 g,en quantité modérée,,+8%,+7%,-42%,-34%,+26%,-46%,+12%,+17%,+17%,-10,,A,,37.9%,30.3%,14.5%,7.3%,4.0%,5.9%,85,Petits pois très fins à l'étuvée,"['Conserve', 'Boîte', 'Couvercle', 'Métal']",,4,,,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,
1093,Petits pois très fins et carottes à l'étuvée - U - 800g,3660992060023,['U'],['France'],[],[],?,?,,?,,?,,?,,,['Point Vert'],800 g,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",,,,,,,,,,,,,,,,,,,,,,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,['Conserve'],,,,['Pays-Bas'],,,,,
1094,Macédoine de légumes - Bien Vu - 800g (égoutté : 530g) 850ml,3660992060030,['Bien Vu'],['France'],"['Légumes verts 50% minimum ', 'petits pois', 'haricots verts', 'flageolets verts', 'carottes', 'navets', 'eau', 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",219,?,219 kj(52 kcal),"0,6","0,5",7,"1,4","2,7","0,7","0,28",,800 g (égoutté : 530 g) 850 ml,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Conserves', 'Aliments à base de fruits et de légumes', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'en:canned-drained-diced-mixed-vegetables']",0.6 g,en faible quantité,0.5 g,en faible quantité,1.4 g,en faible quantité,0.7 g,en quantité modérée,+25%,,+25%,+59%,+324%,+23%,+10%,+19%,+8%,+8%,-7,,A,,,,,,,,,,['Conserve'],,3,,['Pays-Bas'],,,,,
1095,"Haricots Verts Extra-fins Bien Vu,",3660992060054,['Bien vu'],['France'],"['Haricots verts extra-fins Ingrédients Haricots verts extra-fins : ', 'France', 'eau', 'sel']",[],?,24,100 kj(24 kcal),"0,1","0,1","2,8","0,9","1,4","0,7","0,28",,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Légumes et dérivés', 'Haricots verts']",0.1 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.7 g,en quantité modérée,,-11%,-9%,-61%,+86%,-8%,-4%,-11%,+35%,+35%,-5,,A,,71.3%,0.0%,0.0%,9.8%,14.0%,4.9%,95,,,,3,,,,,,,
1096,"Flageolets Verts Fins Bien Vu,",3660992060061,['Bien vu'],['France'],"['Flageolets verts fins', 'eau', 'sel', ' Certains ingrédients de ce produit ne proviennent pas de Pays-Bas']",[],?,85,356 kj(85 kcal),"0,8","0,1","11,7","0,7","4,1","0,86","0,344",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,"Coeurs D'artichauts Bien Vu, - Bien Vu Marque u",3660992060139,['Bien Vu Marque u'],['France'],"[""Cœurs d'artichau Ingrédients Cœurs d'artichauts"", 'eau', 'se acidifiant : acide citrique']",[],?,32,134 kj(32 kcal),0,0,5,1,2,"0,7","0,28",,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",0 g,en faible quantité,0 g,en faible quantité,1 g,en faible quantité,0.7 g,en quantité modérée,,-36%,-35%,-100%,-100%,+10%,-18%,+15%,-19%,-19%,-5,,A,,,,,,,,,,,,1,,,,['E330 - Acide citrique'],,,
