,name,bar_code,eco_score,quantity,brand,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,allergens,packaging,labels,manufacturing,traceability_code,additives,nova_score,markets,generic_name,link,ingredients_origins,palm_ingredients,brand_owner,origin_detail,producer_info
20,Pack of 3 Deal Blanxart 91% Congo Dark Chocolate 100G,8436006835506,D,,['Blanxart'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats', 'Chocolats noirs']","['France', 'Espagne']",[],[],50.2 g,en quantité élevée,31.5 g,en quantité élevée,9.5 g,en quantité modérée,0.025 g,en faible quantité,?,,581,+4%,2431 kj(581 kcal),+5%,"50,2",+27%,"31,5",+36%,"15,7",-59%,"9,5",-70%,"12,2",+59%,"0,025",-46%,"0,01",-46%,14,-34%,D,-34%,85.3%,9.9%,1.2%,3.2%,0.4%,0.0%,24,,,"['Bio', 'Bio européen', 'ES-ECO-019-CT']",,,,,,,,,,,,
21,Pa Biscotes Sense Gluten Proceli (3 Packs De 4 Unitats) -,8436008300217,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Produits sans gluten', 'Pains', 'Pains sans gluten']","['France', 'Espagne']",[],[],7.9 g,en quantité modérée,4.4 g,en quantité modérée,9 g,en quantité modérée,2.35 g,en quantité élevée,?,,394,+54%,1648 kj(394 kcal),+54%,"7,9",+29%,"4,4",+358%,75,+79%,9,+173%,"2,4",-41%,"2,35",+112%,"0,94",+112%,19,+712%,E,+712%,57.4%,21.5%,10.0%,10.3%,0.7%,0.0%,89,,,['Sans gluten'],,,,,,,,,,,,
22,Soja Calcio - Frías - 1l,8436019099674,B,1 l,['Frías'],"['Aliments et boissons à base de végétaux', 'Boissons', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Boissons à base de végétaux', 'Substitut du lait', 'Boissons végétales', 'Boissons végétales de légumineuses', 'Boissons végétales de soja', 'Laits de soja naturel avec du sucre', 'Boissons sans sucre ajouté']","['France', 'Espagne']","['Agua', 'habas de soja ', '13%', 'fructosa', 'sales cálcicas de ácido ortofosfórico', 'emulgente ', 'goma gellan', 'sal', 'aroma y vitaminas A ', 'acetato de retinol', ' y D ', 'ergocalciferol', ',']","['Végétalien', 'Végétarien']",1.7 g,en quantité modérée,0.3 g,en faible quantité,3 g,en quantité modérée,0.1 g,en faible quantité,?,,43,-2%,180 kj(43 kcal),-1%,"1,7",+1%,"0,3",+4%,"3,7",+3%,3,+9%,"3,1",+2%,"0,1",+22%,"0,04",+22%,-1,,A,,25.4%,0.6%,27.0%,26.7%,15.9%,4.4%,82,['Soja'],['Tetra Brik'],"['Végétarien', 'en:FSC', 'en:gluten-free', 'Sans OGM', 'Végétalien', 'Point Vert', 'Riche en calcium', 'Sans lactose', 'es:Alto en vitamina A', 'es:Alto en vitamina D']","['Burgos', 'Burgos (provincia)', 'Castilla y León', 'España']","['NIF: A-09022252', 'ES 26.001572/BU CE', 'FRÍAS NUTRICIÓN S.A.']",['E418 - Gomme gellane'],4,['Hipercor'],Bebida de soja UHT enriquecida en calcio y vitaminas A y D,http://www.frias.es/,,,,,
23,Sanblas,8436026310953,,,['Sanblas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Fruits à coques décortiqués']","['France', 'Espagne']",[],[],26.3 g,en quantité élevée,3.7 g,en quantité modérée,6.4 g,en quantité modérée,1 g,en quantité modérée,?,,490,-22%,2050 kj(490 kcal),-22%,"26,3",-50%,"3,7",-19%,7,-47%,"6,4",+48%,"19,1",-2%,1,+1257%,"0,4",+1257%,14,+714%,D,+714%,,,,,,,,,,,,,,,,,,,,,,
24,Gazpacho,8436031601138,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Soupes de légumes', 'Soupes froides', 'Gaspacho']",['France'],[],[],3.5 g,en quantité modérée,0.4 g,en faible quantité,1.9 g,en faible quantité,0.7 g,en quantité modérée,?,,50,+22%,209 kj(50 kcal),+21%,"3,5",+43%,"0,4",+4%,"1,9",-43%,"1,9",-25%,"0,5",-36%,"0,7",+5%,"0,28",+5%,3,+152%,C,+152%,8.9%,40.5%,20.0%,12.5%,12.7%,5.4%,98,,,,,,,,,,,,,,,
25,Huile d'olive - Dontapas,8436033870280,D,,['Dontapas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",['France'],"[""Huile d'Olive extra vierge""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",100 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+5%,3766 kj(900 kcal),+5%,100,+5%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,2,,,,,,,,
26,Petit calamar farci -,8436033877043,,,,"['Produits de la mer', 'Mollusques', 'Calamars']",['France'],[],[],9.8 g,en quantité modérée,1.3 g,en faible quantité,0 g,en faible quantité,0.7 g,en quantité modérée,?,,175,+10%,732 kj(175 kcal),+7%,"9,8",+5%,"1,3",-8%,10,+126%,0,-100%,12,-8%,"0,7",-38%,"0,28",-38%,1,-62%,B,-62%,,,,,,,,,,,,,,,,,,,,,,
27,Chorizo,8436037452000,,,,,['France'],[],[],,,,,,,,,?,,536,,2243 kj(536 kcal),,"46,7",,18,,"1,1",,"0,5",,"27,8",,"2,23",,"0,892",,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Petit deli - Marca Guia,8436039780910,,,['Marca Guia'],,['France'],"['bicarb0nat0 bicarbonato s6dico', ' sat', ' suero cun colorante E150d', ' aromas', ' anti08idantes: metabisutfito -idico', ' ascOrbicO', ' Puede conten aSde granos de sésamo-']",[],,,,,,,,,?,,467,,1954 kj(467 kcal),,"2,5",,"1,3",,20,,"3,5",,"1,9",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Pate D'olive Noire -,8436041492139,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,['Bio'],,,,,,,,,,,,
30,Chiffonnade Chorizo Extra - Casa Ramon - 100g,8436045040022,D,100 g,['Casa Ramon'],"['Viandes', 'Charcuteries', 'Saucissons', 'Porc', 'Chorizo']",['France'],"['Viande de porc', 'sel', 'épices', '_LAIT en poudre', 'dextrine', 'protéine de SOJA', 'ail', 'antioxygène ', 'E316', 'colorant ', 'E120', 'conservateur ', 'E250']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",31.6 g,en quantité élevée,11.9 g,en quantité élevée,1.4 g,en faible quantité,3.04 g,en quantité élevée,?,,370,-9%,1548 kj(370 kcal),-9%,"31,6",-7%,"11,95",-7%,"1,4",-52%,"1,4",-22%,20,-13%,"3,04",-19%,"1,216",-19%,24,+1%,E,+1%,76.1%,16.6%,0.6%,1.8%,1.0%,3.9%,35,['Soja'],"['Sachet', 'Plastique', 'Atomosphère protectrice']",['Point Vert'],,['ES 10.01865/GE CE'],"['E1400 - Dextrines', 'E316 - Érythorbate de sodium', 'E120 - Acide carminique', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",4,['Franprix'],,,,,,,
31,Jambon Serrano - Casa ramon - 100g,8436045040053,E,100 g,['Casa ramon'],"['Viandes', 'Charcuteries', 'Produits à la viande', 'Jambons', 'Jambons crus', 'Jambons secs', 'Produits carnés espagnols', 'Jambons Serrano', 'en:raw-cured-ham']",['France'],"['Jambon de porc', 'sel', 'dextrose', 'conservateurs ', 'E252', 'E250', ' et antioxydant ', 'E300']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",,,4.6 g,en quantité modérée,0.1 g,en faible quantité,5.5 g,en quantité élevée,?,,230,-4%,962 kj(230 kcal),-4%,?,,"4,6",-1%,?,,"0,1",-78%,"29,8",-2%,"5,5",+17%,"2,2",+17%,,,,,81.4%,16.7%,0.3%,0.9%,0.5%,0.3%,7,,"['Barquette', 'Plastique', 'Frais']",['en:traditional-speciality-guaranteed'],['Espagne'],['ES 10.14567/GE CE'],"['E252 - Nitrate de potassium', '', 'Risque élevé de sur-exposition', 'E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition', 'E300 - Acide ascorbique']",4,['Franprix'],,,['Espagne'],,,,
32,Saucisson dinde,8436045048929,,,,,['France'],[],[],,,,,,,,,?,,378,,1582 kj(378 kcal),,"28,7",,"10,27",,5,,"2,3",,0,,8,,"3,2",,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Hit 100% naturel,8436046552463,,,['Hit 100% naturel'],,['France'],"['sucre', 'sirop de glucose', 'arômes naturels', 'E170', 'cire de carnauba', ""cire d'abeille""]","['Sans huile de palme', 'Non végétalien']",,,,,,,,,?,,339,,1418 kj(339 kcal),,"0,5",,"0,5",,98,,97,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,['en:gluten-free'],,,"['E170 - Carbonates de calcium', 'E903 - Cire de carnauba', ""E901 - Cire d'abeille""]",4,,,,,,,,
34,Hit 100% natural,8436046552531,,,,,['France'],[],[],,,,,,,,,?,,399,,1669 kj(399 kcal),,"0,5",,"0,5",,98,,97,,"0,5",,"0,01",,"0,004",,,,,,,,,,,,,,,['en:gluten-free'],,,,,,,,,,,,
35,Chiquilín Energy a cucharadas - Artiach,8436048476552,,,['Artiach'],,['France'],[],[],,,,,,,,,?,,470,,1966 kj(470 kcal),,17,,"3,4",,71,,23,,"6,8",,"0,63",,"0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Panela - Doña Rosita,8436537512129,B,,['Doña Rosita'],"['Édulcorants', 'Sucres', 'Sucres roux', 'Sucres de canne', 'Panela', 'en:Panela blocks']",['France'],[],[],0 g,en faible quantité,0 g,en faible quantité,71 g,en quantité élevée,0 g,en faible quantité,?,,366,+12%,1531 kj(366 kcal),+10%,0,-100%,0,,91,+11%,71,-3%,0,-100%,0,-100%,0,-100%,14,+9%,D,+9%,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,,,,,,,,,,,,,,
37,Calamars a la gallega - Casa Ramón,8436541669048,,,['Casa Ramón'],,['France'],"['CALAMARS À LA GALLEGA CALAMARS', ' huile de tournesol', 'sel', 'paprika doux', 'extrait poivron', 'arôme naturel', 'paprika piquant', 'laurier', 'acide citrique ', 'E-330']",[],,,,,,,,,?,,365,,1527 kj(365 kcal),,"34,8",,"4,2",,"0,9",,0,,"12,1",,1,,"0,4",,,,,,,,,,,,,['Mollusques'],,,,,['E330 - Acide citrique'],4,,,,,,,,
38,Sirop d’agave -,8436542192248,,,,"['Édulcorants', 'Sirops', 'Sirops simples', ""Sirops d'agave""]","['France', 'Espagne']",[],[],0 g,en faible quantité,0 g,en faible quantité,77 g,en quantité élevée,,,?,,308,-1%,1289 kj(308 kcal),-1%,0,-100%,0,-100%,77,+0%,77,+5%,0,-100%,,,,,,,,,,,,,,,,,,"['Bio', 'Bio européen', 'en:gluten-free', 'ES-ECO-024-MU']",,,,,,,,,,,,
