,name,bar_code,eco_score,generic_name,quantity,packaging,brand,categories,labels,ingredients_origins,link,markets,sales_countries,ingredients_list,allergens,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,manufacturing,additives,palm_ingredients,origin_detail,producer_info,brand_owner
788,Chorizo doux farfalles et piperade basque - Fleury Michon - 340g,3302740032134,,,340 g,['Etui en carton'],['Fleury Michon'],"['Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Plats à base de riz', 'Plats au bœuf']","['Sans conservateurs', 'Nutriscore', 'Nutriscore B', 'Nutriscore C']",,,,['France'],"['Pâtes farfalles 46% ', 'eau', 'semoule de blé dur', 'tomates 19%', 'chorizo 11% ', 'viande de porc', 'paprika', 'sel', 'ail', 'poivrons rouges 9', '2%', 'oignons 3', '6%', 'vin blanc', ""huile d'olive vierge"", 'eau', 'concentré de tomates', 'beurre', 'amidon de riz', 'huile de colza,\xa0ail 0', '3%', 'sel', 'gélatine de boeuf', 'persil', 'thym', 'herbes de Provence ', 'basilic', 'origan', 'romarin', 'thym', 'poivre', ""piment d'Espelette""]","['Gluten', 'Lait', 'Soja']","['Non végétalien', 'Non végétarien']",4,8.9 g,en quantité modérée,3 g,en quantité modérée,2 g,en faible quantité,0.79 g,en quantité modérée,494,-12%,?,,494 kj(118 kcal),-22%,"8,9",+95%,3,+96%,19,0%,2,+35%,"6,3",-3%,"0,79",-1%,"0,316",-1%,2,+17%,B,+17%,,,,,,,,,,['E428 - Gélatine'],,,,
789,Lernstark - Rotbäckchen - 700ml,4004191008469,C,,700 ml,['Flasche'],['Rotbäckchen'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits']",,,,,"['France', 'Allemagne']","['Weißer Traubensaft', 'Apfelsaft', 'Erdbeermark', 'Aroniasaft', 'Holundersaft', 'Heidelbeersaft', 'Eisen', 'Il', 'gluconat', 'Vitamin B1', 'B2', 'B6', 'B12', 'Niacin', 'Pantothenat', 'Biotin']",,[],1,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.03 g,en faible quantité,?,,60,+33%,251 kj(60 kcal),+34%,"0,5",+216%,"0,1",+276%,14,+35%,"0,5",-95%,"0,5",+48%,"0,03",+186%,"0,012",+186%,10,+48%,E,+48%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,
790,Cœurs de palmier Mini - Carrefour,3560071232436,C,,,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Frais', 'Aliments à base de plantes frais', 'Cœurs de palmier']",,,,['Carrefour'],['France'],[],,[],,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,2.25 g,en quantité élevée,?,,24,-17%,100 kj(24 kcal),-17%,"0,5",+37%,"0,1",+45%,"1,3",-57%,"0,5",-32%,"2,3",-0%,"2,25",+197%,"0,9",+197%,8,+757%,C,+757%,64.1%,17.1%,7.8%,4.1%,4.6%,2.3%,59,,,,,,,
791,Lait de chèvre en poudre - Régilait - 375g,3043933100000,,,375 g,,['Régilait'],"['Boissons', 'Produits laitiers', 'Produits déshydratés', 'Laits', 'Produits lyophilisés à reconstituer', 'Boissons lyophilisées', 'Laits entiers', 'Laits en poudre', 'Laits entiers en poudre']","['Fabriqué en France', 'Sans sucre ajouté']",['Union européenne'],,,['France'],['Lait de chèvre entier en poudre'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",1,,,,,,,,,?,,508,+59%,2125 kj(508 kcal),+53%,28,+250%,22,+378%,38,+0%,38,+6%,26,+8%,"0,73",+4%,"0,292",+4%,,,,,,,,,,,,,,,,,,
792,Houmous Citron,3280222205194,B,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']",['Sans colorants'],,,,['France'],[],,[],,22.4 g,en quantité élevée,2.4 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,284,+8%,1188 kj(284 kcal),+8%,"22,4",+11%,"2,4",-2%,"12,4",+17%,"0,5",-63%,"6,2",-4%,"1,1",+6%,"0,44",+6%,6,+20%,C,+20%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,
793,Cocoa Dusted - 478g,5413121366392,,,478 g,,,,['Fabriqué en Belgique'],,,,['France'],[],,[],,,,,,,,,,?,,614,,2569 kj(614 kcal),,"47,8",,"39,1",,"38,3",,"37,3",,"4,2",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,
794,Coppenrath Hausgebäck Wiener Sandringe - 200g,4006952008145,D,,200g,['Kunststoff'],['Coppenrath'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",,,,,"['France', 'Allemagne']","['Weizenmehl', 'Zucker', 'Palmfett', 'Butterreinfett', 'Vollei', 'Bourbon Vanilleschotenpulver', 'Magermilchpulver', 'Sojamehl', 'Maisstärke', 'Glukose-Fruktose Sirup', 'Salz']","['Œufs', 'Gluten', 'Lait', 'Soja']","['Huile de palme', 'Non végétalien']",4,29 g,en quantité élevée,15 g,en quantité élevée,24 g,en quantité élevée,0.4 g,en quantité modérée,?,,534,+13%,2234 kj(534 kcal),+12%,29,+39%,15,+49%,61,-5%,24,-19%,"6,6",+2%,"0,4",-32%,"0,16",-32%,22,+11%,E,+11%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
795,Le gourmand club pavot jambon supérieur - Sodebo - 180g,3242272846055,D,,180 g,['Sachet'],['Sodebo'],"['Sandwichs', 'Sandwichs garnis de charcuteries', 'Sandwichs au fromage', 'Sandwichs au jambon', 'Sandwichs Jambon Fromage']","['Sans additifs', 'Nutriscore', 'Nutriscore C', 'AOP']",,,,['France'],[],,[],,9.8 g,en quantité modérée,5 g,en quantité modérée,2.1 g,en faible quantité,1.2 g,en quantité modérée,?,,234,-7%,979 kj(234 kcal),-8%,"9,8",-10%,5,+20%,23,-11%,"2,1",-35%,11,-2%,"1,2",-20%,"0,48",-20%,7,-36%,C,-36%,75.0%,14.2%,6.0%,2.8%,1.5%,0.4%,47,,,,,,,
796,Pruneaux d'Agen - Carrefour - 1kg,3560071223007,E,,1 kg,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,,['Carrefour'],['France'],[],,[],,0 g,en faible quantité,0 g,en faible quantité,38 g,en quantité élevée,0 g,en faible quantité,?,,232,-4%,971 kj(232 kcal),-4%,0,-100%,0,-100%,52,-3%,38,+5%,"2,4",+28%,0,-100%,0,-100%,4,+83%,C,+83%,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,,,,
797,Sauce Alger aux oignons - Halal - Samia,3276650102358,,,,"['Flacon', 'Plastique']",['Samia'],"['Epicerie', 'Sauces', 'Sauces algériennes']",['Halal'],,,,['France'],"['Huile de colza', 'eau', 'sirop de glucose-fructose', 'oignons 5', '5%', 'purée de tomates', ""jaune d'œuf 3"", '6 %', 'vinaigre', 'sel', ""jus d'oignons concentré 1 %"", ""poudre d'oignons 0"", '5 %', 'poivron', 'amidon', 'amidon modifié de maïs', ""arôme naturel d'épices"", 'acidifiant : acide lactique', 'conservateur : sorbate de potassium', 'épices', 'arôme naturel de capsicum', 'épaississant : gomme xanthane']",['Œufs'],['Non végétalien'],4,41.3 g,en quantité élevée,3.4 g,en quantité modérée,17.2 g,en quantité élevée,1.6 g,en quantité élevée,1903,,460,-4%,1903 kj(460 kcal),-4%,"41,3",-9%,"3,4",-5%,"19,7",+28%,"17,2",+52%,"1,5",-4%,"1,6",-13%,"0,64",-13%,18,-2%,D,-2%,,,,,,,,,,"['E14XX - Amidons modifiés', 'E270 - Acide lactique', 'E202 - Sorbate de potassium', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane']",,,,
798,12 macarons - lidl - 148ge,4056489137788,D,,148ge,,['Lidl'],"['Desserts', 'Biscuits et gâteaux', 'Pâtisseries', 'Macarons', 'en:Biscuits et gâteaux', 'en:Pâtisseries']","['Fabriqué en France', 'en:lidl']",,,,['France'],"['Makroner', '  4 olika smaker: hallon', 'citron', 'passionsfrukt', 'svarta vinbär', '  12 st', '  Djupfrysta', '  Ingredienser: socker', 'vatten', '10% mandel', 'vetemjöl', 'smör', '4,6% hallonpuré', 'majsmjöl', '3,1% svartvin-bärspuré', '3% passionsfruktspuré', '1,9% citronpuré', '1,9% äggvéite-pulver ""', 'blåbärur ""', 'fărgämnen ', 'karotener', 'rödbetsrött', 'antocyaner', 'modifierad potatisstärkelse', 'gräddpulver', '0,4% citronjuicekoncentrat', 'geleringsmedel ', 'pektiner', 'druvsocker', 'naturlig hallonarom', 'surhetsreglerande ', 'natriumalginat', 'naturlig svartvinbärsarom', 'naturlig citronomom ', 'trietylcitrat', ' ”Från utehöns', '  Kan innehålla spår av soja', 'valnötter', 'hasselnötter och pistagenötter', '  Ursprung mandel: ícke-EU ', 'USA', '  Tillverkad i Frankrike', '  medel ', 'citronsyra', 'förtjockningsmedel']",,"[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",4,10.8 g,en quantité modérée,3.1 g,en quantité modérée,47.5 g,en quantité élevée,0.19 g,en faible quantité,?,,349,+1%,1460 kj(349 kcal),+1%,"10,8",-31%,"3,1",-64%,"55,1",+21%,"47,5",+42%,"6,2",+19%,"0,19",-20%,"0,076",-20%,17,0%,D,0%,88.9%,5.7%,2.0%,2.2%,1.2%,0.0%,37,,,"['E162 - Rouge de betterave', 'E163 - Anthocyanes', 'E440 - Pectines', 'E401 - Alginate de sodium', 'E1505 - Citrate de triéthyle', 'E330 - Acide citrique']",,,,
799,sparkling - chupa chups,8801069402468,C,,,,['chupa chups'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Boissons aux fruits', 'Boissons avec sucre ajouté']",,,,,"['France', 'Espagne']",[],,[],,0 g,en faible quantité,0 g,en faible quantité,11.6 g,en quantité élevée,0.7 g,en quantité modérée,?,,49,-42%,205 kj(49 kcal),-45%,0,-100%,0,-100%,"11,88",-40%,"11,59",-37%,0,-100%,"0,7",+1772%,"0,28",+1772%,18,+51%,E,+51%,36.8%,6.4%,25.7%,17.4%,10.7%,2.9%,70,,,,,,,
800,Tropicana Pamplemousse jaune - 900ml,3168930158622,,Jus de pamplemousse jaune.,900 ml,,['Tropicana'],,['Point Vert'],,,,['France'],['À déterminer'],,[],,,,,,,,,,163,,38,,163 kj(38 kcal),,0,,0,,"7,7",,"7,7",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,
801,Jarret de porc désossé - Bigard - 460g,3273230393786,E,,460 g,['Carton'],['Bigard'],"['Viandes', 'Plats préparés', 'Produits à la viande', 'Plats préparés à la viande', 'Porc', 'Plats au porc', 'Rôtis de porc', 'Filets mignons de porc']","['Viande Française', 'Viande Porcine Française']",,,,['France'],"['viande porcine 73%', 'eau', 'vin blanc ', 'SULFITES', 'vinaigre de vin rouge ', 'SULFITES', 'amidon et fécule de pomme de terre', 'échalote 0', '9%', 'extrait de bœuf', 'MOUTARDE de Dijon 0,3% ', 'eau', 'graine de MOUTARDE', ""vinaigre d'alcool"", 'sel', 'dextrose', 'huile de tournesol', 'sel', 'ail', 'épices']","['Moutarde', 'Anhydride sulfureux et sulfites']","['Non végétalien', 'Non végétarien']",4,7.4 g,en quantité modérée,2.6 g,en quantité modérée,0.5 g,en faible quantité,1.1 g,en quantité modérée,?,,161,+28%,674 kj(161 kcal),+28%,"7,4",+98%,"2,6",+73%,"1,7",+527%,"0,5",+179%,22,+1%,"1,1",+184%,"0,44",+184%,3,,C,,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,"['FR 29.233.001 CE', 'Quimperlé (Finistère, France)']",,,,,,
802,Mini moelleux à l'abricot - Sondey - 180gr,20294397,,,180 gr,"['Sachet plastique', 'Emballages individuels']",['Sondey'],['Biscuits et gâteaux'],,,,['Lidl'],['France'],"[""72% blancs d'oeufs"", 'sucre', ""12,3% confiture d'abricots "", 'sirop de glucose-fructose', '4,5% abricots', 'sucre', 'gélifiant ', 'pectine', 'acidifiant ', 'acide citrique', ""correcteur d'acidité "", 'citrates de sodium', 'farine_de_blé', 'beurre ', 'lait', 'huile de tournesol', ""poudre_d'amandes"", '7,7% abricots séchés', 'farine de riz', 'antioxydant ', 'anhydride_sulfureux', 'humectant ', 'glycérol', 'sirop de glucose-fructose', 'jus de citron concentré', ""arôme naturel d'abricot"", 'poudres à lever ', 'diphosphates', 'carbonates de sodium', ' amidon de blé', '0,22% oeufs entiers', 'sel', 'épaississant ', 'gomme xanthane', 'arôme ', ""contient de l'alcool"", '\rTraces éventuelles de fruits à coque', 'de soja et de graines de sésame']","['Œufs', 'Gluten', 'Lait', 'Fruits à coque', 'Anhydride sulfureux et sulfites']",['Non végétalien'],4,19 g,en quantité modérée,5.8 g,en quantité élevée,35 g,en quantité élevée,0.39 g,en quantité modérée,1705,-8%,407,-5%,1705 kj(407 kcal),-5%,19,-1%,"5,8",-32%,53,-7%,35,+20%,"6,1",+3%,"0,39",-31%,"0,156",-31%,18,-3%,D,-3%,,,,,,,,,,"['E440 - Pectines', 'E330 - Acide citrique', 'E331 - Citrates de sodium', 'E220 - Anhydride sulfureux', '', 'Risque élevé de sur-exposition', 'E422 - Glycérol', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E415 - Gomme xanthane']",,,,
803,Ti'nounours,3501275150225,,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,405,,1695 kj(405 kcal),,11,,"6,6",,73,,55,,"3,3",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,
804,Petits pois carottes - Jean Nicolas - 800g,3017800500248,B,,800g,['Conserve'],['Jean Nicolas'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",,,,,['France'],"['Légumes ', 'Petits pois ', '50 % minimum""', 'carottes ', '30 % minimum*', 'eau', 'sucre', 'sel', 'arôme naturel', ' *% rapportés au poids net égoutté']",,[],4,0.6 g,en faible quantité,0.2 g,en faible quantité,3.7 g,en faible quantité,0.57 g,en quantité modérée,?,,63,+9%,264 kj(63 kcal),+10%,"0,6",+21%,"0,2",+59%,"8,8",+8%,"3,7",+9%,"3,4",+10%,"0,57",-3%,"0,228",-3%,-9,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,,,,,,,
805,Yaourt a la grecque - La Bergerie - 2x 125g,3273220140796,,,2 x 125 g,,['La Bergerie'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Yaourts', 'Yaourts à la grecque']",,,,,['France'],[],,[],,10 g,en quantité modérée,6.8 g,en quantité élevée,4.6 g,en faible quantité,0.1 g,en faible quantité,?,,129,+10%,540 kj(129 kcal),+10%,10,+46%,"6,8",+53%,"4,6",-47%,"4,6",-42%,"5,1",+15%,"0,1",-14%,"0,04",-14%,5,+23%,C,+23%,,,,,,,,,,,,,,
806,Crème fraiche epaisse légère 15% Mat. Gr. Netto,3250392849504,C,,,"['Pot en plastique', 'Opercule en métal']",['Netto'],"['Produits laitiers', 'Produits fermentés', 'Crèmes', 'Produits laitiers fermentés', 'Crèmes épaisses', 'Crèmes fraîches', 'Crèmes légères']",,,,,['France'],[],,[],,15 g,en quantité modérée,10.8 g,en quantité élevée,4 g,en faible quantité,0.11 g,en faible quantité,?,,167,+4%,699 kj(167 kcal),+5%,15,+6%,"10,8",+15%,"5,6",+3%,4,+3%,"2,7",-2%,"0,11",+2%,"0,044",+2%,12,+22%,D,+22%,68.4%,19.8%,4.5%,4.0%,2.6%,0.7%,70,,,,,,,
807,Green ICE tea - Lipton,8711200487837,,,,,['Lipton'],,,,,,['France'],[],,[],,,,,,,,,,?,,15,,63 kj(15 kcal),,"0,5",,"0,1",,"3,6",,"3,5",,"0,5",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,
808,8410525194375,8410525194375,,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,
809,"Frollini Integrali, Kekse, Vollkorn Mürbteig - Dolciando - 700g",8017596004338,C,,700 g,,['Dolciando'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Sans huile de palme'],,,,"['France', 'Italie']",[],,[],,19 g,en quantité modérée,2 g,en quantité modérée,22 g,en quantité élevée,0.51 g,en quantité modérée,?,,468,-1%,1958 kj(468 kcal),-2%,19,-9%,2,-80%,64,0%,22,-25%,"7,7",+18%,"0,51",-13%,"0,204",-13%,12,-39%,D,-39%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,,,,,,
810,"Velouté carottes, curry et gingembre - AGIDRA - 73cl",3580282264927,A,,73 cl,['Verre'],['AGIDRA'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Plats préparés', 'Soupes', 'Veloutés', 'Soupes de légumes', 'Veloutés de légumes', 'Veloutés de carottes']",['Fabriqué en France'],,,['GRAND FRAIS'],['France'],"['Eau', 'carotte 46%', 'oignon 3%', ""huile d'olive vierge extra"", 'sel', 'piment doux', 'gingembre', 'curry', 'poivre']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,2.2 g,en faible quantité,0.3 g,en faible quantité,2.1 g,en faible quantité,0.34 g,en quantité modérée,?,,35,-5%,146 kj(35 kcal),-12%,"2,2",+29%,"0,3",-69%,"2,1",-51%,"2,1",+15%,"1,2",+75%,"0,34",-44%,"0,136",-44%,0,-100%,B,-100%,25.5%,33.0%,16.0%,11.0%,10.2%,4.3%,97,,['France'],,,,,
811,Landliebe Landkäse sahnig mild - 150g,8710912055655,D,,150 g,['Becher'],['Landliebe'],"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages']",['Sans gluten'],,,,"['France', 'Allemagne']",[],,[],,25 g,en quantité élevée,17 g,en quantité élevée,0.1 g,en faible quantité,1.4 g,en quantité modérée,?,,316,-4%,1322 kj(316 kcal),-4%,25,-6%,17,-4%,"0,1",-92%,"0,1",-87%,22,+8%,"1,4",+8%,"0,56",+8%,14,+2%,D,+2%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,['DE BY-13136 EG'],,,,,,
812,Barre - 40g,3770004509607,,,40 g,,,,"['Bio', 'Bio européen', 'Végétarien', 'Végétalien', 'BE-BIO-02', 'Agriculture UE/Non UE', 'Fabriqué en Belgique']",,,,['France'],[],,"['Végétalien', 'Végétarien']",,,,,,,,,,?,,425,,1778 kj(425 kcal),,"31,3",,"4,5",,33,,"16,5",,"10,8",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,
813,Fit protein bar-white chocolate cookie.,4260593955590,,,,,,,,,,,['France'],[],,[],,,,,,,,,,?,,385,,1611 kj(385 kcal),,15,,"8,7",,38,,"3,5",,37,,"0,57",,"0,228",,,,,,,,,,,,,,,,,,,
814,Pâte à tartiner - Lucien Georgelin,3330720238177,D,,,,['Lucien Georgelin'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits à tartiner sucrés', 'Pâtes à tartiner', 'Pâtes à tartiner aux noisettes', 'Pâtes à tartiner au chocolat', 'Pâtes à tartiner aux noisettes et au cacao']",,,,,['France'],[],,[],,32 g,en quantité élevée,13 g,en quantité élevée,38 g,en quantité élevée,0.12 g,en faible quantité,?,,546,-1%,2284 kj(546 kcal),-1%,32,-6%,13,+69%,54,+5%,38,-20%,"8,3",+22%,"0,12",+17%,"0,048",+17%,24,+16%,E,+16%,82.7%,11.5%,2.8%,2.4%,0.6%,0.0%,40,,,,,,,
815,Pain farine intégrale biologique - Casino - 100g,3222477373044,,,100g,['Sachet'],['Casino'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']","['Bio', 'Bio européen', 'FR-BIO-10']",,,['Casino'],['France'],[],,[],,1.3 g,en faible quantité,0.2 g,en faible quantité,0.5 g,en faible quantité,1 g,en quantité modérée,?,,225,-10%,941 kj(225 kcal),-10%,"1,3",-62%,"0,2",-63%,42,-1%,"0,5",-86%,"7,9",-10%,1,-15%,"0,4",-15%,2,+201%,B,+201%,,,,,,,,,,,,,,
816,Praliné Dessert - Auchan - 170g e,3245678046517,,Spécialité au praliné,170 g e,['Double emballage papier ver aluminium'],['Auchan'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Chocolats']","['Nutriscore', 'NUTRI-SCORE E']",,,"['Auchan', 'Bi1']",['France'],"['Praliné 50% ', 'pâte de noisettes', 'sucre', 'sucre', 'beurre de cacao', 'lait écrémé en poudre ', 'Origine : UE', 'pâte de cacao', 'lait entier en poudre', ' émulsifiant: lécithines ', 'tournesol', "" Peut contenir des traces d'autres fruits à coque et de céréales contenant du gluten""]","['Lait', 'Fruits à coque']","['Sans huile de palme', 'Non végétalien']",4,36 g,en quantité élevée,14 g,en quantité élevée,44 g,en quantité élevée,0.12 g,en faible quantité,2333,+3%,560,+1%,2333 kj(560 kcal),+1%,36,-1%,14,-34%,48,+4%,44,+7%,"9,2",+27%,"0,12",-14%,"0,048",-14%,22,-6%,E,-6%,,,,,,,,['NON PRÉCISÉ'],['Non précisé'],['E322i - Lécithine'],,,,
817,Foie gras de canard entier -  - 125g,3067163648415,B,,125 g,,,"['Poissons et viandes et oeufs', 'Foies gras', 'Foies gras de canard', 'Foies gras entiers', 'Foies gras de canard entiers']","['Fabriqué en France', 'Triman']",['France'],,,"['France', 'Espagne']","['Foie gras de canard', 'sel', 'poivre', 'conservateur : nitrite de sodium']",,"['Sans huile de palme', 'Non végétalien', 'Non végétarien']",3,56 g,en quantité élevée,24 g,en quantité élevée,0.9 g,en faible quantité,1.3 g,en quantité modérée,?,,544,+3%,2276 kj(544 kcal),+3%,56,+3%,24,+3%,"2,2",-8%,"0,9",-32%,"7,5",-0%,"1,3",+8%,"0,52",+8%,21,+1%,E,+1%,70.7%,8.0%,8.5%,7.3%,4.3%,1.2%,89,"['EMB 40281A', 'Saint-Pierre-du-Mont (Landes, France)']",,"['E250 - Nitrite de sodium', '', 'Risque élevé de sur-exposition']",,,,
818,Aceto Balsamico di Modena L. G. P. - 500.0ml,4061458029070,A,,500.0 ml,['Flasche'],,"['Vinaigres', 'Vinaigres balsamiques', 'Vinaigres balsamiques de Modène']","['Végétarien', 'Végétalien', 'IGP']",['Italie'],,,"['France', 'Allemagne']",[],,"['Végétalien', 'Végétarien']",,0 g,en faible quantité,0 g,en faible quantité,19 g,en quantité élevée,0.02 g,en faible quantité,?,,102,-31%,427 kj(102 kcal),-31%,0,-100%,0,-100%,20,-37%,19,-35%,"1,1",+65%,"0,02",-72%,"0,008",-72%,,,,,39.4%,16.4%,33.5%,8.2%,2.4%,0.0%,91,,,,,,,
819,Avocats - Carrefour - 450g,3560071225315,D,,450g,,['Carrefour'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits tropicaux', 'Avocats', 'es:Frutos congelados']",,,,['Carrefour'],['France'],"['Avocat 96,5%', 'sel', ""correcteur d'acidité : acide citrique"", 'antioxydant: acide ascorbique']",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,21 g,en quantité élevée,21 g,en quantité élevée,0.4 g,en faible quantité,0.01 g,en faible quantité,?,,233,+47%,975 kj(233 kcal),+45%,21,+50%,21,+717%,"6,8",+145%,"0,4",-46%,"1,6",-41%,"0,01",-94%,"0,004",-94%,2,,B,,84.4%,0.0%,0.0%,8.7%,3.8%,3.1%,50,,,"['E330 - Acide citrique', 'E300 - Acide ascorbique']",,,,
820,Kaki - Bouquet,20395469,,,,,['Bouquet'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Kakis']",,,,,"['France', 'Espagne']",[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,0.3 g,en faible quantité,0.1 g,en faible quantité,?,,80,-56%,335 kj(80 kcal),-55%,"0,1",-86%,0,-100%,10,-73%,"0,3",-99%,0,-100%,"0,1",+229%,"0,04",+229%,-5,-708%,A,-708%,,,,,,,,,,,,,,
821,Galletita Tita - Solo - 18g,77900845,C,,18 g,,['Solo'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Gaufrettes', 'Gaufrettes fourrées']",,,,,"['Argentine', 'France']",[],,[],,,,,,,,,,?,,87,,364 kj(87 kcal),,"4,3",,"2,3",,11,,"6,6",,1,,"3,7",,"1,48",,,,,,76.6%,12.3%,5.4%,2.8%,2.9%,0.0%,70,,,,,,,
822,La mousse de humous à tartiner - La Préserverie - 150g,3760290550094,A,,150 g,"['Bocal', 'Verre']",['La Préserverie'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Produits à tartiner salés', 'Pâtes à tartiner végétales', 'Houmous']","['Bio', 'Bio européen', 'FR-BIO-09', 'Sans additifs', 'Sans conservateurs']",,,,['France'],"['Pois chiches', 'tahin ', 'sésame', ""huile d'olive"", 'eau', 'ail', 'sel marin', 'cumin']",['Graines de sésame'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,9.5 g,en quantité modérée,1.7 g,en quantité modérée,0.8 g,en faible quantité,0.6 g,en quantité modérée,689,-37%,164,-38%,689 kj(164 kcal),-37%,"9,5",-53%,"1,7",-31%,"10,5",-1%,"0,8",-40%,"6,8",+5%,"0,6",-42%,"0,24",-42%,-3,-160%,A,-160%,51.0%,18.6%,11.1%,13.1%,4.9%,1.3%,91,,,,,,,
823,Madeleines aux oeufs frais - Carrefour,3560071284824,B,,,,['Carrefour'],"['Biscuits et gâteaux', 'Gâteaux', 'Madeleines']",,,,['Carrefour'],['France'],[],,[],,21 g,en quantité élevée,2.1 g,en quantité modérée,24 g,en quantité élevée,0.81 g,en quantité modérée,?,,443,+0%,1854 kj(443 kcal),+1%,21,-8%,"2,1",-70%,57,+8%,24,-13%,"5,8",+2%,"0,81",0%,"0,324",0%,15,-18%,D,-18%,73.9%,13.5%,6.0%,3.4%,3.2%,0.0%,75,"['EMB 41059G', 'Contres (Loir-et-Cher, France)']",,,,,,
