,name,bar_code,categories,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,nutriment_nutrition-score-fr_tr,nutriment_nutriscore_tr,traceability_code,quantity,labels,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr_diff,eco_score,brand,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,markets,additives,allergens,nova_score,manufacturing,ingredients_origins,generic_name,link,origin_detail,brand_owner,palm_ingredients
1890,melange exotique,2600129020408,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Mélanges de fruits secs']",['France'],[],[],11 g,en quantité modérée,10.1 g,en quantité élevée,57.2 g,en quantité élevée,0.2 g,en faible quantité,?,387,1619 kj(387 kcal),11,"10,1","69,8","57,2","1,9","0,2","0,08",18,D,,,,,-12%,-12%,-47%,+96%,+40%,+44%,-79%,+63%,+63%,+136%,+136%,,,,,,,,,,,,,,,,,,,,,
1891,Melange japonais,2600153018563,,['France'],[],[],,,,,,,,,?,399,1669 kj(399 kcal),"6,9","1,5","73,3","2,5","10,1","0,8","0,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1892,Noix de cajou crues,2600203037599,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Noix de cajou']",['France'],[],[],43.9 g,en quantité élevée,7.8 g,en quantité élevée,5.9 g,en quantité modérée,0.03 g,en faible quantité,?,595,2489 kj(595 kcal),"43,9","7,8","30,2","5,9","18,2","0,03","0,012",5,C,,,,,-1%,-0%,-5%,-8%,+18%,-9%,-3%,-95%,-95%,-34%,-34%,E,,85.9%,1.5%,2.7%,6.9%,1.9%,1.2%,21,,,,,,,,,,,,
1893,Melange sambahia,2600223017656,,['France'],[],[],,,,,,,,,?,465,1946 kj(465 kcal),18,"6,6",66,13,13,"1,3","0,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1894,Mélange tonus,2600285024999,,['France'],[],[],,,,,,,,,?,0,0 kj(0 kcal),28,"2,5","26,08",24,25,"0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1895,Guimauve cricks,2600687021718,,['France'],[],[],,,,,,,,,?,433,1812 kj(433 kcal),19,13,61,51,4,"0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1896,Mélange mexicain,2600692024537,,['France'],[],[],,,,,,,,,?,524,2192 kj(524 kcal),"32,2","6,4","37,5","2,5","17,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1897,Olives aux herbes de provence,2609828010697,,['France'],[],[],,,,,,,,,?,191,799 kj(191 kcal),"19,8","2,8","2,2","0,5","1,2",0,0,,,,,['Fabriqué en France'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,Olives cassées aux herbes de Provence,2609828010895,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes', 'Olives aux herbes de Provence', 'Olives cassées aux herbes de Provence']",['France'],[],[],19.8 g,en quantité modérée,2.8 g,en quantité modérée,0.5 g,en faible quantité,4.7 g,en quantité élevée,?,191,799 kj(191 kcal),"19,8","2,8","2,2","0,5","1,2","4,7","1,88",14,D,,,,,+16%,+17%,+23%,+7%,+44%,+133%,-7%,+38%,+38%,+17%,+17%,B,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,,,,,,,,,,,,
1899,Piments verts - Hacienda del Sabor - 280g (150g égoutté),26003870,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Epicerie', 'Condiments', 'Epices', 'Piments', 'Piments rouges']",['France'],"['Piments rouges', 'eau', ""vinaigre d'alcool"", 'sel']","['Sans huile de palme', 'Végétalien', 'Végétarien']",0.5 g,en faible quantité,0.1 g,en faible quantité,1.5 g,en faible quantité,2.2 g,en quantité élevée,?,20,84 kj(20 kcal),"0,5","0,1","1,5","1,5",1,"2,2","0,88",,,,280 g (150 g égoutté),,,-76%,-75%,-88%,-88%,-81%,-7%,-66%,-63%,-63%,,,B,['Hacienda del Sabor'],87.9%,0.0%,0.0%,5.3%,5.5%,1.2%,70,"['Bocal', 'Verre']",,,,3,['Pérou'],['Pérou'],,,,,
1900,Cônes Glacé Piccola Mini x12,26007458,,['France'],[],[],,,,,,,,,?,346,1448 kj(346 kcal),18,15,39,25,"4,4","0,13","0,052",,,,,"['Agriculture durable', 'en:UTZ Certified']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,Saucisson sec aux noisettes - 250g,26009247,"['Viandes', 'Charcuteries', 'Saucissons', 'Saucissons secs']",['France'],[],[],34 g,en quantité élevée,13 g,en quantité élevée,1.5 g,en faible quantité,4.7 g,en quantité élevée,?,418,1749 kj(418 kcal),34,13,"2,7","1,5",26,"4,7","1,88",25,E,,250 g,['Fabriqué en France'],,+4%,+3%,+8%,+6%,+21%,+9%,-6%,+1%,+1%,+4%,+4%,D,,79.0%,17.2%,0.6%,1.8%,1.1%,0.3%,36,,,,,,,,,,,,
