,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,generic_name,quantity,packaging,brand,categories,manufacturing,link,markets,allergens,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,eco_score,ingredients_origins,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,traceability_code,additives,labels,palm_ingredients
1071,Pruneaux d’agen,3283540409015,['France'],[],[],?,261,1092 kj(261 kcal),"1,4","0,28",57,46,"1,6",,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Fruits', 'Aliments à base de plantes séchées', 'Fruits secs', 'Fruits français', 'Pruneaux', ""Pruneaux d'Agen""]",,,,,,1.4 g,en faible quantité,0.28 g,en faible quantité,46 g,en quantité élevée,,,,+8%,+8%,+289%,+146%,+7%,+27%,-14%,,,,,,,E,,73.8%,22.6%,1.7%,0.7%,1.2%,0.0%,24,,,,
1072,Limoncello,3381661001979,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,Ricotta fresca di capra,8050519150408,['France'],[],[],?,157,657 kj(157 kcal),13,"9,8","3,7","2,2","6,4","0,55","0,22",,,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Ricotta']",,,,,,13 g,en quantité modérée,9.8 g,en quantité élevée,2.2 g,en faible quantité,0.55 g,en quantité modérée,,+8%,+11%,+31%,+43%,0%,-34%,-20%,+53%,+53%,9,+108%,C,+108%,D,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,
1074,Cœur de couenne 4 tranches,0209082021457,['France'],[],[],?,141,590 kj(141 kcal),"6,2","2,2","0,5","0,5","20,7","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 29.247.022 CE', 'Saint-Évarzec (Finistère, France)']",,,
1075,L'aligot à la tome fraîche. - 500.0g,3493410053808,['France'],[],[],?,185.3,775 kj(185 kcal),11,"7,4",11,"0,86",9,"0,75","0,3",,500.0 g,['Carton'],,"['Plats préparés', 'Aligots']",,,,,,11 g,en quantité modérée,7.4 g,en quantité élevée,0.86 g,en faible quantité,0.75 g,en quantité modérée,,-7%,-6%,-11%,-7%,+2%,+50%,+1%,-24%,-24%,12,-2%,D,-2%,B,,73.0%,13.9%,4.3%,4.6%,2.4%,1.7%,67,,,"['Bio', 'Bio européen']",
1076,Le sire de Créquy,3760125340005,['France'],[],[],?,343,1435 kj(343 kcal),26,18,0,0,"28,2","2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,Exelians / Prenium & Breton,3700239510147,['France'],[],[],?,?,,?,0,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,Les brise Lames de Saint Malo,3770003508779,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,Sel moulu de gérande,15431684,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,Quatre quarts pur beurre,3760002251967,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,Assortiment viennoiseries un x8,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,Flower power,3760293230528,['France'],[],[],?,1,4 kj(1 kcal),0,0,"0,2",0,"0,1",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,Raviolis aux lentilles bio,4018722304821,['France'],[],[],?,171,715 kj(171 kcal),"3,6","0,4",27,"2,9",6,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bio'],
1084,Fusilli Martelli,8018048000090,['France'],[],[],?,357,1494 kj(357 kcal),"1,6","0,3","72,5","0,7","13,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
