,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_fat_tr,nutriment_carbohydrates_tr,nutriment_proteins_tr,quantity,nutriment_energy_tr,nutriment_saturated-fat_tr,nutriment_sugars_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,traceability_code,eco_score,packaging,ingredients_origins,manufacturing,link,markets,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,additives,allergens,generic_name,palm_ingredients,origin_detail,producer_info,brand_owner
642,Iced Tea Manga - Continente,5601312090205,,['France'],[],[],?,2,0,"0,2","0,02",,8 kj(2 kcal),0,"0,2","0,06","0,024",['Continente'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Grill vegetal nuggets soja et blé - 6x 25g,3175681257450,"['Sans colorants', 'Sans conservateurs']",['France'],[],[],?,?,?,?,?,6 x 25 g,,,,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Substituts de viande', 'Nuggets végétaux']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Tangy zangy,0055415598864,['en:gluten-free'],['France'],"['sugars ', 'sugar', 'corn syrup', 'modified corn starch', 'fumaric acid', 'lactic acid', 'sodium lactate', 'malic acid', 'natural flavours', 'fruit and vegetable extracts', 'turmeric', 'spirulina', 'paprika,']",['Sans huile de palme'],?,300,0,75,0,,1255 kj(300 kcal),0,54,"0,75","0,3",,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,"['E297 - Acide fumarique', 'E270 - Acide lactique', 'E325 - Lactate de sodium', 'E296 - Acide malique']",,,,,,
645,Huile olive,3770001242040,"['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],?,?,?,?,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Pasta Chili Sambal Oelek - Go tan - 100g,8710605010237,,"['France', 'Suisse']",[],[],?,38,"0,3","6,9","1,3",100 g,159 kj(38 kcal),0,"3,6","10,2","4,08",['Go tan'],,,,,,,,,['Glas'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Cola worms,8719992179251,,['France'],[],[],?,333,"1,8","74,2","5,1",,1393 kj(333 kcal),"1,5",45,"0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Cookies,5601069105863,,['France'],[],[],?,508,26,63,"5,2",,2125 kj(508 kcal),13,23,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Steck extra tendte - Oriental Viandes - 750g,3700141403841,['Halal'],['France'],[],[],?,233,20,"0,3","12,9",750 g,975 kj(233 kcal),8,"0,2","0,6","0,24",['Oriental Viandes'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,coconut light cookies - Fitvia,4260515894686,['Sans sucre ajouté'],['France'],[],[],?,430,16,73,"6,4",,1799 kj(430 kcal),13,"1,8","0,27","0,108",['Fitvia'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,fromage en tranche - Kraft,06834919,['Sans colorants'],"['Canada', 'France']","['nu artieral colours arôme artificiel sans colorant artificiel % dv/ % vq* amount/teneur valeur nutritive fat/lipides 3 g saturated / saturés 1', '5 g   trans / trans 0g']",[],?,263.15789473684,"15,789","15,789","15,789",,1101 kj(263 kcal),"7,895","10,526","3,816","1,526",['Kraft'],,,,,,,,,['Plastique'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,"Cubes de saumon fumé aneth, arôme naturel de citron",3350033304185,,['France'],[],[],?,216,14,"0,5",22,,904 kj(216 kcal),"2,1","0,5","2,9","1,16",,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,+17%,+33%,+1%,-0%,,E,,,,,,,14 g,en quantité modérée,2.1 g,en quantité modérée,0.5 g,en faible quantité,2.9 g,en quantité élevée,+17%,+2%,+50%,+3%,+3%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,,,,,
