,name,bar_code,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,quantity,packaging,brand,categories,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_proteins_tr_diff,labels,traceability_code,eco_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_sugars_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,generic_name,additives,allergens,nova_score,markets,ingredients_origins,manufacturing,link,palm_ingredients,brand_owner,origin_detail
266,Filet mignon LOMITO,3443705071000,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,Filets de poulet rotis,2227548029913,['France'],[],[],?,168,703 kj(168 kcal),"7,1","1,9","0,8","0,7",25,"1,4","0,56",,,,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,+28%,+147%,+67%,+10%,,,D,7.1 g,en quantité modérée,1.9 g,en quantité modérée,0.7 g,en faible quantité,1.4 g,en quantité modérée,+29%,+155%,+188%,+87%,+87%,4,,C,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,
268,Carottes et cumin,3770012510084,['France'],[],[],?,97.71,409 kj(97 kcal),"5,02","0,59","9,62","6,16","1,44","0,9","0,36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Tomme des Pyrenees IGP,2890682015151,['France'],[],[],?,350,1464 kj(350 kcal),"29,12","20,21","1,75","0,5","20,34","1,94","0,776",,,,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Produits de montagne', 'Fromages de montagne', 'Tommes', 'Tomme des Pyrénées']",,+1%,+3%,+37%,-6%,,,D,29.1 g,en quantité élevée,20.2 g,en quantité élevée,0.5 g,en faible quantité,1.94 g,en quantité élevée,+1%,+2%,+54%,+8%,+8%,17,+6%,D,+6%,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,,,,,,
270,Miel,3770007897053,['France'],[],[],?,?,,?,0,?,0,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Côtes De Bergerac,3258561330716,['France'],[],[],?,?,,?,,?,,?,,,,,,"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', 'Côtes de Bergerac']",,,,,,,,D,,,,,,,,,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,,,,,,,,,,,
272,Le péché du crémier,3327330001406,['France'],[],[],?,101,423 kj(101 kcal),"3,1","1,9","14,4","13,3","4,1","0,1","0,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Wine gums,6009880922055,['France'],[],[],?,200,837 kj(200 kcal),"0,2","0,2","0,2",0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Spirulime bio,3770014800305,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Bio integrale -  - 500g,8011780001561,['France'],[],[],?,349,1460 kj(349 kcal),2,"0,7",67,"3,6",12,,,500g,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Comment de multifruit sucrée,0202310022639,['France'],[],[],?,176,736 kj(176 kcal),"6,4","4,4",27,16,"2,2","0,33","0,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Pain pavé au lin,0241013012004,['France'],[],[],?,294,1230 kj(294 kcal),"5,4","0,6",48,"3,3",11,"1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,"Trixie Calcium, Complément Alimentaire En Poudre - 50G",4011905762821,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Purée de piment jaune extra-fort,3770013313363,['France'],[],[],?,68,285 kj(68 kcal),"1,8","0,3",8,"2,4","2,1","3,7","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Gigembre moulu,3760182510205,['France'],[],[],?,2,8 kj(2 kcal),66,2,1,1,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Biscuits au sésame,3364699357683,['France'],[],[],?,574,2402 kj(574 kcal),"45,6","20,1","25,2","22,4","10,8","10,4","4,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Noisettes enrobees de chocolat,3700840183266,['France'],[],[],?,600,2510 kj(600 kcal),10,5,24,3,5,6,"2,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Chocolats Papilles et papillotes,3000000006825,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Chips de Salak,8997210790024,['France'],[],[],?,450,1883 kj(450 kcal),16,0,74,47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Tomate ronde origine:maroc,3609960000203,['France'],[],[],?,0,0 kj(0 kcal),6,5,18,8,20,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Mozza Sticks,3341181021901,['France'],[],[],?,100,418 kj(100 kcal),"17,3","7,1","24,6","1,7","13,8","1,4","0,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Cantal jeune AOP,2488706013711,['France'],[],[],?,364,1523 kj(364 kcal),29,20,"1,7",0,24,"1,2","0,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,La salsa du printemps - Les Jardins de Gaïa,3582811009740,['France'],[],[],?,?,,?,,?,,?,,,,,['Les Jardins de Gaïa'],,,,,,,"['Bio', 'Bio européen']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Cacahuètes jumbo au chocolat,4260654780895,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Decafeiné,3602800129898,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Groselha,5604655224016,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,NOIR DESSERT,3760313531239,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,flûtes,7610216460784,['France'],[],[],?,438,1833 kj(438 kcal),12,"2,1",70,"2,6",11,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,Galette des rois  bretonne 4 pers,0208365029524,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Bret’d saveur fromage du jura,3497917444497,['France'],[],[],?,525,2197 kj(525 kcal),31,"2,6",53,1,6,"1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,Pommes Gala,3760254122114,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,Quadrone ai funghi porcini,8005299003628,['France'],[],[],?,0,0 kj(0 kcal),"1,72","0,9","6,8","0,24","2,8","0,24","0,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Nutella & go,80959199,['France'],[],[],?,0,0 kj(0 kcal),"25,4","9,1","61,7","43,4","7,4","0,641","0,256",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Zumo de uva ecológico,8426612010039,['France'],[],[],?,59,247 kj(59 kcal),0,0,"14,6","14,6","0,25",,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Eliche Giganti,8002459900353,['France'],[],[],?,0,0 kj(0 kcal),"1,3","0,3",70,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Cuisse de canard Bio,2448435054317,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,['Bio'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Huile de foie de morue complètement alimentaire,3700790001528,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,"Amora Sauce Salade 6 Poches pour Oscars - 2,25kg (13500g)",13250541082384,['France'],[],[],641,156,641 kj(156 kcal),16,"1,2",3,"0,5","0,5","1,9","0,76","2,25 kg (13500 g)",['Poche'],['Amora'],"['Epicerie', 'Sauces']",-28%,-34%,-12%,-70%,-81%,,,,16 g,en quantité modérée,1.2 g,en faible quantité,0.5 g,en faible quantité,1.9 g,en quantité élevée,-35%,-44%,-92%,-21%,-21%,10,-14%,C,-14%,,,,,,,,Sauce salade,,['Moutarde'],,,,,,,,
304,"Amora Moutarde de Dijon 6 Poches pour Oscars - 2,5kg (1500g)",13250541082056,['France'],[],[],663,159,663 kj(159 kcal),12,"0,7","4,4","2,3","7,1","5,7","2,28","2,5 kg (1500 g)",,['Amora'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",-5%,-6%,+11%,-36%,+8%,,,B,12 g,en quantité modérée,0.7 g,en faible quantité,2.3 g,en faible quantité,5.7 g,en quantité élevée,-7%,-15%,-40%,+21%,+21%,10,-14%,C,-14%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,Moutarde de Dijon,,"['Moutarde', 'Anhydride sulfureux et sulfites']",,,,,,,,
305,Knorr Court-Bouillon Déshydraté 1kg jusqu'à - 50l (1000g),8722700471974,['France'],"['Sel', 'maltodextrine', 'légumes ', 'oignon : 11%', 'carotte : 3,5%', 'tomate', 'extrait de levure', ""huile d'olive vierge extra : 3,5%"", 'épices et aromates : 2,9% ', 'ail', 'feuilles de CÉLERI', 'thym', 'poivre', 'persil', 'basilic', 'curcuma', 'acidifiant : acide citrique', 'amidon de pomme de terre', 'jus de légumes concentrés ', 'champignon', 'CÉLERI', 'carotte', 'poireau', 'oignon', 'arômes', ' Peut contenir : gluten', 'lait', 'oeuf']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",21,5,21 kj(5 kcal),"0,5","0,1","0,9","0,5","0,5","0,65","0,26",50 l (1000 g),['Wrapper'],['Knorr'],"['Epicerie', 'Bouillons']",-97%,-96%,-89%,-95%,-89%,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.65 g,en quantité modérée,-96%,-95%,-90%,-97%,-97%,2,-73%,B,-73%,,,,,,,,Court-bouillon déshydraté,['E330 - Acide citrique'],['Céleri'],4,,,,,,,
306,Tomate orlando,8410066134656,['France'],[],[],?,76,318 kj(76 kcal),"3,5","0,4","9,3",6,"1,1","1,14","0,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Knorr Couronnement de légumes Ail & Persil déshydraté - 5kg (5000g),8718114915272,['France'],"['Farine de riz', 'amidon de pomme de terre', 'ail ', '16%', 'graisse de palme', 'sel', 'maltodextrine', 'persil ', '4%', 'sucre', 'extrait de levure', 'curcuma', 'arômes', 'jus de citron', ' Peut contenir: gluten', 'lait', 'oeuf', 'céleri']","['Huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,,?,,?,,?,,,5 kg (5000 g),,['Knorr'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assaisonnement déshydraté,['E100 - Curcumine'],,4,,,,,['Huile de palme'],,
308,Knorr Fonds de volaille déshydraté seau 3kg jusqu'à - 120l (3000g),8718114913902,['France'],"['Amidon de pomme de terre', 'graisse de palme', 'sel', 'maltodextrine', 'arômes ', 'dont CÉLERI', 'volaille : 4,4% ', 'viande de poule : 2,9%', 'graisse de poule', 'LACTOSE', 'oignon', 'protéines de LAIT', 'jus de citron', 'graines de CÉLERI', 'sucre', 'extrait de levure', 'antioxydant : extrait de romarin', ' Peut contenir: gluten', 'oeuf', 'moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,?,?,?,?,?,120 l (3000 g),,['Knorr'],"['Epicerie', 'Bouillons', 'Bouillons de volaille']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fonds de volaille lié déshydraté,['E392 - Extrait de romarin'],"['Céleri', 'Lait']",4,,,,,['Huile de palme'],,
309,Pure Leaf Tea - 150g (150g),8714100885536,['France'],['Rooibos'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,?,?,?,?,?,150 g (150 g),['Boite'],['Pure Leaf'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,A,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,Infusion,,,1,,,,,,,
310,Knorr Sauce - 2500g (2500g),8714100851241,['France'],"['Arômes', 'amidon modifié de pomme de terre', 'sel', 'purée de tomate', 'oignon', 'sucre', 'colorant ', 'caramel E150c', 'carotte', 'extrait de levure', 'huile de tournesol', 'épaississant ', 'gomme xanthane', 'ail', 'acidifiant ', 'acide citrique', 'feuille de laurier', 'thym', 'Convient à une alimentation végétalienne', ' Convient pour préparation à froid et à chaud']",[],?,?,?,?,?,?,?,?,?,?,2500 g (2500 g),['Poche'],['Knorr'],"['Epicerie', 'Sauces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Préparation déshydratée de jus pour rôti - préparation à froid,"['E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E415 - Gomme xanthane', 'E330 - Acide citrique']",,4,,,,,,,
311,"Knorr Sauce Béchamel préparation à froid - 2,5kg (2500g)",8714100851180,['France'],"['Amidon modifié de pomme de terre', 'maltodextrine', 'LAIT écrémé', 'huile de tournesol', 'sirop de glucose', 'stabilisants ', 'diphosphate', 'sulfate de calcium', 'phosphates de sodium', 'épaississant ', 'gomme xanthane', 'alginate de sodium', 'oignon grillé', 'épices ', 'poivre', 'noix de muscade', 'clou de girofle', 'colorant ', 'caroténoïdes', ' Convient pour préparation à froid et à chaud']",['Non végétalien'],?,?,?,?,?,?,?,?,?,?,"2,5 kg (2500 g)",['Wrapper'],['Knorr'],"['Epicerie', 'Sauces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauce Béchamel déshydratée - préparation à froid,"['E14XX - Amidons modifiés', 'E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E415 - Gomme xanthane', 'E401 - Alginate de sodium', 'E160 - Caroténoïdes']",['Lait'],4,,,,,,,
312,"Knorr Préparation pour terrines, soufflés et gratins Déshydraté Seau - 3,2kg (3200g)",8714100813874,['France'],"['Pomme de terre', ""blanc d'OEUF"", ""jaune d'OEUF"", 'maltodextrine', 'amidon de pomme de terre', 'farine de riz', 'huile de tournesol', 'poudre à lever ', 'E450', 'E500', 'sirop de glucose', 'sucre', ""huile d'olive vierge extra"", 'épices ', 'poivre', 'noix de muscade', 'amidon modifié ', 'maïs', 'tapioca', 'sel', ' Peut contenir: gluten', 'lait', 'céleri', 'moutarde', 'soja']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,,?,,?,,?,,,"3,2 kg (3200 g)",,['Knorr'],"['Epicerie', 'Condiments', 'Assaisonnements']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Préparation déshydratée pour terrines, soufflés, gratins","['E450 - Diphosphates', '', 'Risque élevé de sur-exposition', 'E500 - Carbonates de sodium', 'E14XX - Amidons modifiés']",['Œufs'],4,,,,,,,
313,Knorr Bouillon BEEF - 1000ml (1000ml),8714100779491,['France'],"['Eau', 'os de boeuf rôtis¹', 'légumes² ', 'oignon', 'carotte', 'vin rouge', 'purée de tomates', 'ail', 'poivre noir', 'laurier', ""1L de Fond de Boeuf est préparé en moyenne à partir de: ¹1400g d'os de boeuf rôtis et ²200g de légumes"", ' *Lentement cuisiné avec des os rôtis et des légumes frais', ' Stérilisé']",[],203,48,203 kj(48 kcal),"0,5","0,1","1,4","0,9",10,"0,52","0,208",1000 ml (1000 ml),,['Knorr'],"['Epicerie', 'Bouillons']",-67%,-64%,-89%,-92%,+116%,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.9 g,en faible quantité,0.52 g,en quantité modérée,-65%,-95%,-81%,-98%,-98%,-3,-140%,A,-140%,,,,,,,,Fond de boeuf,,,1,,,,,,,
314,Knorr Fond De Volaille Liquide - 1l (1000ml),8714100779477,['France'],"['Eau', 'os et viande de poulet rôtis¹', 'légumes² ', 'oignon', 'carotte', 'ail', 'laurier', ""1L de Fond de Volaille est préparé en moyenne à partir de:¹1200g d'os et de viande de poulet rôti et ²250g de légumes"", ' *Lentement cuisiné avec des os rôtis et des légumes frais', ' Stérilisé']",[],157,37,157 kj(37 kcal),"0,5","0,1","1,2","1,2","7,2","0,36","0,144",1 l (1000 ml),,['Knorr'],"['Epicerie', 'Bouillons']",-75%,-72%,-89%,-93%,+56%,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,1.2 g,en faible quantité,0.36 g,en quantité modérée,-73%,-95%,-75%,-98%,-98%,-3,-140%,A,-140%,,,,,,,,Fond de volaille,,,1,,,,,,,
315,Knorr Professional Fumet de Crustacés Liquide - 1l (1000ml),8714100779453,['France'],"['Eau', 'CREVETTES et HOMARD ', 'CRUSTACÉS', '¹', 'légumes² ', 'oignon', 'carotte', 'fenouil', 'purée de tomates', 'ail', 'poivre noir', ' Peut contenir: poisson', 'mollusques', '1L de Fumet de Crustacés est préparé en moyenne à partir de: ¹500g de crustacés et ²125g de légumes', ' *Lentement cuisiné avec du homard', 'des crevettes et des légumes frais', ' Stérilisé']","['Non végétalien', 'Non végétarien']",43,10,43 kj(10 kcal),"0,5","0,1","0,5","0,5","1,9","0,66","0,264",1 l (1000 ml),,['Knorr'],"['Epicerie', 'Bouillons']",-93%,-93%,-89%,-97%,-59%,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.66 g,en quantité modérée,-93%,-95%,-90%,-97%,-97%,1,-87%,B,-87%,,,,,,,,Fumet de crustacés,,['Crustacés'],1,,,,,,,
316,Knorr Professional Fond De Veau Liquide - 1l (1000ml),8714100779439,['France'],"['Eau', 'os de veau rôtis¹', 'légumes² ', 'oignon', 'carotte', 'purée de tomates', 'ail', 'laurier', 'poivre noir', ""1L de Fond de Veau est préparé en moyenne à partir de: ¹1000g d'os de veau rôtis et ²50g de légumes"", ' *Préparé avec des os rôtis et des légumes frais', ' Stérilisé']",[],171,40,171 kj(40 kcal),"0,5","0,1","0,5","0,5","9,6","0,41","0,164",1 l (1000 ml),,['Knorr'],"['Epicerie', 'Bouillons']",-73%,-70%,-89%,-97%,+108%,,,,0.5 g,en faible quantité,0.1 g,en faible quantité,0.5 g,en faible quantité,0.41 g,en quantité modérée,-71%,-95%,-90%,-98%,-98%,-4,-154%,A,-154%,,,,,,,,Fond de veau,,,1,,,,,,,
317,Knorr Collezione Italiana Sauce Napoletana Poche - 3kg (3000g),8712566255177,['France'],"['Tomate* ', '77%', 'purée de tomates* ', '18%', 'huile de tournesol', 'sucre', 'sel', 'oignon ', '0,7%', 'acidifiant ', 'acide citrique', ' Pasteurisé', "" *Tomates issues de l'agriculture durable"", ""pour plus d'informations consulter www"", 'ufs', 'com/durabilite']",[],115,27,115 kj(27 kcal),1,"0,1","3,2","2,8","0,7","0,55","0,22",3 kg (3000 g),['Poche'],['Knorr'],"['Epicerie', 'Sauces']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sauce tomate de base légèrement assaisonnée,['E330 - Acide citrique'],,3,,,,,,,
318,"Knorr Sauce demi-glace déshydratée 1,05kg jusqu'à - 14l (1050g)",8712566151219,['France'],"['Farine de BLÉ', 'amidon modifié de pomme de terre', 'graisse de palme', 'maltodextrine', 'sel', 'arômes', 'extrait de levure', 'oignon*', 'colorant ', 'caramel E150c', 'amidon de pomme de terre', 'purée de tomates*', 'sucre', 'épaississant ', 'gomme de guar', 'fond de bœuf concentré', 'épices et aromates ', 'poivre', 'noix de muscade', 'laurier', 'thym*', 'romarin', ""correcteur d'acidité "", 'acétate de sodium', 'lactate de calcium', 'acidifiants ', 'acide citrique', 'acide lactique', ' Peut contenir : œuf', 'soja', 'lait', 'céleri', 'moutarde', "" *Ingrédients issus de l'agriculture durable""]","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,?,?,?,?,?,14 l (1050 g),['Wrapper'],['Knorr'],"['Epicerie', 'Sauces']",,,,,,['Agriculture durable'],,,,,,,,,,,,,,,,,,,,,,,,,,,Sauce demi-glace déshydratée,"['E14XX - Amidons modifiés', 'E150c - Caramel ammoniacal', '', 'Risque modéré de sur-exposition', 'E412 - Gomme de guar', 'E262i - Acétate de sodium', 'E327 - Lactate de calcium', 'E330 - Acide citrique', 'E270 - Acide lactique']",['Gluten'],4,,,,,['Huile de palme'],,
319,Lipton Feel Good Selection Thé Noir Fruits Rouges 100 sachets fraicheur - 160g,8711200570522,['France'],"['Thé noir', 'arômes ', '14%', ' ', 'fraise ', '0,55%', 'framboise ', '0,55%', 'mûre ', '0,55%', 'groseille ', '0,55%', 'cerise ', '0,1%', 'maltodextrine']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",?,?,?,?,?,?,?,?,?,?,160 g,['Boite'],['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,A,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,Thé noir aromatisé,,,4,,,,,,,
320,Lipton Feel Good Selection Tisane Tilleul 100 sachets fraicheur - 160g,8711200404223,['France'],['Tilleul'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",?,?,?,?,?,?,?,?,?,?,160 g,['Boite'],['Lipton'],"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés']",,,,,,,,A,,,,,,,,,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,Plante à infusion,,,1,,,,,,,
321,"Knorr Supérieur Crème de choux-fleurs brocolis 1,19kg 44 portions - 1045g",8711200211203,['France'],"['Amidon modifié de maïs', 'graisse de palme', 'roux ', 'farine de BLÉ', 'graisse de palme', 'pomme de terre', 'chou-fleur ', '8,4%', 'sel', 'sucre', 'pois', 'brocoli ', '5,8%', 'extrait de levure', 'LACTOSE', 'huile de maïs', 'maltodextrine', 'oignon', 'protéines de LAIT', 'arômes', 'épinard', 'épices ', 'poivre', 'noix de muscade', 'amidon de pomme de terre', 'jus de citron', 'ail', ' Peut contenir: oeuf', 'céleri', 'moutarde', 'soja']","['Huile de palme', 'Non végétalien']",?,?,?,?,?,?,?,?,?,?,1045 g,['Pot'],['Knorr'],"['Plats préparés', 'Soupes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crème de Choux-fleurs et Brocolis - Soupe déshydratée,['E14XX - Amidons modifiés'],"['Gluten', 'Lait']",4,,,,,['Huile de palme'],,
322,Amora Condiment Seau - 5kg (5000g),3250541021058,['France'],"['Eau', 'vinaigre', 'graines de MOUTARDE', 'sel', 'épices ', 'curcuma', 'gingembre', 'paprika', 'poivre de Cayenne', 'clou de girofle', 'thym', 'romarin', 'laurier', 'acidifiant : acide citrique', 'conservateur : E 224 ', 'SULFITES']",['Sans huile de palme'],470,110,470 kj(110 kcal),8,"0,5",5,"0,5",6,"5,2","2,08",5 kg (5000 g),['Bocal'],['Amora'],"['Epicerie', 'Condiments', 'Sauces', 'Moutardes']",-32%,-35%,-26%,-28%,-9%,,,B,8 g,en quantité modérée,0.5 g,en faible quantité,0.5 g,en faible quantité,5.2 g,en quantité élevée,-34%,-39%,-87%,+10%,+10%,11,-5%,D,-5%,57.4%,14.5%,21.8%,4.8%,1.5%,0.0%,75,Moutarde,"['E330 - Acide citrique', 'E224 - Disulfite de potassium', '', 'Risque élevé de sur-exposition']","['Moutarde', 'Anhydride sulfureux et sulfites']",3,,,,,,,
323,"Knorr Potage Poule Vermicelle Déshydraté déshydraté 690g jusqu'à - 12,5l (690g)",3011360042385,['France'],"['Vermicelle ', '68%', ' ', 'semoule de BLÉ dur', 'sel', 'exhausteurs de goût ', 'E621', 'E631', 'E627', 'maltodextrine', 'viande de poule ', '2,5%', 'graisse de poule ', '2,2%', 'arômes', 'légumes ', 'oignon', 'carotte', 'graisse de palme', 'extrait de levure', 'épices et aromate ', 'persil', 'curcuma', 'poivre', 'acidifiant ', 'acide citrique', 'antioxydant ', 'extrait de romarin', ' Peut contenir: lait', 'oeuf', 'céleri', 'moutarde']","['Huile de palme', 'Non végétalien', 'Non végétarien']",?,?,?,?,?,?,?,?,?,?,"12,5 l (690 g)",['Wrapper'],['Knorr'],"['Plats préparés', 'Soupes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potage Poule au Vermicelle - Soupe déshydratée,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E631 - Inosinate disodique', 'E627 - Guanylate disodique', 'E330 - Acide citrique', 'E392 - Extrait de romarin']",['Gluten'],4,,,,,['Huile de palme'],,
324,"Knorr 123 Velouté Poireaux Pommes de Terre Déshydraté 750g jusqu'à - 12,5l (750g)",3011360042347,['France'],"['Farine de BLÉ', 'amidon de maïs et de pomme de terre', 'légumes ', 'oignon', 'poireau ', '3%', 'CÉLERI-RAVE', 'sel', 'dextrose', 'LAIT écrémé', 'pomme de terre ', '5%', 'exhausteur de goût ', 'E621', 'épaississant ', 'farine de graines de caroube', 'épices ', 'curcuma', 'poivre', 'muscade', ' Peut contenir : oeuf', 'moutarde']","['Sans huile de palme', 'Non végétalien', 'Végétarien']",?,?,?,?,?,?,?,?,?,?,"12,5 l (750 g)",['Pot'],['Knorr'],"['Plats préparés', 'Soupes']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Velouté de Poireaux Pommes de terre - Soupe déshydratée,"['E621 - Glutamate monosodique', '', 'Risque élevé de sur-exposition', 'E410 - Gomme de caroube']","['Céleri', 'Gluten', 'Lait']",4,,,,,,,
