,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
282,CANON DU MARECHAL,3248845061023,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Le foie gras de canard entier du sud-ouest - Jean Larnaudie,3113010153288,,,['IGP'],['France'],[],[],,,,,,,,,?,,530,,2218 kj(530 kcal),,"54,4",,"22,2",,"1,6",,"1,6",,"8,4",,"1,45",,"0,58",,,,,,,,,,,,,['Jean Larnaudie'],,,,,,,,,,,,
284,noix de coco givrée - thiriet - 580ml,02341774,B,"['Desserts', 'Surgelés', 'Desserts glacés', 'Glaces et sorbets', 'Glaces']",,['France'],"['Lait écrémé en poudre réhydraté ', 'lait', 'noix de coco 28% ', 'sous forme de lait de coco en poudre et de pulpe', 'noix de COco râpée 5,6%', 'crème fraîche ', 'lait', ' 17%', 'sucre', 'lactose et protéines de lait ', 'lait', 'lait écrémé en poudre ', 'lait', 'dextrose', 'maltodextrine', 'fibre végétale', ""émulsifiant : mono - et diglycérides d'acides gras"", 'épaississants : farine de graines de caroube - gomme guar', 'arôme naturel de noix de coco', ' Présence éventuelle de gluten', 'œuf', 'soja et fruits à coque', ' CONSERVATION : • Dans un congélateur à - 18°C', ""de préférence avant la date indiquée sur l'emballage"", ' CONSERVATION à - 18°C']","[""Pourrait contenir de l'huile de palme"", 'Non végétalien']",,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,60.7%,19.6%,5.6%,5.1%,5.7%,3.3%,80,['Thiriet'],['carton et plastique'],,,580 ml,,"[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E410 - Gomme de caroube', 'E412 - Gomme de guar']","['Œufs', 'Lait', 'Fruits à coque', 'Soja']",4,,['Thiriet'],,
285,Champagne,3113916240709,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Ecrasé de pommes de terre au beurre,9000000011594,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,12 tartelettes saveur abricot,15221322,,,,['France'],[],[],,,,,,,,,?,,433,,1812 kj(433 kcal),,13,,"6,4",,73,,34,,5,,"0,53",,"0,212",,,,,,,,,,,,,,,,,,,,,,,,,
288,Rivesaltes ambré,3233960025296,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Pelrles de muscat rosé,3330790008519,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,PASOS DE LA CAPULA,8437012917330,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,"['Botella', 'Bottle']",,,,,,,,,,,
291,Gaufrettes aperitives - Trésors Gourmands,3700254081851,,,,['France'],[],[],,,,,,,,,?,,477,,1996 kj(477 kcal),,23,,14,,57,,15,,9,,"2,1",,"0,84",,,,,,,,,,,,,['Trésors Gourmands'],,,,,,,,,,,,
292,Caviar d’aubergines,3700600310109,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Pâtes à tartiner végétales', ""Caviars d'aubergine""]",,['France'],[],[],12.1 g,en quantité modérée,2 g,en quantité modérée,2 g,en faible quantité,0.8 g,en quantité modérée,?,,152,-18%,636 kj(152 kcal),-17%,"12,1",-28%,2,-4%,7,+33%,2,-33%,"3,6",+131%,"0,8",-30%,"0,32",-30%,3,-55%,C,-55%,,,,,,,,,,,,,,,,,,,,
293,Crock’r,5411290177320,,,,['France'],[],[],,,,,,,,,?,,10,,42 kj(10 kcal),,0,,0,,0,,0,,10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
294,Plateau de fruits vert framboise,3760290857872,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Sliced lamb,5060198531293,,,,['France'],[],[],,,,,,,,,?,,318,,1331 kj(318 kcal),,"28,3",,"13,1",,0,,0,,"15,9",,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,,,
296,Palets choco Caramel,3760059939955,,,,['France'],[],[],,,,,,,,,?,,438,,1833 kj(438 kcal),,23,,15,,49,,21,,7,,"1,4",,"0,56",,,,,,,,,,,,,,,,,,,,,,,,,
297,Pâtes de fruits,3105560043201,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']",,['France'],[],[],0.2 g,en faible quantité,0.01 g,en faible quantité,68 g,en quantité élevée,,,?,,325,+3%,1360 kj(325 kcal),+3%,"0,2",-41%,"0,01",-92%,80,+5%,68,+2%,"0,8",+23%,,,,,,,,,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,
298,Faux-Cisse De Franckfort,4032277009758,,,,"['France', 'Allemagne']",[],[],,,,,,,,,?,,250,,1046 kj(250 kcal),,"15,1",,"1,4",,"3,2",,"0,8",,"25,2",,"1,5",,"0,6",,,,,,,,,,,,,,['Produkt'],,,,,,,,,,,
299,Tarte aux fraises,0206633055435,,,,['France'],[],[],,,,,,,,,?,,224,,937 kj(224 kcal),,"7,3",,5,,36,,20,,2,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
300,Bouillon cube boeuf bio,6111180003577,,,['Bio'],['France'],[],[],,,,,,,,,?,,210,,879 kj(210 kcal),,"15,5",,9,,16,,0,,9,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
301,Anchoas del cantábrico aceite de girasol,8437011464033,,,,['France'],[],[],,,,,,,,,?,,203,,849 kj(203 kcal),,6,,"0,8",,"17,1",,"0,1",,"20,2",,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,,,
302,Bière La Sauvage,3760229140051,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Croissants pur beurre,0206454019616,,,,['France'],[],[],,,,,,,,,?,,385,,1611 kj(385 kcal),,21,,14,,40,,7,,"6,9",,"0,92",,"0,368",,,,,,,,,,,,,,,,,,,,,,,,,
304,Jardin de corail - Palais des Thés,2700979001746,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
305,Huile d’olive vierge extra -,6194059800552,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra"", 'en:Huile d’Olive vierge Extra']",,['France'],[],[],93.3 g,en quantité élevée,13.3 g,en quantité élevée,,,0 g,en faible quantité,?,,800,-6%,3350 kj(800 kcal),-6%,"93,3",-2%,"13,3",-3%,0,,,,0,,0,,0,,,,,,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
306,Bière,3700232070754,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Moringa,6164003572897,,,,['France'],[],[],,,,,,,,,?,,0,,0 kj(0 kcal),,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Ifri Ifruit Citronnade,6130093064895,,,,['France'],[],[],,,,,,,,,?,,35,,146 kj(35 kcal),,0,,0,,"8,1",,"7,4",,0,,,,,,,,,,,,,,,,,['Ifri'],,,,,,,,,,,,
309,Bolero Berry Blend,3800048220357,,,,['France'],[],[],,,,,,,,,?,,100,,418 kj(100 kcal),,0,,0,,0,,0,,10,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
310,Jus de pomme et rhubarbe,3323565310047,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,0,,0,,"7,6",,"7,6",,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
