,name,bar_code,eco_score,categories,labels,sales_countries,ingredients_list,ingredients_analysis,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,brand,packaging,traceability_code,ingredients_origins,quantity,generic_name,additives,allergens,nova_score,manufacturing,markets,link,palm_ingredients
923,5430000532433,5430000532433,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,Pesto al Basilico - Coles,9310645273624,,,,['France'],[],[],,,,,,,,,?,,487.5717,,2040 kj(487 kcal),,"50,1",,"6,5",,5,,"3,4",,5,,"1,725",,"0,69",,,,,,,,,,,,,['Coles'],,,,,,,,,,,,
925,Citron jaune,3661030172647,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
926,3770014132086,3770014132086,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,3045050181252,3045050181252,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,Pickled wild cucumber,5285001400614,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,Granola amande et noisette,3770014132109,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,470,,1966 kj(470 kcal),,20,,"1,9",,56,,14,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,Tomme des pyrenees,0218700030764,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,Rillettes du Mans de porc fermier français label rouge,2218299027624,D,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Rillettes', 'Rillettes de viande', 'Rillettes françaises', 'Rillettes de viande rouge', 'Rillettes de la Sarthe', 'Rillettes de porc', 'Rillettes du Mans']",['Label Rouge'],['France'],[],[],36 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,1.3 g,en quantité modérée,?,,392,-2%,1640 kj(392 kcal),-2%,36,-3%,14,-2%,0,-100%,0,-100%,18,+14%,"1,3",+4%,"0,52",+4%,19,-3%,E,-3%,74.1%,17.7%,4.6%,2.1%,1.2%,0.3%,39,,,,,,,,,,,,,
932,Leche fresca semidesnatada,8412736000780,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
933,Panna Cotta Caramel,8005020008380,,,,['France'],[],[],,,,,,,,,?,,275,,1151 kj(275 kcal),,15,,12,,29,,24,,"2,3",,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
934,Crêpes natures Intermarché,0202080019020,B,"['Crêpes et galettes', 'Crêpes']",,['France'],[],[],5.9 g,en quantité modérée,3.4 g,en quantité modérée,15.8 g,en quantité élevée,0.49 g,en quantité modérée,?,,226,-26%,946 kj(226 kcal),-27%,"5,9",-40%,"3,4",-7%,"36,7",-19%,"15,8",-25%,"5,8",-19%,"0,49",-40%,"0,196",-40%,7,-42%,C,-42%,67.6%,15.0%,9.2%,4.1%,4.2%,0.0%,86,,,,,,,,,,,,,
935,Nouilles de blé Wenzhou - 2kg,6920802315109,,,,['France'],[],[],,,,,,,,,?,,357,,1494 kj(357 kcal),,"1,1",,"0,3",,"72,6",,"1,7",,"11,7",,1,,"0,4",,,,,,,,,,,,,,,,,2 kg,,,,,,,,
936,Tenders,3701392403420,,,,['France'],[],[],,,,,,,,,?,,170,,711 kj(170 kcal),,"5,2",,"0,6",,"12,9",,"0,9",,"16,9",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
937,Poulet,0253071047362,,,,['France'],[],[],,,,,,,,,?,,440,,1841 kj(440 kcal),,"1,3",,"0,4",,0,,0,,23,,"0,11",,"0,044",,,,,,,,,,,,,,,,,,,,,,,,,
938,Poulet blanc fermier,0213890036602,D,"['Viandes', 'Volailles', 'Poulets']","['Viande Française', 'Volaille-francaise']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
939,Aventura,7771711000063,,,,['France'],[],[],,,,,,,,,?,,24.659999847412,,103 kj(24 kcal),,"0,55",,"0,5",,"16,31",,"9,6",,"1,65",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,Le biscuit,3286790113992,,,,['France'],[],[],,,,,,,,,?,,474,,1983 kj(474 kcal),,25,,13,,55,,29,,"6,8",,"0,88",,"0,352",,,,,,,,,,,,,,,,,,,,,,,,,
941,GOOD GOUT,3770002327319,,,,['France'],[],[],,,,,,,,,?,,55,,230 kj(55 kcal),,"0,6",,"0,05",,"11,4",,"8,8",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,"Bisque de homard avec de la ""fleur de sel"" - Pêcheurs d'Islande",3760025370072,,"['Produits de la mer', 'Bisques de homard']",,['France'],[],[],0.6 g,en faible quantité,0.3 g,en faible quantité,1.3 g,en faible quantité,1.2 g,en quantité modérée,?,,38,-31%,159 kj(38 kcal),-32%,"0,6",-77%,"0,3",-65%,"2,3",-36%,"1,3",+29%,"5,8",+89%,"1,2",+7%,"0,48",+7%,2,-42%,B,-42%,,,,,,,,"[""Pêcheurs d'Islande""]",,,,,,,,,,,,
943,Filet de poulet,0213400028868,D,"['Viandes', 'Volailles', 'Poulets', 'Filets de poulet']",,['France'],[],[],1.3 g,en faible quantité,0.4 g,en faible quantité,,,0.11 g,en faible quantité,?,,105,-20%,439 kj(105 kcal),-19%,"1,3",-55%,"0,4",-46%,0,-100%,,,23,+1%,"0,11",-85%,"0,044",-85%,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
944,Biscuits alain yvelin,3454860002006,,,,['France'],[],[],,,,,,,,,?,,475,,1987 kj(475 kcal),,"20,6",,"7,9",,"60,4",,"37,4",,"10,3",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
945,Huile a la truffe blanche,8017605005394,,,,['France'],[],[],,,,,,,,,?,,824,,3448 kj(824 kcal),,"91,6",,"13,3",,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
946,Fenugrec,3700446419806,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
947,La Belle Escalope de dinde - Le Gaulois,0217638027228,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']","['Nutriscore', 'Nutriscore A']",['France'],[],[],1.4 g,en faible quantité,0.4 g,en faible quantité,,,0.19 g,en faible quantité,?,,105,-13%,439 kj(105 kcal),-13%,"1,4",+6%,"0,4",-1%,0,-100%,,,23,+0%,"0,19",-66%,"0,076",-66%,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,['Le Gaulois'],,,,,,,,,,,,
948,0204942017458,0204942017458,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,Burger Vegana - Bonarea,00613216700120001208,,,,['France'],[],[],,,,,,,,,?,,177,,741 kj(177 kcal),,7,,"0,8",,23,,0,,"4,5",,"2,1",,"0,84",,,,,,,,,,,,,['Bonarea'],,,,,,,,,,,,
950,Riz Sauté,2006050013678,,,,['France'],[],[],,,,,,,,,?,,186,,778 kj(186 kcal),,"6,7",,"0,7",,26,,2,,"5,3",,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
951,Saumon fumé mi cuit,2469437094651,E,"['Produits de la mer', 'Poissons', 'Saumons', 'Poissons fumés', 'Saumons fumés']",,['France'],[],[],11 g,en quantité modérée,2.33 g,en quantité modérée,0 g,en faible quantité,3.24 g,en quantité élevée,?,,163,-12%,682 kj(163 kcal),-12%,11,+5%,"2,33",+13%,0,-100%,0,-100%,"21,8",-1%,"3,24",+15%,"1,296",+15%,14,+7%,D,+7%,96.2%,0.0%,1.6%,1.4%,0.7%,0.2%,24,,,"['EMB 73179', 'Motte-Servolex (Savoie, France)', 'FR 73.179.008 CE', 'Motte-Servolex (Savoie, France)']",,,,,,,,,,
952,Meule du chatelard fromage lait cru,2215190018102,,,,['France'],[],[],,,,,,,,,?,,412,,1724 kj(412 kcal),,"34,8",,"25,7",,"1,2",,"0,2",,"23,5",,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
953,Jambon à l'ancienne - Domaine Picard,2252519035884,,"['Viandes', 'Charcuteries', 'Jambons']",,['France'],[],[],3.1 g,en quantité modérée,1.4 g,en faible quantité,0.5 g,en faible quantité,2 g,en quantité élevée,?,,123,-28%,515 kj(123 kcal),-27%,"3,1",-60%,"1,4",-52%,"0,5",-24%,"0,5",-6%,23,-2%,2,-31%,"0,8",-31%,5,-53%,C,-53%,,,,,,,,['Domaine Picard'],,,,,,,,,,,,
954,Courgette & curry,3397513029862,,,"['Bio', 'Bio européen', 'FR-BIO-01']",['France'],[],[],,,,,,,,,?,,33,,138 kj(33 kcal),,"2,2",,"0,3",,2,,"1,4",,"0,9",,"0,9",,"0,36",,,,,,,,,,,,,,,,,,,,,,,,,
955,Penne chevre epinards - Auchan,3596710484577,,"['Plats préparés', 'Plats à base de pâtes']","['Nutriscore', 'Nutriscore B']",['France'],[],[],1.6 g,en faible quantité,1 g,en faible quantité,0.5 g,en faible quantité,0.58 g,en quantité modérée,?,,99,-45%,414 kj(99 kcal),-44%,"1,6",-75%,1,-59%,16,-23%,"0,5",-79%,"4,2",-43%,"0,58",-36%,"0,232",-36%,0,-100%,B,-100%,,,,,,,,['Auchan'],,,,,,,,,,['Auchan'],,
956,Lait frères,3770002814086,,,"['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,Falafel - Ramona’s,5060228323003,,,,['France'],[],[],,,,,,,,,?,,232,,971 kj(232 kcal),,"9,8",,"0,8",,"21,7",,4,,"9,4",,"1,5",,"0,6",,,,,,,,,,,,,['Ramona’s'],,,,,,,,,,,,
958,Comte aop,2988795007863,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages à pâte pressée cuite', 'Fromages de France', 'Comté']",,['France'],[],[],3.5 g,en quantité modérée,2.3 g,en quantité modérée,0.5 g,en faible quantité,3 g,en quantité élevée,?,,418,-0%,1749 kj(418 kcal),-0%,"3,5",-90%,"2,3",-90%,"0,5",+8%,"0,5",+87%,9,-67%,3,+258%,"1,2",+258%,12,-8%,D,-8%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,
959,Pâtes de fruits Jaunes,3489810000467,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Aliments à base de fruits et de légumes', 'Snacks sucrés', 'Confiseries', 'Fruits et produits dérivés', 'Pâtes de fruits']","['Bio', 'Bio européen', 'Agriculture non UE', 'Agriculture UE', 'Agriculture UE/Non UE', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,72 g,en quantité élevée,0 g,en faible quantité,?,,311,-1%,1301 kj(311 kcal),-1%,"0,5",+47%,"0,1",-17%,76,0%,72,+8%,"0,5",-23%,0,-100%,0,-100%,8,-3%,C,-3%,82.2%,8.9%,4.6%,3.2%,1.0%,0.0%,58,,,,,,,,,,,,,
960,Carottes rapees au citron,3378878396981,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,73,,305 kj(73 kcal),,"5,5",,"4,5",,3,,"0,3",,"0,7",,"4,5",,"1,8",,,,,,,,,,,,,,,,,,,,,,,,,
961,Weetabix,352726081433105161,,,"['Nutriscore', 'Nutriscore A']",['France'],[],[],,,,,,,,,?,,362,,1515 kj(362 kcal),,2,,0,,69,,4,,12,,0,,0,,,,,,,,,,,,,['Weetabix'],,,,,,,,,,,,
962,Escalopes de dinde,0287556018301,D,"['Viandes', 'Volailles', 'Dindes', 'Escalopes de dinde']",,['France'],[],[],,,,,,,0 g,en faible quantité,?,,?,,,,?,,,,?,,,,?,,0,-100%,0,-100%,,,,,84.3%,9.9%,2.2%,2.3%,1.1%,0.3%,37,,,,,,,,,,,,,
963,Dessert preussen,7616700237665,,,,['France'],[],[],,,,,,,,,?,,519,,2171 kj(519 kcal),,27,,13,,61,,20,,7,,"1,3",,"0,52",,,,,,,,,,,,,,,,,,,,,,,,,
964,Ketchupade douce,3584381701284,,,,['France'],[],[],,,,,,,,,?,,40,,167 kj(40 kcal),,"0,5",,"0,12",,"5,9",,0,,"1,2",,"0,84",,"0,336",,,,,,,,,,,,,,,,,,,,,,,,,
965,Thé sorbet gourmand - Palais des Thés,2700813001178,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Palais des Thés'],,,,,,,,,,,,
966,Piment doux brillant,3276650133444,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,Mélisse - Mélissa officinalis,3760099172534,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,2",,0,,"0,1",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
968,Jambon cuit supérieur aux herbes  saveur provençale,2238752023291,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,"['EMB 14752B', 'Villers-Bocage (Calvados, France)', 'FR 14.752.020 CE', 'Villers-Bocage (Calvados, France)']",,,,,,,,,,
969,Vin de l’union européenne,3760263715543,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,0,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,CAFFÈ CARRACCI selezione  MILANO dosette nespresso,8001730201103,,,,['France'],[],[],,,,,,,,,?,,1,,4 kj(1 kcal),,0,,0,,"0,3",,0,,"0,2",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
971,Rillettes de sanglier,2550110000004,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
972,Carapelli Olio D'oliva Vap LT 1 -,8002470470996,D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', ""Produits de l'olivier"", 'Huiles', ""Huiles d'olive"", ""Huiles d'olive vierges"", ""Huiles d'olive vierges extra""]",,['France'],[],[],91 g,en quantité élevée,14 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,3382,-4%,823,-4%,3382 kj(823 kcal),-6%,91,-5%,14,0%,0,,0,,0,,0,-100%,0,-100%,6,-2%,C,-2%,88.1%,4.5%,3.6%,2.0%,1.7%,0.0%,47,,,,,,,,,,,,,
973,Glace a la vanille,3760279740508,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,Fromage Fol Epi,0284906022117,,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,29,,20,,"0,5",,"0,5",,25,,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
975,Frigolets cerise,3660668006287,,,,['France'],[],[],,,,,,,,,?,,39,,163 kj(39 kcal),,0,,0,,10,,10,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
976,Vin,3436969108179,,"['Boissons', 'Boissons alcoolisées', 'Vins']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,honey hawthorn strips,6944683369280,,,,['France'],[],[],,,,,,,,,?,,363,,1519 kj(363 kcal),,0,,0,,"89,4",,77,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
978,Instant noodles,0648436101504,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Produits déshydratés', 'Produits lyophilisés à reconstituer', 'Nouilles', 'Nouilles instantanées']",,['France'],[],[],,,,,,,,,?,,413,+38%,1728 kj(413 kcal),+37%,16,+38%,"6,7",+27%,"62,7",+55%,"9,3",+284%,"6,7",+6%,"3,1",+19%,"1,24",+19%,,,,,,,,,,,,,,,,,,,,,,,,
979,Pain d’epice,3594485001029,,,"['Bio', 'Bio européen']",['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,Croquette,4047777057390,,"['Non alimentaire', 'Open Pet Food Facts', 'Nourriture pour animaux', 'Nourriture pour chats', 'Nourriture sèche pour animaux', 'Croquettes pour chat']",,['France'],[],[],,,0 g,en faible quantité,,,,,?,,?,,,,?,,0,-100%,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,Son de ble - Casino Bio,3222477371811,,,['Bio'],['France'],[],[],,,,,,,,,?,,280,,1172 kj(280 kcal),,"1,8",,"0,8",,24,,"2,5",,6,,,,,,,,,,,,,,,,,"['Casino Bio', 'Casino']",['Etui en carton'],,,,,,,,,['Casino'],,
982,Le Croquant Chocolat,3770015402065,,,,['France'],[],[],,,,,,,,,?,,349,,1460 kj(349 kcal),,"9,17",,"3,91",,"46,69",,"7,8",,"16,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,Le Croquant Beurre de Cacahuètes,3770015402072,,,,['France'],[],[],,,,,,,,,?,,361,,1510 kj(361 kcal),,"11,82",,"3,25",,"44,6",,"5,25",,"17,74",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Eau de coco - Auchan Bio,3596710482535,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons à base de végétaux', 'Eaux de coco']","['Bio', 'Bio européen', 'FR-BIO-01', 'Nutriscore', 'Nutriscore B']",['France'],[],[],0.5 g,en faible quantité,0.1 g,en faible quantité,2 g,en faible quantité,,,?,,8,-58%,33 kj(8 kcal),-60%,"0,5",+481%,"0,1",+224%,2,-56%,2,-45%,"0,5",+339%,,,,,,,,,,,,,,,,['Auchan Bio'],,,,,,,,,,,,
985,Tapenade verte,3700856502242,C,"['Produits à tartiner', 'Produits à tartiner salés', 'Tapenades', 'Tapenades vertes']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,58.6%,12.7%,16.0%,8.1%,2.7%,1.9%,71,,,,,,,,,,,,,
986,Carambar family,17912559,,,,['France'],[],[],,,,,,,,,?,,390,,1632 kj(390 kcal),,"5,5",,"2,8",,83,,54,,"1,3",,"0,27",,"0,108",,,,,,,,,,,,,,,,,,,,,,,,,
987,Goog gout  le petit dej,8749269310735,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,Tout mymy,3770012185145,,,['Bio'],['France'],[],[],,,,,,,,,?,,445,,1862 kj(445 kcal),,22,,2,,43,,29,,12,,"0,2",,"0,08",,,,,,,,,,,,,,,,,,,,,,,,,
989,Crème de châtaigne à la vanille Bourbon de Madagascar,3525830001852,,,,['France'],[],[],,,,,,,,,?,,241,,1008 kj(241 kcal),,0,,0,,57,,53,,1,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
990,Glace - Häagen-Dazs,8266919,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Häagen-Dazs'],,,,,,,,,,,,
991,Aiguillettes de canard des Landes,2468681031955,D,"['Viandes', 'Volailles', 'Canards', 'Aiguillettes de canard']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.0%,9.4%,2.7%,2.7%,1.4%,0.9%,37,,,,,,,,,,,,,
992,peanut butter,5000214016649,C,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', ""Purées d'oléagineux"", 'Beurres de légumineuses', 'Beurres de fruits à coques', 'Beurres de cacahuètes']",,['France'],[],[],50.3 g,en quantité élevée,9 g,en quantité élevée,6.5 g,en quantité modérée,0.98 g,en quantité modérée,?,,596,-1%,2494 kj(596 kcal),-0%,"50,3",+5%,9,+8%,"12,4",-14%,"6,5",+2%,"23,3",-5%,"0,98",+84%,"0,392",+84%,20,+82%,E,+82%,74.9%,2.4%,8.8%,4.1%,6.0%,3.7%,57,,,,,,,,,,,,,
993,Kurkuma,62030410,,,,['France'],[],[],,,,,,,,,?,,22,,92 kj(22 kcal),,0,,0,,"5,4",,"5,4",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,Rib’s de porc recette procencale,2481295041929,,,,['France'],[],[],,,,,,,,,?,,217,,908 kj(217 kcal),,16,,"6,4",,"1,7",,"0,4",,16,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
995,Filet mignon de porc,2209258006941,,,,['France'],[],[],,,,,,,,,?,,128,,536 kj(128 kcal),,4,,"1,3",,0,,0,,23,,"0,15",,"0,06",,,,,,,,,,,,,,"['Barquette', 'Film en plastique']",,,,,,,,,,,
996,Pastilles au miel et à l'Eucalyptus,3700191000090,,,,['France'],[],[],,,,,,,,,?,,382,,1598 kj(382 kcal),,"0,05",,"0,01",,"95,4",,"86,4",,"0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,Muffin milka decongele,0221873019023,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,Bio pulpe de tomates,0723382192711,,,['Bio'],['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,Streusel-kuchen cerise griotte,550000020122881,,,,['France'],[],[],,,,,,,,,?,,386,,1615 kj(386 kcal),,"14,1",,6,,"59,4",,"28,6",,"4,4",,"0,46",,"0,184",,,,,,,,,,,,,,,,,,,,,,,,,
1000,Bahamas,8410707003686,,,,['France'],[],[],,,,,,,,,?,,34,,142 kj(34 kcal),,"0,1",,0,,"8,2",,"7,7",,"0,05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Halls Gum,7622210938886,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,['Halls'],,,,,,,,,,,,
1002,Galettes de riz au sésame - Moulin des Moines,3347430021401,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Galettes de céréales soufflées', 'Galettes de riz soufflé']","['Bio', 'Bio européen', 'FR-BIO-01', 'AB Agriculture Biologique']",['France'],"['Riz complet""', 'sésame"" ', '3%']","['Sans huile de palme', 'Végétalien', 'Végétarien']",2.58 g,en faible quantité,0.4 g,en faible quantité,0.2 g,en faible quantité,0.01 g,en faible quantité,?,,361,-16%,1510 kj(361 kcal),-17%,"2,58",-78%,"0,4",-94%,"77,13",+8%,"0,2",-98%,"6,93",-6%,"0,01",-95%,"0,004",-95%,-1,-112%,A,-112%,57.0%,19.3%,12.5%,10.4%,0.8%,0.0%,92,['Moulin des Moines'],,"['EMB 67249', 'Krautwiller (Bas-Rhin, France)']",,,,,['Graines de sésame'],1,,,,
1003,Galipotes d'ardin,3593551172236,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1004,RIDICULOUS,5060594778674,,,,['France'],[],[],,,,,,,,,?,,422,,1766 kj(422 kcal),,20,,"9,3",,20,,"1,7",,32,,"0,7",,"0,28",,,,,,,,,,,,,,,,,,,,,,,,,
1005,Amande crue avec peau,8412669013390,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques']",,['France'],[],[],53 g,en quantité élevée,51 g,en quantité élevée,2.7 g,en faible quantité,,,?,,647,+5%,2707 kj(647 kcal),+5%,53,+5%,51,+708%,"3,4",-79%,"2,7",-50%,24,+24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,Alpenliebe,8935001721277,,,,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,pommes rissolées - carrefour - 450g,14860515,A,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Surgelés', 'Pommes de terre', 'Pommes de terre rissolées', 'Pommes de terre préfrites surgelées', 'Pommes de terre rissolées surgelées', 'Pommes rissolées surgelées cuites', 'en:frozen-pre-fried-potato-cubes']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,17.7%,0.0%,18.6%,14.9%,21.9%,26.9%,93,['Carrefour'],['Papier'],,,450g,,,,,,['Carrefour'],,
1008,White beans,8056157170297,,,,['France'],[],[],,,,,,,,,?,,60,,251 kj(60 kcal),,"0,4",,0,,7,,0,,"4,2",,"0,35",,"0,14",,,,,,,,,,,,,,,,,,,,,,,,,
1009,Confipote fraise,3041762363306,,,"['Nutriscore', 'Nutriscore C']",['France'],[],[],,,,,,,,,?,,691,,2891 kj(691 kcal),,"0,5",,"0,1",,38,,38,,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,Sésame caramelise,3543020120015,,,,['France'],[],[],,,,,,,,,?,,511,,2138 kj(511 kcal),,"33,6",,"4,7",,"36,1",,30,,"11,9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011,Pain au chocolat Leclerc,0201115022967,,,,['France'],[],[],,,,,,,,,?,,620,,2594 kj(620 kcal),,19,,17,,45,,16,,13,,"1,7",,"0,68",,,,,,,,,,,,,,,,,,,,,,,,,
1012,Aiguillettes de poulet blanc,0253097022114,D,"['Viandes', 'Volailles', 'Poulets', 'Aiguillettes de poulet']",,['France'],[],[],,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
