,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
187,Nougat au miel bio,3490452832316,D,,,"['Snacks', 'Snacks sucrés', 'Confiseries', 'Nougats']","['Bio', 'Bio européen', 'Agriculture UE/Non UE', 'FR-BIO-10']",,['France'],[],,[],,14.5 g,en quantité modérée,1.2 g,en faible quantité,67.3 g,en quantité élevée,0.03 g,en faible quantité,?,,469,+5%,1962 kj(469 kcal),+5%,"14,5",-12%,"1,2",-39%,"76,4",+17%,"67,3",+24%,"6,8",-5%,"0,03",-60%,"0,012",-60%,16,0%,D,0%,91.0%,4.2%,2.3%,2.0%,0.5%,0.0%,34,,,,,,,,,,,
188,La Galettes de Pleudihen - La Galette de Pleudihen - 410g,3490500000018,B,410 g,['La Galette de Pleudihen'],"['Crêpes et galettes', 'Galettes', 'Galettes de blé noir']",['Farine de sarrasin français'],,['France'],"['Farine de blé noir', 'eau', 'sel', ""trace d'arachide""]",,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,1.7 g,en faible quantité,0.3 g,en faible quantité,0 g,en faible quantité,1.2 g,en quantité modérée,?,,156,-12%,653 kj(156 kcal),-12%,"1,7",-56%,"0,3",-81%,28,+3%,0,-100%,"5,7",-17%,"1,2",-9%,"0,48",-9%,3,-42%,C,-42%,31.3%,30.2%,19.0%,10.8%,8.7%,0.0%,96,"['Sachet', 'Plastique', 'Frais']",,['France'],6 Galettes de Sarrasin,,['France'],,,,,
189,Pain Craquant Norvégien Seigle et Son d'Épeautre - Sigdal - 220g,3490602838878,,220 g,['Sigdal'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains croustillants']","['Riche en fibres', 'Sans additifs']",,['France'],"['Graines de tournesol', 'graines de sésame', 'farine de seigle complet 16 %', ""son d'avoine"", ""flocons d'avoine"", 'graines de lin', ""son d'épeautre 4 %"", 'son de blé', 'eau', 'sel']",,[],3,24.5 g,en quantité élevée,2.9 g,en quantité modérée,1.7 g,en faible quantité,1.1 g,en quantité modérée,1942,+27%,466,+24%,1942 kj(466 kcal),+23%,"24,5",+221%,"2,9",+112%,"33,5",-41%,"1,7",-38%,"19,6",+72%,"1,1",-14%,"0,44",-14%,6,+66%,C,+66%,,,,,,,,"['Sachet', 'Plastique']","['Gluten', 'Avoine', 'Graines de sésame']",,,,,,,,,
190,Cacahuètes - Menguy's,3490941207014,D,,"[""Menguy's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes']",,,['France'],[],,[],,50.2 g,en quantité élevée,7.4 g,en quantité élevée,5.5 g,en quantité modérée,1 g,en quantité modérée,?,,613,+3%,2565 kj(613 kcal),+3%,"50,2",+8%,"7,4",+2%,"10,3",-34%,"5,5",-5%,"26,1",+7%,1,+5%,"0,4",+5%,9,+50%,C,+50%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,,,,
191,Cacahouete - Menguy's,3490941207021,,,"[""Menguy's""]",,,,['France'],[],,[],,,,,,,,,,?,,594,,2485 kj(594 kcal),,"47,1",,"6,3",,"10,6",,"5,6",,"26,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,
192,Cacahuetes - Menguy's,3490941207076,D,,"[""Menguy's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes']",,,['France'],[],,[],,47.1 g,en quantité élevée,6.3 g,en quantité élevée,5.6 g,en quantité modérée,1.5 g,en quantité modérée,?,,594,-0%,2485 kj(594 kcal),+0%,"47,1",+2%,"6,3",-13%,"10,6",-32%,"5,6",-3%,"26,9",+11%,"1,5",+58%,"0,6",+58%,10,+67%,C,+67%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,,,,
193,Cacahuètes,3490941207137,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Fruits à coques et dérivés', 'Fruits à coques', 'Cacahuètes']",,,['France'],[],,[],,50.2 g,en quantité élevée,7.4 g,en quantité élevée,5.5 g,en quantité modérée,1 g,en quantité modérée,?,,613,+3%,2565 kj(613 kcal),+3%,"50,2",+8%,"7,4",+2%,"10,3",-34%,"5,5",-5%,"26,1",+7%,1,+5%,"0,4",+5%,9,+50%,C,+50%,91.0%,1.7%,3.2%,2.0%,2.2%,0.0%,45,,,,,,,,,,,
194,Cacahuètes grillés à sec,3490941207144,,,,,,,['France'],[],,[],,,,,,,,,,?,,594,,2485 kj(594 kcal),,"47,1",,"6,3",,"10,6",,"5,6",,"26,9",,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,
195,Olives vertes à la basquaise - Menguy's - 300g,3490941300296,B,300 g,"[""Menguy's""]","['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Snacks', 'Snacks salés', 'Apéritif', 'Pickles', ""Produits de l'olivier"", ""Pickles d'origine végétale"", 'Olives', 'Olives vertes']","['Contient des sulfites', 'Fabriqué en France']","['EMB 34301U', 'Sète (Hérault, France)']",['France'],"['Olives vertes ', '82%', 'eau', 'poivrons', 'citrons', 'sel', 'piments doux', 'huile de tournesol', 'ail', 'épices', ""vinaigre d'alcool"", 'acidifiants : acide lactique', 'acide citrique', 'anti-oxygène : acide ascorbique', ' Présence de sulfites']","['E270 - Acide lactique', 'E330 - Acide citrique', 'E300 - Acide ascorbique']","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,33.7%,0.2%,40.3%,17.4%,6.7%,1.8%,95,"['Sachet', 'Plastique', 'Pasteurisé']",['Anhydride sulfureux et sulfites'],,,,,,,,,
196,Mayonnaise Corbeille d'or - 470g,3490950124227,D,470 g,['Corbeille D’or'],"['Epicerie', 'Sauces', 'Mayonnaises']",['Sans alcool'],,['France'],"['huile de tournesol', 'eau', 'vinaigres', ""jaunes d'œufs frais "", '6,2%', 'sirop de glucose déshydraté sel', 'sure de canne', 'arômes', 'colorants naturels : extrait de paprika et lutéine ', 'extrait de tagète']","['E160c - Extrait de paprika', 'E161b - Lutéine']",['Non végétalien'],4,74 g,en quantité élevée,8.8 g,en quantité élevée,2.2 g,en faible quantité,1.5 g,en quantité modérée,?,,684,+12%,2862 kj(684 kcal),+12%,74,+12%,"8,8",+42%,"3,2",+19%,"2,2",+51%,1,-19%,"1,5",+13%,"0,6",+13%,22,+23%,E,+23%,80.2%,9.6%,5.0%,3.2%,1.6%,0.4%,49,,,,,,,,,,,
197,Ketchup PIMENTE - CORBEILLE D'OR,3490950131027,,,"[""CORBEILLE D'OR""]",,,"['EMB 97416F', 'Saint-Pierre (La Réunion, France)']",['France'],[],,[],,,,,,,,,,?,,106,,444 kj(106 kcal),,"0,2",,0,,"22,7",,"20,4",,"1,1",,"3,1",,"1,24",,,,,,,,,,,,,,,,,,,,,,,
198,Ketchup Marmailles,3490950133120,,,,,,,['France'],[],,[],,,,,,,,,,?,,120,,502 kj(120 kcal),,"0,4",,0,,"25,2",,"23,2",,"1,7",,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,
199,Rougail Dakatine Saveur Piment - CORBEILLE D'OR,3490950181220,,,"[""CORBEILLE D'OR""]",,,,['France'],"['u Niocine', 'vitamineB3', ' 4,6 mg source des sels minéraux et des vitamines listés I Se ru réfrigérateur i w,tefozret A consomrrzde préférence Été Mvqüée sur le - fiaccn']",,[],,,,,,,,,,?,,215,,900 kj(215 kcal),,16,,"0,1",,10,,"1,8",,8,,"2,2",,"0,88",,,,,,,,,,,,,,,,,,,,,,,
200,Huile De Tournesol - Le Prix Gagnant,3490950312716,D,,['Le Prix Gagnant'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Matières grasses', 'Matières grasses végétales', 'Huiles', 'Graines de tournesol et dérivés', 'Huiles de tournesol']",,"['EMB 97416F', 'Saint-Pierre (La Réunion, France)']","['France', 'La Réunion']",[],,[],,100 g,en quantité élevée,11 g,en quantité élevée,0 g,en faible quantité,0 g,en faible quantité,?,,900,+3%,3766 kj(900 kcal),+3%,100,+3%,11,+4%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,11,0%,D,0%,76.7%,11.6%,3.7%,6.1%,1.8%,0.0%,49,,,,,,,,,,,
201,La Crème Caramel Lait de Brebis - Rians - 2*100g,3491372006092,,2*100 g,['Rians'],"['Produits laitiers', 'Desserts', 'Produits fermentés', 'Frais', 'Desserts lactés', 'Crèmes dessert', 'Crèmes dessert caramel', 'Desserts lactés aux œufs']","['Point Vert', 'Aux œufs frais']",,['France'],"['CRÈME ', '88%', ' : Lait de brebis', 'œufs entiers frais ', '18%', 'sucre', 'jaunes d’œufs frais', 'caramel ', 'sucre', 'sirop de glucose-fructose', 'eau', '\rLIT DE CARAMEL ', '12%', ' : caramel ', 'sucre', 'eau', 'amidon']",,['Non végétalien'],4,6.1 g,en quantité modérée,3.7 g,en quantité modérée,25 g,en quantité élevée,0.73 g,en quantité modérée,?,,179,+33%,749 kj(179 kcal),+33%,"6,1",+31%,"3,7",+29%,25,+30%,25,+55%,"5,8",+81%,"0,73",+290%,"0,292",+290%,13,+144%,D,+144%,,,,,,,,"['Carton', 'Pot', 'Verre', 'Frais']","['Œufs', 'Lait']",,,"['Leclerc', 'E.Leclerc']",,http://rians.com/fr/les-produits-rians/la-creme-caramel-au-lait-de-brebis,,,,
202,Confiture de Savoie framboise - Bellamy - 375gr,3491500000169,C,375gr,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",,"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],[],,[],,0.4 g,en faible quantité,0 g,en faible quantité,52.5 g,en quantité élevée,,,?,,236,+5%,987 kj(236 kcal),+5%,"0,4",+48%,0,-100%,57,+7%,"52,5",+2%,"0,51",-24%,,,,,,,,,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,['pot verre'],,,,,,,,,,
203,Confiture de Savoie Cassis - Bellamy,3491500000176,D,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",,"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,51 g,en quantité élevée,,,?,,219,-5%,916 kj(219 kcal),-5%,"0,1",-65%,0,-100%,58,+7%,51,-2%,"0,5",-17%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
204,Confiture de Savoie Myrtille - Bellamy - 375g,3491500000190,D,375 g,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de myrtilles']",,"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,57.6 g,en quantité élevée,0 g,en faible quantité,?,,241,+10%,1008 kj(241 kcal),+10%,"0,2",-23%,0,-100%,"58,4",+9%,"57,6",+13%,"0,35",-10%,0,-100%,0,-100%,8,-13%,C,-13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
205,Confiture De Fraise,3491500000220,D,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de fraises']",,,['France'],[],,[],,0.2 g,en faible quantité,0 g,en faible quantité,51.7 g,en quantité élevée,,,?,,237,+9%,992 kj(237 kcal),+9%,"0,2",-17%,0,-100%,"58,3",+10%,"51,7",+2%,"0,33",-26%,,,,,,,,,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
206,Confiture de cassis - Bellamy,3491500000244,D,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de cassis']",['Sans conservateurs'],"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],"['Cassis', 'sucre', 'pectine de fruits']",['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.1 g,en faible quantité,0 g,en faible quantité,51.1 g,en quantité élevée,0 g,en faible quantité,?,,291,+27%,1218 kj(291 kcal),+27%,"0,1",-65%,0,-100%,58,+7%,"51,1",-2%,"0,53",-12%,0,-100%,0,-100%,8,-13%,C,-13%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,,,,,,,,,,,
207,Confiture d'abricot bergeron - Bellamy,3491500000282,B,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', ""Confitures d'abricot""]",['Sans conservateurs'],"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],"['Abricots Bergeron', 'sucre', 'eau', 'pectine de fruits']",['E440 - Pectines'],[],4,0.3 g,en faible quantité,0 g,en faible quantité,55.7 g,en quantité élevée,0 g,en faible quantité,?,,224,+2%,937 kj(224 kcal),+2%,"0,3",+33%,0,-100%,"56,5",+6%,"55,7",+10%,"0,42",-16%,0,-100%,0,-100%,7,-22%,C,-22%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
208,Confiture de Savoie pêche de vigne - Bellamy,3491500000343,B,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de pêches']",['Sans conservateurs'],"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],"['Pêches', 'sucre', 'eau', 'pectine de fruits']",['E440 - Pectines'],"['Sans huile de palme', 'Végétalien', 'Végétarien']",4,0.4 g,en faible quantité,0 g,en faible quantité,54.6 g,en quantité élevée,0 g,en faible quantité,?,,222,+3%,929 kj(222 kcal),+3%,"0,4",+111%,0,-100%,"56,8",+8%,"54,6",+8%,"0,45",+2%,0,-100%,0,-100%,11,+19%,D,+19%,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
209,Confiture de Savoie Framboise épépinée - Bellamy,3491500000411,C,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de framboises']",['Sans conservateurs'],"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],"[' Framboises Epépinées', 'Sucre', 'eau', 'Pectine De fruits', 'sans conservateurs']",['E440 - Pectines'],[],4,0.4 g,en faible quantité,0 g,en faible quantité,52.5 g,en quantité élevée,0 g,en faible quantité,?,,236,+5%,987 kj(236 kcal),+5%,"0,4",+48%,0,-100%,57,+7%,"52,5",+2%,0,-100%,0,-100%,0,-100%,11,+24%,D,+24%,65.8%,9.7%,13.4%,8.4%,2.2%,0.6%,60,,,,,,,,,,,
210,Confiture de Savoie - Bellamy,3491500000480,D,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de fruits rouges', 'Confitures de mûres']",['Sans conservateurs'],"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],"['Mûres épépinées', 'sucre', 'eau', 'pectine de fruits']",['E440 - Pectines'],[],4,0.3 g,en faible quantité,0 g,en faible quantité,52.5 g,en quantité élevée,0.1 g,en faible quantité,953,,+5%232,+5%,+5%968 kj(232 kcal),+5%,"+6%0,282",+6%,"-100%0,062",-100%,"+7%55,3",+7%,"-1%52,8",-1%,"-23%0,596",-23%,"+194%0,034",+194%,"+194%0,014",+194%,"+21%9,9",+21%,+21%D,+21%,75.0%,7.5%,10.3%,5.1%,1.7%,0.4%,50,['Bocal'],,,,,,,,,,
211,Confiture de mirabelle - Bellamy,3491500000497,B,,['Bellamy'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Produits à tartiner', 'Petit-déjeuners', 'Fruits et produits dérivés', 'Pâtes à tartiner végétales', 'Produits à tartiner sucrés', 'Confitures et marmelades', 'Confitures', 'Confitures de prunes', 'Confitures de mirabelles']",,"['EMB 74126A', 'Fessy (Haute-Savoie, France)']",['France'],[],,[],,0.1 g,en faible quantité,0 g,en faible quantité,53.8 g,en quantité élevée,,,?,,226,+1%,946 kj(226 kcal),+1%,"0,1",-55%,0,-100%,"56,7",+5%,"53,8",+4%,"0,3",-23%,,,,,,,,,38.5%,19.4%,25.9%,11.0%,4.2%,1.1%,87,,,,,,,,,,,
212,Crème de marron,3491500000534,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Produits à tartiner', 'Fruits à coques et dérivés', 'Pâtes à tartiner végétales', 'Crèmes de marrons']",,,['France'],[],,[],,0.8 g,en faible quantité,0.01 g,en faible quantité,59.4 g,en quantité élevée,0.01 g,en faible quantité,?,,233,-7%,975 kj(233 kcal),-7%,"0,8",+7%,"0,01",-93%,60,-0%,"59,4",+19%,"0,93",-15%,"0,01",-47%,"0,004",-47%,12,+4%,D,+4%,66.1%,22.5%,5.7%,3.0%,2.6%,0.0%,66,,,,,,,,,,,
213,Miel De Romarin Pot Verre - Augier Miel - 250g,3491560001137,B,250 g,['Augier Miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de romarin']",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['Espagne'],,,,,
214,Miel d'oranger - Augier Miel - 250g,3491560001229,B,250 g,['Augier Miel'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'agrumes"", ""Miels d'oranger""]",,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,['Espagne'],,,,,
215,Miel Acacia de France - Les Ruchers du Mont-Ventoux - 500g,3491560002127,A,500 g,"['Les Ruchers du Mont-Ventoux', 'Augier & Fils']","['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels français', ""Miels d'acacia"", 'Miels liquides']","['Point Vert', 'Origine France']",,['France'],['Miel 100 %'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bocal', 'Verre', 'métal']",,['France'],,['Auchan'],['France'],,,,,
216,Miel de Lavande - Les Ruchers du Mont-Ventoux - 1kg,3491560003100,A,1 kg,['Les Ruchers du Mont-Ventoux'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande', 'Miels crémeux']",['Origine France'],,['France'],['Miel de lavande origine France'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Verre', 'Bocal']",,,,['Auchan'],['France'],,,,,
217,Miel Fleurs de Provence - Les Ruchers du Mont Ventoux - 400g,3491560024112,B,400 g,['Les Ruchers du Mont Ventoux'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs', 'Miels français', 'Miels crémeux', 'Miels de Provence']","['Point Vert', 'Fabriqué en France', 'IGP', 'Label Rouge']",,['France'],['Miel IGP origine Provence'],,"['Sans huile de palme', 'Non végétalien', 'Végétarien']",2,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Métal', 'Verre', 'Bocal']",,['France'],,,"['France', 'Provence']",,,,,
218,Miel De Lavande De Provence 400g - RMV Augier & fils,3491560034104,B,400g,['RMV Augier & fils'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de lavande']","['Point Vert', 'Label Rouge']",,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,
219,Preparation de miel et gelée royale - Augier & Fils,3491560101462,,,['Augier & Fils'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', 'Produits à tartiner sucrés', 'Édulcorants', 'Préparations à base de miel', 'Préparations à base de miel et gelée royale']","['Bio', 'Bio européen', 'AB Agriculture Biologique']",,['France'],[],,[],,0.1 g,en faible quantité,0.1 g,en faible quantité,74 g,en quantité élevée,0.01 g,en faible quantité,?,,311,-4%,1301 kj(311 kcal),-4%,"0,1",-47%,"0,1",+102%,76,-5%,74,+1%,"1,7",+142%,"0,01",-62%,"0,004",-62%,13,-4%,D,-4%,,,,,,,,,,,,,,,,,,
220,Feuilleté a la viande,3491841322203,,,,,,,['France'],[],,[],,,,,,,,,,?,,261,,1092 kj(261 kcal),,"13,1",,"5,5",,"29,2",,"1,2",,"6,2",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,
221,Charbons à l'eau de vie de mirabelle lorraine - Lorraine Prestige,3492172401704,,,['Lorraine Prestige'],,,,['France'],"['Sucre', 'glucose à base de blé', 'beurre ue cacao', 'poudre de lait entier', 'émulsifiant : lécithine de soja', 'arôme de vanille', 'alcool de mirabelle de Lorraine 500 ', '13,3%', '* colorant : E 102 ', ""peut avoir des effets indésirables sur l'activité et l'attention chez les enfants"", "" Traces d'amidon de maïs"", "" *L 'abus d'alcool est dangereux pour la santé"", 'à consommer avec modération']","['E322i - Lécithine', 'E102 - Tartrazine']",['Non végétalien'],4,,,,,,,,,?,,443,,1854 kj(443 kcal),,"17,5",,"10,6",,"61,1",,"60,3",,"2,9",,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,
222,Gommes Adoucissantes Proroyal - 50 G - Laboratoire Phytoceutic,3492270005064,,,,,['Bio'],,['France'],[],,[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"2,5",,0,,"8,45",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Gelée Royalen - 1 Pot De 10 GR - Laboratoire Phytoceutic,3492270005316,,,['Phytoceutic'],,['Bio'],,['France'],"[""Gelée Royale issue de l'Agriculture Biologique conditionnée sous atmosphère modifiée""]",,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
224,Défenses De La Ruche KID - 10 Doses - Laboratoire Phytoceutic - Laboratoires vitarmonyl,3492270005613,,,['Laboratoires vitarmonyl'],['Boissons'],"['Bio', 'Fabriqué en France']",,['France'],"['de préférence je matin', "" à N déluter dans un verre d'eau"", 'ide jus de fruits ou de lait', ' Bien agiter avant emploi', 'INGRÉDIENTS POUR 1 DOSE : eau', 'jus concentré de pomme*', 'miel* ', '1000 mg', ""sirop d'agave* "", 'gelée mg', 'mélisse* ', '300 mg', 'extrait aqueux de ', '250 mg', '150 mg', 'propolis* ', 'l m mg', 'Œôrn9 naturel abricot', ' *Ingrédients issus de VAgriculture Biologique', ""PRATIQUE Ampoule brevetée : Incassable Sécurité d'emploi}$""]",,['Non végétalien'],,5 g,en quantité modérée,1 g,en quantité modérée,1 g,en faible quantité,0 g,en faible quantité,?,,92,+64%,385 kj(92 kcal),+60%,5,+1341%,1,+747%,15,+33%,1,-89%,13,+2521%,0,-100%,0,-100%,11,+44%,E,+44%,,,,,,,,,,,,,,,,,,
225,Détente Et Sommeil - 60 Comprimés - Laboratoire Phytoceutic,3492270070048,,,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,
226,Millepertuis safran & mélisse - Phytoceutic - 43g,3492270070208,,43 g,['Phytoceutic'],,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
