,name,bar_code,eco_score,quantity,brand,categories,labels,traceability_code,sales_countries,ingredients_list,additives,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,allergens,manufacturing,generic_name,markets,ingredients_origins,link,palm_ingredients,brand_owner,origin_detail,producer_info
1460,Tagliatelles 5,3527270000105,,,,,,,['France'],[],,[],,,,,,,,,,?,,409,,1711 kj(409 kcal),,6,,"1,56",,"7,2",,"2,9",,16,,"0,12",,"0,048",,,,,,,,,,,,,,,,,,,,,,,
1461,Oeufs plein air,3527450665704,,,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
1462,Paté lorrain - Les Saveurs De L Oncle Fritz,3527480040021,,,['Les Saveurs De L Oncle Fritz'],,,,['France'],"['Pâte 52% ', 'Farine de blé', 'matières grasses végétales ', 'palme', 'colza', 'eau', 'beurre ', 'lait', 'sel', 'émulsifiants : monostéarine', 'colorant : bêta-carotène', 'Garniture 48% ', 'Viande de porc ', 'origine UE', ' 30%', 'viande de veau ', 'origine UE', ' 4', '6%', 'vin blanc ', 'Sulfites', 'échalote', 'oignon', 'jaune dtoeuf', 'farine de blé', 'sel', 'persil', 'fibres végétales de bambou', 'épices', 'laurier', ' Dorure : oeuf,']","[""E471 - Mono- et diglycérides d'acides gras alimentaires"", 'E160ai - Bêta-carotène']","['Huile de palme', 'Non végétalien', 'Non végétarien']",4,,,,,,,,,?,,257,,1075 kj(257 kcal),,"14,4",,"8,5",,"21,2",,"1,2",,"10,6",,"1,27",,"0,508",,,,,,,,,,,,,,"['Gluten', 'Lait', 'Anhydride sulfureux et sulfites']",,,,,,,,,
1463,Terrine au Pinot Noir - Produits de la Cigogne,3527480180277,,,['Produits de la Cigogne'],['Terrines'],,"['FR 68.298.005 CE', 'Sainte-Marie-aux-Mines (Haut-Rhin, France)']",['France'],[],,[],,27 g,en quantité élevée,4.7 g,en quantité modérée,1.7 g,en faible quantité,1.47 g,en quantité modérée,?,,313,+4%,1310 kj(313 kcal),+5%,27,+5%,"4,7",-50%,2,-8%,"1,7",+117%,15,+7%,"1,47",-4%,"0,588",-4%,13,-27%,D,-27%,,,,,,,,,,,,,,,,,,
1464,Source Des Fées,3527520215013,,,,,,,['France'],[],,[],,,,,,,,,,?,,0,,0 kj(0 kcal),,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1465,Croquitos - Biscuiterie du Camares,3527600000034,,,['Biscuiterie du Camares'],,,,['France'],[],,[],,,,,,,,,,?,,448,,1874 kj(448 kcal),,"23,2",,16,,40,,"15,46",,7,,"0,17",,"0,068",,,,,,,,,,,,,,,,,,,,,,,
1466,Les Amarillos Citron - Artisan,3527600000102,C,,['Artisan'],"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits']",['Sans additifs'],,['France'],"['farine', 'beurre ', '24%', 'sucre', ""blancs d'œufs"", 'poudre levante ', 'pyrophosphate et carbonate de sodium', 'zeste de citron ', ""1,3+1'"", 'arôme citron', 'sel A consommer préférence ava']","['E450i - Pyrophosphate de sodium acide', 'E500i - Carbonate de sodium']",['Non végétalien'],4,22 g,en quantité élevée,14.5 g,en quantité élevée,15.5 g,en quantité élevée,0.19 g,en faible quantité,?,,447,-6%,1870 kj(447 kcal),-6%,22,+6%,"14,5",+44%,"53,3",-17%,"15,5",-47%,"7,2",+11%,"0,19",-68%,"0,076",-68%,18,-9%,D,-9%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,,"['Œufs', 'Lait']",,,,,,,,,
1467,O - Gilles Louvet - 750ml,3527615523313,B,750 ml,['Gilles Louvet'],"['Boissons', 'Boissons alcoolisées', 'Vins', 'Vins français', ""Pays d'Oc""]","['Bio', 'Bio européen', 'IGP', 'Point Vert', 'Déconseillé aux femmes enceintes']",,['France'],['70% Cabernet Sauvignon - 30% Merlot\rContient des sulfites'],,"['Sans huile de palme', 'Végétalien', 'Végétarien']",3,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,46.9%,6.6%,27.8%,12.7%,4.8%,1.3%,43,"['Bouteille', 'Verre']",['Anhydride sulfureux et sulfites'],,,,['France'],,,,,
1468,Pate de nougat aux eclats de caramel,3527690008279,,,,,,,['France'],[],,[],,,,,,,,,,?,,403,,1686 kj(403 kcal),,"8,21",,"1,31",,"83,29",,"58,99",,"3,75",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,
1469,Frappes Maniccia. 250g - 250g,3527712345672,,250 g,,,,,['France'],[],,[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,
