,name,bar_code,brand,markets,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,labels,additives,allergens,nova_score,quantity,packaging,traceability_code,generic_name,ingredients_origins,manufacturing,link,brand_owner,palm_ingredients
848,Petit beurre avec tablette de chocolat noir - 1050g,3556940901749,,,['France'],[],[],?,504,2109 kj(504 kcal),27,"16,9","55,7","29,1",7,"0,4","0,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050 g,,,,,,,,
849,Gateau de semoule aux 2 chocolats - Légendes Gourmandes,3760155984880,['Légendes Gourmandes'],,['France'],[],[],?,398,1665 kj(398 kcal),"6,1","3,6",80,47,"4,8","0,01","0,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Petits pois extra fins et carottes en rondelles Bio,3700238322116,,,['France'],[],[],?,50,209 kj(50 kcal),"0,2","0,1","7,6","3,9","2,6","0,61","0,244",B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Conserves', 'Aliments à base de fruits et de légumes', 'Légumineuses', 'Aliments à base de plantes en conserve', 'Légumes et dérivés', 'Légumes en conserve', 'Légumineuses en conserve', 'Petits pois et carottes en conserve']",0.2 g,en faible quantité,0.1 g,en faible quantité,3.9 g,en faible quantité,0.61 g,en quantité modérée,,-14%,-13%,-60%,-21%,-6%,+14%,-16%,+4%,+4%,-4,,A,,26.6%,34.8%,16.3%,8.2%,7.5%,6.7%,88,['Bio'],,,,,,,,,,,,
851,Garden Wafers Peanut flavor,89782004079,,,['France'],[],[],?,513,2146 kj(513 kcal),"26,7","10,7",60,"16,1",10,"0,653","0,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,ananas entier,0208047020016,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,Pistaches grillées à sec et salées,2600160042575,,,['France'],[],[],?,621,2598 kj(621 kcal),"44,8","5,5","28,7","7,7","20,9","1,5","0,6",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Fruits à coques et dérivés', 'Fruits à coques', 'Pistaches', 'Pistaches grillées', 'Pistache grillée salée']",44.8 g,en quantité élevée,5.5 g,en quantité élevée,7.7 g,en quantité modérée,1.5 g,en quantité modérée,,+2%,+2%,-9%,-14%,+91%,+13%,-7%,+24%,+24%,9,+43%,C,+43%,80.2%,0.0%,5.4%,8.3%,3.7%,2.3%,40,,,,,,,,,,,,,
854,Confiture artisanale fraise,3760190852076,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,Coeur de Couenne Jambon Cuit Supérieur,0211922025716,,,['France'],[],[],?,141,590 kj(141 kcal),"6,2","2,2","0,5","0,5","20,7","1,92","0,768",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,Croquants caramel,3663350058427,,,['France'],[],[],?,406,1699 kj(406 kcal),15,"0,3",61,27,"5,8","1,6","0,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,Pain complet,0250026009383,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
858,L'irresistible,3770009274036,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en France'],,,,,,,,,,,,
859,Pain complet,0209127010569,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,5010251729600,5010251729600,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,Organic cauliflower,5010251729549,,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bag'],,,,,,,
862,Kuzina Rollin épinard,5201231102012,,,['France'],[],[],?,215,900 kj(215 kcal),"13,3",5,"25,6","2,7","6,2","1,27","0,508",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Halal'],,,,,,,,,,,,
863,Pocky Choco Banana,8851019210193,"['Pocky', 'Glico']",,['France'],[],[],?,220,920 kj(220 kcal),10,10,28,12,3,"0,06","0,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,Savoy cabbage - Morrisons,5010251729457,['Morrisons'],,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['vegetables fresh', 'product', 'item(s)']",,,,,,,
865,Philmore biere artisanale Si b,3770006416118,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,Sport protéines bar - Vega,0838766108322,['Vega'],,['France'],[],[],?,300,1255 kj(300 kcal),11,5,26,14,20,"2,9","1,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
867,Confiture Mangue Groseille,3760264920175,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,Pains au raisins 3 meunier,0201081017387,,,['France'],[],[],?,297,1243 kj(297 kcal),12,"8,1",40,15,"5,3",1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,744g,0837229007882,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744 g,,,,,,,,
870,5010251880059,5010251880059,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
871,Citron verna,8437019369071,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,Crème à fouetter,3324321301040,,,['France'],[],[],?,300,1255 kj(300 kcal),54,"21,1",21,19,0,"0,25","0,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
873,Risotto aux asperges,8032413002960,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874,boisson au lait saveur fraise - auchan - 20cl,90005879,['Auchan'],['Auchan'],['France'],[],[],?,?,,?,,?,,?,,,,"['Boissons', 'Produits laitiers', 'Boissons lactées']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 cl,['Brique'],,,,,,,
875,Sésa-Line,3770012431044,,,['France'],[],[],?,186,778 kj(186 kcal),32,6,14,1,40,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
876,Grated Mozzarella cheese,5029106001747,,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,D,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages italiens', 'Fromages à pâte filée', 'Mozzarella']",,,,,,,,,,,,,,,,,,,,,,,84.0%,5.8%,4.0%,4.0%,1.8%,0.5%,54,,,,,,['Packet'],,,,,,,
877,Grated Mature Cheese,5029106000078,,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Packet'],,,,,,,
878,BaBa au rhum,3700462056344,,,['France'],[],[],?,191,799 kj(191 kcal),"2,5","1,5",34,20,"1,6","0,22","0,088",B,"['Biscuits et gâteaux', 'Pâtisseries', 'Babas au rhum']",2.5 g,en faible quantité,1.5 g,en quantité modérée,20 g,en quantité élevée,0.22 g,en faible quantité,,-12%,-12%,-38%,-31%,-11%,-30%,-21%,0%,0%,7,-29%,C,-29%,32.1%,36.9%,15.2%,7.8%,8.1%,0.0%,96,,,,,,,,,,,,,
879,5020798010031,5020798010031,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
880,Blueberries fresh,20567330,,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,B,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Fruits rouges', 'Myrtilles']",,,,,,,,,,,,,,,,,,,,,,,90.0%,0.0%,0.0%,5.0%,4.8%,0.2%,87,,,,,,['Punnet'],,,,,,,
881,Argile verte - Herbesan,49759105,['Herbesan'],,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,Eggs,25384871,,,"['France', 'Royaume-Uni']",[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
883,Haricots blanc préparés - D'Aucy,3017800153307,"[""D'Aucy"", 'Daucy']",,['France'],[],[],?,96,402 kj(96 kcal),"0,8","0,1",13,"0,6",6,"0,83","0,332",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,"['EMB 56251E', 'Theix (Morbihan, France)']",,,,,,
884,Carrefour Olive Nere Snocciolate,8012666026067,['Carrefour'],['Carrefour'],['France'],[],[],?,134,561 kj(134 kcal),13,"2,2",0,0,"1,3",2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
885,Sucettes lollies,3663350097976,,,['France'],[],[],?,379,1586 kj(379 kcal),"1,4","0,5",92,89,"0,5","0,083","0,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
886,Wrigley's 5 React 2 Mint,22000117014,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
887,Fromage de chèvre fermier,0200016027224,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['FR 74.252.070 CE', 'Saint-Sigismond (Haute-Savoie, France)']",,,,,,
888,MA TISANE À LA VIOLETTE,3760148531329,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,Penne au blé complet,20960216,,,['France'],[],[],?,148,619 kj(148 kcal),"6,8","2,5",14,"2,6","6,1","0,51","0,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Fabriqué en Belgique'],,,,,,,,,,,,
890,Anchois marinés,3250391754014,,,['France'],[],[],?,161,674 kj(161 kcal),"8,7","1,8","0,5","0,5",20,"2,1","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,Real Fruit - Robinsons,5010102116795,['Robinsons'],,"['France', 'Royaume-Uni']",[],[],?,2,8 kj(2 kcal),0,0,0,0,0,"0,03","0,012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bottle'],,,,,,,
892,Hipp Saft Früchte Karotte,4062300034877,['Hipp'],,['France'],[],[],?,184,770 kj(184 kcal),"0,3",0,"9,8","9,2","0,2","0,05","0,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,Amande,8411109009726,,,['France'],[],[],?,579,2423 kj(579 kcal),"49,9","3,8",0,0,"21,2",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,Smiley bretzels,3027030902484,,,['France'],[],[],?,397,1661 kj(397 kcal),"5,5","0,4",74,"2,7",10,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,La busiata,8000220005009,,,['France'],[],[],?,352,1473 kj(352 kcal),"1,4","0,3","72,5",3,12,3,"1,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,saumon écrasé de pomme de terre thym,3660014120407,,,['France'],[],[],?,120,502 kj(120 kcal),"6,2","2,5",9,2,"6,6","0,3","0,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,Chicken&bacon hearts - 50g,8717249774433,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 g,,,,,,,,
898,Gallia Calisma croissance de 12 mois a 3 ans,12096572,['Gallia'],,['France'],[],[],?,?,,?,,?,,?,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,Tarte fine aux pomme pur beurre,2849518029527,,,['France'],[],[],?,310,1297 kj(310 kcal),"13,2","8,9","42,6","17,3",4,"0,63","0,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,Caciofini Extra alla Crudiola - 230g,8033891011741,,,['France'],[],[],?,305,1276 kj(305 kcal),"31,5","4,5","1,8","1,3","1,8","1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 g,,,,,,,,
901,Saucisse blanche,3240650030355,,,['France'],[],[],?,304,1272 kj(304 kcal),28,"11,2",1,1,12,2,"0,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Point Vert'],,,,,,,,,,,,
902,Tranches de saumon fumé,0263890030834,,,['France'],[],[],?,159,665 kj(159 kcal),"6,75","1,75",0,0,"24,51","4,13","1,652",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,Pain Rustique,7610543403041,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,Saucisse blanche,3327512641338,,,['France'],[],[],?,267,1117 kj(267 kcal),23,"9,2",2,2,13,"1,8","0,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,Langouille à la moutarde à l'ancienne,0279773035957,,,['France'],[],[],?,236,987 kj(236 kcal),15,5,"1,2","0,2",24,"2,5",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,La brochette de poulet thym citron,2216334044346,,,['France'],[],[],?,104,435 kj(104 kcal),"1,7","0,5","2,8","1,4",19,"1,1","0,44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,Hareng fume  kippers,2869946022969,,,['France'],[],[],?,241,1008 kj(241 kcal),18,"6,6","0,5",0,19,"3,3","1,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,Dattes Ajwa - 200g,3760124631128,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 g,,,,,,,,
909,Abricot sec,2600110036470,,,['France'],[],[],?,283,1184 kj(283 kcal),"0,5","0,02","62,6","53,4","3,4","0,02","0,008",D,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Produits déshydratés', 'Aliments à base de plantes séchées', 'Fruits secs', 'Abricots secs']",0.5 g,en faible quantité,0.02 g,en faible quantité,53.4 g,en quantité élevée,0.02 g,en faible quantité,,+8%,+8%,+3%,-67%,+8%,+18%,+10%,-43%,-43%,6,+73%,C,+73%,45.6%,45.5%,2.7%,4.3%,1.9%,0.0%,38,,,,,,,,,,,,,
