,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
635,Almarai natural juice,6281007201513,,,,,,['France'],[],[],,,,,,,,,,?,,45,,188 kj(45 kcal),,0,,0,,"11,3",,10,,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
636,Coeur d'artichauts bio - Saclà,8001060026773,,,['Saclà'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Légumes et dérivés', 'Légumes tiges', 'Artichauts', ""Coeurs d'artichauts""]",['Bio'],['France'],[],[],,10.8 g,en quantité modérée,1.3 g,en faible quantité,0.9 g,en faible quantité,2.3 g,en quantité élevée,?,,121,+142%,506 kj(121 kcal),+144%,"10,8",+524%,"1,3",+444%,"1,1",-76%,"0,9",-26%,"1,7",-2%,"2,3",+168%,"0,92",+168%,6,,C,,,,,,,,,"['Bocal', 'Verre']",,,,,,,,,,,,
637,Panetone bio traditionnel,8006073278959,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'IT-BIO-006']",['France'],[],[],,,,,,,,,,?,,360,,1506 kj(360 kcal),,15,,"8,6",,48,,23,,"6,7",,"0,5",,"0,2",,,,,,,,,,,,,,,,,,,,,,,,,
638,Biscuits roses de Reims - Nos Régions ont du Talent,3564709021584,C,,"['Nos Régions ont du Talent', 'Leclerc']","['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Biscuits', 'Biscuits roses']",,['France'],"['Sucre', 'farine de blé', 'œufs entiers', ""blancs d'œufs"", 'colorant : E120', 'poudre à lever : E503ii', 'arôme naturel de vanille', 'huile de soja']","['Sans huile de palme', 'Non végétalien', 'Non végétarien']",4,3 g,en quantité modérée,3 g,en quantité modérée,44 g,en quantité élevée,0 g,en faible quantité,?,,400,-16%,1674 kj(400 kcal),-16%,3,-86%,3,-70%,84,+31%,44,+49%,"8,5",+31%,0,-100%,0,-100%,15,-24%,D,-24%,80.3%,11.4%,3.7%,2.4%,2.2%,0.0%,58,"['Sachet', 'Plastique']",,,"['E120 - Acide carminique', ""E503ii - Carbonate acide d'ammonium""]","['Œufs', 'Gluten', 'Soja']",,,['Leclerc'],,,,,
639,Betterave - Amande - Piment d'Espelette - 120g,3760267400308,,120 g,,,"['Bio', 'Végétarien', 'Bio européen', 'Végétalien', 'Agriculture UE/Non UE', 'FR-BIO-01', 'en:gluten-free']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,362,,1515 kj(362 kcal),,"14,3",,"1,6",,"40,1",,"32,3",,11,,"1,5",,"0,6",,,,,,,,,,,,,,,,,,,,,,,,,
640,Calendrier de l'Avent - Lidl - 235g,20291792,,235 g,['Lidl'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Aliments et boissons de Noël', 'Bonbons de chocolat', ""Calendriers de l'avent"", 'Assortiments de bonbons de chocolat']","['Agriculture durable', 'en:UTZ Certified', 'en:utz-certified-cacao']",['France'],"['Sucre', 'pâte de cacao', 'beurre de cacao', '8,5 % noisettes', 'lait en poudre entier', 'beurre concentré ', 'lait', 'sirop de sucre inverti', 'stabilisants : sorbitols', 'glycérol', ' crème ', 'lait', '1,1 % brisures de biscuits ', 'farine de blé', 'sucre', 'beurre concentré ', 'lait', 'lait en poudre écrémé', ""malt d'orge"", 'sel', 'émulsifiant : lécithines ', 'soja', ' ', ' arômes', 'lactose', 'cacao en poudre', 'sel']","['Sans huile de palme', 'Non végétalien']",4,34 g,en quantité élevée,18 g,en quantité élevée,46 g,en quantité élevée,0.09 g,en faible quantité,2249,+1%,?,,2249 kj(538 kcal),+5%,34,+16%,18,+3%,51,-9%,46,-11%,"5,7",-4%,"0,09",-53%,"0,036",-53%,26,+4%,E,+4%,,,,,,,,"['Carton', 'Plastique']",,,"['E420 - Sorbitol', 'E422 - Glycérol', 'E322 - Lécithines']","['Gluten', 'Lait', 'Fruits à coque', 'Soja']",,,['Lidl'],"Assortiment de bonbons de chocolat au lait aux noisettes gianduja, chocolat noir fourré (14%), chocolat au lait fourré (13%) saveur caramel, chocolat au lait fourré (11%) aux noisettes gianduja et crêpes dentelles et chocolat au lait fourré (2%) praliné.",,,,
641,Seau Mini Variete Mixte 500gr - 500g,3504204065126,,500 g,,,['Sans colorants'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Carotte - Graine de Courge - Coco,3760267400322,,,,,"['Bio', 'Végétarien', 'en:gluten-free', 'Végétalien']",['France'],[],"['Végétalien', 'Végétarien']",,,,,,,,,,?,,332,,1389 kj(332 kcal),,"8,7",,"2,1",,"49,5",,"44,2",,"7,5",,"1,6",,"0,64",,,,,,,,,,,,,,,,,,,,,,,,,
643,Donut nature sucre -,0241151018371,B,,,"['Snacks', 'Snacks sucrés', 'Biscuits et gâteaux', 'Gâteaux', 'Donuts']",,['France'],[],[],,17 g,en quantité modérée,8.9 g,en quantité élevée,10 g,en quantité modérée,1.2 g,en quantité modérée,?,,368,-10%,1540 kj(368 kcal),-10%,17,-25%,"8,9",-16%,47,+5%,10,-40%,"5,5",-7%,"1,2",+26%,"0,48",+26%,19,-3%,E,-3%,65.3%,17.3%,8.4%,4.6%,4.4%,0.0%,87,,,,,,,,,,,,,
644,Mousse de foie au Porto,3467980140008,,,,"['Viandes', 'Produits à tartiner', 'Charcuteries', 'Produits à tartiner salés', 'Mousses salées', 'Mousses de foies']",,['France'],[],[],,29 g,en quantité élevée,12 g,en quantité élevée,2 g,en faible quantité,1.2 g,en quantité modérée,?,,310,-6%,1297 kj(310 kcal),-7%,29,-6%,12,+5%,"2,3",-19%,2,+27%,10,-4%,"1,2",-24%,"0,48",-24%,18,-7%,D,-7%,,,,,,,,,,,,,,,,,,,,
645,Nesquik - Nestle - 350g,,,350g,['Nestle'],['Boisson chocolatée'],,['France'],"['Sucre', 'maltodextrine', 'dextrine de maïs', 'cacao maigre 18%', 'sirop de glucose', 'lécithine de SOJA', 'minéraux', 'vitamines', 'sel', 'cannelle', 'arômes']","['Sans huile de palme', 'Peut-être végétalien', 'Peut-être végétarien']",4,1.8 g,en faible quantité,1 g,en faible quantité,7 g,en quantité modérée,0.14 g,en faible quantité,?,,68,,285 kj(68 kcal),,"1,8",,1,,"8,6",,7,,"3,5",,"0,14",,"0,056",,-2,,A,,,,,,,,,['Plastique'],,,"['E1400 - Dextrines', 'E322i - Lécithine']",['Soja'],,,,Préparation à base de cacao et de sucres,https://www.nesquikstudios.fr/produit/nestle-nesquik-moins-de-sucre-350-g,,,
646,Lumières de fêtes - Chocolats au lait noir & blanc - Lanvin - 400g,7613036451451,,400 g,['Lanvin'],"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat', 'Assortiments de bonbons de chocolat']",,['France'],"['sucre', 'lait', 'pâte de cacao', 'beurre de cacao', 'beurre pâtissier', 'huile de palme', 'noisettes', 'lait entier en poudre', 'huile de karité', 'lait écrémé en poudre', 'amandes', 'petit-lait filtré en poudre', 'farine de blé', 'émulsifiant ', 'lécithines', 'petit-lait', 'maltodextrines', ""farine d'orge malté"", 'poudre à lever ', 'carbonates de sodium', 'sel', 'arômes naturels', 'arôme naturel de vanille', ' Peut contenir: œuf']","['Huile de palme', 'Non végétalien', 'Peut-être végétarien']",4,34 g,en quantité élevée,17 g,en quantité élevée,52 g,en quantité élevée,0.18 g,en faible quantité,?,,548,+1%,2293 kj(548 kcal),+1%,34,+1%,17,-3%,53,+3%,52,+11%,"6,7",+11%,"0,18",+25%,"0,072",+25%,24,-4%,E,-4%,,,,,,,,"['film plastique', 'plateau plastique', 'à jeter', 'boîte carton', 'cale papier', 'à recycler']",,,"['E322 - Lécithines', 'E500 - Carbonates de sodium']","['Gluten', 'Lait', 'Fruits à coque']",,,,,,['Huile de palme'],,
647,Sucre de canne complet - Secrets Délices - 350g,3594482006812,B,350 g,['Secrets Délices'],"['Édulcorants', 'Sucres', 'Sucres de canne', 'Sucres complets']","['Bio', 'Bio européen', 'FR-BIO-01', 'Agriculture non UE', 'AB Agriculture Biologique']",['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,96 g,en quantité élevée,0.1 g,en faible quantité,1618,,?,,1618 kj(387 kcal),+0%,0,-100%,0,,96,-1%,96,+1%,"0,12",-47%,"0,1",+36%,"0,04",+36%,14,-1%,D,-1%,87.6%,0.0%,7.4%,3.3%,1.8%,0.0%,81,,,,,,,,,,,,,
648,Délices Apéro 100% végétal - Ails & fines herbes - Pleurette - 120g,3760265880386,,120 g,['Pleurette'],['Tatinade apéritive'],"['Bio', 'en:gluten-free', '100% végétal']",['France'],"['Pleurotes* ', '80%', ""huile d'olive extra vierge*"", 'échalotes*', 'jus de citron*', 'ail*', '1,5%', 'sel de Guérande', 'poivre noir*', 'herbes de Provence*', 'persil*', 'ciboulette*', ""oignon en poudre*\r*Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,9.9 g,en quantité modérée,1.8 g,en quantité modérée,0.4 g,en faible quantité,0.6 g,en quantité modérée,?,,118,,494 kj(118 kcal),,"9,9",,"1,8",,"2,6",,"0,4",,"1,7",,"0,6",,"0,24",,-7,,A,,,,,,,,,['Verre'],['Nord'],,,,,,,Tartinade apéritive - Ails & fines herbes,,,,
649,Délices Apéro 100% végétal - Tomates séchées - Pleurette - 120g,3760265880393,,120 g,['Pleurette'],['Tatinade apéritive'],"['Bio', 'en:gluten-free', '100% végétal']",['France'],"['Pleurotes* ', '73,6%', ""huile d'olive extra vierge*"", 'tomates séchées à l’huile* ', '7,5%', ' ', 'Tomates séchées* ', 'huile de tournesol*', 'huile d’olive vierge extra*', 'câpres*', 'sel', 'vinaigre de vin*', 'ail*', 'origan*', 'persil*', 'basilic*', 'tomates séchées* ', '5%', ' ', 'tomate*', 'sel', 'jus de citron*', 'sel de Guérande', 'poivre noir*', 'persil* basilic*', ""\r*Ingrédient issu de l'agriculture biologique""]",[],3,12 g,en quantité modérée,1.9 g,en quantité modérée,1.2 g,en faible quantité,1.2 g,en quantité modérée,?,,146,,611 kj(146 kcal),,12,,"1,9",,"4,5",,"1,2",,"2,1",,"1,2",,"0,48",,-4,,A,,,,,,,,,['Verre'],['Nord'],,,,,,,Tartinade apéritive,,,,
650,20 œufs Plein Air - Le Gaulois,3251320422400,D,,['Le Gaulois'],"[""Produits d'élevages"", 'Œufs', 'Œufs de poules', 'Œufs de poules élevées en plein air']",['Pondu en France'],['France'],[],[],,9.8 g,en quantité modérée,2.6 g,en quantité modérée,0.3 g,en faible quantité,0.3 g,en quantité modérée,584,-1%,?,,584 kj(140 kcal),+1%,"9,8",-2%,"2,6",+6%,"0,3",-52%,"0,3",-40%,"12,7",+2%,"0,3",+10%,"0,12",+10%,-1,,A,,91.5%,0.0%,3.5%,2.5%,1.7%,0.8%,51,['Frais'],,,,,,,,,,,LOEUF - 52 Avenue du Mans 72650 LA BAZOGE,
651,Thé vert fruits rouges,3700994200116,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,Délices Apéro 100% végétal - Piment d'Espelette - Pleurette - 120g,3760265880409,,120 g,['Pleurette'],['Tatinade apéritive'],"['Bio', 'en:gluten-free', '100% végétal']",['France'],"['Pleurotes* ', '79%', ""huile d'olive extra vierge*"", 'jus de citron*', 'ail*', 'sel de Guérande', ""piment d'Espelette*"", '0,6%', 'poivre noir*', 'origan*', 'oignon en poudre*', 'basilic*', ""\r*Ingrédient issu de l'agriculture biologique""]","['Sans huile de palme', 'Végétalien', 'Végétarien']",3,9.5 g,en quantité modérée,1.7 g,en quantité modérée,0.2 g,en faible quantité,0.57 g,en quantité modérée,?,,119,,498 kj(119 kcal),,"9,5",,"1,7",,"4,1",,"0,2",,"1,6",,"0,57",,"0,228",,-6,,A,,,,,,,,,['Verre'],['Nord'],,,,,,,Tartinade apéritive,,,,
653,Danao orange mangue,8405542459453,,,,,,['France'],[],[],,,,,,,,,,?,,51,,213 kj(51 kcal),,0,,0,,"11,4",,"11,3",,"0,7",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
654,Miel de chataignier - Miel Besacier,3110770002641,B,,['Miel Besacier'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de châtaignier']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,['Union européenne'],,,,,,
655,Lov Organic Rooibos Orange Cannell Bio,3760118779591,,,['Lov organic'],,['Bio'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,Jus d'orange - TRIMM - 1L,20233402,,1 L,['TRIMM'],,,['France'],[],[],,,,,,,,,,?,,41,,172 kj(41 kcal),,"0,2",,0,,"8,5",,"8,5",,"0,7",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
657,Alpen swiss style muesli,2020000135814,,,,,['Sans sucre ajouté'],['France'],[],[],,,,,,,,,,?,,367,,1536 kj(367 kcal),,"5,1",,"0,9",,64,,15,,12,,"0,25",,"0,1",,,,,,,,,,,,,,,,,,,,,,,,,
658,Organic Larder Organic Black Chia Seeds,6291104284128,,,,,,['France'],[],[],,,,,,,,,,?,,520,,2176 kj(520 kcal),,32,,"2,5",,"47,8",,"12,7",,19,,"0,03",,"0,012",,,,,,,,,,,,,,,,,,,,,,,,,
659,Meringues Castel -  - 100g,7610198003498,,100g,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,394,,1648 kj(394 kcal),,0,,0,,92,,92,,7,,0,,0,,,,,,,,,,,,,['stück'],,,,,,,,,,,,
660,Perrier Sparkling Lime - Nestlé,07923258,,,['Nestlé'],,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,bonbon de chocolat -  - 80g,0404164620010,,80 g,,"['Snacks', 'Snacks sucrés', 'Cacao et dérivés', 'Confiseries', 'Confiseries chocolatées', 'Bonbons de chocolat']",,['France'],[],[],,14.1 g,en quantité modérée,13.2 g,en quantité élevée,29.5 g,en quantité élevée,2.8 g,en quantité élevée,?,,501,-5%,2096 kj(501 kcal),-5%,"14,1",-56%,"13,2",-24%,"34,3",-35%,"29,5",-38%,"7,6",+29%,"2,8",+1730%,"1,12",+1730%,32,+31%,E,+31%,,,,,,,,,,,,,,,,,,,,
662,Nudeln -  - 500g,7640120090197,,500 g,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,Hörnli -,28000266,,,,,,"['France', 'Suisse']",[],[],,,,,,,,,,?,,350,,1464 kj(350 kcal),,"1,2",,"0,3",,71,,"3,2",,12,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
664,Patatine con tartufo,0827649302384,,,,,['en:gluten-free'],['France'],[],[],,,,,,,,,,?,,533,,2230 kj(533 kcal),,32,,"1,7",,53,,"0,1",,"7,5",,"0,75",,"0,3",,,,,,,,,,,,,,,,,,,,,,,,,
665,14 Galettes pur beurre GELINEAU,3760152740069,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
666,Thé vert à la menthe,3368956883113,B,,,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons chaudes', 'Boissons à base de végétaux', 'Thés', 'Thés verts', 'Thés à la menthe', 'Thés verts à la menthe']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,66.6%,0.0%,1.4%,1.6%,0.3%,30.1%,100,,,,,,,,,,,,,
667,Poire william,3760178523295,,,,,,['France'],[],[],,,,,,,,,,?,,123,,515 kj(123 kcal),,"1,5",,0,,26,,26,,"0,8",,"0,01",,"0,004",,,,,,,,,,,,,,,,,,,,,,,,,
668,Parmentier aux deux saumons - Dietbon - 300g,3700569021597,,300 g,['Dietbon'],,['Fabriqué en France'],['France'],[],[],,,,,,,,,,?,,96,,402 kj(96 kcal),,"3,3",,"1,5",,"10,9",,"0,6",,"4,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
669,Dattes Medjoul,2609923043491,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Aliments à base de fruits et de légumes', 'Fruits et produits dérivés', 'Fruits', 'Dattes', 'Dattes medjoul']",,['France'],[],[],,0.2 g,en faible quantité,0 g,en faible quantité,66.5 g,en quantité élevée,0.01 g,en faible quantité,?,,322,+1%,1347 kj(322 kcal),+1%,"0,2",+2%,0,,75,+0%,"66,5",+0%,"1,8",0%,"0,01",+32%,"0,004",+32%,8,+8%,C,+8%,88.3%,0.0%,4.7%,3.6%,3.3%,0.0%,57,,,,,,,,,,,,,
670,"Haut de cuisses de poulet - 1,000kg",3531940171002,D,"1,000 kg",,"['Viandes', 'Volailles', 'Poulets', 'Cuisses de poulet']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,"['FR 89.069.001 CE', 'Chailley (Yonne, France)']",,,,,,,,,,
671,Miel d'Acacia - Les Apiculteurs Gascons - 500g,3770009008013,B,500 g,['Les Apiculteurs Gascons'],"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', ""Miels d'acacia""]",['Fabriqué en France'],['France'],[],[],,,,,,,,,,?,,289,,,,"0,064",,,,"77,3",,,,"0,347",,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,"['Bocal', 'Verre', 'Capsule']",['France'],,,['Aucun'],,['Sud Ouest de la France'],,Miel Français,http://lesapiculteursgascons.com,,,
672,Miel de fleur,3377517316564,B,,,"['Produits à tartiner', 'Petit-déjeuners', 'Produits de la ruche', ""Produits d'élevages"", 'Produits à tartiner sucrés', 'Édulcorants', 'Miels', 'Miels de fleurs']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,87.9%,0.0%,7.7%,3.1%,1.3%,0.0%,82,,,,,,,,,,,,,
673,Chicon roulé au jambon,3424740041104,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,Jambon aux epices - Migros Bio,2163541006509,,,['Migros Bio'],,['Bio'],['France'],[],[],,,,,,,,,,?,,237,,992 kj(237 kcal),,18,,7,,1,,1,,18,,"1,8",,"0,72",,,,,,,,,,,,,,,,,,,,,,,,,
675,Fish Pie - Charlie Binghams - 655g,5033665208639,,655g,['Charlie Binghams'],"['Plats préparés', 'Tartes', 'Plats préparés au poisson', 'Réfrigérés', 'Plats préparés réfrigérés', 'Tourtes']",,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,"['Carton', 'Plastique', 'Frais']",,,,"['Œufs', 'Poisson', 'Gluten', 'Lait']",,,,,,,,
676,Pâté aux figues - Jean Brunet,3269617106117,,,['Jean Brunet'],,"['Fabriqué en France', 'Sans colorants']",['France'],[],[],,,,,,,,,,?,,317,,1326 kj(317 kcal),,"28,9",,3,,3,,"1,3",,"11,8",,"1,26",,"0,504",,,,,,,,,,,,,,,,,,,,,,,,,
677,Riso Arborio kg.1 Vignola,8002130100010,C,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Graines', 'Céréales et dérivés', 'Céréales en grains', 'Riz', 'Riz de variété japonica', 'Riz pour risotto', 'Riz à grain court', 'Riz arborio', 'en:Riso Arborio']",,['France'],[],[],,0.4 g,en faible quantité,0.1 g,en faible quantité,0.2 g,en faible quantité,0.013 g,en faible quantité,?,,354,0%,1481 kj(354 kcal),+0%,"0,4",-31%,"0,1",-31%,"80,4",+7%,"0,2",+3%,"6,7",-5%,"0,013",+102%,"0,005",+102%,0,,B,,79.0%,0.0%,6.4%,11.0%,3.6%,0.0%,74,,,,,,,,,,,,,
678,"Roti de porc cuit - carrefour - 0,205g",2254593021128,D,"0,205 g",['Carrefour'],"['Viandes', 'Viandes fraîches', 'Porc', 'Rôtis de porc']","['Viande Française', 'Viande Porcine Française']",['France'],[],[],,3.9 g,en quantité modérée,1.6 g,en quantité modérée,0.7 g,en faible quantité,2.1 g,en quantité élevée,?,,125,-13%,523 kj(125 kcal),-12%,"3,9",-22%,"1,6",-23%,"0,7",-14%,"0,7",+12%,22,-2%,"2,1",+22%,"0,84",+22%,11,+54%,D,+54%,77.9%,17.0%,3.2%,1.1%,0.6%,0.2%,21,['Sachet'],['massy 91343'],['22136A'],,,,['France'],['Carrefour'],,,,,
679,Escalopes extra fines poulet,2600253024204,D,,,"['Viandes', 'Volailles', 'Poulets', 'Volailles cuites', 'Escalopes de poulet']",,['France'],[],[],,1.3 g,en faible quantité,0.4 g,en faible quantité,0.5 g,en faible quantité,0.1 g,en faible quantité,?,,114,-14%,477 kj(114 kcal),-13%,"1,3",-52%,"0,4",-45%,"0,5",-86%,"0,5",-7%,25,+15%,"0,1",-77%,"0,04",-77%,-4,,A,,83.4%,9.5%,2.7%,2.7%,1.4%,0.4%,44,,,,,,,,,,,,,
680,pizza a cuire jambon formage,0247358032141,,,,,,['France'],[],[],,,,,,,,,,?,,240,,1004 kj(240 kcal),,10,,"5,8",,23,,"1,2",,14,,"1,1",,"0,44",,,,,,,,,,,,,,,,,,,,,,,,,
681,Filets d'anchois à l'huile d'olive - Imperial,5410363010137,B,,['Imperial'],"['Produits de la mer', 'Poissons', 'Anchois', 'Filets de poissons', ""Filets d'anchois"", ""Filets d'anchois marinés"", ""Filets d'anchois marinés à l'huile végétale""]","['Pêche durable', 'Pêche durable MSC']","['Belgique', 'France']",[],[],,11.6 g,en quantité modérée,1.87 g,en quantité modérée,0.1 g,en faible quantité,14.3 g,en quantité élevée,?,,217,+7%,908 kj(217 kcal),+5%,"11,6",-8%,"1,87",-23%,"0,6",-58%,"0,1",-62%,"27,6",+33%,"14,33",+111%,"5,732",+111%,13,+4%,D,+4%,57.5%,14.4%,6.7%,17.0%,3.4%,0.9%,81,,,,,,,,['Delhaize'],,,,,
682,Heinz Cream of Mushroom Soup,5000157075567,,,,,,['France'],[],[],,,,,,,,,,?,,53,,222 kj(53 kcal),,"2,8",,"0,4",,"5,3",,"2,2",,"1,6",,"0,6",,"0,24",,,,,,,,,,,,,,,,,,,,,,,,,
683,Serrano-Schinken,8421511007432,,,,,,['France'],[],[],,,,,,,,,,?,,207,,866 kj(207 kcal),,9,,3,,"0,6",,"0,6",,31,,"6,4",,"2,56",,,,,,,,,,,,,,,,,,,,,,,,,
684,Champignon Blond,3588050005598,,,,,"['Bio', 'Bio européen', 'AB Agriculture Biologique', 'Agriculture UE/Non UE', 'FR-BIO-01']",['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
685,Coriandre moulue,3427290002847,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,Frischer Weisskrautsalat,4045800761870,,,,,,['France'],[],[],,,,,,,,,,?,,107,,448 kj(107 kcal),,5,,"0,8",,"12,8",,"12,3",,1,,"1,25",,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,
687,Dessert de pomme mirabelle - Lucien Georgelin,3330720332127,,,['Lucien Georgelin'],,['Sans colorants'],['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688,Abondance - Nos régions ont du talent,2860057021452,D,,"['Nos régions ont du talent', 'Leclerc']","['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de France', 'Abondance']",,['France'],[],[],,33 g,en quantité élevée,21 g,en quantité élevée,0.5 g,en faible quantité,1.5 g,en quantité modérée,?,,397,-1%,1661 kj(397 kcal),-1%,33,0%,21,-3%,"0,5",-22%,"0,5",+78%,25,-0%,"1,5",-5%,"0,6",-5%,15,-5%,D,-5%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,['Leclerc'],,,,,
689,Melapi Miel Thym Liquide,5410038122455,,,,,,"['Belgique', 'France']",[],[],,,,,,,,,,?,,320,,1339 kj(320 kcal),,"0,1",,0,,"79,3",,"79,3",,"0,5",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
690,Tesco Organic Chick Peas,5052004745390,,,['Tesco'],,,"['France', 'Royaume-Uni']",[],[],,,,,,,,,,?,,128,,536 kj(128 kcal),,"2,9",,"0,3",,"16,1",,"0,4",,"7,2",,"0,1",,"0,04",,,,,,,,,,,,,,,,,,,,,,,,,
691,Yaourt fermier aux fruits,3760037390037,,,,,,['France'],[],[],,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
692,Lot de 3 Thés et Infusion 3x10 sachets - Casino - 52g,3222476444004,,52 g,['Casino'],,,['France'],"['Infusion Menthe saveur chocolat : feuilles de menthe 39% - cabosse de cacao 32% - mélisse - arômes 8% - rooïbos - anis - verveineThé vert à la menthe : thé vert 80% - feuilles de menthe 13% - arôme naturel de menthe avec autres arômes naturels 7%Thé noir aux épices : thé noir 64', '3% - arômes 10', '5% - cannelle 5% - chicorée - poivre 5% - clou de girofle 5% - gingembre 3% - cardamome - gousse de vanille']",[],4,,,,,,,,,?,,?,,,,?,,,,?,,,,?,,,,,,,,,,,,,,,,,,,,,,,,['Casino'],Thé vert aromatisé à la menthe - Thé noir aromatisé aux épices - Préparation de plantes aromatisée à infusion,,,,
