,name,bar_code,eco_score,quantity,brand,categories,labels,sales_countries,ingredients_list,ingredients_analysis,nova_score,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr,nutriment_energy-kcal_tr_diff,nutriment_energy_tr,nutriment_energy_tr_diff,nutriment_fat_tr,nutriment_fat_tr_diff,nutriment_saturated-fat_tr,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr,nutriment_sugars_tr_diff,nutriment_proteins_tr,nutriment_proteins_tr_diff,nutriment_salt_tr,nutriment_salt_tr_diff,nutriment_sodium_tr,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,packaging,manufacturing,traceability_code,additives,allergens,brand_owner,ingredients_origins,markets,generic_name,link,palm_ingredients,producer_info,origin_detail
44,Biofair Organic Fairtrade Black Quinoa,5032722313125,,,,,['Bio'],['France'],[],[],,,,,,,,,,?,,343,,1435 kj(343 kcal),,5,,1,,"60,8",,"2,7",,"13,8",,"0,02",,"0,008",,,,,,,,,,,,,,,,,,,,,,,,,
45,Lentilles,3700116102090,B,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Légumineuses et dérivés', 'Légumineuses', 'Graines', 'Graines de légumineuses', 'Légumes secs', 'Lentilles']",,['France'],[],[],,4.8 g,en quantité modérée,1.73 g,en quantité modérée,0.1 g,en faible quantité,1.08 g,en quantité modérée,?,,126,-48%,527 kj(126 kcal),-48%,"4,8",+227%,"1,73",+565%,"0,5",-98%,"0,1",-92%,"8,9",-50%,"1,08",+274%,"0,432",+274%,1,,B,,57.6%,0.0%,16.2%,14.1%,4.5%,7.6%,99,,,,,,,,,,,,,
46,Special muesli - Jordans - 750g,11508366,C,750 g,['Jordans'],"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Petit-déjeuners', 'Céréales et dérivés', 'Céréales pour petit-déjeuner']","['Végétarien', 'en:FSC']",['France'],[],['Végétarien'],,7.2 g,en quantité modérée,2 g,en quantité modérée,17.2 g,en quantité élevée,0.03 g,en faible quantité,?,,362,-9%,1515 kj(362 kcal),-9%,"7,2",-17%,2,-9%,"59,6",-11%,"17,2",+3%,"10,2",+9%,"0,03",-92%,"0,012",-92%,-2,-137%,A,-137%,74.0%,13.1%,5.1%,5.5%,2.3%,0.0%,60,"['Carton', 'plastique à jeter']",['Made in UK'],,,"['Gluten', 'Fruits à coque']",,,['Hyper U'],,,,,
47,Pure Whey isolate (native protein) - Éric Favre - 2kg,3525722018203,,2kg,['Éric Favre'],,,['France'],[],[],,,,,,,,,,?,,361,,1510 kj(361 kcal),,1,,0,,"2,06",,"1,84",,"83,34",,"0,38",,"0,152",,,,,,,,,,,,,,,,,,,,,,,,,
48,Mini coca cola zéro sans cafeine,5449000239846,,,['Coca-Cola'],"['Boissons', 'Boissons gazeuses', 'Boissons édulcorées', 'Sodas', 'Boissons light', 'Sodas au cola', 'Sodas light', 'Sodas au cola light']",,['France'],[],[],,0 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,0.01 g,en faible quantité,?,,1,0%,4 kj(1 kcal),+100%,0,-100%,0,-100%,0,-100%,0,-100%,0,-100%,"0,01",-35%,"0,004",-35%,1,+2%,B,+2%,,,,,,,,['Bouteille'],,,,,,,,,,,,
49,Pain complet,20618193,,,,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Pains', 'Pains complets']",,['France'],[],[],,6.6 g,en quantité modérée,0.9 g,en faible quantité,1.1 g,en faible quantité,0.9 g,en quantité modérée,?,,269,+7%,1125 kj(269 kcal),+7%,"6,6",+92%,"0,9",+68%,"37,6",-12%,"1,1",-70%,"12,5",+43%,"0,9",-23%,"0,36",-23%,1,+51%,B,+51%,,,,,,,,,,,,,,,,,,,,
50,Le spécial toast Saumon - Auchan - 112g,3596710466900,,112 g,['Auchan'],,"['Fabriqué en France', 'Nutriscore']",['France'],[],[],,,,,,,,,,?,,196,,820 kj(196 kcal),,12,,2,,"0,5",,"0,5",,23,,3,,"1,2",,,,,,,,,,,,,,,"['FR 29.026.502 CE', 'Châteaulin (Finistère, France)', 'EMB 29026H', 'Châteaulin (Finistère, France)']",,,,,['Auchan'],,,,,
51,Poudre à lever bio,3214042056599,C,,,"['Additifs alimentaires', 'Poudres à lever']",['Bio'],['France'],[],[],,0.5 g,en faible quantité,0 g,en faible quantité,0 g,en faible quantité,21.9 g,en quantité élevée,?,,243,+46%,1017 kj(243 kcal),+46%,"0,5",+100%,0,-100%,57,+67%,0,-100%,"2,1",+133%,"21,9",+156%,"8,76",+156%,,,,,35.8%,54.7%,4.4%,2.7%,2.4%,0.0%,60,,,,,,,,,,,,,
52,Delice poire macaron - Maxim's,3391860002998,,,"[""Maxim's""]",,,['France'],[],[],,,,,,,,,,?,,233,,975 kj(233 kcal),,"0,9",,"0,1",,"54,9",,"54,2",,"0,6",,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,
53,Chocolat - CEMOI - 170g,3173287631360,,170g,['CEMOI'],"['Snacks', 'Snacks sucrés', 'Confiseries']",,['France'],[],[],,32 g,en quantité élevée,17 g,en quantité élevée,49 g,en quantité élevée,0.07 g,en faible quantité,?,,525,+25%,2197 kj(525 kcal),+25%,32,+118%,17,+163%,51,-23%,49,-1%,"6,2",+47%,"0,07",-52%,"0,028",-52%,26,+43%,E,+43%,,,,,,,,['Boite'],['France'],['L18166211'],,,,,,,,,,
