,name,bar_code,labels,sales_countries,ingredients_list,ingredients_analysis,nutriment_energy-kj_tr,nutriment_energy-kcal_tr,nutriment_energy_tr,nutriment_fat_tr,nutriment_saturated-fat_tr,nutriment_carbohydrates_tr,nutriment_sugars_tr,nutriment_proteins_tr,nutriment_salt_tr,nutriment_sodium_tr,brand,eco_score,categories,fats_lipids_quantity,fats_lipids_comment,saturated_acids_quantity,saturated_acids_comment,sugar_quantity,sugar_comment,salt_quantity,salt_comment,nutriment_energy-kj_tr_diff,nutriment_energy-kcal_tr_diff,nutriment_energy_tr_diff,nutriment_fat_tr_diff,nutriment_saturated-fat_tr_diff,nutriment_carbohydrates_tr_diff,nutriment_sugars_tr_diff,nutriment_proteins_tr_diff,nutriment_salt_tr_diff,nutriment_sodium_tr_diff,nutriment_nutrition-score-fr_tr,nutriment_nutrition-score-fr_tr_diff,nutriment_nutriscore_tr,nutriment_nutriscore_tr_diff,Agriculture,Transformation,Conditionnement,Transport,Distribution,Consommation,Score_ACV,quantity,traceability_code,packaging,ingredients_origins,manufacturing,link,markets,allergens,brand_owner,additives,nova_score,generic_name,producer_info,origin_detail
1312,Reglisse,,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313,Panko crujiente japones envase 100 g - Fanya,8428764201341,,['France'],[],[],?,362,1515 kj(362 kcal),1,0,"73,4",1,"14,9","0,02","0,008",['Fanya'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1314,Jambon à l'ancienne salé à la veine - Tallec,0255382021840,"['Viande Française', 'Viande Porcine Française']",['France'],[],[],?,161,674 kj(161 kcal),"7,9","2,9","0,5","0,5",22,"1,9","0,76",['Tallec'],E,"['Viandes', 'Charcuteries', 'Jambons', 'Jambons blancs', ""Jambons cuits à l'ancienne""]",7.9 g,en quantité modérée,2.9 g,en quantité modérée,0.5 g,en faible quantité,1.9 g,en quantité élevée,,+6%,+6%,+28%,+20%,+1%,+3%,-1%,-3%,-3%,12,+23%,D,+23%,80.5%,11.8%,4.9%,1.6%,0.9%,0.3%,33,,"['EMB 29004', 'Bannalec (Finistère, France)', 'FR 29.004.023 CE', 'Bannalec (Finistère, France)', 'EMB 29004D', 'Bannalec (Finistère, France)']",,,,,,,,,,,,
1315,Tagliolini encre de seiche - Metro Chef - 1kg,3439496609799,"['Fabriqué en Italie', 'Produits destinés aux professionnels']",['France'],"['semoule de blé dur', 'œufs 16 %', 'encre de seiche 0,8 %', 'sel', 'épaississant : E466']",['Non végétalien'],1217,288,1217 kj(288 kcal),"3,1","0,7",53,"1,8",11,"0,24","0,096","['Metro Chef', 'Metro']",,"['Aliments et boissons à base de végétaux', ""Aliments d'origine végétale"", 'Céréales et pommes de terre', 'Céréales et dérivés', 'Pâtes alimentaires', 'Pâtes aux œufs']",3.1 g,en quantité modérée,0.7 g,en faible quantité,1.8 g,en faible quantité,0.24 g,en faible quantité,-14%,-14%,-14%,-25%,-38%,-11%,-29%,-16%,-0%,-0%,-1,,A,,,,,,,,,1 kg,['IT 9-3166-L CE'],"['Barquette', 'Plastique']",,['Italie'],,,"['Œufs', 'Gluten', 'Mollusques']",,['E466 - Carboxyméthylcellulose'],4,,,
1316,Viande bovine eminces,2886869050251,,['France'],[],[],?,?,,?,,?,,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1317,Pepisole,3700970100126,,['France'],[],[],?,640,2678 kj(640 kcal),50,3,24,1,19,1,"0,4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318,Mélange mexicain,2600692017584,,['France'],[],[],?,524,2192 kj(524 kcal),"32,2","6,4","37,5","2,5","17,2","1,5","0,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319,Huile Olive Fruitee France Vigean,3452010002340,,['France'],[],[],?,900,3766 kj(900 kcal),100,14,0,0,0,0,0,['Vigean'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1320,Chá Fresh Pêssego,5604321028504,,['France'],[],[],?,2,8 kj(2 kcal),"0,008",0,"0,5","0,02","0,04","0,008","0,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321,Morbier - JuraFlore,2285476027883,"['Bio', 'Bio européen', 'AB Agriculture Biologique']",['France'],[],[],?,343,1435 kj(343 kcal),"28,1","19,6","0,5",0,22,"1,76","0,704",['JuraFlore'],C,"['Produits laitiers', 'Produits fermentés', 'Produits laitiers fermentés', 'Fromages', 'Fromages de vache', 'Fromages de France', 'Fromages à pâte pressée non cuite', 'Morbiers']",28.1 g,en quantité élevée,19.6 g,en quantité élevée,0 g,en faible quantité,1.76 g,en quantité élevée,,-3%,-3%,-2%,+1%,-36%,-100%,-3%,+23%,+23%,16,+7%,D,+7%,82.8%,8.1%,3.5%,3.6%,1.6%,0.4%,49,,,,,,,,,,,,,,
